
[00:00:00.000 --> 00:00:07.000]   From a net worth of less than zero at the age of 27 to financially independent at the age of 40
[00:04:39.000 --> 00:04:46.000]   I had no income. I had no expenses. I had no assets, no liabilities. So there was nothing on the balance sheet. I had no balance sheet.
[00:04:46.000 --> 00:04:56.000]   At 27 years old, I was worth about negative $19,000 or so, after you factor in the student loans I took out to go to college and the amount of assets I had,
[00:04:56.000 --> 00:05:00.000]   which were really nothing other than just a little bit of cash I had in the bank.
[00:05:00.000 --> 00:05:10.000]   27 years into my life, probably a third or maybe a quarter of my life lived, I was worth a negative amount of money, which was really horrible.
[00:05:10.000 --> 00:05:15.000]   So I kind of decided to get my act in gear. I moved down to Florida for a number of reasons.
[00:05:15.000 --> 00:05:25.000]   At this time, this was 2009, the economy obviously was horrible, and Metro Detroit was kind of the epicenter of some of these issues with the auto industry and everything else.
[00:05:25.000 --> 00:05:30.000]   And I happened to be working in the auto industry in 2009, so you can't write it any better than that.
[00:05:30.000 --> 00:05:37.000]   So the place of employment I was working at the time fired me, along with a number of people, were let go.
[00:05:37.000 --> 00:05:41.000]   And so I actually ended up moving to Florida for a number of reasons.
[00:05:41.000 --> 00:05:47.000]   Specifically, or more to the point, the economy down there was better at the time due to tourism.
[00:05:47.000 --> 00:05:50.000]   They weren't heavily concentrated on the auto industry and manufacturing.
[00:05:50.000 --> 00:05:55.000]   So their economy in general was better, their unemployment rate wasn't quite as bad.
[00:05:55.000 --> 00:06:04.000]   And in addition to that, I kind of started getting some gears moving in my head around this time about what I wanted in life and where I was really going.
[00:06:04.000 --> 00:06:08.000]   And so I figured out that, hey, I've got to start kind of living below my means.
[00:06:08.000 --> 00:06:14.000]   I have to start creating some kind of gap between my income and expenses to where I can take that capital and start to do something with it.
[00:06:14.000 --> 00:06:17.000]   Or else I'm never going to get out of this hole.
[00:06:17.000 --> 00:06:22.000]   I've got to start digging my way out here, and I need a shovel, and that shovel is capital.
[00:06:22.000 --> 00:06:25.000]   So Florida offered me a number of opportunities.
[00:06:25.000 --> 00:06:32.000]   It had a great climate, so I kind of had an idea in my head, hey, maybe it's possible to kind of get rid of my car for a while, live car-free.
[00:06:32.000 --> 00:06:35.000]   That was a huge chunk of my expenses.
[00:06:35.000 --> 00:06:40.000]   And I started to kind of think of things as the big three, so housing, transportation, and food.
[00:06:40.000 --> 00:06:42.000]   And so transportation was one of them.
[00:06:42.000 --> 00:06:47.000]   Florida offered a great climate to be able to bicycle and maybe get around by bus.
[00:06:47.000 --> 00:06:51.000]   It's easier to wait for a bus when it's not 20 degrees outside and there's 8 inches of snow.
[00:06:51.000 --> 00:06:55.000]   So 75 to 80 degree weather, palm trees around.
[00:06:55.000 --> 00:06:56.000]   I don't mind waiting for 15 minutes.
[00:06:56.000 --> 00:06:57.000]   The bus is a little late, right?
[00:06:57.000 --> 00:06:58.000]   Sure.
[00:06:58.000 --> 00:07:00.000]   So that was obviously another thing.
[00:07:00.000 --> 00:07:01.000]   Free entertainment.
[00:07:01.000 --> 00:07:02.000]   The beaches down here are free.
[00:07:02.000 --> 00:07:05.000]   It's free to go out there, enjoy some of nature's best.
[00:07:05.000 --> 00:07:07.000]   So that was also another aspect of it.
[00:07:07.000 --> 00:07:14.000]   But at any rate, that was around the time I started kind of figuring out what I was doing, and that was kind of a big change in my life.
[00:07:14.000 --> 00:07:16.000]   Also, one last point.
[00:07:16.000 --> 00:07:19.000]   Florida doesn't have any state income taxes.
[00:07:19.000 --> 00:07:21.000]   Michigan's state income tax at the time was 4.35.
[00:07:21.000 --> 00:07:23.000]   I think it's been reduced now to 4.25.
[00:07:23.000 --> 00:07:25.000]   Oh, that makes a difference.
[00:07:25.000 --> 00:07:28.000]   Well, yeah, it's something.
[00:07:28.000 --> 00:07:36.000]   Although I wasn't making a lot of money, it's something that if I figured out if I could keep a little more of what I make, it's a couple hundred bucks here and there.
[00:07:36.000 --> 00:07:39.000]   What I meant was not the difference between Michigan and Florida.
[00:07:39.000 --> 00:07:42.000]   Yes, 4% is a difference.
[00:07:42.000 --> 00:07:47.000]   What I meant was the difference between 4.35% and 4.25%.
[00:07:47.000 --> 00:07:49.000]   That's going to stimulate the economy.
[00:07:49.000 --> 00:07:50.000]   Oh, yeah.
[00:07:50.000 --> 00:07:52.000]   Well, the governor will let you know all about that.
[00:07:52.000 --> 00:07:53.000]   Hey, I reduced it.
[00:07:53.000 --> 00:07:55.000]   I reduced it down to 4.35, 4.25.
[00:07:55.000 --> 00:07:57.000]   So please elect me again, right?
[00:07:57.000 --> 00:07:58.000]   Right.
[00:07:58.000 --> 00:08:04.000]   Of course, that came many years after I left, after they started to kind of bounce back just a little bit.
[00:08:04.000 --> 00:08:05.000]   But yeah, right, exactly.
[00:08:05.000 --> 00:08:09.000]   I can never figure out why people don't pay more attention to state income tax.
[00:08:09.000 --> 00:08:11.000]   So I'm born and raised in Florida.
[00:08:11.000 --> 00:08:13.000]   I live in West Palm Beach.
[00:08:13.000 --> 00:08:16.000]   What part of Florida are you in now?
[00:08:16.000 --> 00:08:18.000]   I live in Sarasota.
[00:08:18.000 --> 00:08:24.000]   Okay, so I live in West Palm Beach, and I've never understood, like, why don't people consider the state?
[00:08:24.000 --> 00:08:30.000]   And especially, I think it's happening more and more, but there are a number of very nice states that have no state income tax.
[00:08:30.000 --> 00:08:33.000]   And everyone's worried about how to increase their raise.
[00:08:33.000 --> 00:08:40.000]   Well, if Michigan--or increase their income, there's a 4.5% increase in income right there, and that matters.
[00:08:40.000 --> 00:08:41.000]   It does.
[00:08:41.000 --> 00:08:42.000]   It does.
[00:08:42.000 --> 00:08:48.000]   And people think that there's no free lunch in life, and I agree with that to a point.
[00:08:48.000 --> 00:08:51.000]   But I'll tell you this is just personal, and this is just anecdotal.
[00:08:51.000 --> 00:09:01.000]   But when I moved to Florida, the auto dealership that I eventually found a job at, first of all, paid substantially more than the one that I was working at in Michigan.
[00:09:01.000 --> 00:09:04.000]   So, oh, well, you don't pay the taxes, but you'll make less money.
[00:09:04.000 --> 00:09:07.000]   Or, oh, well, you don't pay the state income taxes, but you'll get on the sales tax.
[00:09:07.000 --> 00:09:08.000]   That's not really true.
[00:09:08.000 --> 00:09:13.000]   And just a quick point on that, Michigan's sales tax and Florida's sales tax are the same.
[00:09:13.000 --> 00:09:18.000]   Now, there's an additional county tax in certain counties here in Florida, but the 6% is the same.
[00:09:18.000 --> 00:09:20.000]   So there is kind of a free lunch there.
[00:09:20.000 --> 00:09:23.000]   Property taxes, in addition, are very similar in Michigan and Florida.
[00:09:23.000 --> 00:09:26.000]   So it's really just an immediate raise.
[00:09:26.000 --> 00:09:30.000]   I mean, people argue that point, and, oh, it depends on your situation and everything else, and I agree with that.
[00:09:30.000 --> 00:09:37.000]   I mean, it's obviously not easy to move halfway across the United States to get a slight boost in your taxes.
[00:09:37.000 --> 00:09:38.000]   I understand that.
[00:09:38.000 --> 00:09:44.000]   But I was young, and I had an opportunity there, and Michigan was and to a degree is dying.
[00:09:44.000 --> 00:09:49.000]   So Florida offered a lot of opportunities that I really wouldn't have had up there.
[00:09:49.000 --> 00:09:50.000]   Right.
[00:09:50.000 --> 00:09:59.000]   And then just looking at depending on the industry, I mean, if I were going to sell Mercedes, you're going to sell a lot more Mercedes.
[00:09:59.000 --> 00:10:03.000]   And West Palm Beach or Palm Beach Gardens, Florida, than you are in Michigan.
[00:10:03.000 --> 00:10:13.000]   And if you're going to sell cars, you're going to make more money doing that in an environment where almost all the rich people I know maintain residence in Florida.
[00:10:13.000 --> 00:10:17.000]   There's a reason why we've got Palm Beach Island and Jupiter Island and Miami.
[00:10:17.000 --> 00:10:22.000]   I mean, there's more wealth down here because of the tax benefits, and the wealth drives the economy.
[00:10:22.000 --> 00:10:24.000]   So I don't know.
[00:10:24.000 --> 00:10:27.000]   It makes sense to me, but somehow we often--yeah, I get it.
[00:10:27.000 --> 00:10:30.000]   I don't want to leave, so I don't want to move somewhere else.
[00:10:30.000 --> 00:10:34.000]   But I understand why it's hard for people to consider it, but you really can.
[00:10:34.000 --> 00:10:39.000]   It's such a valuable, easy form of geo-arbitrage.
[00:10:39.000 --> 00:10:45.000]   Right, and to another point of the arbitrage, there's wealth arbitrage there as well.
[00:10:45.000 --> 00:10:50.000]   So like I said, I started making more money right out of the gate, and that was because of your point there.
[00:10:50.000 --> 00:10:56.000]   There's certainly just more wealth in Sarasota and in West Palm Beach than there is outside Metro Detroit, Michigan.
[00:10:56.000 --> 00:10:58.000]   It's just a fact.
[00:10:58.000 --> 00:11:04.000]   I mean, there are certain bubbles there in certain suburbs of Metro Detroit, like Bloomfield Hills and West Bloomfield and Birmingham and whatnot.
[00:11:04.000 --> 00:11:13.000]   But in terms of the overall wealth and in terms of my personal experience working in the same exact industry, the same exact type of cars,
[00:11:13.000 --> 00:11:17.000]   there was a substantial difference in terms of traffic and everything else.
[00:11:17.000 --> 00:11:19.000]   And so that was a form of arbitrage for me.
[00:11:19.000 --> 00:11:25.000]   I said, hey, if I can simultaneously increase my income by working in a place where there's more wealth and more action coming my way,
[00:11:25.000 --> 00:11:32.000]   while simultaneously also decreasing my taxes and my expenses by, you know, A, factoring out state income taxes,
[00:11:32.000 --> 00:11:38.000]   and B, getting rid of my car and maybe living somewhere cheaper and everything else, that created this huge gap for me.
[00:11:38.000 --> 00:11:41.000]   And that's really what happened.
[00:11:41.000 --> 00:11:46.000]   How did you go about, once you decided, okay, I need to build some margin, I'm going to make some of these decisions,
[00:11:46.000 --> 00:11:53.000]   when did that lead into a wealth plan, thinking through your investment portfolio and how to control that?
[00:11:53.000 --> 00:11:55.000]   That was early 2010.
[00:11:55.000 --> 00:11:58.000]   So in, what, June 2009, I moved to Florida.
[00:11:58.000 --> 00:12:07.000]   And it was about a six-month period there towards the latter half of 2009 that I started to create that gap.
[00:12:07.000 --> 00:12:12.000]   And so the income slowly started coming in, the expenses slowly started coming down, and so I started to build up cash.
[00:12:12.000 --> 00:12:14.000]   When I moved to Florida, I had basically no cash.
[00:12:14.000 --> 00:12:17.000]   I had nothing to my name.
[00:12:17.000 --> 00:12:24.000]   And right about early 2010, I started, I looked at my checking account, and I had around $7,000 or $8,000 in it at the time,
[00:12:24.000 --> 00:12:26.000]   which was, to me, a lot of money.
[00:12:26.000 --> 00:12:28.000]   To a lot of people, it's a lot of money.
[00:12:28.000 --> 00:12:30.000]   And so all of a sudden, I had some money to play with.
[00:12:30.000 --> 00:12:36.000]   It was like, you know, if you give somebody $1,000 and tell them to go to the mall, hey, have fun, I was like, whoa, I have some money.
[00:12:36.000 --> 00:12:38.000]   I can start doing something with this.
[00:12:38.000 --> 00:12:42.000]   And up until that time, I started reading books like Your Money or Your Life.
[00:12:42.000 --> 00:12:50.000]   I started reading about Warren Buffett and certain successful investors out there and kind of what they did and how they went about their kind of plan.
[00:12:50.000 --> 00:12:53.000]   And so I started having some ideas in my head.
[00:12:53.000 --> 00:12:56.000]   And basically what I do is I just kind of jumped in.
[00:12:56.000 --> 00:12:57.000]   I read quite a bit.
[00:12:57.000 --> 00:13:00.000]   I didn't go into it without any knowledge at all.
[00:13:00.000 --> 00:13:03.000]   But I opened a brokerage account in early 2010.
[00:13:03.000 --> 00:13:09.000]   I transferred over $5,000 from the checking account over to the brokerage account, and I started investing.
[00:13:09.000 --> 00:13:16.000]   I started reading about companies through annual reports, going to investor relations sites.
[00:13:16.000 --> 00:13:19.000]   And I looked at guys like Warren Buffett.
[00:13:19.000 --> 00:13:22.000]   I mean, you can go back to his earlier life and look at some of the investments he made.
[00:13:22.000 --> 00:13:27.000]   And he calls them cigar butts, which were companies that were worth more on paper than what he was buying them for.
[00:13:27.000 --> 00:13:31.000]   So even if they went out of business, he would still make money.
[00:13:31.000 --> 00:13:33.000]   And it was kind of a form of arbitrage, if you will.
[00:13:33.000 --> 00:13:41.000]   But the more successful portion of Warren, because like 99 percent of Warren's wealth was built after his 50th birthday.
[00:13:41.000 --> 00:13:42.000]   A lot of people don't know that.
[00:13:42.000 --> 00:13:51.000]   So, you know, when you really look at the effect of compounding and really where Warren's kind of wealth really started to take off was where he started to invest in high-quality businesses,
[00:13:51.000 --> 00:13:58.000]   businesses that have economic moats, competitive advantages, you know, have excellent balance sheets, you know,
[00:13:58.000 --> 00:14:04.000]   that are able to generate increasing top line and bottom line growth year after year after year.
[00:14:04.000 --> 00:14:08.000]   So we're talking about companies with brand name products or some type of advantage in their industry.
[00:14:08.000 --> 00:14:13.000]   So I started to look at that and I started to look around at products that people are buying every single day.
[00:14:13.000 --> 00:14:18.000]   And, you know, no matter what's going on with the economy, people are going to brush their teeth.
[00:14:18.000 --> 00:14:20.000]   They're going to, you know, they're going to buy their shampoo and their soap.
[00:14:20.000 --> 00:14:23.000]   They're going to have to put gas in their car.
[00:14:23.000 --> 00:14:35.000]   You know, tobacco is another, you know, that's maybe a little bit controversial, but, you know, tobacco, alcohol, products like this, people buy these products no matter what's going on with the general economy.
[00:14:35.000 --> 00:14:38.000]   So I started to kind of look at that just from a common sense approach.
[00:14:38.000 --> 00:14:41.000]   You don't need to read any investment books to really understand that.
[00:14:41.000 --> 00:14:55.000]   And I started to invest in those businesses like Coca-Cola and Pepsi and, you know, Johnson & Johnson, companies that produce products and provide services that are ubiquitous that people need all around the world no matter what's going on.
[00:14:55.000 --> 00:14:59.000]   And I just kind of started getting my feet wet and away it went from there.
[00:14:59.000 --> 00:15:02.000]   What makes you think that you can do this?
[00:15:02.000 --> 00:15:05.000]   Do what? Invest?
[00:15:05.000 --> 00:15:23.000]   Considering the fact that you're just a dude working at a car dealership and you're dealing with the most aggressively dealt with business, the financial business, what makes you think that you can figure out how to successfully invest on your own?
[00:15:23.000 --> 00:15:25.000]   Seems a little arrogant to me, huh?
[00:15:25.000 --> 00:15:27.000]   Yeah, right. Well, yeah, you got to have some confidence.
[00:15:27.000 --> 00:15:32.000]   I mean, certainly when I started telling people about my plan, you know, this was, you know, of course, look at my background.
[00:15:32.000 --> 00:15:38.000]   I grew up in Detroit and, you know, not only did I grow up in Detroit but I grew up in basically just a drug house.
[00:15:38.000 --> 00:15:40.000]   My dad left us when we were young.
[00:15:40.000 --> 00:15:43.000]   My mom ended up giving us up for legal guardianship.
[00:15:43.000 --> 00:15:45.000]   So, you know, there was a real rough background there.
[00:15:45.000 --> 00:15:47.000]   And, yeah, I was working at a car dealership.
[00:15:47.000 --> 00:15:52.000]   I, you know, I didn't have any background or education in finances or investing or anything else.
[00:15:52.000 --> 00:15:59.000]   So when I started talking to people about this, they were like, "Yeah, right, you know, this is a guy who doesn't know anything about money.
[00:15:59.000 --> 00:16:01.000]   He racked up student loan debt, dropped out of college.
[00:16:01.000 --> 00:16:05.000]   I even had an inheritance when I was 21 and I completely blew it."
[00:16:05.000 --> 00:16:09.000]   So, you know, my track record with money was horrible.
[00:16:09.000 --> 00:16:12.000]   So, you know, people were laughing at me and probably can't blame them.
[00:16:12.000 --> 00:16:15.000]   But, you know, there's a vision there.
[00:16:15.000 --> 00:16:18.000]   You have to really want it.
[00:16:18.000 --> 00:16:21.000]   When we're talking about financial dependence, when we're talking about saving, you know, savings isn't everything.
[00:16:21.000 --> 00:16:24.000]   You know, savings isn't just something you do for one month and you say, "Okay, yeah, I saved money this month.
[00:16:24.000 --> 00:16:26.000]   Great. Now I can go back to what I was doing."
[00:16:26.000 --> 00:16:28.000]   There's a consistent approach to it.
[00:16:28.000 --> 00:16:30.000]   You know, you have to be diligent with it.
[00:16:30.000 --> 00:16:37.000]   And so by the time I started investing, there was already about a six-month process there where I started really creating a gap.
[00:16:37.000 --> 00:16:40.000]   I started to kind of focus and hone in on what I was doing.
[00:16:40.000 --> 00:16:43.000]   I started to become more clear about what I wanted in life and I wanted it.
[00:16:43.000 --> 00:16:48.000]   And you have to really want it and you have to do what's necessary to get it.
[00:16:48.000 --> 00:16:51.000]   And when I talk about it, I'm talking about financial dependence.
[00:16:51.000 --> 00:16:52.000]   I'm talking about freedom.
[00:16:52.000 --> 00:16:59.000]   I'm talking about the ability to do really whatever you want in life without regard to, you know, money, money, money, money, money.
[00:16:59.000 --> 00:17:01.000]   That's all people want to talk about.
[00:17:01.000 --> 00:17:05.000]   You got to start thinking in terms of time, in terms of what you really desire out of life.
[00:17:05.000 --> 00:17:11.000]   And, you know, really what I started to figure out there when I started to create that gap between income and expenses,
[00:17:11.000 --> 00:17:18.000]   once I started to kind of drop things out and live more frugally, was that not only does money not buy you happiness,
[00:17:18.000 --> 00:17:22.000]   but living below your means actually generates happiness within itself.
[00:17:22.000 --> 00:17:24.000]   It's not just a means to an end.
[00:17:24.000 --> 00:17:25.000]   It's a lifestyle.
[00:17:25.000 --> 00:17:30.000]   And it's actually a lifestyle that generates a lot of happiness because of that control you have all of a sudden over your own destiny.
[00:17:30.000 --> 00:17:33.000]   You know, when I talked about earlier when I was kind of floating like a cork in the ocean,
[00:17:33.000 --> 00:17:37.000]   it's kind of depressing to think that, you know, what am I doing?
[00:17:37.000 --> 00:17:39.000]   I have no control over what's happening.
[00:17:39.000 --> 00:17:40.000]   I have no control over my future.
[00:17:40.000 --> 00:17:42.000]   And that's really -- that's kind of a downer, right?
[00:17:42.000 --> 00:17:47.000]   I mean, you're totally depressed and you're -- you know, you have all this debt and you feel like you can't do anything about it.
[00:17:47.000 --> 00:17:53.000]   Once you kind of develop this vision around what you want -- and that's something that an individual has to do.
[00:17:53.000 --> 00:17:54.000]   I can talk all day about what I did.
[00:17:54.000 --> 00:17:57.000]   But in the end, you have to really want it for yourself.
[00:17:57.000 --> 00:18:02.000]   You have to say, I want this freedom and I'm going to do what's necessary to get it.
[00:18:02.000 --> 00:18:08.000]   And as far as the investing side of it is, like I said, these companies aren't really difficult to understand.
[00:18:08.000 --> 00:18:10.000]   You know, you don't need a finance degree.
[00:18:10.000 --> 00:18:14.000]   You don't need prior education to understand how Coca-Cola makes money.
[00:18:14.000 --> 00:18:20.000]   They sell, you know, concentrates and syrups and they sell all kinds of beverages to billions of people all around the world.
[00:18:20.000 --> 00:18:24.000]   You know, juices, waters, you know, obviously carbonated soft drinks and whatnot.
[00:18:24.000 --> 00:18:32.000]   And then you've got your Procter & Gamble that sell, you know, detergents and soaps and toothpaste and batteries and everything else that people need.
[00:18:32.000 --> 00:18:40.000]   So, you know, when you're talking about it like that, it's not like we're -- it's not like I'm talking about investing in merger and acquisition arbitrage or something like that.
[00:18:40.000 --> 00:18:44.000]   I'm talking about just basically investing in long-term, you know, investments.
[00:18:44.000 --> 00:18:47.000]   You know, these are companies that I don't trade in and out of the market.
[00:18:47.000 --> 00:18:49.000]   I don't need to be on it every day.
[00:18:49.000 --> 00:18:57.000]   I was able to go to work and work from 7:30 to 6 or 7:30 to 7 and then work Saturdays and do my, you know, 50-, 60-hour week routine.
[00:18:57.000 --> 00:19:00.000]   And I was able to leave the investments, just kind of do what they do.
[00:19:00.000 --> 00:19:03.000]   And that in itself is really a wonderful learning lesson.
[00:19:03.000 --> 00:19:08.000]   People think that when you invest in a stock market, you've got to watch it every single day or you've got to look at the stocks and watch them go up and down.
[00:19:08.000 --> 00:19:10.000]   It's just like owning a house.
[00:19:10.000 --> 00:19:12.000]   You know, it's just like owning any other major asset in your life.
[00:19:12.000 --> 00:19:17.000]   You don't go to Zillow.com and look at what your house value is every single day.
[00:19:17.000 --> 00:19:20.000]   And then if it's up 2% a day, you think about selling and moving.
[00:19:20.000 --> 00:19:21.000]   It's not like that.
[00:19:21.000 --> 00:19:22.000]   It's the same thing with investing in businesses.
[00:19:22.000 --> 00:19:25.000]   These aren't just stocks or pieces of paper that, you know, trade up and down.
[00:19:25.000 --> 00:19:28.000]   These are actual businesses that are selling real products to real people.
[00:19:28.000 --> 00:19:35.000]   So, that learning lesson was, hey, I can go to the dealership and make my money and earn the capital I need to continue investing.
[00:19:35.000 --> 00:19:37.000]   And these businesses are just going to work for me.
[00:19:37.000 --> 00:19:38.000]   I don't need to worry about them.
[00:19:38.000 --> 00:19:39.000]   I don't need to babysit them.
[00:19:39.000 --> 00:19:45.000]   These are companies with millions of employees, you know, in aggregate working for me as an owner.
[00:19:45.000 --> 00:19:47.000]   So, I can let them do what they do.
[00:19:47.000 --> 00:19:49.000]   I can let them sell products and sell services.
[00:19:49.000 --> 00:19:52.000]   And I can go do my own thing and continue to make money.
[00:19:52.000 --> 00:19:53.000]   That's a great answer.
[00:19:53.000 --> 00:19:55.000]   I was trying to bait you a little bit.
[00:19:55.000 --> 00:20:00.000]   But I like, I mean, you brought out such an important point.
[00:20:00.000 --> 00:20:09.000]   If you don't have a burning desire to do something, you're not going to be able to figure out, you know, how to build the belief in your ability.
[00:20:09.000 --> 00:20:12.000]   But if you have a clear desire, then you can figure it out.
[00:20:12.000 --> 00:20:16.000]   And maybe there will be some starts and stops and some fumbles and some stutters.
[00:20:16.000 --> 00:20:23.000]   But if you can develop a vision about what you're trying to accomplish, you'll figure out a way to get there.
[00:20:23.000 --> 00:20:25.000]   And the background doesn't matter.
[00:20:25.000 --> 00:20:29.000]   The key is that all of us can learn our way out of any problem that we face.
[00:20:29.000 --> 00:20:30.000]   We really can.
[00:20:30.000 --> 00:20:42.000]   And whether it's learning how to simply deal with a problem or whether it's learning how to fix the problem such that it no longer exists, we can learn our way through it if we have a clear vision.
[00:20:42.000 --> 00:20:43.000]   Right.
[00:20:43.000 --> 00:20:46.000]   Did you -- your whole site is about dividends.
[00:20:46.000 --> 00:20:59.000]   And so as I understand it, your strategy is to purchase dividend-paying companies and focus on that as -- and focus on the amount of dividends that they're paying you as a major metric for your success.
[00:20:59.000 --> 00:21:00.000]   Right.
[00:21:00.000 --> 00:21:07.000]   Did you go through a process of considering various investment alternatives and then this is what you landed on?
[00:21:07.000 --> 00:21:10.000]   Share with me that learning process.
[00:21:10.000 --> 00:21:11.000]   Yep. Yeah.
[00:21:11.000 --> 00:21:13.000]   So that dates back about five or so years ago.
[00:21:13.000 --> 00:21:16.000]   That was late 2009, early 2010.
[00:21:16.000 --> 00:21:18.000]   And I was reading a number of books.
[00:21:18.000 --> 00:21:20.000]   The first book I read was Your Money or Your Life.
[00:21:20.000 --> 00:21:22.000]   And that's -- first of all, that's a fantastic book.
[00:21:22.000 --> 00:21:30.000]   I recommend that to anybody who is just kind of starting out and trying to kind of -- they got the gears working in their head but the light bulb hasn't quite lit up quite yet.
[00:21:30.000 --> 00:21:32.000]   So that's a great book.
[00:21:32.000 --> 00:21:38.000]   And that kind of formed the framework, if you will, of trying to get out of debt and become financially independent.
[00:21:38.000 --> 00:21:41.000]   As far as investing specifically in dividends, yes, I started to read books.
[00:21:41.000 --> 00:21:46.000]   The first strategy that I looked into is index investing.
[00:21:46.000 --> 00:22:00.000]   So just putting away capital every single month and putting it into an S&P 500 fund or a total market fund and then maybe diversifying that with a bond fund or a real estate fund, what have you, two or three funds and then you just set it and forget it kind of thing.
[00:22:00.000 --> 00:22:04.000]   And I looked into that and that seemed like a very viable strategy.
[00:22:04.000 --> 00:22:12.000]   And, in fact, if I wasn't doing what I am doing, if I weren't doing this, then I would definitely just index invest.
[00:22:12.000 --> 00:22:13.000]   That's all I would do.
[00:22:13.000 --> 00:22:18.000]   I would just maybe open an S&P 500 fund, maybe a bond fund when interest rates rise, and that's it.
[00:22:18.000 --> 00:22:19.000]   It's very simple, very easy.
[00:22:19.000 --> 00:22:20.000]   Anybody can do that.
[00:22:20.000 --> 00:22:27.000]   And low fees, you also collect a little bit of income via the yield that these funds yield.
