
[00:00:00.000 --> 00:00:09.880]   Hello, everybody.
[00:01:59.920 --> 00:02:02.760]   And I think that's great that you were thinking ahead.
[00:02:02.760 --> 00:02:08.560]   And when you talked about the end was near and you talked about the mental and then the
[00:02:08.560 --> 00:02:13.760]   physical, what do you think goes first, at least for you, the mental exhaustion or the
[00:02:13.760 --> 00:02:17.360]   physical exhaustion of playing in the NBA for so many years?
[00:02:17.360 --> 00:02:19.320]   Yeah, that's a great question.
[00:02:19.320 --> 00:02:22.320]   I think it varies player by player.
[00:02:22.320 --> 00:02:23.880]   Some guys have to retire real early.
[00:02:23.880 --> 00:02:26.640]   You look at different sports like football, right?
[00:02:26.640 --> 00:02:27.640]   It's different.
[00:02:27.640 --> 00:02:28.640]   Oh, yeah.
[00:02:28.640 --> 00:02:33.920]   For me, I think it was mentally and emotionally just exhausting from taking care of all the
[00:02:33.920 --> 00:02:37.760]   rehab, all of the training, all the whole process.
[00:02:37.760 --> 00:02:43.000]   The process to be a professional athlete for some, some guys are super athletic, super
[00:02:43.000 --> 00:02:49.280]   talented, God gifted, wake out of bed and throw a ball 100 yards or run a 4-4-4.
[00:02:49.280 --> 00:02:57.120]   But, you know, at that point in my career, just the, you know, the everyday minutiae
[00:02:57.120 --> 00:02:59.320]   of really taking care of your body.
[00:02:59.320 --> 00:03:05.480]   Also the travel, you know, getting up, traveling on the planes, getting in at 4am.
[00:03:05.480 --> 00:03:07.480]   This is, you know, an incredible lifestyle.
[00:03:07.480 --> 00:03:13.360]   You know, I was grateful for it, but definitely hit different in your 20s as opposed to, you
[00:03:13.360 --> 00:03:15.500]   know, your later career in your 30s.
[00:03:15.500 --> 00:03:21.120]   So for me, just that mental and emotional exhaustion was starting to take place.
[00:03:21.120 --> 00:03:25.080]   And also by then, how many championships did you win?
[00:03:25.080 --> 00:03:30.320]   Yeah, we, we had, we were 2-1 at that point.
[00:03:30.320 --> 00:03:32.200]   We were just going into 2018.
[00:03:32.200 --> 00:03:36.880]   So we had won our third championship that year.
[00:03:36.880 --> 00:03:40.400]   So when you got three, it's kind of like, it's almost kind of like house's money.
[00:03:40.400 --> 00:03:42.360]   You're like, yeah, I got it all.
[00:03:42.360 --> 00:03:47.480]   So, I mean, the difference between three and four, it's kind of, is that a big of deal
[00:03:47.480 --> 00:03:49.760]   as going from zero to one?
[00:03:49.760 --> 00:03:54.800]   Yeah, I mean, it may not feel different.
[00:03:54.800 --> 00:03:58.840]   It does feel different actually, because the first one, you know, it's nothing like the
[00:03:58.840 --> 00:03:59.840]   first.
[00:03:59.840 --> 00:04:00.840]   Nothing like the first, right.
[00:04:00.840 --> 00:04:02.320]   It's just like, it's just getting up there.
[00:04:02.320 --> 00:04:05.360]   All, you know, the journey, it's like your life story, right?
[00:04:05.360 --> 00:04:11.400]   And you're up there and it's, you know, it's just this huge culmination of, you know, everything
[00:04:11.400 --> 00:04:12.400]   you worked for.
[00:04:12.400 --> 00:04:17.560]   But then, you know, I think going into the third one and then seeing the fourth one being
[00:04:17.560 --> 00:04:23.840]   won as an executive, you know, I think the appreciation, you know, and then the craftsmanship
[00:04:23.840 --> 00:04:28.520]   that goes into those because of, you know, you're relying on your experience, you're
[00:04:28.520 --> 00:04:32.320]   relying on kind of workforce knowledge, if you will, right.
[00:04:32.320 --> 00:04:33.320]   Yeah.
[00:04:33.320 --> 00:04:37.400]   You know, getting there, how to win, how to do it, as opposed to, you know, maybe some
[00:04:37.400 --> 00:04:44.080]   of that, you know, athleticism or just excitement, you know, wanting to really do it in the beginning.
[00:04:44.080 --> 00:04:48.600]   But I'll take all the rings.
[00:04:48.600 --> 00:04:50.000]   I mean, four rings.
[00:04:50.000 --> 00:04:54.440]   Well, how many players in the NBA have four rings?
[00:04:54.440 --> 00:04:55.440]   Do you know?
[00:04:55.440 --> 00:04:56.440]   Yeah, no, man.
[00:04:56.440 --> 00:04:57.440]   Not a lot.
[00:04:57.440 --> 00:05:01.000]   It's got to be less than a percent, one percent.
[00:05:01.000 --> 00:05:02.000]   Yeah, yeah.
[00:05:02.000 --> 00:05:03.000]   It's not a lot.
[00:05:03.000 --> 00:05:07.360]   I mean, it's, I'm grateful, you know, who would have thought, you know.
[00:05:07.360 --> 00:05:10.160]   If I had signed up 2014, you know, I would have been on that journey.
[00:05:10.160 --> 00:05:11.160]   So right, right.
[00:05:11.160 --> 00:05:15.160]   You know, best decision, best decision they ever made.
[00:05:15.160 --> 00:05:18.040]   Hey, you had to accept it, right?
[00:05:18.040 --> 00:05:19.400]   You got to say no, go and stay.
[00:05:19.400 --> 00:05:22.920]   I don't want the millions or whatever your contract.
[00:05:22.920 --> 00:05:23.920]   I want to stay.
[00:05:23.920 --> 00:05:24.920]   Where were you before Golden State?
[00:05:24.920 --> 00:05:25.920]   Yeah.
[00:05:25.920 --> 00:05:26.920]   So I was in Brooklyn.
[00:05:26.920 --> 00:05:27.920]   Right, right.
[00:05:27.920 --> 00:05:28.920]   I was in Brooklyn playing for the Nets.
[00:05:28.920 --> 00:05:34.280]   That year, we had Kevin Garnett, Paul Pierce, Darren Williams.
[00:05:34.280 --> 00:05:35.560]   So they had some greats.
[00:05:35.560 --> 00:05:40.840]   But it was, you know, it was a gamble because I had a chance to play, you know, it was the
[00:05:40.840 --> 00:05:41.840]   year of 2014, 2015.
[00:05:41.840 --> 00:05:48.360]   I had an opportunity to play for a couple other teams that offered me around the same
[00:05:48.360 --> 00:05:51.040]   contract, the same money.
[00:05:51.040 --> 00:05:54.600]   But the opportunity was too great to play at Golden State.
[00:05:54.600 --> 00:05:56.520]   And, you know, it worked out.
[00:05:56.520 --> 00:05:57.520]   It worked out.
[00:05:57.520 --> 00:05:58.760]   No, it definitely worked out.
[00:05:58.760 --> 00:06:04.360]   I mean, back in 2014, I mean, clearly you had to look at the roster composition and
[00:06:04.360 --> 00:06:05.360]   the coach.
[00:06:05.360 --> 00:06:06.920]   It wasn't Mark Jackson at the time.
[00:06:06.920 --> 00:06:07.920]   I forgot.
[00:06:07.920 --> 00:06:08.920]   That's right.
[00:06:08.920 --> 00:06:09.920]   Jackson.
[00:06:09.920 --> 00:06:15.840]   But did you see that team and say, "Ah, this is a team where it has potential"?
[00:06:15.840 --> 00:06:22.040]   How did you go about assessing that, the team aspect before making that decision to join?
[00:06:22.040 --> 00:06:23.040]   It's interesting.
[00:06:23.040 --> 00:06:25.560]   The year I was in Brooklyn, we played Golden State.
[00:06:25.560 --> 00:06:27.120]   They were on an East Coast road trip.
[00:06:27.120 --> 00:06:32.200]   And I want to say this was like the last or second to last game before they were going
[00:06:32.200 --> 00:06:33.200]   home.
[00:06:33.200 --> 00:06:36.840]   And they were on a back-to-back, just played Miami, who at the time were the defending
[00:06:36.840 --> 00:06:38.480]   champions, just beat Miami.
[00:06:38.480 --> 00:06:40.760]   And they were really rolling.
[00:06:40.760 --> 00:06:42.760]   You know, they had a really good year that year.
[00:06:42.760 --> 00:06:45.020]   Lost to the Clippers in the playoffs.
[00:06:45.020 --> 00:06:47.360]   This was a night in January.
[00:06:47.360 --> 00:06:49.080]   And I remember going to Chapel.
[00:06:49.080 --> 00:06:50.800]   We go to the Chapels before games.
[00:06:50.800 --> 00:06:53.640]   You know, just regular routine.
[00:06:53.640 --> 00:06:55.200]   And who walks in?
[00:06:55.200 --> 00:06:56.200]   Mark Jackson.
[00:06:56.200 --> 00:06:59.720]   You know, Mark Jackson walks in.
[00:06:59.720 --> 00:07:00.720]   You know, I see him.
[00:07:00.720 --> 00:07:01.720]   I nod.
[00:07:01.720 --> 00:07:02.720]   I say, "What's up?"
[00:07:02.720 --> 00:07:04.600]   We go through Chapel.
[00:07:04.600 --> 00:07:07.000]   And then afterwards, he stops me.
[00:07:07.000 --> 00:07:09.160]   And he's like, "Hey, man.
[00:07:09.160 --> 00:07:10.160]   Really proud of your journey.
[00:07:10.160 --> 00:07:11.160]   We're watching you.
[00:07:11.160 --> 00:07:12.160]   Keep going."
[00:07:12.160 --> 00:07:18.160]   And I just remember, you know, just him giving me that affirmation.
[00:07:18.160 --> 00:07:23.520]   And, you know, somebody that I really respected, Mark Jackson, one of the all-time great point
[00:07:23.520 --> 00:07:26.280]   guards out of New York City.
[00:07:26.280 --> 00:07:27.280]   Great coach at the time.
[00:07:27.280 --> 00:07:30.120]   Golden State's really rolling, having a lot of success.
[00:07:30.120 --> 00:07:34.760]   And so, in the back of my mind, Golden State is like an option.
[00:07:34.760 --> 00:07:38.360]   You know, it's like, "Oh, Mark Jackson kind of likes my game."
[00:07:38.360 --> 00:07:40.120]   You know, I'm looking at Golden State.
[00:07:40.120 --> 00:07:42.080]   They're a team on the rise.
[00:07:42.080 --> 00:07:44.800]   And at this point in my career, I just want to be on a playoff team.
[00:07:44.800 --> 00:07:46.720]   And I want to be in the playoffs.
[00:07:46.720 --> 00:07:48.520]   Shooting for a chance for a championship.
[00:07:48.520 --> 00:07:50.840]   That's all I can ask for.
[00:07:50.840 --> 00:07:54.920]   And so, it's just funny how it came full circle.
[00:07:54.920 --> 00:08:00.240]   Now, when I signed with Golden State, Mark Jackson had just got fired and Steve Kerr
[00:08:00.240 --> 00:08:02.640]   was the new coach.
[00:08:02.640 --> 00:08:06.600]   And so, it's just, you know, ironic how things work out.
[00:08:06.600 --> 00:08:10.720]   But I truly do believe, even if Mark Jackson would have been head coach, I might have been
[00:08:10.720 --> 00:08:12.320]   playing for Golden State.
[00:08:12.320 --> 00:08:13.320]   Yeah.
[00:08:13.320 --> 00:08:15.520]   Now, that's interesting.
[00:08:15.520 --> 00:08:21.520]   It certainly seems that the coach has a lot of sway in how the roster is built.
[00:08:21.520 --> 00:08:24.280]   And you spent several years as an executive after you played.
[00:08:24.280 --> 00:08:27.320]   So, how much power does the coach have?
[00:08:27.320 --> 00:08:33.160]   So, if Steve Kerr says, "I want some kid from this college or from this team on the East
[00:08:33.160 --> 00:08:37.240]   Coast in the NBA," how much sway do they have to bring them on board?
[00:08:37.240 --> 00:08:38.240]   Yeah.
[00:08:38.240 --> 00:08:43.200]   Well, I mean, when you win multiple championships, I think that usually factors in.
[00:08:43.200 --> 00:08:44.200]   Right?
[00:08:44.200 --> 00:08:46.640]   So, it's really relative to your experience.
[00:08:46.640 --> 00:08:50.960]   Similar to probably most corporate jobs, I'd imagine.
[00:08:50.960 --> 00:08:56.320]   The more experience, the bigger your resume and your track record, I think the more autonomy
[00:08:56.320 --> 00:09:00.280]   that you may have from upper management or your board.
[00:09:00.280 --> 00:09:05.720]   And in that case, Steve Kerr, he had earned his right to really sit at the table.
[00:09:05.720 --> 00:09:06.720]   Yeah.
[00:09:06.720 --> 00:09:11.160]   And he's the one that's making the coaching decisions at the end of the day.
[00:09:11.160 --> 00:09:16.560]   And so, for someone like him to not have a voice, I think it really hinders the development
[00:09:16.560 --> 00:09:19.040]   of the team and the direction you're going.
[00:09:19.040 --> 00:09:20.040]   Right.
[00:09:20.040 --> 00:09:25.360]   So, it's a case-by-case basis based on the coach and their relationship with the organization.
[00:09:25.360 --> 00:09:26.360]   Right.
[00:09:26.360 --> 00:09:31.600]   It does seem interesting because some coaches, like Doc Rivers was coach and president or
[00:09:31.600 --> 00:09:32.600]   something.
[00:09:32.600 --> 00:09:34.520]   So, it seems like he had more say.
[00:09:34.520 --> 00:09:37.440]   And I guess some newer coaches have less say.
[00:09:37.440 --> 00:09:38.440]   That's right.
[00:09:38.440 --> 00:09:44.880]   And you're seeing more of the hybrid roles, I believe, Greg Popovich, Doc Rivers, and
[00:09:44.880 --> 00:09:45.880]   Phil Jackson.
[00:09:45.880 --> 00:09:47.800]   But these are household names.
[00:09:47.800 --> 00:09:48.800]   Right.
[00:09:48.800 --> 00:09:52.520]   I mean, these are names that, you know, guys that won multiple championships.
[00:09:52.520 --> 00:09:54.480]   They're honored coaches.
[00:09:54.480 --> 00:09:58.960]   But I will say it's very hard to do dual responsibilities.
[00:09:58.960 --> 00:09:59.960]   Just like with anything.
[00:09:59.960 --> 00:10:03.360]   You usually outsource maybe the CFO or CMO, right?
[00:10:03.360 --> 00:10:06.480]   I mean, it's all different jobs.
[00:10:06.480 --> 00:10:12.120]   So, I think with the structure of having a general manager in place and a head coach,
[00:10:12.120 --> 00:10:17.200]   and then for those guys to really work together in tangent, that's found to have the most
[00:10:17.200 --> 00:10:18.200]   success, I believe.
[00:10:18.200 --> 00:10:19.200]   Right.
[00:10:19.200 --> 00:10:24.760]   Let's talk a little bit about your background because I know you grew up in Peoria, Illinois.
[00:10:24.760 --> 00:10:28.600]   You're 6'7" and you went straight to the NBA.
[00:10:28.600 --> 00:10:33.040]   So, to me and I think to many listeners, you've been one of the trailblazers.
[00:10:33.040 --> 00:10:38.600]   You're like a prototype point guard, different type of point guard, like Magic Johnson who
[00:10:38.600 --> 00:10:41.760]   was 6'8", 6'9", and you went straight to the NBA.
[00:10:41.760 --> 00:10:49.000]   So, can you talk about that journey from high school to almost going to college and then
[00:10:49.000 --> 00:10:54.400]   going to the NBA first and then how you were, I guess, viewed upon back in that day when
[00:10:54.400 --> 00:10:55.400]   you were in high school?
[00:10:55.400 --> 00:10:56.400]   Yeah.
[00:10:56.400 --> 00:10:59.680]   Oh, that was, man, that was a whirlwind of a time.
[00:10:59.680 --> 00:11:05.480]   So, I graduated high school in 2004, it was class of 2004.
[00:11:05.480 --> 00:11:10.360]   And at that time, LeBron James had just come out of high school and went into the NBA draft.
[00:11:10.360 --> 00:11:13.320]   He was the first pick out of 2003.
[00:11:13.320 --> 00:11:19.240]   And that was the famous class of LeBron James, Dwayne Wade, Chris Bosh, Carmelo Anthony.
[00:11:19.240 --> 00:11:21.400]   I mean, hall of famers, right?
[00:11:21.400 --> 00:11:22.400]   Yeah, for sure.
[00:11:22.400 --> 00:11:25.120]   But LeBron James was the only one out of high school.
[00:11:25.120 --> 00:11:26.520]   Kendrick Perkins as well.
[00:11:26.520 --> 00:11:29.520]   He's a funny as can be personality.
[00:11:29.520 --> 00:11:30.520]   Perks, yeah.
[00:11:30.520 --> 00:11:31.520]   Yeah.
[00:11:31.520 --> 00:11:32.520]   So, it was a trend.
[00:11:32.520 --> 00:11:34.120]   You saw a trend of high school players.
[00:11:34.120 --> 00:11:38.800]   Obviously, the Kobe Bryants and the Kevin Garnetts, guys that have gone way before my
[00:11:38.800 --> 00:11:39.800]   time.
[00:11:39.800 --> 00:11:45.360]   So, coming into my senior year, I had a lot of whatever you want to call it, hype, you
[00:11:45.360 --> 00:11:48.000]   know, around my basketball future.
[00:11:48.000 --> 00:11:51.080]   While I go to college, while I go to the NBA.
[00:11:51.080 --> 00:11:54.800]   And before my senior year, I signed on to go to Duke University.
[00:11:54.800 --> 00:11:55.800]   Right.
[00:11:55.800 --> 00:11:57.200]   I was going to play for Coach K.
[00:11:57.200 --> 00:11:58.200]   Coach K.
[00:11:58.200 --> 00:11:59.200]   Legendary.
[00:11:59.200 --> 00:12:00.200]   Legend.
[00:12:00.200 --> 00:12:01.200]   Drank the Kool-Aid.
[00:12:01.200 --> 00:12:02.200]   Free tuition, right?
[00:12:02.200 --> 00:12:03.200]   That's right.
[00:12:03.200 --> 00:12:04.200]   That's right.
[00:12:04.200 --> 00:12:05.200]   That's right.
[00:12:05.200 --> 00:12:06.200]   Great university, great players.
[00:12:06.200 --> 00:12:11.980]   And after my senior year, I played in a couple of All-American games in front of some Pro
[00:12:11.980 --> 00:12:12.980]   Scouts.
[00:12:12.980 --> 00:12:13.980]   And I did some workouts.
[00:12:13.980 --> 00:12:18.920]   And towards the end of my senior year, I was traveling on the weekends, getting out of
[00:12:18.920 --> 00:12:24.760]   school early Friday, going up to work out in Chicago with Tim Grover.
[00:12:24.760 --> 00:12:27.800]   Tim Grover at the time had worked with Michael Jordan.
[00:12:27.800 --> 00:12:28.800]   So, that was his personal career.
[00:12:28.800 --> 00:12:29.800]   Oh, okay.
[00:12:29.800 --> 00:12:30.800]   Oh, wow.
[00:12:30.800 --> 00:12:33.800]   And, you know, so at that time, MJ had just retired.
[00:12:33.800 --> 00:12:34.800]   Tim Grover had just retired.
[00:12:34.800 --> 00:12:38.440]   Tim Grover was doing his thing.
[00:12:38.440 --> 00:12:44.640]   And he had all the best talent competition coming, you know, and playing pickup, you
[00:12:44.640 --> 00:12:45.640]   know, during the summer.
[00:12:45.640 --> 00:12:47.640]   So, guys would come back and play.
[00:12:47.640 --> 00:12:53.000]   And so, this was kind of my foray into the NBA world.
[00:12:53.000 --> 00:12:57.760]   And so, I remember doing a workout that Steve Kerr actually was at at the time.
[00:12:57.760 --> 00:12:58.760]   Oh, really?
[00:12:58.760 --> 00:13:01.080]   And he was the general manager of the Phoenix Suns.
[00:13:01.080 --> 00:13:02.080]   Oh, yeah.
[00:13:02.080 --> 00:13:03.080]   That's right.
[00:13:03.080 --> 00:13:04.640]   And so, he was at this workout.
[00:13:04.640 --> 00:13:07.080]   It was 30 NBA scouts.
[00:13:07.080 --> 00:13:08.800]   And there was nobody else that I was playing with.
[00:13:08.800 --> 00:13:10.800]   It was just one on one workout.
[00:13:10.800 --> 00:13:11.800]   Really?
[00:13:11.800 --> 00:13:12.800]   Just 30 scouts, you and…
[00:13:12.800 --> 00:13:13.800]   30 scouts.
[00:13:13.800 --> 00:13:14.800]   And me and Tim Grover.
[00:13:14.800 --> 00:13:16.800]   Me, Tim Grover, and a rebound guy.
[00:13:16.800 --> 00:13:19.080]   And he put me through this workout for an hour.
[00:13:19.080 --> 00:13:22.600]   You know, I'm running, running full court, three dribbles, going, "Ah!"
[00:13:22.600 --> 00:13:25.000]   Running right down three quarters, going, "Ah!"
[00:13:25.000 --> 00:13:28.720]   You know, like showing my handles, dribbling, you know, doing all these different drills.
[00:13:28.720 --> 00:13:32.720]   So, after the workout, you know, I'm still deciding, "Do I want to go to the NBA?
[00:13:32.720 --> 00:13:34.400]   Am I going to college?"
[00:13:34.400 --> 00:13:37.280]   And this was kind of my test.
[00:13:37.280 --> 00:13:41.560]   And I remember Tim Grover, you know, he was kind of, you know, talking with the scouts
[00:13:41.560 --> 00:13:42.560]   afterwards.
[00:13:42.560 --> 00:13:45.720]   I'm going, getting dressed in the hockey room, kind of finish my second workout for
[00:13:45.720 --> 00:13:46.880]   the day.
[00:13:46.880 --> 00:13:47.880]   And he comes in.
[00:13:47.880 --> 00:13:49.560]   He's like, "You're not going lower than seven.
[00:13:49.560 --> 00:13:50.560]   You're not."
[00:13:50.560 --> 00:13:51.560]   Oh, nice.
[00:13:51.560 --> 00:13:52.840]   He says, "Atlanta Hawks, they got the seventh pick."
[00:13:52.840 --> 00:13:54.400]   He's like, "I know them."
[00:13:54.400 --> 00:13:57.840]   He's like, "We're not letting them get lower than seven."
[00:13:57.840 --> 00:13:59.840]   So at that point, I'm like, "Okay."
[00:13:59.840 --> 00:14:00.840]   Huh.
[00:14:00.840 --> 00:14:01.840]   All right.
[00:14:01.840 --> 00:14:02.840]   I could be top seven.
[00:14:02.840 --> 00:14:05.600]   Like, that's realistic.
[00:14:05.600 --> 00:14:07.480]   It's not just draft board.
[00:14:07.480 --> 00:14:09.280]   It's not just a mock draft, right?
[00:14:09.280 --> 00:14:10.280]   All right.
[00:14:10.280 --> 00:14:11.280]   So, I'm like, "Okay.
[00:14:11.280 --> 00:14:17.840]   I can go to college, right, and try to move up to top five, maybe top three."
[00:14:17.840 --> 00:14:18.840]   Right.
[00:14:18.840 --> 00:14:22.280]   Because, you know, backtracking, my goal, my dream was always to make it to the NBA.
[00:14:22.280 --> 00:14:28.400]   I grew up in Peoria, Illinois, Chicago right up the street, the Bulls, MJ, championships,
[00:14:28.400 --> 00:14:29.400]   '90s.
[00:14:29.400 --> 00:14:30.400]   That was my dream.
[00:14:30.400 --> 00:14:31.400]   Amazing.
[00:14:31.400 --> 00:14:32.400]   Exactly.
[00:14:32.400 --> 00:14:36.600]   So now, to be going through this, working out with this trainer, the whole nine, this
[00:14:36.600 --> 00:14:38.680]   was my dream to make it to the NBA.
[00:14:38.680 --> 00:14:46.040]   So the probability and the chances of me going higher than top five, top seven were really
[00:14:46.040 --> 00:14:48.640]   low by going to college.
[00:14:48.640 --> 00:14:50.680]   You know, because I could get injured as well.
[00:14:50.680 --> 00:14:51.680]   Sure.
[00:14:51.680 --> 00:14:52.680]   I could get a heart attack and my stock could fall.
[00:14:52.680 --> 00:14:54.360]   You know, there's different things.
[00:14:54.360 --> 00:14:57.080]   So I went for it.
[00:14:57.080 --> 00:14:59.360]   And so I entered my name in the draft.
[00:14:59.360 --> 00:15:00.360]   I hired an agent.
[00:15:00.360 --> 00:15:01.800]   I ended up getting picked number four.
[00:15:01.800 --> 00:15:02.800]   Nice.
[00:15:02.800 --> 00:15:06.120]   Number four pick out of high school, going to the Los Angeles Clippers.
[00:15:06.120 --> 00:15:09.160]   And then it was just, I was like a deer in headlights.
[00:15:09.160 --> 00:15:10.160]   I was like, "I made it."
[00:15:10.160 --> 00:15:11.160]   You know?
[00:15:11.160 --> 00:15:12.160]   You made it.
[00:15:12.160 --> 00:15:13.640]   But then I get there and it's like newsflash.
[00:15:13.640 --> 00:15:15.680]   It's like the journey starts all over again.
[00:15:15.680 --> 00:15:16.680]   Yeah.
[00:15:16.680 --> 00:15:17.680]   You're at the bottom of the totem pole.
[00:15:17.680 --> 00:15:18.680]   You know?
[00:15:18.680 --> 00:15:19.680]   It's like, "Get the towels, Rook."
[00:15:19.680 --> 00:15:20.680]   You know?
[00:15:20.680 --> 00:15:21.680]   Yeah, yeah, yeah.
[00:15:21.680 --> 00:15:22.680]   "Get the bags."
[00:15:22.680 --> 00:15:23.680]   Is it one year of hazing or in general?
[00:15:23.680 --> 00:15:24.680]   Is that how it goes?
[00:15:24.680 --> 00:15:25.680]   They do it differently.
[00:15:25.680 --> 00:15:26.680]   It's one year or 82 games, depending on, you know, you got to go through your whole 82.
[00:15:26.680 --> 00:15:27.680]   So if you're injured that first year, you might have to make it up.
[00:15:27.680 --> 00:15:28.680]   But usually it's that first year.
[00:15:28.680 --> 00:15:29.680]   And you know, so even back then you were going through this cost benefit analysis.
[00:15:29.680 --> 00:15:30.680]   You know, in high school you're like, "What is the percentage chance I'm going to make
[00:15:30.680 --> 00:15:31.680]   it?"
[00:15:31.680 --> 00:15:32.680]   And you're like, "I'm going to make it."
[00:15:32.680 --> 00:15:33.680]   And you're like, "I'm going to make it."
[00:15:33.680 --> 00:15:34.680]   And you're like, "I'm going to make it."
[00:15:34.680 --> 00:15:35.680]   And you're like, "I'm going to make it."
[00:15:35.680 --> 00:15:36.680]   And you're like, "I'm going to make it."
[00:15:36.680 --> 00:16:01.400]   And you're like, "I'm going to make it."
[00:16:01.400 --> 00:16:04.200]   How does the money work in terms of the cliffs?
[00:16:04.200 --> 00:16:07.120]   Like, is it, you know, how does that work?
[00:16:07.120 --> 00:16:11.360]   First round money, second round money, guarantees.
[00:16:11.360 --> 00:16:12.360]   What does that look like?
[00:16:12.360 --> 00:16:13.360]   Yeah, yeah.
[00:16:13.360 --> 00:16:16.920]   So usually first round is guaranteed.
[00:16:16.920 --> 00:16:20.080]   And then it's a tiered system based on the salary cap.
[00:16:20.080 --> 00:16:22.560]   Obviously the salary cap has gone up over the years.
[00:16:22.560 --> 00:16:25.440]   So those tiers have been getting bigger.
[00:16:25.440 --> 00:16:32.080]   And you see, I believe the number one pick, maybe, you know, my year was making $4 million.
[00:16:32.080 --> 00:16:34.840]   Now the number one pick may be making $12 million.
[00:16:34.840 --> 00:16:37.280]   And that's for how many years?
[00:16:37.280 --> 00:16:39.280]   For three years, guaranteed.
[00:16:39.280 --> 00:16:40.280]   Got it.
[00:16:40.280 --> 00:16:43.000]   With a fourth year option.
[00:16:43.000 --> 00:16:48.160]   And so, you know, but if you're drafted in the second round based on the economics, some
[00:16:48.160 --> 00:16:51.900]   of those guys are signing longer term guarantee deals.
[00:16:51.900 --> 00:16:54.240]   Some of them are signing non-guaranteed deals.
[00:16:54.240 --> 00:17:00.880]   But the chance of you playing yourself into a higher deal, you can do that a lot faster
[00:17:00.880 --> 00:17:02.200]   than a first round guy.
[00:17:02.200 --> 00:17:06.120]   If, you know, so you see guys like Austin Reeves.
[00:17:06.120 --> 00:17:08.560]   You see guys like Gilbert Arenas.
[00:17:08.560 --> 00:17:09.560]   Max Struess.
[00:17:09.560 --> 00:17:10.560]   Max Struess, exactly.
[00:17:10.560 --> 00:17:16.320]   You see these second rounders who, if they crack the rotation and they start to play
[00:17:16.320 --> 00:17:22.560]   really well and their stock goes up, I mean, they could sign a long term deal, you know,
[00:17:22.560 --> 00:17:28.560]   $50, $60 million plus deal for their second, third year in the league.
[00:17:28.560 --> 00:17:33.600]   Whereas as a first rounder, if they extend you and they continue qualifying options and
[00:17:33.600 --> 00:17:39.120]   different things like that, you might have to wait four or five years before you see
[00:17:39.120 --> 00:17:40.120]   a second contract.
[00:17:40.120 --> 00:17:45.360]   Oh, that's fascinating because, I mean, another guy, obviously, is Draymond Green.
[00:17:45.360 --> 00:17:46.360]   Was he first round or second round?
[00:17:46.360 --> 00:17:47.360]   Second round.
[00:17:47.360 --> 00:17:48.400]   He was picked second round, right?
[00:17:48.400 --> 00:17:51.840]   And so he, nobody really kind of was thinking, "Wow, Draymond."
[00:17:51.840 --> 00:17:56.760]   But then, obviously, he went into the rotation when David Lee got injured and, obviously,
[00:17:56.760 --> 00:17:59.080]   he's a great player now.
[00:17:59.080 --> 00:18:00.400]   That's a perfect example.
