
[00:00:00.000 --> 00:00:08.760]   All right, welcome everyone to CS25, I believe week eight.
[00:02:59.000 --> 00:03:12.000]   build in biological constraints into, at the time, convolutional neural networks to make them more brain-like. And my broad interest is in understanding how complex biological systems get put together,
[00:03:12.000 --> 00:03:28.000]   how they work when they're working, and how they don't work when they stop working. Before I go further, I should call out the other people that I work with at Noetic. We're a pretty small machine learning research team. But the stuff I'm going to show you today is due to their efforts as much as mine.
[00:03:28.000 --> 00:03:35.000]   And I'll do my best to call out when they contributed specific things. But in case I forget, these are their names and faces.
[00:03:35.000 --> 00:04:02.000]   Okay, and the last bit of housekeeping. This is kind of my plan for roughly the next hour. I might try to go a little faster to save time for questions at the end. I'm going to try to convince you primarily that there's a lot of really exciting and creative work to be done in multimodal machine learning, especially with transformers. And two, something that I became convinced of in the past year and a half, really, that cancer biology is just a really fantastic place to do that kind of research.
[00:04:02.000 --> 00:04:09.000]   But the kind of data we're generating is really unique and something that I wouldn't have considered as a substrate to do basic ML research.
[00:04:09.000 --> 00:04:29.000]   For bonus points, I'll also try to convince you that we're actually making progress on drug discovery for cancer at Noetic. And then the way that I normally prefer to give presentations is I'm super happy to have clarifying questions. So please, if something doesn't make sense, it's probably I forgot a sentence or a definition. Do let me know.
[00:04:29.000 --> 00:04:39.000]   If you have larger philosophical questions about why we're all here, I'd also love to talk about those. But I'll try to save a little time at the end for the more freewheeling discussion.
[00:04:39.000 --> 00:04:46.000]   Okay. So with that said, let me jump into my conceptual framework for thinking about multimodal model madness.
[00:04:46.000 --> 00:05:09.000]   I think a unifying goal for much of AI, I won't say all of AI, but much of it is to build world models. And by that, I mean, a system that can simulate the future state of the world, conditioned on observations of the current state of the world, and also being able to simulate forward the effects that that system's actions will have on the future.
[00:05:09.000 --> 00:05:25.000]   So this necessarily means you have the reality that is out there, you have sensors that collect information about that reality, you perceive it with your world model, and ideally, you're able to run a simulation of, okay, well, if I take this action, how will the world change in the future?
[00:05:25.000 --> 00:05:35.000]   And that is a very powerful and generic framework for being able to reason about why the world is the way it is, how you should act, it obviously plays into planning and perception.
[00:05:35.000 --> 00:05:44.000]   So one thing that I think is obvious is that the world is perceived at least by us and the world models in our heads in a multimodal way.
[00:05:44.000 --> 00:05:57.000]   So, you know, you have visual modality that will tell you, for example, that this roundabout that I biked through many times on my way to lab is very dangerous and chaotic when people are running late to class and panicking.
[00:05:57.000 --> 00:06:09.000]   I mean, but you're not just getting the visual information, you, of course, also have the audio modality, which comes from a different sensor, a microphone for a machine or ears for us, and you get an audio stream.
[00:06:09.000 --> 00:06:15.000]   And often when you encounter video or image data, you could also have a text representation.
[00:06:15.000 --> 00:06:22.000]   Someone might have written a caption under their video saying, well, this roundabout is extremely chaotic and I'm going to try to avoid it.
[00:06:22.000 --> 00:06:35.000]   My thesis or my assumption is that the best world models are going to be able to incorporate all of these modalities and make decisions about what to do based not just on one of them, but all of them in a productive way.
[00:06:35.000 --> 00:06:47.000]   So when you're running the world model in your head where you're perceiving the data from all of these modalities, you might have a question like, what will happen if I start walking forward into this roundabout?
[00:06:47.000 --> 00:07:01.000]   And because you have the combination of maybe someone warned you ahead of time, you can hear what's going on, you can see what's going on, you're able to predict that you might get crashed into by somebody on a bike who's running late for class.
[00:07:01.000 --> 00:07:05.000]   So the task of that model is effectively multimodal learning.
[00:07:05.000 --> 00:07:11.000]   You need to know how to integrate these various information streams, which natively come in many different formats.
[00:07:11.000 --> 00:07:19.000]   And you need to learn from them in a way that gives you the best chance of making accurate simulations of what's going to happen in the world.
[00:07:19.000 --> 00:07:28.000]   I want to make a distinction that I think is important and will come up a couple of times in this talk about two reasons you might care about combining multimodal streams.
[00:07:28.000 --> 00:07:32.000]   One of them is the idea that you could do multimodality as translation.
[00:07:32.000 --> 00:07:36.000]   You could say there's information in the visual domain, there's information in the audio domain.
[00:07:36.000 --> 00:07:46.000]   And what I want to do is have a representation of the world that merges those things so that I've captured all of the information about one modality in the other modality.
[00:07:46.000 --> 00:07:50.000]   The other thing that you might want to do is disambiguation.
[00:07:50.000 --> 00:07:54.000]   So there could be information that just is not available in one modality.
[00:07:54.000 --> 00:08:02.000]   And so you kind of have a blind spot, both figuratively and literally here, where if you only had a camera, you wouldn't know everything about the state of the world.
[00:08:02.000 --> 00:08:08.000]   And you're going to need to incorporate this other modality to get a full picture of what is happening in the world around you.
[00:08:08.000 --> 00:08:20.000]   So I'll try to talk a little bit as I'm giving examples in the literature and in our work about whether I think we're doing translation or disambiguation.
[00:08:20.000 --> 00:08:24.000]   OK, so translation has a very familiar shape.
[00:08:24.000 --> 00:08:29.000]   It's about capturing all of the information in one modality and another modality.
[00:08:29.000 --> 00:08:40.000]   So when you're building, for example, a text to image system, what you want is for all of the information in the prompt that you're sending to the system to be reflected in the image.
[00:08:40.000 --> 00:08:51.000]   You want to basically push these things together so that when I include a bit of information in the text stream, I want it reflected back to me in the image stream.
[00:08:51.000 --> 00:08:59.000]   And when I talk about disambiguation, what I mean is that you need to piece together information that is only going to be available in one modality or another.
[00:08:59.000 --> 00:09:04.000]   So for example, let's say you're approaching this building and you see everyone sprinting out of it.
[00:09:04.000 --> 00:09:06.000]   Now there's some ambiguity here.
[00:09:06.000 --> 00:09:09.000]   There are actually many reasons why people could be running out of the building.
[00:09:09.000 --> 00:09:15.000]   Now, if you combine that with your sense of hearing, you might hear that there is a fire alarm going off inside.
[00:09:15.000 --> 00:09:20.000]   And that rapidly disambiguates which state of the world you're in, that there's a fire and everyone's running away from it.
[00:09:20.000 --> 00:09:27.000]   But you could also have a second scenario where you hear an announcement that there's free boba for the first 10 students that get to it.
[00:09:27.000 --> 00:09:31.000]   And now everyone is sprinting out of the building and your world model should update, right?
[00:09:31.000 --> 00:09:36.000]   If you want boba, you need to turn around and go one direction, maybe to where the announcement is saying to go.
[00:09:36.000 --> 00:09:42.000]   If there's a fire, you know, you head to the nearest evacuation point or whatever it is we're all supposed to do if that happens.
[00:09:42.000 --> 00:09:58.000]   OK, the next few slides will be kind of a tour that I will acknowledge is both brief and incomplete about how people have tried to incorporate multimodal streams in the literature.
[00:09:58.000 --> 00:10:01.000]   And I'm really going to go over five things here.
[00:10:01.000 --> 00:10:02.000]   You don't have to memorize them now.
[00:10:02.000 --> 00:10:04.000]   I'll go through them one by one.
[00:10:04.000 --> 00:10:18.000]   But one thing that I want to call out is when people talk about multimodality or merging streams from one modality and another, there's often this nomenclature of whether you do an early fusion or late fusion.
[00:10:18.000 --> 00:10:26.000]   And what people usually mean by that is are you bringing the modalities together kind of as soon as possible and then running your processing forward from there?
[00:10:26.000 --> 00:10:35.000]   Or do you process each information stream separately and then bring them together at the very end when you actually need to make a decision about the state of the world and your actions in it?
[00:10:35.000 --> 00:10:45.000]   So I have to admit that this framework doesn't help me think about this space too much, but I've tried to map onto these five things where I think they fall.
[00:10:45.000 --> 00:10:51.000]   And there's kind of a range here from super early fusion to what I would think of as late fusion and everything in between.
[00:10:51.000 --> 00:10:54.000]   So we'll see if you agree with me as I go through it.
[00:10:54.000 --> 00:10:58.000]   OK, the first thing I'm going to talk about is learning joint embedding spaces.
[00:10:58.000 --> 00:11:06.000]   So a model that many of you might be familiar with is the clip approach for combining the modalities of image and text.
[00:11:06.000 --> 00:11:13.000]   The primary idea here is to do contrastive learning where you have two encoders, an image encoder.
[00:11:13.000 --> 00:11:15.000]   Let's see if my mouse shows up.
[00:11:15.000 --> 00:11:19.000]   You have an image encoder that pushes images down into an embedding.
[00:11:19.000 --> 00:11:25.000]   And you have a text encoder that takes corresponding captions and pushes those down into an embedding.
[00:11:25.000 --> 00:11:33.000]   And the objective for the model is to make the embeddings for corresponding image and text pairs as similar as possible,
[00:11:33.000 --> 00:11:36.000]   while pushing away the representations of mismatched pairs.
[00:11:36.000 --> 00:11:43.000]   For example, the similarity between the embedding for image two and caption one should be as low as possible,
[00:11:43.000 --> 00:11:47.000]   while increasing the similarity between the embedding for image one and text one.
[00:11:47.000 --> 00:11:53.000]   And this is kind of explicitly trying to learn a single joint representation space,
[00:11:53.000 --> 00:11:58.000]   where if you pick a point in that space, there should be kind of an image that corresponds to that point,
[00:11:58.000 --> 00:12:01.000]   and also a text sample that also corresponds to that point.
[00:12:01.000 --> 00:12:06.000]   And that way you can kind of translate between the text modality and the image modality.
[00:12:06.000 --> 00:12:09.000]   You can see this explicitly in the paper.
[00:12:09.000 --> 00:12:13.000]   On the right of this figure, you can see that what they're doing is taking an image,
[00:12:13.000 --> 00:12:16.000]   figuring out what the embedding of that image is with the image encoder,
[00:12:16.000 --> 00:12:25.000]   and then searching over many possible text inputs that will bring you as close as possible to that point in the representation space.
[00:12:25.000 --> 00:12:28.000]   So I would consider this actually relatively late fusion,
[00:12:28.000 --> 00:12:33.000]   because you're learning the image encoder pretty much separately from the text encoder.
[00:12:33.000 --> 00:12:39.000]   Those don't interact until there's pressure through the loss function to make those embeddings as similar as possible.
[00:12:39.000 --> 00:12:49.000]   I would say kind of like, I don't want to call it the grown-up version of this, but an expanded version of this is the image bind approach.
[00:12:49.000 --> 00:12:54.000]   And if people aren't familiar with this, it is still a contrastive learning objective between modalities.
[00:12:54.000 --> 00:13:07.000]   But instead of just doing images and captions, it uses images as kind of an anchor and learns pairwise contrastive between images and text, images and depth maps, images and audio.
[00:13:07.000 --> 00:13:14.000]   And the underlying objective here is the same, that you want a single representation space where it doesn't matter which modality you came in through.
[00:13:14.000 --> 00:13:18.000]   Once you know where you are, you can kind of back out what all the modalities should look like.
[00:13:18.000 --> 00:13:32.000]   And in fact, in this paper, they do some interesting demonstrations of that space by doing things like embedding space arithmetic or prompting with one modality and seeing where you fall in that space on other modalities.
[00:13:32.000 --> 00:13:35.000]   Okay.
[00:13:35.000 --> 00:13:45.000]   The other option that I have done occasionally but I think is not popular for technical reasons is super, super, super early fusion, where you can just directly concatenate raw inputs.
[00:13:45.000 --> 00:13:52.000]   So consider if you had, for example, a 3D RGB color image, and you also had a depth image.
[00:13:52.000 --> 00:14:00.000]   What you could do is just staple on the depth image as a fourth channel and then train a continent or train your vision transformer and pretend that you had four channels all along.
[00:14:00.000 --> 00:14:05.000]   And that is a totally valid way to incorporate information from multiple modalities.
[00:14:05.000 --> 00:14:11.000]   The reason that I think it is not super popular is it requires that there's something to concatenate on.
[00:14:11.000 --> 00:14:18.000]   So people typically will first kind of project raw inputs down to tokens and then concatenate token streams, which I'll talk about in a second.
[00:14:18.000 --> 00:14:28.000]   But if you want to jump really, really, really to the front of that encoding stack, sometimes you have your height and width dimensions on images lineup and you can just concatenate directly.
[00:14:28.000 --> 00:14:34.000]   Okay, the third option that you could do is cross attention.
[00:14:34.000 --> 00:14:37.000]   So now we're getting much more transformer specific.
[00:14:37.000 --> 00:14:42.000]   The idea here is you have two token streams, one from each modality.
[00:14:42.000 --> 00:14:50.000]   In the example from the Lou et al 2019 paper, you have one token stream that comes from images, and then you also have a second token stream that comes from text.
[00:14:50.000 --> 00:14:52.000]   So those are your two modalities.
[00:14:52.000 --> 00:14:57.000]   You can have as many self attention layers as you want within each stream.
[00:14:57.000 --> 00:15:08.000]   But then you can also have these cross attention layers, which are shown here in the diagram, where you're basically giving each modality the chance to be kind of the primary.
[00:15:08.000 --> 00:15:15.000]   The primary will generate the queries in the attention operation, and the secondary stream will provide the keys and values.
[00:15:15.000 --> 00:15:26.000]   And because that is an asymmetric procedure, you will often see these cross attention layers duplicated on either side of the processing stream.
[00:15:26.000 --> 00:15:34.000]   So that in one example, the images get to provide the queries, and in the other side of it, the text stream gets to provide the queries.
[00:15:34.000 --> 00:15:39.000]   I broke this out just because when I was first implementing this, it was helpful to think about.
[00:15:39.000 --> 00:15:52.000]   But if you look at what is actually happening in an attention layer, you have your input x, you will have a linear projection to your queries q, your keys k, and your values v.
[00:15:52.000 --> 00:15:59.000]   And then those go into your scale dot product attention operator, and then linear projection and dropout.
[00:15:59.000 --> 00:16:06.000]   All you're doing in a cross attention layer is you're taking input from another stream y, and you're using that to generate the keys and values.
[00:16:06.000 --> 00:16:09.000]   But everything else stays as is.
[00:16:09.000 --> 00:16:14.000]   This gives you a chance to have the two information streams mingle somewhere in the middle of the network.
[00:16:14.000 --> 00:16:20.000]   So I would call this intermediate fusion, depending which layers you're doing it in.
[00:16:20.000 --> 00:16:27.000]   Okay, the fourth option which I alluded to when I was talking about concatenation is you can just slap tokens onto a stream.
[00:16:27.000 --> 00:16:42.000]   I think one thing that has really resonated with me is, as we move into using transformers in more and more domains, the fact that everything is just tokens all the way down makes it really easy to add more tokens to a sequence, and they can come from other modalities if you'd like.
[00:16:42.000 --> 00:17:01.000]   One way that this happens all the time, but I think we don't really think of it as multimodal learning is, if you have, for example, a vision transformer, you might add on, in this case you're prepending a class token that really is like, you could think of it as text, I guess, because the class is literally a text label.
[00:17:01.000 --> 00:17:17.000]   But you have an embedding for the text, and that just goes and participates in the stream of tokens, and participates in the self-attention operations, and there you go, you've integrated a text label with your image data.
[00:17:17.000 --> 00:17:21.000]   The other place you see this is actually in the Dolly1 implementation.
[00:17:21.000 --> 00:17:26.000]   So the way that this worked is you have text tokens, which are captions for images.
[00:17:26.000 --> 00:17:42.000]   You also have image tokens, which in this case come from learning a code book with a discrete VAE, and you concatenate on the image tokens after the text tokens, and then at inference time you can provide only the text tokens and autoregressively predict what the image tokens should be.
[00:17:42.000 --> 00:17:53.000]   So again, you've solved the multimodality problem by first boiling everything down into token space, and then once they're tokens, your decoder doesn't need to know which ones are image and which ones are text.
[00:17:53.000 --> 00:18:01.000]   And finally, something that we have increasingly been using at Noetic is this adaptive layer norm idea.
[00:18:01.000 --> 00:18:05.000]   So I really like this figure. This is from the diffusion transformer paper.
[00:18:05.000 --> 00:18:09.000]   What I like about it is that they also talk about two other things I've already mentioned.
[00:18:09.000 --> 00:18:13.000]   The middle column there shows how you might do this with cross-attention.
[00:18:13.000 --> 00:18:21.000]   I guess I should back up and say, in the diffusion transformer case, the extra modality you're feeding in is a conditioning token.
[00:18:21.000 --> 00:18:25.000]   You want to guide the diffusion in a particular direction.
[00:18:25.000 --> 00:18:27.000]   So you have some text label.
[00:18:27.000 --> 00:18:33.000]   And you want that to interact with the main transformer block that is going to be doing the diffusion.
[00:18:33.000 --> 00:18:37.000]   So you could do that with cross-attention, which is shown here.
[00:18:37.000 --> 00:18:43.000]   You could do it with what is called in this paper in-context conditioning, which is just the concatenation approach.
[00:18:43.000 --> 00:18:49.000]   You can actually see that here, concatenate on the sequence dimension, as we just saw.
[00:18:49.000 --> 00:19:03.000]   But the thing introduced in this paper, which is very parameter efficient and cool that it works, is you can take that conditioning information and use effectively a linear layer to push it into small scalar parameters.
[00:19:03.000 --> 00:19:07.000]   So here what they're doing is predicting an alpha, beta, and a gamma.
[00:19:07.000 --> 00:19:09.000]   They actually predict two triplets of alpha, beta, gamma.
[00:19:09.000 --> 00:19:11.000]   And use those in the layer norm operation.
[00:19:11.000 --> 00:19:25.000]   So this is just kind of another way, as far as I understand, to push information from one modality and have it steer or influence or guide what is happening in the processing of the primary sensory stream.
[00:19:25.000 --> 00:19:31.000]   I have a little code snippet here, probably not worth lingering on, but it's just striking how straightforward this approach is.
[00:19:31.000 --> 00:19:37.000]   But really all that's happening is you have a single linear layer in here hiding after a non-linearity.
[00:19:37.000 --> 00:19:43.000]   And then you're using that to determine the parameters for shifting and scaling operations in layer norm.
[00:19:43.000 --> 00:19:51.000]   And this turns out to be a very effective way to get information about a text-based conditioning label into the image domain.
[00:19:51.000 --> 00:19:52.000]   Okay.
[00:19:52.000 --> 00:19:53.000]   Okay.
[00:19:53.000 --> 00:19:58.000]   This is a pretty good place to pause and see if anyone has any questions before I move on.
[00:19:58.000 --> 00:19:59.000]   Yeah.
[00:19:59.000 --> 00:20:04.000]   Yeah, particularly when we're talking about cross-attention.
[00:20:04.000 --> 00:20:16.000]   Can cross-attention, one could be used as the other in the layer norm as a linear reference?
[00:20:16.000 --> 00:20:23.000]   Yeah, if I understand correctly, I think you can.
[00:20:23.000 --> 00:20:29.000]   And the thing that you run into here that's both a blessing and a curse is like you can do pretty much anything.
[00:20:29.000 --> 00:20:38.000]   Like at some point if you think that there's more useful processing to do before you derive these layer norm shift and scale parameters, this doesn't have to be a linear layer.
[00:20:38.000 --> 00:20:40.000]   It can be an arbitrarily complicated function.
[00:20:40.000 --> 00:20:49.000]   It could be a cross-attention layer that is using the information from two streams that way and then also doing the layer norm.
[00:20:49.000 --> 00:20:51.000]   The question is, is it parameter efficient?
[00:20:51.000 --> 00:20:52.000]   Does it work empirically?
[00:20:52.000 --> 00:20:55.000]   And do you have a good principled reason to do it?
[00:20:55.000 --> 00:21:01.000]   And I think often that third thing is missing in a lot of these approaches, which is just like, yeah, it seems to work.
[00:21:01.000 --> 00:21:03.000]   So we're going to roll with it.
[00:21:03.000 --> 00:21:04.000]   Yeah.
[00:21:04.000 --> 00:21:05.000]   Yeah.
[00:21:05.000 --> 00:21:15.000]   Can you speak in a complex level, maybe the big consumption level, why in the cancer research
[00:21:15.000 --> 00:21:21.000]   space that transformer is important in the sense that does it combine, let's say image of a patient,
[00:21:21.000 --> 00:21:26.000]   let's say biopsy and maybe the text description of this.
[00:21:26.000 --> 00:21:32.000]   So what makes a transformer so rather than for cancer research in a different context?
[00:21:32.000 --> 00:21:33.000]   Yeah.
[00:21:33.000 --> 00:21:36.000]   So the question is why are transformers important for cancer research?
[00:21:36.000 --> 00:21:41.000]   And I think the answers could have basically two shapes.
[00:21:41.000 --> 00:21:47.000]   One of them is if you format your data and your task properly, I think transformers are both simpler
[00:21:47.000 --> 00:21:51.000]   to scale and empirically scale better than other approaches.
[00:21:51.000 --> 00:21:56.000]   The second reason I would say is not all data modalities are amenable to other architectures.
[00:21:56.000 --> 00:21:58.000]   So sometimes you do have image data.
[00:21:58.000 --> 00:22:00.000]   And I'll show examples of that in a second.
[00:22:00.000 --> 00:22:02.000]   Sometimes you have data that looks a lot more like text.
[00:22:02.000 --> 00:22:06.000]   And so you want to use the approaches that have been successful in modeling text.
[00:22:06.000 --> 00:22:12.000]   And then the third thing I would say is that specifically for multimodal learning, it's extremely helpful
[00:22:12.000 --> 00:22:17.000]   to be able to push everything into token soup and bring it back together however you want.
[00:22:17.000 --> 00:22:22.000]   So it turns out the transformers are just a very good substrate for combining kind of arbitrarily creative ideas
[00:22:22.000 --> 00:22:25.000]   about how to integrate various measurements.
[00:22:25.000 --> 00:22:27.000]   But in a couple of slides, I'll show exactly what those measurements are.
[00:22:27.000 --> 00:22:31.000]   And I'll walk through architectures we're using to learn from patient data.
[00:22:31.000 --> 00:22:35.000]   Cool.
[00:22:35.000 --> 00:22:38.000]   OK, I will go ahead and do that.
[00:22:38.000 --> 00:22:44.000]   OK, so as a reminder, this is kind of my mental model for how things work in the macroscopic world.
[00:22:44.000 --> 00:22:51.000]   And I think the analogy in the microscopic world is now we want to understand the world of cancer biology.
[00:22:51.000 --> 00:22:58.000]   And the queries that we want to pose to this world model are not things like what happens if I walk into a roundabout.
[00:22:58.000 --> 00:23:02.000]   There are things like what will happen if I give this drug to this patient?
[00:23:02.000 --> 00:23:04.000]   Will the tumor go away or not?
[00:23:04.000 --> 00:23:08.000]   And you want effectively a simulator that can help you answer those questions.
[00:23:08.000 --> 00:23:13.000]   I will fill in the question marks momentarily about what these sensors are and what the data looks like.
[00:23:13.000 --> 00:23:22.000]   But I want to put this up front as like our goal is to take this world modeling approach and to build a system that we can use to simulate answers to clinically relevant questions.
[00:23:24.000 --> 00:23:27.000]   OK, this is my like crash course in cancer immunology.
[00:23:27.000 --> 00:23:35.000]   I was talking to a card-carrying immunologist this morning and apologized for trying to boil down their entire career into a few bullet points.
[00:23:35.000 --> 00:23:39.000]   So please know that this is a gross simplification.
[00:23:39.000 --> 00:23:48.000]   The basic idea behind cancer immunotherapy is that we know that in some cases, your immune system can detect and destroy cancers.
[00:23:48.000 --> 00:24:00.000]   But tumors are sneaky and they evolve to either hide from the immune system or to actively suppress the immune system so that the immune system can't do its job and destroy the tumor.
[00:24:00.000 --> 00:24:12.000]   The idea behind immunotherapy as a type of treatment is you want to basically get rid of those immune evasion mechanisms or the immune suppression mechanisms and help reactivate immune cells to help them do their job.
[00:24:12.000 --> 00:24:16.000]   So you already have the machinery in your body to fight cancer.
[00:24:16.000 --> 00:24:21.000]   It's just losing that fight and you want to find a way to tip the scales so that the immune system can start winning.
[00:24:21.000 --> 00:24:27.000]   The way that we do that could have two shapes and we're interested in both of them at Noetic.
[00:24:27.000 --> 00:24:31.000]   One of them is you just find new drugs that no one has thought of before.
[00:24:31.000 --> 00:24:40.000]   But the other thing that I was interested to learn when I started working in this space is actually there's a lot of drugs that have progressed in various clinical trials
[00:24:40.000 --> 00:24:43.000]   and they fail because there's just a mixed response.
[00:24:43.000 --> 00:24:45.000]   For some patients, they work really well.
[00:24:45.000 --> 00:24:47.000]   For other patients, they don't work at all.
[00:24:47.000 --> 00:24:51.000]   And we don't have the right way of targeting the right drug to the right patient.
[00:24:51.000 --> 00:24:58.000]   So for both of these, the thing you would want is, again, a world model that can help you simulate the answer to the question,
[00:24:58.000 --> 00:25:05.000]   given what you know about the world of this patient's biology, if I take this action, does the tumor go away or not?
[00:25:05.000 --> 00:25:12.000]   OK, so here's the oversimplified schematic again of you want something that tells you given a patient's data.
[00:25:12.000 --> 00:25:20.000]   You want to be able to simulate kind of rapidly a bunch of different treatment options and get a reasonable prediction of whether they'll be effective or ineffective.
[00:25:20.000 --> 00:25:27.000]   So our approach to this is, first, we need to deploy our sensors and collect a bunch of data.
[00:25:27.000 --> 00:25:32.000]   This is a video of our lab up in South San Francisco in action.
[00:25:32.000 --> 00:25:38.000]   So what we do is we get human lung tumor specimens and a few other tumors from a few other organs.
[00:25:38.000 --> 00:25:41.000]   These numbers are also a little bit outdated at this point.
[00:25:41.000 --> 00:25:43.000]   But we source our tissue blocks.
[00:25:43.000 --> 00:25:45.000]   We have a lab that processes them.
[00:25:45.000 --> 00:25:51.000]   We punch out these cores from the tissue that are about one millimeter in diameter.
[00:25:51.000 --> 00:25:52.000]   So they're very tiny.
[00:25:52.000 --> 00:25:58.000]   But I'll show you in a second that there's an unthinkable amount of data packaged in that small one millimeter core.
[00:25:58.000 --> 00:26:09.000]   And then we will basically put those through four different data processing pipelines that I'll show you in a second.
[00:26:09.000 --> 00:26:16.000]   One of those pipelines, which is a fairly common one to run on tissue samples, is we collect these H&E images.
[00:26:16.000 --> 00:26:21.000]   H&E has the benefit of being relatively cheap and easy to acquire, and a lot of people have it.
[00:26:21.000 --> 00:26:25.000]   So most hospitals and research centers are sitting on a ton of H&E.
[00:26:25.000 --> 00:26:27.000]   There's a lot of public H&E.
[00:26:27.000 --> 00:26:32.000]   And if you want to do machine learning on biological data, it basically looks already like images.
[00:26:32.000 --> 00:26:33.000]   So you kind of know what to do with it.
[00:26:33.000 --> 00:26:36.000]   It's like a three-channel RGB image that you can work with.
[00:26:36.000 --> 00:26:42.000]   Technically, it's like a two-channel thing because there's two elements at the same, but you can decovalve them if you want.
[00:26:42.000 --> 00:26:44.000]   It's not super relevant to the rest of this talk.
[00:26:44.000 --> 00:26:57.000]   The other thing that we do is, instead of just looking at the gross morphology, which is what you mostly get out of this H&E stain, is we have a 16-plex protein immunofluorescence panel.
[00:26:57.000 --> 00:27:05.000]   So that means that we're able to detect proteins, 16 different kinds of proteins, by designing fluorescent antibodies that bind to them.
[00:27:05.000 --> 00:27:09.000]   And we can see the composition of this tissue.
[00:27:09.000 --> 00:27:16.000]   So in this pseudo-color map, what I'm showing is green are T cells, which are part of your immune system.
[00:27:16.000 --> 00:27:19.000]   Blue is B cells, which is another part of your immune system.
[00:27:19.000 --> 00:27:22.000]   And then the red blob in the middle is a tumor.
[00:27:22.000 --> 00:27:25.000]   We're able to go ask what's actually in the sample.
[00:27:25.000 --> 00:27:31.000]   This is kind of like an RGB image, but with 16 channels instead of three channels.
[00:27:31.000 --> 00:27:35.000]   The other thing to call out here is, you'll notice that the white box has moved with us.
[00:27:35.000 --> 00:27:37.000]   So these are spatially aligned samples.
[00:27:37.000 --> 00:27:48.000]   And if you remember what I was saying about RGB in depth, you might already be thinking, oh, well, you could just staple these together in the channel dimension and do multimodal learning that way.
[00:27:48.000 --> 00:27:52.000]   One of the cooler kinds of data that we have is spatial transcriptomics.
[00:27:52.000 --> 00:27:57.000]   So on, again, these exact same samples, you'll see the white boxes moving with us again.
[00:27:57.000 --> 00:28:01.000]   We are able to detect in a 1,000-plex panel.
[00:28:01.000 --> 00:28:04.000]   So we're looking for 1,000 different genes worth of RNA transcripts.
[00:28:04.000 --> 00:28:07.000]   And those transcripts are spatially localized.
