
[00:00:00.000 --> 00:00:04.060]   This is Sax's big day. There he is. Oh, there's Tucker. Oh, look
[00:03:14.640 --> 00:03:41.200]   When I thought about it for a minute, I'd expected that, you know, you can't kind of give the finger to everybody and persist in a in a corporate job. So I no hard feelings. And I and I in fact, I said that on the call when I received the news. It's not my company. And I never felt like I had a right to be on the air. I was I was working at the pleasure of the family that runs the company who treated me very well. And, and, and they wanted me off. And so I was off.
[00:03:41.360 --> 00:03:59.760]   Did you ever have moments where somebody taps you on the shoulder and says, advertiser XYZ is getting uncomfortable, or we're trying to land this new advertiser, and right, they want you to shape things in one way? Did you ever feel that pressure? Is that or is that just a thing that is kind of like a boogeyman that doesn't actually exist?
[00:03:59.920 --> 00:04:20.560]   Oh, it will it not only exists, it defines news coverage, especially on pharma. You know, because pharma is the biggest advertiser in television, as I know, you know, and so for sure. I mean, if you know, Pfizer sponsoring your show, you're not going to question the facts. I mean, it's kind of that simple. So absolutely. And of course, that's why they're the biggest advertiser. So they can shape news coverage. I mean, that's, that's the point.
[00:04:20.960 --> 00:04:49.840]   But I personally never had a single person say to me, don't say this. That I recall, I haven't thought about it too much. But that certainly I was there 14 years. And I didn't have that experience regularly, or at all really that I can remember. And, and I think, you know, my producers may have been told that, but it didn't ever get to me because I was always really clear, which is, I always said out loud to the supervisors there, you know, I work for your company, I don't own this network.
[00:04:50.240 --> 00:05:14.080]   All I can control is what I say. If you don't like what I say, don't have me on TV. But as long as I'm on TV, I'm going to say what I think is true. And in a million cases, I said only part of what I think, not because of my employer, but just because you shouldn't actually say everything you think. I mean, I have some crackpot views too. Or I have resentments that I didn't want to work out on the air. I mean, I did, you know, you're straining yourself and you want to, as you do in your personal life.
[00:05:14.080 --> 00:05:30.960]   But on no question of principle, did I ever pull back because I just, I wouldn't do that. And again, I was just super clear. If you don't like what I'm saying, take me off the air, but I'm not going to, you know, toe a line. And because I was so clear about that, I just think they didn't think it was worth having some kind of dispute with me.
[00:05:30.960 --> 00:05:48.880]   And to their great credit, for the time that I was there, and I said this many times in public, like I took positions on the Ukraine war, on the COVID vaccine, on the COVID lockdowns, among other issues that I think, you know, I've been vindicated on pretty conclusively on the origins of COVID.
[00:05:48.880 --> 00:06:04.720]   And all of those are super unpopular. On January 6th, which was so hated at the company where I worked that people, a number of people, including on-air people, four that I can think of, resigned in protest over my, over me suggesting that actually it was more complicated than it looked.
[00:06:04.720 --> 00:06:14.960]   And there were a bunch of federal agents in the crowd. How can you say that? Are you claiming a false flag? Well, no, not, wouldn't use that phrase, but like, this is something weird going on here. Well, I've been vindicated on that.
[00:06:14.960 --> 00:06:30.080]   It sounds like I'm bragging. I'm not. I'm just stating factually that I said things that were truly hated by a lot of the people who worked there and they let me keep saying them. So it's kind of hard to complain really, at this point, right? Again, it's not my company.
[00:06:30.080 --> 00:06:58.120]   Just from a business standpoint, I think it's weird for a company to fire their top performer and to do so without giving any notes. I mean, if any of us had a superstar executive or a superstar engineer, like a hundred x engineer, working at one of our companies, and like day in and day out, they were, you know, hitting every milestone and crushing it. Like if you had a problem with them, you would give them a note, you would just like try to say, Hey, can we just like it?
[00:06:58.120 --> 00:07:19.400]   So I just think from like a business standpoint, it's so weird. It just seems like self-destructive. And I think it was, I mean, their ratings really cratered in the wake of making this change. Maybe they've come back a little bit, but I don't think it's ever been the same. I just think it's a crazy way to operate a business. So yeah, it's their right. I mean, they can do whatever they want, but I don't understand it as a way of doing business.
[00:07:19.400 --> 00:07:42.120]   Well, I don't understand it as a way of living either. I mean, you know, everybody in the course of life, whether as a parent or an employer, or just a friend has to deliver uncomfortable news or disagree with someone that you deal with. And you have a moral obligation to explain the disagreement. You can't just, you know, levy the penalty and leave it at that. You have to explain why you're doing that. And I think that's, it's incumbent on us morally to do that.
[00:07:42.280 --> 00:08:10.920]   I wasn't that mad about it actually, because I know the rules of that particular business, which are really harsh. And I've been in it, you know, my whole life. And so I've seen a lot of people as talented or more talented than I meet bad ends. And, you know, for reasons that I thought were not justified. And I know them all really well. So you work in a business like that, you know what it is. You know, the black car is going to show up at 3am and tow to the Lubyanka. And that's just what it is. You know what I mean?
[00:08:10.920 --> 00:08:12.440]   You can't kind of whine about it, you know?
[00:08:12.440 --> 00:08:42.360]   How much of it was the, you know, this is a family owned business. And the patriarch, obviously, pioneered opinion based, you know, journalism slash entertainment commentary. And the younger ones maybe were on the other side of the political aisle, and maybe were not as I don't know, cutthroat, or maybe didn't share the same philosophy of their dad, what was your relationship like with the new generation with Rupert, et cetera?
[00:08:42.360 --> 00:08:44.360]   And how much did that play into it? Do you think?
[00:08:44.360 --> 00:09:13.360]   Well, my relationship with the father and son who are directly involved in that company was, from my perspective, very strong. And I will say this about the Murdochs. They're very polite. I mean, they're really kind of very Anglo, almost elaborately polite in a way that I'm not mocking, I'm complimenting. And they're not confrontational, they're not nasty in the way that they deal with people directly. And I prefer that as sort of a way of communicating with people.
[00:09:13.360 --> 00:09:33.360]   So I got along with them very, very well. I always liked them. And they were very nice to me, elaborately nice to me, and always gave me assurances of my right to say what I thought was true. And so again, I can only speculate. I will say, though, and you see this with Trump, especially, I don't think I'm anywhere near as divisive as Trump. Obviously, I'm not as powerful as Trump. I'm not the figure Trump is.
[00:09:33.360 --> 00:10:00.360]   But one thing that maybe Trump and I have in common is we're really disliked by a certain set of people, affluent people, highly educated people, people who work at NGOs, government, finance, really kind of hate a certain brand of politics. So it's not being conservative. You can be conservative in the sort of, I work at Cato or Heritage, or we need to get back to free trade or whatever, that kind of thing, the Reaganite foreign policy. That's all fine.
[00:10:00.360 --> 00:10:14.360]   But if you start asking questions like, well, why doesn't our country act in its own interest? There's something about that that's uniquely offensive to them, to that whole class of people. Now, I could not have more contempt or loathing for those people, having grown up among them. I know how repulsive they are.
[00:10:14.360 --> 00:10:36.360]   So their hatred of me, I wear as a badge of honor. It actually makes me happy. But it's hard to take. I would say, I mean, again, I'm just speculating in my specific case, but I know more broadly, like it's very hard to have lunch at the Four Seasons in Jackson during the winter because there's some private equity wife who's going to scream at you on your way to the men's room because that world hates you.
[00:10:36.360 --> 00:10:49.360]   And so if you live in that world and you're employing someone like me, you know, you hear about it. I guess that's my point. You hear about it like, what? That guy's a Nazi. What's the deal with that?
[00:10:49.360 --> 00:11:05.360]   I want to actually pull this thread. I would love your perspective on the state of American society, just less on the political spectrum of Republican versus Democrat. But just just observe for us, Tucker, what do you see in American society? Where are we as a society? What has happened? What is happening?
[00:11:05.360 --> 00:11:27.360]   Well, this isn't an eight hour podcast. I could actually give you my very lengthy theories and views on that. But I will just say one thing that I've been thinking about a lot recently. I just had my college roommate staying at my house. And, you know, we're, of course, the same age, known each other our whole adult lives. He's been very successful and he lives in an enclave of very, very successful people.
[00:11:27.360 --> 00:11:38.360]   And and so we're familiar with this culture. And we were talking about American and he's from an immigrant family. So he's got a kind of broader perspective, I would argue, a broader perspective on like America. He's 54, as I am.
[00:11:38.360 --> 00:11:52.360]   And we were talking about how obviously this is not a democracy. It's not even a sort of decent facsimile of a democracy. It's to call it a democracy is like ridiculous, actually. But it's even worse than that.
[00:11:52.360 --> 00:12:21.360]   Our politics and not just our politics, but our public conversation reflects the very specific and parochial concerns of a tiny, tiny group of people, which is middle aged, affluent women who tend to be very angry and tend to mostly with their husbands, but probably for other reasons, too, and exercise this like wildly disproportionate power over what we can talk about and think about and the rules that the rest of us live by.
[00:12:21.360 --> 00:12:39.360]   It's just kind of amazing. And he happens to live in Jackson, Wyoming. So and I go there to ski and to fish and I have for a very long time. And I always say to him, I can't go anymore because I yelled at at lunch over my elk chili or in the lift line or whatever, or at the West Side Market.
[00:12:39.360 --> 00:12:54.360]   Literally a relative of mine yelled at me while buying bananas in the West Side Market. She lives there. And I'm thinking, what is it about this group of people that hates me so much when again, I know them really well. I'm related in some cases to them.
[00:12:54.360 --> 00:13:07.360]   So and I'm not quite sure, but I just I see our politics and our concerns, which if you take three steps back are like insanely picky. You like trans black lives matter.
[00:13:07.360 --> 00:13:21.360]   Well, I never said they didn't. But like if that's your main public policy objective to celebrate trans black lives in a country of 360 million people, it's got a lot of big problems. You are not seeing the whole picture.
[00:13:21.360 --> 00:13:37.360]   What is that? And what it is, again, is the disproportionate influence of a class of people and their neuroses. I wouldn't even say policy concerns, but like there are things they're worried about and their weird personal tics and like the result of years of therapy and SSRIs on their brains.
[00:13:37.360 --> 00:13:48.360]   Like that kind of controls our whole conversation. And my friend was saying, because he's really smart, he's like, yeah, but the good news is this can't last because it's just too stupid.
[00:13:48.360 --> 00:13:57.360]   And at some point very soon, the country is going to revert to the place that all countries begin, which is in a conversation about things that matter, like who comprises the population.
[00:13:57.360 --> 00:14:16.360]   Do we have enough water? Where are we on energy exactly? How are we going to manage these complex relationships with other countries? Like the things that, you know, the stuff of government, the stuff of resources, of course, resources, but like just the basic questions that should dominate the consciousness of any country and should dominate our public conversation.
[00:14:16.360 --> 00:14:24.360]   It's like our public obsessions are getting increasingly irrelevant, actually. Increasingly, it's like crazy.
[00:14:24.360 --> 00:14:25.360]   As our problems get bigger.
[00:14:25.360 --> 00:14:26.360]   Yeah, and the problem gets bigger.
[00:14:26.360 --> 00:14:29.360]   The conversation becomes more inane as the problems get bigger.
[00:14:29.360 --> 00:14:31.360]   Thank you. Exactly. That's exactly right.
[00:14:31.360 --> 00:14:57.360]   So when you look at that, that cohorts disproportionate impact, and then you translate it, for example, last night, there was, I guess, like a almost riot protest when folks were trying to light the Christmas tree in Rockefeller Center, I guess, and there was like a huge pro Hamas, I think, somebody check me out if this is wrong, protest and then people were pushing back on the cops and all this stuff. And all these folks are trying to do was just like the Christmas tree.
[00:14:57.360 --> 00:15:01.360]   Can you connect the dots? How does that cohort get to?
[00:15:01.360 --> 00:15:19.360]   No, but it's actually a branch from the same tree, Christmas tree in this case, because that whole conversation, well, I think it's interesting and I think it's geopolitically significant and I've been to those countries and I know people there, so I'm interested in it. And there's a lot to care about and be interested in.
[00:15:19.360 --> 00:15:40.360]   But the displacement of all of our public passions onto a conflict in a foreign country, however important that conflict may be, really kind of tells you a lot. It's like, in other words, yeah, I care what's happening between Israel and Hamas. I have views on it, which are probably pretty mainstream views, whatever. I don't have any very interesting views on it.
[00:15:40.360 --> 00:15:55.360]   But it's a little weird for your entire country, thousands of miles away, to be so preoccupied with that conflict that they miss big history changing events happening like in their own country. And I think that's, again, a species of the same problem.
[00:15:55.360 --> 00:16:10.360]   We are unable to, the problems that confront us are so big that we can't deal with them. And actually, my wife and I had this conversation the other night. I was for years a magazine writer and I have to file every Friday. I work for Bill Kristol at the Weekly Standard. And obviously, I regret that. But it was interesting at the time.
[00:16:10.360 --> 00:16:25.360]   And I have to file the story every week. And I'd stay up all night because I'm very lazy and I put stuff off. And I'd stay up every Thursday night, all night. And I had a call. It's going to the printing press in Pennsylvania. This was back when it was in print. And you've got to file it.
[00:16:25.360 --> 00:16:43.360]   And right around 8.30 a.m. on Friday morning, I would have this overwhelming urge to rearrange the books on my shelves in my library by title or by subject. I'd have all these weird kind of like librarian fantasies about rearranging books, which on a normal day, like, why would you do that? Better things to do.
[00:16:43.360 --> 00:17:06.360]   But as my problems mounted and I couldn't write the lead I wanted, I would transfer all my anxiety onto something I felt I could control or that was of lower stakes, less consequence. And I think that's kind of what we're seeing a little bit. We care more about foreign wars and trans lives as the obvious things that hold our society together start to fall apart.
[00:17:06.360 --> 00:17:11.360]   How do you even deal with that? I don't know if I'm being very articulate, but I think that's what's happening.
[00:17:11.360 --> 00:17:15.360]   It makes actually perfect sense. What do you put on the top of that list of things we should be focused on, Tucker?
[00:17:15.360 --> 00:17:18.360]   Oh, I mean, from my perspective, by far the most important...
[00:17:18.360 --> 00:17:22.360]   Yeah, if you rank one, two, three, this is what America needs to put its energy on.
[00:17:22.360 --> 00:17:36.360]   It's not even close. National cohesion, and by which I mean something specific. What does the majority of the country have in common with one another? Because look, the arc of the last century's American history is super, super interesting.
[00:17:36.360 --> 00:17:50.360]   So you have this massive influx of immigration, the Ellis Island generation, late 19th, early 20th century. And it's both good and bad. We only remember the good.
[00:17:50.360 --> 00:17:56.360]   But there was a lot of social volatility, like a lot. Like the mayor of Chicago got shot in his house. There was bombings on Wall Street.
[00:17:56.360 --> 00:18:02.360]   Like the whole, the Wobblies, the anarchists, like the foot soldiers that were immigrants, working class European immigrants.
[00:18:02.360 --> 00:18:15.360]   And part of the problem was there was a lot of immigrants and I mean, Sacco and Vanzetti, you know, who shot the clerk in, was it Brockton, Mass? Anyway, it was in Massachusetts, Boston.
[00:18:15.360 --> 00:18:26.360]   They'd been in the country for just a few years and they immediately got sucked into radical politics. Well, why was that? Well, because they weren't kind of bought in or rooted in or hadn't been fully assimilated into American society.
[00:18:26.360 --> 00:18:35.360]   So then you have the First World War and we basically shut down immigration and we have this period of settling where like all Americans, let's think through our civic religion, what ties us together.
[00:18:35.360 --> 00:18:42.360]   And then that leads into October of 29 and you do have this national crisis that lasts for more than a decade and we didn't blow up.
[00:18:42.360 --> 00:18:55.360]   And we had a successful, you know, the CCC. We like had these big programs, which I'll say this is a conservative, kind of worked in keeping people fed and focused, gave them purpose, kept the country from collapsing during the Great Depression.
[00:18:55.360 --> 00:19:05.360]   If that happened now, when there is no broad agreement on what it means to be an American, no agreement at all on what we all have in common, I don't think we can withstand it, actually. I really don't.
[00:19:05.360 --> 00:19:12.360]   And I'm not even convinced it matters as much what that civic religion is as it does that we have one.
[00:19:12.360 --> 00:19:23.360]   If we don't have anything that ties us together, when that day comes, and you know what I mean, when the economic crisis comes, because it's coming, like what's that going to look like?
[00:19:23.360 --> 00:19:28.360]   It's going to be very scary. And so that's what I'm most worried about by far.
[00:19:28.360 --> 00:19:36.360]   How do you define national cohesion? I guess maybe then like what are the few elements that you think America needs to agree on as a majority?
[00:19:36.360 --> 00:19:40.360]   Wake me up from a deep sleep and ask me what it means to be an American.
[00:19:40.360 --> 00:19:47.360]   And then do the same to 1000 other people and we'll just do a survey on it. And do the majority of those people give the same answer.
[00:19:47.360 --> 00:19:54.360]   And if they don't, like so this is, I mean, I have so many theories, I'm going to control myself.
[00:19:54.360 --> 00:20:00.360]   But I would just say one other thing, which is we overestimate people's ability to metabolize change.
[00:20:00.360 --> 00:20:07.360]   I'm not like a strict Darwinist or anything, but I do sort of believe that over time people adapt to their environment.
[00:20:07.360 --> 00:20:14.360]   And that in us is, most of our abilities are inborn. Like that's just true. Sorry. I have dogs. I know that.
[00:20:14.360 --> 00:20:23.360]   And people just haven't, you know, the world didn't change that much from, you know, 460 or whatever, the sacking of Rome until the Renaissance.
[00:20:23.360 --> 00:20:29.360]   It just didn't. And then the Industrial Revolution to now has been like such massive change that is driving people insane.
[00:20:29.360 --> 00:20:33.360]   People can't handle relentless change. And technologists love relentless change.
[00:20:33.360 --> 00:20:38.360]   And I like a lot of technologists, a couple of really good friends of mine, but they're anomalies.
[00:20:38.360 --> 00:20:43.360]   A lot of them are literally autistic. I'm not attacking them. I'm praising them, but they're different from most people.
[00:20:43.360 --> 00:20:47.360]   -Sachs is on the program right now, Tucker. -Right. You know, like they can handle it.
[00:20:47.360 --> 00:20:52.360]   They can like, they want a world that's totally different from today's world tomorrow. They want that.
[00:20:52.360 --> 00:20:55.360]   -They thrive in that flux. -They do.
[00:20:55.360 --> 00:20:59.360]   -Right. -But they don't understand how rare they are.
[00:20:59.360 --> 00:21:08.360]   And if you impose that on a society and you don't ever have a period where you pause and let things settle, you will blow up that society.
[00:21:08.360 --> 00:21:14.360]   And the Chinese, who I don't admire for many things at all, know this. And I admire that about them.
[00:21:14.360 --> 00:21:19.360]   They think that change for its own sake is dangerous. Now, they think it's dangerous to their power, and they're absolutely right.
[00:21:19.360 --> 00:21:23.360]   But it's also dangerous just to like the idea of a society. What is a society?
[00:21:23.360 --> 00:21:28.360]   And so, anyway, I could go on and on and on. But that's my main concern.
[00:21:28.360 --> 00:21:31.360]   Let me propose a theory and see if you react to it.
[00:21:31.360 --> 00:21:38.360]   I think that there's a big orientation in society where it's constantly about trying to shift the power dynamics.
[00:21:38.360 --> 00:21:42.360]   That everyone always feels like they don't have something that someone else has.
[00:21:42.360 --> 00:21:50.360]   And that other person that has it, for some reason, is advantaged in a way that to them always feels unfair.
[00:21:50.360 --> 00:21:53.360]   -And everyone feels this way. Everyone. -That's right.
[00:21:53.360 --> 00:21:57.360]   You're at the top of the food chain. You feel like someone else has something you don't have.
[00:21:57.360 --> 00:22:01.360]   And it's unfair, and the system is set up that way, no matter where you sit.
[00:22:01.360 --> 00:22:07.360]   And as a result of that... And by the way, this goes back... I get waxed super philosophical on this stuff.
[00:22:07.360 --> 00:22:16.360]   But Buddhism's always had this point that the desire that humans have is the one thing that causes all of societal suffering, behavior, everything.
[00:22:16.360 --> 00:22:20.360]   But it all comes down to this. It's that you see that someone else has something, you desire it,
[00:22:20.360 --> 00:22:27.360]   and then you want to change the dynamic of how the system, how society is organized to fix that.
[00:22:27.360 --> 00:22:34.360]   The thing about technology, if you think back, the catapult gave an advantage to an army that allowed them to win in a war.
[00:22:34.360 --> 00:22:36.360]   So did the rifle, so did the nuclear bomb.
[00:22:36.360 --> 00:22:42.360]   That ultimately technology was the enabling force that allowed a rapid shift in power dynamics.
[00:22:42.360 --> 00:22:48.360]   And all technology ultimately creates leverage for the creator of the technology initially, and then it diffuses to everyone.
[00:22:48.360 --> 00:22:56.360]   But that is perhaps why... This is a theory I have, which is that there's generally pessimism towards technology,
[00:22:56.360 --> 00:23:04.360]   because it creates unfair advantages that shift the power dynamic too quickly and too advantageously.
[00:23:04.360 --> 00:23:08.360]   And it's also why I think you don't hear a lot of support for technology from most of society,
[00:23:08.360 --> 00:23:11.360]   because technology creators are such a small percentage of society.
[00:23:11.360 --> 00:23:15.360]   So I don't know if that resonates with your point, but for me it's always been like...
[00:23:15.360 --> 00:23:20.360]   Well, I think that's really smart, and I think it's indisputably true. Absolutely.
[00:23:20.360 --> 00:23:27.360]   I will say you're making an argument, in addition to many other things, against tribalisms,
[00:23:27.360 --> 00:23:35.360]   because tribalism accentuates these preexisting impulses in people, which again, like all impulses, are just inborn.
[00:23:35.360 --> 00:23:39.360]   Human nature is immutable, so let's just start there. It cannot be changed.
[00:23:39.360 --> 00:23:43.360]   AI will not change human nature. It will change everything but human nature.
[00:23:43.360 --> 00:23:52.360]   And envy and the fact that prosperity is a relative measure above starvation...
[00:23:52.360 --> 00:23:53.360]   Totally.
[00:23:53.360 --> 00:24:02.360]   So it's like there's a famous Russian proverb like, "I've got a cow, my neighbor has a cow, he gets a cow, now he has two cows, I kill his cow."
[00:24:02.360 --> 00:24:04.360]   Right. Totally.
[00:24:04.360 --> 00:24:15.360]   But tribalism, especially in a country like ours, which as noted doesn't have a working majority of people with obvious connection to each other,
[00:24:15.360 --> 00:24:22.360]   it really, really exacerbates that a lot, because it makes it more obvious.
[00:24:22.360 --> 00:24:27.360]   So all of a sudden it's not just like, "Hey, the smart kids are richer, they have two cows."
[00:24:27.360 --> 00:24:31.360]   It's like, "The Jews are richer, or the Indians are richer, or the whites are richer," or whatever.
[00:24:31.360 --> 00:24:41.360]   It's like, just name the group. And once you go down that road, that leads to violence, and mass violence, actually.
[00:24:41.360 --> 00:24:48.360]   A lot of people listening right now, Tucker, are probably a little bit confused hearing you talk about cohesion of the country,
[00:24:48.360 --> 00:24:56.360]   when most people would look at the tribalism as almost most manifested in cable news.
[00:24:56.360 --> 00:25:02.360]   You and Rachel Maddow every night were number one and number two in the ratings, taking either side of the tribe.
[00:25:02.360 --> 00:25:08.360]   So is this something that's evolved, and how did your time in cable news inform you to this?
[00:25:08.360 --> 00:25:14.360]   Because most people would say, "Wait, isn't Tucker and Rachel, aren't those the two tribe leaders?"
[00:25:14.360 --> 00:25:18.360]   I think there are dumb people who think that. But no, here's the difference.
[00:25:18.360 --> 00:25:20.360]   My views...
[00:25:20.360 --> 00:25:22.360]   Wait, are you talking about me?
[00:25:22.360 --> 00:25:26.360]   I'm not including you in that. I'm not including you. No, no, no, no.
[00:25:26.360 --> 00:25:28.360]   If the two fits.
[00:25:28.360 --> 00:25:31.360]   I'm asking you half of the audience to be clear here.
[00:25:31.360 --> 00:25:33.360]   I have a second thing to say. I'm sorry.
[00:25:33.360 --> 00:25:38.360]   It's all good. It's all good, Tucker. Why should you be any different than the other panelists?
[00:25:38.360 --> 00:25:46.360]   No, I love, and not only do I love, I don't always love, but I certainly think that reason disagreement is essential.
[00:25:46.360 --> 00:25:49.360]   It's the alternative to violence, by the way. That's what that is.
[00:25:49.360 --> 00:25:52.360]   Debate and politics are the alternative to violence. You get two choices.
[00:25:52.360 --> 00:25:56.360]   We're going to do it by arguing about it, or we're going to do it by force.
[00:25:56.360 --> 00:26:03.360]   So I absolutely think it's essential to debate things, because if we don't, then we just have to shoot each other, and I'm against that.
[00:26:03.360 --> 00:26:12.360]   But that's very different from tribalism, because tribalism is based on things that you can't change.
[00:26:12.360 --> 00:26:18.360]   So, for example, in 2002, I hosted a show on CNN, and it was the run-up to the war in Iraq.
[00:26:18.360 --> 00:26:24.360]   I was uncomfortable with the idea that we would be invading Iraq to respond to an attack on America that had nothing to do with Iraq.
[00:26:24.360 --> 00:26:32.360]   I did think that didn't make sense, but I was sold on the idea finally by someone, and I foolishly parroted the Bush administration's line on that.
[00:26:32.360 --> 00:26:35.360]   So I was a pro-war person for a time.
[00:26:35.360 --> 00:26:38.360]   Then I went to Iraq, and I changed my views completely.
[00:26:38.360 --> 00:26:45.360]   So I switched sides completely, and I wound up on the other side, anti-war in Iraq, and that took about a week.
[00:26:45.360 --> 00:26:48.360]   I was born a white man.
[00:26:48.360 --> 00:26:49.360]   You were born whatever you are.
[00:26:49.360 --> 00:26:50.360]   Everyone's born whatever they are.
[00:26:50.360 --> 00:26:51.360]   That can't change.
[00:26:51.360 --> 00:26:59.360]   So if we stoke division along lines that can't be changed, then we're really at a cul-de-sac.
[00:26:59.360 --> 00:27:01.360]   Our differences can never be resolved.
[00:27:01.360 --> 00:27:02.360]   You will always be what you are.
[00:27:02.360 --> 00:27:05.360]   You can't change it, and the same for me.
[00:27:05.360 --> 00:27:12.360]   And so those are the things that wind up becoming generational conflicts, civil wars, Rwanda.
[00:27:12.360 --> 00:27:17.360]   And so I've always been against that my entire life, and my entire time on Fox I argued against that.
[00:27:17.360 --> 00:27:30.360]   I think affirmative action is completely not only immoral because it's an insult to the idea of America, which is like the people who do the best get the most, but it is also a recipe over time for violence.
[00:27:30.360 --> 00:27:31.360]   And I made that case.
[00:27:31.360 --> 00:27:37.360]   I've made that case every single day since David and I had lunch 30 years ago.
[00:27:37.360 --> 00:27:38.360]   I've never not thought that.
[00:27:38.360 --> 00:27:51.360]   I've always had the Dr. Seuss view of race relations, which is we should de-emphasize race and elevate merit, achievement, hard work, character, the things that we can control.
[00:27:51.360 --> 00:27:56.360]   But the other side has gone – and by the way, liberals used to agree with me.
[00:27:56.360 --> 00:28:01.360]   That used to be a liberal position within my lifetime, and then all of a sudden it became a Nazi position.
[00:28:01.360 --> 00:28:14.360]   And that's just a manipulation of language, but the truth is on the race stuff, which is what matters over time, if you convince people to hate others on the basis of their race, you've committed a massive sin and you've done a lot to wreck our country.
[00:28:14.360 --> 00:28:15.360]   That's coming from the left.
[00:28:15.360 --> 00:28:16.360]   I'm sorry.
[00:28:16.360 --> 00:28:17.360]   That's just true.
[00:28:17.360 --> 00:28:29.360]   Just to connect these ideas, I think that is a major source of our division is one of the reasons why people have a hard time saying what it means to be an American is because there are dueling visions of what it means to be an American.
[00:28:29.360 --> 00:28:33.360]   The left has been trying to change or rewrite American history.
[00:28:33.360 --> 00:28:40.360]   So, for example, the key year in American history, the founding of the nation was not 1776 with the Declaration of Independence.
[00:28:40.360 --> 00:28:42.360]   It was 1619.
[00:28:42.360 --> 00:28:50.360]   This is the base of the whole 1619 project of the New York Times is that the founding of the nation began with the importation of slavery to the New World.
[00:28:50.360 --> 00:28:52.360]   That was the key year.
[00:28:52.360 --> 00:29:00.360]   And so I think there's been an effort for a long time on the part of the left to rewrite what it means to be an American and to rewrite American history.
[00:29:00.360 --> 00:29:02.360]   It's actually in a weird way.
[00:29:02.360 --> 00:29:10.360]   It's the opposite of what Deng Xiaoping did in China, where Deng basically he flipped the doctrine over there from communism to capitalism.
[00:29:10.360 --> 00:29:12.360]   He didn't outright declare it.
[00:29:12.360 --> 00:29:18.360]   He said that it doesn't matter whether a cat is white or black as long as it catches mice.
[00:29:18.360 --> 00:29:19.360]   And they didn't change the name.
[00:29:19.360 --> 00:29:21.360]   They didn't change the party.
[00:29:21.360 --> 00:29:22.360]   It's still the Chinese Communist Party.
[00:29:22.360 --> 00:29:24.360]   They didn't change the flag.
[00:29:24.360 --> 00:29:27.360]   But he did a hot swap of the back end to capitalism.
[00:29:27.360 --> 00:29:31.360]   And they changed what the country was about in that.
[00:29:31.360 --> 00:29:33.360]   It worked out great for them.
[00:29:33.360 --> 00:29:37.360]   I think in a similar way in the United States, they haven't changed the flag.
[00:29:37.360 --> 00:29:38.360]   They haven't changed the name.
[00:29:38.360 --> 00:29:43.360]   But there is an attempt to hot swap the back end of what it means to be an American.
[00:29:43.360 --> 00:29:45.360]   And I think this is the root of the conflict.
[00:29:45.360 --> 00:29:47.360]   I mean I agree with that completely.
[00:29:47.360 --> 00:29:57.360]   And I don't think we've thought through what it means to change out of many one to out of one many.
