
[00:00:00.000 --> 00:00:02.120]   Just continuing with this.
[00:01:22.960 --> 00:01:26.000]   and quite fair enough, some concern on the forum
[00:01:26.000 --> 00:01:31.880]   about how complicated and weird this all is, which is partly
[00:01:31.880 --> 00:01:34.040]   because we're kind of, like, jumping into stuff we'd normally
[00:01:34.040 --> 00:01:35.000]   do in part two.
[00:01:35.000 --> 00:01:41.160]   And so we haven't quite got all the necessary background here.
[00:01:41.160 --> 00:01:49.480]   And so, yeah, don't worry if you're feeling a little at sea.
[00:01:49.480 --> 00:01:51.040]   But it's a good way to, like, I don't know,
[00:01:51.040 --> 00:01:54.440]   start to see, like, some stuff you could look into
[00:01:54.440 --> 00:01:55.760]   after the course is finished.
[00:01:55.760 --> 00:02:02.760]   All right, so let me just--
[00:02:02.760 --> 00:02:03.400]   Jeremy.
[00:02:03.400 --> 00:02:03.760]   Yes.
[00:02:03.760 --> 00:02:05.720]   Sorry, just not mentioning part two.
[00:02:05.720 --> 00:02:09.480]   Are you planning a part two this year?
[00:02:09.480 --> 00:02:11.360]   Planning would be too strong a word.
[00:02:11.360 --> 00:02:14.000]   But as much as I ever plan anything--
[00:02:14.000 --> 00:02:15.120]   Thinking about?
[00:02:15.120 --> 00:02:18.120]   Yes, I would absolutely like to do a part two this year.
[00:02:18.120 --> 00:02:18.720]   Awesome.
[00:02:18.720 --> 00:02:20.600]   And the fact that you're asking that question
[00:02:20.600 --> 00:02:23.560]   means that you are not up to date on our Discord.
[00:02:23.560 --> 00:02:25.720]   So you should definitely join our Discord channel
[00:02:25.720 --> 00:02:27.200]   because we've actually been talking
[00:02:27.200 --> 00:02:32.240]   about doing a conference, or an unconference,
[00:02:32.240 --> 00:02:38.400]   to go with part two at the end of the year in Queensland.
[00:02:38.400 --> 00:02:43.000]   And a lot of folks from places that are not in Australia
[00:02:43.000 --> 00:02:48.080]   are saying they would be up for coming here for that.
[00:02:48.080 --> 00:02:52.280]   Partly a kind of a social thing, and also
[00:02:52.280 --> 00:02:56.080]   trying to do it all in a very COVID-safe way of outdoor,
[00:02:56.080 --> 00:03:02.080]   and masked, and people tested ahead of time, and stuff.
[00:03:02.080 --> 00:03:04.920]   Yeah, so that's--
[00:03:04.920 --> 00:03:06.520]   yeah, so nothing's planned.
[00:03:06.520 --> 00:03:09.200]   We don't have dates, or a syllabus, or anything
[00:03:09.200 --> 00:03:11.440]   like that, but we absolutely hope
[00:03:11.440 --> 00:03:19.920]   to have something awesome maybe towards the end of the year
[00:03:19.920 --> 00:03:23.320]   where we can get to know each other a bit better,
[00:03:23.320 --> 00:03:27.560]   and get to know fast AI and deep learning a bit better.
[00:03:27.560 --> 00:03:31.520]   Jeremy, can I ask you, are you going
[00:03:31.520 --> 00:03:34.440]   to continue this work for next week
[00:03:34.440 --> 00:03:36.320]   because I know that the class is going
[00:03:36.320 --> 00:03:38.280]   to be shown next Tuesday?
[00:03:38.280 --> 00:03:42.160]   Yeah, I think so.
[00:03:42.160 --> 00:03:45.640]   The fact that I'm doing it this week is interesting
[00:03:45.640 --> 00:03:51.920]   because, yeah, it has meant I've got less time to actually work
[00:03:51.920 --> 00:03:55.440]   on the course, but I also feel like the stuff we're doing,
[00:03:55.440 --> 00:03:57.840]   perhaps, is stuff I can use in the next lesson,
[00:03:57.840 --> 00:03:59.080]   depending on where we get to.
[00:03:59.080 --> 00:04:03.520]   So yeah, so I think we'll do it next week.
[00:04:03.520 --> 00:04:04.720]   We'll see how things go.
[00:04:04.720 --> 00:04:07.760]   If I get really behind, then maybe not.
[00:04:07.760 --> 00:04:11.560]   But then I certainly plan to continue doing them
[00:04:11.560 --> 00:04:16.560]   after the last class until--
[00:04:16.560 --> 00:04:17.240]   I don't know.
[00:04:17.240 --> 00:04:21.040]   We all know everything, I guess, and then we'll stop.
[00:04:21.040 --> 00:04:24.120]   At which point, there'll be more things to know, so yeah.
[00:04:24.120 --> 00:04:25.200]   OK.
[00:04:25.200 --> 00:04:27.160]   We don't have to stop, necessarily.
[00:04:27.160 --> 00:04:30.120]   There's just so much to learn.
[00:04:30.120 --> 00:04:32.120]   The only problem is that it's obviously
[00:04:32.120 --> 00:04:34.960]   a burden on your time, but it's--
[00:04:34.960 --> 00:04:35.920]   I enjoy it.
[00:04:35.920 --> 00:04:37.000]   I enjoy it.
[00:04:37.000 --> 00:04:39.120]   My issue is, what about when we get to the point
[00:04:39.120 --> 00:04:40.880]   where there's nothing left to learn, Radek?
[00:04:40.880 --> 00:04:42.680]   What do we do then?
[00:04:42.680 --> 00:04:45.800]   Well, is there such a point?
[00:04:45.800 --> 00:04:48.120]   Sure, there must--
[00:04:48.120 --> 00:04:50.520]   But then we just start doing it all in a different language.
[00:04:50.520 --> 00:04:52.560]   We start doing it all in R or Julia.
[00:04:52.560 --> 00:04:55.120]   Yeah, correct.
[00:04:55.120 --> 00:04:57.760]   C plus plus, that would keep us busy.
[00:04:57.760 --> 00:05:01.280]   I think this is my fifth year of doing fast AI courses,
[00:05:01.280 --> 00:05:06.000]   and I'm still trying to complete the part one.
[00:05:06.000 --> 00:05:08.640]   Are you too monostatic?
[00:05:08.640 --> 00:05:11.280]   That's true.
[00:05:11.280 --> 00:05:12.040]   All right.
[00:05:12.040 --> 00:05:12.720]   Let me see.
[00:05:12.720 --> 00:05:15.560]   So multitask.
[00:05:15.560 --> 00:05:21.400]   All right.
[00:05:21.400 --> 00:05:26.240]   I am just so happy about how this worked out, to be honest.
[00:05:26.240 --> 00:05:31.080]   Although, spoiler alert, it didn't turn out to help our score.
[00:05:31.080 --> 00:05:34.680]   The score was about the same.
[00:05:34.680 --> 00:05:38.920]   But I was so happy at how the whole process turned out.
[00:05:38.920 --> 00:05:42.760]   But I kind of want to show you how I got there, as well as
[00:05:42.760 --> 00:05:45.880]   where we ended up.
[00:05:45.880 --> 00:05:50.680]   And yeah, as soon as I kind of turned off Zoom last time,
[00:05:50.680 --> 00:05:53.520]   and I went for a walk, and then as soon as I did that,
[00:05:53.520 --> 00:05:56.200]   I was like, oh, no, of course I know how we should do this.
[00:05:56.200 --> 00:06:00.280]   And really, so there's quite a few--
[00:06:00.280 --> 00:06:02.160]   we can make this much, much simpler.
[00:06:02.160 --> 00:06:05.680]   So let me explain what we're going to try to do.
[00:06:05.680 --> 00:06:20.120]   We are going to try to predict two things, the disease
[00:06:20.120 --> 00:06:23.600]   and the variety for each image.
[00:06:23.600 --> 00:06:29.040]   And the first thing will be to create a pair of data loaders
[00:06:29.040 --> 00:06:29.920]   that look like this.
[00:06:29.920 --> 00:06:33.800]   For each image, they will have connected two things to them,
[00:06:33.800 --> 00:06:37.760]   the disease and the type of race.
[00:06:37.760 --> 00:06:39.320]   So this is going to be step one.
[00:06:39.320 --> 00:06:44.400]   So let me kind of show you how I got to that step.
[00:06:44.400 --> 00:06:48.120]   So the step one that I took was to, first of all,
[00:06:48.120 --> 00:06:53.400]   try to replicate what we've already had before.
[00:06:53.400 --> 00:06:56.320]   So patty's ball.
[00:06:56.320 --> 00:06:58.600]   But before, I used image data loaders,
[00:06:58.600 --> 00:07:03.640]   which is the highest level least flexible function.
[00:07:03.640 --> 00:07:05.800]   We can do all the data processing
[00:07:05.800 --> 00:07:08.080]   of a single line of code, but only
[00:07:08.080 --> 00:07:10.200]   if we want to do something really standard.
[00:07:10.200 --> 00:07:14.840]   And trying to predict two things is not standard enough for it.
[00:07:14.840 --> 00:07:18.040]   So we now need to go one layer down.
[00:07:18.040 --> 00:07:27.600]   And there's a lot of really good tutorials on docs.fast.ai.
[00:07:27.600 --> 00:07:30.120]   And because it's been ages since I've done any of this,
[00:07:30.120 --> 00:07:32.920]   I'd forgotten entirely how fast.ai worked,
[00:07:32.920 --> 00:07:36.080]   so I used them very heavily to remind myself
[00:07:36.080 --> 00:07:37.960]   of what's going on.
[00:07:37.960 --> 00:07:41.560]   But for example, there is a data block tutorial.
[00:07:41.560 --> 00:07:45.560]   This pat's tutorial is great.
[00:07:45.560 --> 00:07:47.960]   It goes through all the layers of different ways
[00:07:47.960 --> 00:07:53.760]   of doing things with fast.ai preprocessing.
[00:07:53.760 --> 00:07:56.440]   This Siamese tutorial is another really good one.
[00:07:56.440 --> 00:07:58.560]   So these are some of the things I looked at.
[00:07:58.560 --> 00:08:02.760]   And the other thing that I looked at was the actual API docs.
[00:08:02.760 --> 00:08:06.120]   So if I click here on data block,
[00:08:06.120 --> 00:08:09.360]   this is actually probably what I found the most useful
[00:08:09.360 --> 00:08:11.640]   in the end.
[00:08:11.640 --> 00:08:14.120]   There's lots of great examples in the documentation.
[00:08:14.120 --> 00:08:17.040]   So yeah, as I kind of like--
[00:08:17.040 --> 00:08:19.560]   you know how it is, you come back to something a couple
[00:08:19.560 --> 00:08:22.240]   of years after you built it, and you're now
[00:08:22.240 --> 00:08:24.200]   kind of the customer of your documentation.
[00:08:24.200 --> 00:08:27.000]   And so my experience as a customer of my documentation
[00:08:27.000 --> 00:08:28.800]   was I was really delighted by it.
[00:08:28.800 --> 00:08:33.280]   So I can definitely suggest checking all that out.
[00:08:33.280 --> 00:08:37.000]   So what you can do--
[00:08:37.000 --> 00:08:40.080]   before, we were using image data loaders.from folder.
[00:08:40.080 --> 00:08:42.080]   So if we just do the double question mark trick,
[00:08:42.080 --> 00:08:45.040]   we can see the source code for it.
[00:08:45.040 --> 00:08:47.560]   And it's the normal size of fast.ai things.
[00:08:47.560 --> 00:08:49.320]   It's very small.
[00:08:49.320 --> 00:08:51.840]   And you can see that actually all the work's
[00:08:51.840 --> 00:08:53.800]   being done by data block.
[00:08:53.800 --> 00:08:59.000]   So data block is the still high level API,
[00:08:59.000 --> 00:09:01.320]   but not as high level.
[00:09:01.320 --> 00:09:02.760]   It's actually very flexible.
[00:09:02.760 --> 00:09:04.240]   And so we're going to--
[00:09:04.240 --> 00:09:08.680]   step one that I did was to replicate exactly what we had
[00:09:08.680 --> 00:09:13.040]   before about using data blocks.
[00:09:13.040 --> 00:09:19.360]   And for this, there's actually so many good examples
[00:09:19.360 --> 00:09:21.120]   in the tutorials and in the book.
[00:09:21.120 --> 00:09:22.280]   You've seen them all before.
[00:09:22.280 --> 00:09:25.480]   We don't need to talk about it too much.
[00:09:25.480 --> 00:09:29.000]   We can basically say, OK, for the data block,
[00:09:29.000 --> 00:09:30.200]   the input will be an image.
[00:09:30.200 --> 00:09:32.640]   The output will be a category.
[00:09:32.640 --> 00:09:35.080]   This is just to do disease prediction.
[00:09:35.080 --> 00:09:48.200]   The labeling function will be the parent folder.
[00:09:50.920 --> 00:09:53.440]   Parent label.
[00:09:53.440 --> 00:09:55.360]   Do a random split.
[00:09:55.360 --> 00:09:57.200]   The item and batch transforms, we
[00:09:57.200 --> 00:10:00.480]   can copy and paste from what we had before.
[00:10:00.480 --> 00:10:06.760]   And that creates a data block.
[00:10:06.760 --> 00:10:11.000]   So data loaders is then a data block.data loaders.
[00:10:11.000 --> 00:10:15.160]   And you then have to pass in a source.
[00:10:15.160 --> 00:10:20.080]   So the source is basically anything
[00:10:20.080 --> 00:10:24.880]   that you can iterate through or index
[00:10:24.880 --> 00:10:30.080]   into to grab the things that will be passed to these blocks
[00:10:30.080 --> 00:10:30.960]   and to this function.
[00:10:30.960 --> 00:10:35.800]   So for this, it's going to be a path.
[00:10:35.800 --> 00:10:48.000]   And then we also need to get items.
[00:10:48.000 --> 00:10:50.400]   And so when we get a path, we're going
[00:10:50.400 --> 00:10:54.200]   to pass that path into the getImageFiles function,
[00:10:54.200 --> 00:10:55.800]   because that's the thing that returns
[00:10:55.800 --> 00:10:57.520]   a list of all of the images in a path.
[00:10:57.520 --> 00:11:03.920]   And let's see if that works.
[00:11:03.920 --> 00:11:09.680]   How do you know that--
[00:11:09.680 --> 00:11:14.200]   OK, so the block, you have an image block, category block.
[00:11:14.200 --> 00:11:21.400]   How do you know that the getImageFiles
[00:11:21.400 --> 00:11:26.680]   is going to be able to feed both those blocks?
[00:11:26.680 --> 00:11:32.000]   So I guess the short answer would
[00:11:32.000 --> 00:11:35.680]   be to read the documentation about those blocks
[00:11:35.680 --> 00:11:40.480]   to see what they take and what they do,
[00:11:40.480 --> 00:11:42.560]   or any of the tutorials that use them.
[00:11:42.560 --> 00:11:44.720]   As you can see, they're used all over the place, right?
[00:11:44.720 --> 00:11:48.360]   So you can start with this tutorial, or this tutorial,
[00:11:48.360 --> 00:11:49.040]   or this tutorial.
[00:11:49.040 --> 00:11:55.080]   So any of those would show you what it does.
[00:11:55.080 --> 00:12:03.280]   Yeah, the actual-- sorry, this is not good documentation.
[00:12:03.280 --> 00:12:05.240]   I really never bothered to look at this,
[00:12:05.240 --> 00:12:12.880]   because it's basically all it does, because we should fix
[00:12:12.880 --> 00:12:16.840]   that, I guess, because there's so many tutorials.
[00:12:16.840 --> 00:12:19.680]   I mean, as you can see, I guess the reason I never really
[00:12:19.680 --> 00:12:22.240]   wrote drops, right, is that it's literally a single line of code.
[00:12:22.240 --> 00:12:23.120]   So that's like--
[00:12:23.120 --> 00:12:30.040]   yeah, so maybe looking at the code
[00:12:30.040 --> 00:12:31.560]   is actually interesting in this case.
[00:12:31.560 --> 00:12:36.120]   So an image block is something which
[00:12:36.120 --> 00:12:42.440]   calls class.create, where class is P-I-L image.
[00:12:42.440 --> 00:12:44.920]   So it's going to call P-I-L image.create.
[00:12:44.920 --> 00:12:49.600]   So to find out what's actually going to be called by it,
[00:12:49.600 --> 00:12:59.520]   you can go P-I-L image.create, and you can see
[00:12:59.520 --> 00:13:01.640]   it's going to get passed a file name, which
[00:13:01.640 --> 00:13:05.280]   can be a path, or a string, or various other things.
[00:13:05.280 --> 00:13:09.680]   So get image files, then, obviously, you
[00:13:09.680 --> 00:13:11.880]   can either run it to see what it comes out with,
[00:13:11.880 --> 00:13:16.000]   or let's do that so we could just run get image files,
[00:13:16.000 --> 00:13:20.760]   passing in the thing it's going to be given, which is the path.
[00:13:20.760 --> 00:13:23.640]   And so as you can see, it's a bunch of paths.
[00:13:23.640 --> 00:13:28.080]   And so we could pass one of those--
[00:13:28.080 --> 00:13:31.240]   copy that, and it's going to be passed into this function.
[00:13:31.240 --> 00:13:35.800]   So we've now just replicated exactly
[00:13:35.800 --> 00:13:37.240]   what's happening in the code.
[00:13:37.240 --> 00:13:43.400]   Yeah, but for this, I generally just
[00:13:43.400 --> 00:13:47.240]   look at the tutorials, which tell you what to do.
[00:13:47.240 --> 00:13:50.200]   Could you have two different get items
[00:13:50.200 --> 00:13:52.720]   that feed different blocks?
[00:13:52.720 --> 00:13:54.680]   We're going to come to that.
[00:13:54.680 --> 00:13:57.720]   OK, so park that.
[00:13:57.720 --> 00:14:02.920]   So yeah, so--
[00:14:02.920 --> 00:14:05.160]   There was also a batch transform,
[00:14:05.160 --> 00:14:08.880]   like it gets transformed later after reading, right?
[00:14:08.880 --> 00:14:12.440]   Yeah, here we've got the batch transform, yeah.
[00:14:12.440 --> 00:14:15.920]   But in the image block, because right now, we
[00:14:15.920 --> 00:14:18.440]   have a build image, or something,
[00:14:18.440 --> 00:14:21.120]   and it needs to become a tensor, right?
[00:14:21.120 --> 00:14:22.200]   Yeah, that's right.
[00:14:22.200 --> 00:14:25.600]   It gets changed from an int tensor to a float tensor
[00:14:25.600 --> 00:14:26.520]   later on.
[00:14:26.520 --> 00:14:27.520]   That's right.
[00:14:27.520 --> 00:14:32.760]   Yeah, that's a fairly subtle thing, but that's right.
[00:14:32.760 --> 00:14:39.720]   We stick that in something.
[00:14:39.720 --> 00:14:47.480]   Image equals-- and we look at, like, np.array image.
[00:14:47.480 --> 00:14:51.480]   It's actually stored as bytes, or UN8, as they call it,
[00:14:51.480 --> 00:14:54.440]   in PyTorch.
[00:14:54.440 --> 00:15:00.200]   So yes, this is going to add a batch transform that's
[00:15:00.200 --> 00:15:02.320]   going to turn that into a float tensor, which
[00:15:02.320 --> 00:15:06.040]   we can see what that's going to look like.
[00:15:06.040 --> 00:15:10.760]   We could run it here, I expect, to float tensor.
[00:15:10.760 --> 00:15:17.840]   The transformation that we're applying
[00:15:17.840 --> 00:15:21.720]   is 224, which is like a square image, correct?
[00:15:21.720 --> 00:15:24.200]   A 224 by 224?
[00:15:24.200 --> 00:15:26.120]   This one here?
[00:15:26.120 --> 00:15:26.920]   Yes.
[00:15:26.920 --> 00:15:29.680]   Yeah, so this is doing data augmentation
[00:15:29.680 --> 00:15:31.360]   of lots of different kinds.
[00:15:31.360 --> 00:15:43.560]   So let's copy doc paste.
[00:15:43.560 --> 00:15:48.760]   And if we show--
[00:15:48.760 --> 00:15:50.800]   for data augmentation, looking at the docs
[00:15:50.800 --> 00:15:52.720]   is particularly important, because you
[00:15:52.720 --> 00:15:55.760]   can see examples of the augmentations it does.
[00:15:55.760 --> 00:15:57.680]   So it tells you a list of all the augmentations
[00:15:57.680 --> 00:15:58.760]   and how you can change them.
[00:15:58.760 --> 00:16:02.480]   And here's some examples of what they look like.
[00:16:02.480 --> 00:16:02.960]   And--
[00:16:02.960 --> 00:16:06.520]   These augmentations would happen after the integer float
[00:16:06.520 --> 00:16:08.800]   tensor, right?
[00:16:08.800 --> 00:16:10.040]   Yes, that's correct.
[00:16:10.040 --> 00:16:13.080]   And some data augmentations, they
[00:16:13.080 --> 00:16:15.600]   operate on the entire batch, and some operate
[00:16:15.600 --> 00:16:17.320]   with a single example.
[00:16:17.320 --> 00:16:18.240]   Yeah, that's right.
[00:16:18.240 --> 00:16:20.720]   So the ones in batch transforms operate on the whole batch,
[00:16:20.720 --> 00:16:22.520]   and the ones in item transforms operate
[00:16:22.520 --> 00:16:23.960]   on a single item.
[00:16:23.960 --> 00:16:27.880]   And so batch transforms operate--
[00:16:27.880 --> 00:16:31.160]   because they operate on a batch, before you get there,
[00:16:31.160 --> 00:16:33.000]   everything has to be the same shape.
[00:16:33.000 --> 00:16:34.800]   So it can be turned into a batch.
[00:16:34.800 --> 00:16:38.680]   So this resizes everything to the same shape.
[00:16:38.680 --> 00:16:42.480]   And then this does these various different types of data
[00:16:42.480 --> 00:16:44.160]   augmentation.
[00:16:44.160 --> 00:16:47.440]   And one of the key pieces of data augmentation it does
[00:16:47.440 --> 00:16:51.760]   is to randomly zoom into a subset of the image,
[00:16:51.760 --> 00:16:55.360]   as you can see in these various examples here.
[00:16:55.360 --> 00:17:03.840]   And this data block API, can you also
[00:17:03.840 --> 00:17:05.920]   use it with data frames, where you
[00:17:05.920 --> 00:17:08.320]   would be reading your images from a data frame?
[00:17:08.320 --> 00:17:08.960]   We are going to do that.
[00:17:08.960 --> 00:17:10.480]   We're going to do that in a moment, yes.
[00:17:10.480 --> 00:17:11.280]   OK, cool.
[00:17:11.280 --> 00:17:14.400]   Absolutely.
[00:17:14.400 --> 00:17:17.360]   So yeah, I'm kind of skipping over quite a bit of this,
[00:17:17.360 --> 00:17:22.040]   because it's super well covered in the tutorials.
[00:17:22.040 --> 00:17:24.680]   So I don't want to say stuff that you can very easily read.
[00:17:24.680 --> 00:17:26.040]   Whereas the stuff I'm about to show you
[00:17:26.040 --> 00:17:28.880]   isn't as well covered in the tutorials, and it's kind of new.
[00:17:28.880 --> 00:17:33.880]   But yeah, feel free to keep asking questions
[00:17:33.880 --> 00:17:36.360]   about anything you see.
[00:17:36.360 --> 00:17:39.840]   So basically, yeah, so all we've done
[00:17:39.840 --> 00:17:43.880]   is this is just the same thing that we have in lesson one.
[00:17:43.880 --> 00:17:51.760]   And it's doing exactly the same thing as my image data
[00:17:51.760 --> 00:17:54.240]   loaders.from folder, but just turn it into data block.
[00:17:54.240 --> 00:17:56.920]   And so this is what I did, just to show you
[00:17:56.920 --> 00:17:57.880]   through my process.
[00:17:57.880 --> 00:17:59.760]   But step one was to get this working,
[00:17:59.760 --> 00:18:05.200]   and then I passed that into a learner.
[00:18:05.200 --> 00:18:14.040]   And so let's go copy, and I want this all to run as fast as
[00:18:14.040 --> 00:18:15.520]   possible.
[00:18:15.520 --> 00:18:17.560]   So I would use the fastest--
[00:18:17.560 --> 00:18:27.520]   Do you-- when you make this data loader thing,
[00:18:27.520 --> 00:18:31.560]   do you try to make sure that the shape that it's outputting
[00:18:31.560 --> 00:18:34.720]   is what you need for your model, or that's later?
[00:18:34.720 --> 00:18:37.960]   Well, I generally use models which
[00:18:37.960 --> 00:18:41.720]   don't care what size they get.
[00:18:41.720 --> 00:18:44.840]   So yeah, that's one of my tricks.
[00:18:44.840 --> 00:18:48.640]   So ResNet18 is happy with any size.
[00:18:48.640 --> 00:18:50.160]   So actually, for my testing, I'm going
[00:18:50.160 --> 00:18:53.920]   to bring this back down to 128, so it's super fast.
[00:18:53.920 --> 00:19:00.720]   And so I just want to get the maximum iteration speed here.
[00:19:00.720 --> 00:19:07.400]   And so now, I can call learn.fit1cycle.
[00:19:07.400 --> 00:19:09.400]   And let's do one epoch.
[00:19:09.400 --> 00:19:21.120]   OK, so this is going to run in under 20 seconds, which
[00:19:21.120 --> 00:19:22.320]   is kind of what you want, right?
[00:19:22.320 --> 00:19:24.920]   You want something that you can test in under about 20 seconds,
[00:19:24.920 --> 00:19:27.200]   so that way, you can just quickly try things
[00:19:27.200 --> 00:19:29.760]   and make sure that end-to-end, it's working.
[00:19:29.760 --> 00:19:33.880]   Yep, the error rate is down to 30%.
[00:19:33.880 --> 00:19:38.600]   So that's a good sign.
[00:19:38.600 --> 00:19:40.920]   I guess one correlated question is, OK,
[00:19:40.920 --> 00:19:43.200]   I understand the input size, but what
[00:19:43.200 --> 00:19:45.680]   about the output size of your data block?
[00:19:45.680 --> 00:19:48.120]   You know that this is what you need for that model.
[00:19:48.120 --> 00:19:49.920]   Let's not say the model doesn't care.
[00:19:49.920 --> 00:19:52.360]   The model's happy with any size.
[00:19:52.360 --> 00:19:55.640]   I mean, the targets, or whatever.
[00:19:55.640 --> 00:19:57.120]   You're talking about the labels?
[00:19:57.120 --> 00:19:58.000]   Yeah, the labels.
[00:19:58.000 --> 00:19:59.800]   I mean, labels don't have sizes.
[00:19:59.800 --> 00:20:01.120]   The labels are strings.
[00:20:01.120 --> 00:20:02.680]   Or just the shape of that.
[00:20:02.680 --> 00:20:05.080]   Like, hey, is it--
[00:20:05.080 --> 00:20:07.600]   because maybe different models are kind of trying
[00:20:07.600 --> 00:20:10.600]   to predict different types of stuff, potentially?
[00:20:10.600 --> 00:20:13.360]   I don't know.
[00:20:13.360 --> 00:20:16.360]   Like, some might have the shape of the target.
[00:20:16.360 --> 00:20:18.760]   A vision learner is--
[00:20:18.760 --> 00:20:24.320]   I suspect the thing you're kind of asking
[00:20:24.320 --> 00:20:26.560]   is the thing that we're going to be covering in a moment.
[00:20:26.560 --> 00:20:28.640]   So maybe put that on hold, and then tell me
[00:20:28.640 --> 00:20:30.040]   if it doesn't make sense.
[00:20:30.040 --> 00:20:30.520]   OK.
[00:20:30.520 --> 00:20:32.760]   OK.
[00:20:32.760 --> 00:20:37.120]   Before-- I have a question.
[00:20:37.120 --> 00:20:44.560]   On the data block, you randomly select the amount of records
[00:20:44.560 --> 00:20:49.120]   or the amount of the batch size that you're going to process.
[00:20:49.120 --> 00:20:51.360]   I don't randomly pick the batch size, no.
[00:20:51.360 --> 00:20:55.160]   The batch size is actually selected in the .dataLetters
[00:20:55.160 --> 00:20:58.200]   call and it take off to 64.
[00:20:58.200 --> 00:20:59.400]   64.
[00:20:59.400 --> 00:21:02.760]   So what is the guarantee that every single one
[00:21:02.760 --> 00:21:05.000]   of the images in this particular case
[00:21:05.000 --> 00:21:09.400]   will be selected, or there's no way to know?
[00:21:09.400 --> 00:21:12.520]   Is there any way to know that every single one will be--
[00:21:12.520 --> 00:21:13.720]   Yes.
[00:21:13.720 --> 00:21:16.760]   I mean, well, yes, except that we're randomly
[00:21:16.760 --> 00:21:21.880]   selecting 20% to be a validation set.
[00:21:21.880 --> 00:21:26.200]   But every single one will go through the learner.
[00:21:26.200 --> 00:21:29.080]   Of the 80% that aren't in there, everyone
[00:21:29.080 --> 00:21:31.960]   will go through our learner because we randomly shuffle them
[00:21:31.960 --> 00:21:35.400]   and then we iterate through the whole lot.
[00:21:35.400 --> 00:21:38.760]   So in a single epoch, the model is
[00:21:38.760 --> 00:21:44.040]   guaranteed to see every example that is trained just once.
[00:21:44.040 --> 00:21:46.040]   Yeah.
[00:21:46.040 --> 00:21:47.480]   Yeah, and that's what this one means.
[00:21:47.480 --> 00:21:50.280]   That's what one epoch means, is look at everything once.
[00:21:50.280 --> 00:21:52.680]   And so if we put two there, it would look at everything twice.
[00:21:52.680 --> 00:21:54.360]   But each time it randomly shuffles it,
[00:21:54.360 --> 00:21:56.920]   so it does it in a different random order.
[00:21:56.920 --> 00:21:59.600]   I have a quick question.
[00:21:59.600 --> 00:22:03.080]   I guess this is PyTorch data loader stuff,
[00:22:03.080 --> 00:22:06.280]   but what actually happens for the last batch?
[00:22:06.280 --> 00:22:08.360]   The last batch, it depends.
[00:22:08.360 --> 00:22:10.840]   And this is actually not the PyTorch data loader,
[00:22:10.840 --> 00:22:12.680]   it's actually fast.ai's data loader.
[00:22:12.680 --> 00:22:16.120]   So we have our own data loader, although in the next version,
[00:22:16.120 --> 00:22:19.080]   we're likely to replace it with the fast.ai one.
[00:22:19.080 --> 00:22:20.760]   So it depends what drop last is.
[00:22:20.760 --> 00:22:24.920]   If drop last is true, then it deletes the last batch.
[00:22:24.920 --> 00:22:27.560]   And if it's false, then it includes the last batch.
[00:22:27.560 --> 00:22:30.040]   And the reason that's interesting is that the last batch may not
