
[00:00:00.000 --> 00:00:03.600]   [Christmas music]
[00:06:44.400 --> 00:06:48.800]   And my 10-year-old, for whatever it's him right now, is just geeked out of his mind.
[00:06:48.800 --> 00:06:51.800]   A couple of times a day, we'll get asked, "How many more days?"
[00:06:51.800 --> 00:06:53.400]   So there's a couple of presents wrapped.
[00:06:53.400 --> 00:06:54.300]   They're under the tree.
[00:06:54.300 --> 00:06:58.800]   Every little movement forward kind of ratchets up the anticipation.
[00:06:58.800 --> 00:07:00.900]   And so we're not far. Come up here.
[00:07:00.900 --> 00:07:05.200]   Do around 6,000 services. Collapse and sleep. Wake up.
[00:07:05.200 --> 00:07:07.500]   We'll open up presents. Family will come over.
[00:07:07.500 --> 00:07:09.300]   We'll laugh. We'll have a great time with them.
[00:07:09.300 --> 00:07:11.500]   And then everyone will go home and we'll—not that night,
[00:07:11.500 --> 00:07:13.100]   but we'll start to take everything down.
[00:07:13.100 --> 00:07:15.500]   And nobody's allowed to say this, but we all feel it.
[00:07:15.500 --> 00:07:17.100]   There'll be a tinge of disappointment.
[00:07:17.100 --> 00:07:20.800]   That was it. That was it. Since Thanksgiving, we've been gearing towards this.
[00:07:20.800 --> 00:07:22.000]   We've been amped about this.
[00:07:22.000 --> 00:07:25.000]   You'll be frustrated with your kids because they're a little selfish heart.
[00:07:25.000 --> 00:07:28.200]   They'll just do something with a present that you spent good money for.
[00:07:28.200 --> 00:07:34.200]   And they're like, "Well, really, I wanted the one, not the 360."
[00:07:34.200 --> 00:07:37.000]   And you'll do what godly parents do, which is threaten.
[00:07:37.000 --> 00:07:45.300]   "I'll take all your presents back. I'll start a fire, if you know what I'm saying."
[00:07:45.300 --> 00:07:51.200]   So what's wired into this season is a sense of anticipation.
[00:07:51.200 --> 00:07:55.900]   It's almost magical what occurs if you're really into Christmas.
[00:07:55.900 --> 00:07:58.900]   I mean, we were slated this week to go out and look at lights.
[00:07:58.900 --> 00:08:01.200]   We're already three deep into Christmas parties.
[00:08:01.200 --> 00:08:04.500]   Got another one tonight. On Thursday, the Flower Mound Campus and Elders.
[00:08:04.500 --> 00:08:07.300]   We're going to go around this neighborhood and sing carols and hand out Advent guides.
[00:08:07.300 --> 00:08:10.600]   And I mean, we're all in. My kids are all in.
[00:08:10.600 --> 00:08:17.800]   There's this great anticipation for what is to come and we're all going to be disappointed.
[00:08:17.800 --> 00:08:22.200]   Okay, so apparently you're not following me.
[00:08:22.200 --> 00:08:29.200]   The reason we're going to be disappointed is because all of this is a shadow of a greater reality.
[00:08:29.200 --> 00:08:40.700]   What's going on right now is meant to dial me in to an anticipation for that day that being disappointed is impossible.
[00:08:40.700 --> 00:08:46.400]   Like so rich and deep is the love of God that at the consummation of all things,
[00:08:46.400 --> 00:08:55.900]   10 billion years from now, it'll be just as fresh, just as beautiful, and just as freeing as it's ever been.
[00:08:55.900 --> 00:08:58.300]   That's the inexhaustible well of God's grace.
[00:08:58.300 --> 00:09:01.400]   You know, you experience some of the first time, it's just incredible.
[00:09:01.400 --> 00:09:04.000]   And then the more you experience, the more it kind of loses its luster.
[00:09:04.000 --> 00:09:09.500]   Well, according to the Word of God, according to what happens at the consummation of all things,
[00:09:09.500 --> 00:09:13.600]   that the Apostle Paul tells us in the book of Ephesians, that it'll take the coming ages,
[00:09:13.600 --> 00:09:19.800]   millennia, for us to even get a sense of how deep the love of God is for those he loves,
[00:09:19.800 --> 00:09:22.100]   the treasures of his grace.
[00:09:22.100 --> 00:09:23.800]   And so I don't know how you're wired.
[00:09:23.800 --> 00:09:28.200]   I think of 10 billion years, I'm like, I don't care what it is, I'm going to be bored out of my mind.
[00:09:28.200 --> 00:09:34.000]   Right, I can't even now do something more than a day or two before I'm like, all right, what's next?
[00:09:34.000 --> 00:09:42.500]   And yet so deep is the inexhaustible well of God that for eternity, our delight increases,
[00:09:42.500 --> 00:09:44.700]   our joy grows.
[00:09:44.700 --> 00:09:46.700]   This is what Christmas is all about.
[00:09:46.700 --> 00:09:52.000]   We look back upon the coming of Christ, and we rejoice in what's true right now.
[00:09:52.000 --> 00:09:55.300]   We sing, we shout, we rejoice because these things are true right now.
[00:09:55.300 --> 00:09:56.900]   Our punishment has been removed.
[00:09:56.900 --> 00:09:58.300]   That's true right now.
[00:09:58.300 --> 00:10:01.700]   Fear is losing its power over us right now.
[00:10:01.700 --> 00:10:02.900]   We've moved farther.
[00:10:02.900 --> 00:10:03.700]   We've grown.
[00:10:03.700 --> 00:10:06.400]   We've seen God work in us, all right?
[00:10:06.400 --> 00:10:11.900]   God is a mighty warrior who has saved and continues to battle on our behalf.
[00:10:11.900 --> 00:10:16.800]   There is a loss of power of mourning over our lives.
[00:10:16.800 --> 00:10:19.700]   We mourn, but don't mourn like those who don't have hope.
[00:10:19.700 --> 00:10:21.700]   We mourn like those who have hope.
[00:10:21.700 --> 00:10:26.500]   The woman last night we met with, Michael and I did, who lost her husband on Tuesday.
[00:10:26.500 --> 00:10:32.100]   She felt guilty for not sobbing and breaking down in our conversation.
[00:10:32.100 --> 00:10:37.200]   I'm like, sister, like everyone's praying for you the peace that passes understanding.
[00:10:37.200 --> 00:10:38.600]   Don't feel bad about this.
[00:10:38.600 --> 00:10:43.900]   Rejoice and be glad that you're mourning like someone who has hope.
[00:10:43.900 --> 00:10:45.500]   This is true right now.
[00:10:45.500 --> 00:10:47.600]   Yes, no more oppression.
[00:10:47.600 --> 00:10:50.400]   Oppression is losing its power.
[00:10:50.400 --> 00:10:54.900]   The lame rescued disease losing its power.
[00:10:54.900 --> 00:10:57.200]   The exiles will be gathered.
[00:10:57.200 --> 00:11:03.600]   Brothers, sisters, we are aliens, strangers, exiles in this world.
[00:11:03.600 --> 00:11:07.400]   And yet Christ, the great rescuer, the great redeemer, gathers,
[00:11:07.400 --> 00:11:10.700]   and that we have been brought home now.
[00:11:10.700 --> 00:11:19.600]   And so we sit in that and we rejoice in that while looking for the second coming,
[00:11:19.600 --> 00:11:23.200]   pleading for the second advent.
[00:11:23.200 --> 00:11:32.400]   This is why John ends the book of Revelation with, "Come, Lord Jesus, Maranatha."
[00:11:32.400 --> 00:11:33.400]   I'll end the clip here.
[00:11:33.400 --> 00:11:35.700]   It's such a great reminder.
[00:11:35.700 --> 00:11:38.200]   Christmas is wonderful as it is.
[00:11:38.200 --> 00:11:39.900]   It's not the thing.
[00:11:39.900 --> 00:11:42.700]   This season will never satisfy our hearts.
[00:11:42.700 --> 00:11:48.300]   There's a second advent coming, and that should rivet our hearts like a child waiting
[00:11:48.300 --> 00:11:51.000]   for some Christmas morning that hasn't yet happened.
[00:11:51.000 --> 00:11:54.800]   In other words, we have a longing that remains and cannot ever get pacified,
[00:11:54.800 --> 00:11:58.100]   even in our best holiday celebrations.
[00:11:58.100 --> 00:11:59.600]   That is so helpful.
[00:11:59.600 --> 00:12:04.100]   Matt Chandler, thank you, brother, for that reminder and for pressing us to think about it.
[00:12:04.100 --> 00:12:07.900]   Again, that was from his advent sermon titled, "God's Protection and Delight"
[00:12:07.900 --> 00:12:11.200]   on Zephaniah 3, verses 14 to 20.
[00:12:11.200 --> 00:12:15.000]   You can find it online at the Village Church website.
[00:12:15.000 --> 00:12:19.400]   Well, Christmas draws closer, and we have one final Christmas episode.
[00:12:19.400 --> 00:12:24.200]   And it's a question about the marvelous fact that Jesus learned obedience as a boy.
[00:12:24.200 --> 00:12:32.600]   Scripture tells us Jesus as a boy, "Increased in wisdom and in stature and in favor with God and men."
[00:12:32.600 --> 00:12:38.200]   Huh? So how on earth did Jesus grow in maturity and why?
[00:12:38.200 --> 00:12:42.400]   And how will this give substance to our Christmas celebration this year?
[00:12:42.400 --> 00:12:47.500]   That's the next episode, and it will be launching on Sunday night at 7 p.m.
[00:12:47.500 --> 00:12:53.300]   Central Time, which is Christmas Eve, or you can listen to it Christmas Day or later on Monday.
[00:12:53.300 --> 00:12:54.900]   I'm your host, Tony Reinke.
[00:12:54.900 --> 00:12:57.200]   Thanks for listening to the podcast, and we'll see you then.
[00:12:57.200 --> 00:13:02.200]   .
[00:13:02.200 --> 00:13:07.200]   .

