
[00:00:00.000 --> 00:00:03.000]   Your tough Tacoma is here.
[00:03:49.000 --> 00:03:52.000]   And so the first thing is to find spiritual freedom.
[00:03:52.000 --> 00:04:00.000]   I then talked about some things that have been important in my life that I underestimated how—things I underestimated how impactful they would wind up being.
[00:04:00.000 --> 00:04:03.000]   Ring number two is I talked about spousal liberty.
[00:04:03.000 --> 00:04:11.000]   I talked about the great blessing it's been for me and for my family to have a stay-at-home wife and how that's increased our freedom in our own family.
[00:04:11.000 --> 00:04:24.000]   And then that exaggerated or made even greater by ring number three where I talked about family liberty, the ability to just simply raise your family as you like with a special emphasis on home education.
[00:04:24.000 --> 00:04:34.000]   And that those two things are not commonly thought about with regard to financial planning, but I shared how they've dramatically increased the freedom that we've enjoyed as a family.
[00:04:34.000 --> 00:04:38.000]   So now we're on step four is where we turn to financial matters.
[00:04:38.000 --> 00:04:53.000]   And I talked about two aspects. I talked about the value of being debt-free, specifically how if you are debt-free, you can pivot, you can change, you can move in almost any direction, which is the basic freedom that I think most of us want.
[00:04:53.000 --> 00:05:01.000]   The freedom to not be chained to the decisions of our past, but to follow the path that at present seems most attractive to us.
[00:05:01.000 --> 00:05:10.000]   And so when you make a commitment to become and to stay debt-free, you always have that freedom to change and to pursue the thing that seems appropriate for you to do next.
[00:05:10.000 --> 00:05:16.000]   I also talked in the context of spending liberty there in ring number four. I talked about developing some savings.
[00:05:16.000 --> 00:05:24.000]   And I shared with you why, in my opinion, smaller amounts of savings make a massive difference in a way that many people underappreciate.
[00:05:24.000 --> 00:05:35.000]   I talked about the value of saving $1,000 and that freeing you from day-to-day emergencies, moving you from the bottom half of the population to the top half of the population in terms of just access to money.
[00:05:35.000 --> 00:05:42.000]   Then I talked about how $10,000, $10,000 saved opens up the vast majority of decisions that you would want to make.
[00:05:42.000 --> 00:05:48.000]   And then I said $100,000 really opens up the vast, vast majority of decisions you would want to make.
[00:05:48.000 --> 00:05:58.000]   The only things, lifestyle changes that you can't make with $100,000 would be huge businesses that you want to buy or huge investments that you want to make.
[00:05:58.000 --> 00:06:01.000]   And those are the kinds of things where you can often find capital.
[00:06:01.000 --> 00:06:10.000]   And so I said in my opinion, from experience and from thinking about it, I think that $100,000 is a really good kind of break-free number to shoot for.
[00:06:10.000 --> 00:06:19.000]   $100,000 does not render you financially independent. It doesn't do what today's definition does of allowing you to live your desired lifestyle based upon your investment income.
[00:06:19.000 --> 00:06:21.000]   You can't do it on $100,000.
[00:06:21.000 --> 00:06:24.000]   But $100,000 allows you to do anything.
[00:06:24.000 --> 00:06:32.000]   And I shared with you that famous quote by Warren Buffett where he says he wants to leave his children enough money to do anything but not enough money to do nothing.
[00:06:32.000 --> 00:06:36.000]   And I said in my opinion, something like $100,000 hits that number.
[00:06:36.000 --> 00:06:39.000]   It's enough money to do anything but not enough money to do nothing.
[00:06:39.000 --> 00:06:44.000]   And so it's a very useful metric for freedom to work towards and to enjoy.
[00:06:44.000 --> 00:06:45.000]   And it can be achieved.
[00:06:45.000 --> 00:06:54.000]   $100,000 of savings can be achieved by almost anybody, almost any family, almost any circumstance within a few years at maximum.
[00:06:54.000 --> 00:06:56.000]   And then yet that opens you up with freedom.
[00:06:56.000 --> 00:06:59.000]   Now, it's different if you're making $400,000 a year.
[00:06:59.000 --> 00:07:02.000]   You can do it, of course, much faster than if you're making $40,000 a year.
[00:07:02.000 --> 00:07:09.000]   But if you'll adjust your income, your expenses, your lifestyle, et cetera, in some way, you can hit that breakout number very quickly.
[00:07:09.000 --> 00:07:11.000]   Ring 5, I talked about entrepreneurship.
[00:07:11.000 --> 00:07:19.000]   And I explained how entrepreneurship gives you many of the liberties of life that ultimate financial liberty gives you as well.
[00:07:19.000 --> 00:07:28.000]   Control over your time, control over your location, freedom of association, control over your income, the ability to leverage your activities for a much higher income.
[00:07:28.000 --> 00:07:32.000]   And I shared how entrepreneurship is a real key, in my opinion, towards freedom.
[00:07:32.000 --> 00:07:33.000]   Not all businesses are perfect.
[00:07:33.000 --> 00:07:35.000]   Not all businesses enhance your liberty.
[00:07:35.000 --> 00:07:37.000]   Some businesses restrain your liberty.
[00:07:37.000 --> 00:07:47.000]   But if you're thoughtful about the kind of business that you begin or that you get involved in, entrepreneurship in and of itself can give you a very free lifestyle while you're building your wealth.
[00:07:47.000 --> 00:07:52.000]   Then, ring number 6, I talked about state liberty, how to be free from government intervention.
[00:07:52.000 --> 00:08:05.000]   I shared with you some ideas on how to do this in your career so that you can have a less frustrating career by not working in areas where you're so tightly governed and where everything you say and do is subject to myriad laws.
[00:08:05.000 --> 00:08:07.000]   I also talked about it in terms of your personal life.
[00:08:07.000 --> 00:08:15.000]   I shared with you a little bit about a PT theory, your flag theory, which is the best that I've come up with for people who are pretty hardcore and really want to live free from state control.
[00:08:15.000 --> 00:08:22.000]   Basically, I shared with you how PT theory is, in my opinion, probably the best way that currently exists to do it.
[00:08:22.000 --> 00:08:23.000]   It's not perfect.
[00:08:23.000 --> 00:08:24.000]   It comes with downsides.
[00:08:24.000 --> 00:08:38.000]   But it's the best way to live at a maximally free level, free way, if you're willing to put in place the constraints of that type of lifestyle, if you're willing to live with those constraints.
[00:08:38.000 --> 00:08:41.000]   And they're not insignificant, but they are surmountable.
[00:08:41.000 --> 00:08:45.000]   And so it's the best I've come up with to enjoy freedom from state control.
[00:08:45.000 --> 00:08:51.000]   Now, at this point in time, you've developed, if you've done these things, and they're not in perfect order.
[00:08:51.000 --> 00:08:54.000]   You can pick and choose which order you want to do them.
[00:08:54.000 --> 00:09:01.000]   But I think that if you've done these various things in your life, you've achieved a lifestyle of incredible freedom.
[00:09:01.000 --> 00:09:04.000]   And this is where I'm at so far.
[00:09:04.000 --> 00:09:07.000]   I've accomplished these first six steps.
[00:09:07.000 --> 00:09:09.000]   I've not yet accomplished the seventh ring.
[00:09:09.000 --> 00:09:15.000]   I've not yet achieved financial liberty, the ability to live on the income from my investments.
[00:09:15.000 --> 00:09:24.000]   But as I put myself in the mindset and I try to figure out, well, what would be different about my life if I were able to live exclusively on the income from my investments?
[00:09:24.000 --> 00:09:27.000]   I honestly don't know very many answers to that question.
[00:09:27.000 --> 00:09:28.000]   There are a few things.
[00:09:28.000 --> 00:09:35.000]   For example, I sometimes wonder, well, would I really want to be doing this work right now if I had all that money coming in, if I didn't have to?
[00:09:35.000 --> 00:09:39.000]   Would I really want to be on a microphone speaking to you right now?
[00:09:39.000 --> 00:09:42.000]   And my answer is I think so, but I can't be certain.
[00:09:42.000 --> 00:09:44.000]   I think so, but I can't be certain.
[00:09:44.000 --> 00:09:52.000]   The thing that I think would change for me is I probably would put a little bit less pressure on myself.
[00:09:52.000 --> 00:09:56.000]   For example, this is a rerecord of this episode.
[00:09:56.000 --> 00:10:01.000]   I recorded this episode on Tuesday or Wednesday, and now I'm rerecording it on Friday.
[00:10:01.000 --> 00:10:07.000]   But my schedule was absolutely slammed this week, and I didn't think I did a very good job with it on Tuesday or Wednesday.
[00:10:07.000 --> 00:10:16.000]   I can't remember when I recorded it, which day specifically, but I didn't think I did a great job with it, so I decided to scrap it and try again because this message is important to me and I want to do it properly.
[00:10:16.000 --> 00:10:27.000]   And yet the things that I had going on this week with travel and with some business obligations and working with some clients and whatnot, I wasn't able to get to it, to the podcast.
[00:10:27.000 --> 00:10:28.000]   And I don't like that.
[00:10:28.000 --> 00:10:31.000]   I don't like to ever miss a week for certain.
[00:10:31.000 --> 00:10:33.000]   I don't think I've missed a week.
[00:10:33.000 --> 00:10:41.000]   If I've missed a week, it's only been a handful of times since the show started, and I prefer to keep the podcast flow at two to three episodes per week.
[00:10:41.000 --> 00:10:42.000]   That's my current target.
[00:10:42.000 --> 00:10:46.000]   Well, if I were financially independent, maybe I would do that a little bit less.
[00:10:46.000 --> 00:10:53.000]   Maybe I wouldn't publish so much, or maybe I would only publish the stuff that I think is really good rather than feeling the press of production.
[00:10:53.000 --> 00:10:54.000]   But I'm not sure.
[00:10:54.000 --> 00:10:56.000]   I mean, that's a relatively minor thing.
[00:10:56.000 --> 00:11:02.000]   The reality is I wanted to release this episode on Tuesday, and it didn't go because I didn't like it, and so here we are on Friday.
[00:11:02.000 --> 00:11:05.000]   Is there anybody that's emailed me and said, "Joshua, you've just got to be here"?
[00:11:05.000 --> 00:11:07.000]   No, it's just all in my head.
[00:11:07.000 --> 00:11:09.000]   I know that I want to do this very well.
[00:11:09.000 --> 00:11:10.000]   I want to serve effectively.
[00:11:10.000 --> 00:11:15.000]   And so if I were financially independent, maybe I would go ahead and give myself more freedom.
[00:11:15.000 --> 00:11:18.000]   But I use that example just to show you that that's just a mental game.
[00:11:18.000 --> 00:11:20.000]   It's something that's in the head.
[00:11:20.000 --> 00:11:22.000]   There's not any actual pressure.
[00:11:22.000 --> 00:11:26.000]   There's not any actual difference in the freedom except a difference in the mindset.
[00:11:26.000 --> 00:11:30.000]   And so what I've observed is that different people can embrace those things at different levels.
[00:11:30.000 --> 00:11:43.000]   Once you get free of kind of the day-to-day struggle of finances, the day-to-day struggle of how am I going to make the bills this week, then things are very different, and most of the game is in your head.
[00:11:43.000 --> 00:11:46.000]   Now, that's not true for somebody who's still struggling.
[00:11:46.000 --> 00:11:57.000]   I've done multiple, some consulting work with people who are in just truly desperate financial situations this week, and it's really tough, really, really tough when people are in desperate financial situations.
[00:11:57.000 --> 00:11:59.000]   That's not just a mental game.
[00:11:59.000 --> 00:12:10.000]   But once you get to this level in our process where you've got a business providing you income, you've got savings, et cetera, it's all largely mental.
[00:12:10.000 --> 00:12:13.000]   It's almost a game that's mental.
[00:12:13.000 --> 00:12:19.000]   So I don't know a lot of what would change from the previous six versus the seventh.
[00:12:19.000 --> 00:12:23.000]   I'll keep you in the loop as I achieve the seventh ring here.
[00:12:23.000 --> 00:12:26.000]   But in my observation, I've interviewed a lot of people about this.
[00:12:26.000 --> 00:12:28.000]   I've looked for a lot of stories.
[00:12:28.000 --> 00:12:29.000]   I've read a lot of people.
[00:12:29.000 --> 00:12:34.000]   And I would say that there's only a modest change if there is a change.
[00:12:34.000 --> 00:12:38.000]   And that modest change can often be reflected as simply a mental game.
[00:12:38.000 --> 00:12:43.000]   The fact that now I embrace this work more because I know I'm doing it because I really want to.
[00:12:43.000 --> 00:12:44.000]   I know I don't have to.
[00:12:44.000 --> 00:12:53.000]   And I have the freedom that comes from being able to tell my haters, "I don't care what you think," or I have the freedom that comes from being able to ignore what all those people say.
[00:12:53.000 --> 00:12:57.000]   And that's kind of a common thing that wealthy people often reflect on.
[00:12:57.000 --> 00:13:02.000]   But let's talk about what this lifestyle can actually be.
[00:13:02.000 --> 00:13:04.000]   And then I'll give you some ideas on how to do it.
[00:13:04.000 --> 00:13:11.000]   That's one of the things that's been my goal is to talk to you about the value of achieving this certain goal and then how to do it.
[00:13:11.000 --> 00:13:19.000]   So the first thing that I would say that is my number one driving ambition is to achieve financial liberty.
[00:13:19.000 --> 00:13:21.000]   That's not true.
[00:13:21.000 --> 00:13:26.000]   Let me start with what my actual number one driver of financial liberty is.
[00:13:26.000 --> 00:13:37.000]   My number one driver towards financial liberty is to prove to myself that I've accomplished the necessary change to be financially independent.
[00:13:37.000 --> 00:13:42.000]   In some ways, I just simply view it as almost any other challenge.
[00:13:42.000 --> 00:13:46.000]   Let's say that you decide, "I'm going to fight an Ironman race."
[00:13:46.000 --> 00:13:58.000]   And so let's say that you are fat, you're out of shape, and you say, "I'm going to complete an Ironman triathlon," as one of those big difficult things it can do.
[00:13:58.000 --> 00:14:01.000]   It does with the marathon, it does any kind of extreme scenario.
[00:14:01.000 --> 00:14:17.000]   Well, unless you're trying to build some kind of career related to Ironmanning, which is very uncommon, the basic reason why you set a goal like that is because of the transformation that it would require from you.
[00:14:17.000 --> 00:14:20.000]   And I like to set goals like this.
[00:14:20.000 --> 00:14:28.000]   I like to set a goal of external validation, not because I need the external validation, but because it gives me something to measure my progress towards.
[00:14:28.000 --> 00:14:33.000]   I'm studying for an advanced level language exam in a foreign language right now.
[00:14:33.000 --> 00:14:36.000]   And the reason I'm doing it is not because I need the exam.
[00:14:36.000 --> 00:14:46.000]   I'm taking the exam because I want to have a benchmark to measure my productivity by, to measure my progress, and because it gives me an objective standard to work towards.
[00:14:46.000 --> 00:14:50.000]   And so for me, I think of financial liberty as, in essence, the same thing.
[00:14:50.000 --> 00:14:58.000]   The reason to work towards financial liberty is to become the kind of person who is financially free.
[00:14:58.000 --> 00:15:05.000]   Putting it using other words, the reason to become a millionaire is to become a millionaire.
[00:15:05.000 --> 00:15:11.000]   It's a set of habits, it's a set of behaviors that you have to model.
[00:15:11.000 --> 00:15:13.000]   It's a set of virtues that you have to develop.
[00:15:13.000 --> 00:15:15.000]   And it's a comprehensive set of behaviors.
[00:15:15.000 --> 00:15:37.000]   In the same way that a foreign language exam, a really top level, let's say you're going to go for a C2, maybe you're going to take the French exam, and you're going to get a C2 using the European method of languages from Allianz Francaise with the language exam, or a C2 level in Spanish with the daily exam, or with an English exam, whatever you're worked towards.
[00:15:37.000 --> 00:15:42.000]   In order for you to pass that kind of exam, you can't just, you can't bluff it.
[00:15:42.000 --> 00:15:58.000]   The way those language exams work is there's usually sections that are based upon reading, there's sections that are on writing, there's sections on speaking, and then all of those sections have the, you're forced to be able to absorb nuance and really master a language.
[00:15:58.000 --> 00:16:06.000]   And so if you have a C2 certification of language ability, that designates that you genuinely, truly have mastered a language.
[00:16:06.000 --> 00:16:11.000]   You can't go into those exams and fake them based upon the way that they're actually structured.
[00:16:11.000 --> 00:16:14.000]   You have to master the language, and you can't cheat at it.
[00:16:14.000 --> 00:16:25.000]   You can't just say, "Well, I can figure out that by context," or "I figure out this, you know, I can read that, but I can't do it," or a lot of people say, "Well, I can understand the language. I can understand Spanish, but I can't speak it."
[00:16:25.000 --> 00:16:26.000]   No.
[00:16:26.000 --> 00:16:30.000]   If you're going to get that level of certification, you've got to master all of the different pieces.
[00:16:30.000 --> 00:16:33.000]   And that's how I see financial liberty, financial independence.
[00:16:33.000 --> 00:16:38.000]   If you're going to become financially independent, you've got to master all of the pieces.
[00:16:38.000 --> 00:16:40.000]   You've got to master generating income.
[00:16:40.000 --> 00:16:44.000]   You've got to master controlling expenses and keeping expenses low.
[00:16:44.000 --> 00:16:46.000]   You've got to master your investments.
[00:16:46.000 --> 00:16:50.000]   And you've got to master avoiding catastrophe and optimizing lifestyle.
[00:16:50.000 --> 00:16:52.000]   You've got to master those different levels.
[00:16:52.000 --> 00:17:00.000]   And so what that phi moment, that financial independent moment means, it means that you've mastered all these different pieces.
[00:17:00.000 --> 00:17:04.000]   And that's something that's worthwhile, but it's not the money that makes it worthwhile.
[00:17:04.000 --> 00:17:06.000]   It's what the money represents.
[00:17:06.000 --> 00:17:08.000]   It's who you've had to become.
[00:17:08.000 --> 00:17:10.000]   You've had to become a forward-thinking person.
[00:17:10.000 --> 00:17:13.000]   You've had to become a hard and productive worker.
[00:17:13.000 --> 00:17:16.000]   You've had to become frugal and diligent in managing your expenses.
[00:17:16.000 --> 00:17:19.000]   You've had to become a competent investor.
[00:17:19.000 --> 00:17:26.000]   Because if you haven't become those things and you say, "Well, look, I'm financially independent," very quickly you will not be financially independent anymore.
[00:17:26.000 --> 00:17:38.000]   And so the reason to pursue financial independence, my number one reason to pursue it, is because it's an objective measurement of my mastery of all of the skills that are needed to become financially independent.
[00:17:38.000 --> 00:17:43.000]   And the great thing about mastering those skills, first, of course, it's a great challenge with yourself.
[00:17:43.000 --> 00:17:46.000]   It requires you to develop virtues, self-discipline, work ethic, etc.
[00:17:46.000 --> 00:18:00.000]   But the great thing is that if you go to somebody who's financially independent and they've mastered those skills and you took away every dollar they had, give them a few years, maybe 10, and they'd be financially independent again.
[00:18:00.000 --> 00:18:06.000]   Because once you've become that thing, you can repeat the results again and again.
[00:18:06.000 --> 00:18:12.000]   And that's, to me, why financial independence is so key.
[00:18:12.000 --> 00:18:17.000]   It's a good marker of the comprehensive skill set development.
[00:18:17.000 --> 00:18:20.000]   So that's my opinion.
[00:18:20.000 --> 00:18:25.000]   Now, what are the things that you might think more likely of as far as lifestyle decisions?
[00:18:25.000 --> 00:18:30.000]   Because you've got to have motivation to pursue something.
[00:18:30.000 --> 00:18:42.000]   And I find motivation under the rubric of self-actualization, just doing something hard and proving that I can develop these skills and change and stop being controlled by my desires, etc.
[00:18:42.000 --> 00:18:44.000]   I find that motivating.
[00:18:44.000 --> 00:18:49.000]   But there is a whole lot of fun juice at the end of the squeeze.
[00:18:49.000 --> 00:18:52.000]   Mixing too many metaphors here.
[00:18:52.000 --> 00:18:56.000]   But I'll tell you what some of the things that I think are exciting about.
[00:18:56.000 --> 00:18:59.000]   Number one, total freedom over time.
[00:18:59.000 --> 00:19:04.000]   If you're financially independent, you have income coming in from your investments, truly passive income.
[00:19:04.000 --> 00:19:06.000]   You can live purely on the income from your investments.
[00:19:06.000 --> 00:19:10.000]   You pretty much have total freedom over time.
[00:19:10.000 --> 00:19:14.000]   If you want to sit at home, play video games all day long, you can do that.
[00:19:14.000 --> 00:19:18.000]   If you want to go and stand in the stream and fly fish all day long, you can do that.
[00:19:18.000 --> 00:19:23.000]   If you want to ski every month of the year, chasing the slopes all around the world, you can do that.
[00:19:23.000 --> 00:19:26.000]   If you want to go to the beach every month of the year, you can do that.
[00:19:26.000 --> 00:19:29.000]   You have total freedom over your time.
[00:19:29.000 --> 00:19:38.000]   And to me, that's probably the biggest of the kind of the juicy hedonistic goals is to have total freedom over time.
[00:19:38.000 --> 00:19:41.000]   Because what is life made of except time?
[00:19:41.000 --> 00:19:43.000]   That's the thing that's limited.
[00:19:43.000 --> 00:19:44.000]   Money is not limited.
[00:19:44.000 --> 00:19:51.000]   There's an unlimited amount of money available in the world ready for anybody who can go out and create value and sell that value to others.
[00:19:51.000 --> 00:19:53.000]   Unlimited amount of money.
[00:19:53.000 --> 00:20:01.000]   The only thing that's truly limited is your physical presence in time because we live in a space-time world.
[00:20:01.000 --> 00:20:04.000]   And so time is the great limited factor.
[00:20:04.000 --> 00:20:10.000]   And so the ability to use your days as you see fit to me is the ultimate luxury.
[00:20:10.000 --> 00:20:19.000]   What else would you -- what other freedoms would you have by working towards financial independence and achieving true financial independence of true financial liberty?
[00:20:19.000 --> 00:20:22.000]   You would have freedom of consumption.
[00:20:22.000 --> 00:20:26.000]   The ability to consume and to spend as you like.
[00:20:26.000 --> 00:20:28.000]   And I think that there's real value to this.
[00:20:28.000 --> 00:20:38.000]   I've often wondered what a financial plan would look like if we took somebody at a young age and said save, save, save, invest, invest, invest.
[00:20:38.000 --> 00:20:47.000]   But as soon as you hit enough money that it could be generally reliably predicted to grow to be a sufficient level of wealth at a later age, I said spend all your money.
[00:20:47.000 --> 00:21:00.000]   I bet you if I came to you right now and you've been a disciplined saver and a disciplined investor and I said you now no longer have to save and invest but you can spend all your money.
[00:21:00.000 --> 00:21:01.000]   It'd probably be scary.
[00:21:01.000 --> 00:21:03.000]   You probably wouldn't do it.
[00:21:03.000 --> 00:21:06.000]   But it would -- there'd be a sense of freedom in that.
[00:21:06.000 --> 00:21:14.000]   After years of being thoughtful and careful about how much money you spent, if I just said spend all your money, there'd be some freedom in that.
[00:21:14.000 --> 00:21:24.000]   And there might be some consumption things that you would really engage with, some things you would buy, some experiences you would buy, some ways you would spend money that would be pretty cool.
[00:21:24.000 --> 00:21:29.000]   And so I think total freedom of consumption is really worth thinking about.
[00:21:29.000 --> 00:21:35.000]   There are some things in life where once you try those certain luxuries you say I'm going to keep doing that.
[00:21:35.000 --> 00:21:38.000]   And so I think it's worth being excited about freedom of consumption.
[00:21:38.000 --> 00:21:45.000]   The ability to do fun, expensive things for yourself, for your family, for others, it's pretty cool to be able to consume at a high level.
[00:21:45.000 --> 00:21:47.000]   What about association?
[00:21:47.000 --> 00:21:50.000]   To me, one of the biggest freedoms is freedom of association.
[00:21:50.000 --> 00:21:59.000]   When you listen to people whine, complain about their problems, frequently their problems have a common source, other people.
[00:21:59.000 --> 00:22:03.000]   And sometimes those problems are worth working through.
[00:22:03.000 --> 00:22:06.000]   But sometimes you just say walk away.
[00:22:06.000 --> 00:22:08.000]   Well, why don't people walk away?
[00:22:08.000 --> 00:22:11.000]   Why don't people walk away from toxic people?
[00:22:11.000 --> 00:22:14.000]   Why do people not walk away from bad relationships?
[00:22:14.000 --> 00:22:16.000]   Why do people not walk away?
[00:22:16.000 --> 00:22:19.000]   It's usually not because they're there to serve.
[00:22:19.000 --> 00:22:20.000]   I wish it were.
[00:22:20.000 --> 00:22:23.000]   And what I always say is get in there to serve.
[00:22:23.000 --> 00:22:26.000]   If you're in a bad relationship, make it better.
[00:22:26.000 --> 00:22:29.000]   If you see someone that's toxic, get in there and get involved.
[00:22:29.000 --> 00:22:31.000]   But that's not the common thing that most people say.
[00:22:31.000 --> 00:22:37.000]   And so if you're not going to do that, at least if you're not going to impact the situation in a positive way, at least walk away.
[00:22:37.000 --> 00:22:47.000]   And so if you can live on your income from investments, you have the right to associate with almost anyone you want, which means you have complete and total freedom of association.
[00:22:47.000 --> 00:22:50.000]   You don't have to stay in a bad business partnership because you want to.
[00:22:50.000 --> 00:22:51.000]   You can walk away.
[00:22:51.000 --> 00:22:55.000]   You don't have to stay friends with that person because it can advance your cause.
[00:22:55.000 --> 00:22:56.000]   You can walk away.
[00:22:56.000 --> 00:22:59.000]   And so that freedom of association is pretty cool.
[00:22:59.000 --> 00:23:04.000]   And that freedom of association ties in with the next freedom, which is freedom of location.
[00:23:04.000 --> 00:23:12.000]   If you're financially independent, able to live on your investments, there's a good chance you could do that anywhere in the world, which means that you can change your location.
[00:23:12.000 --> 00:23:16.000]   You can move from one side of town to the other without worrying about how long the commute is.
[00:23:16.000 --> 00:23:20.000]   You can move from one state to another without worrying about the economic opportunities.
[00:23:20.000 --> 00:23:25.000]   You can move from one country to another without worrying about the need to get a work permit.
[00:23:25.000 --> 00:23:36.000]   All of those little normal needs, the need to live close to work, the need to work where there's a good economy, the need to even have legal papers to work, all of those things can be rather wearing and trying.
[00:23:36.000 --> 00:23:39.000]   But if you're able to live on your income, you have total freedom of location.
[00:23:39.000 --> 00:23:42.000]   Now, I'll tell you, it's a double-edged sword.
[00:23:42.000 --> 00:23:44.000]   It's really nice.
[00:23:44.000 --> 00:23:47.000]   It's simultaneously really overwhelming.
[00:23:47.000 --> 00:23:52.000]   Most people don't look at the world with the idea that I can live anywhere.
[00:23:52.000 --> 00:24:01.000]   Usually, we choose the place we live because that's where we were born and where we grew up or that's where we have friends or family or that's where we have a job.
[00:24:01.000 --> 00:24:06.000]   Only a small percentage of people go out and intentionally choose the place that they live.
[00:24:06.000 --> 00:24:12.000]   Now, those who do will generally choose something within their state or within their country.
[00:24:12.000 --> 00:24:17.000]   When the whole world is open to you, it becomes pretty-- it's overwhelming.
[00:24:17.000 --> 00:24:21.000]   It's overwhelming, especially if you're one who's prone to overanalysis like me.
[00:24:21.000 --> 00:24:22.000]   It's hard.
[00:24:22.000 --> 00:24:24.000]   It's hard because there's no perfect place.
[00:24:24.000 --> 00:24:27.000]   But it is a real value, that freedom of location.
[00:24:27.000 --> 00:24:32.000]   And I would say another big freedom that for me is very meaningful is simply freedom of purpose.
[00:24:32.000 --> 00:24:34.000]   You can do what you want to do.
[00:24:34.000 --> 00:24:37.000]   You can give yourself to a purpose.
[00:24:37.000 --> 00:24:51.000]   You know, the classic guy who was a lawyer and was litigating stuff that he didn't really care about, became financially independent, and went and became a lawyer litigating stuff that he did care about, taking cases based upon the principle of justice that was most important to him.
[00:24:51.000 --> 00:25:00.000]   Or the businessman who closed down his business and went and started a nonprofit to save the whales or the wallabies or something like that.
[00:25:00.000 --> 00:25:04.000]   I mean these are the kinds of things that are really exciting because you can have a freedom of purpose.
[00:25:04.000 --> 00:25:08.000]   And you can say, "No, I don't want to do that thing over there that doesn't seem meaningful.
[00:25:08.000 --> 00:25:12.000]   What I want to do is I want to go over here and do this other thing that's more meaningful."
[00:25:12.000 --> 00:25:16.000]   And so there is a huge amount of freedom that's associated with this.
