
[00:00:00.000 --> 00:00:14.080]   Welcome, everyone, to the 68th edition of Bogle Heads on Investing.
[00:04:07.180 --> 00:04:14.660]   But when I started in 1984, Russell was the preeminent consultant to basically institutional pension plans around the world.
[00:04:14.660 --> 00:04:18.200]   You know, ERISA had just passed, I think, in the late 70s.
[00:04:18.200 --> 00:04:23.420]   And so there was quite a bit of science developing around the institutional asset management.
[00:04:23.420 --> 00:04:26.700]   Just for clarity, could you tell us what ERISA is?
[00:04:27.080 --> 00:04:30.580]   Yeah, so ERISA stands for the Employee Retirement and Income Security Act.
[00:04:30.580 --> 00:04:44.260]   So it was a U.S. regulation that basically established the concept of a fiduciary, the notion that a fiduciary must only operate in the best interest of a beneficiary of some sort of, in this case, pension plan or other sort of investment vehicle.
[00:04:44.260 --> 00:04:50.480]   So ERISA really established the need to have more of a science and a deliberate process around investment management.
[00:04:50.480 --> 00:04:52.660]   So anyway, I spent a number of years at Russell.
[00:04:52.940 --> 00:04:58.860]   I also worked at FactSet for some time, so I was able to dive into the software world, really helping asset managers pick stocks.
[00:04:58.860 --> 00:05:00.880]   So I definitely worked on the active side as well.
[00:05:00.880 --> 00:05:06.380]   But then, as you mentioned, in the early 2000s, you know, basically went back to Russell, got back into the index business.
[00:05:06.380 --> 00:05:11.160]   Russell went through an acquisition by FTSE, so it became FTSE Russell.
[00:05:11.160 --> 00:05:19.440]   I basically continued on in a capacity basically managing product development, product management, research, and then ultimately came to work at Morningstar.
[00:05:19.600 --> 00:05:28.860]   So in about four years ago, I actually joined a number of my former Russell colleagues at Morningstar, and I'm right now the head of the product and research team for Morningstar Indexes.
[00:05:28.860 --> 00:05:32.620]   And I understand you have 40 years in the business this year.
[00:05:32.620 --> 00:05:35.160]   Yeah, in October of this year, I will celebrate 40 years.
[00:05:35.160 --> 00:05:36.980]   You know, if you knew how old I was, you could do the math.
[00:05:36.980 --> 00:05:38.760]   I actually started at Russell when I was in college.
[00:05:38.760 --> 00:05:40.420]   It was basically just a part-time job.
[00:05:40.500 --> 00:05:42.880]   I was looking for work to help pay the bills.
[00:05:42.880 --> 00:05:52.060]   And so I got a job in the performance measurement group, basically keying in data and doing a variety of activities in what was largely the back office of Russell as a consultant.
[00:05:52.060 --> 00:06:04.060]   Well, it's great to have you on the podcast because we're trying to get a view of where indexes began, how they evolved, what is involved in the construction of indexes, of a good index, the different types of indexes.
[00:06:04.060 --> 00:06:21.380]   I believe it's important to do this conversation about indexes and index methodology in the early years and the evolution of it because more than 50% of the money now in mutual funds and ETFs is passively invested in indexes.
[00:06:21.380 --> 00:06:23.020]   So it's a huge industry.
[00:06:23.020 --> 00:06:26.920]   I mean, when we started out, it was less than 3%.
[00:06:26.920 --> 00:06:28.800]   Now it's more than 50%.
[00:06:28.800 --> 00:06:33.620]   So I think that it's important that we go over what makes a good index.
[00:06:33.620 --> 00:06:35.220]   What are we looking for in a good index?
[00:06:35.220 --> 00:06:40.900]   Because that is the underlying foundation for what the fund is trying to replicate.
[00:06:40.900 --> 00:06:49.600]   And there's a big difference between the index and sometimes the index fund because one of them is theoretical and the other one actually has to be created.
[00:06:49.600 --> 00:06:55.700]   So there is some cooperation between the index providers and the fund providers to make that happen.
[00:06:55.700 --> 00:06:57.980]   And we'll get into some of that in a little bit.
[00:06:57.980 --> 00:06:59.600]   But let's go back way, way back.
[00:07:00.120 --> 00:07:10.960]   The first, you could call it an index, was the Dow Jones Industrial Average, which was created in 1896 by Charles Dow.
[00:07:11.640 --> 00:07:14.440]   And it had just 12 stocks.
[00:07:14.440 --> 00:07:17.820]   Why don't you tell us a little bit about that market indicator?
[00:07:17.820 --> 00:07:24.280]   Yeah, I think at the time, the goal was really to try to get some sense of how is the U.S. market doing.
[00:07:24.280 --> 00:07:27.340]   And even more specifically, it's interesting, those were actually more sector-oriented.
[00:07:27.340 --> 00:07:29.460]   What we would think of as sector-oriented indexes, right?
[00:07:29.500 --> 00:07:34.320]   You had the industrials, you had, I think, the transports, the utilities, and I think financials.
[00:07:34.320 --> 00:07:35.960]   So ultimately, it was interesting.
[00:07:35.960 --> 00:07:37.520]   They were really more sector-based.
[00:07:37.520 --> 00:07:43.740]   But obviously, the industrial average is the one that was the forebearer of what we now see as the DJIA.
[00:07:43.740 --> 00:07:47.820]   One of the other themes here throughout the history of indexes is technology, right?
[00:07:47.820 --> 00:07:49.440]   So at the time, you didn't have computers.
[00:07:49.440 --> 00:07:59.380]   Charles Dow computed the index on pencil and paper, collect prices from the companies trading on the New York Stock Exchange, had to do all the calculations with pencil and paper.
[00:07:59.380 --> 00:08:05.900]   But there was, again, the first instance where we were now able to get an overall sense of how are U.S. stocks behaving.
[00:08:06.620 --> 00:08:08.920]   And the Dow Jones averages were price-weighted.
[00:08:08.920 --> 00:08:09.340]   That's right.
[00:08:09.340 --> 00:08:11.120]   So it didn't matter how big the companies were.
[00:08:11.120 --> 00:08:16.100]   What really mattered, and still does today, is what is the price of the stock?
[00:08:16.100 --> 00:08:28.420]   So a stock that had a higher price, let's say $50 a share, that went up 10%, that went up 5 points, versus a stock that was at $10 a share, that went up 10%, and only went up 1 point.
[00:08:28.420 --> 00:08:32.880]   So even though both stocks went up 10%, the one that went up 5 points counts more.
[00:08:32.880 --> 00:08:35.500]   It's kind of archaic, but it worked at the time.
[00:08:35.600 --> 00:08:45.660]   Yeah, if you think about it, the implication there, it was the way you would have constructed that in actual portfolios, it implies that you had the same number of shares in each company is how you achieve what we would call a price-weighted index.
[00:08:45.660 --> 00:08:48.200]   And so obviously the problem there is shares are somewhat arbitrary.
[00:08:48.200 --> 00:08:52.740]   If a company is worth $1,000, you can issue 10 shares at 100 or 100 shares at 10.
[00:08:52.740 --> 00:09:02.300]   So using shares as a weighting mechanism, you could argue, is somewhat arbitrary, doesn't really accurately reflect the economic reality of how big companies are, right?
[00:09:02.340 --> 00:09:07.480]   And to your point, that will have an impact on how accurate the performance is of the index that you're getting.
[00:09:07.480 --> 00:09:13.420]   And yet, as outdated as that methodology is, it's still quoted in the media.
[00:09:13.420 --> 00:09:18.920]   The first thing that the media quotes, even Bloomberg, is the Dow, the Dow, the Dow.
[00:09:19.180 --> 00:09:21.680]   Yes, it's a universally known measure.
[00:09:21.680 --> 00:09:23.580]   I think that is probably one of its biggest strengths.
[00:09:23.580 --> 00:09:26.920]   It's reported on most newscasts every day in all the newspapers.
[00:09:26.920 --> 00:09:33.140]   Even in the index industry, as vendors, we try to chastise people for using competitor indexes in any of our conversations.
[00:09:33.140 --> 00:09:35.060]   And yet we all know where the Dow is, right?
[00:09:35.080 --> 00:09:39.580]   If I asked you what level was the Morningstar large cap index at yesterday, I don't even know, right?
[00:09:39.580 --> 00:09:40.380]   I should admit that.
[00:09:40.380 --> 00:09:45.900]   But generally, people know if I tell you the Dow is at $35,000, you kind of know what that means relative to history, right?
[00:09:45.900 --> 00:09:50.660]   So it's this sort of universal constant that we all can reference around the world, actually.
[00:09:50.660 --> 00:09:51.540]   It's not just the U.S.
[00:09:51.540 --> 00:10:03.280]   And the dominance of the Dow lasted a long time because, again, technology didn't allow anything to take its place until the first price-weighted index was created by the Cowles Commission for Research and Economics.
[00:10:03.280 --> 00:10:10.960]   And Alfred Cowles created this index in 1938, which was merged with Danden and Poor's data in 1957.
[00:10:10.960 --> 00:10:15.080]   And this was the basis of the S&P 500 index.
[00:10:15.080 --> 00:10:18.780]   If I recall correctly, it was only the S&P 200, but then it became the S&P 500.
[00:10:19.060 --> 00:10:21.300]   And this was quite a different index.
[00:10:21.300 --> 00:10:22.100]   Yeah.
[00:10:22.100 --> 00:10:27.060]   And as always, you know, if people want to sort of challenge you on your dates, recognize that in some cases there were precursors, right?
[00:10:27.060 --> 00:10:29.660]   I mean, there may have been other sorts of things going on.
[00:10:29.660 --> 00:10:37.080]   But, you know, what we all sort of acknowledge as the real beginning of the S&P 500 was, for purposes of comparing, you know, over time, was in 1957.
[00:10:37.080 --> 00:10:43.940]   What really made the S&P different than the Dow, maybe a couple things, is it was clearly more broadly representative of the U.S. market.
[00:10:43.940 --> 00:10:46.480]   So it definitely captured more than just the industrials.
[00:10:46.480 --> 00:10:51.840]   You know, it would have been more representative of all the various sectors in the U.S. economy at that time.
[00:10:51.840 --> 00:10:54.540]   And then also it was capitalization weighted, right?
[00:10:54.540 --> 00:11:03.120]   So even before you had all this academic theory, which talked about why you might want to hold stocks in proportion to their market capitalization, which is shares times price.
[00:11:03.220 --> 00:11:06.040]   The S&P started to do that, you know, at that early date.
[00:11:06.040 --> 00:11:22.620]   And about 25 years later, Frank Russell came in the picture with the broader Russell 3000 that covered 3000 stocks and then began slicing and dicing that into the Russell 1000 large cap, 2000 small cap, and later on value and growth indices.
[00:11:22.620 --> 00:11:27.400]   You were there just about that time when this evolution took place.
[00:11:27.400 --> 00:11:27.400]   Yeah.
[00:11:27.400 --> 00:11:30.240]   So the first set of Russell indexes were launched in 1984.
[00:11:30.240 --> 00:11:32.620]   As you mentioned, that was the broad market Russell 3000.
[00:11:32.620 --> 00:11:35.180]   The growth and value indexes came in the late 80s.
[00:11:35.180 --> 00:11:42.400]   And really what was going on there is we talked about the Dow and then even the S&P 500 really were designed more to sort of reflect the U.S. market, right?
[00:11:42.400 --> 00:11:48.200]   So if you think about the U.S. stock market, U.S. equity as an asset class, they were what we would call an asset class proxy.
[00:11:48.200 --> 00:11:50.380]   You know, the S&P 500 was still just an index.
[00:11:50.380 --> 00:11:52.040]   It was sampling from all the companies.
[00:11:52.040 --> 00:11:53.240]   It didn't represent all the companies.
[00:11:53.240 --> 00:12:00.680]   But really the goal of the Russell 3000 was to take that to the next level and basically hold just about all investable companies in the U.S. market.
[00:12:00.680 --> 00:12:05.980]   It was less about being a sample index and really being more of a comprehensive capture of the universe.
[00:12:05.980 --> 00:12:09.620]   And what was happening at the time is Russell was heavily engaged in manager research.
[00:12:09.620 --> 00:12:12.160]   So if you think about, you know, this practice continues today, right?
[00:12:12.320 --> 00:12:18.720]   People that really believe in active management are, you know, first you have to find good active managers who you believe can pick stocks.
[00:12:18.720 --> 00:12:25.440]   And so typically the way a manager research team does that is they have to compare those managers to a benchmark, right?
[00:12:25.440 --> 00:12:27.400]   It's all relative to a benchmark.
[00:12:27.400 --> 00:12:38.680]   The other thing that was happening back in that day is traditionally a lot of these large institutional pension plans were generally run by the banks as just these big sort of typically balanced funds and you had this big equity component.
[00:12:39.240 --> 00:12:50.380]   But what you saw is, you know, this is also sort of the evolution of the asset management industry where you now started to have asset managers, you know, sort of distinct organizations outside of the bank, trust departments, and they started to specialize.
[00:12:50.380 --> 00:12:57.520]   So I think the real key here was what Russell was observing in their manager research function is asset managers weren't just buying the entire market.
[00:12:57.520 --> 00:13:08.040]   Some managers were starting to buy large stocks, growth stocks, value stocks, so if you had to think about a chicken and egg scenario, the chicken was what they called manager universes.
[00:13:08.040 --> 00:13:16.880]   The peer groups of managers were being established by the manager research teams, and then what you found is you needed a good benchmark to sort of represent that peer group.
[00:13:17.040 --> 00:13:23.700]   So as Russell was doing its manager research comparing, one of the things I recognized is you can't use the S&P 500 for all of these managers.
[00:13:23.700 --> 00:13:29.100]   You know, the S&P 500 might have worked in the large cap space, but now you have managers investing in small companies.
[00:13:29.100 --> 00:13:34.880]   You know, coincidentally, if you look at performance of small companies, it got really bad in the mid-80s.
[00:13:35.120 --> 00:13:40.500]   So when the Russell 2000 was launched, you know, small cap managers wanted a more fair benchmark, right?
[00:13:40.500 --> 00:13:43.160]   They looked really bad when you compared them to the S&P 500.
[00:13:43.160 --> 00:13:47.680]   So having a better benchmark actually enabled them to, you know, not lose a lot of business.
[00:13:47.680 --> 00:13:55.220]   So it really was the launch of the Russell indexes was really based on coming up with better benchmarks to compare active managers to.
[00:13:55.220 --> 00:14:02.160]   In summary, the Dow Jones was created more of as a price indicator, so you could tell the general direction of prices.
[00:14:02.580 --> 00:14:12.280]   The S&P 500 came along, it was more robust, it was used more as a valuation indicator for the market, and also began to be used as an economic indicator.
[00:14:12.280 --> 00:14:21.460]   In fact, it was added to the leading indicators index, and so it was used more in academics, so it became more of a, in a way, an economic index.
[00:14:21.460 --> 00:14:25.500]   And it was Russell who came in with the idea of benchmarking.
[00:14:25.500 --> 00:14:25.800]   Yes.
[00:14:25.800 --> 00:14:32.420]   Where let's look at the entire market, or as much of it as we can, 3,000 stocks at that particular time.
[00:14:32.420 --> 00:14:42.060]   And use this in ways, and slice it and dice it, if you don't mind me using that term, to what the asset managers were doing,
[00:14:42.060 --> 00:14:45.020]   so we can create good benchmarks.
[00:14:45.020 --> 00:14:51.120]   And with that in mind, AMER at the time, which is now the CFA Institute, was watching all of this.
[00:14:51.120 --> 00:15:00.760]   And I was a member of AMER since the early 1990s, and there really wasn't any rules or structure to, well, what is a good benchmark?
[00:15:00.820 --> 00:15:10.060]   And Larry Siegel, who I had on this podcast, who is now the research director of the Research Foundation of the CFA Institute,
[00:15:10.060 --> 00:15:14.120]   he wrote a book called Benchmarks and Investment Management.
[00:15:14.120 --> 00:15:20.860]   And this was published back in 2003, and it listed out what makes a good benchmark.
[00:15:20.860 --> 00:15:25.180]   And I have to have that list in front of me, and I'll go over it real quickly here.
[00:15:25.180 --> 00:15:32.820]   Basically, the number one thing is it has to have a simplicity and an objective selection criteria,
[00:15:32.820 --> 00:15:36.260]   where a clear set of rules, how this benchmark is being created.
[00:15:36.260 --> 00:15:41.700]   The second thing is it needs to be relevant, relevant to the investors, and that's what Russell was trying to do.
[00:15:41.820 --> 00:15:46.160]   You were looking at it saying, well, you're a small cap, let's have a relevant index that's relevant to you.
[00:15:46.160 --> 00:15:52.120]   It has to be comprehensive, so it has to cover all of the stocks that are in that category.
[00:15:52.120 --> 00:15:59.080]   It had to be easily replicated so that other people can pick up the rules-based methodology and replicate it.
[00:15:59.080 --> 00:16:01.460]   It had to be stable, so not a lot of turnover.
[00:16:01.460 --> 00:16:09.060]   And then there had to be no barriers of entry, like there were no illiquid securities, and they were eliminated.
[00:16:09.480 --> 00:16:17.920]   And finally, there was a last one called expenses, which were if carrying these stocks for some reason had expenses that had to be factored into the performance.
[00:16:17.920 --> 00:16:23.340]   But anyway, there was a set of rules that were created, and it seemed to stand the test of time,
[00:16:23.340 --> 00:16:30.820]   because the index conferences that I went to in the early 2000s, everyone was talking about this set of rules.
[00:16:30.820 --> 00:16:32.200]   Do you remember that time period?
[00:16:32.840 --> 00:16:36.540]   Yeah, and I remember because those became codified, I think, in the CFA curriculum.
[00:16:36.540 --> 00:16:38.960]   Yes, and the candidates were tested on it.
[00:16:38.960 --> 00:16:43.620]   But I want to focus in on, Dov, indexes must be rules-based.
[00:16:43.620 --> 00:16:47.660]   Can you give us more insight as to what rules-based means?
[00:16:48.180 --> 00:16:57.980]   If I would summarize sort of all those rules, the whole point is if you're going to be trying to assess an active manager's skill from just luck or being in the right place at the right time, the benchmark had to be fair.
[00:16:57.980 --> 00:17:02.980]   And so what these are really as principles of what does it mean to be a fair benchmark, it implies that there's a passive alternative.
[00:17:02.980 --> 00:17:12.640]   So that if you decided that you weren't willing to take a risk on active management or didn't want to pay the fees, that you had a choice to do something that required less information at a lower cost, right?
[00:17:12.640 --> 00:17:13.320]   The passive alternative.
[00:17:13.320 --> 00:17:19.280]   So all of those characteristics were sort of summarized that, in theory, an investor should be able to say, you know something?
[00:17:19.280 --> 00:17:21.080]   I don't think active management works.
[00:17:21.080 --> 00:17:22.020]   I don't want to pay the fees.
[00:17:22.020 --> 00:17:24.560]   I can invest in something else, even if it's in theory.
[00:17:24.560 --> 00:17:28.320]   The benchmark at this point was still a theoretical portfolio, but it should exist.
[00:17:28.320 --> 00:17:34.740]   So the whole concept of being rules-based was I should know in advance how the stocks in this index are going to be constructed.
[00:17:34.740 --> 00:17:40.380]   As you said, in theory, it should be able to be replicated if I wanted to invest in those stocks.
[00:17:40.380 --> 00:17:44.100]   It needs to be transparent as part of understanding all of these things.
[00:17:44.100 --> 00:17:45.820]   Those rules need to be published.
[00:17:45.820 --> 00:17:54.740]   And the whole point is there should be little to no subjectivity or discretion on behalf of the person managing this list of stocks, right?
[00:17:54.740 --> 00:18:00.820]   That's the whole concept that persists to this day is there may be a lot of insight that's used to construct the rules.
[00:18:00.820 --> 00:18:05.120]   But once those rules are put in place and published for everybody, that's what's followed.
[00:18:05.120 --> 00:18:10.280]   You have certainty in terms of we know how the index is going to be constructed and maintained over time.
[00:18:10.280 --> 00:18:12.020]   That's the whole point about being rules-based.
[00:18:12.920 --> 00:18:25.000]   Now, if I recall, when the Russell 1000 and the Russell 2000, which is the Russell 3000, basically split between large cap and small cap, it was just a benchmark at the time.
[00:18:25.000 --> 00:18:25.880]   It wasn't a product.
[00:18:25.880 --> 00:18:27.660]   There were no index funds following it.
[00:18:27.660 --> 00:18:31.720]   It only was reconstituted once a year.
[00:18:31.720 --> 00:18:36.820]   If I recall, it was based on prices at the end of May, and it was redone at the end of June.
[00:18:36.820 --> 00:18:37.960]   Is that correct?
[00:18:38.300 --> 00:18:39.020]   Yes, that's correct.
[00:18:39.020 --> 00:18:39.360]   Yeah.
[00:18:39.360 --> 00:18:54.520]   So when this became a product, when index funds started using the Russell 1000 as their benchmark, so it was a Russell 1000 index fund and a Russell 2000 index fund.
[00:18:54.520 --> 00:19:02.800]   So money was actually being traded around these two indices, that front-running started to occur.
[00:19:02.800 --> 00:19:13.560]   In other words, hedge funds started to say, well, we know a month beforehand what's going to go into the Russell 2000, what's going to come out, what's going to go into the Russell 1000, and we know how much money is being managed to these indexes.
[00:19:13.560 --> 00:19:15.080]   So let's jump the gun.
[00:19:15.080 --> 00:19:16.080]   Let's get in front of them.
[00:19:16.080 --> 00:19:17.400]   And this caused some problems.
[00:19:17.400 --> 00:19:19.780]   Can you talk about that era of Russell?
[00:19:19.780 --> 00:19:27.800]   Yeah, I think one of the side effects of being transparent is, like you suggest, we're conveying information to the marketplace in advance of the trade.
[00:19:27.800 --> 00:19:33.880]   So index providers doesn't impact us as much, but it clearly would impact potentially the index funds.
[00:19:33.880 --> 00:19:35.700]   There's a number of different dimensions here.
[00:19:35.700 --> 00:19:40.780]   I think the first one is, just in terms of whether there's front-running or not, there are a lot of academic studies that were done.
[00:19:40.780 --> 00:19:43.540]   Some would show a stronger effect for some indexes than others.
[00:19:43.620 --> 00:19:48.580]   The S&P 500 index effect is fairly well known, and then there was some effect around the Russell 2000.
[00:19:48.580 --> 00:19:53.760]   I think one of the arguments was, better to provide this information broadly than not at all.
[00:19:53.760 --> 00:20:05.200]   So if you had to err on the side of, well, even if we know there's people that might try and trade advance, the solution isn't to not disclose that information to anybody, because that just creates even more suspicion around the index.
[00:20:05.200 --> 00:20:14.600]   So I think the argument is, as long as we're providing material information to the public all at the same time, that's the most fair approach from an index provider's point of view.
[00:20:14.600 --> 00:20:20.640]   The other thing I would highlight is, obviously, the fund managers were aware of this, and potentially they could employ different techniques.
[00:20:20.640 --> 00:20:21.880]   I'm not aware of those.
[00:20:21.880 --> 00:20:24.820]   That might be another topic for discussion, another speaker.
[00:20:25.220 --> 00:20:31.940]   But I think, clearly, the fund companies, knowing that this potentially could happen, also could develop different sorts of trading strategies and timing.
[00:20:31.940 --> 00:20:36.360]   Vanguard, I think, was one that was very notable for how they traded around the rebalancing.
[00:20:36.360 --> 00:20:41.080]   They wouldn't disclose that, but I think it was all because they were aware of this potential impact.
[00:20:41.320 --> 00:21:00.620]   Where I was going with this was that Russell actually changed their methodology because of it, and they went to what's called a migration strategy, where instead of June 30th, all these stocks now come out of the 1,000, go into the 2,000, all these stocks in the 2,000, go into the 1,000, and all this took place that everybody knew.
[00:21:01.080 --> 00:21:09.360]   They actually began to do phase-ins over time to try to slow down any front-running that might occur.
[00:21:09.360 --> 00:21:11.720]   Could you explain the phase-ins?
[00:21:11.720 --> 00:21:13.960]   Yeah, and that's actually, I guess, one of the other dimensions.
[00:21:13.960 --> 00:21:17.620]   And strictly speaking, that was not always done for the reason you suggested.
[00:21:17.620 --> 00:21:26.480]   If you look at the evolution of indexes, they started out, as you said, theoretical portfolios trying to be representative of a particular asset class or segment of the market.
[00:21:26.600 --> 00:21:33.420]   And if you think about it, that would imply that for purposes of really trying to achieve the best representation, you might rebalance really frequently, right?
[00:21:33.420 --> 00:21:38.380]   But as a practical matter, if you're really trying to run money, you realize, well, that creates turnover, and turnover is a cost.
[00:21:38.380 --> 00:21:52.780]   So one of the reasons for the banding or buffering or packaging was also to reduce the amount of turnover because, as you said, if you're only rebalancing once a year using prices as of May, that's a singular event that can cause a lot of trades going back and forth.
[00:21:52.920 --> 00:21:59.100]   So one of the reasons to introduce this more banding or buffering or migration methodologies is to kind of reduce the turnover.
[00:21:59.100 --> 00:22:03.300]   You know, you could argue that companies on either side of that breakpoint really aren't that different.
[00:22:03.300 --> 00:22:09.420]   So there was also a theoretical argument for why you may not necessarily want to move companies wholesale or all at once.
[00:22:09.580 --> 00:22:16.560]   So it was really more to achieve lower turnover, to be more easy for asset managers to replicate.
[00:22:16.560 --> 00:22:20.680]   That would be another reason to have that buffering or banding type rule.
[00:22:20.880 --> 00:22:32.860]   So there were actually indexes where if you could have the same stock in the growth index as you did in the value index, it was just maybe 50% was in growth or 40% was in growth and 50% or 60% was in value.
[00:22:32.860 --> 00:22:34.120]   And it was split that way.
[00:22:34.120 --> 00:22:37.700]   It was a slowly migrating one direction, slowly migrating the other.
[00:22:37.700 --> 00:22:41.940]   And these were the sort of non-growth, non-value stocks, but you had to put them somewhere.
[00:22:42.600 --> 00:22:54.060]   Right. And, yeah, and again, the other motivation there was, you know, again, in order to be a fair benchmark, if you looked at, you know, growth and value managers, they would argue that, well, there's some stocks that growth managers might hold and value managers might hold.
[00:22:54.060 --> 00:23:02.440]   So, you know, the original growth and value indexes, a company was either all growth or all value, and then the indexes were completely exclusive in terms of the companies they held.
[00:23:02.440 --> 00:23:08.700]   But when you actually looked at value manager portfolios and growth manager portfolios, you would actually see empirically there was an overlap there.
[00:23:08.840 --> 00:23:16.380]   So, not only did that reduce turnover, as you suggest, but it also was more reflective of what asset managers actually held.
[00:23:16.380 --> 00:23:26.220]   And your current firm, Morningstar, when they developed their indices, they actually decided it's not going to be just value and growth.
[00:23:26.220 --> 00:23:29.100]   They were going to have a core component as well.
[00:23:29.100 --> 00:23:34.400]   And this was Morningstar's way of catching the middle.
[00:23:34.400 --> 00:23:35.260]   Yes.
[00:23:35.400 --> 00:23:39.620]   Again, it's a much more fair representation of growth and value portfolios.
[00:23:39.620 --> 00:23:45.960]   The other thing I would highlight is, you know, the methodologies have evolved, you know, where Russell, you know, at the time, all we used was price to book, right?
[00:23:45.960 --> 00:23:48.680]   Literally, price to book was the sole determinant of growth and value.
[00:23:48.680 --> 00:23:56.140]   I think, you know, that's evolved over time where, you know, Morningstar actually uses, you know, five characteristics for value, five characteristics for growth.
[00:23:56.140 --> 00:24:01.280]   So, the idea is, it's really hard to capture the growth value dimension with a single variable.
[00:24:01.280 --> 00:24:05.900]   You really need to have a more robust description of what is a value stock and what is a growth stock.
[00:24:05.900 --> 00:24:09.760]   And so, at Morningstar, we do that for the indexes and the style box, right?
[00:24:09.760 --> 00:24:10.800]   There's also a consistency.
[00:24:10.800 --> 00:24:17.680]   If you look at a Morningstar style index, it is constructed very similarly using the same signals as is done for the style box.
[00:24:17.860 --> 00:24:34.560]   It seems when I look across all the index providers, S&P, Morningstar, Russell, Crisp, MSEI, et cetera, that the cuts for large cap, mid cap, small cap are fairly similar.
[00:24:35.240 --> 00:24:43.260]   So, that when you look at the performance of all the different small cap indices, there's a fairly narrow range of return.
[00:24:43.260 --> 00:24:46.520]   Same thing, perhaps, with mid cap and certainly large cap.
[00:24:46.520 --> 00:24:53.560]   There's a very narrow range of return because the cuts for what is large cap, what is mid cap, what is small cap are fairly close.
[00:24:53.560 --> 00:25:02.840]   But when it comes to value and growth investing, the way or the methodologies that are used to determine what's growth and what's value are all over the map.
[00:25:02.840 --> 00:25:08.900]   As you said, Russell uses a single-factor price-to-book model and Morningstar uses a multi-factor model.
