
[00:00:00.000 --> 00:00:24.200]   Okay, is that better?
[00:05:41.840 --> 00:05:48.640]   So yeah, let's start pretty close to the bottom of the layers now.
[00:05:48.640 --> 00:05:50.460]   And let's look at transforms.
[00:05:50.460 --> 00:05:55.680]   So before we do, I will answer this question from Gokor, which is my thought process when
[00:05:55.680 --> 00:05:58.160]   designing an API.
[00:05:58.160 --> 00:06:01.080]   I don't design really anything much at all.
[00:06:01.080 --> 00:06:07.640]   I just throw code out there, and I then refactor it again and again and again.
[00:06:07.640 --> 00:06:10.960]   So I try to make sure I've got pretty good tests.
[00:06:10.960 --> 00:06:14.880]   And I keep refactoring it until it gets to the point where I feel like it's so easy that
[00:06:14.880 --> 00:06:19.680]   even I will understand it in six months' time.
[00:06:19.680 --> 00:06:25.280]   With the previous versions of fast.ai, I haven't had the time to fully do that.
[00:06:25.280 --> 00:06:27.840]   But with this version, I do.
[00:06:27.840 --> 00:06:37.600]   So as you can see, every function is super short and easy, which is really nice.
[00:06:37.600 --> 00:06:41.400]   So yeah, lots and lots of refactoring.
[00:06:41.400 --> 00:06:54.800]   So transforms, the basic transform class is here, again, less than a line of code-- sorry,
[00:06:54.800 --> 00:07:00.920]   a screen of code.
[00:07:00.920 --> 00:07:09.080]   But the work's really happening in the meta class, because what happens is when we call
[00:07:09.080 --> 00:07:20.720]   done to call or decode, it's going to call end codes and decodes by this little intermediate
[00:07:20.720 --> 00:07:27.240]   thing, underscore call, which we haven't really looked at filters much yet.
[00:07:27.240 --> 00:07:31.960]   But once we get to data source, you'll see this is how we do things on just the training
[00:07:31.960 --> 00:07:33.880]   set or just the validation set or both.
[00:07:33.880 --> 00:07:37.280]   That's what filters are.
[00:07:37.280 --> 00:07:42.760]   Basically, we check whether we're doing as item as true or false.
[00:07:42.760 --> 00:07:50.480]   If we're doing as item, then we just call the function, decodes or end codes.
[00:07:50.480 --> 00:08:00.520]   If it's tuple behavior rather than item behavior, then we call it for each element of the list
[00:08:00.520 --> 00:08:04.000]   and turn it into a tuple.
[00:08:04.000 --> 00:08:15.640]   So that's all pretty simple, but the trick is what are end codes and decodes, because
[00:08:15.640 --> 00:08:20.920]   we know these are things which have a few cool things we can do.
[00:08:20.920 --> 00:08:25.440]   We can-- let's see what we can do.
[00:08:25.440 --> 00:08:35.120]   We can pass methods in or we can subclass.
[00:08:35.120 --> 00:08:48.320]   Most interestingly, we can have a type annotation and we can have multiple end codes/decodes
[00:08:48.320 --> 00:08:57.800]   with each with different type annotation.
[00:08:57.800 --> 00:09:05.920]   So there's some other things we'll look at.
[00:09:05.920 --> 00:09:18.240]   So let's look at how we-- OK, so the first two are pretty straightforward.
[00:09:18.240 --> 00:09:26.720]   Now in it, you can pass in an encoder and/or a decoder.
[00:09:26.720 --> 00:09:34.640]   And if you pass either of those in, then it will create the encoder and decoder-- encodes
[00:09:34.640 --> 00:09:40.440]   and decodes based on what you pass in.
[00:09:40.440 --> 00:09:48.720]   But as you can see, they are not just methods.
[00:09:48.720 --> 00:09:49.720]   There's something called type dispatch.
[00:09:49.720 --> 00:09:51.680]   So that's what we're going to have to look at.
[00:09:51.680 --> 00:09:59.440]   If you don't pass in an enc or dec, which will be-- that means this will be false, then
[00:09:59.440 --> 00:10:04.040]   somehow encodes and decodes have already been created for us.
[00:10:04.040 --> 00:10:07.280]   So we have to figure out how that happens.
[00:10:07.280 --> 00:10:12.000]   OK, so let's take a look.
[00:10:12.000 --> 00:10:18.720]   So answering questions, mixing, tabular and text, for example, yes, we certainly want
[00:10:18.720 --> 00:10:24.980]   to do that, but we haven't started on it.
[00:10:24.980 --> 00:10:29.720]   Not sure what you're asking exactly, AJ, about post-student projects at USF, but maybe ask
[00:10:29.720 --> 00:10:30.720]   on the forums.
[00:10:30.720 --> 00:10:36.880]   Do I have to subclass something? Simply means to type class something and then put something
[00:10:36.880 --> 00:10:39.040]   in brackets.
[00:10:39.040 --> 00:10:43.040]   So for example, there is a subclass of transform.
[00:10:43.040 --> 00:10:48.200]   In other words, I am subclassing transform.
[00:10:48.200 --> 00:10:59.120]   OK, so if we look underneath here, we can see some of the kind of behaviors being used.
[00:10:59.120 --> 00:11:14.600]   So here's another interesting behavior, which is that we can use a class of transform as
[00:11:14.600 --> 00:11:21.760]   a decorator to add a encodes or decodes to an existing class.
[00:11:21.760 --> 00:11:30.040]   So let's add that, decorator behavior.
[00:11:30.040 --> 00:11:39.040]   OK, yeah, Max, we're going to be talking about filters later when we look at data source,
[00:11:39.040 --> 00:11:44.520]   but basically just it's something that we're going to have zero generally as a training
[00:11:44.520 --> 00:11:48.080]   set, filter zero as a training set, filter one is generally the validation set, you can
[00:11:48.080 --> 00:11:51.960]   have more than just those two.
[00:11:51.960 --> 00:11:55.680]   Transforms know basically which data set they're being applied to so they can have different
[00:11:55.680 --> 00:12:03.120]   behavior for training versus validation optionally, but we'll look at that later.
[00:12:03.120 --> 00:12:10.720]   OK, so here's an example of a class transform a, which is getting an encodes, which is just
[00:12:10.720 --> 00:12:11.720]   x plus one.
[00:12:11.720 --> 00:12:17.880]   So we can check that that works, we should be able to subclass that transform, so that
[00:12:17.880 --> 00:12:24.360]   checks that that works, and here's an empty transform, so it should do nothing at all.
[00:12:24.360 --> 00:12:32.020]   So that checks that that works, but then later on, we'll get to the tests where, for example,
[00:12:32.020 --> 00:12:40.000]   we are making sure things only work on a particular subclass, in this case, tensor image.
[00:12:40.000 --> 00:12:48.880]   So here's the test, we're going to create one of these a objects, and we will call it, we
[00:12:48.880 --> 00:12:54.320]   should end up with a negative number, assuming that this was a something of type and tensor
[00:12:54.320 --> 00:12:58.400]   image, or else if we pass something which is not a type tensor image, in this case an
[00:12:58.400 --> 00:13:02.960]   int, nothing should happen at all.
[00:13:02.960 --> 00:13:11.440]   Also, when we do this, we should not be changing the type, so we check that the type is still
[00:13:11.440 --> 00:13:12.920]   a tensor image.
[00:13:12.920 --> 00:13:18.520]   OK, so let's see how some of that works.
[00:13:18.520 --> 00:13:23.680]   So the trick is that all the stuff is happening in the meta class.
[00:13:23.680 --> 00:13:27.240]   What's a meta class?
[00:13:27.240 --> 00:13:32.120]   Redex given some good examples and code walkthroughs of some meta class stuff in the forums, so
[00:13:32.120 --> 00:13:44.640]   we check that out, but basically, when you go class something like that, that's creating
[00:13:44.640 --> 00:13:45.640]   a new class.
[00:13:45.640 --> 00:13:50.800]   By the way, if you don't know, dot dot dot is basically the same as typing pass in Python.
[00:13:50.800 --> 00:13:58.360]   So that's created a new class, as you can see.
[00:13:58.360 --> 00:13:59.920]   And how does it do that?
[00:13:59.920 --> 00:14:10.560]   Well class foo, writing this, is basically syntax sugar for calling type and passing in
[00:14:10.560 --> 00:14:23.080]   these three things, a name, so foo, let's call this one foo2, some bases, so the base
[00:14:23.080 --> 00:14:30.680]   class is always implicitly, unless you write otherwise, object, so it's object.
[00:14:30.680 --> 00:14:46.960]   And a dictionary of stuff to put in the class, which in this case is empty, and so let's
[00:14:46.960 --> 00:15:02.640]   call that foo2, you can see they're very similar looking things.
[00:15:02.640 --> 00:15:09.760]   So in other words, this is just syntax sugar for calling this thing called type.
[00:15:09.760 --> 00:15:12.040]   What is type?
[00:15:12.040 --> 00:15:17.480]   You can find out the type of something by using the single argument version of type,
[00:15:17.480 --> 00:15:28.400]   and the type of type is type, in other words, type is a class, and so this is a constructor,
[00:15:28.400 --> 00:15:41.440]   and it constructs something, so if I go type foo2, it constructs something of type type,
[00:15:41.440 --> 00:16:04.240]   and so there are all kinds of attributes that a type has.
[00:16:04.240 --> 00:16:11.760]   So in particular, one of the important ones is I can put here a colon one.
[00:16:11.760 --> 00:16:21.960]   The most important is dundadict, and dundadict is basically a dictionary, it's a slightly
[00:16:21.960 --> 00:16:41.200]   special kind of dictionary, but it's a dictionary which contains a mapping from names to values,
[00:16:41.200 --> 00:16:46.160]   and in particular anything that I passed in here ends up in that dictionary.
[00:16:46.160 --> 00:16:49.720]   There's another way to put things in the dictionary, which is to use this special syntax sugar
[00:16:49.720 --> 00:16:56.920]   that we get in Python, which is like this.
[00:16:56.920 --> 00:17:10.640]   And so now, if I say foo.dict, you can see it's got the same thing, a equals one.
[00:17:10.640 --> 00:17:21.280]   So when you type that into a class, it's actually just a shortcut for creating an A attribute
[00:17:21.280 --> 00:17:29.040]   in the dundadict attribute of a class.
[00:17:29.040 --> 00:17:42.360]   Okay, a bunch of questions, what's for recommended systems, no plans yet.
[00:17:42.360 --> 00:17:46.720]   Why are we using meta class?
[00:17:46.720 --> 00:17:56.080]   Basically among the reason I started using meta classes in version 2 is because I wanted
[00:17:56.080 --> 00:18:01.260]   to change the things about how Python worked that I didn't really have the time to change
[00:18:01.260 --> 00:18:02.760]   version 1.
[00:18:02.760 --> 00:18:08.120]   So things like this, all the stuff we're going to look at doing with transforms are impossible
[00:18:08.120 --> 00:18:12.160]   to do without meta classes.
[00:18:12.160 --> 00:18:18.840]   So yes, max type creates class objects and then class objects create instances, exactly
[00:18:18.840 --> 00:18:20.480]   right.
[00:18:20.480 --> 00:18:28.140]   So, it also means in Python, it's worth knowing how these syntax sugar things work.
[00:18:28.140 --> 00:18:39.800]   When you go like this, if you go like that, for example, then that's the same as saying
[00:18:39.800 --> 00:18:44.680]   f equals and then passing in some function.
[00:18:44.680 --> 00:18:54.040]   And so if you look at the dict, you'll see you end up with f and then some function.
[00:18:54.040 --> 00:19:04.480]   So really, there's not that much - there's a small, concise, elegant set of foundations
[00:19:04.480 --> 00:19:10.400]   in Python and the kind of stuff that we type day to day is a bunch of little bits of syntax
[00:19:10.400 --> 00:19:13.980]   sugar for those foundations.
[00:19:13.980 --> 00:19:20.880]   So if I go foo.a, that is also syntax sugar.
[00:19:20.880 --> 00:19:34.080]   And specifically, it's syntax sugar for dunder dict a.
[00:19:34.080 --> 00:19:41.380]   So this is all important to understand when we look at meta classes.
[00:19:41.380 --> 00:19:45.200]   And the reason why is because a meta class is something where we're going to replace
[00:19:45.200 --> 00:19:46.200]   type.
[00:19:46.200 --> 00:19:53.560]   We're going to say I want to create a class that does not use a type constructor but uses
[00:19:53.560 --> 00:19:54.560]   some other constructor.
[00:19:54.560 --> 00:20:01.680]   And the way you do that in Python is you type meta class equals and then you type the name
[00:20:01.680 --> 00:20:05.720]   of the class you want to construct this class.
[00:20:05.720 --> 00:20:09.860]   You can create a class from scratch, but normally you wouldn't.
[00:20:09.860 --> 00:20:13.240]   It's easiest to subclass type.
[00:20:13.240 --> 00:20:18.640]   So here I'm going to inherit from type.
[00:20:18.640 --> 00:20:29.040]   And if you remember, type takes three things, object or name, basis, dict.
[00:20:29.040 --> 00:20:35.220]   So dunder new always requires class first and then here it is, name, basis, dict.
[00:20:35.220 --> 00:20:56.280]   So if I wanted to create a super simple meta class, then I could just...
[00:20:56.280 --> 00:20:59.640]   So here's something which just returns super.
[00:20:59.640 --> 00:21:04.920]   So it's not going to change anything at all, but it will work, right?
[00:21:04.920 --> 00:21:07.400]   Meta class equals m.
[00:21:07.400 --> 00:21:15.240]   There we go, I have a class.
[00:21:15.240 --> 00:21:17.600]   It has a dunder dict.
[00:21:17.600 --> 00:21:26.200]   So you can now start inserting things in here.
[00:21:26.200 --> 00:21:29.960]   And see how this printed as soon as I typed class t pass, right?
[00:21:29.960 --> 00:21:35.960]   It didn't print after I created an object of type t, it appeared as soon as I created
[00:21:35.960 --> 00:21:37.680]   the class.
[00:21:37.680 --> 00:21:44.040]   So Python is going to call this code any time I try to actually create a class, not when
[00:21:44.040 --> 00:21:47.520]   I try to instantiate it.
[00:21:47.520 --> 00:21:51.280]   Yep, res is result.
[00:21:51.280 --> 00:22:07.600]   So in this case, we are placing three things, new, call and prepare.
[00:22:07.600 --> 00:22:13.360]   So there is a really cool piece of documentation called the Python data model.
[00:22:13.360 --> 00:22:18.480]   And the Python data model describes how all this works.
[00:22:18.480 --> 00:22:26.900]   And not just all this, but everything, it describes how Python is, how everything happens.
[00:22:26.900 --> 00:22:33.000]   So there's a section called customizing class creation.
[00:22:33.000 --> 00:22:38.240]   Where you can see all of the stuff that happens, including three, three, three, one meta classes.
[00:22:38.240 --> 00:22:40.560]   By default, they're constructed using type.
[00:22:40.560 --> 00:22:45.060]   So I could click on type.
[00:22:45.060 --> 00:22:48.520]   And we can see in three arguments, it returns a new type object.
[00:22:48.520 --> 00:22:55.840]   And then we can find out about type objects.
[00:22:55.840 --> 00:22:57.460]   And so forth.
[00:22:57.460 --> 00:23:06.960]   So meta classes, as it says, you say meta class equals blah.
[00:23:06.960 --> 00:23:14.400]   And the first thing that happens is it has to prepare the class namespace.
[00:23:14.400 --> 00:23:25.760]   And the class namespace is the dunderdict, is the dunderdict object.
[00:23:25.760 --> 00:23:42.880]   So if we were to keep creating our underscore m, we could just return an empty dictionary.
[00:23:42.880 --> 00:23:49.240]   And as you can see, it all works.
[00:23:49.240 --> 00:23:55.880]   And I guess we should be able to put something in it, even.
[00:23:55.880 --> 00:24:02.300]   OK, there it is, right?
[00:24:02.300 --> 00:24:06.920]   So you can see dunderdict is created by calling your dunderprepare.
[00:24:06.920 --> 00:24:12.080]   And this is actually a way you can insert something into every single class.
[00:24:12.080 --> 00:24:17.080]   Which has a meta class.
[00:24:17.080 --> 00:24:27.040]   So to train the different arguments to the meta class constructor, you would want to
[00:24:27.040 --> 00:24:36.320]   read 3.3.3 of the data model reference in the Python docs.
[00:24:36.320 --> 00:24:39.240]   OK.
[00:24:39.240 --> 00:24:44.080]   So in our case, we've replaced prepare.
[00:24:44.080 --> 00:24:49.340]   So it's not returning a dictionary, but instead it's returning some special kind of dictionary
[00:24:49.340 --> 00:24:51.480]   called a tuffundict.
[00:24:51.480 --> 00:25:05.380]   So a tuffundict is a dictionary that overrides dunder set item.
[00:25:05.380 --> 00:25:07.680]   Actually I'm planning to change this.
[00:25:07.680 --> 00:25:11.660]   So I had things set up so you could use either underscore or encodes.
[00:25:11.660 --> 00:25:14.280]   I'm actually going to get rid of the thing that lets you use underscore.
[00:25:14.280 --> 00:25:16.400]   So ignore that.
[00:25:16.400 --> 00:25:23.360]   So basically, if you're calling something that isn't encodes or decodes, then it's just
[00:25:23.360 --> 00:25:24.360]   the normal dictionary.
[00:25:24.360 --> 00:25:27.160]   As you can see, this inherits from dict.
[00:25:27.160 --> 00:25:36.640]   But if it is encodes or decodes, then what I do is I check whether or not I already have
[00:25:36.640 --> 00:25:40.760]   different encodes or decodes in my class.
[00:25:40.760 --> 00:25:51.720]   And if I don't, then I create one using dicts set item.
[00:25:51.720 --> 00:25:57.940]   And what I set it to is I set it to a type dispatch object.
[00:25:57.940 --> 00:26:06.520]   So in other words, this tuffundict is something which behaves exactly like a normal dictionary
[00:26:06.520 --> 00:26:11.560]   and so it's going to be inside my dunder dict for anything that uses this meta class and
[00:26:11.560 --> 00:26:15.480]   it's not going to work differently at all except for two special things called encodes
[00:26:15.480 --> 00:26:16.480]   and decodes.
[00:26:16.480 --> 00:26:21.400]   And in those cases, it's going to use something called type dispatch.
[00:26:21.400 --> 00:26:25.080]   So let's try that.
[00:26:25.080 --> 00:26:54.440]   So if I go plus a meta class equals to for meta, well, let's and then let's say def
[00:26:54.440 --> 00:27:08.120]   encodes self, turn X, so a dot encodes, oh, that's not a normal function, what type is
[00:27:08.120 --> 00:27:09.120]   it?
[00:27:09.120 --> 00:27:12.120]   Oh, it's a type dispatch.
[00:27:12.120 --> 00:27:14.400]   And that's because of this.
[00:27:14.400 --> 00:27:18.680]   So do I create a meta class instead of inheriting from the class?
[00:27:18.680 --> 00:27:20.280]   They do different things.
[00:27:20.280 --> 00:27:25.760]   By inheriting from a class, you can't change the behavior of type creation.
[00:27:25.760 --> 00:27:33.320]   So we're trying to create something where anything that is inheriting from transform
[00:27:33.320 --> 00:27:37.200]   gets a different class behavior.
[00:27:37.200 --> 00:27:41.720]   And so it's impossible to do the things we're describing by inheriting.
[00:27:41.720 --> 00:27:50.920]   There's no way, for example, normally to be able to say, I want to have two different
[00:27:50.920 --> 00:27:56.800]   encodes for two different types, for instance.
[00:27:56.800 --> 00:27:59.120]   That would normally be impossible.
[00:27:59.120 --> 00:28:05.180]   But thanks to meta classes and to done to prepare, we know that each time it sees this,
[00:28:05.180 --> 00:28:11.520]   it's going to call our replacement dicts under set item with a key of encodes and the value
[00:28:11.520 --> 00:28:16.720]   of the function, and we can do whatever we like.
[00:28:16.720 --> 00:28:21.360]   And so what we're going to do is we're going to create an encodes, decodes type dispatch
[00:28:21.360 --> 00:28:26.300]   object if we don't already have one, and then we're going to add this function to that type
[00:28:26.300 --> 00:28:27.840]   dispatch object.
[00:28:27.840 --> 00:28:33.520]   So let's try that.
[00:28:33.520 --> 00:28:41.320]   If I add this twice with two different things, you can see now float has one thing and int,
[00:28:41.320 --> 00:28:43.320]   it's a different thing.
[00:28:43.320 --> 00:28:52.240]   So let's then have a look at type dispatch.
[00:28:52.240 --> 00:28:56.480]   So yeah, this is like a huge rabbit hole.
[00:28:56.480 --> 00:29:02.560]   It's basically how do you make Python do whatever you wanted to do.
[00:29:02.560 --> 00:29:15.300]   Python is a dynamic language, and so they created this amazing data model to allow us
[00:29:15.300 --> 00:29:20.680]   to customize anything we like in Python, but it takes some time to get used to.
[00:29:20.680 --> 00:29:27.720]   So it taught me a lot of reading and studying and looking at lots of different places to
[00:29:27.720 --> 00:29:32.600]   get the hang of all this, and so I don't expect to understand it all the first time around.
[00:29:32.600 --> 00:29:37.960]   I'm not sure what built-in functionality you're referring to, Max.
[00:29:37.960 --> 00:29:44.920]   I don't think Python has anything which does what I just described, which is why I'm doing
[00:29:44.920 --> 00:29:48.560]   something I don't think it does before.
[00:29:48.560 --> 00:29:57.640]   Okay, so here is the type dispatch class, and basically it's going to be something which
[00:29:57.640 --> 00:30:02.920]   we know it's going to have to work a lot like a dictionary because we're going to be adding
[00:30:02.920 --> 00:30:11.380]   things to it, and what's going to happen--actually, I haven't quite shown you all this yet--what's
[00:30:11.380 --> 00:30:21.840]   going to happen is we're going to--let's see, we're going to grab encodes, we're going to
[00:30:21.840 --> 00:30:31.480]   call--oh, yes, so we're going to call the function, and when we call the function--well, Max,
[00:30:31.480 --> 00:30:33.760]   we're not just checking types, we're dispatching on types.
[00:30:33.760 --> 00:30:36.680]   There's a big difference between checking types and dispatching on types, so we're actually
[00:30:36.680 --> 00:30:45.680]   building something where we're able to call different code depending on types, so yeah.
[00:30:45.680 --> 00:30:54.400]   So there isn't a way to do that in Python, so as we've discussed in previous walkthroughs,
[00:30:54.400 --> 00:31:00.520]   when you look at, for example, data augmentation, we're going to have class rotate, which when
[00:31:00.520 --> 00:31:05.080]   we first define it might be empty, and then later on when you say, "Oh, I've got something
[00:31:05.080 --> 00:31:18.960]   for a tensor image," then we'll say @rotate, and it'll say def encodes, x colon tensor image,
[00:31:18.960 --> 00:31:23.960]   and then degrees, and then there'll be some functionality for that, and then in some other
[00:31:23.960 --> 00:31:29.400]   place there's going to be x colon bounding box, and it's going to be different also whether
[00:31:29.400 --> 00:31:31.800]   we're encoding or decoding.
[00:31:31.800 --> 00:31:39.340]   So it's a--it's quite different functionality.
[00:31:39.340 --> 00:31:42.920]   So yeah, so type dispatch.
[00:31:42.920 --> 00:31:47.100]   Dispatch is referring to how do you--how does a programming language decide what piece of
[00:31:47.100 --> 00:31:52.480]   code to run when you call something?
[00:31:52.480 --> 00:32:01.540]   So for example, there's all kinds of different ways of doing dispatch in Python.
[00:32:01.540 --> 00:32:09.800]   The main one that is used for methods, for example, is something called MRO, which is
[00:32:09.800 --> 00:32:11.720]   a method resolution order.
[00:32:11.720 --> 00:32:18.860]   Yeah, so it's like--it's basically all the rules in a language about how do you decide
[00:32:18.860 --> 00:32:25.280]   which piece of code to call when you call some function, and different languages do
[00:32:25.280 --> 00:32:30.560]   it all kinds of different ways, and yeah, check out some of the earlier walkthroughs
[00:32:30.560 --> 00:32:35.000]   if you want more information about why we're doing this dispatch.
[00:32:35.000 --> 00:32:47.720]   Yes, thank you, I mentioned that should have been transformed if we want that to work.
[00:32:47.720 --> 00:33:01.280]   So, what we want is we want something which works--looks like a function, so that means
[00:33:01.280 --> 00:33:10.240]   it has to have it done to call, but when you call it with some argument, we're not just
[00:33:10.240 --> 00:33:14.800]   going to call a function, but we're going to look at the type of that argument and we're
[00:33:14.800 --> 00:33:21.360]   going to try to find the appropriate function or method to call based on the type of that
[00:33:21.360 --> 00:33:33.400]   argument, and based on which methods have been created so far.
[00:33:33.400 --> 00:33:40.560]   And so, what's going to happen is that inside our type dispatch object, there will be a
[00:33:40.560 --> 00:33:46.240]   dictionary called "funx" and that's going to contain a dictionary where the key is the
[00:33:46.240 --> 00:33:47.240]   type.
[00:33:47.240 --> 00:33:53.920]   So, for example, in this case, we're going to have keys "tensor image" and "bbox" and
[00:33:53.920 --> 00:34:00.800]   the value is the actual function to call.
[00:34:00.800 --> 00:34:06.480]   So that's the key thing, is the "funx".
[00:34:06.480 --> 00:34:17.560]   So then, there was an "add" method and that is what FIFM dict calls.
[00:34:17.560 --> 00:34:27.480]   It adds this function, and the "add" method is going to find out the type annotation for
[00:34:27.480 --> 00:34:33.320]   the first parameter, "p1-anno" is parameter number one annotation, so it will grab the
[00:34:33.320 --> 00:34:37.560]   type. If there is none, then it's assuming that it's object because that's the highest
[00:34:37.560 --> 00:34:44.480]   level of the type hierarchy, and it's going to pop that into our functions dictionary.
[00:34:44.480 --> 00:34:53.560]   So then, later on, when you call "dumda call", it's going to look up the type of the parameter
[00:34:53.560 --> 00:35:00.080]   that you're calling this function on, and it's going to look it up in this object.
[00:35:00.080 --> 00:35:05.800]   If it doesn't find it, then it does nothing at all, so that's kind of the rule, right?
[00:35:05.800 --> 00:35:12.400]   If you only have like a "rotate" defined for "tensor image" and "bbox" and then you call
[00:35:12.400 --> 00:35:21.920]   it with "int", then nothing happens because that function isn't defined.
[00:35:21.920 --> 00:35:30.040]   If we did find it, then we just call it with that argument and anything else that you passed
[00:35:30.040 --> 00:35:36.920]   along. And you can actually tag things to say, "I want you to turn it into a method",
[00:35:36.920 --> 00:35:42.440]   which is something we might talk about later if people are interested, but basically it's
[00:35:42.440 --> 00:35:48.360]   just going to create a normal function unless you ask it to be a method.
[00:35:48.360 --> 00:35:54.800]   So the key thing, then, is how does this line of code work? How does it look up the type?
[00:35:54.800 --> 00:36:00.600]   So as you can see, it's calling "dunda get item", and basically what we're going to do
[00:36:00.600 --> 00:36:10.480]   is we're going to keep a cache, which is a dictionary mapping from types to functions.
[00:36:10.480 --> 00:36:15.480]   And we need a special cache dictionary because the way type dispatch works is it doesn't
[00:36:15.480 --> 00:36:22.160]   just look up, say, "tensor image" or "bbox", but it also looks really subclasses of those
[00:36:22.160 --> 00:36:29.200]   things. So, for example, we could have also, as we discussed in an earlier walkthrough,
[00:36:29.200 --> 00:36:35.160]   "tensor". And in this case, then it's going to, if you pass a tensor image, it'll grab
[00:36:35.160 --> 00:36:47.480]   the most specific version it can, which is a tensor image version.
[00:36:47.480 --> 00:36:50.440]   So I think I just answered your question, which is the opposite of that. If you call
[00:36:50.440 --> 00:36:55.360]   it on something which is a subclass of "tensor image", it will be invoked. And the reason
[00:36:55.360 --> 00:37:05.760]   why is because of how we create this cache. And so if we don't find it in the cache, then
[00:37:05.760 --> 00:37:15.040]   we're going to add it to the cache. And what we do is we create a list of all of the types
[00:37:15.040 --> 00:37:28.760]   that are registered, for which there is the appropriate subclass relationship. And we,
[00:37:28.760 --> 00:37:43.880]   how do we do this? And notice that the functions have been ordered by a comparator which checks
[00:37:43.880 --> 00:37:49.680]   for subclass relationships. And so we grab the first one. And so the first one is the
[00:37:49.680 --> 00:37:58.080]   most specific type of the ones that it's a subclass of. This takes a little bit of time.
