
[00:00:00.000 --> 00:00:05.000]   Wake up at Holiday Inn Express to a can't-miss breakfast that's free with every stay.
[00:08:47.000 --> 00:08:53.000]   They were going and applying for jobs and doing interviews, and the problem was they weren't getting a lot of traction.
[00:08:53.000 --> 00:09:02.000]   And because all they had done was play and play without purpose, their confidence was shot.
[00:09:02.000 --> 00:09:13.000]   And so they stopped applying for jobs at a level which would have been more appropriate, and they started applying for the most basic entry-level jobs, way below where they should have been looking.
[00:09:13.000 --> 00:09:20.000]   And it hasn't been an easy situation as I've watched this client.
[00:09:20.000 --> 00:09:22.000]   It's been tough.
[00:09:22.000 --> 00:09:26.000]   Now, confidence can be rebuilt, but it's probably rebuilt slowly.
[00:09:26.000 --> 00:09:35.000]   So recognize that anything you can do to build or keep or increase your personal self-confidence is going to be tremendously important.
[00:09:35.000 --> 00:09:39.000]   I believe one of the keys to doing this – not the only key.
[00:09:39.000 --> 00:09:41.000]   I'm not a trained psychologist in any way.
[00:09:41.000 --> 00:09:47.000]   I'm sure there are many things, but one of the keys that I've observed or at least that is helpful to me is action.
[00:09:47.000 --> 00:09:51.000]   Work keeps the mind focused.
[00:09:51.000 --> 00:09:55.000]   Action gives you a sense of purpose.
[00:09:55.000 --> 00:10:07.000]   If you study things like, say, backward survival advice, your car breaks down in the middle of the wilderness and you've got to figure out how to survive in the wild or your plane crashes in Alaska and you read those types of books.
[00:10:07.000 --> 00:10:13.000]   I've had a soft spot ever since I was a kid for that kind of thing, spending my hard-earned money on the SAS survival manual.
[00:10:13.000 --> 00:10:20.000]   One of the keys that you read in there is the importance of staying busy and focused and moving with purpose.
[00:10:20.000 --> 00:10:32.000]   Now, you first stop, assess your situation, and make a plan, but then you've got to stay focused because if you're busy, if you're focused, if you're working, then you don't feel helpless.
[00:10:32.000 --> 00:10:37.000]   It's when you're not doing anything that those feelings of helplessness come in.
[00:10:37.000 --> 00:10:40.000]   So, stay busy.
[00:10:40.000 --> 00:10:42.000]   Stay busy looking for work.
[00:10:42.000 --> 00:10:45.000]   Look for work like you actually mean it, and we'll cover that in a moment.
[00:10:45.000 --> 00:10:53.000]   But if you don't have work, then stay busy volunteering or stay busy working on your house projects, doing all those things that you haven't had time to do.
[00:10:53.000 --> 00:11:01.000]   One of the most valuable things you can do if you're not feeling good about yourself is stay busy helping others who are less fortunate.
[00:11:01.000 --> 00:11:08.000]   Anytime we spend time helping others who are less fortunate, we always feel better about ourselves.
[00:11:08.000 --> 00:11:21.000]   Even if you need to, just simply focus on staying busy, cutting your budget, cutting your expenses, doing everything you can proactively to reduce the economic outflow from your household.
[00:11:21.000 --> 00:11:24.000]   Stay busy.
[00:11:24.000 --> 00:11:32.000]   Another reason why action is the key and why you need to move quickly is the clock is ticking.
[00:11:32.000 --> 00:11:47.000]   If you study some of the research on the topic of what happens to people when they're unemployed and especially when they become unemployed for longer, you will see a clear pattern that the longer you're out of work, the harder it is to get a job.
[00:11:47.000 --> 00:11:57.000]   The AARP has done some research on this for older people, and it's especially tough if you're middle-aged or older.
[00:11:57.000 --> 00:12:07.000]   You slowly become, in a sense, damaged goods, at least as far as the employment market is concerned, if you've been out of work for a while.
[00:12:07.000 --> 00:12:17.000]   It's not that you can't recover from it, but for every month that you continue unemployed, it becomes much more difficult to get reemployed.
[00:12:17.000 --> 00:12:19.000]   Think about it from the employer's perspective.
[00:12:19.000 --> 00:12:24.000]   Let's assume that you're an employer and I'm coming to you and asking you for a job.
[00:12:24.000 --> 00:12:31.000]   I come to you and I tell you, "Hey, here are all the things that I'm good at," and you're looking at my resume.
[00:12:31.000 --> 00:12:44.000]   As I record this, it's May of 2015, and you look down and you're like, "Wait a second. Little dates here on the resume. I can figure out that you were last employed in February of 2013. That's over two years."
[00:12:44.000 --> 00:12:48.000]   So naturally, you would just simply ask me about that.
[00:12:48.000 --> 00:13:01.000]   Now, if my response is, "Well, I haven't been able to get a job," you're going to be looking down and saying, "You haven't been able to get a job in two years doing anything?
[00:13:01.000 --> 00:13:05.000]   Anything in two years?
[00:13:05.000 --> 00:13:10.000]   That will impact your thinking about the type of person that I am."
[00:13:10.000 --> 00:13:19.000]   So it's very important to have some kind of job or some kind of answer to those types of questions.
[00:13:19.000 --> 00:13:21.000]   There could be many ways to do it.
[00:13:21.000 --> 00:13:29.000]   First of all, you can write the resume in such a way that it doesn't make it obvious that you've been out of work for two years.
[00:13:29.000 --> 00:13:31.000]   That's very important if you've been out of work for a while.
[00:13:31.000 --> 00:13:35.000]   Number two, there may be many reasons why you've been out of work.
[00:13:35.000 --> 00:13:37.000]   Let's say that you were caring for an ailing parent.
[00:13:37.000 --> 00:13:40.000]   That would be a very important thing.
[00:13:40.000 --> 00:13:43.000]   So you need to make sure that you know the reasons why you've been out of work.
[00:13:43.000 --> 00:13:55.000]   But even if you've taken some kind of job, think about the answer of you, the prospective employer, and me, the prospective employee, and I come to you and I say, "I haven't been able to find anything in two years," and you say, "You haven't been able to find anything in two years?"
[00:13:55.000 --> 00:14:10.000]   Versus I come to you and you can tell I'm applying for a nice middle salary professional job and you look down and you see that I've been doing some basic more entry-level job and you ask me about that and I say, "Well, listen, I haven't been able to find a job in my field.
[00:14:10.000 --> 00:14:17.000]   I'm in the field of marketing and I've barely been looking, but it's been tough and I haven't been able to find something, but I needed to make sure that I fed my family.
[00:14:17.000 --> 00:14:23.000]   So I took this entry-level job to make sure that I could feed my family and I've been working hard at that while I've been on the job search."
[00:14:23.000 --> 00:14:31.000]   So that's why I've been working at this job that's very different than the one I'm applying for, but I'm perfectly qualified for the one that I'm applied for.
[00:14:31.000 --> 00:14:33.000]   Now, think about that.
[00:14:33.000 --> 00:14:41.000]   As an employer, my guess is that's going to sound more like the type of person that you'd like to hire.
[00:14:41.000 --> 00:14:55.000]   So there's a big difference between my coming to you and saying, "I've been working at a job that's not quite what I'm trained for and it's not what I'm applying for, but I've got to make sure that I'm working," versus my coming and saying, "I haven't been able to find anything in two years."
[00:14:55.000 --> 00:15:07.000]   So remember, the clock is ticking and every month that you go by continuing in the ranks of the unemployed makes it tougher and tougher and tougher to get a job.
[00:15:07.000 --> 00:15:13.000]   Which is why one of the debates that happens when you study official unemployment statistics is, "Well, these people are still unemployed.
[00:15:13.000 --> 00:15:17.000]   They're just not counted because they're not looking for a job anymore," and it's true.
[00:15:17.000 --> 00:15:19.000]   It happens.
[00:15:19.000 --> 00:15:25.000]   So take a week or two to lick your wounds, but you can't take months.
[00:15:25.000 --> 00:15:29.000]   You've got to get working and you've got to stop that ticking unemployment clock.
[00:15:29.000 --> 00:15:41.000]   And again, this is especially focused if you're tight financially because there are alternative ways to run this scenario, which we'll cover after we cover this emergency session, so to speak.
[00:15:41.000 --> 00:15:45.000]   Next, look for work like you mean it.
[00:15:45.000 --> 00:15:53.000]   If you need money and you want to work, then go and look for work like you actually mean it.
[00:15:53.000 --> 00:16:05.000]   And if you do that, I guarantee in any city, in any market, and in any economy, you'll find work.
[00:16:05.000 --> 00:16:10.000]   Filling out a job application a day online is not looking for work like you mean it.
[00:16:10.000 --> 00:16:17.000]   Maybe filling out 12 or 15 applications a day is, but not one or two.
[00:16:17.000 --> 00:16:18.000]   Think about this.
[00:16:18.000 --> 00:16:25.000]   Think about looking for a job like getting started in sales, and this is why upfront action is so incredibly important.
[00:16:25.000 --> 00:16:29.000]   Let me tell you about what it's like to start any kind of sales job.
[00:16:29.000 --> 00:16:41.000]   The number one most important thing you can do any time you start a sales job is to take massive, massive action up front as quickly as possible.
[00:16:41.000 --> 00:16:52.000]   The reason is that all things are sold in a cycle, and that sales cycle could range from very short to very long depending on what you're selling.
[00:16:52.000 --> 00:16:59.000]   If you're selling men's sport coats in a men's store, your sales cycle is probably pretty short.
[00:16:59.000 --> 00:17:02.000]   If you're selling a life insurance policy, it's a little bit longer.
[00:17:02.000 --> 00:17:04.000]   If you're selling houses, it may be longer.
[00:17:04.000 --> 00:17:10.000]   If you're selling 777s to airlines, you have a very long sales cycle.
[00:17:10.000 --> 00:17:14.000]   But let me give you an example from the life insurance business.
[00:17:14.000 --> 00:17:16.000]   Just as an example. It applies to anything.
[00:17:16.000 --> 00:17:22.000]   But because I have a lot of background in this, I know this, and I know some of you are interested in life insurance.
[00:17:22.000 --> 00:17:25.000]   Let me tell you about the life insurance sales cycle.
[00:17:25.000 --> 00:17:30.000]   Here's about the fastest possible life insurance transaction that I can think of happening.
[00:17:30.000 --> 00:17:35.000]   If I'm totally broke and I'm going to go start selling life insurance again to feed my family.
[00:17:35.000 --> 00:17:38.000]   So I pick up the phone and I start making appointments with people.
[00:17:38.000 --> 00:17:41.000]   I call them up and I ask for an appointment.
[00:17:41.000 --> 00:17:44.000]   You pick up the phone and you say, "Sure, Josh. Well, come on out.
[00:17:44.000 --> 00:17:47.000]   I may or may not need some life insurance. We can talk about that.
[00:17:47.000 --> 00:17:49.000]   But, yeah, come on out."
[00:17:49.000 --> 00:17:52.000]   So we set an appointment for a week from today.
[00:17:52.000 --> 00:17:53.000]   That would be normal.
[00:17:53.000 --> 00:17:56.000]   Most of us plan our calendars about a week out.
[00:17:56.000 --> 00:18:00.000]   And we meet together one week from today and you share with me a little bit about your situation.
[00:18:00.000 --> 00:18:03.000]   You say, "Yeah, I need some term life insurance. I just had another kid.
[00:18:03.000 --> 00:18:05.000]   We run some simple calculations."
[00:18:05.000 --> 00:18:07.000]   You say, "I need a little bit of term life insurance."
[00:18:07.000 --> 00:18:08.000]   "Okay."
[00:18:08.000 --> 00:18:10.000]   So we schedule a follow-up appointment for a week later.
[00:18:10.000 --> 00:18:15.000]   I come back and I run some quotes with some different companies and I run some different solutions.
[00:18:15.000 --> 00:18:18.000]   I come back and we do the follow-up meeting.
[00:18:18.000 --> 00:18:24.000]   Now, most likely in most larger life insurance transactions, you're going to wait a little bit to make the decision.
[00:18:24.000 --> 00:18:29.000]   Although there are certain types of the life insurance industry where they focus on the one call close type of thing,
[00:18:29.000 --> 00:18:34.000]   in 2015, those markets are mostly dying if not dead.
[00:18:34.000 --> 00:18:43.000]   And at least if you're working with mainstream normal like middle-income people, you never ask for anything on the first close.
[00:18:43.000 --> 00:18:47.000]   You don't do this kind of pressure tactics like they did in 1972.
[00:18:47.000 --> 00:18:48.000]   It doesn't work anymore.
[00:18:48.000 --> 00:18:52.000]   So I give you another week and we schedule another appointment a week out.
[00:18:52.000 --> 00:18:53.000]   And that week out, you think about it.
[00:18:53.000 --> 00:18:57.000]   You call your friends and you decide, "Yeah, this policy that Joshua recommended is a good deal."
[00:18:57.000 --> 00:19:00.000]   So I come back out and I fill out applications with you.
[00:19:00.000 --> 00:19:03.000]   We're now three weeks from the date of my first telephone call.
[00:19:03.000 --> 00:19:05.000]   Excuse me, four weeks from the date of my first telephone call.
[00:19:05.000 --> 00:19:08.000]   Then the nurse comes to see you and I turn in the application.
[00:19:08.000 --> 00:19:12.000]   It takes about three weeks for the underwriter to issue the policy and maybe a few days to get it back to me.
[00:19:12.000 --> 00:19:14.000]   So we're now at about seven weeks.
[00:19:14.000 --> 00:19:18.000]   And I call you up and say, "I've got the policy," and I either mail it out to you or I come see you and I deliver it.
[00:19:18.000 --> 00:19:21.000]   And now we're about eight weeks out from the date of my initial call.
[00:19:21.000 --> 00:19:25.000]   I turn in the paperwork and then I get my commission check about a couple weeks later.
[00:19:25.000 --> 00:19:27.000]   That's about ten weeks total.
[00:19:27.000 --> 00:19:28.000]   Now, there are exceptions.
[00:19:28.000 --> 00:19:29.000]   It can happen faster.
[00:19:29.000 --> 00:19:39.000]   Again, there are still markets of the – there's something called final expense insurance where these insurance agents still sell these very small policies and it's basically one call and that's it.
[00:19:39.000 --> 00:19:41.000]   They use very aggressive sales tactics.
[00:19:41.000 --> 00:19:44.000]   I don't like that kind of a business, but some people do that.
[00:19:44.000 --> 00:19:47.000]   But it can happen faster, but usually it's about ten weeks.
[00:19:47.000 --> 00:19:49.000]   Now, that ten weeks is – excuse me.
[00:19:49.000 --> 00:19:50.000]   It's not usually about ten weeks.
[00:19:50.000 --> 00:19:53.000]   That's about the fastest I can imagine it happening.
[00:19:53.000 --> 00:19:58.000]   Most of the time it's far slower because I call you up for next week.
[00:19:58.000 --> 00:20:01.000]   But all of a sudden next week you forget about that.
[00:20:01.000 --> 00:20:04.000]   It's your nephew's birthday party and so we have to cancel and move another week out.
[00:20:04.000 --> 00:20:07.000]   You need a little bit more time to think about it because you're busy.
[00:20:07.000 --> 00:20:11.000]   You haven't had a chance to talk with your CPA and get their input, blah, blah, blah, blah, blah, blah.
[00:20:11.000 --> 00:20:13.000]   And basically the whole process gets stretched out.
[00:20:13.000 --> 00:20:17.000]   And then even more importantly, the bigger the sale, the longer it takes.
[00:20:17.000 --> 00:20:29.000]   So a simple, normal middle class life insurance sale for a normal middle class couple, term life insurance, very simple, relatively inexpensive, those sales go pretty quickly.
[00:20:29.000 --> 00:20:38.000]   Much bigger sales, sophisticated business needs, sophisticated estate need, it might take years to get those things put into force.
[00:20:38.000 --> 00:20:46.000]   So when you start in sales, you need to know that not only is the sales cycle going to take a long time, but the majority of people aren't going to buy from you.
[00:20:46.000 --> 00:20:50.000]   So you've got to fill the funnel.
[00:20:50.000 --> 00:20:58.000]   Now every sales industry has a different ratio of prospective clients to clients or prospects to customers, however you refer to them in your business.
[00:20:58.000 --> 00:21:07.000]   But the key is to fill the funnel quickly because only a small percentage of the people that might buy from you will buy from you.
[00:21:07.000 --> 00:21:16.000]   So if you call on 20 people in the first week, maybe four of them are interested and maybe two of them wind up buying from you.
[00:21:16.000 --> 00:21:19.000]   But you still had to spend a lot of time calling on 20 people.
[00:21:19.000 --> 00:21:27.000]   If you call on 20 people every week for your first four weeks in the business, then you might start running business 10 weeks out.
[00:21:27.000 --> 00:21:32.000]   But if you call on five people a week, you might get lucky.
[00:21:32.000 --> 00:21:35.000]   But most of the time, you go broke.
[00:21:35.000 --> 00:21:40.000]   It's the same in every kind of sales job.
[00:21:40.000 --> 00:21:44.000]   So getting a job is a sales job.
[00:21:44.000 --> 00:21:50.000]   You're selling you and the services of your personal services corporation to a prospective employer.
[00:21:50.000 --> 00:21:56.000]   And you need to get things going quickly because it will take time.
[00:21:56.000 --> 00:22:04.000]   And in the same way that a very big life insurance sale is going to take a lot more time.
[00:22:04.000 --> 00:22:07.000]   I wish I could remember what the biggest life insurance sale was.
[00:22:07.000 --> 00:22:09.000]   I read a news story on it.
[00:22:09.000 --> 00:22:16.000]   But it was hundreds of millions of dollars and it was a – I think it was a deferred compensation program.
[00:22:16.000 --> 00:22:18.000]   And I had a friend that told me about it.
[00:22:18.000 --> 00:22:26.000]   But the agent on the sale made – I wish – tens of millions of dollars at least on the commission on the case.
[00:22:26.000 --> 00:22:31.000]   But I'm sure they were working on it for years to get it pulled together.
[00:22:31.000 --> 00:22:38.000]   It's very different than going out and selling a one-time small life insurance policy where you get paid quickly.
[00:22:38.000 --> 00:22:46.000]   And so in the same way that it takes much longer to make much bigger sales, but yet the compensation is much nicer.
[00:22:46.000 --> 00:22:52.000]   If you flip it around and apply it to the job market, generally the higher-paying jobs are going to take a lot of time.
[00:22:52.000 --> 00:23:00.000]   You can pretty much walk into a McDonald's on the corner or whatever local retail establishment and have a quick conversation.
[00:23:00.000 --> 00:23:04.000]   You might be offered a job on the spot if they need workers.
[00:23:04.000 --> 00:23:06.000]   But you're not going to make much.
[00:23:06.000 --> 00:23:14.000]   But if you're going to get into a great high-paying job, it's going to take a lot of time and there are going to be multiple rounds of interviews and negotiations.
[00:23:14.000 --> 00:23:18.000]   At the highest levels, the hiring process will take months and months and months.
[00:23:18.000 --> 00:23:19.000]   It's got to be approved by the board.
[00:23:19.000 --> 00:23:21.000]   You've got to have multiple interviews with all the key stakeholders.
[00:23:21.000 --> 00:23:24.000]   And it varies all along that course.
[00:23:24.000 --> 00:23:28.000]   But in general, plan that the higher the dollar amount, the longer it's going to take.
[00:23:28.000 --> 00:23:33.000]   So you've got to get busy now and fill that funnel.
[00:23:33.000 --> 00:23:44.000]   And you've got to tack it quickly and do as much as you can up front because then once you get that cycle going, then you can afford to pull back.
[00:23:44.000 --> 00:23:55.000]   But don't make the mistake of starting slow and then as your finances dwindle and your bank account empties and the unemployment runs out, then you start to get more serious.
[00:23:55.000 --> 00:24:08.000]   Because what happens is at that point in time, you don't have the ability to wait and you've got to take whoever makes you the first offer instead of being able to have multiple offers and taking the one that makes you the best offer.
[00:24:08.000 --> 00:24:10.000]   So where do you start?
[00:24:10.000 --> 00:24:18.000]   Well, start with knowing what you want to do and if possible, knowing where you want to do it.
[00:24:18.000 --> 00:24:22.000]   You've got to be targeted with a job search.
[00:24:22.000 --> 00:24:29.000]   As I mentioned yesterday, my biggest frustration is when friends say, "I'm looking for work. What do you want to do?"
[00:24:29.000 --> 00:24:31.000]   I don't know, just anything.
[00:24:31.000 --> 00:24:33.000]   Anything doesn't work.
[00:24:33.000 --> 00:24:49.000]   Even if you're not 100% sure what you want to do, then you still have to pretend that you know what you want to do and make a guess and pretend that you know where you want to do it and then just ask people for that and then follow up with saying, "Oh, but do you have any good ideas about something else that you think would be better for me?"
[00:24:49.000 --> 00:24:52.000]   You've got to have some kind of destination in mind.
[00:24:52.000 --> 00:24:57.000]   You can't wander up to the ticket counter in an airport and ask for a ticket to anywhere.
[00:24:57.000 --> 00:25:00.000]   Even if you were willing to pay for it, you've got to give some kind of guidance.
[00:25:00.000 --> 00:25:07.000]   So the ticket counter person needs to ask you a question and you need to at least be able to say, "Okay, I want to go somewhere with beaches or mountains."
[00:25:07.000 --> 00:25:11.000]   Then they can look down and say, "Well, we've got some planes going to these beaches. Pick one."
[00:25:11.000 --> 00:25:15.000]   And some planes going to these mountains.
[00:25:15.000 --> 00:25:19.000]   There's got to be a destination in mind.
[00:25:19.000 --> 00:25:33.000]   The best jobs are always going to come from a targeted approach to specific companies that match your goals and the skills of your personal services corporation.
[00:25:33.000 --> 00:25:38.000]   And usually, they're not going to be advertised.
[00:25:38.000 --> 00:25:46.000]   You might be able to get a job that's advertised, but it's not going to be the best job or it's not going to be the best way to get the job.
[00:25:46.000 --> 00:25:50.000]   You want to get in there before the job is advertised.
[00:25:50.000 --> 00:26:04.000]   If you think the best way to get a job is by spending time browsing the listings on online job boards and sending your resume out with a cover letter, respectfully, you're wrong.
[00:26:04.000 --> 00:26:13.000]   And although I'm not a job expert, I've had a little bit of practical experience and I've read enough books by the experts and every one of them says you're wrong.
[00:26:13.000 --> 00:26:19.000]   So consider doing something different and I'm going to cover that in just a moment with a couple of citations.
[00:26:19.000 --> 00:26:33.000]   Before we get to how to approach a company and make a targeted approach to a specific company, I would just mention briefly that I would start not with that but actually by activating your personal network.
[00:26:33.000 --> 00:26:39.000]   Put the people that you know to work for you because most of them are probably going to like you.
[00:26:39.000 --> 00:26:46.000]   And even if they don't like you, they may at least, if they're neutral towards you, may still be willing to help you.
[00:26:46.000 --> 00:26:49.000]   As human beings, we naturally want to help other people.
[00:26:49.000 --> 00:26:56.000]   And the best opportunities are probably going to fall in your lap from people that hear about something and suggest it to you.
[00:26:56.000 --> 00:27:09.000]   And if you activate their awareness by telling them that you need a job, you'll be casting a wide net for potential ideas and potential options.
[00:27:09.000 --> 00:27:12.000]   Think about how the government tracks people down.
[00:27:12.000 --> 00:27:23.000]   FBI puts out a most wanted list or they're looking for somebody and they activate the law enforcement people all over the country and everybody gets, "Hey, we're looking for this guy or this gal."
[00:27:23.000 --> 00:27:33.000]   Now, ultimately, only a few people or maybe one person is going to find that, the criminal, find the person.
[00:27:33.000 --> 00:27:35.000]   And maybe nobody will.
