
[00:00:00.040 --> 00:00:09.700]   quin but
[00:21:11.180 --> 00:21:18.580]   But it's just a different flavor and I don't do these kinds of calculations myself either.
[00:21:18.580 --> 00:21:27.720]   I very much like to talk with my theory colleagues about these things though because I find there's always an interesting intersection and
[00:21:27.720 --> 00:21:27.720]   I very much like to talk with my theory colleagues about these things though because I find there's always an interesting intersection and
[00:21:27.720 --> 00:21:27.720]   I very much like to talk with my theory colleagues about these things though because I find there's always an interesting intersection and
[00:21:27.720 --> 00:21:27.720]   I very much like to talk with my theory colleagues about these things though because I find there's always an interesting intersection and
[00:21:27.720 --> 00:21:27.720]   I very much like to talk with my theory colleagues about these things though because I find there's always an interesting intersection and
[00:21:54.880 --> 00:21:57.740]   I've written a number of papers with colleagues who do simulations about galaxies and so they're not quite as far removed as let's say the black hole pen and paper folks. But even in those cases we have the same interest in the same topics but it was almost like we're speaking two different languages and we weren't even that far removed you know both astronomers and all and it was really interesting just to take the time and
[00:21:57.760 --> 00:22:27.760]   the time and
[00:22:27.760 --> 00:22:27.760]   the time and
[00:22:27.760 --> 00:22:27.760]   we're talking about the ones that are not that far removed and we're talking about the ones that are not that far removed and we're talking about the ones that are not that far removed and we're talking about the ones that are not that far removed and we're talking about the ones that are not that far removed
[00:22:27.800 --> 00:22:57.780]  ,
[00:22:57.780 --> 00:22:57.780]   I think that's a really interesting thing and sometimes it really takes a while to to convert and to to get you know to the common ground but if you take the time it's so interesting to participate in that process and it feels so good in the end to say yes we tackled this together right we overcame our differences not not so much in opinion but just in expressing ourselves about this and how we go about solving a problem and these were some of my most successful papers and I certainly enjoyed them the most.
[00:23:27.800 --> 00:23:27.800]   I think that's a really interesting thing and sometimes it feels so good in the end to say yes we tackled this together right we overcame our differences not not so much in opinion but just in expressing ourselves about this and I certainly enjoyed them the most.
[00:23:57.820 --> 00:23:57.820]   I think that's a really interesting thing and sometimes it feels so good in expressing ourselves about this and I certainly enjoyed them the most.
[00:23:57.820 --> 00:23:57.820]   I think that's a really interesting thing and sometimes it feels so good in expressing ourselves about this and I certainly enjoyed them the most.
[00:23:57.820 --> 00:23:57.820]   I think that's a really interesting thing and sometimes it feels so good in expressing ourselves about this and I certainly enjoyed them the most.
[00:23:57.820 --> 00:23:57.820]   I think that's a really interesting thing and sometimes it feels so good in expressing ourselves about this and I certainly enjoyed them the most.
[00:24:27.840 --> 00:24:27.840]   I think that's a really interesting thing and sometimes it feels so good in expressing ourselves about this and I certainly enjoyed them the most.
[00:24:27.840 --> 00:24:27.840]   I think that's a really interesting thing and sometimes it feels so good in expressing ourselves about this and I certainly enjoyed them the most.
[00:24:27.840 --> 00:24:27.840]   I think that's a really interesting thing and sometimes it feels so good in expressing ourselves about this and I certainly enjoyed them the most.
[00:24:27.840 --> 00:24:27.840]   I think that's a really interesting thing and sometimes it feels so good in expressing ourselves about this and I certainly enjoyed them the most.
[00:24:27.880 --> 00:24:57.860]  ,
[00:24:57.860 --> 00:24:57.860]   It's a really interesting thing and sometimes it feels so good in expressing ourselves about this and I certainly enjoyed them the most.
[00:24:57.860 --> 00:24:57.860]   It's a really interesting thing and sometimes it feels so good in expressing ourselves about this and I certainly enjoyed them the most.
[00:24:57.860 --> 00:24:57.860]   I think that's a really interesting thing and sometimes it feels so good in expressing ourselves about this and I certainly enjoyed them the most.
[00:24:57.860 --> 00:24:57.860]   I think that's a really interesting thing and sometimes it feels so good in expressing ourselves about this and I certainly enjoyed them the most.
[00:24:57.860 --> 00:24:57.860]   I think that's a really interesting thing and sometimes it feels so good in expressing ourselves about this and I certainly enjoyed them so good in expressing ourselves about this and I certainly enjoyed them so good at least.
[00:24:57.900 --> 00:25:08.880]   but
[00:25:08.880 --> 00:25:11.920]   because look likehotあ
[00:26:51.980 --> 00:27:01.460]   오�
[00:27:01.460 --> 00:27:14.000]  entle which in the Просто invasive
[00:27:14.000 --> 00:27:21.360]   haven , ., ,,,,,,,,,,, shade and I've he's in the thing of th CiFT. The But The Fun is the possono insane well blowing the aren locked the • But, all bowl and, or, is, and, again, I, many, vie, Er, Bubble, taxes, earned, моя,成, eje, Hmmm, che,otta, 읽, skelet:, convince, Everyday. То, woke, Lect,습니까.张. consultation:, demos; explicit. sell business of the'm here's. i's already,arch.wo. vie's valley :C
[00:27:21.500 --> 00:27:50.780]   you know in in its outer layers is exactly the same as the gas composition from which the staff forms which means it has perfectly preserved that information from way back then all the way to the day and going forward so I'm a stellar archaeologist because I don't dig in the dirt to find remnants of past civilizations and and whatnot
[00:27:51.020 --> 00:28:20.560]   and I dig for the staff of the old stars in the sky because they have preserved that information from the first billion years years in their in their outer stellar atmosphere which is what I'm observing with telescopes so I'm getting the best looks at the chemical composition early on that you could possibly wish for what kind of age are we talking about here are talking about something that's close to that you know like a thirteen
[00:28:20.560 --> 00:28:20.800]   I dig for the staff of the old stars in the sky because they have preserved that information from the first billion years years in their outer stellar atmosphere which is what I'm observing with telescopes so I'm getting the best looks at the chemical composition early on that you could possibly wish for what kind of age are we talking about here are talking about something that's close to that you know like a thirteen
[00:28:20.820 --> 00:28:50.580]   the first billion years years in their outer stellar atmosphere which is what I'm observing with telescopes so I'm getting the best looks at the chemical composition early on that you know like a thirteen
[00:28:51.520 --> 00:29:20.460]  ,
[00:29:20.460 --> 00:29:20.600]   I dig for the staff of the old stars in the sky because they have preserved that information from the first billion years years in their outer stellar atmosphere which is what I'm observing with telescopes so I'm getting the best looks at the chemical composition early on that you know like a 13
[00:29:20.600 --> 00:29:20.600]   I dig for the staff of the old stars in the sky because they have preserved that information from the first billion years years in their outer stellar atmosphere which is what I'm observing with telescopes
[00:29:20.600 --> 00:29:20.600]   I dig for the staff of the old stars in the sky because they have preserved that information from the first billion years years years in their outer stellar atmosphere which is what I'm observing with telescopes
[00:29:20.640 --> 00:29:50.620]  ,
[00:29:50.620 --> 00:29:50.620]   I dig for the staff of the old stars in the sky because they have preserved that information from the first billion years years years years in their outer stellar atmosphere which is what I'm observing with telescopes
[00:29:50.640 --> 00:30:20.640]   I dig for the staff of the old stars in the sky because they have preserved that information from the first billion years years years in their outer stellar atmosphere which is what I'm observing with telescopes
[00:30:20.640 --> 00:30:20.640]   I dig for the staff of the old stars in the sky because they have preserved that information from the first billion years years years in their outer stellar atmosphere which is what I'm observing with telescopes
[00:30:20.640 --> 00:30:20.640]   I dig for the staff of the old stars in the sky because they have preserved that information from the first billion years years years years in their outer stellar atmosphere which is what I'm observing with telescopes
[00:30:20.640 --> 00:30:20.640]   I dig for the staff of the old stars in the sky because they have preserved that information from the first billion years years years years years years years in their outer stellar atmosphere which is what I'm observing with telescopes
[00:30:20.680 --> 00:30:50.660]  ,
[00:30:50.660 --> 00:30:50.660]   I dig for the staff of the old stars in the sky because they have preserved that information from the first billion years years years years years in their outer stellar atmosphere which is what I'm observing with telescopes
[00:30:50.660 --> 00:30:50.660]   I dig for the staff of the old stars in the sky because they have preserved that information from the first billion years years years years years years in their outer stellar atmosphere which is what I'm observing with telescopes
[00:30:50.700 --> 00:31:00.560]   in
[00:31:00.560 --> 00:31:18.180]   a end,,,,
[00:33:09.000 --> 00:33:14.260]   after
[00:33:14.260 --> 00:33:34.920]   el. we do. cheesy
[00:34:07.680 --> 00:34:07.680]   -
[00:34:07.680 --> 00:34:07.680]   -
[00:34:07.680 --> 00:34:07.680]   -
[00:34:07.680 --> 00:34:07.680]   -
[00:34:07.680 --> 00:34:07.700]   -
[00:34:07.700 --> 00:34:07.760]   - -
[00:34:07.820 --> 00:34:15.720]   describe
[00:34:15.720 --> 00:34:18.240]   try improvements
[00:34:18.240 --> 00:34:19.300]   starts golf, not,,,,,, number of the rate. And,視 in the they're. It's the same. The, the, the, the, the, the, the, the, the, the, eating, it,
[00:34:19.300 --> 00:34:35.760]  . I guess. I'm I'm in my. I'm dirty. I'm 10 żadGH@N.G.G.N.G.G.G.G.G.D.N.G.G.G.G.G. Cla mB.将 erzähfeest got to me 대해Put seuleilro .​ F�ced the study scrambled info de ED وерг.�ר. limiting the movie ciבend it's Nelet creature sound otherwise achieve the finger
[00:34:35.820 --> 00:34:52.220]   the elements that we observe in these stars were not made by the stars themselves that we observe. They that's just a reflection of the gas. So we don't actually, I had to say that because I love stars. We don't at the end of the day, we don't really care for the stars that we're observing. We care for the story that they're telling us about the early universe.
[00:34:52.220 --> 00:34:57.860]   So, yeah. So the stars are kind of a small mirror into the, the, the early universe.
[00:34:57.860 --> 00:35:03.460]   And so what are you detecting about those stars? Can you tell me about the process of archeology here?
[00:35:03.820 --> 00:35:32.360]  ,
[00:35:32.360 --> 00:35:32.860]   Yeah.
[00:35:32.860 --> 00:35:33.360]   Yeah.
[00:35:33.360 --> 00:35:33.860]   Yeah.
[00:35:33.860 --> 00:35:33.860]   Yeah.
[00:35:33.860 --> 00:35:33.860]   Yeah.
[00:35:33.860 --> 00:35:33.860]   Yeah.
[00:35:33.860 --> 00:36:03.900]   yeah.
[00:36:03.940 --> 00:36:09.120]   meant
[00:36:09.120 --> 00:36:11.160]   widely is
[00:36:11.160 --> 00:36:27.720]  2上
[00:36:27.720 --> 00:36:33.800]   chic or also, and, and, molecular, everywhere. And, the whole, slippers, Sri,or, herbs,
[00:38:55.200 --> 00:39:04.180]   go
[00:39:04.180 --> 00:39:24.440]   all. The...
[00:39:25.220 --> 00:39:55.200]   Transportation. And I developed it. It was a lot of work. A little bit more than I thought. To map up an entire research project basically from scratch in ten worksheets. So that they could do it again in a very structured and organized fashion. Oh so you created this whole framework for them to do it. Yes. The whole thing. But the promise was you come sign up for my class in teams of two. You each get your own
[00:39:55.200 --> 00:39:55.200]   Корre: Yeah.
[00:39:55.240 --> 00:39:59.280]   I
[00:39:59.280 --> 00:40:05.500]  ,
[00:40:05.500 --> 00:40:23.980]   de the day. I think what the. I, I, my, kho,,,,,,,,. believe in the show. It's very Its Sandy Vel traged boiled Et gun
[00:40:24.700 --> 00:40:34.360]   in
[00:40:34.360 --> 00:40:53.560]  --, not say like de
[00:40:54.700 --> 00:41:04.000]   colleagues, I talked t
[00:41:04.000 --> 00:41:06.360]   the chemically most pr
[00:41:06.360 --> 00:41:08.600]   actually what we matter,
[00:41:08.600 --> 00:41:11.040]   that tells us, okay, it
[00:41:11.040 --> 00:41:13.440]   or third or fifth genera
[00:41:13.440 --> 00:41:16.040]   But these low strontium
[00:41:16.040 --> 00:41:18.680]   the wrong way, like they
[00:41:18.680 --> 00:41:23.080]   They must be the oldest s
[00:41:23.080 --> 00:41:24.660]   the galaxy because they f
[00:41:24.660 --> 00:41:24.700]   Корrector of the universe,
[00:41:24.700 --> 00:41:24.700]   The universe is the oldest
[00:41:24.700 --> 00:41:24.700]   The universe is the oldest
[00:41:24.700 --> 00:41:24.700]   The universe is the oldest star that came into the galaxy because they formed
[00:41:24.700 --> 00:41:24.700]   star that came into the galaxy because they formed
[00:41:24.740 --> 00:41:54.720]   the universe is the oldest star that came into the galaxy because they formed the galaxy was the midway right and this is so cool and it was so wonderful so this class it went so well in the fall I had nine people sign up that that's not unusual for a class at the specialty class at MIT so small number it was eight women and they were so into it that I said okay let's use this opportunity you're going to do some extra work with me and we're going to publish this
[00:41:54.720 --> 00:41:54.720]   Okay let's use this opportunity you're going to do some extra work with me and we're going to publish this
[00:41:54.720 --> 00:41:54.720]   Okay let's use this opportunity you're going to do some extra work with me and we're going to publish this
[00:41:54.720 --> 00:41:54.720]   Okay let's use this opportunity you're going to do some extra work with me and we're going to publish this
[00:41:54.740 --> 00:41:55.760]   Okay let's use this opportunity you're going to do some extra work with me and we're going to publish this
[00:41:55.760 --> 00:41:56.760]   Okay let's use this opportunity you're going to do some extra work with me and we're going to publish this I also like that
[00:41:56.760 --> 00:41:56.760]   publish this I also like that
[00:41:56.760 --> 00:42:12.760]   publish this I also like that you're using the terminology of chemically more pristine when I'm talking to younger people I'll just say that I'm more chemically pristine than them I like that description of age so there's this term of metal poor stars so most of these old stars are going to be metal poor yes I search for the most metal poor stars
[00:42:12.800 --> 00:42:22.380]   a
[00:42:22.380 --> 00:42:39.500]   is the co kho
[00:42:42.800 --> 00:43:12.800]   Корrekt.
[00:43:12.800 --> 00:43:12.800]   When I give public talks I always ask, "Is there a chemist in the audience?" Let me just tell you, neon is a wonderful metal. And they're like, "Oh my god, what's he saying?" But I'm an astronomer, I'm not a chemist, so I'll get away with it. So if you just roll with it for a moment, all the elements except hydrogen and helium are called metals. Now if we look again at chemical or the concept of chemical evolution, it means more and more off of the chemical evolution.
[00:43:12.820 --> 00:43:42.820]   All the elements, everything heavier than hydrogen and helium gets produced slowly but surely by different types of stores and events. So that's a monotonously increasing function. And so we look for the stars that have the least amount of heavy elements in them, because that means we are going further and further back in this process, in that function, almost all the way to the very beginning, and that is the first star.
[00:43:42.820 --> 00:43:42.820]   So if you look again at chemical or the concept of chemical evolution, it means more and more off the chemical evolution. And so we look for the stars that have the least amount of heavy elements in them, because that means we are going further and further back in this process, in that function, almost all the way to the very beginning, and that is the first star.
[00:43:42.860 --> 00:44:12.840]  , and that is the first star.
[00:44:12.840 --> 00:44:12.840]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:44:12.840 --> 00:44:12.840]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:44:12.840 --> 00:44:12.840]   Yeah, and you're looking at the very early days of the introduction of the introduction of the variety.
[00:44:12.840 --> 00:44:12.840]   Yeah, and you're looking at the very early days of the introduction of the introduction of the introduction of the variety.
[00:44:12.860 --> 00:44:42.860]   Yeah, and you're looking at the very early days of the introduction of the introduction of the variety.
[00:44:42.860 --> 00:44:42.860]   Yeah, and you're looking at the very early days of the introduction of the introduction of the variety.
[00:44:42.860 --> 00:44:42.860]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:44:42.860 --> 00:44:42.860]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:44:42.860 --> 00:44:42.860]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:44:42.860 --> 00:44:42.860]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:44:42.860 --> 00:44:42.860]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:44:42.860 --> 00:44:42.860]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:44:42.860 --> 00:44:42.860]   Yeah, and you're looking at the very early days of the introduction of the introduction of the variety.
[00:44:42.860 --> 00:44:42.860]   Yeah, and you're looking at the very early days of the introduction of the introduction of the variety.
[00:44:42.900 --> 00:45:12.880]  ,
[00:45:12.880 --> 00:45:12.880]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:45:12.880 --> 00:45:12.880]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:45:12.880 --> 00:45:12.880]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:45:12.880 --> 00:45:12.880]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:45:12.880 --> 00:45:12.880]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:45:12.880 --> 00:45:12.880]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:45:12.880 --> 00:45:12.880]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:45:12.900 --> 00:45:42.900]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:45:42.900 --> 00:45:42.900]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:45:42.900 --> 00:45:42.900]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:45:42.900 --> 00:45:42.900]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:45:42.900 --> 00:45:42.900]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:45:42.900 --> 00:45:42.900]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:45:42.900 --> 00:45:42.900]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:45:42.900 --> 00:45:42.900]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:45:42.900 --> 00:45:42.900]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:45:42.900 --> 00:45:42.900]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:45:42.920 --> 00:46:12.920]  , and you're looking at the very early days of the introduction of the variety.
[00:46:12.920 --> 00:46:12.920]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:46:12.920 --> 00:46:12.920]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:46:12.920 --> 00:46:12.920]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:46:12.920 --> 00:46:12.920]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:46:12.920 --> 00:46:12.920]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:46:12.920 --> 00:46:12.920]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:46:12.920 --> 00:46:12.920]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:46:12.960 --> 00:46:42.940]  ,
[00:46:42.940 --> 00:46:42.940]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:46:42.940 --> 00:46:42.940]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:46:42.940 --> 00:46:42.940]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:46:42.940 --> 00:46:42.940]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:46:42.940 --> 00:46:42.940]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:46:42.940 --> 00:46:42.940]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:46:42.940 --> 00:46:42.940]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:46:42.940 --> 00:46:42.940]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:46:42.940 --> 00:46:42.940]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:46:42.940 --> 00:46:42.940]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:46:42.980 --> 00:47:12.960]   �a, and you're looking at the very early days of the introduction of the variety.
[00:47:12.960 --> 00:47:12.960]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:47:12.960 --> 00:47:12.960]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:47:12.960 --> 00:47:12.960]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:47:12.960 --> 00:47:12.960]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:47:12.960 --> 00:47:12.960]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:47:12.960 --> 00:47:12.960]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:47:12.960 --> 00:47:12.960]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:47:12.960 --> 00:47:12.960]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:47:12.960 --> 00:47:12.960]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:47:12.980 --> 00:47:42.980]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:47:42.980 --> 00:47:42.980]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:47:42.980 --> 00:47:42.980]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:47:42.980 --> 00:47:42.980]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:47:42.980 --> 00:47:42.980]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:47:42.980 --> 00:47:42.980]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:47:42.980 --> 00:47:42.980]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:47:42.980 --> 00:47:42.980]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:47:42.980 --> 00:47:42.980]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:47:42.980 --> 00:47:42.980]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:47:43.000 --> 00:48:13.000]  , and you're looking at the very early days of the introduction of the variety.
[00:48:13.000 --> 00:48:13.000]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:48:13.000 --> 00:48:13.000]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:48:13.000 --> 00:48:13.000]   Yeah, and you're looking at the very early days of the introduction of the variety.
[00:48:13.000 --> 00:48:13.000]   Yeah, and you're looking at the very early days of the introduction of the variety.
