
[00:00:00.000 --> 00:00:03.160]   (audience applauding)
[00:01:45.800 --> 00:01:47.800]   and the first thing that he wants to teach me
[00:01:47.800 --> 00:01:52.440]   as a new person is about recency bias, behavioral concept.
[00:01:52.440 --> 00:01:55.280]   And that's when a light bulb went on for me.
[00:01:55.280 --> 00:01:57.280]   I think probably everyone in this room appreciates
[00:01:57.280 --> 00:02:00.200]   that there are two answers to every financial question.
[00:02:00.200 --> 00:02:02.360]   There's what the calculator says,
[00:02:02.360 --> 00:02:04.720]   and then there's how you feel about it.
[00:02:04.720 --> 00:02:07.880]   But threading the needle is not always so easy.
[00:02:07.880 --> 00:02:10.000]   And in a lot of cases,
[00:02:10.000 --> 00:02:12.040]   what we're dealing with are situations
[00:02:12.040 --> 00:02:15.960]   where we have some data, but not complete data.
[00:02:15.960 --> 00:02:19.840]   And so how do you make a decision in situations like that?
[00:02:19.840 --> 00:02:21.840]   And so to get started,
[00:02:21.840 --> 00:02:25.040]   what I'd like to talk about is a mistake
[00:02:25.040 --> 00:02:26.180]   that I once made.
[00:02:26.180 --> 00:02:31.120]   So one year I was on vacation with my family,
[00:02:31.120 --> 00:02:34.440]   and this is the scene of the crime here.
[00:02:34.440 --> 00:02:36.800]   So we're in Florida, as you can see,
[00:02:36.800 --> 00:02:38.760]   and we're heading down the highway.
[00:02:38.760 --> 00:02:40.520]   We're looking for a place for lunch.
[00:02:40.520 --> 00:02:43.400]   And I knew which exit it was, and I saw it coming up,
[00:02:43.400 --> 00:02:46.020]   so I got in the right lane to get off.
[00:02:46.020 --> 00:02:47.720]   But as you can see there,
[00:02:47.720 --> 00:02:50.040]   the kind of the yellow part, if you can make it out,
[00:02:50.040 --> 00:02:51.180]   the exit was on the left.
[00:02:51.180 --> 00:02:54.600]   So needless to say, I missed the exit.
[00:02:54.600 --> 00:02:58.600]   Needless to say, faced recriminations from my family
[00:02:58.600 --> 00:03:00.600]   for spending, I don't know how much more time
[00:03:00.600 --> 00:03:04.860]   than the sort of sweltering heat and the traffic in Miami.
[00:03:04.860 --> 00:03:09.040]   But as I was sitting there hearing those recriminations,
[00:03:09.040 --> 00:03:09.880]   I started thinking about,
[00:03:09.880 --> 00:03:11.680]   well, if I had been in the center lane,
[00:03:11.680 --> 00:03:13.720]   then that actually would have been the better approach,
[00:03:13.720 --> 00:03:15.540]   because I would have hedged my bets,
[00:03:15.540 --> 00:03:18.100]   and whether the exit had been on the left,
[00:03:18.100 --> 00:03:19.620]   which is unusual, but it does happen,
[00:03:19.620 --> 00:03:22.040]   or it had been on the right like usual,
[00:03:22.040 --> 00:03:23.960]   then I wouldn't have missed my exit.
[00:03:23.960 --> 00:03:26.120]   And so that's when I started thinking first
[00:03:26.120 --> 00:03:29.640]   about this idea of the center lane, of hedging your bets.
[00:03:29.640 --> 00:03:31.240]   But if you think about it,
[00:03:31.240 --> 00:03:34.240]   that doesn't really seem like a rigorous way
[00:03:34.240 --> 00:03:36.100]   to make financial decisions, right?
[00:03:36.100 --> 00:03:40.160]   I mean, oh, let me hedge my bets, split the difference.
[00:03:40.160 --> 00:03:42.360]   That doesn't seem optimal, right?
[00:03:42.360 --> 00:03:46.580]   That doesn't seem like the right way to approach things.
[00:03:46.580 --> 00:03:48.880]   But as I thought more about it over the years,
[00:03:48.880 --> 00:03:50.840]   it occurred to me that maybe there is a way
[00:03:50.840 --> 00:03:53.280]   to use this in a helpful way.
[00:03:54.200 --> 00:03:58.840]   So, you know, what is the importance of the center lane?
[00:03:58.840 --> 00:04:01.560]   You know, you might think, well, gosh,
[00:04:01.560 --> 00:04:03.120]   if there's a way to optimize,
[00:04:03.120 --> 00:04:06.400]   isn't the optimal answer the better way, right?
[00:04:06.400 --> 00:04:09.300]   You know, shouldn't I at least try to optimize
[00:04:09.300 --> 00:04:12.640]   rather than just, you know, splitting the difference
[00:04:12.640 --> 00:04:15.800]   or going with some middle road?
[00:04:15.800 --> 00:04:18.980]   So let's look at the importance of the center lane.
[00:04:18.980 --> 00:04:22.400]   Does anyone know who this fellow is?
[00:04:23.400 --> 00:04:24.960]   Anyone identify him?
[00:04:24.960 --> 00:04:27.120]   Okay, not surprising.
[00:04:27.120 --> 00:04:30.680]   His name is Ronald Wayne, and he was a co-founder of Apple
[00:04:30.680 --> 00:04:33.640]   along with Steve Jobs and Steve Wozniak.
[00:04:33.640 --> 00:04:36.080]   But the reason why no one recognized him,
[00:04:36.080 --> 00:04:38.960]   we don't talk about him a lot, he's still alive,
[00:04:38.960 --> 00:04:43.360]   is because he sold out after just 12 days.
[00:04:43.360 --> 00:04:46.080]   The reasons are a little bit lost to history.
[00:04:46.080 --> 00:04:48.600]   Apparently, one explanation is that
[00:04:48.600 --> 00:04:50.840]   Steve Jobs just made him nervous.
[00:04:50.840 --> 00:04:53.660]   He's like, how can I work with this guy?
[00:04:53.660 --> 00:04:58.660]   And so he sold out, and you can look this up on Wikipedia,
[00:04:58.660 --> 00:05:00.000]   I don't think anyone debates it,
[00:05:00.000 --> 00:05:03.200]   he was paid $2,300 for his shares.
[00:05:03.200 --> 00:05:07.300]   Today, Apple, as you know, worth more than three trillion.
[00:05:07.300 --> 00:05:09.240]   So you could look at this and say,
[00:05:09.240 --> 00:05:12.160]   well, that's probably one of the biggest financial mistakes
[00:05:12.160 --> 00:05:13.840]   anyone has ever made, ever.
[00:05:13.840 --> 00:05:16.360]   But on the other hand, you'd say,
[00:05:16.360 --> 00:05:19.120]   well, gosh, that's with the benefit of hindsight.
[00:05:19.120 --> 00:05:22.320]   And Wayne himself, in an interview, once said,
[00:05:22.320 --> 00:05:25.160]   nobody could have anticipated how big Apple would become.
[00:05:25.160 --> 00:05:27.720]   And that's true, hindsight can be unkind.
[00:05:27.720 --> 00:05:31.720]   But I would like to argue that even Ronald Wayne,
[00:05:31.720 --> 00:05:34.440]   with the information that he had available to him
[00:05:34.440 --> 00:05:36.320]   at the time when they were just getting started,
[00:05:36.320 --> 00:05:38.320]   he could have made a different decision.
[00:05:38.320 --> 00:05:40.600]   So he started with 10%.
[00:05:40.600 --> 00:05:42.400]   If Steve Jobs made him nervous, he could have said,
[00:05:42.400 --> 00:05:45.960]   well, I'm gonna go down at 5%, or I'll go down to 1%,
[00:05:45.960 --> 00:05:48.600]   or I need to change the working relationship here,
[00:05:48.600 --> 00:05:50.520]   or the corporate structure,
[00:05:50.520 --> 00:05:53.760]   so that I can still remain a shareholder
[00:05:53.760 --> 00:05:55.800]   and potentially benefit,
[00:05:55.800 --> 00:05:59.040]   but not have to deal with whatever the dynamics were
[00:05:59.040 --> 00:05:59.880]   in the office.
[00:05:59.880 --> 00:06:01.640]   And so that's what I mean by the center lane.
[00:06:01.640 --> 00:06:04.600]   So the Wayne case is extreme,
[00:06:04.600 --> 00:06:06.360]   but these kinds of things happen all the time.
[00:06:06.360 --> 00:06:07.840]   Let's look at another example.
[00:06:07.840 --> 00:06:11.200]   This is a map of Fort Lauderdale.
[00:06:11.200 --> 00:06:13.500]   And if you can see in the upper right there,
[00:06:13.500 --> 00:06:17.840]   there's that area which is just sort of trees and wilderness.
[00:06:17.840 --> 00:06:19.680]   And that's known as Bonnet House.
[00:06:19.680 --> 00:06:24.680]   It's a very nice 35-acre parcel in Fort Lauderdale.
[00:06:24.680 --> 00:06:28.640]   And it used to be the winter home of the Bartlett family.
[00:06:28.640 --> 00:06:32.680]   A woman named Evelyn Bartlett lived there with her husband
[00:06:32.680 --> 00:06:34.480]   from the 1930s.
[00:06:34.480 --> 00:06:38.080]   And by the 1980s, though, she was widowed,
[00:06:38.080 --> 00:06:41.480]   and the property obviously had ballooned in value,
[00:06:41.480 --> 00:06:44.380]   and she had a hard time keeping up with the real estate taxes.
[00:06:44.380 --> 00:06:46.160]   So she went to the city, and she said,
[00:06:46.160 --> 00:06:50.240]   look, I'm having a hard time with the taxes.
[00:06:50.240 --> 00:06:52.760]   I will give you this property in my will,
[00:06:52.760 --> 00:06:55.920]   but in exchange, can I live here tax-free
[00:06:55.920 --> 00:06:57.840]   for the rest of my life?
[00:06:57.840 --> 00:07:00.240]   So the city took one look at the property,
[00:07:00.240 --> 00:07:02.080]   and they took one look at Mrs. Bartlett,
[00:07:02.080 --> 00:07:04.660]   who at the time was 95 years old,
[00:07:04.660 --> 00:07:09.380]   and they immediately accepted.
[00:07:09.380 --> 00:07:11.020]   So what happened?
[00:07:11.020 --> 00:07:15.760]   Mrs. Bartlett went on to live until the age of 109.
[00:07:16.280 --> 00:07:20.160]   And so apparently, according to accounts,
[00:07:20.160 --> 00:07:23.400]   because the property was so valuable, it was enormous,
[00:07:23.400 --> 00:07:26.880]   she avoided tens of millions of dollars in property taxes.
[00:07:26.880 --> 00:07:30.040]   And so Mrs. Bartlett got the better end of the deal.
[00:07:30.040 --> 00:07:32.880]   And so this is another example,
[00:07:32.880 --> 00:07:34.600]   kind of like the Ronald Wayne case.
[00:07:34.600 --> 00:07:37.640]   Could this city have done something different?
[00:07:37.640 --> 00:07:40.400]   What her proposal was, I don't want to pay any taxes at all,
[00:07:40.400 --> 00:07:41.640]   and they accepted it.
[00:07:41.640 --> 00:07:43.560]   What they could have done is to say,
[00:07:43.560 --> 00:07:45.200]   well, I don't know, you're 95,
[00:07:45.200 --> 00:07:48.960]   but maybe you've got some time left here,
[00:07:48.960 --> 00:07:51.160]   and so we'll make a deal with you.
[00:07:51.160 --> 00:07:54.360]   We'll cut your taxes by 30% or 50%.
[00:07:54.360 --> 00:07:56.520]   In other words, it didn't need to be a binary choice.
[00:07:56.520 --> 00:07:59.200]   It didn't need to be all or nothing.
[00:07:59.200 --> 00:08:03.120]   So as I said, these examples occur all the time.
[00:08:03.120 --> 00:08:04.420]   So we'll look at one more.
[00:08:04.420 --> 00:08:07.600]   I have a friend, his name is Danny,
[00:08:07.600 --> 00:08:10.160]   and he's authorized me to use his first name
[00:08:10.160 --> 00:08:11.240]   and not his last name.
[00:08:11.240 --> 00:08:13.320]   He's a smart guy.
[00:08:13.320 --> 00:08:14.400]   He went to Harvard.
[00:08:14.400 --> 00:08:16.480]   He has more than one degree from Harvard,
[00:08:16.480 --> 00:08:18.360]   and now he's an economics professor.
[00:08:18.360 --> 00:08:21.360]   But in the winter of his sophomore year,
[00:08:21.360 --> 00:08:23.280]   he made a financial mistake.
[00:08:23.280 --> 00:08:26.320]   So a group of his friends were putting money
[00:08:26.320 --> 00:08:29.600]   into a startup that another guy in their dorm
[00:08:29.600 --> 00:08:33.240]   had just launched.
[00:08:33.240 --> 00:08:35.760]   You may see where I'm going with this.
[00:08:35.760 --> 00:08:38.400]   And Danny took one look at it,
[00:08:38.400 --> 00:08:41.720]   and that's, he said, this is the dumbest idea in the world.
[00:08:41.720 --> 00:08:44.160]   And so he did not invest.
[00:08:44.160 --> 00:08:48.720]   The classmate, of course, Mark Zuckerberg.
[00:08:48.720 --> 00:08:52.360]   And so Danny and I have talked about this over the years.
[00:08:52.360 --> 00:08:55.360]   And as an economist, he's pretty thoughtful about it.
[00:08:55.360 --> 00:09:00.360]   And sure, we have the same problem as with Ronald Wayne.
[00:09:00.360 --> 00:09:03.200]   There's the hindsight problem.
[00:09:03.200 --> 00:09:04.800]   But I think Danny agrees
[00:09:04.800 --> 00:09:07.680]   that he could have made a different decision.
[00:09:07.680 --> 00:09:09.880]   I don't know how much savings he had as a college sophomore,
[00:09:09.880 --> 00:09:13.840]   but he could have said, well, this seems dumb to me,
[00:09:13.840 --> 00:09:16.080]   but I don't know, other people might like it,
[00:09:16.080 --> 00:09:18.720]   so maybe I'll put something into it.
[00:09:18.720 --> 00:09:22.000]   So again, doesn't need to be a binary decision.
[00:09:22.000 --> 00:09:23.440]   He could have taken a middle path.
[00:09:23.440 --> 00:09:25.880]   That's what I call the center lane.
[00:09:25.880 --> 00:09:30.400]   And so what exactly does this mean?
[00:09:30.400 --> 00:09:33.560]   If you were Ronald Wayne or the city of Fort Lauderdale
[00:09:33.560 --> 00:09:37.280]   or my friend Danny, what could you have done?
[00:09:37.280 --> 00:09:39.280]   What are the alternatives exactly?
[00:09:40.280 --> 00:09:42.920]   So I keep referring to splitting the difference.
[00:09:42.920 --> 00:09:45.640]   And is that the only answer?
[00:09:45.640 --> 00:09:47.560]   And so I think there's a distinction to be made
[00:09:47.560 --> 00:09:49.360]   when you're making financial decisions,
[00:09:49.360 --> 00:09:52.040]   which is that there are some decisions
[00:09:52.040 --> 00:09:54.760]   where there really is no data to go on.
[00:09:54.760 --> 00:09:57.760]   There is no logical basis
[00:09:57.760 --> 00:10:00.960]   on which to make a determination.
[00:10:00.960 --> 00:10:03.400]   So in this example here,
[00:10:03.400 --> 00:10:05.360]   you're splitting the last piece of pie.
[00:10:05.360 --> 00:10:08.440]   In my house with all boys, it's not always fair
[00:10:08.440 --> 00:10:09.480]   how the division goes,
[00:10:09.480 --> 00:10:12.720]   but that's the sort of situation where you'd say,
[00:10:12.720 --> 00:10:15.320]   well, just split it evenly.
[00:10:15.320 --> 00:10:16.920]   But there are lots of other cases,
[00:10:16.920 --> 00:10:20.080]   and I think this applies to a lot of financial decisions
[00:10:20.080 --> 00:10:22.600]   where you could say, well, it shouldn't just be 50/50.
[00:10:22.600 --> 00:10:23.960]   So splitting the difference
[00:10:23.960 --> 00:10:27.640]   really is not the right way to go.
[00:10:27.640 --> 00:10:30.200]   And what are some financial decisions
[00:10:30.200 --> 00:10:32.480]   that are sort of like splitting the pie?
[00:10:32.480 --> 00:10:35.680]   It might be, say you're considering a Roth conversion
[00:10:35.680 --> 00:10:37.360]   and you do the math and you say,
[00:10:37.360 --> 00:10:39.840]   well, my tax rate today
[00:10:39.840 --> 00:10:41.520]   is probably gonna be pretty similar
[00:10:41.520 --> 00:10:43.280]   to my tax rate in the future.
[00:10:43.280 --> 00:10:46.800]   And so it doesn't really argue strongly
[00:10:46.800 --> 00:10:48.040]   one way or the other.
[00:10:48.040 --> 00:10:50.400]   And so in that case, you might just split the difference.
[00:10:50.400 --> 00:10:52.320]   But there are other cases where you say,
[00:10:52.320 --> 00:10:54.040]   well, there is some data to go on
[00:10:54.040 --> 00:10:56.200]   and let's use a different approach.
[00:10:56.200 --> 00:11:00.200]   So this book was published last year.
[00:11:00.200 --> 00:11:02.160]   I'm not sure if you're familiar with Cass Sunstein.
[00:11:02.160 --> 00:11:03.200]   He's an academic.
[00:11:03.200 --> 00:11:04.520]   He's actually co-authored
[00:11:04.560 --> 00:11:07.440]   with a number of pretty well-known folks,
[00:11:07.440 --> 00:11:10.560]   including Danny Kahneman in behavioral finance.
[00:11:10.560 --> 00:11:14.960]   And so in this book, he offers one suggestion.
[00:11:14.960 --> 00:11:18.720]   He talks about when you're trying to weigh a decision,
[00:11:18.720 --> 00:11:21.000]   he says, weigh the cost of being wrong
[00:11:21.000 --> 00:11:23.080]   versus the benefit of being right.
[00:11:23.080 --> 00:11:26.760]   The cost of being wrong against the benefit of being right.
[00:11:26.760 --> 00:11:31.120]   And those are both easier to kind of get your arms around
[00:11:31.120 --> 00:11:33.640]   than just simply trying to predict the future
[00:11:33.640 --> 00:11:36.000]   with nothing else to go on.
[00:11:36.000 --> 00:11:37.880]   Because at least you can say,
[00:11:37.880 --> 00:11:40.600]   if you think back to whether it was Ronald Wayne
[00:11:40.600 --> 00:11:42.120]   or Danny or anyone else,
[00:11:42.120 --> 00:11:45.080]   you could say, well, let me try to put some numbers on this.
[00:11:45.080 --> 00:11:47.040]   And so suppose you were Ronald Wayne.
[00:11:47.040 --> 00:11:49.080]   He looked at Apple and he said,
[00:11:49.080 --> 00:11:52.080]   okay, well, I see the computer error is starting.
[00:11:52.080 --> 00:11:53.280]   This could be big.
[00:11:53.280 --> 00:11:56.920]   Obviously, a company worth trillions,
[00:11:56.920 --> 00:11:58.880]   no one ever could have estimated that.
[00:11:58.880 --> 00:12:00.400]   But he could have said,
[00:12:00.400 --> 00:12:03.520]   what if the company is worth 500,000
[00:12:03.520 --> 00:12:06.120]   or even a million at some point?
[00:12:06.120 --> 00:12:08.840]   That wouldn't have been an unreasonable guess.
[00:12:08.840 --> 00:12:10.040]   And then he could have done the math and said,
[00:12:10.040 --> 00:12:12.520]   well, what will my 10% share be worth?
[00:12:12.520 --> 00:12:15.440]   And it probably would have come out to way more
[00:12:15.440 --> 00:12:17.840]   than the 2,300 that he received.
[00:12:17.840 --> 00:12:21.240]   So that's one approach that you can take is to just say,
[00:12:21.240 --> 00:12:23.640]   well, let me put some numbers on this.
[00:12:23.640 --> 00:12:26.800]   A similar example, when it comes to Facebook,
[00:12:26.800 --> 00:12:29.920]   I remember talking to a pretty well-known venture capitalist
[00:12:29.920 --> 00:12:34.360]   was in 2005, so just a year after they got started.
[00:12:34.360 --> 00:12:35.440]   But Facebook, if you remember,
[00:12:35.440 --> 00:12:37.200]   it got off to a pretty quick start.
[00:12:37.200 --> 00:12:39.200]   And he looked at it and he said,
[00:12:39.200 --> 00:12:42.040]   yeah, based on other types of deals and IPOs,
[00:12:42.040 --> 00:12:45.160]   he said, I think the company would be worth 300 million.
[00:12:45.160 --> 00:12:48.920]   And if I'm doing my math right, I think he was way off.
[00:12:48.920 --> 00:12:50.800]   He was off by a factor of 5,000.
[00:12:50.800 --> 00:12:53.560]   So Facebook's now worth more than 1 trillion.
[00:12:53.560 --> 00:12:57.520]   But if you had done that math,
[00:12:57.520 --> 00:13:00.320]   and even though he was way, way off,
[00:13:00.320 --> 00:13:01.960]   it would have led you to a decision
[00:13:01.960 --> 00:13:03.080]   that was in the right direction.
[00:13:03.080 --> 00:13:06.320]   And so I think that this is an important idea,
[00:13:06.320 --> 00:13:10.200]   which is just to say, well, what's the cost of being wrong
[00:13:10.200 --> 00:13:12.720]   versus the benefit of being right?
[00:13:12.720 --> 00:13:15.200]   And often with investments,
[00:13:15.200 --> 00:13:17.560]   especially as the previous speakers were talking about,
[00:13:17.560 --> 00:13:19.880]   if you have a diversified portfolio,
[00:13:19.880 --> 00:13:23.360]   you're not talking about putting your entire net worth
[00:13:23.360 --> 00:13:25.480]   into something which is unproven.
[00:13:25.480 --> 00:13:27.960]   You're talking about making some bet.
[00:13:27.960 --> 00:13:32.000]   And hopefully it's a reasonable size bet.
[00:13:32.000 --> 00:13:35.160]   But the key is to think about,
[00:13:35.160 --> 00:13:36.680]   well, what would be the upside?
[00:13:36.680 --> 00:13:39.280]   And not just to dismiss it, like Danny and say,
[00:13:39.280 --> 00:13:41.160]   well, that's the dumbest idea in the world.
[00:13:41.160 --> 00:13:43.440]   And so therefore it's gotta be worth zero.
[00:13:43.440 --> 00:13:47.160]   Okay, let's look at another framework.
[00:13:47.160 --> 00:13:48.000]   Another approach,
[00:13:48.000 --> 00:13:50.300]   if you're thinking about a financial decision,
[00:13:50.300 --> 00:13:54.080]   is to say, well, how much do I need this to work?
[00:13:54.080 --> 00:13:56.160]   So in the prior slide,
[00:13:56.160 --> 00:13:59.600]   what we were looking at is to think about the upside.
[00:13:59.600 --> 00:14:02.160]   Now we wanna also think about the downside, right?
[00:14:02.160 --> 00:14:03.380]   And risk management.
[00:14:03.380 --> 00:14:07.440]   And so if you think about it, in this case,
[00:14:07.440 --> 00:14:11.260]   this person here really needs this bridge to hold.
[00:14:11.260 --> 00:14:15.160]   And so let's put that in financial terms.
[00:14:15.160 --> 00:14:18.320]   Suppose you're trying to make an asset allocation decision.
[00:14:18.320 --> 00:14:22.800]   And just as an illustration, let's imagine two people.
[00:14:22.800 --> 00:14:25.800]   One is Bill Gates and one is more like an average person.
[00:14:25.800 --> 00:14:29.360]   So when it comes to Bill Gates,
[00:14:29.360 --> 00:14:30.960]   he could have it all in socks
[00:14:30.960 --> 00:14:33.920]   or he could have it all under his mattress, right?
[00:14:33.920 --> 00:14:35.920]   It wouldn't matter either way.
[00:14:35.920 --> 00:14:39.280]   There are costs to being at either extreme,
[00:14:39.280 --> 00:14:41.340]   but it wouldn't hurt him.
[00:14:41.340 --> 00:14:44.660]   But if you look at the sort of more average person,
[00:14:44.660 --> 00:14:47.280]   suppose it's somebody who doesn't have a lot of savings
[00:14:47.280 --> 00:14:48.640]   and it's a young person.
[00:14:48.640 --> 00:14:50.480]   They just have some cash in the bank
[00:14:50.480 --> 00:14:53.820]   and they're looking to put a down payment on a home.
[00:14:53.820 --> 00:14:55.640]   Well, in that case,
[00:14:55.640 --> 00:14:59.440]   that probably should remain entirely in cash.
[00:14:59.440 --> 00:15:01.340]   There's no reason that that person
[00:15:01.340 --> 00:15:03.100]   should be investing in the stock market
[00:15:03.100 --> 00:15:07.160]   because the risk of loss is too extreme.
[00:15:07.160 --> 00:15:10.460]   And if they need to put the down payment down anytime soon,
[00:15:10.460 --> 00:15:13.400]   then that's just an intolerable loss.
[00:15:13.400 --> 00:15:15.080]   And so I think that's another filter,
[00:15:15.080 --> 00:15:18.020]   which is how much does this decision matter?
[00:15:19.440 --> 00:15:24.160]   Okay, that's the theory, but how do we apply this?
[00:15:24.160 --> 00:15:25.720]   Let's look in some more detail
[00:15:25.720 --> 00:15:28.160]   at some common financial questions.
[00:15:28.160 --> 00:15:31.540]   We'll start with the Boglehead.
[00:15:31.540 --> 00:15:33.760]   I don't know if you saw the article
[00:15:33.760 --> 00:15:35.560]   that Mike Piper published.
[00:15:35.560 --> 00:15:37.120]   I believe it was last year.
[00:15:37.120 --> 00:15:40.560]   And he compared asset allocation to making a fruit salad.
[00:15:40.560 --> 00:15:42.260]   And if you haven't read this, it's a classic.
[00:15:42.260 --> 00:15:43.140]   It's fantastic.
[00:15:43.140 --> 00:15:46.120]   And he says, if you put in more blueberries,
[00:15:46.120 --> 00:15:47.680]   he says, nothing magical happens,
[00:15:47.680 --> 00:15:49.120]   nor is there any disaster.
[00:15:49.120 --> 00:15:52.400]   And it's a great way of describing diversification.
[00:15:52.400 --> 00:15:55.540]   And I think that people really beat each other up
[00:15:55.540 --> 00:15:56.800]   over a lot of decisions.
[00:15:56.800 --> 00:15:59.160]   And we saw it in the prior discussion
[00:15:59.160 --> 00:16:02.840]   about should I have 20% in international
[00:16:02.840 --> 00:16:04.440]   or should I have 30%?
[00:16:04.440 --> 00:16:07.280]   Some people say, well, have the market weight
[00:16:07.280 --> 00:16:09.660]   in international, 40 or 50%.
[00:16:09.660 --> 00:16:11.920]   Or how about growth versus value?
[00:16:11.920 --> 00:16:13.000]   Should I have a tilt there?
[00:16:13.000 --> 00:16:14.200]   Does it matter?
[00:16:14.200 --> 00:16:15.680]   Is there gonna be mean reversion?
[00:16:15.680 --> 00:16:19.720]   And I think that people, they beat each other up about this
[00:16:19.720 --> 00:16:21.720]   and they kind of go round and round.
[00:16:21.720 --> 00:16:25.040]   But if you go back to Cass Sunstein,
[00:16:25.040 --> 00:16:28.280]   just think about what would be the cost of being wrong?
[00:16:28.280 --> 00:16:31.160]   Or if you wanna go back to my old boss,
[00:16:31.160 --> 00:16:34.000]   just think about the importance
[00:16:34.000 --> 00:16:37.120]   or I should say the impact of recency bias.
[00:16:37.120 --> 00:16:38.120]   It's really powerful.
[00:16:38.120 --> 00:16:40.240]   And in recent years, I don't know how many times
[00:16:40.240 --> 00:16:42.920]   people have said, why don't I just put it all
[00:16:42.920 --> 00:16:44.360]   on the S&P 500?
[00:16:44.360 --> 00:16:46.800]   Why am I messing around with any of this other stuff?
[00:16:46.800 --> 00:16:48.760]   It looks like that's just the simple,
[00:16:48.760 --> 00:16:51.440]   that's the easy button, just put all on the S&P 500.
[00:16:51.440 --> 00:16:56.440]   And so I think it is, I would echo what Christine had said
[00:16:56.440 --> 00:16:59.760]   in her discussions with other advisors
[00:16:59.760 --> 00:17:04.000]   that it is the hardest thing to convince people
[00:17:04.000 --> 00:17:05.680]   to keep putting money into something
[00:17:05.680 --> 00:17:07.920]   which has just been practically a perennial loser,
[00:17:07.920 --> 00:17:10.320]   whether it's value stocks or international.
[00:17:10.320 --> 00:17:14.160]   But my view and sort of the center lane approach
[00:17:14.160 --> 00:17:18.000]   would be to say, well, don't go too far out on a limb
[00:17:18.000 --> 00:17:19.560]   in any one direction, right?
[00:17:19.560 --> 00:17:22.720]   And I think the recency bias is a good caution
[00:17:22.720 --> 00:17:25.920]   for everybody because if you decide,
[00:17:25.920 --> 00:17:27.480]   well, you know what, forget everything else,
[00:17:27.480 --> 00:17:30.160]   I'll just put it all on the S&P 500.
[00:17:30.160 --> 00:17:34.420]   Well, things can change and it's better to remain balanced.
[00:17:34.420 --> 00:17:38.080]   Another perspective on asset allocation
[00:17:38.080 --> 00:17:41.440]   comes from Morgan Housel, he described an old coach
[00:17:41.440 --> 00:17:44.160]   and he said, 1/3 of your days should feel good,
[00:17:44.160 --> 00:17:48.000]   1/3 should feel okay and 1/3 should feel terrible.
[00:17:48.000 --> 00:17:49.720]   He says, if it's always terrible, you're doing it wrong,
[00:17:49.720 --> 00:17:53.400]   if it's always great, then also you're not doing it right.
