
[00:00:00.400 --> 00:00:06.800]   in recent weeks there has been a lot of turmoil surrounding ai technology it increasingly seems now
[00:07:16.400 --> 00:07:22.960]   scratch using your brain is kind of demanding and it benefits from being able to give it undistracted
[00:07:22.960 --> 00:07:27.600]   focus in the modern knowledge economy the core argument i make in my book on deep work is that
[00:07:27.600 --> 00:07:32.320]   this is the effort that creates most of the stuff that's actually valuable to the marketplace all the
[00:07:32.320 --> 00:07:36.640]   other things we do the emails the meetings the filling out the forms the submitting the things the
[00:07:36.640 --> 00:07:42.560]   tickets to it the making the powerpoint presentations that's basically all efforts that support deep work
[00:07:42.560 --> 00:07:46.960]   the stuff we have to do to keep the lights on and tell people about what we did but you can't run
[00:07:46.960 --> 00:07:50.880]   a profitable company just off of email meetings and powerpoints ultimately someone has to actually
[00:07:50.880 --> 00:07:56.480]   create something valuable using their brain and that requires deep work so in this study we had
[00:07:56.480 --> 00:08:02.640]   programmers doing deep work who used ai to help them and they thought that would make their deep work
[00:08:02.640 --> 00:08:09.520]   more productive but in reality it made things worse great so now we're narrowing in on the answer to
[00:08:09.520 --> 00:08:13.520]   this paradox so we know what these programmers are doing deep work and we know that ai wasn't helping
[00:08:13.520 --> 00:08:21.920]   them so let's narrow in this question even farther how specifically were these programmers integrating
[00:08:21.920 --> 00:08:29.520]   the ai tools they were using into their deep work efforts according to the study authors the
[00:08:29.520 --> 00:08:36.560]   programmers were working interactively with these tools so what they were doing was a lot of can you
[00:08:36.560 --> 00:08:41.920]   produce me this code i'll look at this code hey can you fix this about it or this is not working so
[00:08:41.920 --> 00:08:46.480]   kind of back and forth like that or here's some code you see any mistakes great then the the programmer
[00:08:46.480 --> 00:08:50.480]   would run it and be like it's still not quite working right can you try to fix it here so it's a
[00:08:50.480 --> 00:08:56.720]   very interactive loop they were going back and forth having code produced checking the code having the ai
[00:08:56.720 --> 00:09:01.760]   check the code looking at what it sent back so think of it as like a a back and forth interaction
[00:09:03.280 --> 00:09:11.120]   um here is how let me see here here is how the uh paper itself describes this let's see here okay here
[00:09:11.120 --> 00:09:17.760]   we go here's text from the actual paper about this collaboration when allowed to use ai developers spend a
[00:09:17.760 --> 00:09:23.680]   smaller proportion of their time actively coding and reading searching for information instead they spend
[00:09:23.680 --> 00:09:29.760]   time reviewing ai outputs prompting ai systems and waiting for ai generations interestingly they also spend a somewhat
[00:09:29.760 --> 00:09:33.280]   higher proportion of their time idle where their screen recording doesn't show any activity so
[00:09:33.280 --> 00:09:40.800]   the non-ai group when they're working on a task without a without ai is more time makes sense like
[00:09:40.800 --> 00:09:46.720]   actually writing code and the ai group is spending more time prompting asking for code asking for it to
[00:09:46.720 --> 00:09:51.120]   check code so it's more of this like interactive loop i'm going to give a name to this
[00:09:52.640 --> 00:09:57.280]   let's call this cybernetic collaboration because these programmers are collaborating on their deep
[00:09:57.280 --> 00:10:02.880]   work with a computer so it's cybernetic and they're collaborating let's call it cybernetic collaboration
[00:10:02.880 --> 00:10:08.320]   they're basically trying to split the cognitive effort of producing this code or fixing this code between
[00:10:08.320 --> 00:10:18.000]   them and this digital mind now intuitively cybernet collaboration should make you more productive why not
[00:10:18.000 --> 00:10:22.480]   right like you're you don't have to do as much deep work anymore because you're offloading some of it
[00:10:22.480 --> 00:10:27.120]   to a machine and machines are fast and machines are precise and hey this seems like you've just made
[00:10:27.120 --> 00:10:34.000]   things more productive but of course that didn't happen so now we've really narrowed in this paradox
[00:10:34.000 --> 00:10:38.800]   they're doing deep work they're collaborating interactively doing cybernetic collaboration with
[00:10:38.800 --> 00:10:43.440]   the ai while they're doing deep work and that is not returning more productivity it's still taking them
[00:10:43.440 --> 00:10:48.720]   longer to produce stuff than when they weren't using ai at all so let's narrow in even farther
[00:10:48.720 --> 00:10:56.880]   and let's step back now and ask the question what role does collaboration play in deep work is that
[00:10:56.880 --> 00:11:02.960]   something that you can do with multiple minds now this is actually an important question because a lot
[00:11:02.960 --> 00:11:08.640]   of people who had a glancing encounter with my book on deep work assumed that it had to be solitary
[00:11:09.440 --> 00:11:15.680]   but it doesn't actually i know a lot about collaborative deep work because this was one of
[00:11:15.680 --> 00:11:20.960]   the core skills i had mastered as a theoretical computer scientist like this is if anyone knows
[00:11:20.960 --> 00:11:26.640]   how to do collaborative deep work it's scientists that do math theory like me i learned how to do
[00:11:26.640 --> 00:11:32.080]   collaborative deep work first at mit when i was doing my doctoral work and then refined these skills as
[00:11:32.080 --> 00:11:37.760]   uh faculty computer science science faculty at georgetown i write in my book deep work about
[00:11:37.760 --> 00:11:46.320]   how to do it successfully collaboratively so yes deep work can be done collaboratively but how is it done
[00:11:46.320 --> 00:11:50.640]   successfully if you want to do deep work with someone else you want to collaborate in practice if
[00:11:50.640 --> 00:11:57.440]   you're hanging out with mathematicians how do we do collaborative deep work uh successfully well here's
[00:11:57.440 --> 00:12:04.240]   the thing you talk to any professional thinker who does this they'll say the same the reason why
[00:12:04.240 --> 00:12:10.640]   collaboration i guess i should say the way you make collaboration help with deep work is that you use
[00:12:10.640 --> 00:12:18.640]   the presence of other people to increase the intensity and duration of your focus so the underlying formula
[00:12:20.320 --> 00:12:26.480]   focus produces results deeper focus produces better results that formula reigns supreme so when i would
[00:12:26.480 --> 00:12:30.480]   sit down with my frequent collaborators to work on some sort of theorem or some sort of paper we're
[00:12:30.480 --> 00:12:35.600]   working on the whole game was trying to get even more intense focus here's how this works if i'm sitting
[00:12:35.600 --> 00:12:43.840]   at a whiteboard with two other mathematicians a couple things happen one i'm going to maintain my focus
[00:12:43.840 --> 00:12:48.480]   on this problem much longer than if i'm just alone looking at a notebook why because if i'm alone
[00:12:49.280 --> 00:12:54.480]   there's very little penalty for me allowing my attention to wander ah this is hard let me just
[00:12:54.480 --> 00:12:58.800]   like let my attention wander let me let some of the steam out of the metaphorical steam engine here
[00:12:58.800 --> 00:13:04.000]   let me go check something else nothing bad happens if i do it's just me trying to contain myself
[00:13:04.000 --> 00:13:10.000]   if i'm at a whiteboard with two other mathematicians however and i let my attention wander i lose the
[00:13:10.000 --> 00:13:13.840]   threat of thought and then what do i have to do a couple minutes later something that's kind of
[00:13:13.840 --> 00:13:18.800]   embarrassing i have to like hold on hold on go back i missed what you guys were just saying here
[00:13:19.520 --> 00:13:23.840]   because i let my mind wander everyone has to stop everyone has to go back so the social pressure
[00:13:23.840 --> 00:13:28.880]   of keeping up means that you keep your intensity longer the other thing that happens when you're
[00:13:28.880 --> 00:13:32.960]   working with other people is it pushes your intensity of concentration deeper right because
[00:13:32.960 --> 00:13:37.280]   you're sitting there trying to understand this someone has a breakthrough like okay hear me out and
[00:13:37.280 --> 00:13:41.760]   they go up to the whiteboard and they start working on some sort of like complicated simplification of
[00:13:41.760 --> 00:13:46.480]   an equation or some sort of graph construction and you're like man i gotta really lock in to follow
[00:13:46.480 --> 00:13:52.320]   this right someone is trying to download something complicated they just had an insight about to my
[00:13:52.320 --> 00:13:58.960]   brain and the only way to get there is to like really lock in and focus so it's a focus accelerator
[00:13:58.960 --> 00:14:04.640]   that is what you get when you're doing deep work i think it's off there now but jesse that whiteboard
[00:14:04.640 --> 00:14:08.960]   we had here in the hq for i used to bring like during the pandemic starting the pandemic used to
[00:14:08.960 --> 00:14:13.200]   bring my collaborators from hopkins and georgetown they'd come here and we'd work on the whiteboard
[00:14:13.200 --> 00:14:17.440]   yeah i don't know if it's still up there or not but like the last thing that there was so we would
[00:14:17.440 --> 00:14:20.800]   sit at that literal whiteboard and the last thing that was up there for a couple years we actually won
[00:14:20.800 --> 00:14:25.520]   an award for that paper so maybe i should have kept that it's a good paper but yeah that's what we do
[00:14:25.520 --> 00:14:29.360]   so uh there's other advantages of working with other people but this is like one of the big
[00:14:29.360 --> 00:14:34.960]   things you get out of deep work if you collaborate right is that it makes you focus harder and focus
[00:14:34.960 --> 00:14:39.920]   longer so again there's this underlying equation intensity of focus times time is how much you
[00:14:39.920 --> 00:14:44.800]   produce when you're doing cognitively demanding work that still reigns so collaboration all you're doing
[00:14:44.800 --> 00:14:50.320]   if you're doing it right on hard things is getting more focus you're squeezing more focus out of it
[00:14:50.320 --> 00:14:55.680]   i call that the whiteboard effect in my book go back to cybernetic collaboration that's not what
[00:14:55.680 --> 00:15:02.560]   these programmers are doing they are using collaboration with ai to reduce the amount of
[00:15:02.560 --> 00:15:08.160]   intensity of focus they have to experience to get those breaks you produce it i'll look at it
[00:15:08.160 --> 00:15:14.560]   and it's easier for me to try to debug what you did that was broken than it is for me to have to
[00:15:14.560 --> 00:15:19.840]   produce it from scratch it's easier for me to have these nice breaks while i'm waiting for the ai model to
[00:15:19.840 --> 00:15:24.560]   generate the code i'm going to look at which can take a little while we know this jesse because we get
[00:15:24.560 --> 00:15:29.760]   this question all the time now what should i do while waiting for the ai model to produce my code
[00:15:29.760 --> 00:15:35.520]   like we only put it on the show like once but we get this question a lot so that gives you a break so
[00:15:35.520 --> 00:15:40.800]   it makes the experience more pleasant there's actually the the authors of this say this somewhere
[00:15:40.800 --> 00:15:45.920]   in the study that it was a more pleasant experience for the programmers because you get all these breaks
[00:15:45.920 --> 00:15:50.320]   you don't have to be locked in when you're just looking at the bank blank coding page no word no piece
[00:15:50.320 --> 00:15:54.000]   of code is going to get there until you come up with it and write it it's really hard there's no real
[00:15:54.000 --> 00:15:58.000]   break until you tell yourself to take a break because you're trying to get all this code together
[00:15:58.000 --> 00:16:02.560]   compiling for small programs is fast too you don't get much of a break from it and so it's much more
[00:16:02.560 --> 00:16:07.600]   pleasant cybernet collaboration means much less uh much less intensity of focus much less duration
[00:16:07.600 --> 00:16:15.200]   of focus it takes less energy it feels nicer but that's why they're slower because intensity of focus
[00:16:15.200 --> 00:16:18.800]   is what tells you how fast you're going to go intensity of focus tells you how good the stuff
[00:16:18.800 --> 00:16:23.600]   you're going to produce is when it comes to deep work so the whiteboard effect says yeah come work
[00:16:23.600 --> 00:16:29.440]   with me so i can focus harder good stuff gets produced cybernet collaboration by contrast says i
[00:16:29.440 --> 00:16:34.000]   want a computer to offload some of the work so i get a lot more breaks but that means my brain
[00:16:34.880 --> 00:16:40.720]   is producing a lot less slower less quality stuff and that is why the time required to get the work
[00:16:40.720 --> 00:16:47.520]   done begins to go down now like look if the machine was actually able to take over all of the deep work
[00:16:47.520 --> 00:16:52.640]   that would be different if you could literally just say vibe code this program and then commit it
[00:16:52.640 --> 00:16:56.240]   that'd be great because now you're like i don't do any deep work at all but of course the machine
[00:16:56.800 --> 00:17:01.760]   the machine can't do that in cybernet collaboration they can't do that yet so now you're doing this
[00:17:01.760 --> 00:17:06.880]   back and forth dance where you ultimately still have to come up with the questions and edit the code and
[00:17:06.880 --> 00:17:10.800]   get everything to work but you're cutting down your intensity of focus so the whole operation inside
[00:17:10.800 --> 00:17:16.240]   your brain is going slower i want to bring up another quote here this is from an article from
[00:17:16.240 --> 00:17:22.400]   the atlantic that was written by roger karma and it talked about this study among other things the
[00:17:22.400 --> 00:17:28.320]   title of this article is just how bad would an ai bubble be and it really is about ai and productivity
[00:17:28.320 --> 00:17:33.840]   i'm quoted towards the end of this article it's a good article but here's what he heard from the meter
[00:17:33.840 --> 00:17:39.040]   developers about what was actually happening as they were doing this sort of cybernetic collaboration so
[00:17:39.040 --> 00:17:44.400]   let me quote here even the most advanced systems make small mistakes or slightly misunderstand directions
[00:17:44.400 --> 00:17:49.280]   requiring a human to carefully review their work and make changes where needed this appears to be what
[00:17:49.280 --> 00:17:53.440]   happened during the meter study developers ended up spending a lot of time checking and redoing the
[00:17:53.440 --> 00:17:58.640]   code that ai systems had produced often times often more time than it would have taken simply to write
[00:17:58.640 --> 00:18:04.720]   it themselves right so they were just in this loop of you riot i'll look at it you debug let me look at
[00:18:04.720 --> 00:18:11.040]   what you're doing but because they were avoiding the full intensity of focus that they're capable of
[00:18:11.040 --> 00:18:15.440]   because they avoided maintaining their focus without having context shifts or other distraction
[00:18:16.400 --> 00:18:21.840]   the work they were doing was just like not at their peak so now you you're doing all this work of
[00:18:21.840 --> 00:18:27.120]   cleaning stuff up and you're not operating at your peak this is the potential danger of cybernetic
[00:18:27.120 --> 00:18:36.640]   collaboration that when you downshift your mind let me downshift my focus intensity it just doesn't work as
[00:18:36.640 --> 00:18:42.800]   well it might feel nice but deep work doesn't really have a lot to do with nice all right so that's what
[00:18:42.800 --> 00:18:48.240]   seems to be going on there so some combination of this rhythm of going back and forth creates like a
[00:18:48.240 --> 00:18:53.040]   lot of work you might not have had to do before and more importantly it reduces the gear which your brain
[00:18:53.040 --> 00:18:57.360]   is operating so these programmers were just it was pleasant but they were producing you know stuff
[00:18:57.360 --> 00:19:02.080]   slower it was taking them longer to figure things out that's my one of my understandings from what is
[00:19:02.080 --> 00:19:07.200]   going on there uh but let's summarize this all the end of our deep dives we like to do some takeaways
[00:19:07.200 --> 00:19:11.920]   we've been experimenting with music our last takeaway theme music which i thought sounded like the
[00:19:11.920 --> 00:19:17.120]   beginning of a cable show about bass fishing a little aggressive so we're going to go a different
[00:19:17.120 --> 00:19:21.840]   way today for our takeaway theme music we're going to do something a little more you say jesse
[00:19:21.840 --> 00:19:26.800]   intellectual yeah calming all right so let's let's do our takeaways with a little bit of calming
[00:19:26.800 --> 00:19:37.920]   background music all right so what are our takeaways deep work rewards intensity of focus
[00:19:37.920 --> 00:19:42.320]   and if you add anything into your workflow that's going to reduce this intensity
[00:19:42.320 --> 00:19:48.320]   you'll probably get less productive this seems to be the trap that a lot of knowledge workers
[00:19:48.320 --> 00:19:54.880]   experimenting with ai right now are falling into focus is hard it doesn't feel pleasant
[00:19:54.880 --> 00:20:01.920]   it's tempting to try to make it go away but that doesn't make your work better now i'm absolutely
[00:20:01.920 --> 00:20:07.600]   convinced that there will be upcoming applications of ai that will help our productivity i think they
[00:20:07.600 --> 00:20:13.280]   will focus more on automating shallow tasks or speeding up things that don't require you to focus
[00:20:14.160 --> 00:20:20.960]   but cybernetic collaboration that is not the key to the ai future focus remains absolutely essential
[00:20:20.960 --> 00:20:26.560]   to doing deep work and for now it remains something that has to be hard to do
[00:20:26.560 --> 00:20:32.640]   i feel like we should slowly high five or something
[00:20:32.640 --> 00:20:40.640]   we did it so there we go there's a lot of other things going on in that study but i mean i think that's
[00:20:40.640 --> 00:20:45.520]   a lot of what's going on to it it's like look deep work is hard it's tempting to make deep work easier
[00:20:45.520 --> 00:20:48.400]   ai can help you do it but doesn't mean you're going to produce more work
[00:20:48.400 --> 00:20:54.640]   i love the takeaway portion of the deep dive segments now i'm working on it i think we're
[00:20:54.640 --> 00:20:57.920]   still working out the kinks but i like because while you're going through it i it's just so the
[00:20:57.920 --> 00:21:01.600]   audience knows i don't necessarily know what you're going to say and i was like well what do i do
[00:21:01.600 --> 00:21:06.720]   yeah so i mean i think it's good like sometimes it's advice and sometimes like here is the core
[00:21:06.720 --> 00:21:10.160]   message like here's the here's the thing i'm taking away from it so anyways that's a cool study
[00:21:10.160 --> 00:21:13.440]   man there's so much controversy around it like a lot of programmers are like well they don't know
[00:21:13.440 --> 00:21:17.520]   how to use the ai tools not true actually these are tools they got to choose which tools they use
[00:21:17.520 --> 00:21:22.000]   and these were developers that largely were already using these tools so you know there's always that
[00:21:22.000 --> 00:21:25.920]   argument of like well they're just using it wrong another argument it's a small study yeah it is small
[00:21:25.920 --> 00:21:30.000]   but it's a good signal it was a pretty clear signal it's pretty well designed
[00:21:30.000 --> 00:21:35.760]   another argument which i think is more important is some people will say yes that use of ai or you
[00:21:35.760 --> 00:21:40.320]   have it generating code from scratch is slower other uses where you're just automating like
[00:21:40.320 --> 00:21:44.800]   looking up information making that faster i believe that would make a programmer more productive so it
[00:21:44.800 --> 00:21:50.000]   does kind of uh that's not trying to get in the way of the deep work it's trying to speed up the things
[00:21:50.000 --> 00:21:54.240]   that's not deep work so you can spend more time doing deep work but basically i'm i'm sort of like a
[00:21:54.240 --> 00:22:00.800]   human a humanist intellectual chauvinist here the brain focusing hard is an incredibly powerful tool
[00:22:01.360 --> 00:22:05.360]   be wary of things that gets in the way of that i mean unless you really can just like outsource to
[00:22:05.360 --> 00:22:11.360]   work completely it might it might be some fool's gold all right we got good questions coming up got a
[00:22:11.360 --> 00:22:17.200]   good final segment this one will be interesting to jesse i did a little bit of original data journalism
[00:22:17.200 --> 00:22:22.640]   there's a claim out there that i'm looking into and the scene like is this claim true i actually looked
[00:22:22.640 --> 00:22:27.360]   up some data from something something it'll be kind of fun just investigate journalism but first
[00:22:28.160 --> 00:22:32.000]   before we get to the questions we have to do the thing that everyone is most interested in
[00:22:32.000 --> 00:22:38.640]   which is hearing from a sponsor jesse we have to talk about cozy earth as listeners know i'm a huge
[00:22:38.640 --> 00:22:43.280]   fan of their sheets they're the most comfortable sheets we own i think we have something like three
[00:22:43.280 --> 00:22:48.400]   different sets to rotate through we travel with them when we're away in our house rentals in the summer
[00:22:48.400 --> 00:22:52.240]   i will say this jesse if i was invited to stay in the lincoln bedroom
[00:22:53.200 --> 00:22:59.680]   at the white house i think my first question would be what type of sheets do you have second question
[00:22:59.680 --> 00:23:03.760]   would be why are you inviting me but first question would be what type of sheets you have
[00:23:03.760 --> 00:23:09.280]   but cozy earth here's what i'm excited about they've got some a new product one that i have been
[00:23:09.280 --> 00:23:14.320]   waiting for right so i'm a professor i'm a writer this means i'm not wearing a suit and going to an
[00:23:14.320 --> 00:23:18.720]   office every day and so i often wear pretty casual clothes and as the weather cools down i tend to
[00:23:18.720 --> 00:23:23.920]   wear sort of like athletic type pants you know i'm often on camera from the waist up it doesn't matter
[00:23:23.920 --> 00:23:29.200]   uh it doesn't matter what i'm wearing i mean i'm wearing bikini briefs right now because you know
[00:23:29.200 --> 00:23:36.480]   it's hot you got to get people to want cozy earth has a new product called bamboo joggers so that sort
[00:23:36.480 --> 00:23:42.880]   of like casual pant in their super comfortable style fabric that we already know and love you can
[00:23:42.880 --> 00:23:48.160]   wear their irresistibly soft jogger pants just about anywhere they're made from that viscose bamboo
[00:23:48.720 --> 00:23:54.640]   uh fabric this joggers are the softest staple wardrobe you're gonna one of the softest staples
[00:23:54.640 --> 00:23:58.240]   you're gonna have in your wardrobe whether you're staying in or stepping out and what about if you're
[00:23:58.240 --> 00:24:01.600]   going to like a slightly more formal affair so like you know me going to the lincoln bedroom to
[00:24:01.600 --> 00:24:07.520]   investigate their sheets well they also have you covered with their everyday pant which i have a
[00:24:07.520 --> 00:24:12.640]   pair of and i also love they they look snazzy but they're also like super comfortable with that fabric
[00:24:12.640 --> 00:24:17.040]   so cozy earth nailed comfort with their bamboo joggers and their everywhere pant that's next
[00:24:17.040 --> 00:24:23.040]   level everyone i know who is trying these things out says this is really comfortable so i'm a big cozy
[00:24:23.040 --> 00:24:29.600]   earth booster you should be too go to cozy earth.com deep and use my code deep for 40 off the best pants
[00:24:29.600 --> 00:24:34.640]   joggers shirts and everything and if you get a post purchase survey tell them you heard about cozy earth
[00:24:34.640 --> 00:24:41.920]   right here built for real life made to keep up with yours cozy earth that's cozy earth.com deep and used
[00:24:41.920 --> 00:24:50.080]   to code deep this show is also sponsored by better help we talk a lot about the different types of
[00:24:50.080 --> 00:24:55.280]   advice that might help you be more organized or make more progress on the things that might matter
[00:24:55.280 --> 00:25:00.320]   but you know what advice is probably the most important of all you need to cultivate a healthy
[00:25:00.320 --> 00:25:06.560]   relationship with your own mind everything else rests on that foundation if you want to improve
[00:25:06.560 --> 00:25:12.000]   this relationship therapy might be exactly what you need a professional who can help you understand
[00:25:12.000 --> 00:25:18.800]   your own mind and improve that relationship better help makes therapy easier with over 30 000 therapists
[00:25:18.800 --> 00:25:23.200]   better help is the world's largest online therapy platform they serve more than 5 million people
[00:25:23.200 --> 00:25:29.280]   globally it works they have an average client rating of 4.9 out of 5 stars for a live session based on
[00:25:29.280 --> 00:25:34.400]   over 1.7 million client reviews it's convenient too you can join a session with a therapist at the
[00:25:34.400 --> 00:25:40.560]   click of a button helping you fit therapy into your busy life plus you can switch therapists at any time
[00:25:40.560 --> 00:25:45.760]   as the largest online therapy provider in the world better help can provide access to mental health
[00:25:45.760 --> 00:25:52.320]   professionals with a diverse variety of expertise talk it out with better help our listeners can get
[00:25:52.320 --> 00:26:02.160]   10 percent off their first month at betterhelp.com if they go to betterhelp.com deep questions that's better help
[00:26:02.160 --> 00:26:11.680]   h-e-l-p dot com slash deep questions all right speaking of questions let's move on to our own
[00:26:11.680 --> 00:26:21.840]   all right first questions from sam i found that using chat gpt questions can act as project diaries i now keep
[00:26:21.840 --> 00:26:26.800]   multiple chats for projects i'm working on it enables a shutdown and a place marker for where i need to
[00:26:26.800 --> 00:26:35.680]   restart work can chat gpt chats act as single purpose notebooks for projects i mean sure a couple questions
[00:26:35.680 --> 00:26:42.640]   here what is a project note like this idea of like i need notebook to keep track of the progress on on
[00:26:42.640 --> 00:26:48.000]   my project was that something you're doing before i guess it's useful if you don't know where you left off
[00:26:48.000 --> 00:26:53.280]   and you want to have external notes on it but here's my concern my concern is that you're doing
[00:26:53.280 --> 00:26:57.840]   something like cybernetic collaboration with chat gpt we talked about this in the deep dive when you have
[00:26:57.840 --> 00:27:04.400]   this running list of notes and conversations with chat gpt i'm concerned what you're doing is transforming
