
[00:00:00.000 --> 00:00:02.160]   (silence)
[00:05:58.620 --> 00:06:01.120]   of our perceptual systems and our emotional systems,
[00:06:01.120 --> 00:06:04.300]   for that matter, as navigating tools, right?
[00:06:04.300 --> 00:06:07.420]   So now the addiction, the addicted brain,
[00:06:07.420 --> 00:06:09.340]   what they say, the aim is possessed
[00:06:09.340 --> 00:06:11.300]   by the substance of addiction, right?
[00:06:11.300 --> 00:06:14.020]   So now the highest god is cocaine.
[00:06:14.020 --> 00:06:14.860]   Let's say.
[00:06:14.860 --> 00:06:16.860]   And so now all pathways in the world
[00:06:16.860 --> 00:06:18.340]   are pathways to cocaine.
[00:06:18.340 --> 00:06:20.860]   All objects in the world are markers
[00:06:20.860 --> 00:06:22.580]   on the pathway to cocaine.
[00:06:22.580 --> 00:06:26.040]   'Cause it just dominates, but it's not just an impulse.
[00:06:26.040 --> 00:06:28.900]   It dominates the perceptual landscape as well.
[00:06:28.900 --> 00:06:30.820]   That's makes it, and the emotional landscape.
[00:06:30.820 --> 00:06:33.340]   And it comes with all these rationalizations.
[00:06:33.340 --> 00:06:35.500]   That's all those lies, right?
[00:06:35.500 --> 00:06:37.820]   The whole thing, it's a whole personality.
[00:06:37.820 --> 00:06:39.820]   Yeah, brutal, brutal.
[00:06:39.820 --> 00:06:42.400]   (upbeat music)
[00:06:42.400 --> 00:06:44.980]   (upbeat music)
[00:06:44.980 --> 00:06:47.560]   (upbeat music)

