
[00:00:00.000 --> 00:00:25.440]   Hi, everybody.
[00:12:31.680 --> 00:12:34.680]   cost you wanted to kind of incur for any given task.
[00:12:34.680 --> 00:12:36.680]   But it was kind of a discrete choice.
[00:12:36.680 --> 00:12:43.680]   Now, with Thinking, we can have a continuous budget, which allows you to have a much more granular slider
[00:12:43.680 --> 00:12:48.680]   of how much capability you want for any given kind of class of tasks.
[00:12:48.680 --> 00:12:55.680]   And we have Thinking Budgets now launched in Flash and Pro in the 2.5 series.
[00:12:55.680 --> 00:12:59.680]   And this allows you to have very granular choice of cost to performance,
[00:12:59.680 --> 00:13:05.680]   and also allows us to then push the frontier and allow you to kind of augment
[00:13:05.680 --> 00:13:10.680]   and drive cost higher and performance higher if your application requires it.
[00:13:10.680 --> 00:13:18.680]   So, okay, I think a lot of this stuff is really covering ground that, you know, up to the present day.
[00:13:18.680 --> 00:13:21.680]   So, what's next and what are we excited about?
[00:13:21.680 --> 00:13:26.680]   So, we're very excited about just generally improving the models and having better reasoning, of course.
[00:13:26.680 --> 00:13:30.680]   We're also excited about making the thinking process as efficient as possible.
[00:13:30.680 --> 00:13:38.680]   Really, we want thinking to just work for you and be quite adaptive and be something that you don't have to actively spend a lot of energy tuning.
[00:13:38.680 --> 00:13:43.680]   And a big part of that is ensuring our models are very efficient in how they use their thoughts.
[00:13:43.680 --> 00:13:45.680]   This is definitely an area of progress.
[00:13:45.680 --> 00:13:48.680]   I think we can find examples of our models over thinking on tasks.
[00:13:48.680 --> 00:13:53.680]   And this is just an area of research to get these things faster and faster and as cost effective as possible.
[00:13:53.680 --> 00:14:00.680]   We're very proud of how cost effective our Gemini models are, and this is just an area for improvement as well.
[00:14:00.680 --> 00:14:07.680]   And there's also deeper thinking, which is really about scaling the amount of inference compute further to drive even higher capability.
[00:14:07.680 --> 00:14:16.680]   So, people may be familiar with Gemini deep research, where you can kind of type in a query and then the model will go away for a long period of time and research a topic.
[00:14:16.680 --> 00:14:22.680]   We also now have announced at I/O, and we're launching to trusted testers, a notion of deep think.
[00:14:22.680 --> 00:14:28.680]   Deep think is a very high budget mode, thinking budget mode, built on top of 2.5 Pro.
[00:14:28.680 --> 00:14:36.680]   And its desired application is for things where you have a very hard problem, and you're happy to essentially fire off the query,
[00:14:36.680 --> 00:14:42.680]   and then have some asynchronous process that's running for a while, and you'll come back to arrive at a stronger solution.
[00:14:42.680 --> 00:14:51.680]   And its key idea is we leverage much deeper chains of thought and parallel chains of thought that can integrate with each other to produce better responses.
[00:14:51.680 --> 00:14:57.680]   We find this enhances model performance on very tough multimodal code math problems.
[00:14:57.680 --> 00:15:03.680]   An example would be USA Math Olympiad.
[00:15:03.680 --> 00:15:05.680]   This is a task that basically the state-of-the-art model in January was completely negligible performance.
[00:15:05.680 --> 00:15:10.680]   2.5 Pro is now probably even better with the updated one today.
[00:15:10.680 --> 00:15:15.680]   It was about a 50th percentile of all participants that participated in Math Olympiad.
[00:15:15.680 --> 00:15:19.680]   And with deep think, it goes up to 65 percentile.
[00:15:19.680 --> 00:15:27.680]   And the interesting thing about deep think is as we continue to both improve the base model and improve the algorithmic ingredients that go into deep think, those two will stack together as well.
[00:15:27.680 --> 00:15:37.680]   Here is kind of like a video animation of one of these USA Math Olympiad algebra problems.
[00:15:37.680 --> 00:15:43.680]   And the key idea really with this video is just this notion of having multiple iterative ideas.
[00:15:43.680 --> 00:15:53.680]   So maybe the model starts out with some proof by contradiction idea, but then it explores two different aspects, some Rawls theorem, Newton's inequalities, it integrates them, and eventually arrives at some correct proof.
[00:15:53.680 --> 00:15:58.680]   There is not that much you can take away from this video, but it looks pretty cool, so I added it.
[00:15:58.680 --> 00:16:15.680]   One thing that's, you know, other than we talk about math a little bit in the previous slides, I'm very excited about any application where the model can spend longer and longer thinking on very open-ended coding tasks and one-shot or very few interaction vibe code.
[00:16:15.680 --> 00:16:18.680]   Things that would have taken us months in the past.
[00:16:18.680 --> 00:16:27.680]   And one example that I like from a researcher is just some of my colleagues kind of vibe-coded from DeepMind's original DQN paper.
[00:16:27.680 --> 00:16:39.680]   which was a revolution in deep reinforcement learning, kind of vibe-coded, Gemini vibe-coded the kind of training setup, the algorithm, even an Atari emulator such that it could play some of the games.
[00:16:39.680 --> 00:16:50.680]   And, you know, this is remarkable to me because these kind of things would have taken me and my colleagues months in the past, and these things are starting to happen kind of in minutes.
[00:16:50.680 --> 00:16:56.680]   One thing I'm quite excited about looking forward to the future is not really the landscape of models,
[00:16:56.680 --> 00:17:00.680]   but coming back to, like, what's our gold standard, which is the human mind.
[00:17:00.680 --> 00:17:09.680]   I would love for our models to be able to contemplate from a very small set of knowledge and think about it incredibly deeply such that we can push the frontier.
[00:17:09.680 --> 00:17:15.680]   And one example I often think about is Romain Ajaan, who's one of the world's greatest mathematicians from the early 20th century.
[00:17:15.680 --> 00:17:19.680]   And famously, he just had this one math textbook.
[00:17:19.680 --> 00:17:40.680]   He was kind of cut away from the mathematical community, but just from a small set of problems, he spent many textbooks' worth of thinking, going through problems, inventing his own theories to further extend ideas, and he invented an incredible quantity of mathematics, really just by deeply thinking from a small source subset.
[00:17:40.680 --> 00:17:43.680]   And this is where I think we are going with thinking.
[00:17:43.680 --> 00:17:58.680]   We want a model to be able to be incredibly data efficient and actually go to millions or beyond of inference tokens where the model is really building up knowledge and artifacts such that we can eventually start to push the frontier of human understanding.
[00:17:58.680 --> 00:18:03.680]   So with that said, thank you very much.
[00:18:03.680 --> 00:18:05.680]   Thank you very much.
[00:18:05.680 --> 00:18:06.680]   Thank you very much.
[00:18:06.680 --> 00:18:07.680]   Thank you.
[00:18:07.680 --> 00:18:12.140]   We'll see you next time.

