
[00:00:00.000 --> 00:00:07.340]   Today we are going to introduce how to use voice within agents SDK. Now agents SDK if you don't
[00:09:38.460 --> 00:09:46.220]   then going to generation text which goes to a text-to-speech model and then that spoken audio from the LLM
[00:09:46.220 --> 00:09:53.180]   is passed back to us. So we can set various parameters in here one of those is this text-to-speech
[00:09:53.740 --> 00:10:01.420]   model settings so in here you can essentially tell the text-to-speech model okay what should this spoken
[00:10:01.420 --> 00:10:09.980]   audio be like what the what what is your system prompt essentially as a text-to-speech model and this is
[00:10:09.980 --> 00:10:18.460]   actually from one of the examples that OpenAI provided either in one of their blogs or their docs I don't
[00:10:18.460 --> 00:10:24.060]   quite remember but this is a nice example of how you can use that okay so we give it a personality
[00:10:24.060 --> 00:10:31.500]   a tone we specify that it should be clear articulate and steady we have a temple and emotion okay so we
[00:10:31.500 --> 00:10:38.220]   can use all of that and we just pass that into this voice pipeline config object and once we have that
[00:10:38.220 --> 00:10:46.060]   voice pipeline config or configuration and we have our agent workflow we use both of those together to
[00:10:46.060 --> 00:10:51.740]   initialize our voice pipeline object and this is what we're actually going to be using but this is
[00:10:51.740 --> 00:10:59.740]   the pipeline this is what is taking our voice converting into text passing it to LLM and so on this is what
[00:10:59.740 --> 00:11:09.740]   we're using here so let's try and just pass the audio that we recorded before to this pipeline and just
[00:11:09.740 --> 00:11:14.060]   see what happens okay there are various ways that we can pass audio and I'm going to show you some more
[00:11:14.060 --> 00:11:21.740]   in a moment okay so pipeline run this is a sorry this is a async method so we do need to await it
[00:11:21.740 --> 00:11:30.300]   so we pass our audio input into pipeline run we await it and then what we need to do is iterate through all
[00:11:30.300 --> 00:11:40.540]   of the streamed chunks that we are receiving or streamed events so we simply do a async for loop here and we are
[00:11:40.540 --> 00:11:47.420]   looking at the stream that is coming out of this result okay and then we say because there are
[00:11:47.420 --> 00:11:53.900]   various event types that can be sent the only one that will contain audio that we want to be returning
[00:11:53.900 --> 00:12:00.220]   to the user is this voice stream event audio okay that's the only one that's important to us
[00:12:00.220 --> 00:12:08.060]   in in in this scenario so when we see that we append the event data to our response trunks which is an
[00:12:08.060 --> 00:12:13.180]   anti-list here and that is you know similar to before where we had those chunks of audio
[00:12:13.180 --> 00:12:20.380]   that we then concatenated this is the exact same thing these are chunks of audio and we need to concatenate
[00:12:20.380 --> 00:12:28.300]   to create a single audio file okay so then we can go ahead and play that now the one thing that we do
[00:12:28.300 --> 00:12:38.940]   need to be careful with here is the sample rate that open ai generates or outputs is not the 48 kilohertz
[00:12:38.940 --> 00:12:47.420]   that we saw from my both my input and output devices they have their own sample rate and that is 24 kilohertz
[00:12:47.420 --> 00:12:53.900]   so we just specify that here okay open ai has its own sample rate so when we're receiving audio from
[00:12:53.900 --> 00:13:01.020]   them that is what we need to pass into here in order to play that audio the correct speed if we if we don't
[00:13:01.820 --> 00:13:08.700]   i can show you it's uh it's pretty weird or it's just passed so let me turn up the audio again and we
[00:13:08.700 --> 00:13:13.020]   can play this you mentioned that you see something at the top here could you tell me what it says or describe it
[00:13:13.020 --> 00:13:15.820]   i'll do my best to assist you
[00:13:15.820 --> 00:13:23.340]   okay so yeah it's uh a little fast so we just turn this down to 24 and this is the correct sample rate
[00:13:23.340 --> 00:13:30.300]   got it at the top it says press enter to confirm how can i help you with this
[00:13:30.300 --> 00:13:36.860]   okay and this is just responding to you know when i was talking to you earlier so it doesn't really
[00:13:36.860 --> 00:13:41.500]   make a ton of sense but let's go ahead and just see how we can actually talk to this in a more
[00:13:41.500 --> 00:13:48.460]   responsive way so i've essentially wrapped all the logic that we had before that we've just been through
[00:13:48.460 --> 00:13:55.180]   into this async method here and it all happens within this while loop and essentially what this while
[00:13:55.180 --> 00:14:01.500]   loop is doing is saying okay we have that input parameter from before and when you press enter for
[00:14:01.500 --> 00:14:07.580]   that input parameter is going to start recording then what you have to do is press enter again to stop
[00:14:07.580 --> 00:14:15.100]   recording and the pipeline is going to respond to us once we're done and we want to finish the conversation
[00:14:15.100 --> 00:14:21.580]   we press q and enter and i'll show you how we do this and it will exit so let's go ahead and just try this
[00:14:21.580 --> 00:14:28.140]   so now you see i need to press enter to speak so i just press enter once hello can you hear me
[00:14:28.140 --> 00:14:36.700]   press enter again yes i can hear you in the sense that i can read your messages
[00:14:36.700 --> 00:14:44.060]   how can i assist you today yeah so you can actually see the uh the weird response it will give you if
[00:14:44.060 --> 00:14:49.100]   you're not prompting it well enough apparently i'm not prompting it well enough i thought i i was but
[00:14:49.100 --> 00:14:58.940]   anyway so i'm gonna speak again hi i'm actually talking to you through a voice interface i believe
[00:14:58.940 --> 00:15:04.620]   that the voice is being transformed into text which is what you're reading so i think you can hear me
[00:15:10.700 --> 00:15:16.300]   i understand you're speaking to me face to face and that your voice communication might feel more
[00:15:16.300 --> 00:15:23.420]   formal while i can't hear voice directly i process your tight messages if you'd like you can share more
[00:15:23.420 --> 00:15:31.500]   details or ask questions and i'll do my best to help okay and i'm just going to press q to ace it so
[00:15:32.140 --> 00:15:39.180]   seems a bit over overly enthusiastic to me and that prompting especially on okay you're actually in a
[00:15:39.180 --> 00:15:45.420]   voice interface needs a bit of work which is fine we can of course do that but the main part of this
[00:15:45.420 --> 00:15:53.100]   which is we are speaking and now agent is reading what we are speaking and responding back to us is
[00:15:53.100 --> 00:15:59.100]   working and it's actually working this is with all the other one that we're using here is duty 4.1 nano which
[00:15:59.100 --> 00:16:04.220]   is as far as i'm aware a very small model is not particularly performing which might also explain
[00:16:04.220 --> 00:16:12.620]   the lack of understanding from my system prompt but you can see very quickly we built this voice
[00:16:12.620 --> 00:16:20.300]   interface that we can speak to an lm through which i think is really cool and definitely going forwards
[00:16:20.860 --> 00:16:29.980]   i think the majority of the time that normal people and maybe even developers and i think just a very
[00:16:29.980 --> 00:16:37.340]   broad range of people interact with ai it's either going to be ai that you don't even notice is there
[00:16:37.340 --> 00:16:41.580]   or it's going to be ai that you are actually speaking to i don't think people are necessarily
[00:16:41.580 --> 00:16:48.060]   going to be typing all the time to ai because voice is just a much more natural way of speaking and
[00:16:49.020 --> 00:16:54.940]   it allows for a more fluid conversation which i think is the direction that we're going not for
[00:16:54.940 --> 00:17:00.380]   everything of course like code assistance and if i want code help maybe sometimes i'll talk to
[00:17:00.380 --> 00:17:07.180]   an agent majority time i'm probably going to be talking typing and i don't expect that to change
[00:17:07.180 --> 00:17:16.700]   necessarily but there are just so many modern maybe normal use cases where okay you want to just know
[00:17:16.700 --> 00:17:21.260]   something quickly and you want the agent to web search for you and maybe just chat to it very quickly
[00:17:21.260 --> 00:17:27.260]   and and talk through something or you want to practice your italian for example which i do all the time
[00:17:27.260 --> 00:17:34.220]   that is really good to use a voice interface for and there are just so many other cases like that so
[00:17:34.220 --> 00:17:41.100]   yeah i think this is very exciting and this is really a very quick way to get started with voice
[00:17:41.100 --> 00:17:47.900]   agents which i think is great in the future i'm definitely going to cover more on voice and as i
[00:17:47.900 --> 00:17:55.260]   mentioned this is this specific notebook is part of a broader course on the agent's sdk so i'm obviously
[00:17:55.260 --> 00:18:01.980]   going to be talking more about the agent's sdk very soon as well but for now i'll loot there i hope all this
[00:18:01.980 --> 00:18:18.940]   been useful and interesting so thank you very much for watching and i'll see you again in the next one bye
[00:18:18.940 --> 00:18:19.440]   you
[00:18:19.440 --> 00:18:19.940]   you
[00:18:19.940 --> 00:18:20.440]   you
[00:18:20.440 --> 00:18:20.940]   you
[00:18:20.940 --> 00:18:21.440]   you
[00:18:21.440 --> 00:18:21.940]   you
[00:18:21.940 --> 00:18:22.440]   you
[00:18:22.440 --> 00:18:52.420]   We'll see you next time.

