
[00:00:00.000 --> 00:00:01.640]   what do women want?
[00:05:53.940 --> 00:05:57.640]   "and then other groups will start to attack us as well."
[00:05:57.640 --> 00:06:00.020]   And so they get into these cycles of,
[00:06:00.020 --> 00:06:04.660]   like the Hatfields and McCoys of attacks, counterattacks,
[00:06:04.660 --> 00:06:09.660]   retribution, and part of it is reputation management.
[00:06:09.660 --> 00:06:13.680]   So that's between groups, and I think that's been
[00:06:13.680 --> 00:06:18.680]   the primary source of violence, but not the only source.
[00:06:18.680 --> 00:06:22.560]   So there's also within-group conflict,
[00:06:22.560 --> 00:06:26.440]   and so many ethnographies, many traditional societies
[00:06:26.440 --> 00:06:29.200]   have things, some of them are ritualized,
[00:06:29.200 --> 00:06:33.920]   like wrestling matches, or in the Anamama,
[00:06:33.920 --> 00:06:38.160]   they have these, or used to, these chest-pounding duels,
[00:06:38.160 --> 00:06:41.480]   where, so if we're in this match, you challenge me,
[00:06:41.480 --> 00:06:43.160]   and I have to, of course--
[00:06:43.160 --> 00:06:44.920]   - Chest-pounding duel.
[00:06:44.920 --> 00:06:45.760]   (Dave laughs)
[00:06:45.760 --> 00:06:46.600]   I like this.
[00:06:46.600 --> 00:06:47.420]   - Yeah, yeah.
[00:06:47.420 --> 00:06:48.360]   - So you're not hitting each other,
[00:06:48.360 --> 00:06:50.160]   you're just, it's like peacocking, you really--
[00:06:50.160 --> 00:06:51.600]   - Oh, no, you're hitting each other.
[00:06:51.600 --> 00:06:52.440]   - Oh, sorry.
[00:06:52.440 --> 00:06:56.760]   - Yeah, so they get 20 paces away, and they run up,
[00:06:56.760 --> 00:06:59.640]   and you punch the other guy in the chest,
[00:06:59.640 --> 00:07:01.680]   and he has to basically stand there,
[00:07:01.680 --> 00:07:02.520]   and then he does the same to you.
[00:07:02.520 --> 00:07:05.000]   - Wrists and everything, oh, wow.
[00:07:05.000 --> 00:07:08.080]   - And then it's basically last man standing.
[00:07:08.080 --> 00:07:11.160]   - That's, well, I suppose that's better than the face.
[00:07:11.160 --> 00:07:13.480]   That's an interesting decision with the chest.
[00:07:13.480 --> 00:07:14.320]   - Yeah.
[00:07:14.320 --> 00:07:16.280]   - I mean, I'm sure if you get good at that kind of thing,
[00:07:16.280 --> 00:07:18.240]   you could start breaking ribs,
[00:07:18.240 --> 00:07:19.960]   and you can get loose about the rules
[00:07:19.960 --> 00:07:22.160]   of where exactly in the chest you can hit.
[00:07:22.160 --> 00:07:25.800]   And there's that guy who's always known for hitting
[00:07:25.800 --> 00:07:28.720]   not exactly in the chest, accidentally missing.
[00:07:28.720 --> 00:07:30.920]   - Right, right, the Mike Tyson of--
[00:07:30.920 --> 00:07:33.520]   - Exactly, eating your ear off.
[00:07:33.520 --> 00:07:38.000]   So interesting, so there's ritualized conflict,
[00:07:38.000 --> 00:07:43.000]   sort of purify the competition,
[00:07:43.000 --> 00:07:46.360]   and that resolves some kind of issue.
[00:07:46.360 --> 00:07:49.960]   - Well, yeah, it's important to establish status hierarchies.
[00:07:49.960 --> 00:07:57.600]   But also, and here's just one more concrete point on that.
[00:07:57.600 --> 00:07:59.720]   Yanomamo, we don't have this in our language.
[00:07:59.720 --> 00:08:03.400]   We just have one word for kill or murder,
[00:08:03.400 --> 00:08:06.760]   but Yanomamo have, you're either an,
[00:08:06.760 --> 00:08:11.160]   if you're a male, you're an unokai or a non-unokai.
[00:08:11.160 --> 00:08:14.840]   The non-unokai are men who have not killed.
[00:08:14.840 --> 00:08:19.200]   If you're an unokai, that means you have killed someone.
[00:08:19.200 --> 00:08:22.960]   And the unokai among Yanomamo historically
[00:08:22.960 --> 00:08:25.360]   had higher status and more wives,
[00:08:25.360 --> 00:08:28.880]   so they're a polygynous society,
[00:08:28.880 --> 00:08:33.520]   which has been true of something like 83 to 85%
[00:08:33.520 --> 00:08:37.200]   of traditional societies, or actually,
[00:08:37.200 --> 00:08:39.400]   I was just corrected by an anthropologist.
[00:08:39.400 --> 00:08:41.720]   She said, "We no longer call them traditional societies.
[00:08:41.720 --> 00:08:44.480]   "We call them small-scale societies."
[00:08:44.480 --> 00:08:46.680]   - So nothing can be called traditional?
[00:08:46.680 --> 00:08:47.520]   - I don't know.
[00:08:47.520 --> 00:08:49.720]   - Is bacteria the traditional society?
[00:08:49.720 --> 00:08:52.480]   - Yeah, I think it's just one of these things,
[00:08:52.480 --> 00:08:56.120]   the language, the words that are deemed appropriate
[00:08:56.120 --> 00:08:58.760]   to use to describe things change over time.
[00:08:58.760 --> 00:09:02.360]   - Yeah, so words can hurt people.
[00:09:02.360 --> 00:09:04.040]   They can inspire people.
[00:09:04.040 --> 00:09:07.680]   Words are funny, powerful things.
[00:09:07.680 --> 00:09:10.440]   You authored a textbook titled "Evolutionary Psychology,
[00:09:10.440 --> 00:09:14.920]   "the New Science of Mind" in its sixth edition.
[00:09:14.920 --> 00:09:16.320]   What is the magic ingredient
[00:09:16.320 --> 00:09:18.920]   that gave birth to homo sapiens, do you think?
[00:09:18.920 --> 00:09:23.360]   Is it fire, cooking, ability to collaborate,
[00:09:23.360 --> 00:09:26.920]   share ideas, ability to contemplate our own mortality,
[00:09:26.920 --> 00:09:27.760]   all that kind of stuff?
[00:09:27.760 --> 00:09:30.920]   - Yeah, well, I think it's hard to isolate one factor.
[00:09:30.920 --> 00:09:34.480]   I know you've had Richard Wrangham on this podcast.
[00:09:34.480 --> 00:09:36.520]   It was a wonderful, wonderful interview.
[00:09:36.520 --> 00:09:38.640]   He used to be a colleague of mine
[00:09:38.640 --> 00:09:40.720]   when I was a professor at Michigan.
[00:09:40.720 --> 00:09:43.240]   I've stayed in touch with him.
[00:09:43.240 --> 00:09:46.200]   He's a brilliant, brilliant guy.
[00:09:46.200 --> 00:09:48.360]   And he thinks fire and cooking
[00:09:48.360 --> 00:09:50.760]   have been one of the key things.
[00:09:50.760 --> 00:09:53.360]   But I think it's hard to isolate.
[00:09:53.360 --> 00:09:57.720]   I would trace at least part of our uniqueness
[00:09:57.720 --> 00:10:01.040]   to the uniqueness of our mating system.
[00:10:01.040 --> 00:10:03.360]   So we have in mating,
[00:10:03.360 --> 00:10:07.600]   unlike chimpanzees, who are our closest primate relative,
[00:10:07.600 --> 00:10:11.480]   and of which Richard Wrangham is a world's expert,
[00:10:11.480 --> 00:10:16.480]   but they have basically no long-term pair-bonded mating.
[00:10:16.480 --> 00:10:19.480]   Female comes into estrus, all the mating,
[00:10:19.480 --> 00:10:21.560]   all the sex happens, most of the sex happens
[00:10:21.560 --> 00:10:23.360]   during that window.
[00:10:23.360 --> 00:10:27.600]   But humans have evolved long-term pair-bonded mating.
[00:10:27.600 --> 00:10:29.880]   And it's only one mating strategy,
[00:10:29.880 --> 00:10:31.280]   but it's a really important one.
[00:10:31.280 --> 00:10:35.960]   And then you have with that male parental care.
[00:10:35.960 --> 00:10:38.720]   So basically, again, you go back to chimps,
[00:10:38.720 --> 00:10:43.720]   and chimps, with whom we share more than 98% of our DNA,
[00:10:43.720 --> 00:10:45.520]   males don't do anything.
[00:10:45.520 --> 00:10:47.680]   So they inseminate the females,
[00:10:47.680 --> 00:10:49.800]   but then when the kids are born,
[00:10:49.800 --> 00:10:51.960]   they basically don't do much of anything
[00:10:51.960 --> 00:10:54.400]   in terms of provisioning and so forth.
[00:10:54.400 --> 00:10:55.880]   But human males do.
[00:10:55.880 --> 00:10:58.280]   We invest in the modern environment,
[00:10:58.280 --> 00:11:01.600]   could be decades, especially with the Boomerang kids
[00:11:01.600 --> 00:11:05.720]   and everything, but we're, not all males do,
[00:11:05.720 --> 00:11:09.480]   but compared to the vast majority of mammals,
[00:11:09.480 --> 00:11:14.480]   we are a very heavy male parental investment species.
[00:11:14.480 --> 00:11:16.440]   - Could you, if it's okay,
[00:11:16.440 --> 00:11:19.440]   and I'll ask you a bunch of dumb basic questions,
[00:11:19.440 --> 00:11:23.280]   'cause those are fun, could you define mating here?
[00:11:23.280 --> 00:11:28.280]   Does mating refer to the series of sexual acts
[00:11:28.280 --> 00:11:30.000]   that lead to reproduction?
[00:11:30.000 --> 00:11:34.460]   Does it include dating and love and camaraderie,
[00:11:34.460 --> 00:11:37.080]   loyalty, all those things?
[00:11:37.080 --> 00:11:39.480]   - Yes, I, you know-- - Yes.
[00:11:39.480 --> 00:11:41.200]   - Yeah, when I first started studying it,
[00:11:41.200 --> 00:11:43.800]   yeah, I don't, when I first started studying it,
[00:11:43.800 --> 00:11:46.120]   I looked for the right term.
[00:11:46.120 --> 00:11:49.320]   And obviously, it's much broader than sex.
[00:11:49.320 --> 00:11:54.320]   So by mating, I include things like mate selection,
[00:11:54.320 --> 00:11:58.600]   mate preferences, mate attraction, mate retention,
[00:11:58.600 --> 00:12:01.680]   mate poaching, mate expulsion.
[00:12:01.680 --> 00:12:03.360]   - Mate poaching, that sounds fun.
[00:12:03.360 --> 00:12:07.480]   So the early, the game theoretic strategy
[00:12:07.480 --> 00:12:11.040]   of mate selection is primarily what mating is about,
[00:12:11.040 --> 00:12:13.960]   or do you include the long-term,
[00:12:13.960 --> 00:12:17.880]   once you agree that you're gonna stick this out
[00:12:17.880 --> 00:12:19.680]   for a while and have multiple children,
[00:12:19.680 --> 00:12:20.680]   is that also mating?
[00:12:20.680 --> 00:12:21.960]   - Yes, I include that as well.
[00:12:21.960 --> 00:12:23.840]   So it's a broad-- - Broad category.
[00:12:23.840 --> 00:12:27.360]   - Broad definition, and absolutely includes
[00:12:27.360 --> 00:12:28.920]   the emotion of love.
[00:12:28.920 --> 00:12:32.320]   And of course, there are many different types of love,
[00:12:32.320 --> 00:12:36.200]   brotherly love, love of parents for children.
[00:12:36.200 --> 00:12:39.140]   But love, I think, and this is one of the shifts
[00:12:39.140 --> 00:12:40.320]   in the social sciences.
[00:12:40.320 --> 00:12:42.080]   So when I was an undergraduate, for example,
[00:12:42.080 --> 00:12:45.960]   I was taught that love is this invention
[00:12:45.960 --> 00:12:50.640]   by some Caucasian European poets a couple hundred years ago.
[00:12:50.640 --> 00:12:53.040]   And it turns out that's not the case.
[00:12:53.040 --> 00:12:57.920]   So there's been extensive cross-cultural evidence now
[00:12:57.920 --> 00:13:02.920]   that people, not every person in all cultures, of course,
[00:13:02.920 --> 00:13:06.500]   but some people in all cultures experience this emotion
[00:13:06.500 --> 00:13:07.840]   that we call love.
[00:13:07.840 --> 00:13:10.240]   - And for the word love, are we going to,
[00:13:10.240 --> 00:13:13.400]   in this conversation, try to stick to sort of romantic love
[00:13:13.400 --> 00:13:16.000]   for the meaning of the word love?
[00:13:16.000 --> 00:13:18.640]   - Well, that's a great question.
[00:13:18.640 --> 00:13:22.480]   But I mean, it's pretty well established
[00:13:22.480 --> 00:13:25.480]   that there are these different phases of love.
[00:13:25.480 --> 00:13:30.480]   So there's this infatuation phase where our psychology,
[00:13:30.480 --> 00:13:34.160]   we get obsessional thoughts.
[00:13:34.160 --> 00:13:37.960]   It's hard to focus on work when we're not with the person
[00:13:37.960 --> 00:13:41.200]   we're thinking about, the other person constantly.
[00:13:41.200 --> 00:13:45.120]   So there's kind of like ideational intrusion
[00:13:45.120 --> 00:13:48.280]   into our psychology, but you can't sustain that.
[00:13:48.280 --> 00:13:50.640]   I mean, it'd be, and then of course,
[00:13:50.640 --> 00:13:53.560]   there's a, pardon the phrase,
[00:13:53.560 --> 00:13:56.120]   but what I described as the fucking like bunnies phase
[00:13:56.120 --> 00:13:59.300]   of this intense sexuality.
[00:13:59.300 --> 00:14:03.240]   But people have other adaptive problems they have to solve.
[00:14:03.240 --> 00:14:05.640]   And so you can't stay in that state for too long.
[00:14:05.640 --> 00:14:07.960]   And so that subsides over time
[00:14:07.960 --> 00:14:12.960]   and develops into, at least in many cases,
[00:14:12.960 --> 00:14:15.240]   this warm attachment.
[00:14:15.240 --> 00:14:17.960]   - Cuddling bunnies, long-term cuddling bunnies.
[00:14:17.960 --> 00:14:18.800]   - Yes.
[00:14:18.800 --> 00:14:21.180]   - Phase of the relationship, but still romantic,
[00:14:21.180 --> 00:14:24.240]   not like brotherly love or, you know,
[00:14:24.240 --> 00:14:26.880]   'cause I talk about love a lot.
[00:14:26.880 --> 00:14:31.560]   And for me, you know, love is a broader experience
[00:14:31.560 --> 00:14:36.560]   of just experiencing the joy and the beauty of love
[00:14:36.840 --> 00:14:38.680]   and the beauty of life.
[00:14:38.680 --> 00:14:41.680]   So like just looking out in nature,
[00:14:41.680 --> 00:14:44.200]   that's the kind of love, like whatever the chemicals
[00:14:44.200 --> 00:14:46.760]   that lead to a feeling that at least echoes
[00:14:46.760 --> 00:14:49.440]   the same kind of feeling that you get with romantic love,
[00:14:49.440 --> 00:14:52.640]   you can experience that with even inanimate objects.
[00:14:52.640 --> 00:14:53.460]   That sounds weird to say,
[00:14:53.460 --> 00:14:57.020]   but just a gratitude and appreciation,
[00:14:57.020 --> 00:15:01.040]   not in some kind of a weird Zen way,
[00:15:01.040 --> 00:15:02.440]   but just in a very human way.
[00:15:02.440 --> 00:15:04.720]   Just, it feels good to be alive kind of feeling.
[00:15:04.720 --> 00:15:07.040]   - Yeah, yeah, yeah, I guess I would,
[00:15:07.040 --> 00:15:08.560]   I mean, that's an interesting thought.
[00:15:08.560 --> 00:15:10.520]   I hadn't thought about that.
[00:15:10.520 --> 00:15:14.600]   I guess I would use other terms to describe that.
[00:15:14.600 --> 00:15:17.320]   So like the term awe, for example,
[00:15:17.320 --> 00:15:19.840]   when you see a beautiful sunset, you know,
[00:15:19.840 --> 00:15:21.240]   that's why I kind of started out by saying,
[00:15:21.240 --> 00:15:23.600]   I think there are different types of love
[00:15:23.600 --> 00:15:26.240]   and I'm focusing on the mating type.
[00:15:26.240 --> 00:15:27.320]   - And we'll talk about that.
[00:15:27.320 --> 00:15:30.000]   But so yeah, there is a sense of beauty
[00:15:30.000 --> 00:15:33.620]   and there's a sense of sexual appeal.
[00:15:33.620 --> 00:15:35.920]   Maybe that's a good, and those intersect
[00:15:35.920 --> 00:15:36.760]   in fascinating ways.
[00:15:36.760 --> 00:15:38.480]   We'll talk about that.
[00:15:38.480 --> 00:15:39.480]   We'll talk about all of that.
[00:15:39.480 --> 00:15:42.040]   But you're saying mating strategies,
[00:15:42.040 --> 00:15:45.560]   not that we've kind of placed ourself
[00:15:45.560 --> 00:15:46.440]   on what we mean by mating.
[00:15:46.440 --> 00:15:50.920]   Mating strategies is one of the cool features
[00:15:50.920 --> 00:15:52.760]   that made humans what they are.
[00:15:52.760 --> 00:15:54.600]   One of the initial inventions
[00:15:54.600 --> 00:15:59.000]   is the weird and wonderful ways that we mate.
[00:15:59.000 --> 00:16:02.800]   - Yeah, and I mean, if you go to even things
[00:16:02.800 --> 00:16:06.080]   like how we compete for mates,
[00:16:06.080 --> 00:16:08.640]   and this is another kind of strange,
[00:16:08.640 --> 00:16:10.500]   for some people, angle on it,
[00:16:10.500 --> 00:16:15.000]   but mating is inherently a competitive process
[00:16:15.000 --> 00:16:18.880]   in that desirable mates are in scarce supply
[00:16:18.880 --> 00:16:22.920]   relative to the numbers of people who want them.
[00:16:22.920 --> 00:16:27.920]   And so even post-mating, that is after mate selection,
[00:16:27.920 --> 00:16:30.760]   mate attraction, and mutual mate choice,
[00:16:30.760 --> 00:16:32.840]   desirable, that's why there's mate poaching.
[00:16:32.840 --> 00:16:35.140]   Mate poaching is one of the strategies
[00:16:35.140 --> 00:16:39.980]   that we in my lab with David Schmidt have studied.
[00:16:39.980 --> 00:16:44.800]   And so, okay, but one of the unique aspects
[00:16:44.800 --> 00:16:48.380]   of humans is that we compete using language.
[00:16:48.380 --> 00:16:53.120]   And that is we have reputations,
[00:16:53.120 --> 00:16:55.180]   and humans devote a lot of effort
[00:16:55.180 --> 00:16:57.760]   to maintaining the reputations,
[00:16:57.760 --> 00:16:59.380]   to building the reputations,
[00:16:59.380 --> 00:17:03.600]   to trying to recover reputations
[00:17:03.600 --> 00:17:08.500]   after a loss of reputation for various reasons.
[00:17:08.500 --> 00:17:12.880]   But we compete for mates using language,
[00:17:12.880 --> 00:17:15.840]   and that includes sending signals
[00:17:15.840 --> 00:17:18.960]   to the person that we're trying to attract using language,
[00:17:18.960 --> 00:17:23.320]   verbal fluency, and obviously
[00:17:23.320 --> 00:17:26.280]   some more recent things like poetry.
[00:17:26.280 --> 00:17:30.300]   But also we use language to derogate our competitors.
[00:17:30.300 --> 00:17:33.140]   So one of the papers I published very early on,
[00:17:33.140 --> 00:17:37.140]   it was a research project on derogation of competitors,
[00:17:37.140 --> 00:17:40.540]   the ways in which people impugn the status,
[00:17:40.540 --> 00:17:43.940]   character, and reputations of their rivals
[00:17:43.940 --> 00:17:48.540]   with the goal of making them less desirable to other people.
[00:17:48.540 --> 00:17:52.500]   And humans do that, and women and men both do that.
[00:17:52.500 --> 00:17:54.860]   So it's an interesting thing that we're,
[00:17:54.860 --> 00:17:56.600]   male competitions, we were talking about
[00:17:56.600 --> 00:18:00.840]   the Yanomamo earlier, and some of these overt physical,
[00:18:00.840 --> 00:18:04.540]   or what animal biologists call contest competition,
[00:18:04.540 --> 00:18:06.900]   where there's a physical battle.
[00:18:06.900 --> 00:18:09.760]   Males do that, and so a lot of the early attention
[00:18:09.760 --> 00:18:12.240]   on mate competition was focused on
[00:18:12.240 --> 00:18:15.880]   these sort of ostentatious overt battles
[00:18:15.880 --> 00:18:17.840]   in contest competition.
[00:18:17.840 --> 00:18:20.480]   But we compete through language,
[00:18:22.480 --> 00:18:26.320]   and so there's this big overlooked domain of women,
[00:18:26.320 --> 00:18:28.640]   the ways in which women compete with each other
[00:18:28.640 --> 00:18:29.520]   using language.
[00:18:29.520 --> 00:18:31.540]   And one of the things that astonished me
[00:18:31.540 --> 00:18:36.540]   is how observant women are about the subtle imperfections
[00:18:36.540 --> 00:18:42.760]   in their rivals and take pains to point them out.
[00:18:42.760 --> 00:18:47.760]   So just as a random example, I went to a party,
[00:18:47.760 --> 00:18:51.840]   this is back in my youth, but went to a party
[00:18:51.840 --> 00:18:54.840]   with my girlfriend at the time.
[00:18:54.840 --> 00:18:58.940]   And I got into this conversation with another woman
[00:18:58.940 --> 00:19:01.140]   who happened to be very attractive.
[00:19:01.140 --> 00:19:04.480]   But then we leave the party, and she said something
[00:19:04.480 --> 00:19:06.720]   just casually offhanded, like, she said,
[00:19:06.720 --> 00:19:10.120]   "Did you notice that her thighs were heavy?"
[00:19:10.120 --> 00:19:14.160]   And I hadn't, but next time I saw this other woman,
[00:19:14.160 --> 00:19:18.200]   I found my attention being drawn to check out her thigh.
[00:19:18.200 --> 00:19:20.560]   Well, and originally it puzzled me
[00:19:20.560 --> 00:19:23.600]   why women would derogate other women on appearance.
[00:19:23.600 --> 00:19:24.680]   Well, they do it, of course,
[00:19:24.680 --> 00:19:27.580]   because men prioritize appearance.
[00:19:27.580 --> 00:19:31.960]   But I thought, well, the man can see the woman directly
[00:19:31.960 --> 00:19:33.480]   with his own eyes.
[00:19:33.480 --> 00:19:37.200]   Why would verbal input alter his perceptions
[00:19:37.200 --> 00:19:39.720]   of how attractive he was?
[00:19:39.720 --> 00:19:41.760]   And I think that part of it is,
[00:19:41.760 --> 00:19:45.000]   I think there are actually two quick answers to that.
[00:19:45.000 --> 00:19:47.280]   One is the attentional one.
[00:19:47.280 --> 00:19:49.320]   So our attentional field,
[00:19:49.320 --> 00:19:50.960]   when they draw attention to it,
[00:19:50.960 --> 00:19:55.520]   those what could be very small deviations
[00:19:55.520 --> 00:19:57.600]   from perfect symmetry or whatever they are
[00:19:57.600 --> 00:20:00.680]   become magnified in our attentional field.
[00:20:00.680 --> 00:20:05.680]   But the other is that who we have as a mate
[00:20:05.680 --> 00:20:09.240]   is also a reflection of our own status.
[00:20:09.240 --> 00:20:15.160]   And you saw this in a kind of overt and way
[00:20:15.240 --> 00:20:20.240]   in the 2016 presidential election,
