
[00:00:00.000 --> 00:00:02.000]   Struggling with your electric bill?
[00:03:24.000 --> 00:03:32.000]   I think it would be really fun to be a lawyer, and I think I'd be a good one. And I have a few areas of law that I'm interested in, and who knows? You never know. Maybe someday I will.
[00:03:32.000 --> 00:03:45.000]   But – so I've long tried to educate myself about interacting with the police, and I've long tried to – well, to do a good job there because I do know that it is important.
[00:03:45.000 --> 00:03:55.000]   And apart from some foolishness in college, in college, my school that I went to is right by Palm Beach Island, and so we'd always wind up at the beach at night.
[00:03:55.000 --> 00:04:02.000]   And I never was involved in any significant chicanery, but a lot of people were. And so I always had run-ins with the Palm Beach police.
[00:04:02.000 --> 00:04:12.000]   But aside from that, I've really almost never had any negative problems with the police. I've had lots of friends who were police officers.
[00:04:12.000 --> 00:04:17.000]   I've had family members who've wanted to go into law enforcement. I've never had any problems with the police.
[00:04:17.000 --> 00:04:24.000]   I had one ugly incident one time, but in hindsight, that was my fault because I didn't know my rights, but never had a problem.
[00:04:24.000 --> 00:04:30.000]   But I've noticed that a lot of other people don't have that same experience that I have.
[00:04:30.000 --> 00:04:34.000]   And I've often looked at it and said, "Well, why don't I have a problem?"
[00:04:34.000 --> 00:04:41.000]   Well, I know the reasons why I don't. Basically, I don't do stupid stuff and I don't hang out with stupid people and I don't – what's the saying go?
[00:04:41.000 --> 00:04:44.000]   Don't go to stupid places with stupid people to do stupid things.
[00:04:44.000 --> 00:04:50.000]   And if you just stick to that simple rule of thumb, then you can avoid a lot of problems and a lot of unpleasant interactions.
[00:04:50.000 --> 00:04:54.000]   If I know there's going to be problems, I go the other way. And in fact, that's one of the important things.
[00:04:54.000 --> 00:05:09.000]   The author in this book, Arrest Proof Yourself, he being an ex-police officer, ex-FBI agent, and now criminal defense attorney, he makes a big deal of the fact that something as simple as not being out at night will help you to keep from getting arrested with some surprising statistics.
[00:05:09.000 --> 00:05:12.000]   Well, I'm in my bed sleeping at night, so I don't generally have problems.
[00:05:12.000 --> 00:05:24.000]   But I've often operated under the idea that it's not a big deal if I did have an interaction with a police officer or I did get arrested because after all, I'll have my day in court.
[00:05:24.000 --> 00:05:29.000]   In the United States of America, I'm innocent until proven guilty and I'll have my day in court.
[00:05:29.000 --> 00:05:41.000]   And having served on juries and having read a bit of law, I have a decent amount of confidence that if I'm judged by a jury of my peers in court, then I'll come out the other side and justice will be done.
[00:05:41.000 --> 00:05:49.000]   And if I'm innocent, then I want to be declared innocent. And if I'm guilty, I don't think I should – I think I should pay for the crime.
[00:05:49.000 --> 00:05:51.000]   I'm a big believer in justice.
[00:05:51.000 --> 00:06:00.000]   Mercy is also a part of that, but justice is there, and so I don't think that I should be accepted from the justice system if I'm guilty of a crime.
[00:06:00.000 --> 00:06:04.000]   I should pay the proper price and penalty for that action.
[00:06:04.000 --> 00:06:10.000]   So, I've never been that fearful of getting arrested because I don't – I'm not fearful of being in court.
[00:06:10.000 --> 00:06:19.000]   But this book changed my mind, and it changed my mind by demonstrating to me what a big deal it is to simply get arrested.
[00:06:19.000 --> 00:06:33.000]   It opened my eyes to a world that I have not really interacted that much with, and it caused me to see what a big deal it is to actually get arrested.
[00:06:33.000 --> 00:06:35.000]   And there are a number of reasons for that.
[00:06:35.000 --> 00:06:47.000]   I'm going to read and start by reading a story here, which is one of the profiles from the middle of the book, where the author gives a scenario here of what a big impact it can be in somebody's life for them to get arrested.
[00:06:47.000 --> 00:06:52.000]   And then I'll go back through and walk through this in an orderly way.
[00:06:52.000 --> 00:06:55.000]   Before I read the scenario, quick ad for today.
[00:06:55.000 --> 00:07:00.000]   Paladin Registry is the financial advisor referral service of Radical Personal Finance.
[00:07:00.000 --> 00:07:05.000]   Guess what? You are not going to get financial advice like how not to get arrested from a Paladin Registry rep.
[00:07:05.000 --> 00:07:12.000]   They're going to wear a suit and a tie, and they're going to sit down, and they're going to look at your 401(k), and they're going to help you balance it and blah, blah, blah.
[00:07:12.000 --> 00:07:17.000]   That stuff is really important, and I don't have any interest in doing that for you, which is why I refer that out.
[00:07:17.000 --> 00:07:20.000]   But it is important that you do it.
[00:07:20.000 --> 00:07:37.000]   If you're looking for a good financial advisor, if you're looking for somebody you can sit down with and review your investment portfolio, someone you can sit down and work on your financial plan, I recommend to you that you start your search for that advisor at RadicalPersonalFinance.com/Paladin, P-A-L-A-D-I-N, RadicalPersonalFinance.com/Paladin.
[00:07:37.000 --> 00:07:45.000]   Paladin Registry is a referral service, a registry service. All of the advisors that are in the service have been vetted and researched, and their backgrounds have been checked, etc.
[00:07:45.000 --> 00:07:50.000]   You can find out more information at RadicalPersonalFinance.com/Paladin. That will put you right through to a landing page.
[00:07:50.000 --> 00:07:54.000]   You'll put your info in there, your name, your contact information, how much money you have.
[00:07:54.000 --> 00:08:02.000]   They'll connect you with some advisors there in your local area, and then you can take it from there.
[00:08:02.000 --> 00:08:08.000]   You don't have to hire them. You may have to start there and maybe you'll find a great advisor.
[00:08:08.000 --> 00:08:11.000]   Maybe you'll have to start there and then move on until you find someone that you click with.
[00:08:11.000 --> 00:08:17.000]   Hiring a financial advisor is a big deal, and you need to interview well during that process.
[00:08:17.000 --> 00:08:23.000]   But I think you'll get a better result there than just starting off with some random web search or some random phone book listing.
[00:08:23.000 --> 00:08:27.000]   Go to RadicalPersonalFinance.com/Paladin. Put your information in there. Thank you for doing that.
[00:08:27.000 --> 00:08:32.000]   If you do that, I will receive a commission on that referral. So thank you for using that proper link.
[00:08:32.000 --> 00:08:34.000]   Let's get to the scenario.
[00:08:34.000 --> 00:08:43.000]   Our heroine is a young African-American woman who has clawed her way out of the social service plantation and the welfare system by doing everything right.
[00:08:43.000 --> 00:08:47.000]   When she was younger, she was a heroin addict and a prostitute.
[00:08:47.000 --> 00:08:50.000]   Most unusually, she was never arrested.
[00:08:50.000 --> 00:08:53.000]   She decided to quit the life and get the drug monkey off her back.
[00:08:53.000 --> 00:09:05.000]   Unable to obtain a place in overcrowded treatment centers to kick her habit, she had a friend lock her in a closet and spent three days screaming, vomiting, and having convulsions in order to quit cold turkey.
[00:09:05.000 --> 00:09:11.000]   After getting clean, she went through vocational rehabilitation training and received her GED at night school.
[00:09:11.000 --> 00:09:17.000]   Her child is in daycare, and she has been working as a cashier for a grocery store chain for several years.
[00:09:17.000 --> 00:09:26.000]   She attends church regularly, never misses her meeting at Narcotics Anonymous, and will tell anyone who asks that Jesus is her personal Lord and Savior who has given her a second chance.
[00:09:26.000 --> 00:09:42.000]   Unfortunately, the grocery store where she works stays open until midnight and is frequented by jitterbugs and rock stars who smoke crack and shoplift pseudoepinephrine decongestants, which they cook into methamphetamine.
[00:09:42.000 --> 00:09:48.000]   Meth makes people crazy, and there have been incidents at the store where street people have attacked shoppers with knives and guns.
[00:09:48.000 --> 00:09:54.000]   One meth head had his veins explode after he injected the drug, and he bled to death in the parking lot.
[00:09:54.000 --> 00:09:58.000]   Grocery store meth has to be injected boiling hot so it cooks the veins going in.
[00:09:58.000 --> 00:10:01.000]   Meth is horrible.
[00:10:01.000 --> 00:10:05.000]   Our heroine can't stand the neighborhood and spends every possible moment planning how to get out.
[00:10:05.000 --> 00:10:13.000]   She has shared slum apartments with a rotating cast of roommates, but is on a short list to receive a low-cost home from Habitat for Humanity.
[00:10:13.000 --> 00:10:21.000]   If everything goes right, she will own her own home in a better part of town, be able to care for her baby properly, and have a piece of the American dream.
[00:10:21.000 --> 00:10:25.000]   The key is a job as a teller at one of the national banks.
[00:10:25.000 --> 00:10:36.000]   Such a job pays more than the grocery store and has better hours, nicer surroundings, and a health insurance plan that will allow her to get her baby treated by a real doctor instead of the nurse practitioners at the neighborhood clinics.
[00:10:36.000 --> 00:10:43.000]   One night while driving home from a church meeting in pouring rain, she drives through a stop sign and is pulled over by a police cruiser.
[00:10:43.000 --> 00:10:51.000]   In her vocational rehabilitation classes, she learned to always have her license, insurance, and registration handy and to be polite with police officers.
[00:10:51.000 --> 00:10:54.000]   She hands these documents to the officer.
[00:10:54.000 --> 00:10:57.000]   He goes back to his cruiser and looks her up in the computer.
[00:10:57.000 --> 00:11:04.000]   She is shocked when he returns and arrests her for having outstanding warrants for check fraud.
[00:11:04.000 --> 00:11:15.000]   Because it is late, she is unable to get a hearing or make bail, so she has to spend the night in jail with prostitutes and drug addicts who mock her nice clothes and call her "church girl."
[00:11:15.000 --> 00:11:18.000]   Some of them wiggle their tongues at her and make lesbian come-ons.
[00:11:18.000 --> 00:11:24.000]   The next morning, she calls church friends who raise $5,000 to hire an attorney and get her bonded out of jail.
[00:11:24.000 --> 00:11:28.000]   The attorney discovers that the warrants are really a case of identity theft.
[00:11:28.000 --> 00:11:37.000]   A former roommate had copied down her social security number, opened checking accounts under her name, and bounced checks for thousands of dollars all over town.
[00:11:37.000 --> 00:11:41.000]   The attorney was able to get the indictments quashed and the arrest records expunged.
[00:11:41.000 --> 00:11:45.000]   A week later, she called the bank to ask when she could have her first interview.
[00:11:45.000 --> 00:11:49.000]   The human relations specialist told her that all jobs had been filled.
[00:11:49.000 --> 00:11:54.000]   She thought this odd, since the bank continued to advertise for tellers in the local newspaper.
[00:11:54.000 --> 00:11:57.000]   She called week after week but was always told the same thing.
[00:11:57.000 --> 00:12:03.000]   Finally, she took a day off from the grocery and drove to the bank and managed to talk her way into the human relations department.
[00:12:03.000 --> 00:12:09.000]   There, one of the women took pity on her and explained that the bank had discovered her arrest on the bad check charge.
[00:12:09.000 --> 00:12:19.000]   The bank had an ironclad policy of never hiring anyone with an arrest record, regardless of whether the arrest resulted in a conviction.
[00:12:19.000 --> 00:12:23.000]   Devastated, our heroine went back to the grocery store.
[00:12:23.000 --> 00:12:28.000]   At church, she prays now that one day she can get a promotion to assistant head cashier.
[00:12:28.000 --> 00:12:36.000]   This will bring her an additional dollar an hour in wages, qualify her for the Habitat house, and enable her to transfer to a suburban store away from the hellhole downtown.
[00:12:36.000 --> 00:12:39.000]   She does not – I'll just – I'll stop there.
[00:12:39.000 --> 00:12:45.000]   So the point is that this story, of course, it's a scenario created by the author.
[00:12:45.000 --> 00:12:53.000]   But the story indicates that somebody is doing everything right, everything positively, and yet one arrest goes on the record.
[00:12:53.000 --> 00:13:00.000]   And to start with the importance of why getting arrested is such a big deal and then we'll go through to how to not get arrested.
[00:13:00.000 --> 00:13:15.000]   The author pointed out that there has been a massive change both in the number of arrests that the police and criminal justice system processes and also in the stickiness of an arrest record.
[00:13:15.000 --> 00:13:21.000]   In the old days, if you were arrested in your local town – I live in West Palm Beach.
[00:13:21.000 --> 00:13:27.000]   If you were arrested in West Palm Beach, Florida, and in that context, there would be an arrest file.
[00:13:27.000 --> 00:13:30.000]   Say we're arrested for doing something dumb.
[00:13:30.000 --> 00:13:33.000]   I was arrested for drunken disorderly conduct.
[00:13:33.000 --> 00:13:36.000]   It never happened, but if it did, pretend I'm arrested for that.
[00:13:36.000 --> 00:13:40.000]   That type of scenario has happened to all kinds of young men throughout their lifetime.
[00:13:40.000 --> 00:13:46.000]   During their stupid years, they go out and do stupid stuff in public and they get arrested for something like that.
[00:13:46.000 --> 00:13:49.000]   Well, they wind up in jail for the night.
[00:13:49.000 --> 00:13:57.000]   They wind up in front of a judge. Maybe the case is dismissed or they have a – it's just basically let go.
[00:13:57.000 --> 00:13:59.000]   Maybe it's – it doesn't matter.
[00:13:59.000 --> 00:14:01.000]   The point is they were just simply arrested.
[00:14:01.000 --> 00:14:09.000]   In the old days, there would be a paper file, an arrest record in the Palm Beach sheriff's office, in the West Palm Beach police department.
[00:14:09.000 --> 00:14:14.000]   And that file would be stuck in that jurisdiction.
[00:14:14.000 --> 00:14:27.000]   So, yes, if I were arrested for something stupid and I went out and was – came on an interaction with the police again, then there would be a couple things that would happen.
[00:14:27.000 --> 00:14:37.000]   Number one, the officer on the street who is interacting with me a second time would not have access to the fact that I've been arrested before necessarily.
[00:14:37.000 --> 00:14:44.000]   That would have been stuck away in a paper file and is not necessarily immediately available – not immediately available to the dispatcher.
[00:14:44.000 --> 00:14:50.000]   Well, today that is because now that arrest record has been computerized.
[00:14:50.000 --> 00:15:01.000]   And so at every interaction with a police officer from now on, they're going to see that I have been arrested before and that will impact the decisions that that police officer makes.
[00:15:01.000 --> 00:15:07.000]   Next, that arrest record has gone national.
[00:15:07.000 --> 00:15:13.000]   I read from chapter one which is titled "New Plantations for New Generations."
[00:15:13.000 --> 00:15:31.000]   The author is using this word "plantation" very intentionally to incite a feeling within the listener and the reader to evoke an image of a plantation of slavery because that is what this is.
[00:15:31.000 --> 00:15:35.000]   Everybody knows about the big parts of the system, cops, judges, and state prisons.
[00:15:35.000 --> 00:15:38.000]   This chapter is about the parts of the system you don't know about.
[00:15:38.000 --> 00:15:49.000]   I call them the plantations because these hidden parts of the system will keep you in the perpetual servitude of low-wage jobs and constant trouble with police and authorities.
[00:15:49.000 --> 00:15:57.000]   Remember, if you're not really a bad guy, just someone who is clueless or has bad judgment, you're not going to spend time in a state penitentiary.
[00:15:57.000 --> 00:16:03.000]   You will land in the local lockup, then shortly be released on probation or placed in the drug court system.
[00:16:03.000 --> 00:16:13.000]   What no one will tell you is that once the arrest clerk puts your name in the computer, you have just entered the twilight hell of the plantations.
[00:16:13.000 --> 00:16:21.000]   Most arrests are logged at once into the FBI's National Crime Information Center, NCIC.
[00:16:21.000 --> 00:16:32.000]   Even if the prosecutor declines the case or you are quickly released or you are ultimately judged innocent and acquitted, you've got an arrest record.
[00:16:32.000 --> 00:16:35.000]   This arrest record will never go away.
[00:16:35.000 --> 00:16:39.000]   It will stay with you and haunt you for the rest of your life.
[00:16:39.000 --> 00:16:42.000]   It's your entry to the plantations.
[00:16:42.000 --> 00:16:55.000]   In addition to arrest records, there are criminal court records, local, state, or federal records, corrections records, prison records, and state criminal repository records, statewide records composed of arrest records, criminal court records, and correction records.
[00:16:55.000 --> 00:17:00.000]   Certain misdemeanor arrests are not recorded. Others are.
[00:17:00.000 --> 00:17:06.000]   In addition, there is a second national database of criminal information called the National Criminal File, NCF.
[00:17:06.000 --> 00:17:08.000]   But let's keep this simple.
[00:17:08.000 --> 00:17:15.000]   Assume that when you get arrested and fingerprinted, your records are going into the computers and they're never coming out.
[00:17:15.000 --> 00:17:20.000]   The short version, when you're printed, you're toast.
[00:17:20.000 --> 00:17:26.000]   It doesn't matter that you're a juvenile and that your state arrest record at some point is sealed by a judge.
[00:17:26.000 --> 00:17:28.000]   Federal arrest records cannot be sealed.
[00:17:28.000 --> 00:17:32.000]   You hear all the time on TV about records being sealed.
[00:17:32.000 --> 00:17:34.000]   Have you ever wondered how this is done?
[00:17:34.000 --> 00:17:36.000]   What do judges seal them with?
[00:17:36.000 --> 00:17:39.000]   Tape, wax, staples, chewing gum? Everything is on computers.
[00:17:39.000 --> 00:17:51.000]   Do you think a clerk for some local judge whose authority doesn't run past the state line can call the government of the United States of America and tell them to seal your arrest records?
[00:17:51.000 --> 00:17:53.000]   Think again.
[00:17:53.000 --> 00:17:54.000]   It gets worse.
[00:17:54.000 --> 00:17:57.000]   Here's an actual case that illustrates what happens with arrests in computers.
[00:17:57.000 --> 00:18:04.000]   I represented a client who was arrested while driving a vehicle in which police found weapons and narcotics during a traffic stop.
[00:18:04.000 --> 00:18:09.000]   None of it belonged to my client and the state's attorney, prosecutor, dropped all charges.
[00:18:09.000 --> 00:18:20.000]   However, for the rest of this guy's life, every time he's stopped for a traffic violation, the police officers will run his license number through the NCIC.
[00:18:20.000 --> 00:18:26.000]   When his arrest record appears, it will have a heading that says "armed trafficking."
[00:18:26.000 --> 00:18:30.000]   Any cop seeing this will thoroughly search him and his car.
[00:18:30.000 --> 00:18:36.000]   They may handcuff him and draw their weapon because they will suspect that he could be armed and dangerous.
[00:18:36.000 --> 00:18:43.000]   For the rest of his life, every routine traffic stop will turn into a nightmarish confrontation with police.
[00:18:43.000 --> 00:18:55.000]   The fact that arrest records are computerized, maintained by the federal government, and accessible to local law enforcement, state agencies, and far too many private employers is the reason you need to arrest-proof yourself.
[00:18:55.000 --> 00:19:06.000]   To keep from ruining your life at a young age, you need to avoid cops like the plague and never, ever get arrested for anything, no matter how trivial.
[00:19:06.000 --> 00:19:09.000]   Still not worried? Of course not. This is America. You have rights.
[00:19:09.000 --> 00:19:16.000]   A good lawyer can get adjudication withheld and the records expunged. The whole thing will be as if it never happened, right?
[00:19:16.000 --> 00:19:19.000]   That was right decades ago.
[00:19:19.000 --> 00:19:27.000]   Prior to the invention of the copying machine, the fax, and the computer, criminal records existed only on paper and only in the jurisdiction in which the person was arrested.
[00:19:27.000 --> 00:19:34.000]   When records were expunged, a clerk tore a page out of a book or tossed out a file folder, and the records were gone forever.
[00:19:34.000 --> 00:19:42.000]   Even when records remained, anyone wanting to discover whether a person had arrests and convictions had to contact each city or state in which the arrests occurred.
[00:19:42.000 --> 00:19:48.000]   To make copies, clerks literally had to photograph paper records, an expensive and tedious procedure.
[00:19:48.000 --> 00:19:53.000]   All anyone had to do to escape youthful indiscretions was blow town.
[00:19:53.000 --> 00:19:56.000]   Nowadays, that doesn't work.
[00:19:56.000 --> 00:19:59.000]   Once you're in the computer, my friend, you're there for life.
[00:19:59.000 --> 00:20:03.000]   The federal database, the NCIC, is not your only problem.
[00:20:03.000 --> 00:20:15.000]   Every week, another city or county digitizes its arrest information going back decades and dumps everything onto the internet so everyone, not just cops, can see records any time, day or night.
[00:20:15.000 --> 00:20:20.000]   You can run from your arrests, but you can't hide.
[00:20:20.000 --> 00:20:28.000]   I hope that's enough to convey to you the seriousness of the situation of you getting arrested.
[00:20:28.000 --> 00:20:32.000]   I'm laboring here at the beginning of the show to convince you of a few important fundamentals.
[00:20:32.000 --> 00:20:37.000]   Number one, it's a big deal to get arrested, and you don't want to do it.
[00:20:37.000 --> 00:20:55.000]   Now, obviously, you would know that, but if you're anything like me, meaning that most – if you're like me where you never had a lot of problems with the police, didn't have all kinds of run-ins, I just don't have problems like that generally, then you might have the same attitude that I had in the past.
[00:20:55.000 --> 00:20:59.000]   And I hope to just convince you that it's the wrong attitude to have.
[00:20:59.000 --> 00:21:01.000]   This is a big deal.
[00:21:01.000 --> 00:21:05.000]   The second thing I want to convince you of is that this is a big deal financially.
[00:21:05.000 --> 00:21:13.000]   It's a big, big deal financially to get arrested, and there are all kinds of reasons why it's a big deal.
[00:21:13.000 --> 00:21:31.000]   Now, obviously – and it's a big deal especially if you're a woman, this is a big deal because women disproportionately pay the costs for arrested because men are often arrested for more than women are, and yet the women are the ones who have to come up with the money.
[00:21:31.000 --> 00:21:35.000]   As the author makes this point and he talks about – I'll just read it directly.
[00:21:35.000 --> 00:21:37.000]   News flash for American women.
[00:21:37.000 --> 00:21:42.000]   Ladies, you – yes, you – are paying for a major portion of the American criminal justice system.
[00:21:42.000 --> 00:21:47.000]   The system is not funded exclusively by that perennially overburdened group, the taxpayers.
[00:21:47.000 --> 00:21:51.000]   A big chunk of system funding comes from defendants' families.
[00:21:51.000 --> 00:22:00.000]   By and large, this means women are paying thousands of dollars to get the men they love legal representation, reduced sentences, and freedom.
[00:22:00.000 --> 00:22:06.000]   Women pay the lawyers, women pay the bail bonds, women pay the drug court costs, and women pay the probation fees.
[00:22:06.000 --> 00:22:10.000]   When men get arrested, women get poor.
[00:22:10.000 --> 00:22:20.000]   Every day at the courts, in attorney's offices, and in probation departments, one sees a stream of women clutching money orders funded by mortgaging their homes and liquidating their savings.
[00:22:20.000 --> 00:22:21.000]   Often it's more than one woman.
[00:22:21.000 --> 00:22:26.000]   It's mom, sister, aunt, and cousin who have cleaned themselves out to get their man out of jail.
[00:22:26.000 --> 00:22:36.000]   Money that would have funded a new home or car, an education, or a retirement is swallowed up in an instant by the financial black hole that is the criminal justice system.
[00:22:36.000 --> 00:22:43.000]   The system devours the investment capital of poor Americans and is one of the major reasons the poor stay poor.
[00:22:43.000 --> 00:22:49.000]   Elected officials love to describe how much money they pour into poor neighborhoods and community services.
[00:22:49.000 --> 00:22:54.000]   They never ever discuss how much is drained out by the criminal justice system.
[00:22:54.000 --> 00:23:01.000]   Ladies, the best way to keep your savings in the bank and your folding money in your purse is to keep your men away from cops and out of jail.
[00:23:01.000 --> 00:23:04.000]   So read on and prosper.
[00:23:04.000 --> 00:23:11.000]   The author created this term of the electronic plantation to indicate the fact that as you have an arrest record, it becomes permanent.
[00:23:11.000 --> 00:23:17.000]   And that arrest record will be seen by many people as equivalent to a conviction.
[00:23:17.000 --> 00:23:33.000]   When I've been in jury selection in the past, one of the questions that often the judge and the attorneys will ask is your predilection to judge somebody based upon the fact that they have been simply arrested.
[00:23:33.000 --> 00:23:38.000]   And me personally, I work very hard to say, "Well, of course not.
[00:23:38.000 --> 00:23:40.000]   Of course I wouldn't judge somebody because they've been arrested.
[00:23:40.000 --> 00:23:42.000]   They're innocent until proven guilty.
[00:23:42.000 --> 00:23:44.000]   Just because they're arrested doesn't mean they were doing anything wrong.
[00:23:44.000 --> 00:23:51.000]   Cops do things wrong and I'm very much on the side of the oppressed and very much against the man kind of attitude.
[00:23:51.000 --> 00:23:53.000]   And so I don't think that way.
[00:23:53.000 --> 00:23:58.000]   But the vast majority of the courtroom and the jurists generally does.
[00:23:58.000 --> 00:24:06.000]   Not only does the arrest a big deal, but of course if the arrest leads to something more, then we've got a problem.
[00:24:06.000 --> 00:24:24.000]   If there is an actual felony, a felony conviction creates a lifetime ban on holding any job here in Florida that requires a state license like healthcare, law, insurance, real estate, finance, television and radio broadcasting and barbering and hairstyling.
[00:24:24.000 --> 00:24:27.000]   The author is also from Florida, which is convenient.
[00:24:27.000 --> 00:24:32.000]   And so if you actually do face that felony, that's a big, big deal to your life.
[00:24:32.000 --> 00:24:44.000]   When you actually have the costs of getting somebody who is out of jail – when you have the costs of getting somebody who's in jail out, that cost can be a big deal.
[00:24:44.000 --> 00:24:57.000]   And one of the strategies that the author teaches is in the worst-case scenario, ask for a notice to appear instead of getting arrested.
[00:24:57.000 --> 00:25:00.000]   Let me read this section here.
[00:25:00.000 --> 00:25:08.000]   "Why are all these guys in jail?" goes through and talks about how there's no reason for us to be arresting so many of the people that we are arresting.
[00:25:08.000 --> 00:25:13.000]   Again, former police officer, former FBI trainer, now criminal defense attorney.
[00:25:13.000 --> 00:25:18.000]   Flight risk. Most people think that petty offenders are jailed so they will show up for trial.
[00:25:18.000 --> 00:25:19.000]   This is rarely the case.
[00:25:19.000 --> 00:25:32.000]   Most misdemeanor offenders are tossed into the can briefly and then released either on their own recognizance or on a low bail to free up the cells for the next batch of clueless people who are rolled downtown 24/7 in a police cruiser near you.
[00:25:32.000 --> 00:25:35.000]   Most of these guys have to show up for their hearings of their own volition.
[00:25:35.000 --> 00:25:38.000]   So it's fair to ask why they get arrested in the first place.
[00:25:38.000 --> 00:25:46.000]   In almost all states, police, in lieu of arrest, can issue a notice to appear, also known as a penal citation.
[00:25:46.000 --> 00:25:55.000]   This also requires the offenders to show up in front of a judge and get what's coming to them, fines, anger management therapy, drug rehab, restitution, etc.
[00:25:55.000 --> 00:26:02.000]   without getting busted and receiving a permanent arrest record and a lifetime sentence on the electronic plantation.
[00:26:02.000 --> 00:26:08.000]   To get a clueless weed smoker in front of a judge, do we really need to use jailers, bail bondsmen, prosecutors, and public defenders?
[00:26:08.000 --> 00:26:11.000]   In many cases, a citation will do just as well.
[00:26:11.000 --> 00:26:22.000]   Even when the bail is lowered, say to $3,000, the bond, which will be 10% of the bail, or $300, can be disastrous to clueless offenders living on the edge.
[00:26:22.000 --> 00:26:27.000]   For someone working for $10 an hour, $300 is one week's take-home pay.
[00:26:27.000 --> 00:26:34.000]   When this goes to the bondsman, the electricity and water get turned off, the rent goes unpaid, and child support payments get missed.
[00:26:34.000 --> 00:26:42.000]   Of course, before the offender can even get the bond lowered, he has to have a private attorney, and in my state, this costs two grand and up.
[00:26:42.000 --> 00:26:46.000]   Attorney costs, another obvious cost of courts.
[00:26:46.000 --> 00:26:55.000]   You're not going to – none of us, if given the opportunity, would choose to have a private – a public defender.
[00:26:55.000 --> 00:27:00.000]   Public defenders are overworked and underpaid, and they've got a long string of people working with them.
[00:27:00.000 --> 00:27:09.000]   The first thing that you and I would do is pick up the phone and call a private attorney, and even if that attorney does their job effectively, that's going to be a significant bill.
[00:27:09.000 --> 00:27:15.000]   It would be a little bit nicer if we could avoid the arrest in the first place.
[00:27:15.000 --> 00:27:20.000]   This is a big deal, and there's a big cost to it.
[00:27:20.000 --> 00:27:29.000]   Staying off the electronic plantation is important, and it's important for your financial future.
[00:27:29.000 --> 00:27:31.000]   Hope I've made that point.
[00:27:31.000 --> 00:27:34.000]   That's the major points that I wanted to make here at the beginning.
