
[00:00:00.000 --> 00:00:03.000]   Who's your REALTOR®?
[00:01:43.000 --> 00:01:51.000]   [Music]
[00:01:51.000 --> 00:01:54.000]   Here at Radical Personal Finance, on Friday you get to pick what we talk about.
[00:01:54.000 --> 00:01:56.000]   You can call in and ask about any question you want to ask.
[00:01:56.000 --> 00:01:57.000]   It can be personal.
[00:01:57.000 --> 00:01:58.000]   It can be general.
[00:01:58.000 --> 00:01:59.000]   It can be philosophical.
[00:01:59.000 --> 00:02:00.000]   It can be technical.
[00:02:00.000 --> 00:02:03.000]   You can raise any topic, raise any argument, anything that you like.
[00:02:03.000 --> 00:02:05.000]   If you would like to join me on one of these Friday Q&A shows,
[00:02:05.000 --> 00:02:07.000]   you can do that by becoming a patron of the show.
[00:02:07.000 --> 00:02:10.000]   Go to Patreon.com/RadicalPersonalFinance,
[00:02:10.000 --> 00:02:12.000]   Patreon.com/RadicalPersonalFinance.
[00:02:12.000 --> 00:02:15.000]   That will gain access for you to one of these Friday Q&A shows,
[00:02:15.000 --> 00:02:17.000]   and you will be able to join us.
[00:02:17.000 --> 00:02:19.000]   We begin with Mava in Texas.
[00:02:19.000 --> 00:02:20.000]   Mava, welcome to the show.
[00:02:20.000 --> 00:02:22.000]   How can I serve you today?
[00:02:22.000 --> 00:02:23.000]   Hi, Joshua.
[00:02:23.000 --> 00:02:24.000]   Thank you for taking my call.
[00:02:24.000 --> 00:02:28.000]   As always, thank you for the value you provide and insights shared.
[00:02:28.000 --> 00:02:33.000]   The question I have today is kind of the classic whether to take on a mortgage
[00:02:33.000 --> 00:02:39.000]   or kind of put myself in a position towards a house for cash,
[00:02:39.000 --> 00:02:41.000]   so a little bit of background.
[00:02:41.000 --> 00:02:46.000]   My husband and I have several hundred in tax advantage savings,
[00:02:46.000 --> 00:02:54.000]   so your IRA, 401(k), et cetera, and then around 100 in brokerage.
[00:02:54.000 --> 00:02:58.000]   And we're interested in buying a home.
[00:02:58.000 --> 00:03:04.000]   Probably something suitable for our needs would be around 400(k).
[00:03:04.000 --> 00:03:10.000]   And the idea and thought is whether to think of a mortgage
[00:03:10.000 --> 00:03:15.000]   or just put ourselves in a position to purchase cash.
[00:03:15.000 --> 00:03:20.000]   Currently, in addition to kind of invested amounts shared,
[00:03:20.000 --> 00:03:23.000]   we have about 50(k) that's liquid.
[00:03:23.000 --> 00:03:30.000]   And after, like, income, taxes,
[00:03:30.000 --> 00:03:34.000]   and kind of the pre-tax retirement contributions,
[00:03:34.000 --> 00:03:39.000]   we would annually take in about 150(k).
[00:03:39.000 --> 00:03:45.000]   So presumably with the kind of balances that we have,
[00:03:45.000 --> 00:03:48.000]   we'd be in a position to purchase cash in about two years.
[00:03:48.000 --> 00:03:54.000]   And so my first question is just what opportunity costs should we consider
[00:03:54.000 --> 00:03:58.000]   when we're thinking about, you know, entertaining cash purchase?
[00:03:58.000 --> 00:04:02.000]   So, like, what questions to kind of ask ourselves to weigh out cost/benefit?
[00:04:02.000 --> 00:04:04.000]   And then, secondly,
[00:04:04.000 --> 00:04:09.000]   if kind of leaning towards cash purchase of a home beyond high-yield savings,
[00:04:09.000 --> 00:04:14.000]   CEs, or just kind of, like, classic ways to hold a high liquid balance,
[00:04:14.000 --> 00:04:18.000]   what else would you maybe bring up to consider?
[00:04:18.000 --> 00:04:24.000]   Just kind of thinking of holding a highly liquid position for two years or so.
[00:04:24.000 --> 00:04:27.000]   How old are you and your husband?
[00:04:27.000 --> 00:04:28.000]   Late 20s.
[00:04:28.000 --> 00:04:30.000]   Do you have children?
[00:04:30.000 --> 00:04:32.000]   One.
[00:04:32.000 --> 00:04:38.000]   When you consider paying cash for a house versus a mortgage,
[00:04:38.000 --> 00:04:44.000]   the most important considerations lie on the dimension of
[00:04:44.000 --> 00:04:49.000]   long-term financial gain through the potential power of leverage
[00:04:49.000 --> 00:04:53.000]   versus the stability of lifestyle
[00:04:53.000 --> 00:04:59.000]   and the peaceful mind and heart that come from not being in debt.
[00:04:59.000 --> 00:05:02.000]   When we look at a piece of real estate,
[00:05:02.000 --> 00:05:06.000]   whether it's a house to live in or a rental house,
[00:05:06.000 --> 00:05:11.000]   when we add a mortgage in and we assume a growth in the value,
[00:05:11.000 --> 00:05:14.000]   the mortgage will generally mean
[00:05:14.000 --> 00:05:19.000]   that the long-term rate of return of the investment is higher
[00:05:19.000 --> 00:05:21.000]   because it adds leverage.
[00:05:21.000 --> 00:05:24.000]   You can do the same calculation with your stock account.
[00:05:24.000 --> 00:05:27.000]   You can say I've got a brokerage account here.
[00:05:27.000 --> 00:05:29.000]   If I go ahead and open a margin account
[00:05:29.000 --> 00:05:33.000]   and start purchasing stocks and mutual funds with debt,
[00:05:33.000 --> 00:05:37.000]   I will have a higher long-term rate of return
[00:05:37.000 --> 00:05:41.000]   because of the expanding effects of the debt.
[00:05:41.000 --> 00:05:43.000]   That's the whole point of debt,
[00:05:43.000 --> 00:05:48.000]   is to allow people to purchase more than they otherwise could without debt.
[00:05:48.000 --> 00:05:51.000]   Now, when I introduce the concept of a margin account,
[00:05:51.000 --> 00:05:55.000]   then very frequently people become more conservative
[00:05:55.000 --> 00:05:57.000]   because they say, wait a second, if I invest on margin,
[00:05:57.000 --> 00:05:59.000]   I can get wiped out.
[00:05:59.000 --> 00:06:03.000]   They often apply that easily to stocks and mutual funds
[00:06:03.000 --> 00:06:05.000]   and not so much to real estate,
[00:06:05.000 --> 00:06:07.000]   but the same principle applies.
[00:06:07.000 --> 00:06:13.000]   I can enhance the returns by borrowing for the investment,
[00:06:13.000 --> 00:06:17.000]   but now I introduce greater risk into my life,
[00:06:17.000 --> 00:06:20.000]   and we have to account for that risk in some way.
[00:06:20.000 --> 00:06:25.000]   Ordinarily, the defense of using margin safely for real estate
[00:06:25.000 --> 00:06:28.000]   and not using it safely for stocks
[00:06:28.000 --> 00:06:32.000]   has to do with the general stability of housing,
[00:06:32.000 --> 00:06:35.000]   especially as compared to stock market values,
[00:06:35.000 --> 00:06:39.000]   and the stability of income and having a margin of safety.
[00:06:39.000 --> 00:06:43.000]   This is why we get all kinds of conventionally safe amounts
[00:06:43.000 --> 00:06:45.000]   that it's safe to borrow this amount.
[00:06:45.000 --> 00:06:49.000]   It's all basically an idea of pulling back from the edge
[00:06:49.000 --> 00:06:52.000]   and choosing a more moderate and safe position.
[00:06:52.000 --> 00:06:56.000]   But when you do that, you're giving up long-term rate of return.
[00:06:56.000 --> 00:06:59.000]   I would say that it's very difficult to find
[00:06:59.000 --> 00:07:03.000]   a satisfying financial calculation that accounts for these things.
[00:07:03.000 --> 00:07:06.000]   Rather, it's important to recognize
[00:07:06.000 --> 00:07:10.000]   that you're measuring this on basically two different axes,
[00:07:10.000 --> 00:07:13.000]   and they don't really meet.
[00:07:13.000 --> 00:07:15.000]   It's very hard to make them meet.
[00:07:15.000 --> 00:07:20.000]   Intuitively, the idea of a young couple with a child
[00:07:20.000 --> 00:07:24.000]   in late 20s being able to pay cash for a house,
[00:07:24.000 --> 00:07:27.000]   almost anybody intuitively knows
[00:07:27.000 --> 00:07:30.000]   that's an incredibly attractive thing,
[00:07:30.000 --> 00:07:33.000]   because the house now can be something
[00:07:33.000 --> 00:07:36.000]   that provides enormous stability under the family.
[00:07:36.000 --> 00:07:39.000]   The house is something that, because we don't have a mortgage,
[00:07:39.000 --> 00:07:42.000]   now we have complete and total freedom of choice.
[00:07:42.000 --> 00:07:45.000]   You can work any job, whether it's high-paying or low-paying.
[00:07:45.000 --> 00:07:47.000]   If you lose your job,
[00:07:47.000 --> 00:07:50.000]   there's very little financial stress associated with that.
[00:07:50.000 --> 00:07:54.000]   So that's an enormously valuable thing.
[00:07:54.000 --> 00:07:58.000]   If you are within striking distance of a debt-free house,
[00:07:58.000 --> 00:08:01.000]   I would urge you to go that way,
[00:08:01.000 --> 00:08:04.000]   because it's hard for me to believe
[00:08:04.000 --> 00:08:08.000]   that that won't result in a better life.
[00:08:08.000 --> 00:08:12.000]   However, I have to acknowledge as a professional financial planner
[00:08:12.000 --> 00:08:16.000]   that it may result in a lower return
[00:08:16.000 --> 00:08:19.000]   on your real estate purchase.
[00:08:19.000 --> 00:08:22.000]   But I think it would generally result in a much better life
[00:08:22.000 --> 00:08:25.000]   because of the peace and confidence and stability
[00:08:25.000 --> 00:08:28.000]   that it puts in your situation.
[00:08:28.000 --> 00:08:31.000]   There are a number of other lenses
[00:08:31.000 --> 00:08:33.000]   that we could use of analysis.
[00:08:33.000 --> 00:08:38.000]   For example, I think that one countervailing fact
[00:08:38.000 --> 00:08:42.000]   that could help this to actually turn out to be financially superior
[00:08:42.000 --> 00:08:45.000]   would involve the idea of motivation.
[00:08:45.000 --> 00:08:49.000]   When a young couple has a clear goal of paying cash for a house
[00:08:49.000 --> 00:08:52.000]   and you're within striking distance,
[00:08:52.000 --> 00:08:55.000]   that can be very highly motivating for you over the next couple of years
[00:08:55.000 --> 00:08:58.000]   to earn as much as you can, keep your expenses as low as you can,
[00:08:58.000 --> 00:09:01.000]   because we're paying cash for a house.
[00:09:01.000 --> 00:09:05.000]   That would offset the potential returns of leverage.
[00:09:05.000 --> 00:09:09.000]   In addition, you would have a stronger potential
[00:09:09.000 --> 00:09:13.000]   to get the very best bargain that you can on your house.
[00:09:13.000 --> 00:09:16.000]   Anytime I've ever purchased something using debt,
[00:09:16.000 --> 00:09:20.000]   I have found that I didn't ever make as smart of buying decisions
[00:09:20.000 --> 00:09:23.000]   as I did when I was paying cash,
[00:09:23.000 --> 00:09:26.000]   because it's just debt, so I can pay a little bit extra.
[00:09:26.000 --> 00:09:29.000]   I'll just swipe the card and move along my way.
[00:09:29.000 --> 00:09:32.000]   When you actually pay cash, and in this case, of course,
[00:09:32.000 --> 00:09:35.000]   we mean that in the money-in-the-bank sense,
[00:09:35.000 --> 00:09:38.000]   not in the physical sense when you're buying a house.
[00:09:38.000 --> 00:09:41.000]   When you pay cash for something, you have a tendency to bargain harder,
[00:09:41.000 --> 00:09:44.000]   think more carefully about what you want,
[00:09:44.000 --> 00:09:47.000]   and you don't face the distortions in your purchasing decisions
[00:09:47.000 --> 00:09:50.000]   based upon the debt markets.
[00:09:50.000 --> 00:09:53.000]   You may also be able to use the ability that you have with cash
[00:09:53.000 --> 00:09:57.000]   to purchase a home that's a bargain because you have cash.
[00:09:57.000 --> 00:10:02.000]   If you're going out and purchasing real estate as an investor,
[00:10:02.000 --> 00:10:06.000]   you're always conscious of the fact that you can compete on price
[00:10:06.000 --> 00:10:09.000]   or you can compete on terms.
[00:10:09.000 --> 00:10:13.000]   If you go out and you're a skilled and experienced investor,
[00:10:13.000 --> 00:10:16.000]   you can offer somebody a lower price but better terms,
[00:10:16.000 --> 00:10:20.000]   as in, "I'll stroke you a check tomorrow at 5 o'clock,
[00:10:20.000 --> 00:10:23.000]   and I'll pay cash for the house if you'll sell it to me today
[00:10:23.000 --> 00:10:26.000]   for 20% less than you're asking."
[00:10:26.000 --> 00:10:29.000]   You can do that, and the immediacy of the purchase
[00:10:29.000 --> 00:10:31.000]   can make a big difference.
[00:10:31.000 --> 00:10:35.000]   In a competitive real estate market, a cash offer can often allow
[00:10:35.000 --> 00:10:38.000]   your offer to rise to the top because the seller knows
[00:10:38.000 --> 00:10:43.000]   that there is less qualification needed for a mortgage.
[00:10:43.000 --> 00:10:47.000]   If somebody goes out and is purchasing with an FHA mortgage
[00:10:47.000 --> 00:10:52.000]   and they submit a contract offer with the FHA mortgage,
[00:10:52.000 --> 00:10:55.000]   knowing the additional underwriting and everything that's associated
[00:10:55.000 --> 00:10:58.000]   with the FHA mortgage, the seller may not choose to sell to that person
[00:10:58.000 --> 00:11:01.000]   because it's coming with that kind of financing,
[00:11:01.000 --> 00:11:05.000]   and so a cash buyer could make a more competitive offer.
[00:11:05.000 --> 00:11:08.000]   There are other ways that you could sweeten the pot.
[00:11:08.000 --> 00:11:12.000]   Sometimes you could purchase a house that's simply unfinanceable.
[00:11:12.000 --> 00:11:15.000]   Years ago, I looked at a house that had a messed-up foundation,
[00:11:15.000 --> 00:11:20.000]   and the foundation caused the house to be un-mortgageable.
[00:11:20.000 --> 00:11:23.000]   But just because it had a messed-up foundation didn't mean
[00:11:23.000 --> 00:11:26.000]   that the foundation couldn't be fixed.
[00:11:26.000 --> 00:11:30.000]   And so a guy came in, got the house for an enormous discount
[00:11:30.000 --> 00:11:33.000]   because it was un-financeable, fixed the foundation,
[00:11:33.000 --> 00:11:35.000]   and everything was good.
[00:11:35.000 --> 00:11:39.000]   So those are some other factors to think of, but at its core,
[00:11:39.000 --> 00:11:43.000]   it's just going to come down to the clarity of a goal
[00:11:43.000 --> 00:11:48.000]   and the long-term--the clarity of the goal for you as a family
[00:11:48.000 --> 00:11:50.000]   and the value of being debt-free.
[00:11:50.000 --> 00:11:54.000]   And I think that it would be a move that you would absolutely not regret,
[00:11:54.000 --> 00:11:59.000]   just pay cash for the house.
[00:11:59.000 --> 00:12:01.000]   Okay, thanks for weighing in.
[00:12:01.000 --> 00:12:03.000]   That's kind of the direction we were leaning
[00:12:03.000 --> 00:12:10.000]   and just kind of thinking through and taking a moment to pause.
[00:12:10.000 --> 00:12:12.000]   In terms of just holding that amount of liquidity,
[00:12:12.000 --> 00:12:17.000]   is there anything that you would advise or caution?
[00:12:17.000 --> 00:12:19.000]   High-yield savings is fine.
[00:12:19.000 --> 00:12:20.000]   Money market is fine.
[00:12:20.000 --> 00:12:23.000]   You can open a T-bills account, and that would be fine as well.
[00:12:23.000 --> 00:12:25.000]   Any of those are fine.
[00:12:25.000 --> 00:12:28.000]   The standard for large amounts of money when you get to significant money
[00:12:28.000 --> 00:12:33.000]   is just to open a direct T-bills account with the U.S. government.
[00:12:33.000 --> 00:12:35.000]   And I don't know if that's worth it here.
[00:12:35.000 --> 00:12:38.000]   I don't know the numbers that your high-yield savings
[00:12:38.000 --> 00:12:40.000]   and all your existing accounts are offering you.
[00:12:40.000 --> 00:12:42.000]   You're not in the danger zone for just standard savings accounts
[00:12:42.000 --> 00:12:44.000]   with FDIC insurance.
[00:12:44.000 --> 00:12:46.000]   But when you get beyond that standard,
[00:12:46.000 --> 00:12:50.000]   the normal is just a T-bills account.
[00:12:50.000 --> 00:12:51.000]   Okay.
[00:12:51.000 --> 00:12:52.000]   Okay.
[00:12:52.000 --> 00:12:53.000]   Thanks, Joshua.
[00:12:53.000 --> 00:12:54.000]   My pleasure, and congratulations.
[00:12:54.000 --> 00:12:57.000]   You and your husband must be working so hard to make this happen,
[00:12:57.000 --> 00:12:58.000]   and congratulations.
[00:12:58.000 --> 00:13:00.000]   I hope that you find the house of your dreams.
[00:13:00.000 --> 00:13:01.000]   Andrew in Minnesota, welcome to the show.
[00:13:01.000 --> 00:13:04.000]   How can I serve you today?
[00:13:04.000 --> 00:13:06.000]   Hey, good afternoon, Joshua.
[00:13:06.000 --> 00:13:08.000]   Thanks for doing this.
[00:13:08.000 --> 00:13:13.000]   Long-time listener and caller, and I appreciate all the work you do.
[00:13:13.000 --> 00:13:14.000]   My pleasure.
[00:13:14.000 --> 00:13:16.000]   So quick question.
[00:13:16.000 --> 00:13:20.000]   I bought a travel trailer,
[00:13:20.000 --> 00:13:24.000]   and I would like to road trip the Rocky Mountain West.
[00:13:24.000 --> 00:13:30.000]   And I can work from home or work from the camper with Starlink,
[00:13:30.000 --> 00:13:36.000]   and I've tested that out locally, and it's effective technically,
[00:13:36.000 --> 00:13:40.000]   and it's good with my employer.
[00:13:40.000 --> 00:13:43.000]   I was just curious if you have any general tips
[00:13:43.000 --> 00:13:49.000]   or lessons learned from your RVing the country experience.
[00:13:49.000 --> 00:13:51.000]   I know this is somewhat of a general question,
[00:13:51.000 --> 00:13:54.000]   and I just don't know what I don't know.
[00:13:54.000 --> 00:13:57.000]   And so just curious if you have any good, like, oh,
[00:13:57.000 --> 00:13:59.000]   I wish I would have known that when I started per se.
[00:13:59.000 --> 00:14:00.000]   Absolutely.
[00:14:00.000 --> 00:14:04.000]   Will you be traveling alone or with family members?
[00:14:04.000 --> 00:14:06.000]   Generally alone.
[00:14:06.000 --> 00:14:12.000]   And is your budget ample or modest?
[00:14:12.000 --> 00:14:14.000]   Ample.
[00:14:14.000 --> 00:14:19.000]   The way that I think about it is -- the way that I think about traveling
[00:14:19.000 --> 00:14:24.000]   and working from the road is as a chance to test out a variety
[00:14:24.000 --> 00:14:27.000]   of different lifestyles without fully committing to them
[00:14:27.000 --> 00:14:30.000]   and kind of get an idea of what you really enjoy.
[00:14:30.000 --> 00:14:35.000]   Do you need to work during specific hours, or do you have flexibility?
[00:14:35.000 --> 00:14:39.000]   Generally 8 to 4 Monday through Friday.
[00:14:39.000 --> 00:14:40.000]   Okay.
[00:14:40.000 --> 00:14:44.000]   So I have some flexibility, but 80% of the time through traditional hours.
[00:14:44.000 --> 00:14:45.000]   Yeah.
[00:14:45.000 --> 00:14:46.000]   It'll work fine.
[00:14:46.000 --> 00:14:50.000]   The western United States is one of the most spectacular places to travel,
[00:14:50.000 --> 00:14:55.000]   and it can have the benefit also of being fairly inexpensive
[00:14:55.000 --> 00:14:58.000]   as compared to other places like the east coast,
[00:14:58.000 --> 00:15:01.000]   just in terms of RV parks, things like that, all of that.
[00:15:01.000 --> 00:15:07.000]   The western U.S. is much, much cheaper, primarily because there's so much public land.
[00:15:07.000 --> 00:15:10.000]   First of all, are you set up for boondocking?
[00:15:10.000 --> 00:15:13.000]   Are you set up to be -- yeah, you've got Starlink, but do you have batteries?
[00:15:13.000 --> 00:15:14.000]   Do you have a generator?
[00:15:14.000 --> 00:15:16.000]   Do you have a plan for parking out in the middle of the field,
[00:15:16.000 --> 00:15:19.000]   or will you mostly be connected at RV parks?
[00:15:19.000 --> 00:15:20.000]   We're raiders.
[00:15:20.000 --> 00:15:21.000]   We're neighbors.
[00:15:21.000 --> 00:15:22.000]   We're trailblazers.
[00:15:22.000 --> 00:15:24.000]   We're at the top of our game.
[00:15:24.000 --> 00:15:25.000]   And we're more than the strip.
[00:15:25.000 --> 00:15:27.000]   We're beyond your wildest expectations.
[00:15:27.000 --> 00:15:29.000]   We're headfirst into the currents of change.
[00:15:29.000 --> 00:15:31.000]   We love a good challenge.
[00:15:31.000 --> 00:15:35.000]   A better cost of living and an incredible retirement plan as a teacher in Las Vegas
[00:15:35.000 --> 00:15:37.000]   for the Clark County School District.
[00:15:37.000 --> 00:15:38.000]   We are Vegas.
[00:15:38.000 --> 00:15:40.000]   We are CCSD.
[00:15:40.000 --> 00:15:43.000]   Start your adventure at teach.ccsd.net.
[00:15:43.000 --> 00:15:45.000]   We are CCSD.
[00:15:45.000 --> 00:15:50.000]   Start your adventure at teach.ccsd.net.
[00:15:50.000 --> 00:15:53.000]   No, I've got a three-quarter ton pickup.
[00:15:53.000 --> 00:15:57.000]   The axle's flipped on the camper, so I can go down pretty gnarly roads.
[00:15:57.000 --> 00:16:04.000]   I've got a -- I think it's a 2,000-watt battery pack to power a Starlink laptop for a day.
[00:16:04.000 --> 00:16:06.000]   I've got a generator and solar panels.
[00:16:06.000 --> 00:16:07.000]   Perfect.
[00:16:07.000 --> 00:16:08.000]   You're set up.
[00:16:08.000 --> 00:16:10.000]   So then your biggest constraint is usually going to be water.
[00:16:10.000 --> 00:16:17.000]   And in that case, just make sure you have the ability with some jugs to bring yourself water when you need to.
[00:16:17.000 --> 00:16:23.000]   But if you're a single guy and you've got a 50-gallon tank -- I stretched with my wife and three children.
[00:16:23.000 --> 00:16:26.000]   We just had our standard, I think, 51-gallon freshwater tank.
[00:16:26.000 --> 00:16:29.000]   The longest we did was -- what's the name of that park?
[00:16:29.000 --> 00:16:40.000]   There's a beautiful national forest just to the west of Cheyenne, Wyoming.
[00:16:40.000 --> 00:16:44.000]   West of Cheyenne, there's an amazing mountain that we went up at.
[00:16:44.000 --> 00:16:45.000]   That's a big one.
[00:16:45.000 --> 00:16:46.000]   Yeah.
[00:16:46.000 --> 00:16:48.000]   I can't remember the name of the park.
[00:16:48.000 --> 00:16:49.000]   I could look it up.
[00:16:49.000 --> 00:16:52.000]   But it was our kind of peak experience.
[00:16:52.000 --> 00:16:53.000]   We were there early in the season.
[00:16:53.000 --> 00:16:58.000]   We'd gone to Cheyenne Frontier Days, and this park, there was still snow melt.
[00:16:58.000 --> 00:17:03.000]   And it was a little RV park up at the top of the mountain in just this absolutely spectacular setting.
[00:17:03.000 --> 00:17:10.000]   And it was the kind of thing that our pictures looked like the pictures of a brochure, of a travel trailer brochure.
[00:17:10.000 --> 00:17:13.000]   Right out the door is a beautiful alpine lake.
[00:17:13.000 --> 00:17:22.000]   There's a little bit of snowpack still melting near the camper, which was fun for the children to throw the slushy, sleety ice back and forth.
[00:17:22.000 --> 00:17:26.000]   And it was a hassle to get up to the place because the road was small.
[00:17:26.000 --> 00:17:30.000]   And so it wasn't the kind of place that was just comfortable to go in and out.
[00:17:30.000 --> 00:17:33.000]   So we said, "Well, let's stay here as long as we can."
[00:17:33.000 --> 00:17:38.000]   So we were able to stretch our 51 gallons to a week with just being very, very cautious.
[00:17:38.000 --> 00:17:42.000]   So you could certainly get a couple weeks in if you practice water conservation.
[00:17:42.000 --> 00:17:50.000]   But that's going to usually be your constraining factor because with your generator and your battery pack and whatnot, you're fine for a few days.
[00:17:50.000 --> 00:17:55.000]   You don't generally need to run an air conditioning as long as you're at a high altitude and not where it's hot.
[00:17:55.000 --> 00:17:57.000]   And it's just going to be great.
[00:17:57.000 --> 00:17:59.000]   So the first thing is consider following the weather.
[00:17:59.000 --> 00:18:02.000]   That's one thing that is pretty consistently done.
[00:18:02.000 --> 00:18:06.000]   Figure out what weather you like and go north and south based upon the weather.
[00:18:06.000 --> 00:18:10.000]   And if it gets hot, go higher in elevation, go a little bit lower.
[00:18:10.000 --> 00:18:12.000]   Try to plan, obviously, around your weekend.
[00:18:12.000 --> 00:18:16.000]   And so the point of the RV is to get you in a place where there are events that are close to you.
[00:18:16.000 --> 00:18:20.000]   So Cheyenne Frontier Days, for example, one of my favorite things that we've ever done.
[00:18:20.000 --> 00:18:25.000]   It is such a great show and just totally, totally different than a lot of other things.
[00:18:25.000 --> 00:18:28.000]   Or think about where you're going to be for 4th of July.
[00:18:28.000 --> 00:18:30.000]   For us, we were in 4th of July.
[00:18:30.000 --> 00:18:31.000]   We were in a little town.
[00:18:31.000 --> 00:18:33.000]   We had some friends in Kansas City.
[00:18:33.000 --> 00:18:40.000]   And we went an hour and a half, two hours outside of Kansas City to this little town where our friend's father and family was from.
[00:18:40.000 --> 00:18:46.000]   And just had the absolute quintessential 4th of July experience at this little town in Kansas.
[00:18:46.000 --> 00:18:48.000]   And it was just phenomenal.
[00:18:48.000 --> 00:18:52.000]   And so you just want to think about where you want to be on the weekends because obviously you're going to be working.
[00:18:52.000 --> 00:18:57.000]   And the nice thing about the RV is you're comfortable in a variety of locations.
[00:18:57.000 --> 00:19:00.000]   I have enjoyed very much being off the beaten path.
[00:19:00.000 --> 00:19:04.000]   And so being out on the mountain, way in the middle of nowhere, doing hiking, that's great.
[00:19:04.000 --> 00:19:07.000]   It's also great to be right downtown in the middle of the city.
[00:19:07.000 --> 00:19:10.000]   So I would assume you're familiar with the various apps.
[00:19:10.000 --> 00:19:12.000]   I've forgotten all the names of them now.
[00:19:12.000 --> 00:19:20.000]   But there's a bunch of apps that have campsites and locations so that you can plan out your events and just be open to the serendipity of the road.
[00:19:20.000 --> 00:19:23.000]   Beyond that, the technology should work.
[00:19:23.000 --> 00:19:25.000]   Starlink has been a game changer.
[00:19:25.000 --> 00:19:27.000]   When we did it, it was before Starlink.
[00:19:27.000 --> 00:19:33.000]   And I had cell phone connections and data spots and MIMO antennas and all that stuff.
[00:19:33.000 --> 00:19:35.000]   And it was just an enormous hassle.
[00:19:35.000 --> 00:19:37.000]   And it wasn't very reliable.
[00:19:37.000 --> 00:19:40.000]   But Starlink has been a total game changer because it's so reliable.
[00:19:40.000 --> 00:19:42.000]   It's still probably not perfect.
[00:19:42.000 --> 00:19:45.000]   So you'll need to plan ahead and check out your spots.
[00:19:45.000 --> 00:19:58.000]   And so if you know you need to be at work on Monday morning at 8 a.m., usually you'll need to be in your spot by Sunday checking to make sure your data and everything is going to be reliable with your new spot so that you can be relaxed about being able to meet your work obligations.
[00:19:58.000 --> 00:20:01.000]   But without any more specific question, I'd say I love it.
[00:20:01.000 --> 00:20:14.000]   If I weren't raising children, there's a good chance that I would be spending most or all of my time living in a camper just traveling around the United States and Canada and Mexico just because I enjoy the lifestyle so much.
[00:20:14.000 --> 00:20:17.000]   Yeah, awesome.
[00:20:17.000 --> 00:20:19.000]   Yeah, cool.
[00:20:19.000 --> 00:20:20.000]   Well, thank you.
[00:20:20.000 --> 00:20:22.000]   And yeah, very much.
[00:20:22.000 --> 00:20:24.000]   This has been many years coming.
[00:20:24.000 --> 00:20:38.000]   And I'm, yeah, at some point I'm just, I've been saving very frugally for many, for a decade or so and close to call it mustache and fire probably there and plus a little more.
[00:20:38.000 --> 00:20:42.000]   I'm just like trying to, you know, let off the gas a little and live a little.
[00:20:42.000 --> 00:20:47.000]   And I've always wanted, grew up camp in the West and always wanted to do this.
[00:20:47.000 --> 00:20:51.000]   I was like, yeah, why don't I just go buy a three-quarter ton in a camper and have a good time?
[00:20:51.000 --> 00:20:52.000]   You will.
[00:20:52.000 --> 00:20:55.000]   The mistake that all new travelers make is they travel too hard.
[00:20:55.000 --> 00:20:56.000]   They move too fast.
