
[00:00:00.000 --> 00:00:01.000]   Thao Yeager:
[00:02:24.760 --> 00:02:29.160]   So here's a partial list of the hard things that done right collectively add up to that magic.
[00:02:29.160 --> 00:02:37.000]   So real time responsiveness, which we've all in this whole track all day talked about as the foundation thing you have to get right or voice AI is unworkable.
[00:02:37.000 --> 00:02:45.400]   Through the things that we're just starting to experiment with, like generating dynamic user interface elements for every conversational turn.
[00:02:45.400 --> 00:02:49.600]   These are the things we've been hacking on and thinking about together for the past few months.
[00:02:49.600 --> 00:02:54.400]   And we're not going to go over all of these today, although we did have a little extra time in the session, right, Thor?
[00:02:54.400 --> 00:03:02.000]   Thor said we could talk for like a couple of hours, maybe, but we do have a framework that we thought would be useful to share with you,
[00:03:02.000 --> 00:03:06.960]   a framework that sort of maps onto how we've worked together from the model layer all the way up.
[00:03:06.960 --> 00:03:12.880]   Yeah, and this barely scratches the surface, but here are the layers of the voice AI stack.
[00:03:12.880 --> 00:03:20.480]   So at the bottom, underpinning everything, you have the large language models that frontier labs like DeepMind work on.
[00:03:20.480 --> 00:03:28.080]   Then above that, you have carefully designed, but at this stage, constantly evolving, real-time APIs.
[00:03:28.080 --> 00:03:31.520]   Google's version is called the Gemini Live API.
[00:03:31.520 --> 00:03:46.080]   Above the APIs are the orchestration libraries and frameworks, like PipeCat, that help to manage and abstract the complexity of building these real-time multimodal applications.
[00:03:46.080 --> 00:03:51.040]   And then, of course, at the top of the stack, you have the application code.
[00:03:51.040 --> 00:03:57.680]   For each of the hard things we listed on the previous slide, the code that implements that hard thing lives somewhere in that stack.
[00:03:57.680 --> 00:04:03.760]   So one of the ways we think about this is that there's a map, and you can sort of think about it two-dimensionally, maybe.
[00:04:03.760 --> 00:04:10.480]   There's the, where does the code live that kind of solves the hard problem that you're, you know, you're thinking about as a voice agent developer?
[00:04:10.480 --> 00:04:12.000]   Where in the stack?
[00:04:12.000 --> 00:04:16.160]   And then how mature is our solution to that right now?
[00:04:16.160 --> 00:04:19.520]   Yeah, basically how solved is this thing?
[00:04:19.520 --> 00:04:28.480]   And what we've tried to do here is map all of these various things that you need to get right on a right-to-left axis of maturity.
[00:04:28.480 --> 00:04:32.320]   And there are a couple of things that are kind of top of mind for me about this mapping.
[00:04:32.320 --> 00:04:36.240]   One is that I don't think of any of these things as more than about 50% solved.
[00:04:36.240 --> 00:04:38.960]   Totally arbitrary, like personal thing.
[00:04:38.960 --> 00:04:40.560]   Shrestha and I just argued about it a little bit.
[00:04:40.560 --> 00:04:43.360]   Like what's the right way to represent that on this slide?
[00:04:43.360 --> 00:04:45.680]   But what we're trying to say is basically it's early.
[00:04:45.680 --> 00:04:46.960]   It's early for voice AI.
[00:04:46.960 --> 00:04:54.080]   And there's a lot of work to do at every part of the stack to get to that universal voice UI we're imagining.
[00:04:54.960 --> 00:05:01.200]   Yeah, and secondly, as this technology matures, and we've already seen some of this happening,
[00:05:01.200 --> 00:05:05.600]   the capabilities tend to move down the stack.
[00:05:05.600 --> 00:05:13.360]   So what might happen is in your one-off individual applications, you might write some code to solve a specifically difficult challenge.
[00:05:13.360 --> 00:05:25.600]   Now, if enough people experience that challenge, then that tends to get built into the orchestration libraries and frameworks and then eventually make its way into the APIs.
[00:05:26.480 --> 00:05:33.680]   But independently of all of that, the models themselves are getting more and more generally capable.
[00:05:33.680 --> 00:05:38.000]   I mean, we just talked about semantic voice activity detection in the previous talk.
[00:05:38.000 --> 00:05:46.400]   Yeah, this is like a great follow-on to Tom's talk about turn detection because I think turn detection is a perfect example of this.
[00:05:46.400 --> 00:05:52.400]   So like I built some of the first talk to an LLM voice AI applications a little over two years ago now.
[00:05:52.400 --> 00:05:58.640]   And I tried to solve turn detection right there in the application code because there weren't any tools yet for it.
[00:05:58.640 --> 00:06:06.240]   A few months later, we built what we thought were pretty generalized at the time, state-of-the-art turn detection implementations into PipeCat.
[00:06:06.240 --> 00:06:08.320]   So moved down the layer into the framework.
[00:06:08.320 --> 00:06:18.000]   Now, Shrestha has turn detection in the multimodal live API, sort of inside the surface area of those same APIs that are doing inference and other things for you.
[00:06:18.000 --> 00:06:23.960]   And I think all of us, as Tom said, expect the models over time to just do turn detection for us.
[00:06:23.960 --> 00:06:32.120]   And all those hard things, it varies depending on exactly what you're talking about of that long list we put together on that slide.
[00:06:32.120 --> 00:06:35.800]   But in general, I think everything is moving down the stack.
[00:06:35.800 --> 00:06:40.200]   And then more and more interesting use cases are creating more things to put sort of at the top of the stack.
[00:06:40.200 --> 00:06:51.440]   Yeah, I will say we have server-side turn detection built in, but we also allow you to turn off turn detection and use models like Daily and LiveKit.
[00:06:53.320 --> 00:06:56.720]   So should we start with the demo?
[00:06:56.720 --> 00:06:57.720]   Yeah, we can.
[00:06:57.720 --> 00:07:00.040]   We do have a demo to show you.
[00:07:00.040 --> 00:07:06.920]   And it's sort of a demo of some stuff I've been using in my own life every day for the last year or so.
[00:07:06.920 --> 00:07:17.320]   I've been experimenting with talking to my computer and my phone as much as I can to do various things, as you can imagine because I post about it probably too often on social media.
[00:07:17.320 --> 00:07:25.320]   And one of the things that's become really sticky for me is kind of managing my priorities in like a very loose way with voice AI.
[00:07:25.320 --> 00:07:37.240]   These days, the conversations I have with my phone and my computer often tend to be in this sort of funny and interesting and new gray area for me between like a to-do list and brainstorming or kind of trying to work stuff out.
[00:07:37.720 --> 00:07:46.040]   And because I write this code for myself and I'm always messing with it, this is definitely a cobbler's children never wear shoes situation.
[00:07:46.040 --> 00:07:47.480]   Like I don't have unit tests.
[00:07:47.480 --> 00:07:49.480]   I don't have evals for this code.
[00:07:49.480 --> 00:07:52.360]   I'm always using like Shresta's latest models.
[00:07:52.360 --> 00:07:55.080]   I'm always using some bleeding edge branch or pipe cat.
[00:07:55.080 --> 00:08:03.720]   So what I thought would be fun to do is fire up a version of this code, have Shresta talk to it and see what breaks.
[00:08:03.720 --> 00:08:09.080]   And then maybe we can talk about like where those bugs are and like how I could have done better next time.
[00:08:09.080 --> 00:08:16.200]   Yeah, I will say having played with this, there's quite a lot of variation in how the model behaves.
[00:08:16.200 --> 00:08:18.440]   So we'll see where we get to there.
[00:08:18.440 --> 00:08:33.480]   One thing that I think is interesting is as I write more and more of this code, I keep relearning the lesson that the way the models drive the whole application cycle is very different from my traditional programmers view of things.
[00:08:33.480 --> 00:08:39.800]   So half the things I'm sure you encountered when you were like playing with this are the model did something that my code actually didn't expect.
[00:08:39.800 --> 00:08:42.600]   That might have been bad, but it might actually been good.
[00:08:42.600 --> 00:08:45.480]   And that's a whole sort of adjustment to how we think about these applications.
[00:08:45.480 --> 00:08:48.120]   Yeah, there's definitely pleasant surprises also.
[00:08:48.120 --> 00:08:50.680]   I am ready.
[00:08:50.680 --> 00:08:54.280]   Okay, do I talk?
[00:08:54.280 --> 00:08:59.880]   I think you can just talk and I don't think I can mute it because I don't know how to use the mouse backwards very well.
[00:08:59.880 --> 00:09:01.320]   Okay.
[00:09:01.320 --> 00:09:03.480]   Yeah, you can talk whenever you're ready.
[00:09:03.480 --> 00:09:05.400]   No problem.
[00:09:05.400 --> 00:09:07.320]   I'm here to help whenever you need.
[00:09:07.320 --> 00:09:09.400]   Yep, I can hear you loud and clear.
[00:09:09.400 --> 00:09:11.800]   All right.
[00:09:11.800 --> 00:09:13.640]   Okay.
[00:09:13.640 --> 00:09:15.480]   What can I help you with today?
[00:09:15.880 --> 00:09:16.200]   Yes.
[00:09:16.200 --> 00:09:21.720]   Can you help me create a grocery list for asparagus pizza?
[00:09:21.720 --> 00:09:24.520]   Got it.
[00:09:24.520 --> 00:09:27.160]   Pizza ingredients are added to your girfie list.
[00:09:27.160 --> 00:09:28.200]   Anything else?
[00:09:28.200 --> 00:09:32.600]   Can you list out the pizza ingredients for asparagus pizza though?
[00:09:32.600 --> 00:09:35.640]   Sure.
[00:09:35.640 --> 00:09:42.600]   I've updated the grocery list to include pizza crust, mozzarella cheese, tomato sauce, and asparagus.
[00:09:42.600 --> 00:09:43.480]   Anything else?
[00:09:43.480 --> 00:09:48.920]   Would you add anything else to the list?
[00:09:48.920 --> 00:09:54.760]   I've added garlic and olive oil to the list.
[00:09:54.760 --> 00:09:55.880]   Does that sound right?
[00:09:55.880 --> 00:09:57.240]   That sounds perfect.
[00:09:57.240 --> 00:09:57.880]   All right.
[00:09:57.880 --> 00:09:59.720]   Now, let's create my reading list.
[00:09:59.720 --> 00:10:01.160]   So--
[00:10:01.160 --> 00:10:01.480]   Great.
[00:10:01.480 --> 00:10:04.360]   Can you create--
[00:10:04.360 --> 00:10:05.640]   Start adding to your reading list.
[00:10:05.640 --> 00:10:06.360]   Okay, great.
[00:10:06.360 --> 00:10:07.480]   Absolutely.
[00:10:07.480 --> 00:10:08.680]   What books would you like to have?
[00:10:08.680 --> 00:10:09.160]   Turn detection, yeah.
[00:10:11.080 --> 00:10:12.360]   Okay, reading list.
[00:10:12.360 --> 00:10:15.720]   Can you add the--
[00:10:15.720 --> 00:10:19.720]   Please add the first book, Dream Count, and can you look up the author?
[00:10:19.720 --> 00:10:21.960]   I've added quick to your reading list.
[00:10:21.960 --> 00:10:24.680]   No, that was not the book I wanted to add.
[00:10:24.680 --> 00:10:30.360]   Please add the first book, Dream Count, and look up the author for me.
[00:10:36.840 --> 00:10:37.560]   Hey, are you there?
[00:10:37.560 --> 00:10:39.800]   Hey, are you there?
[00:10:39.800 --> 00:10:41.080]   Segmentation fault.
[00:10:41.080 --> 00:10:44.440]   Got it.
[00:10:44.440 --> 00:10:46.920]   Segmentation fault is added to your reading list.
[00:10:46.920 --> 00:10:48.040]   What's next?
[00:10:48.040 --> 00:10:52.440]   I guess I'll have to--
[00:10:52.440 --> 00:10:58.120]   It clearly couldn't find the author for that one.
[00:10:58.120 --> 00:11:01.320]   But let's try one last time.
[00:11:01.320 --> 00:11:05.400]   Okay, one more book, Dream Count, and can you look up the author?
[00:11:05.400 --> 00:11:10.520]   Hey, are you there?
[00:11:10.520 --> 00:11:14.200]   Segmentation.
[00:11:14.200 --> 00:11:20.120]   Okay, segmentation has been added to your reading.
[00:11:20.120 --> 00:11:24.120]   It just likes your voice better than mine.
[00:11:24.120 --> 00:11:26.680]   All right, no.
[00:11:26.680 --> 00:11:32.440]   Segmentation fault is great, but I would really like to read Dream Count.
[00:11:32.440 --> 00:11:34.520]   Can you add Dream Count?
[00:11:39.240 --> 00:11:41.080]   All right, hey, are you still there?
[00:11:41.080 --> 00:11:44.760]   Yes, I'm still here.
[00:11:44.760 --> 00:11:46.360]   How can I help you?
[00:11:46.360 --> 00:11:53.320]   Okay, can you add the second and third books of the three-body problem trilogy?
[00:11:53.320 --> 00:11:56.920]   Sure, the second and third-- both segmentation fault and--
[00:11:56.920 --> 00:11:58.520]   While segmentation--
[00:11:58.520 --> 00:12:01.960]   Can you add the second and third books of the three-body--
[00:12:01.960 --> 00:12:03.320]   This will also be a computer science concept.
[00:12:03.320 --> 00:12:05.320]   Is there anything else I can help you with?
[00:12:05.320 --> 00:12:11.640]   I swear it worked much better 10 times last night.
[00:12:11.640 --> 00:12:15.720]   I apologize for my performances in Up to Part today.
[00:12:15.720 --> 00:12:18.520]   Is there anything specific you'd like me to try again?
[00:12:18.520 --> 00:12:25.080]   Well, maybe you can try-- all right, but let's recover here.
[00:12:26.600 --> 00:12:31.560]   Please add the second and third books of the three-body problem trilogy.
[00:12:31.560 --> 00:12:39.480]   You want to add the second and third books of the three-body problem trilogy.
[00:12:39.480 --> 00:12:40.600]   I've added--
[00:12:40.600 --> 00:12:44.440]   I just want to point out that it did look up the names and find it.
[00:12:44.440 --> 00:12:47.800]   Let's see if it'll co-operate it.
[00:12:47.800 --> 00:12:54.200]   This one might be in its training data because it's a bit older,
[00:12:54.200 --> 00:12:58.680]   but the dream count one, which it was spectacular on last night,
[00:12:58.680 --> 00:13:00.840]   it did a Google search because it's a new book.
[00:13:00.840 --> 00:13:03.400]   All right, let's move on.
[00:13:03.400 --> 00:13:07.400]   Can you create a new list for me called work tasks?
[00:13:07.400 --> 00:13:15.800]   So first item, I would like to say, create H2 roadmap by end of day Friday.
[00:13:15.800 --> 00:13:18.280]   Got it.
[00:13:18.280 --> 00:13:22.280]   Create H2 roadmap by end of day Friday is added to your work list.
[00:13:22.280 --> 00:13:23.160]   I don't see it.
[00:13:23.160 --> 00:13:24.280]   Can you show me on the screen?
[00:13:24.280 --> 00:13:28.120]   I've displayed the work list for you.
[00:13:28.120 --> 00:13:28.760]   All right.
[00:13:28.760 --> 00:13:29.000]   You should see it.
[00:13:29.000 --> 00:13:31.160]   Let's add another item.
[00:13:31.160 --> 00:13:34.280]   Okay, what's the next item?
[00:13:34.280 --> 00:13:37.560]   Finish writing podcast script by end of day Thursday.
[00:13:37.560 --> 00:13:39.000]   And can you add the exact date?
[00:13:39.000 --> 00:13:46.920]   Okay, I've added finish writing podcast script by end of day Thursday to your work list.
[00:13:46.920 --> 00:13:49.480]   What's the exact date for end of day Thursday?
[00:13:49.480 --> 00:13:54.760]   Today is Wednesday, June 4th, 2025.
[00:13:54.760 --> 00:13:58.680]   So end of day Thursday is June 5th, 2025.
[00:13:58.680 --> 00:14:00.120]   Can you add that to the list?
[00:14:00.120 --> 00:14:05.080]   Yes, I've added the exact date to the work list.
[00:14:05.080 --> 00:14:05.720]   All right.
[00:14:05.720 --> 00:14:10.760]   It now says finish writing podcast script by end of day Thursday, June 5th, 2025.
[00:14:10.760 --> 00:14:13.160]   Is there anything else you'd like to add to the list?
[00:14:13.160 --> 00:14:13.800]   Yes, actually.
[00:14:13.800 --> 00:14:14.280]   Or anything else?
[00:14:14.280 --> 00:14:14.840]   Yes.
[00:14:14.840 --> 00:14:15.320]   Yes, I would.
[00:14:15.320 --> 00:14:24.360]   Can you combine my grocery list, my reading list, and my work list and split them into two lists,
[00:14:24.360 --> 00:14:26.440]   personal tasks and work tasks?
[00:14:26.440 --> 00:14:32.920]   I've combined your grocery list, reading list, and work list.
[00:14:32.920 --> 00:14:35.560]   They are now displayed on the screen as separate lists.
[00:14:35.560 --> 00:14:41.400]   Why are garlic and olive oil separate from pizza ingredients?
[00:14:41.400 --> 00:14:44.120]   Can you flesh out the grocery list, please?
[00:14:44.120 --> 00:14:47.800]   You're right.
[00:14:47.800 --> 00:14:52.280]   I've updated the grocery list to include garlic and olive oil as part of the pizza ingredients.
[00:14:52.280 --> 00:14:52.760]   All right.
[00:14:52.760 --> 00:14:55.000]   And can you consolidate the work list?
[00:14:55.000 --> 00:14:56.120]   I see two on the screen.
[00:14:56.120 --> 00:14:59.880]   You're right.
[00:14:59.880 --> 00:15:01.880]   I apologize for the duplication.
[00:15:01.880 --> 00:15:04.760]   I've consolidated the work list to a single entry.
[00:15:04.760 --> 00:15:06.760]   You should now see the updated list on the screen.
[00:15:06.760 --> 00:15:08.200]   Okay.
[00:15:08.200 --> 00:15:11.560]   And then finally, can you do the following?
[00:15:11.560 --> 00:15:17.800]   Can you assign grocery list to Quinn, reading list to Shrestha,
[00:15:17.800 --> 00:15:21.240]   with the exception of segmentation fault, which Quinn will read,
[00:15:22.040 --> 00:15:23.720]   and work list to Shrestha.
[00:15:23.720 --> 00:15:28.040]   I understand you want to assign the grocery list to Quinn,
[00:15:28.040 --> 00:15:32.680]   the reading list to Shrestha, except for segmentation fault, which Quinn will read,
[00:15:32.680 --> 00:15:34.520]   and the work list to Shrestha as well.
[00:15:34.520 --> 00:15:35.960]   Can you show that on the screen?
[00:15:35.960 --> 00:15:42.520]   I've updated the lists to show the assignments you specified.
[00:15:42.520 --> 00:15:44.600]   You should now see the updated lists on the screen.
[00:15:44.600 --> 00:15:50.920]   And you've spelt my name correctly, which was the harder name, but you spelled Quinn incorrectly.
[00:15:50.920 --> 00:15:55.240]   But okay, we're out of time here.
[00:15:55.240 --> 00:15:55.720]   Okay.
[00:15:55.720 --> 00:16:02.200]   So if we want, the final thing here is we would like to have a nice background for this app.
[00:16:02.200 --> 00:16:03.880]   So can you--
[00:16:03.880 --> 00:16:05.320]   I apologize for spelling your name.
[00:16:05.320 --> 00:16:06.280]   Okay.
[00:16:06.280 --> 00:16:10.920]   Could you help us generate-- actually, I'll be more assertive.
[00:16:10.920 --> 00:16:19.720]   Please generate an app that has the words "hello world" jumping up and down on the screen,
[00:16:19.720 --> 00:16:21.640]   with the colors of Google.
[00:16:21.640 --> 00:16:27.720]   And then we also want two neon green ASCII cats, which are animated.
[00:16:27.720 --> 00:16:36.600]   I'm now generating an app with "hello world" jumping up and down in Google colors,
[00:16:36.600 --> 00:16:39.480]   and two animated neon green ASCII cats.
[00:16:39.480 --> 00:16:41.640]   It may take a moment for the app to appear on your screen.
[00:16:41.640 --> 00:17:01.400]   Detention.
[00:17:01.400 --> 00:17:11.880]   So yeah, there you have the Google colors and the cats from PipeCat.
[00:17:11.880 --> 00:17:14.680]   So with that, I'll hand it over to Quinn.
[00:17:14.680 --> 00:17:19.400]   So first, you should go back to your pride of place right in the middle.
[00:17:19.400 --> 00:17:22.600]   Thank you for being such a good sport.
[00:17:22.600 --> 00:17:28.120]   Very messy code on my part, including things like basically no instructions to the LLM about
[00:17:28.120 --> 00:17:33.000]   how to display text on the screen and just telling it it has a function that can display text on the
[00:17:33.000 --> 00:17:38.360]   screen and it sort of guesses and learns in context, as you can tell from Trista, about when it should
[00:17:38.360 --> 00:17:43.720]   clear the screen because there's an optional clear argument to the add text to the screen function.
[00:17:43.720 --> 00:17:49.560]   And it's super impressive, but also super jagged frontier about whether it kind of can intuit what
[00:17:49.560 --> 00:17:54.840]   you want to do in those contexts. So thank you for like doing this because this is what I do all the
[00:17:54.840 --> 00:17:59.080]   time with this code trying to figure out like what these models can do and what kind of code you have
[00:17:59.080 --> 00:18:01.960]   to write and what you don't have to scaffold for them to do well.
[00:18:01.960 --> 00:18:08.600]   Yeah. And it's been, you know, playing with this, every turn is different. And it's interesting to see
[00:18:08.600 --> 00:18:16.680]   the things that it struggles with, like your name, even if I spell out the exact letters, it somehow really
[00:18:16.680 --> 00:18:23.320]   wants to spell Quinn the way it spells. I think it also, I mean, turn detection, as we saw,
[00:18:23.320 --> 00:18:29.480]   there's a lot of work that can be done, of course, there. And I'm trying to remember this. And there's,
[00:18:29.480 --> 00:18:34.120]   of course, a lot of variation. And sometimes here, like, there are times when it gets the grocery list
[00:18:34.120 --> 00:18:38.920]   perfect and, you know, combines the list perfectly. And sometimes it's a bit in the middle, like here.
[00:18:38.920 --> 00:18:44.200]   And the way this code works is it just for a given like session, it loads lots and lots and
[00:18:44.200 --> 00:18:49.000]   lots of previous conversational sessions in user assistant, user assistant sort of messages does
[00:18:49.000 --> 00:18:53.000]   sometimes depending on the version of the code I've like got running, it summarizes a little bit,
[00:18:53.000 --> 00:18:59.160]   sometimes it doesn't. So we really are leaning on the intelligence of the LLM to do all of the sort of
[00:18:59.160 --> 00:19:05.080]   contextual understanding about what we mean by a list, what we mean by the context in that in which we are
[00:19:05.080 --> 00:19:10.120]   talking about that list. It is super amazing that it that it works at all, basically, in my mind.
[00:19:10.120 --> 00:19:14.680]   And it's all voice driven, and it's all multimodal from the ground up. We have a whole nother video
[00:19:14.680 --> 00:19:18.280]   we can show, but I definitely think we're we're out of time. So we will.
[00:19:18.280 --> 00:19:21.560]   You have the final talk, and everyone seems to be excited.
[00:19:21.560 --> 00:19:24.760]   So maybe should we talk about our grandmothers?
[00:19:24.760 --> 00:19:30.120]   Oh, yes, I totally forgot that part. Sorry, let's skip past the demo where it gets the grocery list perfect.
[00:19:30.120 --> 00:19:32.920]   I think maybe this crowd would like to see that demo.
[00:19:32.920 --> 00:19:39.240]   No, that was great. So this has been fun for me to work on because like it's so relevant to my everyday life.
[00:19:39.240 --> 00:19:45.320]   But in Shrestha and I were talking about it, and I think there's actually something else that really kind of hooked me that she said.
[00:19:45.320 --> 00:19:53.000]   Yeah, so you know, my grandmother was Indian, of course, and she used to wear this cloth garment called a sari.
[00:19:53.000 --> 00:19:59.880]   And her way of reminding herself when she had to do things was tying knots on the sari, of course.
[00:19:59.880 --> 00:20:06.120]   And then I was chatting with Quinn. And what was incredible is apparently his grandmother in North Carolina.
[00:20:06.120 --> 00:20:11.960]   So very different from Calcutta in India used to tie strings around her fingers.
[00:20:13.320 --> 00:20:21.720]   Firstly, you know, this is kind of incredible. You know, no matter how many continents separate us, like smart people come up with the same generally intelligent patterns.
[00:20:21.720 --> 00:20:27.560]   But it's also incredible how technology allows humans to evolve.
[00:20:27.560 --> 00:20:33.640]   Now, the one problem with either the knots or the strings is you knew you had to remember something, but you didn't know what it was.
[00:20:33.640 --> 00:20:43.800]   So you still relied on your memory. And, you know, ultimately, that's why I do the work I do at Google, because I want to build the technologies
[00:20:43.800 --> 00:20:53.560]   that enable, you know, an infinite world of creative possibilities tomorrow, or even today, across continents.
[00:20:53.560 --> 00:21:00.520]   And I just want to say that we believe that voice is the most natural of interfaces.
[00:21:00.520 --> 00:21:06.120]   And there will come a world where most of the interaction with language models will happen via voice.
[00:21:06.120 --> 00:21:11.720]   And the Gemini models are trained to be multimodal from the ground up.
[00:21:11.720 --> 00:21:16.120]   So, of course, they ingest text, voice, but also images and video.
[00:21:16.120 --> 00:21:24.840]   So if you have any questions about Gemini, please reach out to me on X, on LinkedIn, email, wherever.
[00:21:24.840 --> 00:21:26.840]   Happy to work with builders like yourself.
[00:21:26.840 --> 00:21:42.520]   Yeah, thanks for coming to the talk. And we would love to see what you build with these models and APIs.

