
[00:00:00.000 --> 00:00:10.380]   I want to shift us to rocking. I really dislike rocking, but now you got me rocking. So tell us
[00:05:45.660 --> 00:05:50.140]   gathered, like gathering. We're hunters and gatherers. Gathering is literally walking around,
[00:05:50.140 --> 00:05:56.080]   finding some food, carrying it, finding more, carrying it back to camp. And then we got, you know,
[00:05:56.080 --> 00:06:04.420]   cars. We got grocery carts. We got XYZ. We got furniture dollies that we don't carry as much.
[00:06:04.420 --> 00:06:11.740]   And I think we've lost a really important form of human movement and physical activity that we're
[00:06:11.740 --> 00:06:19.100]   literally born to do. And so my suggestion to all the listeners is get some weight and carry it.
[00:06:19.100 --> 00:06:23.740]   Easy to throw some weight in the backpack and go for a walk. And it'll be good for you.
[00:06:24.160 --> 00:06:30.960]   How much weight and how far? So if someone is just starting, I tell them to start light. I think,
[00:06:30.960 --> 00:06:35.780]   so after I published The Comfort Crisis with the, there's a chat, there's an entire chapter on
[00:06:35.780 --> 00:06:42.200]   walking with weight or rucking. I got all these people in the military, rucking destroyed me.
[00:06:42.200 --> 00:06:46.860]   Okay, well, how much did the military start you with? A hundred pounds. It's like, well, yeah.
[00:06:47.320 --> 00:06:54.200]   It's like, if you did anything at that intensity immediately, just immediately went into like
[00:06:54.200 --> 00:06:59.100]   the red, you're going to get injured. You know, it could be squatting. It's like, yeah, I tried to
[00:06:59.100 --> 00:07:03.400]   max out on my deadlift every time I deadlifted the first time I deadlifted. Therefore, no one should
[00:07:03.400 --> 00:07:10.780]   deadlift. You need to ease into this. So I tell people, women can start with anywhere from five to,
[00:07:10.780 --> 00:07:17.820]   say 20 pounds to just, um, men, anywhere from 10 to 30, depending on your fitness level.
[00:07:17.820 --> 00:07:23.180]   I would rather have someone really ease in and sort of get used to it. Cause a lot of people will say,
[00:07:23.180 --> 00:07:27.560]   yeah, I went a little too heavy and it really sucked. Like I want you to sort of on ramp slowly.
[00:07:27.560 --> 00:07:33.940]   And then from there you can build up over time. And so I have plenty of, you know, women who might
[00:07:33.940 --> 00:07:41.060]   weigh 130 pounds who now use 30 pounds, which is a significant amount of weight. Um, I'll have men
[00:07:41.060 --> 00:07:45.800]   who, you know, maybe they started with 20 and they're like, that's way too light. Like I, I just have too
[00:07:45.800 --> 00:07:49.400]   much of a base of fitness. It's like, okay, good. Well, I'm glad we started there though. So we know for
[00:07:49.400 --> 00:07:56.320]   sure. And then they've ramped up to say 40, sometimes 60. I mean, for me, I generally,
[00:07:56.320 --> 00:08:02.340]   my sort of go-to weight is probably 35 to 40 pounds. And I find that that's a weight where
[00:08:02.340 --> 00:08:07.480]   it's uncomfortable. It's challenging, but it's also not so soul crushing that I'm like,
[00:08:07.480 --> 00:08:12.200]   I got to end this walk. I guess this absolutely sucks. I can still enjoy it. And of course I'll go
[00:08:12.200 --> 00:08:16.440]   heavier. Sometimes if I'm going really far, sometimes I might be like 20 pounds or something.
[00:08:16.440 --> 00:08:21.800]   You know, I think it's really just like start light, take a walk, see how that feels.
[00:08:21.800 --> 00:08:27.900]   You know, it doesn't have to be too complicated. Yeah. I said, I hate rocking, but, um, I love the
[00:08:27.900 --> 00:08:32.140]   way I feel afterwards. Maybe that's the form of exercise. I don't like there. I just outed myself
[00:08:32.140 --> 00:08:40.420]   as not liking. I find that, um, it forces me to pay attention to some of the smaller stabilizing
[00:08:40.420 --> 00:08:44.900]   muscles. Like you can't be as loose with your gate. You have to be pretty thoughtful, especially if
[00:08:44.900 --> 00:08:50.880]   you're hiking. Um, you can't stride too long here or there. You, you just naturally keeps
[00:08:50.880 --> 00:08:56.980]   you moving more like a pack mule, uh, which I think can be helpful. Um, and I do notice
[00:08:56.980 --> 00:09:03.680]   that when I take off the rucksack or the vest, um, on a different day and I, and I run, I definitely
[00:09:03.680 --> 00:09:09.240]   feel faster and lighter just by way of comparison, probably a real, real change too, due to the state
[00:09:09.240 --> 00:09:12.820]   small stabilizing muscles. This thing about losing more body fat, we'll get, we'll get
[00:09:12.820 --> 00:09:16.720]   people motivated. Yeah. People love, people love that. I think it's also a good tool for
[00:09:16.720 --> 00:09:20.620]   runners because the injury rate is much lower. So if you're within a reasonable amount of weight,
[00:09:20.620 --> 00:09:24.280]   like of course, if you go up to these crazy weights, so I generally tell people, if you
[00:09:24.280 --> 00:09:30.660]   just want like a firm number, don't go over 50 pounds. Um, if you want a more sort of dialed
[00:09:30.660 --> 00:09:34.360]   in number to your body weight, don't go over a third of your body weight. There's a lot
[00:09:34.360 --> 00:09:39.280]   of military research that suggests that, but even for me, like I don't go up to a third of my body
[00:09:39.280 --> 00:09:42.940]   weight all that often, unless I have a really good reason I'm training for something like
[00:09:42.940 --> 00:09:49.300]   backpacking or hunt or something. Um, so if you're in a, within a reasonable amount of weight and not
[00:09:49.300 --> 00:09:54.760]   too heavy, um, the injury rate is exceedingly low. It's not that much higher than the injury rate of
[00:09:54.760 --> 00:10:03.380]   walking and walking is pretty safe. Do you ever experience the kind of, uh, crossover of understanding
[00:10:03.380 --> 00:10:10.060]   between, uh, your physical pursuits and your, um, creative intellectual pursuits? Like, do you find
[00:10:10.060 --> 00:10:15.000]   that for instance, if you, you rock that there's a certain, that you start to recognize where the
[00:10:15.000 --> 00:10:20.640]   resistance is, is it putting on the pack? Is it, uh, you know, a third of the way through you tend to
[00:10:20.640 --> 00:10:26.060]   feel pretty good. Do you notice those contours and do they map to the contour of sitting down and,
[00:10:26.060 --> 00:10:30.660]   and writing, um, that it's hard at first, then it gets easier. And then at some point there's a
[00:10:30.660 --> 00:10:33.040]   breakthrough or else it just plain sucks the whole time.
[00:10:33.040 --> 00:10:38.840]   I think so. I'd like to hear your experience with running, but my experience with running is that
[00:10:38.840 --> 00:10:47.680]   the first, say three miles, they suck. You know, this is hard. Like things just start, you just feel
[00:10:47.680 --> 00:10:53.080]   like resistance. And then eventually, usually after say mile three, all of a sudden I feel like,
[00:10:53.340 --> 00:10:56.660]   oh, I could do this forever. I could do this the rest of the day if I wanted to.
[00:10:56.660 --> 00:11:01.620]   But if I don't go through that first three miles, I'm never going to get to four plus or whatever it
[00:11:01.620 --> 00:11:07.140]   is. And I do feel like that's the same, um, with writing where it's, it's challenging at first,
[00:11:07.140 --> 00:11:11.820]   the things aren't moving, but then things just, things start to move, you know, and you, but you
[00:11:11.820 --> 00:11:17.040]   need to, you need that buy-in. Like you need the, you're not going to have those amazing four plus
[00:11:17.040 --> 00:11:24.000]   miles after mile four or sentence after the 20 paragraphs you deleted. If you don't run the first
[00:11:24.000 --> 00:11:27.060]   three miles or write the first 20 paragraphs.

