
[00:00:00.040 --> 00:00:10.720]   fight
[00:04:36.060 --> 00:04:51.120]   wasn visit, and,,,,,,球 cảVIoya spacecraft whether안� na nhà shaded lots de work. I'm on � heating. I'm, is. I. ., ., ., ., .., ., .,,,,,,,,,,,,.,,,,,,,,,,,, only which is that's, care. parent whichgrund
[00:04:51.120 --> 00:04:52.400]  't in the way and space in the hisовые Госーー scrape it's in the knew it's a
[00:04:52.400 --> 00:04:53.760]   shared the Band's in the norm just complete the he's. So, change the feed the В,, E, is a ibaPM, FIR, titters,aug't,own a
[00:04:53.780 --> 00:05:03.800]   exemption planning and the rules are different depending on whether we're talking about creditor protection in the case of a lawsuit or a judgment becoming a someone becoming a judgment creditor by winning the lawsuit.
[00:05:03.800 --> 00:05:10.800]   And that's different than bankruptcy court protecting our assets through bankruptcy court. There are many, many rules, especially those that relate to bankruptcy.
[00:05:10.800 --> 00:05:22.140]   And those rules are very technical. For example, who is the beneficiary of the five to nine plan when it was when you were putting money into it? When was the contribution made? Was it 365 days before the bankruptcy court at seven ruling or set seven hundred days before the bankruptcy court.
[00:05:22.180 --> 00:05:32.420]   survive
[00:05:32.420 --> 00:05:33.200]   I just В
[00:05:33.200 --> 00:05:35.080]   owed The. You. You. you, brought,,,,,,, beingung,
[00:05:35.080 --> 00:05:50.040]   ا
[00:05:50.520 --> 00:05:58.200]   et
[00:05:58.200 --> 00:06:04.440]   was the en
[00:08:11.820 --> 00:08:22.100]   is
[00:08:22.100 --> 00:08:41.760]  愛. I make this,,,,apse
[00:08:41.800 --> 00:09:11.780]   Nevado. I make this,,, ,,apse
[00:09:11.780 --> 00:09:11.780]   my friend Brandon over the mad scientist
[00:09:11.780 --> 00:09:11.780]   has done really a yeoman's work on
[00:09:11.780 --> 00:09:11.780]   enhancing these accounts and and using
[00:09:11.780 --> 00:09:11.780]   them in ways that the legislators
[00:09:11.780 --> 00:09:11.780]   never intended to help people who are
[00:09:11.780 --> 00:09:11.780]   involved in early retirement the basic
[00:09:11.780 --> 00:09:11.780]   strategy there is that you accumulate
[00:09:11.780 --> 00:09:11.780]   money in the health savings account and
[00:09:11.780 --> 00:09:11.780]   you save and document all of your medical
[00:09:11.780 --> 00:09:11.780]   expenses but you don't immediately take the money out of the account when you incur the medical expenses rather you use other sources of income other savings to pay for those medical expenses you
[00:09:11.780 --> 00:09:11.780]   you don't immediately take the money out of the account when you incur the medical expenses you
[00:09:11.780 --> 00:09:11.780]   you don't immediately take the money out of the account when you incur the medical expenses you
[00:09:11.780 --> 00:09:11.780]   you don't immediately take the money out of the account when you incur the medical expenses you
[00:09:11.780 --> 00:09:11.780]   you don't immediately take the money out of the account when you incur the medical expenses you
[00:09:11.780 --> 00:09:35.880]   in the medical expenses you simply accumulate all of your
[00:09:35.880 --> 00:09:35.880]   medical expenses over time and then some point in the
[00:09:35.880 --> 00:09:35.960]   in the medical expenses you simply accumulate all of your medical expenses over time and then some point in the
[00:09:35.960 --> 00:09:36.000]   in the medical expenses you simply accumulate all of your medical expenses over time and then some point in the
[00:09:36.000 --> 00:09:36.000]   in the medical expenses you simply accumulate all of your medical expenses over time and then some point in the
[00:09:36.000 --> 00:09:36.000]   in the medical expenses you simply accumulate all of your medical expenses over time and then some point in the
[00:09:36.000 --> 00:09:36.000]   in the medical expenses you simply accumulate all of your medical expenses over time and then some point in the
[00:09:36.020 --> 00:10:06.020]   in the medical expenses you simply accumulate all of your medical expenses over time and then some point in the
[00:10:06.020 --> 00:10:06.020]   in the medical expenses you simply accumulate all of your medical expenses over time and then some point in the
[00:10:06.020 --> 00:10:06.020]   in the medical expenses you simply accumulate all of your medical expenses over time and then some point in the
[00:10:06.020 --> 00:10:06.020]   in the medical expenses you simply accumulate all of your medical expenses over time and then some point in the
[00:10:06.020 --> 00:10:06.020]   in the medical expenses you simply accumulate all of your medical expenses over time and then some point in the
[00:10:06.020 --> 00:10:06.020]   in the medical expenses you simply accumulate all of your medical expenses over time and then some point in the
[00:10:06.020 --> 00:10:06.020]   in the medical expenses you simply accumulate all of your medical expenses over time and then some point in the
[00:10:06.020 --> 00:10:06.020]   in the medical expenses you simply accumulate all of your medical expenses over time and then some point in the
[00:10:06.020 --> 00:10:06.020]   in the medical expenses you simply accumulate all of your medical expenses over time and then some point in the
[00:10:06.060 --> 00:10:15.860]  ☆這
[00:10:15.860 --> 00:10:35.900]   показ was little
[00:10:36.080 --> 00:11:06.080]   was little
[00:11:06.080 --> 00:11:06.100]   I guess it's probably no. And it would
[00:11:06.100 --> 00:11:06.100]   Well, I guess it's probably no. And it would
[00:11:06.100 --> 00:11:06.100]   the creditor protection, my guess is it's probably no. And it would
[00:11:06.100 --> 00:11:06.100]   probably be a little bit more than that. And I guess it's probably no. And it would
[00:11:06.100 --> 00:11:06.100]   probably be a little bit more than that. And it would
[00:11:06.100 --> 00:11:06.100]   probably be a little bit more than that. And it would
[00:11:06.100 --> 00:11:06.100]   probably be a little bit more than that. And it would
[00:11:06.100 --> 00:11:06.100]   probably be a little bit more than that. And it would
[00:11:06.100 --> 00:11:06.100]   probably be a little bit more than that. And it would
[00:11:06.100 --> 00:11:36.140]   and it would
[00:11:36.180 --> 00:12:06.180]  ,
[00:12:06.180 --> 00:12:06.180]   and it would
[00:12:06.180 --> 00:12:06.180]   and it would
[00:12:06.220 --> 00:12:36.220]   and it would
[00:12:36.260 --> 00:12:59.360]   and it would be
[00:12:59.360 --> 00:12:59.360]   and it would be a
[00:12:59.360 --> 00:12:59.360]   and it would be a little bit
[00:12:59.360 --> 00:12:59.360]   and it would be a little bit more
[00:12:59.360 --> 00:12:59.380]   and it would be a little bit more difficult.
[00:12:59.380 --> 00:12:59.380]   a little bit more difficult.
[00:12:59.380 --> 00:12:59.460]   a little bit more difficult.
[00:12:59.460 --> 00:13:00.260]   a little bit more difficult. And I think that's
[00:13:00.260 --> 00:13:00.340]   a little bit more difficult. And I think that's
[00:13:00.340 --> 00:13:00.360]   a little bit more difficult. And I think that's what
[00:13:00.360 --> 00:13:00.360]   a little bit more difficult. And I think that's what
[00:13:00.360 --> 00:13:00.460]   a little bit more difficult. And I think that's what I'm
[00:13:00.460 --> 00:13:00.460]   a little bit more difficult. And I think that's what
[00:13:00.460 --> 00:13:00.460]   a little bit more difficult. And I think that's what
[00:13:00.460 --> 00:13:00.460]   a little bit more difficult. And I think that's what
[00:13:00.460 --> 00:13:00.460]   a little bit more difficult. And I think that's what
[00:13:00.460 --> 00:13:00.460]   a little bit more difficult. And I think that's what
[00:13:00.460 --> 00:13:00.460]   a little bit more difficult. And I think that's what
[00:13:00.480 --> 00:13:07.300]   Texas and Virginia do.
[00:13:07.300 --> 00:13:07.400]   Texas and Virginia do.
[00:13:07.400 --> 00:13:08.300]   Texas and Virginia do. I found that in one article
[00:13:08.300 --> 00:13:08.400]   I found that in one article
[00:13:08.400 --> 00:13:09.400]   I found that in one article in researching the subject.
[00:13:09.400 --> 00:13:09.500]   in researching the subject.
[00:13:09.500 --> 00:13:10.100]   in researching the subject. It might be that
[00:13:10.100 --> 00:13:10.200]   It might be that
[00:13:10.200 --> 00:13:11.700]   It might be that other states do as well.
[00:13:11.700 --> 00:13:11.800]   other states do as well.
[00:13:11.800 --> 00:13:13.700]   other states do as well. So you will have to research
[00:13:13.700 --> 00:13:13.760]   So you will have to research
[00:13:13.760 --> 00:13:15.900]   So you will have to research that carefully for yourself
[00:13:15.900 --> 00:13:15.960]   that carefully for yourself
[00:13:15.960 --> 00:13:17.900]   that carefully for yourself to understand whether or not
[00:13:17.900 --> 00:13:18.000]   to understand whether or not
[00:13:18.000 --> 00:13:19.300]   to understand whether or not your HSA would be protected
[00:13:19.300 --> 00:13:19.360]   your HSA would be protected
[00:13:19.360 --> 00:13:20.300]   your HSA would be protected in bankruptcy.
[00:13:20.300 --> 00:13:20.360]   in bankruptcy.
[00:13:20.360 --> 00:13:22.300]   in bankruptcy. But the net summary, again,
[00:13:22.300 --> 00:13:22.400]   But the net summary, again,
[00:13:22.440 --> 00:13:45.240]   But the net summary, again, this is why I began with the
[00:13:45.240 --> 00:13:45.340]   this is why I began with the
[00:13:45.340 --> 00:13:46.240]   this is why I began with the preamble that I'm speaking very
[00:13:46.240 --> 00:13:46.340]   preamble that I'm speaking very
[00:13:46.340 --> 00:13:48.240]   preamble that I'm speaking very broadly, the net summary is that
[00:13:48.240 --> 00:13:48.340]   broadly, the net summary is that
[00:13:48.340 --> 00:13:49.740]   broadly, the net summary is that HSAs and money that is accumulated
[00:13:49.740 --> 00:13:49.840]   HSAs and money that is accumulated
[00:13:49.840 --> 00:13:52.240]   HSAs and money that is accumulated inside of a health savings account,
[00:13:52.240 --> 00:13:52.240]   inside of a health savings account,
[00:13:52.240 --> 00:13:52.240]   inside of a health savings account,
[00:13:52.240 --> 00:13:52.240]   in many or most situations from the claims of creditors.
[00:13:52.240 --> 00:13:52.240]   in many or most situations from the claims of creditors.
[00:13:52.240 --> 00:13:52.240]   in many or most situations of creditors.
[00:13:52.260 --> 00:14:22.080]   This is why I'm talking about
[00:14:22.080 --> 00:14:22.080]   This is why I'm talking about
[00:14:22.080 --> 00:14:22.080]   This is why I'm talking about the HSAs.
[00:14:22.080 --> 00:14:22.080]   The HSAs are the people who are
[00:14:22.080 --> 00:14:22.080]   The HSAs are the people who are
[00:14:22.080 --> 00:14:22.080]   The HSAs are the people who are in charge of the HSAs.
[00:14:22.080 --> 00:14:22.080]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:14:22.080 --> 00:14:22.080]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:14:22.080 --> 00:14:22.080]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:14:22.080 --> 00:14:22.080]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:14:22.080 --> 00:14:22.080]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:14:22.080 --> 00:14:22.080]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:14:22.220 --> 00:14:51.920]  , in charge of the HSAs are the people who are in charge of the HSAs.
[00:14:51.920 --> 00:14:51.920]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:14:51.920 --> 00:14:51.920]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:14:51.920 --> 00:14:51.920]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:14:51.920 --> 00:14:51.920]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:14:51.920 --> 00:14:51.920]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:14:51.920 --> 00:14:51.920]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:14:51.920 --> 00:14:51.920]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:14:51.920 --> 00:14:51.920]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:14:51.920 --> 00:14:51.920]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:14:51.940 --> 00:15:21.760]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:15:21.760 --> 00:15:21.760]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:15:21.760 --> 00:15:21.760]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:15:21.760 --> 00:15:21.760]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:15:21.760 --> 00:15:21.760]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:15:21.760 --> 00:15:21.760]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:15:21.760 --> 00:15:21.760]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:15:21.760 --> 00:15:21.760]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:15:21.760 --> 00:15:21.760]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:15:21.900 --> 00:15:51.640]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:15:51.640 --> 00:15:51.680]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:15:51.680 --> 00:15:51.720]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:15:51.720 --> 00:15:51.760]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:15:51.760 --> 00:15:51.780]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:15:51.780 --> 00:15:51.780]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:15:51.780 --> 00:15:51.780]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:15:51.780 --> 00:15:51.780]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:15:51.780 --> 00:15:51.780]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:15:51.780 --> 00:15:51.780]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:15:51.800 --> 00:16:21.800]   HSAs are the people who are in charge of the HSAs.
[00:16:21.800 --> 00:16:21.800]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:16:21.800 --> 00:16:21.800]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:16:21.800 --> 00:16:21.800]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:16:21.800 --> 00:16:21.800]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:16:21.800 --> 00:16:21.800]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:16:21.800 --> 00:16:21.800]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:16:21.800 --> 00:16:21.800]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:16:21.800 --> 00:16:21.800]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:16:21.800 --> 00:16:21.800]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:16:21.840 --> 00:16:51.820]  ,
[00:16:51.820 --> 00:16:51.820]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:16:51.820 --> 00:16:51.820]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:16:51.820 --> 00:16:51.820]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:16:51.820 --> 00:16:51.820]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:16:51.820 --> 00:16:51.820]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:16:51.820 --> 00:16:51.820]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:16:51.820 --> 00:16:51.820]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:16:51.820 --> 00:16:51.820]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:16:51.820 --> 00:16:51.820]   in charge of the HSAs are the people who are in charge of the HSAs.
[00:16:51.840 --> 00:17:21.840]   HSAs are the people who are in charge of the HSAs.
[00:17:21.840 --> 00:17:21.840]   HSAs are the people who are in charge of the HSAs.
[00:17:21.840 --> 00:17:21.840]   HSAs are the people who are in charge of the HSAs.
[00:17:21.840 --> 00:17:21.840]   HSAs are the people who are in charge of the HSAs.
[00:17:21.840 --> 00:17:21.840]   HSAs are the people who are in charge of the HSAs.
[00:17:21.840 --> 00:17:21.840]   HSAs are the people who are in charge of the HSAs.
[00:17:21.840 --> 00:17:21.840]   HSAs are the people who are in charge of the HSAs.
[00:17:21.840 --> 00:17:21.840]   HSAs are the people who are in charge of the HSAs.
[00:17:21.840 --> 00:17:21.840]   HSAs are the people who are in charge of the HSAs.
[00:17:21.840 --> 00:17:21.840]   HSAs are the people who are in charge of the HSAs.
[00:17:21.840 --> 00:17:21.840]   HSAs are the people who are in charge of the HSAs.
[00:17:21.840 --> 00:17:21.840]   HSAs are the people who are in charge of the HSAs.
[00:17:21.840 --> 00:17:51.860]  ,
[00:17:51.860 --> 00:17:51.860]   HSAs are the people who are in charge of the HSAs.
[00:17:51.860 --> 00:17:51.860]   HSAs are the people who are in charge of the HSAs.
[00:17:51.860 --> 00:17:51.860]   HSAs are the people who are in charge of the HSAs.
[00:17:51.860 --> 00:17:51.860]   HSAs are the people who are in charge of the HSAs.
[00:17:51.860 --> 00:17:51.860]   HSAs are the people who are in charge of the HSAs.
[00:17:51.860 --> 00:17:51.860]   HSAs are the people who are in charge of the HSAs.
[00:17:51.860 --> 00:17:51.860]   HSAs are the people who are in charge of the HSAs.
[00:17:51.860 --> 00:17:51.860]   HSAs are the people who are in charge of the HSAs.
[00:17:51.860 --> 00:17:51.860]   HSAs are the people who are in charge of the HSAs.
[00:17:51.880 --> 00:18:21.880]   HSAs are the people who are in charge of the HSAs.
[00:18:21.880 --> 00:18:21.880]   HSAs are the people who are in charge of the HSAs.
[00:18:21.880 --> 00:18:21.880]   HSAs are the people who are in charge of the HSAs.
[00:18:21.880 --> 00:18:21.880]   HSAs are the people who are in charge of the HSAs.
[00:18:21.880 --> 00:18:21.880]   HSAs are the people who are in charge of the HSAs.
[00:18:21.880 --> 00:18:21.880]   HSAs are the people who are in charge of the HSAs.
[00:18:21.880 --> 00:18:21.880]   HSAs are the people who are in charge of the HSAs.
[00:18:21.880 --> 00:18:21.880]   HSAs are the people who are in charge of the HSAs.
[00:18:21.880 --> 00:18:21.880]   HSAs are the people who are in charge of the HSAs.
[00:18:21.880 --> 00:18:21.880]   HSAs are the people who are in charge of the HSAs.
[00:18:21.880 --> 00:18:21.880]   HSAs are the people who are in charge of the HSAs.
[00:18:21.880 --> 00:18:21.880]   HSAs are the people who are in charge of the HSAs.
[00:18:21.880 --> 00:18:51.900]   the people who are in charge of the HSAs.
[00:18:51.900 --> 00:18:51.900]   HSAs are the people who are in charge of the HSAs.
[00:18:51.900 --> 00:18:51.900]   HSAs are the people who are in charge of the HSAs.
[00:18:51.900 --> 00:18:51.900]   HSAs are the people who are in charge of the HSAs.
[00:18:51.900 --> 00:18:51.900]   HSAs are the people who are in charge of the HSAs.
[00:18:51.900 --> 00:18:51.900]   HSAs are the people who are in charge of the HSAs.
[00:18:51.900 --> 00:18:51.900]   HSAs are the people who are in charge of the HSAs.
[00:18:51.900 --> 00:18:51.900]   HSAs are the people who are in charge of the HSAs.
[00:18:51.900 --> 00:18:51.900]   HSAs are the people who are in charge of the HSAs.
[00:18:51.900 --> 00:18:51.900]   HSAs are the people who are in charge of the HSAs.
[00:18:51.900 --> 00:18:51.900]   HSAs are the people who are in charge of the HSAs.
[00:18:51.900 --> 00:18:51.900]   HSAs are the people who are in charge of the HSAs.
[00:18:51.920 --> 00:19:21.920]   HSAs are the people who are in charge of the HSAs.
[00:19:21.920 --> 00:19:21.920]   HSAs are the people who are in charge of the HSAs.
[00:19:21.920 --> 00:19:21.920]   HSAs are the people who are in charge of the HSAs.
[00:19:21.920 --> 00:19:21.920]   HSAs are the people who are in charge of the HSAs.
[00:19:21.920 --> 00:19:21.920]   HSAs are the people who are in charge of the HSAs.
[00:19:21.920 --> 00:19:21.920]   HSAs are the people who are in charge of the HSAs.
[00:19:21.920 --> 00:19:21.920]   HSAs are the people who are in charge of the HSAs.
[00:19:21.920 --> 00:19:21.920]   HSAs are the people who are in charge of the HSAs.
[00:19:21.920 --> 00:19:21.920]   HSAs are the people who are in charge of the HSAs.
[00:19:21.920 --> 00:19:21.920]   HSAs are the people who are in charge of the HSAs.
[00:19:21.920 --> 00:19:21.920]   HSAs are the people who are in charge of the HSAs.
[00:19:21.920 --> 00:19:21.920]   HSAs are the people who are in charge of the HSAs.
[00:19:21.920 --> 00:19:51.940]  ,
[00:19:51.940 --> 00:19:51.940]   HSAs are the people who are in charge of the HSAs.
[00:19:51.940 --> 00:19:51.940]   HSAs are the people who are in charge of the HSAs.
[00:19:51.940 --> 00:19:51.940]   HSAs are the people who are in charge of the HSAs.
[00:19:51.940 --> 00:19:51.940]   HSAs are the people who are in charge of the HSAs.
[00:19:51.940 --> 00:19:51.940]   HSAs are the people who are in charge of the HSAs.
[00:19:51.940 --> 00:19:51.940]   HSAs are the people who are in charge of the HSAs.
[00:19:51.940 --> 00:19:51.940]   HSAs are the people who are in charge of the HSAs.
[00:19:51.940 --> 00:19:51.940]   HSAs are the people who are in charge of the HSAs.
[00:19:51.940 --> 00:19:51.940]   HSAs are the people who are in charge of the HSAs.
[00:19:51.940 --> 00:19:51.940]   HSAs are the people who are in charge of the HSAs.
[00:19:51.940 --> 00:19:51.940]   HSAs are the people who are in charge of the HSAs.
[00:19:51.940 --> 00:19:51.940]   HSAs are the people who are in charge of the HSAs.
[00:19:51.960 --> 00:20:21.960]   HSAs are the people who are in charge of the HSAs.
[00:20:21.960 --> 00:20:21.960]   HSAs are the people who are in charge of the HSAs.
[00:20:21.960 --> 00:20:21.960]   HSAs are the people who are in charge of the HSAs.
[00:20:21.960 --> 00:20:21.960]   HSAs are the people who are in charge of the HSAs.
[00:20:21.960 --> 00:20:21.960]   HSAs are the people who are in charge of the HSAs.
[00:20:21.960 --> 00:20:21.960]   HSAs are the people who are in charge of the HSAs.
[00:20:21.960 --> 00:20:21.960]   HSAs are the people who are in charge of the HSAs.
[00:20:21.960 --> 00:20:21.960]   HSAs are the people who are in charge of the HSAs.
[00:20:21.960 --> 00:20:21.960]   HSAs are the people who are in charge of the HSAs.
[00:20:21.960 --> 00:20:21.960]   HSAs are the people who are in charge of the HSAs.
[00:20:21.960 --> 00:20:21.960]   HSAs are the people who are in charge of the HSAs.
[00:20:21.960 --> 00:20:21.960]   HSAs are the people who are in charge of the HSAs.
[00:20:21.960 --> 00:20:51.980]  ,
[00:20:51.980 --> 00:20:51.980]   HSAs are the people who are in charge of the HSAs.
[00:20:51.980 --> 00:20:51.980]   HSAs are the people who are in charge of the HSAs.
[00:20:51.980 --> 00:20:51.980]   HSAs are the people who are in charge of the HSAs.
[00:20:51.980 --> 00:20:51.980]   HSAs are the people who are in charge of the HSAs.
[00:20:51.980 --> 00:20:51.980]   HSAs are the people who are in charge of the HSAs.
[00:20:51.980 --> 00:20:51.980]   HSAs are the people who are in charge of the HSAs.
[00:20:51.980 --> 00:20:51.980]   HSAs are the people who are in charge of the HSAs.
[00:20:51.980 --> 00:20:51.980]   HSAs are the people who are in charge of the HSAs.
[00:20:51.980 --> 00:20:51.980]   HSAs are the people who are in charge of the HSAs.
[00:20:51.980 --> 00:20:51.980]   HSAs are the people who are in charge of the HSAs.
[00:20:51.980 --> 00:20:51.980]   HSAs are the people who are in charge of the HSAs.
[00:20:51.980 --> 00:20:51.980]   HSAs are the people who are in charge of the HSAs.
[00:20:52.000 --> 00:21:22.000]   HSAs are the people who are in charge of the HSAs.
[00:21:22.000 --> 00:21:22.000]   HSAs are the people who are in charge of the HSAs.
[00:21:22.000 --> 00:21:22.000]   HSAs are the people who are in charge of the HSAs.
[00:21:22.000 --> 00:21:22.000]   HSAs are the people who are in charge of the HSAs.
[00:21:22.000 --> 00:21:22.000]   HSAs are the people who are in charge of the HSAs.
[00:21:22.000 --> 00:21:22.000]   HSAs are the people who are in charge of the HSAs.
[00:21:22.000 --> 00:21:22.000]   HSAs are the people who are in charge of the HSAs.
[00:21:22.000 --> 00:21:22.000]   HSAs are the people who are in charge of the HSAs.
[00:21:22.000 --> 00:21:22.000]   HSAs are the people who are in charge of the HSAs.
[00:21:22.000 --> 00:21:22.000]   HSAs are the people who are in charge of the HSAs.
[00:21:22.000 --> 00:21:22.000]   HSAs are the people who are in charge of the HSAs.
[00:21:22.000 --> 00:21:22.000]   HSAs are the people who are in charge of the HSAs.
[00:21:22.000 --> 00:21:52.020]  ,
[00:21:52.020 --> 00:21:52.020]   HSAs are the people who are in charge of the HSAs.
[00:21:52.020 --> 00:21:52.020]   HSAs are the people who are in charge of the HSAs.
[00:21:52.020 --> 00:21:52.020]   HSAs are the people who are in charge of the HSAs.
[00:21:52.020 --> 00:21:52.020]   HSAs are the people who are in charge of the HSAs.
[00:21:52.020 --> 00:21:52.020]   HSAs are the people who are in charge of the HSAs.
[00:21:52.020 --> 00:21:52.020]   HSAs are the people who are in charge of the HSAs.
[00:21:52.020 --> 00:21:52.020]   HSAs are the people who are in charge of the HSAs.
[00:21:52.020 --> 00:21:52.020]   HSAs are the people who are in charge of the HSAs.
[00:21:52.020 --> 00:21:52.020]   HSAs are the people who are in charge of the HSAs.
[00:21:52.020 --> 00:21:52.020]   HSAs are the people who are in charge of the HSAs.
[00:21:52.020 --> 00:21:52.020]   HSAs are the people who are in charge of the HSAs.
[00:21:52.040 --> 00:22:22.040]   HSAs are the people who are in charge of the HSAs.
[00:22:22.040 --> 00:22:22.040]   HSAs are the people who are in charge of the HSAs.
[00:22:22.040 --> 00:22:22.040]   HSAs are the people who are in charge of the HSAs.
[00:22:22.040 --> 00:22:22.040]   HSAs are the people who are in charge of the HSAs.
[00:22:22.040 --> 00:22:22.040]   HSAs are the people who are in charge of the HSAs.
[00:22:22.040 --> 00:22:22.040]   HSAs are the people who are in charge of the HSAs.
[00:22:22.040 --> 00:22:22.040]   HSAs are the people who are in charge of the HSAs.
[00:22:22.040 --> 00:22:22.040]   HSAs are the people who are in charge of the HSAs.
[00:22:22.040 --> 00:22:22.040]   HSAs are the people who are in charge of the HSAs.
[00:22:22.040 --> 00:22:22.040]   HSAs are the people who are in charge of the HSAs.
[00:22:22.040 --> 00:22:22.040]   HSAs are the people who are in charge of the HSAs.
[00:22:22.040 --> 00:22:22.040]   HSAs are the people who are in charge of the HSAs.
[00:22:22.040 --> 00:22:52.060]  ,
[00:22:52.060 --> 00:22:52.060]   HSAs are the people who are in charge of the HSAs.
[00:22:52.060 --> 00:22:52.060]   HSAs are the people who are in charge of the HSAs.
