
[00:00:00.040 --> 00:00:06.980]   Mmmm think but
[00:10:40.780 --> 00:11:09.920]  , um, how about asset allocation? Um, you know, general quick, uh, gauge on, on where a person at my level should be with, uh, you know, with that mix of, of cash or, or securities or, or, um, property assets.
[00:11:09.920 --> 00:11:09.920]   Okay. So when you use the term asset allocation, how do you believe you should structure your money?
[00:11:09.940 --> 00:11:19.260]   In more than one place for one, you know, I mean, um, stock market, obviously create long-term potential there, but, um, you know, we want to be aware of the risks with that.
[00:11:19.260 --> 00:11:27.540]   And so, uh, having, let's say 400,000 there now, um, and some of that is, is, uh, highly volatile.
[00:11:27.540 --> 00:11:31.360]   Let's say my company stock, which is a part of that.
[00:11:31.360 --> 00:11:38.620]   Um, you know, so there's certain risks and things to be aware of their, uh, properties, you know, slower, uh, slower growth.
[00:11:39.120 --> 00:12:09.120]   Um,
[00:12:09.120 --> 00:12:09.120]   You know, I'm a bit low on cash.
[00:12:09.120 --> 00:12:09.120]   Um, you know, with around 60,000 out of that 860,000.
[00:12:09.120 --> 00:12:09.120]   But just your, your thoughts would be helpful there.
[00:12:09.120 --> 00:12:09.120]   So my gut would be that you're probably low on cash as well, especially given that you're managing a portfolio of five properties and your cash reserves will be partly for your own personal life, for your own personal emergency funds, um, and you're managing five properties.
[00:12:09.140 --> 00:12:13.380]   Personal expenses, personal, uh, something happens, you need it.
[00:12:13.380 --> 00:12:15.400]   It'll be for your own personal opportunities.
[00:12:15.400 --> 00:12:18.760]   If you see something you want to buy, uh, you've wanted a boat for a long time.
[00:12:18.760 --> 00:12:22.480]   And now all of a sudden you came across a $70,000 boat that's selling for 30,000 bucks.
[00:12:22.480 --> 00:12:24.400]   Uh, you need plenty of cash on hand.
[00:12:24.400 --> 00:12:29.080]   And then of course, a big risk you have is, is managing the rental portfolios.
[00:12:29.080 --> 00:12:31.540]   So my gut would be that your cash is a little bit low.
[00:12:31.540 --> 00:12:36.920]   Uh, but there is no, there is no formula that I could come up with to give you.
[00:12:36.920 --> 00:12:38.300]   There's no specific number.
[00:12:38.300 --> 00:12:38.780]   There's no.
[00:12:38.780 --> 00:12:39.140]   I don't know.
[00:12:39.140 --> 00:12:39.140]   There's no formula that I could come up with to give you.
[00:12:39.140 --> 00:12:39.140]   There's no specific number.
[00:12:39.140 --> 00:12:39.140]   There's no actual number.
[00:12:39.180 --> 00:13:09.160]   the cash that you're going to be spending on the rental portfolio.
[00:13:09.160 --> 00:13:09.160]   The cash that you're going to be spending on the rental portfolio.
[00:13:09.160 --> 00:13:09.160]   The cash that you're going to be spending on the rental portfolio.
[00:13:09.160 --> 00:13:09.160]   The cash that you're going to be spending on the rental portfolio.
[00:13:09.160 --> 00:13:09.160]   The cash that you're going to be spending on the rental portfolio.
[00:13:09.160 --> 00:13:09.160]   The cash that you're going to be spending on the rental portfolio.
[00:13:09.160 --> 00:13:09.160]   The cash that you're going to be spending on the rental portfolio.
[00:13:09.160 --> 00:13:09.160]   The cash that you're going to be spending on the rental portfolio.
[00:13:09.160 --> 00:13:09.160]   The cash that you're going to be spending on the rental portfolio.
[00:13:09.160 --> 00:13:09.160]   The cash that you're going to be spending on the rental portfolio.
[00:13:09.180 --> 00:13:39.180]   The cash that you're going to be spending on the rental portfolio.
[00:13:39.180 --> 00:13:39.180]   The cash that you're going to be spending on the rental portfolio.
[00:13:39.180 --> 00:13:39.180]   The cash that you're going to be spending on the rental portfolio.
[00:13:39.180 --> 00:13:39.180]   The cash that you're going to be spending on the rental portfolio.
[00:13:39.180 --> 00:13:39.180]   The cash that you're going to be spending on the rental portfolio.
[00:13:39.180 --> 00:13:39.180]   The cash that you're going to be spending on the rental portfolio.
[00:13:39.180 --> 00:13:39.180]   The cash that you're going to be spending on the rental portfolio.
[00:13:39.180 --> 00:13:39.180]   The cash that you're going to be spending on the rental portfolio.
[00:13:39.180 --> 00:13:39.180]   The cash that you're going to be spending on the rental portfolio.
[00:13:39.180 --> 00:13:39.180]   The cash that you're going to be spending on the rental portfolio.
[00:13:39.180 --> 00:13:39.180]   The cash that you're going to be spending on the rental portfolio.
[00:13:39.180 --> 00:13:39.180]   The cash that you're going to be spending on the rental portfolio.
[00:13:39.180 --> 00:13:39.180]   The cash that you're going to be spending on the rental portfolio.
[00:13:39.180 --> 00:14:09.200]   the cash that you're going to be spending on the rental portfolio.
[00:14:09.200 --> 00:14:09.200]   The cash that you're going to be spending on the rental portfolio.
[00:14:09.200 --> 00:14:09.200]   The cash that you're going to be spending on the rental portfolio.
[00:14:09.200 --> 00:14:09.200]   The cash that you're going to be spending on the rental portfolio.
[00:14:09.200 --> 00:14:09.200]   The cash that you're going to be spending on the rental portfolio.
[00:14:09.200 --> 00:14:09.200]   The cash that you're going to be spending on the rental portfolio.
[00:14:09.200 --> 00:14:09.200]   The cash that you're going to be spending on the rental portfolio.
[00:14:09.200 --> 00:14:09.200]   The cash that you're going to be spending on the rental portfolio.
[00:14:09.200 --> 00:14:09.200]   The cash that you're going to be spending on the rental portfolio.
[00:14:09.220 --> 00:14:39.220]   The cash that you're going to be spending on the rental portfolio.
[00:14:39.220 --> 00:14:39.220]   The cash that you're going to be spending on the rental portfolio.
[00:14:39.220 --> 00:14:39.220]   The cash that you're going to be spending on the rental portfolio.
[00:14:39.220 --> 00:14:39.220]   The cash that you're going to be spending on the rental portfolio.
[00:14:39.220 --> 00:14:39.220]   The cash that you're going to be spending on the rental portfolio.
[00:14:39.220 --> 00:14:39.220]   The cash that you're going to be spending on the rental portfolio.
[00:14:39.220 --> 00:14:39.220]   The cash that you're going to be spending on the rental portfolio.
[00:14:39.220 --> 00:14:39.220]   The cash that you're going to be spending on the rental portfolio.
[00:14:39.220 --> 00:14:39.220]   The cash that you're going to be spending on the rental portfolio.
[00:14:39.220 --> 00:14:39.220]   The cash that you're going to be spending on the rental portfolio.
[00:14:39.220 --> 00:14:39.220]   The cash that you're going to be spending on the rental portfolio.
[00:14:39.220 --> 00:14:39.220]   The cash that you're going to be spending on the rental portfolio.
[00:14:39.220 --> 00:14:39.220]   The cash that you're going to be spending on the rental portfolio.
[00:14:39.220 --> 00:15:09.240]  ,
[00:15:09.240 --> 00:15:09.240]   The cash that you're going to be spending on the rental portfolio.
[00:15:09.240 --> 00:15:09.240]   The cash that you're going to be spending on the rental portfolio.
[00:15:09.240 --> 00:15:09.240]   The cash that you're going to be spending on the rental portfolio.
[00:15:09.240 --> 00:15:09.240]   The cash that you're going to be spending on the rental portfolio.
[00:15:09.240 --> 00:15:09.240]   The cash that you're going to be spending on the rental portfolio.
[00:15:09.240 --> 00:15:09.240]   The cash that you're going to be spending on the rental portfolio.
[00:15:09.240 --> 00:15:09.240]   The cash that you're going to be spending on the rental portfolio.
[00:15:09.240 --> 00:15:09.240]   The cash that you're going to be spending on the rental portfolio.
[00:15:09.240 --> 00:15:09.240]   The cash that you're going to be spending on the rental portfolio.
[00:15:09.240 --> 00:15:09.240]   The cash that you're going to be spending on the rental portfolio.
[00:15:09.260 --> 00:15:39.260]   The cash that you're going to be spending on the rental portfolio.
[00:15:39.260 --> 00:15:39.260]   The cash that you're going to be spending on the rental portfolio.
[00:15:39.260 --> 00:15:39.260]   The cash that you're going to be spending on the rental portfolio.
[00:15:39.260 --> 00:15:39.260]   The cash that you're going to be spending on the rental portfolio.
[00:15:39.260 --> 00:15:39.260]   The cash that you're going to be spending on the rental portfolio.
[00:15:39.260 --> 00:15:39.260]   The cash that you're going to be spending on the rental portfolio.
[00:15:39.260 --> 00:15:39.260]   The cash that you're going to be spending on the rental portfolio.
[00:15:39.260 --> 00:15:39.260]   The cash that you're going to be spending on the rental portfolio.
[00:15:39.260 --> 00:15:39.260]   The cash that you're going to be spending on the rental portfolio.
[00:15:39.260 --> 00:15:39.260]   The cash that you're going to be spending on the rental portfolio.
[00:15:39.260 --> 00:15:39.260]   The cash that you're going to be spending on the rental portfolio.
[00:15:39.260 --> 00:15:39.260]   The cash that you're going to be spending on the rental portfolio.
[00:15:39.260 --> 00:15:39.260]   The cash that you're going to be spending on the rental portfolio.
[00:15:39.260 --> 00:16:09.280]   the cash that you're going to be spending on the rental portfolio.
[00:16:09.280 --> 00:16:09.280]   The cash that you're going to be spending on the rental portfolio.
[00:16:09.280 --> 00:16:09.280]   The cash that you're going to be spending on the rental portfolio.
[00:16:09.280 --> 00:16:09.280]   The cash that you're going to be spending on the rental portfolio.
[00:16:09.280 --> 00:16:09.280]   The cash that you're going to be spending on the rental portfolio.
[00:16:09.280 --> 00:16:09.280]   The cash that you're going to be spending on the rental portfolio.
[00:16:09.280 --> 00:16:09.280]   The cash that you're going to be spending on the rental portfolio.
[00:16:09.280 --> 00:16:09.280]   The cash that you're going to be spending on the rental portfolio.
[00:16:09.280 --> 00:16:09.280]   The cash that you're going to be spending on the rental portfolio.
[00:16:09.300 --> 00:16:39.300]   The cash that you're going to be spending on the rental portfolio.
[00:16:39.300 --> 00:16:39.300]   The cash that you're going to be spending on the rental portfolio.
[00:16:39.300 --> 00:16:39.300]   The cash that you're going to be spending on the rental portfolio.
[00:16:39.300 --> 00:16:39.300]   The cash that you're going to be spending on the rental portfolio.
[00:16:39.300 --> 00:16:39.300]   The cash that you're going to be spending on the rental portfolio.
[00:16:39.300 --> 00:16:39.300]   The cash that you're going to be spending on the rental portfolio.
[00:16:39.300 --> 00:16:39.300]   The cash that you're going to be spending on the rental portfolio.
[00:16:39.300 --> 00:16:39.300]   The cash that you're going to be spending on the rental portfolio.
[00:16:39.300 --> 00:16:39.300]   The cash that you're going to be spending on the rental portfolio.
[00:16:39.300 --> 00:16:39.300]   The cash that you're going to be spending on the rental portfolio.
[00:16:39.300 --> 00:16:39.300]   The cash that you're going to be spending on the rental portfolio.
[00:16:39.300 --> 00:16:39.300]   The cash that you're going to be spending on the rental portfolio.
[00:16:39.300 --> 00:16:39.300]   The cash that you're going to be spending on the rental portfolio.
[00:16:39.300 --> 00:17:09.320]   the cash that you're going to be spending on the rental portfolio.
[00:17:09.320 --> 00:17:09.320]   The cash that you're going to be spending on the rental portfolio.
[00:17:09.320 --> 00:17:09.320]   The cash that you're going to be spending on the rental portfolio.
[00:17:09.320 --> 00:17:09.320]   The cash that you're going to be spending on the rental portfolio.
[00:17:09.320 --> 00:17:09.320]   The cash that you're going to be spending on the rental portfolio.
[00:17:09.320 --> 00:17:09.320]   The cash that you're going to be spending on the rental portfolio.
[00:17:09.320 --> 00:17:09.320]   The cash that you're going to be spending on the rental portfolio.
[00:17:09.320 --> 00:17:09.320]   The cash that you're going to be spending on the rental portfolio.
[00:17:09.320 --> 00:17:09.320]   The cash that you're going to be spending on the rental portfolio.
[00:17:09.340 --> 00:17:39.340]   The cash that you're going to be spending on the rental portfolio.
[00:17:39.340 --> 00:17:39.340]   The cash that you're going to be spending on the rental portfolio.
[00:17:39.340 --> 00:17:39.340]   The cash that you're going to be spending on the rental portfolio.
[00:17:39.340 --> 00:17:39.340]   The cash that you're going to be spending on the rental portfolio.
[00:17:39.340 --> 00:17:39.340]   The cash that you're going to be spending on the rental portfolio.
[00:17:39.340 --> 00:17:39.340]   The cash that you're going to be spending on the rental portfolio.
[00:17:39.340 --> 00:17:39.340]   The cash that you're going to be spending on the rental portfolio.
[00:17:39.340 --> 00:17:39.340]   The cash that you're going to be spending on the rental portfolio.
[00:17:39.340 --> 00:17:39.340]   The cash that you're going to be spending on the rental portfolio.
[00:17:39.340 --> 00:17:39.340]   The cash that you're going to be spending on the rental portfolio.
[00:17:39.340 --> 00:17:39.340]   The cash that you're going to be spending on the rental portfolio.
[00:17:39.340 --> 00:17:39.340]   The cash that you're going to be spending on the rental portfolio.
[00:17:39.340 --> 00:17:39.340]   The cash that you're going to be spending on the rental portfolio.
[00:17:39.340 --> 00:18:09.360]   the cash that you're going to be spending on the rental portfolio.
[00:18:09.360 --> 00:18:09.360]   The cash that you're going to be spending on the rental portfolio.
[00:18:09.360 --> 00:18:09.360]   The cash that you're going to be spending on the rental portfolio.
[00:18:09.360 --> 00:18:09.360]   The cash that you're going to be spending on the rental portfolio.
[00:18:09.360 --> 00:18:09.360]   The cash that you're going to be spending on the rental portfolio.
[00:18:09.360 --> 00:18:09.360]   The cash that you're going to be spending on the rental portfolio.
[00:18:09.360 --> 00:18:09.360]   The cash that you're going to be spending on the rental portfolio.
[00:18:09.360 --> 00:18:09.360]   The cash that you're going to be spending on the rental portfolio.
[00:18:09.360 --> 00:18:09.360]   The cash that you're going to be spending on the rental portfolio.
[00:18:09.360 --> 00:18:09.360]   The cash that you're going to be spending on the rental portfolio.
[00:18:09.360 --> 00:18:09.360]   The cash that you're going to be spending on the rental portfolio.
[00:18:09.380 --> 00:18:39.380]   The cash that you're going to be spending on the rental portfolio.
[00:18:39.380 --> 00:18:39.380]   The cash that you're going to be spending on the rental portfolio.
[00:18:39.380 --> 00:18:39.380]   The cash that you're going to be spending on the rental portfolio.
[00:18:39.380 --> 00:18:39.380]   The cash that you're going to be spending on the rental portfolio.
[00:18:39.380 --> 00:18:39.380]   The cash that you're going to be spending on the rental portfolio.
[00:18:39.380 --> 00:18:39.380]   The cash that you're going to be spending on the rental portfolio.
[00:18:39.380 --> 00:18:39.380]   The cash that you're going to be spending on the rental portfolio.
[00:18:39.380 --> 00:18:39.380]   The cash that you're going to be spending on the rental portfolio.
[00:18:39.380 --> 00:18:39.380]   The cash that you're going to be spending on the rental portfolio.
[00:18:39.380 --> 00:18:39.380]   The cash that you're going to be spending on the rental portfolio.
[00:18:39.380 --> 00:18:39.380]   The cash that you're going to be spending on the rental portfolio.
[00:18:39.380 --> 00:18:39.380]   The cash that you're going to be spending on the rental portfolio.
[00:18:39.380 --> 00:18:39.380]   The cash that you're going to be spending on the rental portfolio.
[00:18:39.380 --> 00:19:09.400]   The cash that you're going to be spending on the rental portfolio.
[00:19:09.400 --> 00:19:09.400]   The cash that you're going to be spending on the rental portfolio.
[00:19:09.400 --> 00:19:09.400]   The cash that you're going to be spending on the rental portfolio.
[00:19:09.400 --> 00:19:09.400]   The cash that you're going to be spending on the rental portfolio.
[00:19:09.400 --> 00:19:09.400]   The cash that you're going to be spending on the rental portfolio.
[00:19:09.400 --> 00:19:09.400]   The cash that you're going to be spending on the rental portfolio.
[00:19:09.400 --> 00:19:09.400]   The cash that you're going to be spending on the rental portfolio.
[00:19:09.400 --> 00:19:09.400]   The cash that you're going to be spending on the rental portfolio.
[00:19:09.400 --> 00:19:09.400]   The cash that you're going to be spending on the rental portfolio.
[00:19:09.400 --> 00:19:09.400]   The cash that you're going to be spending on the rental portfolio.
[00:19:09.420 --> 00:19:39.420]   The cash that you're going to be spending on the rental portfolio.
[00:19:39.420 --> 00:19:39.420]   The cash that you're going to be spending on the rental portfolio.
[00:19:39.420 --> 00:19:39.420]   The cash that you're going to be spending on the rental portfolio.
[00:19:39.420 --> 00:19:39.420]   The cash that you're going to be spending on the rental portfolio.
[00:19:39.420 --> 00:19:39.420]   The cash that you're going to be spending on the rental portfolio.
[00:19:39.420 --> 00:19:39.420]   The cash that you're going to be spending on the rental portfolio.
[00:19:39.420 --> 00:19:39.420]   The cash that you're going to be spending on the rental portfolio.
[00:19:39.420 --> 00:19:39.420]   The cash that you're going to be spending on the rental portfolio.
[00:19:39.420 --> 00:19:39.420]   The cash that you're going to be spending on the rental portfolio.
[00:19:39.420 --> 00:19:39.420]   The cash that you're going to be spending on the rental portfolio.
[00:19:39.420 --> 00:19:39.420]   The cash that you're going to be spending on the rental portfolio.
[00:19:39.420 --> 00:19:39.420]   The cash that you're going to be spending on the rental portfolio.
[00:19:39.420 --> 00:19:39.420]   The cash that you're going to be spending on the rental portfolio.
[00:19:39.420 --> 00:20:09.440]   The cash that you're going to be spending on the rental portfolio.
[00:20:09.440 --> 00:20:09.440]   The cash that you're going to be spending on the rental portfolio.
[00:20:09.440 --> 00:20:09.440]   The cash that you're going to be spending on the rental portfolio.
[00:20:09.440 --> 00:20:09.440]   The cash that you're going to be spending on the rental portfolio.
[00:20:09.440 --> 00:20:09.440]   The cash that you're going to be spending on the rental portfolio.
[00:20:09.440 --> 00:20:09.440]   The cash that you're going to be spending on the rental portfolio.
[00:20:09.440 --> 00:20:09.440]   The cash that you're going to be spending on the rental portfolio.
[00:20:09.460 --> 00:20:39.460]   The cash that you're going to be spending on the rental portfolio.
[00:20:39.460 --> 00:20:39.460]   The cash that you're going to be spending on the rental portfolio.
[00:20:39.460 --> 00:20:39.460]   The cash that you're going to be spending on the rental portfolio.
[00:20:39.460 --> 00:20:39.460]   The cash that you're going to be spending on the rental portfolio.
[00:20:39.460 --> 00:20:39.460]   The cash that you're going to be spending on the rental portfolio.
[00:20:39.460 --> 00:20:39.460]   The cash that you're going to be spending on the rental portfolio.
[00:20:39.460 --> 00:20:39.460]   The cash that you're going to be spending on the rental portfolio.
[00:20:39.460 --> 00:20:39.460]   The cash that you're going to be spending on the rental portfolio.
[00:20:39.460 --> 00:20:39.460]   The cash that you're going to be spending on the rental portfolio.
[00:20:39.460 --> 00:20:39.460]   The cash that you're going to be spending on the rental portfolio.
[00:20:39.460 --> 00:20:39.460]   The cash that you're going to be spending on the rental portfolio.
[00:20:39.460 --> 00:20:39.460]   The cash that you're going to be spending on the rental portfolio.
[00:20:39.460 --> 00:20:39.460]   The cash that you're going to be spending on the rental portfolio.
[00:20:39.480 --> 00:21:09.480]   The cash that you're going to be spending on the rental portfolio.
[00:21:09.480 --> 00:21:09.480]   The cash that you're going to be spending on the rental portfolio.
[00:21:09.480 --> 00:21:09.480]   The cash that you're going to be spending on the rental portfolio.
[00:21:09.480 --> 00:21:09.480]   The cash that you're going to be spending on the rental portfolio.
[00:21:09.480 --> 00:21:09.480]   The cash that you're going to be spending on the rental portfolio.
[00:21:09.480 --> 00:21:09.480]   The cash that you're going to be spending on the rental portfolio.
[00:21:09.480 --> 00:21:09.480]   The cash that you're going to be spending on the rental portfolio.
[00:21:09.480 --> 00:21:09.480]   The cash that you're going to be spending on the rental portfolio.
[00:21:09.480 --> 00:21:09.480]   The cash that you're going to be spending on the rental portfolio.
[00:21:09.480 --> 00:21:09.480]   The cash that you're going to be spending on the rental portfolio.
[00:21:09.480 --> 00:21:09.480]   The cash that you're going to be spending on the rental portfolio.
[00:21:09.480 --> 00:21:09.480]   The cash that you're going to be spending on the rental portfolio.
[00:21:09.520 --> 00:21:39.500]  ,
[00:21:39.500 --> 00:21:39.500]   The cash that you're going to be spending on the rental portfolio.
[00:21:39.500 --> 00:21:39.500]   The cash that you're going to be spending on the rental portfolio.
[00:21:39.500 --> 00:21:39.500]   The cash that you're going to be spending on the rental portfolio.
[00:21:39.500 --> 00:21:39.500]   The cash that you're going to be spending on the rental portfolio.
[00:21:39.500 --> 00:21:39.500]   The cash that you're going to be spending on the rental portfolio.
[00:21:39.500 --> 00:21:39.500]   The cash that you're going to be spending on the rental portfolio.
[00:21:39.500 --> 00:21:39.500]   The cash that you're going to be spending on the rental portfolio.
[00:21:39.500 --> 00:21:39.500]   The cash that you're going to be spending on the rental portfolio.
[00:21:39.520 --> 00:22:09.520]   The cash that you're going to be spending on the rental portfolio.
[00:22:09.520 --> 00:22:09.520]   The cash that you're going to be spending on the rental portfolio.
[00:22:09.520 --> 00:22:09.520]   The cash that you're going to be spending on the rental portfolio.
[00:22:09.520 --> 00:22:09.520]   The cash that you're going to be spending on the rental portfolio.
[00:22:09.520 --> 00:22:09.520]   The cash that you're going to be spending on the rental portfolio.
[00:22:09.520 --> 00:22:09.520]   The cash that you're going to be spending on the rental portfolio.
[00:22:09.520 --> 00:22:09.520]   The cash that you're going to be spending on the rental portfolio.
[00:22:09.520 --> 00:22:09.520]   The cash that you're going to be spending on the rental portfolio.
[00:22:09.520 --> 00:22:09.520]   The cash that you're going to be spending on the rental portfolio.
[00:22:09.520 --> 00:22:09.520]   The cash that you're going to be spending on the rental portfolio.
[00:22:09.520 --> 00:22:09.520]   The cash that you're going to be spending on the rental portfolio.
[00:22:09.520 --> 00:22:09.520]   The cash that you're going to be spending on the rental portfolio.
[00:22:09.520 --> 00:22:09.520]   The cash that you're going to be spending on the rental portfolio.
[00:22:09.560 --> 00:22:39.540]  ,
[00:22:39.540 --> 00:22:39.540]   The cash that you're going to be spending on the rental portfolio.
[00:22:39.540 --> 00:22:39.540]   The cash that you're going to be spending on the rental portfolio.
[00:22:39.540 --> 00:22:39.540]   The cash that you're going to be spending on the rental portfolio.
[00:22:39.540 --> 00:22:39.540]   The cash that you're going to be spending on the rental portfolio.
[00:22:39.540 --> 00:22:39.540]   The cash that you're going to be spending on the rental portfolio.
[00:22:39.540 --> 00:22:39.540]   The cash that you're going to be spending on the rental portfolio.
[00:22:39.540 --> 00:22:39.540]   The cash that you're going to be spending on the rental portfolio.
[00:22:39.540 --> 00:22:39.540]   The cash that you're going to be spending on the rental portfolio.
[00:22:39.540 --> 00:22:39.540]   The cash that you're going to be spending on the rental portfolio.
[00:22:39.560 --> 00:23:09.560]   The cash that you're going to be spending on the rental portfolio.
[00:23:09.560 --> 00:23:09.560]   The cash that you're going to be spending on the rental portfolio.
[00:23:09.560 --> 00:23:09.560]   The cash that you're going to be spending on the rental portfolio.
[00:23:09.560 --> 00:23:09.560]   The cash that you're going to be spending on the rental portfolio.
[00:23:09.560 --> 00:23:09.560]   The cash that you're going to be spending on the rental portfolio.
[00:23:09.560 --> 00:23:09.560]   The cash that you're going to be spending on the rental portfolio.
[00:23:09.560 --> 00:23:09.560]   The cash that you're going to be spending on the rental portfolio.
[00:23:09.560 --> 00:23:09.560]   The cash that you're going to be spending on the rental portfolio.
[00:23:09.560 --> 00:23:09.560]   The cash that you're going to be spending on the rental portfolio.
[00:23:09.560 --> 00:23:09.560]   The cash that you're going to be spending on the rental portfolio.
[00:23:09.560 --> 00:23:09.560]   The cash that you're going to be spending on the rental portfolio.
[00:23:09.560 --> 00:23:09.560]   The cash that you're going to be spending on the rental portfolio.
[00:23:09.560 --> 00:23:09.560]   The cash that you're going to be spending on the rental portfolio.
[00:23:09.600 --> 00:23:39.580]   the cash that you're going to be spending on the rental portfolio.
[00:23:39.580 --> 00:23:39.580]   The cash that you're going to be spending on the rental portfolio.
[00:23:39.580 --> 00:23:39.580]   The cash that you're going to be spending on the rental portfolio.
[00:23:39.580 --> 00:23:39.580]   The cash that you're going to be spending on the rental portfolio.
[00:23:39.580 --> 00:23:39.580]   The cash that you're going to be spending on the rental portfolio.
[00:23:39.580 --> 00:23:39.580]   The cash that you're going to be spending on the rental portfolio.
[00:23:39.580 --> 00:23:39.580]   The cash that you're going to be spending on the rental portfolio.
[00:23:39.580 --> 00:23:39.580]   The cash that you're going to be spending on the rental portfolio.
[00:23:39.580 --> 00:23:39.580]   The cash that you're going to be spending on the rental portfolio.
[00:23:39.580 --> 00:23:39.580]   The cash that you're going to be spending on the rental portfolio.
[00:23:39.600 --> 00:24:09.600]   The cash that you're going to be spending on the rental portfolio.
[00:24:09.600 --> 00:24:09.600]   The cash that you're going to be spending on the rental portfolio.
[00:24:09.600 --> 00:24:09.600]   The cash that you're going to be spending on the rental portfolio.
[00:24:09.600 --> 00:24:09.600]   The cash that you're going to be spending on the rental portfolio.
[00:24:09.600 --> 00:24:09.600]   The cash that you're going to be spending on the rental portfolio.
[00:24:09.600 --> 00:24:09.600]   The cash that you're going to be spending on the rental portfolio.
[00:24:09.600 --> 00:24:09.600]   The cash that you're going to be spending on the rental portfolio.
[00:24:09.600 --> 00:24:09.600]   The cash that you're going to be spending on the rental portfolio.
[00:24:09.600 --> 00:24:09.600]   The cash that you're going to be spending on the rental portfolio.
[00:24:09.600 --> 00:24:09.600]   The cash that you're going to be spending on the rental portfolio.
[00:24:09.600 --> 00:24:09.600]   The cash that you're going to be spending on the rental portfolio.
[00:24:09.600 --> 00:24:09.600]   The cash that you're going to be spending on the rental portfolio.
[00:24:09.600 --> 00:24:09.600]   The cash that you're going to be spending on the rental portfolio.
[00:24:09.640 --> 00:24:39.620]   the cash that you're going to be spending on the rental portfolio.
[00:24:39.620 --> 00:24:39.620]   The cash that you're going to be spending on the rental portfolio.
[00:24:39.620 --> 00:24:39.620]   The cash that you're going to be spending on the rental portfolio.
[00:24:39.620 --> 00:24:39.620]   The cash that you're going to be spending on the rental portfolio.
[00:24:39.620 --> 00:24:39.620]   The cash that you're going to be spending on the rental portfolio.
[00:24:39.620 --> 00:24:39.620]   The cash that you're going to be spending on the rental portfolio.
[00:24:39.620 --> 00:24:39.620]   The cash that you're going to be spending on the rental portfolio.
