
[00:00:00.000 --> 00:00:19.000]   [ Music ]
[00:04:00.200 --> 00:04:04.200]   And I'm not going to sit here and pretend
[00:04:04.200 --> 00:04:06.200]   that I have the final word on this,
[00:04:06.200 --> 00:04:08.200]   but I am attempting to deal with it
[00:04:08.200 --> 00:04:10.200]   from a biblical perspective.
[00:04:10.200 --> 00:04:15.200]   And hopefully you can appreciate it from that standpoint.
[00:04:15.200 --> 00:04:17.200]   So let's talk about abuse in terms
[00:04:17.200 --> 00:04:20.200]   of defining it in the home.
[00:04:20.200 --> 00:04:24.200]   And in order to do this, we have to set some parameters.
[00:04:24.200 --> 00:04:27.200]   And we have to ask the question, what is abuse?
[00:04:27.200 --> 00:04:29.200]   And I realize that there are many different ways
[00:04:29.200 --> 00:04:32.200]   to define abuse.
[00:04:32.200 --> 00:04:34.200]   But for our purposes, what I want to do
[00:04:34.200 --> 00:04:41.200]   is define it as physical abuse that may involve things
[00:04:41.200 --> 00:04:42.200]   like sexual abuse.
[00:04:42.200 --> 00:04:45.200]   It may involve that.
[00:04:45.200 --> 00:04:48.200]   But especially the extreme forms of abuse
[00:04:48.200 --> 00:04:52.200]   that is potentially life-threatening
[00:04:52.200 --> 00:04:57.200]   or potentially harmful to a member of the family.
[00:04:57.200 --> 00:04:59.200]   One member of the family is being abusive
[00:04:59.200 --> 00:05:01.200]   to another member of the family.
[00:05:01.200 --> 00:05:03.200]   Here are the type of abuse situations
[00:05:03.200 --> 00:05:05.200]   that I've counseled in the past.
[00:05:05.200 --> 00:05:09.200]   So you know I'm not talking from a standpoint of theory here.
[00:05:09.200 --> 00:05:12.200]   I've counseled situations where obviously husbands
[00:05:12.200 --> 00:05:16.200]   have been physically abusing wives on a repeated basis.
[00:05:16.200 --> 00:05:18.200]   I've counseled repeated situations
[00:05:18.200 --> 00:05:21.200]   where it is the wife who has been physically
[00:05:21.200 --> 00:05:24.200]   abusive to her husband.
[00:05:24.200 --> 00:05:28.200]   I've counseled situations where older children have
[00:05:28.200 --> 00:05:31.200]   been physically abusive still living in the home
[00:05:31.200 --> 00:05:38.200]   with their elderly parents, where older children have,
[00:05:38.200 --> 00:05:43.200]   in a sense, are threatening their parents.
[00:05:43.200 --> 00:05:46.200]   Now when dad was younger and in his prime, he could take the son.
[00:05:46.200 --> 00:05:48.200]   But not anymore.
[00:05:48.200 --> 00:05:49.200]   Now son's big.
[00:05:49.200 --> 00:05:50.200]   He's strong.
[00:05:50.200 --> 00:05:51.200]   He's tough.
[00:05:51.200 --> 00:05:53.200]   And he takes dad.
[00:05:53.200 --> 00:05:58.200]   And he'll take dad down.
[00:05:58.200 --> 00:06:00.200]   So I've counseled those kind of situations.
[00:06:00.200 --> 00:06:03.200]   I've counseled situations of sexual abuse
[00:06:03.200 --> 00:06:09.200]   more times than I would like to or would want to,
[00:06:09.200 --> 00:06:13.200]   that has occurred in homes and in step family
[00:06:13.200 --> 00:06:15.200]   or blended family type of homes.
[00:06:15.200 --> 00:06:22.200]   So I just want you to understand that.
[00:06:22.200 --> 00:06:24.200]   And I want you to understand it's not because of all
[00:06:24.200 --> 00:06:26.200]   these different situations that I've
[00:06:26.200 --> 00:06:28.200]   counseled that necessarily is going
[00:06:28.200 --> 00:06:30.200]   to make this authoritative.
[00:06:30.200 --> 00:06:32.200]   The only thing that's going to make it authoritative
[00:06:32.200 --> 00:06:33.200]   is the word of God.
[00:06:33.200 --> 00:06:35.200]   But I do want you to understand I'm not
[00:06:35.200 --> 00:06:39.200]   coming at this from an abstract theoretical standpoint.
[00:06:39.200 --> 00:06:42.200]   I'm talking about this from a standpoint of this
[00:06:42.200 --> 00:06:48.200]   is what helps me in dealing with these homes biblically.
[00:06:48.200 --> 00:06:50.200]   This is what helps me.
[00:06:50.200 --> 00:06:56.200]   So now I also have to deal with the issue.
[00:06:56.200 --> 00:06:58.200]   There are a lot of people who talk in our culture
[00:06:58.200 --> 00:07:00.200]   about verbal abuse.
[00:07:00.200 --> 00:07:01.200]   All right.
[00:07:01.200 --> 00:07:02.200]   Maybe you've heard that.
[00:07:02.200 --> 00:07:03.200]   Verbal abuse.
[00:07:03.200 --> 00:07:11.200]   And this, of course, the Bible talks about this.
[00:07:11.200 --> 00:07:12.200]   Words cut.
[00:07:12.200 --> 00:07:14.200]   They make lasting impressions.
[00:07:14.200 --> 00:07:18.200]   Proverbs chapter 12 and verse 18 talks about this.
[00:07:18.200 --> 00:07:20.200]   Reckless words pierce like a sword,
[00:07:20.200 --> 00:07:22.200]   but the tongue of the wise brings healing.
[00:07:22.200 --> 00:07:25.200]   The world says sticks and stones may break my bones,
[00:07:25.200 --> 00:07:26.200]   but words will never hurt me.
[00:07:26.200 --> 00:07:28.200]   But the Bible says words do hurt.
[00:07:28.200 --> 00:07:30.200]   But when I'm dealing with abuse here,
[00:07:30.200 --> 00:07:32.200]   I'm not going to talk about, quote unquote,
[00:07:32.200 --> 00:07:36.200]   verbal abuse so much or emotional abuse.
[00:07:36.200 --> 00:07:40.200]   Sometimes those become catchwords
[00:07:40.200 --> 00:07:43.200]   by impressionistic child psychology.
[00:07:43.200 --> 00:07:49.200]   And, you know, one time I had a wife that came in
[00:07:49.200 --> 00:07:51.200]   and she said, "My husband's been abusing me."
[00:07:51.200 --> 00:07:53.200]   And, of course, all kinds of horrible things
[00:07:53.200 --> 00:07:55.200]   start swirling in your mind as a counselor
[00:07:55.200 --> 00:07:57.200]   when that kind of thing happens.
[00:07:57.200 --> 00:07:58.200]   But when I started to probe her
[00:07:58.200 --> 00:08:00.200]   as to exactly what was going on,
[00:08:00.200 --> 00:08:02.200]   what was really happening was
[00:08:02.200 --> 00:08:07.200]   that her husband didn't have the same opinion
[00:08:07.200 --> 00:08:09.200]   about different things that she had.
[00:08:09.200 --> 00:08:13.200]   And to her, that constituted verbal and emotional abuse.
[00:08:13.200 --> 00:08:15.200]   My husband does not agree with me.
[00:08:15.200 --> 00:08:17.200]   That equals abuse.
[00:08:17.200 --> 00:08:18.200]   All right?
[00:08:18.200 --> 00:08:22.200]   I'm sorry, but in my book, that doesn't equal abuse.
[00:08:22.200 --> 00:08:23.200]   All right?
[00:08:23.200 --> 00:08:26.200]   And that was very hard for her to understand.
[00:08:26.200 --> 00:08:28.200]   If my husband really loved me,
[00:08:28.200 --> 00:08:30.200]   then he'd agree with me.
[00:08:30.200 --> 00:08:32.200]   She actually made those statements.
[00:08:32.200 --> 00:08:35.200]   If he really loved me, he'd agree with me.
[00:08:35.200 --> 00:08:37.200]   And I would say to her,
[00:08:37.200 --> 00:08:41.200]   "Because he disagrees with you, he loves you."
[00:08:41.200 --> 00:08:42.200]   All right?
[00:08:42.200 --> 00:08:44.200]   Based upon what?
[00:08:44.200 --> 00:08:47.200]   Well, we've studied this in the Proverbs and Counseling class before,
[00:08:47.200 --> 00:08:52.200]   but the issue of Proverbs 27, verses 5 and 6,
[00:08:52.200 --> 00:08:54.200]   "Better is hope and rebuke than love that is concealed.
[00:08:54.200 --> 00:08:56.200]   Faithful are the wounds of a friend,
[00:08:56.200 --> 00:08:58.200]   but deceitful are the kisses of an enemy."
[00:08:58.200 --> 00:09:03.200]   If your husband doesn't love you,
[00:09:03.200 --> 00:09:04.200]   then he's going to kiss up to you
[00:09:04.200 --> 00:09:06.200]   and agree with everything you say.
[00:09:06.200 --> 00:09:09.200]   If he doesn't love you.
[00:09:09.200 --> 00:09:15.200]   And that's what Proverbs 27, verse 6 is saying.
[00:09:15.200 --> 00:09:21.200]   But she kind of interpreted this emotional, verbal abuse
[00:09:21.200 --> 00:09:25.200]   as being abuse.
[00:09:25.200 --> 00:09:27.200]   And I'm not talking about that.
[00:09:27.200 --> 00:09:32.200]   Even though I realize that people who are verbally abusive--
[00:09:32.200 --> 00:09:35.200]   and now, when you get into emotional abuse,
[00:09:35.200 --> 00:09:38.200]   that is really touchy-feely.
[00:09:38.200 --> 00:09:41.200]   And it's hard to nail exactly what people mean by that
[00:09:41.200 --> 00:09:45.200]   because a variety of people mean a whole variety of different things on it.
[00:09:45.200 --> 00:09:49.200]   It's trying to nail jello to the wall
[00:09:49.200 --> 00:09:53.200]   and trying to define that for them.
[00:09:53.200 --> 00:09:58.200]   And I realize that verbal abuse can lead to more harmful physical abuse.
[00:09:58.200 --> 00:10:00.200]   I understand that.
[00:10:00.200 --> 00:10:09.200]   Well, verbal abuse can also provoke physical abuse, too.
[00:10:09.200 --> 00:10:12.200]   But primarily, I'm not going to be talking about that.
[00:10:12.200 --> 00:10:17.200]   Verbal and emotional abuse rarely is really a life-threatening issue.
[00:10:17.200 --> 00:10:19.200]   It does make life miserable.
[00:10:19.200 --> 00:10:21.200]   It causes turmoil. It causes strife.
[00:10:21.200 --> 00:10:24.200]   Proverbs is full of people or warnings about people
[00:10:24.200 --> 00:10:27.200]   who are contentious and quarrelsome,
[00:10:27.200 --> 00:10:31.200]   who cause difficulty and strife among people.
[00:10:31.200 --> 00:10:33.200]   And if we had more time than what is afforded us,
[00:10:33.200 --> 00:10:36.200]   we'd spend more time with this.
[00:10:36.200 --> 00:10:38.200]   But let me hasten to say this.
[00:10:38.200 --> 00:10:45.200]   As a good biblical counselor that's practicing insight into this issue,
[00:10:45.200 --> 00:10:53.200]   you've got to really develop some good biblical discernment on this issue,
[00:10:53.200 --> 00:10:58.200]   on the presentation problem of abuse.
[00:10:58.200 --> 00:11:01.200]   There are a lot of counselees that have been so psychologized
[00:11:01.200 --> 00:11:06.200]   that any difficulty from their mate constitutes unbearable abuse.
[00:11:06.200 --> 00:11:09.200]   And they'll expect you to accept their conclusions,
[00:11:09.200 --> 00:11:14.200]   and they'll want you to agree that they need immediate relief and escape.
[00:11:14.200 --> 00:11:17.200]   And usually the assumption behind that is,
[00:11:17.200 --> 00:11:22.200]   "God doesn't want me to endure any hardship or difficulty in my life.
[00:11:22.200 --> 00:11:25.200]   I'm one of his children after all."
[00:11:25.200 --> 00:11:33.200]   And that may be a very loose, theologically Arminian or charismatic view of things.
[00:11:33.200 --> 00:11:36.200]   That is not a biblical view.
[00:11:36.200 --> 00:11:39.200]   All you have to do is look at Hebrews 12 and verse 7,
[00:11:39.200 --> 00:11:41.200]   or 1 Peter 2 and verse 23,
[00:11:41.200 --> 00:11:43.200]   both of which were written and addressed to Christians,
[00:11:43.200 --> 00:11:47.200]   and you'll find out that God does take us through hardship.
[00:11:47.200 --> 00:11:52.200]   In fact, hardship is a tool that he uses in order to develop godly character in our life.
[00:11:52.200 --> 00:11:54.200]   Who is abused?
[00:11:54.200 --> 00:11:57.200]   Who are we addressing?
[00:11:57.200 --> 00:11:59.200]   There's another question.
[00:11:59.200 --> 00:12:02.200]   You can see there on the screen.
[00:12:02.200 --> 00:12:05.200]   There are many different types of people who experience abuse.
[00:12:05.200 --> 00:12:14.200]   Women, children, the elderly, men do.
[00:12:14.200 --> 00:12:17.200]   Again, there's no way in the brief time that we have to speak adequately
[00:12:17.200 --> 00:12:22.200]   to all these different types of situation of abuse.
[00:12:22.200 --> 00:12:26.200]   But I'm going to be dealing primarily with the most common,
[00:12:26.200 --> 00:12:34.200]   and that is husband and wife violence that sometimes bleeds over into parenting.
[00:12:34.200 --> 00:12:36.200]   But the principles that we draw from scripture
[00:12:36.200 --> 00:12:42.200]   are really mostly applicable to all these other kind of abuses anyhow.
[00:12:42.200 --> 00:12:45.200]   Now, let me hasten to say this at this point.
[00:12:45.200 --> 00:12:48.200]   You've got to get to know your counselee.
[00:12:48.200 --> 00:12:50.200]   What is that one of the eight I's?
[00:12:50.200 --> 00:12:53.200]   That involvement thing is really key here.
[00:12:53.200 --> 00:12:58.200]   In abuse situations, if you don't gain involvement with your counselee,
[00:12:58.200 --> 00:13:02.200]   you're going to lose this case early.
[00:13:02.200 --> 00:13:04.200]   Gain involvement.
[00:13:04.200 --> 00:13:08.200]   You need to collect as much data as you can from this counselee.
[00:13:08.200 --> 00:13:12.200]   Don't assume you know the situation and dump on your counselee
[00:13:12.200 --> 00:13:17.200]   some kind of prepackaged answers and Bible lessons.
[00:13:17.200 --> 00:13:21.200]   God has answers, but it takes a counselor with wisdom and skill in his word
[00:13:21.200 --> 00:13:25.200]   to bring the right answers to bear upon the particular and unique situation
[00:13:25.200 --> 00:13:29.200]   that your counselee is going to be presenting to you.
[00:13:29.200 --> 00:13:33.200]   I've supervised too many counselors in training
[00:13:33.200 --> 00:13:37.200]   who are ready to show their counselee how much they know about the Bible
[00:13:37.200 --> 00:13:40.200]   without really carefully collecting all the data
[00:13:40.200 --> 00:13:44.200]   and gaining involvement with that counselee.
[00:13:44.200 --> 00:13:48.200]   When that happens, unintentionally, they communicate disinterest
[00:13:48.200 --> 00:13:51.200]   in their counselee and the situation,
[00:13:51.200 --> 00:13:55.200]   and that's not what this abused person wants or needs.
[00:13:55.200 --> 00:13:58.200]   They don't need someone coming along expressing disinterest
[00:13:58.200 --> 00:14:03.200]   by just dumping on them another Bible lesson.
[00:14:03.200 --> 00:14:07.200]   Remember that the Apostle Paul worked personally
[00:14:07.200 --> 00:14:10.200]   with the Ephesian Christians for night and day for three years,
[00:14:10.200 --> 00:14:15.200]   even to the point of shedding of tears, Acts 20, 31.
[00:14:15.200 --> 00:14:21.200]   So your involvement and your careful listening to the problem
[00:14:21.200 --> 00:14:27.200]   communicates genuine hope to people who feel that they have no hope.
[00:14:27.200 --> 00:14:33.200]   On one extreme, don't be quick to label your counselee like a victim
[00:14:33.200 --> 00:14:37.200]   or as a victim like a psychiatrist would do or a psychologist.
[00:14:37.200 --> 00:14:38.200]   There's no hope in that.
[00:14:38.200 --> 00:14:42.200]   On the other extreme, don't expect your counselee to get everything that they need
[00:14:42.200 --> 00:14:46.200]   to meet their problem from some kind of prepackaged Bible lesson
[00:14:46.200 --> 00:14:52.200]   or just from a preaching service in a church.
[00:14:52.200 --> 00:14:55.200]   There's no specific hope in either of those.
[00:14:55.200 --> 00:15:00.200]   Paul taught the Ephesians publicly, but he also ministered the word one-on-one
[00:15:00.200 --> 00:15:04.200]   from house to house, Acts 20 and verse 20.
[00:15:04.200 --> 00:15:06.200]   It's preaching that brings the word to people,
[00:15:06.200 --> 00:15:09.200]   and it's counseling that brings people to the word.
[00:15:09.200 --> 00:15:14.200]   So the combination of good counseling involvement with good preaching in a church
[00:15:14.200 --> 00:15:20.200]   will bring hope to that counselee during times of abuse and hardship.
[00:15:20.200 --> 00:15:23.200]   Now, who are the ones who are abused?
[00:15:23.200 --> 00:15:30.200]   There are different examples of this in Exodus 20 and verse 13,
[00:15:30.200 --> 00:15:36.200]   Matthew 5, 21 through 22, Galatians 5, 19 through 20,
[00:15:36.200 --> 00:15:40.200]   Ephesians 4, 21, Colossians 3, 8, et cetera.
[00:15:40.200 --> 00:15:43.200]   We don't have time to go into all those passages,
[00:15:43.200 --> 00:15:48.200]   but all of those passages assumed that people are wronging people.
[00:15:48.200 --> 00:15:49.200]   That's going to happen.
[00:15:49.200 --> 00:15:51.200]   It's going to happen in the blended family.
[00:15:51.200 --> 00:16:02.200]   In fact, the blended family is really set up for this kind of thing to happen naturally.
[00:16:02.200 --> 00:16:08.200]   But this brings us to a little foundational matrix that we've got here
[00:16:08.200 --> 00:16:14.200]   that should help us answer the question, "Who is the Christian?"
[00:16:14.200 --> 00:16:19.200]   Who is the Christian?
[00:16:19.200 --> 00:16:23.200]   This is a critical question to the biblical counselor
[00:16:23.200 --> 00:16:28.200]   because it determines the direction and the scriptural procedures
[00:16:28.200 --> 00:16:32.200]   that you're going to take in dealing with the abused.
[00:16:32.200 --> 00:16:40.200]   Secular models of counseling domestic violence is silent in discerning this difference.
[00:16:40.200 --> 00:16:45.200]   To them, this absolutely makes--it's irrelevant question to ask.
[00:16:45.200 --> 00:16:48.200]   To us, it's everything.
[00:16:48.200 --> 00:16:54.200]   Who's the Christian?
[00:16:54.200 --> 00:16:59.200]   When we ascribe the word "Christian" to a situation,
[00:16:59.200 --> 00:17:04.200]   to a husband or a wife in a home situation,
[00:17:04.200 --> 00:17:06.200]   we are assuming this.
[00:17:06.200 --> 00:17:10.200]   If you want a good discussion of this, get a hold of Wayne Mack's book,
[00:17:10.200 --> 00:17:12.200]   "Life in the Father's House."
[00:17:12.200 --> 00:17:15.200]   He has a good discussion of this.
[00:17:15.200 --> 00:17:18.200]   And he does some quotations from the early--
[00:17:18.200 --> 00:17:26.200]   or from the Reformation fathers, from Luther, from Calvin, from Zwingli,
[00:17:26.200 --> 00:17:37.200]   about if God is our father, the church is our mother, about church membership.
[00:17:37.200 --> 00:17:41.200]   Down through church history, for a person to claim to be a Christian
[00:17:41.200 --> 00:17:48.200]   and not be an active part of the visible local church as an active member was inconceivable.
[00:17:48.200 --> 00:17:54.200]   Today in our world, we have these kind of--I don't know how to describe them--
[00:17:54.200 --> 00:17:57.200]   individualistic Lone Ranger Christians.
[00:17:57.200 --> 00:18:02.200]   Some of you probably are not old enough to remember the old television program,
[00:18:02.200 --> 00:18:05.200]   "The Lone Ranger," all right?
[00:18:05.200 --> 00:18:09.200]   And "The Lone Ranger" and "Tonto."
[00:18:09.200 --> 00:18:11.200]   What's that?
[00:18:11.200 --> 00:18:13.200]   And "Silver," the horse.
[00:18:13.200 --> 00:18:15.200]   That's right. "Silver," the horse.
[00:18:15.200 --> 00:18:16.200]   "Lone Ranger."
[00:18:16.200 --> 00:18:19.200]   Well, there's a lot of Lone Ranger Christians out there
[00:18:19.200 --> 00:18:23.200]   who think that they kind of exist in their own little personal Christian bubble,
[00:18:23.200 --> 00:18:27.200]   totally divorced from anybody else in the world and the church.
[00:18:27.200 --> 00:18:29.200]   I don't believe that's the case.
[00:18:29.200 --> 00:18:34.200]   When we're describing the word "Christian" to a husband or wife,
[00:18:34.200 --> 00:18:40.200]   we're ascribing to them, we're assuming they're a member of the church.
[00:18:40.200 --> 00:18:47.200]   And churches without a strong membership policy will never be able to discipline people properly,
[00:18:47.200 --> 00:18:53.200]   and this is going to be critical in dealing with abuse.
[00:18:53.200 --> 00:19:00.200]   Church discipline is a gift of God's grace to the church that is concerned about holiness.
[00:19:00.200 --> 00:19:05.200]   It's a powerful tool for righteousness when used properly in an abuse situation.
[00:19:05.200 --> 00:19:07.200]   So what we're saying is this.
[00:19:07.200 --> 00:19:13.200]   It's not the person who claims to be the Christian that you should consider to be a Christian.
[00:19:13.200 --> 00:19:19.200]   It is the person who's willing to live like a Christian who you should treat as a Christian, all right?
[00:19:19.200 --> 00:19:24.200]   And by that I mean they're an active part of the local church.
[00:19:24.200 --> 00:19:28.200]   They can come in and claim to be a Christian until they're absolutely blue in the face.
[00:19:28.200 --> 00:19:33.200]   They may even be able to spout back to you the gospel,
[00:19:33.200 --> 00:19:39.200]   but I'm not going to treat them like a Christian until they're an active part and/or member of a local church.
[00:19:39.200 --> 00:19:42.200]   Then I'm going to start treating them like a Christian because they're acting like a Christian.
[00:19:42.200 --> 00:19:43.200]   John?
[00:19:43.200 --> 00:19:49.200]   >> When you bring up Hebrews 13, 7 as far as being under the authority of an elder.
[00:19:49.200 --> 00:19:54.200]   >> Yes, yeah, Hebrews 13, 7, and a little bit later on, verse 17, you know,
[00:19:54.200 --> 00:19:57.200]   because they have to give an answer for your soul.
[00:19:57.200 --> 00:19:59.200]   They oversee your souls.
[00:19:59.200 --> 00:20:07.200]   Yes, and being underneath their leadership, that's a good thing to be able to bring up there.
[00:20:07.200 --> 00:20:11.200]   But it was inconceivable in the early church for a person to call himself a Christian
[00:20:11.200 --> 00:20:13.200]   and not be an active part of the church.
[00:20:13.200 --> 00:20:14.200]   That was just inconceivable.
[00:20:14.200 --> 00:20:20.200]   In fact, you know, what's bizarre in the second century church,
[00:20:20.200 --> 00:20:26.200]   you had to go through catechism and complete it successfully before they considered you a real Christian, all right?
[00:20:26.200 --> 00:20:33.200]   And that catechism involved memorizing the entire book of Mark.
[00:20:33.200 --> 00:20:39.200]   They wouldn't even look at you as being a Christian until you had the entire book of Mark memorized.
[00:20:39.200 --> 00:20:45.200]   Well, if we did that today, it would empty half of our people in our churches.
[00:20:45.200 --> 00:20:53.200]   It was bizarre, but they wouldn't consider you really being serious about your Christian faith
[00:20:53.200 --> 00:20:57.200]   until you could quote the book of Mark.
[00:20:57.200 --> 00:21:00.200]   So who is the Christian?
[00:21:00.200 --> 00:21:04.200]   I want to say you have to look at it like this.
[00:21:04.200 --> 00:21:07.200]   It's not the person who says they're a Christian.
[00:21:07.200 --> 00:21:13.200]   It's the person who backs it up by being active membership in a local church.
[00:21:13.200 --> 00:21:15.200]   That's the Christian.
[00:21:15.200 --> 00:21:18.200]   Now, let's set up this little matrix.
[00:21:18.200 --> 00:21:26.200]   If you've got a Christian husband, all right, you can see Christian and unbeliever down left side over the top, husband and wife.
[00:21:26.200 --> 00:21:36.200]   You've got a Christian husband, then the Christian husband is answerable to church and civil authorities in that order.
[00:21:36.200 --> 00:21:37.200]   Okay?
[00:21:37.200 --> 00:21:39.200]   Church and civil authorities.
[00:21:39.200 --> 00:21:46.200]   If you have a Christian wife, she as well is answerable to the church and civil authorities.
[00:21:46.200 --> 00:21:52.200]   If you have an unbelieving husband, then they're answerable to civil authorities.
[00:21:52.200 --> 00:21:58.200]   If you have an unbelieving wife, then she's answerable to civil authorities as well.
[00:21:58.200 --> 00:22:04.200]   Whoever those civil authorities may be, whatever country you're in, whatever state you're in.
[00:22:04.200 --> 00:22:06.200]   Okay?
[00:22:06.200 --> 00:22:12.200]   So even the unbeliever has an authority system they're responsible for.
[00:22:12.200 --> 00:22:26.200]   And Romans 13 and 1 Peter 2 tells us that that's ordained by God in order to maintain peace in an otherwise world that would be characterized by chaos and sin.
[00:22:26.200 --> 00:22:30.200]   Now, you get these kind of things that can happen, and I'm going to stand up here and take a look.
[00:22:30.200 --> 00:22:33.200]   I want you to take a look at this chart on the board here.
[00:22:33.200 --> 00:22:39.200]   You can get these cross things that happen where you've got a Christian husband married to an unbelieving wife.
[00:22:39.200 --> 00:22:43.200]   You've got a Christian wife married to an unbelieving husband.
[00:22:43.200 --> 00:22:49.200]   Or you can have a Christian husband married to a Christian wife and an unbelieving husband married to an unbelieving wife.
[00:22:49.200 --> 00:22:57.200]   So you've got several different scenarios that can actually take place here in the home.
[00:22:57.200 --> 00:23:04.200]   The most likely scenario of abuse is the Christian wife married to the unbelieving husband.
[00:23:04.200 --> 00:23:09.200]   That's the most likely scenario of abuse.
[00:23:09.200 --> 00:23:17.200]   However, there are examples of abusive Christian wives in relationship to or unbelieving wives in relationship to Christian husbands.
[00:23:17.200 --> 00:23:28.200]   And there are scenarios where you've got genuine Christian husbands who are abusive to Christian wives and genuine Christian wives who have been abusive to Christian husbands.
[00:23:28.200 --> 00:23:33.200]   They're not acting Christ-like, obviously, when they're doing that kind of thing.
[00:23:33.200 --> 00:23:47.200]   On occasion, you'll even have Christian wives who are actively a part of a member of a local church who have an unbelieving husband and they're abusive to their husbands.
[00:23:47.200 --> 00:23:50.200]   I've had that.
[00:23:50.200 --> 00:23:52.200]   All right.
