
[00:00:00.000 --> 00:00:08.000]   Great.
[00:04:34.000 --> 00:04:42.000]   And then people are like, oh wow that doesn't actually work. So, before you get into complicated things you read about in the blog somewhere.
[00:04:42.000 --> 00:04:50.000]   Just do this, and you're going to see me do it from scratch. So you'll see it really does work.
[00:04:50.000 --> 00:05:03.000]   So one of the things we're going to be doing a lot is using a terminal, which a terminal looks like this, which is not the most exciting looking thing.
[00:05:03.000 --> 00:05:13.000]   You know, I started out, back in, you know, 30 years ago not using a terminal much at all.
[00:05:13.000 --> 00:05:17.000]   I was all kind of Excel, VB, whatever.
[00:05:17.000 --> 00:05:29.000]   And those are all very useful tools, but the terminal is great for data scientists because, rather than having to have a like a long list of click here, click next, minimize that, click there, drag here.
[00:05:29.000 --> 00:05:43.000]   You can put it in a little script and you just say run the script, you know, you can do things very quickly you can automate things it's like it's also like the difference between me speaking to you with with English language versus me holding up pictures and kind
[00:05:43.000 --> 00:05:54.000]   of diagrams or hand signals, you know, language is a really powerful way to communicate with the human and also with a machine.
[00:05:54.000 --> 00:06:05.000]   So there's a reason we're going to be using the terminal. A lot of the things we do, there will be gooey ways of doing it as well, but because this is the opinionated do it my way version.
[00:06:05.000 --> 00:06:08.000]   That's what we're going to be spending a lot of time on.
[00:06:08.000 --> 00:06:21.000]   And I want to like assume nothing, except that you like know how to use a computer and you know the basics of Python.
[00:06:21.000 --> 00:06:32.000]   That's hard for me because I've been using terminals and Python stuff for a long time. So I'm highly reliant on people asking questions.
[00:06:32.000 --> 00:06:41.000]   And I would certainly appreciate it if people ask questions here in zoom directly on audio, if possible.
[00:06:41.000 --> 00:06:53.000]   Otherwise, on YouTube live, don't use the zoom chat because it's a little bit harder for me to like zip in and out of.
[00:06:53.000 --> 00:07:08.000]   So yeah, before I get started anything particularly Nick and Radek that you were hoping to get out of these sessions or to share in these sessions I know Radek you were interested in learning a bit more about paper space, I believe.
[00:07:08.000 --> 00:07:16.000]   Yes, yes, that's true. I'm wondering where it fits in my stock as a data scientist.
[00:07:16.000 --> 00:07:31.000]   If it has a use. So I'm thinking about having something that I could access in my browser without thinking about starting an instance somewhere and essentially just add a click.
[00:07:31.000 --> 00:07:43.000]   This could be helpful, not even for doing the course but just something, something useful to have so definitely looking forward to learning about how we can use paper space.
[00:07:43.000 --> 00:07:56.000]   And of course Radek you're an AI expert in Nvidia so it's not like you have a shortage of GPUs you can access but they're not necessarily set up in as convenient a way as you described for just jumping into a browser and starting work right.
[00:07:56.000 --> 00:08:14.000]   That is true and I'm thinking, so I want to use tools in a way that speeds me up, you know, I want to create an environment where I feel comfortable, where I remove the tools from the equation and I can focus on doing the work.
[00:08:14.000 --> 00:08:26.000]   That not only includes work for, you know, like professional work but a big part of being a data scientist is continuing to grow your skills.
[00:08:26.000 --> 00:08:36.000]   So if I could be working on something and very often in data science, you know, you still have to wait for something to start or for some calculation to compete.
[00:08:36.000 --> 00:08:49.000]   And in those units of time where you know it's two minutes, three minutes, 10 minutes, I would jump into onto Reddit or you know would essentially waste my time and to my attention.
[00:08:49.000 --> 00:09:02.000]   If I would have a window in my browser a tab I could jump and do something useful something exciting like for example, submitting to a Kaggle competition or trying out a new library.
[00:09:02.000 --> 00:09:12.000]   I think that would be a really, really nice outcome. So, yeah, I'm curious if that's, that's something that paper space fast iteration speeds important for sure.
[00:09:12.000 --> 00:09:25.000]   By the way, I can hear you okay but you're a little quiet and I don't know if you've got a headset you can use your microphone you can move or volume control you can change or anything.
[00:09:25.000 --> 00:09:28.000]   How about you, Nick.
[00:09:28.000 --> 00:09:36.000]   Yeah, I would reflect what Reddick said, straight off the bat there that you want to just have as little friction as possible in your in your tool chain.
[00:09:36.000 --> 00:09:48.000]   And I think one of the great things about about doing these sessions is for people who, you know, it can be intimidating I think once you really start to get down into the tool chain when you go from perhaps having tried, you know, your first notebooks on Kaggle
[00:09:48.000 --> 00:10:00.000]   or you've been on CoLab or something else, you know, it can be intimidating to actually start getting down in the weeds of your system and getting to really know it and and some things can be so confusing it's like I should be using Tonda should be using member show.
[00:10:00.000 --> 00:10:07.000]   What's the right Python environment all these things. And, and it can be intimidating to find that out. So, like, not always great right.
[00:10:07.000 --> 00:10:25.000]   Exactly. And almost everyone is opinionated about how they want to use their tool chain for their thing but I think what I hope that everyone gets out of this is a way of is that there's a canonical fast AI way of doing things and and to be able to have a tool chain
[00:10:25.000 --> 00:10:36.000]   as as friction free as possible so that you can get productive with whatever task in your general compute environment. I think that's fantastic. And yeah, look forward to it.
[00:10:36.000 --> 00:10:45.000]   Anybody else listening or on YouTube live want to say what you're hoping to get out of this.
[00:10:45.000 --> 00:10:49.000]   Hello, everyone. My name is Ashley. Hi, Ashley.
[00:10:49.000 --> 00:10:55.000]   I'm a search on my video. Can you guys see me now. Sure can. Where are you joining from actually. I'm in Brisbane.
[00:10:55.000 --> 00:10:58.000]   Yes.
[00:10:58.000 --> 00:11:05.000]   You're working in Brisbane or student. Yes, I'm working as a graduate data scientist at Rio Tinto.
[00:11:05.000 --> 00:11:11.000]   And it's so happened that today I don't have any meetings so it's like, this is good.
[00:11:11.000 --> 00:11:28.000]   Yeah, and I can totally reflect on what Nick and Radik said about being as about having as little friction as possible because I'm like since I'm a graduate data scientist, I'm just starting my journey as a data scientist so trying to become a data scientist
[00:11:28.000 --> 00:11:31.000]   is what how I describe myself.
[00:11:31.000 --> 00:11:49.000]   And most of the times the problem that arises are just conflicts and libraries, and I want to do data science but I still end up doing that lots of that engineering stuff and realize which is good to realize that you're learning you're like learning
[00:11:49.000 --> 00:12:05.000]   what a data engineering role or that sort of thing what they do and help us in getting our environment set up, which is good to learn that they do a lot of stuff and I have huge respect for the data engineers at least at Rio now, but also learning that
[00:12:05.000 --> 00:12:14.000]   it's a good thing to, you know, what my interest like it was just data science and I would like to do that so that's something I'm looking forward to as well.
[00:12:14.000 --> 00:12:28.000]   Yeah, I mean there's a lot of stuff I think we need to really dig into over the coming weeks you know and it needs to include stuff like you know SQL and, you know, working with CSV files and all this stuff and it's good that all of you have talked
[00:12:28.000 --> 00:12:41.000]   about kind of decreasing the friction of data science because it's not just about doing it more quickly but if you have a lower friction, then it's less cognitive overhead for your brain and thinking about the process which means there's more room for your
[00:12:41.000 --> 00:12:46.000]   brain to think about solving the problem. Yeah, absolutely. Okay.
[00:12:46.000 --> 00:12:50.000]   Anybody else. Jeremy on.
[00:12:50.000 --> 00:12:54.000]   I'm just really enjoying the narrative.
[00:12:54.000 --> 00:13:04.000]   And also I'm hoping you'll be able to tune into the environment, but by the end of it so.
[00:13:04.000 --> 00:13:08.000]   Where are you joining from.
[00:13:08.000 --> 00:13:17.000]   A bit of a trial with paper space but I finally got that going after about what's this five weeks. And so anyway that set me back a bit but.
[00:13:17.000 --> 00:13:28.000]   So I'm really grateful that you're running these these additional issues. That's great. Could you quickly introduce yourself, who are you and where are you joining from me.
[00:13:28.000 --> 00:13:43.000]   I'm a QUT in Brisbane, and I'm a late entry PhD student spec coming to the end of that fact I saw you at the SDM. When you presented there.
[00:13:43.000 --> 00:13:58.000]   And it looks like your name is Daniel according to playing in the decomposition of heterogeneous data into a margin of sections and then using that for modeling of simulation.
[00:13:58.000 --> 00:14:00.000]   Oh, interesting. Okay.
[00:14:00.000 --> 00:14:07.000]   Great. Well, let's, let's, let's make a start then so I'm.
[00:14:07.000 --> 00:14:10.000]   Yeah, so please just dive in anytime.
[00:14:10.000 --> 00:14:26.000]   I do recommend if you're planning to join, you know, on a regular basis, the best thing to do is to get a headset with a boom, like I have here and like I see Nick has there and then you don't even have to worry about muting yourself, especially if it's a noise
[00:14:26.000 --> 00:14:32.000]   headphone because you can then just chat anytime.
[00:14:32.000 --> 00:14:41.000]   Yeah, and as I said just don't don't feel like you have to wait for the right moment just jump in and treat this like a conversation.
[00:14:41.000 --> 00:14:53.000]   Especially if I kind of like do something that you're like, what did Jeremy just do, or I talk about something as if everybody knows about it and you're like, I don't know what that is like, please ask.
[00:14:53.000 --> 00:15:10.000]   So let's start. So step one to working with the terminal is is running a terminal on your computer. So, I guess, you know, people here hopefully either have the Mac or Windows or Linux, if you have a Chromebook things are a bit difficult.
[00:15:10.000 --> 00:15:21.000]   And so I would suggest trying not to use a Chromebook. Right. If you're on a Mac to start your terminal just if you Google for Mac OS terminal Apple will tell you what to do.
[00:15:21.000 --> 00:15:29.000]   You can use command space type terminal you can click launchpad type terminal or in the finder.
[00:15:29.000 --> 00:15:38.000]   You'll see lots of conversations online about all the different terminals you can download and use as you'll see it really doesn't matter. Okay, so just use the one you've got.
[00:15:38.000 --> 00:15:45.000]   If you're on Linux, you probably already know how to use the terminal. If you're on Windows.
[00:15:45.000 --> 00:15:53.000]   Windows now has a terminal as well. So if you just go to Microsoft Store and type terminal, it'll download that for free.
[00:15:53.000 --> 00:16:09.000]   Okay, so what's a terminal terminal is strictly speaking, you know, it's a program looking like this that knows how to display a console window for a shell window.
[00:16:09.000 --> 00:16:17.000]   Now the thing inside it with a flashing cursor and these words and stuff is not strictly part of the terminal, right? That's something called a shell.
[00:16:17.000 --> 00:16:25.000]   So this thing called the Windows terminal can start a number of different shells. It can start a shell called PowerShell and so forth.
[00:16:25.000 --> 00:16:33.000]   So there's two different things. There's a thing called the shell. There's a thing called the terminal. We often use them a little bit interchangeably and that's fine.
[00:16:33.000 --> 00:16:41.000]   But the first time you start the Windows terminal, it's actually going to start something called PowerShell, which looks like this.
[00:16:41.000 --> 00:16:51.000]   So if you're running Windows, the next thing you need to do is type WSL install, which stands for Windows Subsystem for Linux.
[00:16:51.000 --> 00:17:06.000]   And nowadays in Windows, it's a single line. You just type WSL dash dash install and it says do that in administrator PowerShell. So if you type start PowerShell run as administrator, right?
[00:17:06.000 --> 00:17:17.000]   And then you can copy and paste that into the window and then reboot when it's done. And then you'll have actually an entire copy of a Linux distribution called Ubuntu running inside Windows.
[00:17:17.000 --> 00:17:20.000]   And that's what I recommend for Windows users.
[00:17:20.000 --> 00:17:30.000]   OK, so once you've done that, you should now find that you can go click here and go Ubuntu rather than PowerShell.
[00:17:30.000 --> 00:17:39.000]   And one of the things I like to do is to get all of my tools working so that they do what I want kind of automatically each time.
[00:17:39.000 --> 00:17:52.000]   So I don't use PowerShell very much. I mainly use Ubuntu as I expect you will be, especially for this course. So if you go into settings, you can choose the default profile as being Ubuntu.
[00:17:52.000 --> 00:18:03.000]   And then next time you open it, it will do Ubuntu by default. OK, so first time you run it, it'll ask you to choose a username and a password.
[00:18:03.000 --> 00:18:08.000]   That's because this is a whole separate operating system.
[00:18:08.000 --> 00:18:21.000]   So I've actually set up a new user.
[00:18:21.000 --> 00:18:30.000]   Totally empty. So I've got an empty. I'm going to start with a totally empty kind of virtual machine here. OK.
[00:18:30.000 --> 00:18:38.000]   And then, you know, the other thing I think is a good idea is to kind of give your terminal a full screen.
[00:18:38.000 --> 00:18:46.000]   So on Windows, for example, if you hit Windows tab, you have the ability to kind of move things around.
[00:18:46.000 --> 00:18:53.000]   And if you hit alt enter, you'll get a full screen. So now I've got lots of room for working with my terminal.
[00:18:53.000 --> 00:19:05.000]   So I'm not sure for whatever terminal you use on Linux or Mac, what the equivalent keyboard shortcuts are, but Google for keyboard shortcut Mac terminal full screen or something and virtual.
[00:19:05.000 --> 00:19:15.000]   These different these different like separate kind of virtual windows are called virtual desktops. Very good idea to learn to use virtual desktops.
[00:19:15.000 --> 00:19:32.000]   OK. So this is here we are in a terminal and we're going to we're going to set up Python. Now, the first thing to do in your terminal is to type Python and this is bad.
[00:19:32.000 --> 00:19:40.000]   I typed Python and something happened. I didn't want something to happen because we actually want to install our own version of Python.
[00:19:40.000 --> 00:19:46.000]   And so if you type something happens, that means you've already got a version and we definitely don't want to use it.
[00:19:46.000 --> 00:19:51.000]   And the reason for that is that the version that you're going to see by default is going to be what's called the system Python.
[00:19:51.000 --> 00:19:58.000]   It's the Python that your computer uses for like running stuff. We want to put in a separate version of Python.
[00:19:58.000 --> 00:20:10.000]   So when I type a command like Python, what it's actually doing is it's finding this somewhere on your hard drive and running that program and you actually want to know which one is it running.
[00:20:10.000 --> 00:20:20.000]   And so you can type which followed by the thing that you want to run Python and it's going to tell you this is running from something called slash user slash bin slash Python.
[00:20:20.000 --> 00:20:32.000]   Now, on the other hand, the user I created, which is called JPH 00, if I want to find out where I am right now, I can type print working directory.
[00:20:32.000 --> 00:20:46.000]   So there's this idea of like directories, which hopefully you're kind of somewhat familiar with from using like, you know, the finder or explorer or whatever.
[00:20:46.000 --> 00:21:02.000]   So on your computer, you know, there's some directory that you're in in finder or explorer and that you're seeing the contents of it and you can kind of move up and down and move around and there's kind of a concept of a current directory you're in.
[00:21:02.000 --> 00:21:05.000]   So in the terminal, it's exactly the same.
[00:21:05.000 --> 00:21:16.000]   There's a concept of what directory I'm in. And if I type PWD it tells you what directory you're in. So currently I'm in a directory called slash home slash JPH 00.
[00:21:16.000 --> 00:21:28.000]   So on all of the operating systems we're talking about today, I believe there's the same idea. Actually, I don't know if this is true on Mac. There's an idea of a home.
[00:21:28.000 --> 00:21:35.000]   Radec or, Nick, are you guys Mac users? If you go into terminal and type PWD, do you end up in some kind of home directory?
[00:21:35.000 --> 00:21:37.000]   Yeah, you do by default in Mac.
[00:21:37.000 --> 00:21:41.000]   Yeah. Okay. And that'll be like slash home slash Nick or whatever.
[00:21:41.000 --> 00:21:42.000]   Correct.
[00:21:42.000 --> 00:21:43.000]   Cool.
[00:21:43.000 --> 00:21:44.000]   Yeah, home slash user system username.
[00:21:44.000 --> 00:21:49.000]   Great. So all the same. Terrific.
[00:21:49.000 --> 00:21:55.000]   So generally speaking, we want to install everything into our home directory.
[00:21:55.000 --> 00:22:07.000]   We don't want to be using any versions of Python or anything that are in anywhere else such as this system directory. So let's go ahead and install our own version of Python we can use.
[00:22:07.000 --> 00:22:18.000]   And there is one and only one correct answer at the moment, in my opinion, to what should I install, which is to install some kind of anaconda distribution.
[00:22:18.000 --> 00:22:25.000]   So Python is an open source program. Lots of different people package it up for your computer.
[00:22:25.000 --> 00:22:34.000]   Which, which Python you install is going to make a huge difference to how easy everything is.
[00:22:34.000 --> 00:22:37.000]   Yeah, may ask a question, please.
[00:22:37.000 --> 00:22:49.000]   Yeah, are you using Windows 11 or Windows 10. I'm using Windows 11. I think they're almost exactly the same. I actually don't like it quite as much as Windows 10, to be honest, we're about to force everybody to upgrade anyways.
[00:22:49.000 --> 00:22:55.000]   I just bit the bullet.
[00:22:55.000 --> 00:23:05.000]   So tell me again what's the difference with the WSL install, I guess, on the 10 you have to specify WSL two.
[00:23:05.000 --> 00:23:15.000]   I would suggest a good reason for installing. Yeah, I do think that Windows 11 that the WSL story is a little easier. So that's probably one reason to upgrade.
[00:23:15.000 --> 00:23:25.000]   Also, if you do have a Nvidia GPU in your laptop like I do, it's much easier to use it in WSL.
[00:23:25.000 --> 00:23:37.000]   If you use Windows 11. Okay, so the particular distribution I strongly recommend using is called mini forge.
[00:23:37.000 --> 00:23:47.000]   Sorry, not actually we're not gonna use mini forge, we're gonna use mammer forge, mammer forge, I always get this confused, mammer forge.
[00:23:47.000 --> 00:23:51.000]   So let's go ahead and install it.
[00:23:51.000 --> 00:24:01.000]   So, if we scroll down, we'll find installers for mini forge, keep scrolling down, mini forge pipo 3 is clicked on here, mammer forge.
[00:24:01.000 --> 00:24:11.000]   Okay.
[00:24:11.000 --> 00:24:20.000]   Oops, so I'm going to try to remember to put stuff in here as we go.
[00:24:20.000 --> 00:24:28.000]   mammer forge installer.
[00:24:28.000 --> 00:24:31.000]   Save.
[00:24:31.000 --> 00:24:37.000]   All right.
[00:24:37.000 --> 00:24:40.000]   So,
[00:24:40.000 --> 00:24:46.000]   let's do everything through the terminal. I think it makes life easier. So not pipo 3 just mammer forge plain mammer forge.
[00:24:46.000 --> 00:24:57.000]   So we'll find. So I know I'm on Windows but I'm using WSL so that means I'm effectively on Linux, and I've got most computers AMD 64 unless you're on a Mac.
[00:24:57.000 --> 00:25:02.000]   So right click on this and I'm going to choose copy address.
[00:25:02.000 --> 00:25:04.000]   Okay, let's go back to our terminal.
[00:25:04.000 --> 00:25:12.000]   So in our terminal, you know, just like in find or explore it's good to keep things nicely organized so let's create a directory to put things we download into.
[00:25:12.000 --> 00:25:19.000]   So to create a directory, we type mukter make a directory, and then we'll call it downloads.
[00:25:19.000 --> 00:25:29.000]   So if I now list the directory that shows me or LS shows me all of the things that are in this directory. And so I've now got something called downloads.
[00:25:29.000 --> 00:25:38.000]   So to make that the current directory I change directory CD into it. Now, typing downloads takes far too long.
[00:25:38.000 --> 00:25:45.000]   So instead I'll just type the first couple of letters and then hit the tab key on my keyboard, and it fills it out for me.
[00:25:45.000 --> 00:25:52.000]   So the tab key is very helpful key to use in in your shell in your terminal.
[00:25:52.000 --> 00:26:02.000]   So we need somewhere in the terminal of downloading a file, and the main one I recommend using is called w get.
[00:26:02.000 --> 00:26:13.000]   So W get gets a URL and make sure you know how to paste things into your terminal.
[00:26:13.000 --> 00:26:28.000]   So I'm trying to remember I think there's some things you can figure around with.
[00:26:28.000 --> 00:26:40.000]   Or maybe it's just a default. So in, I think maybe it's a default in in WSL in Windows terminal you hit Ctrl shift V to paste. So there's the thing that I just copied URL.
[00:26:40.000 --> 00:26:43.000]   So if I hit enter now.
[00:26:43.000 --> 00:26:47.000]   It's going to go ahead and download that for me.
[00:26:47.000 --> 00:26:51.000]   There we go. Okay. Now,
[00:26:51.000 --> 00:26:57.000]   with data science, you spend a lot of time waiting for things.
[00:26:57.000 --> 00:27:03.000]   And so don't spend time waiting for things like downloads do something else at the same time.
[00:27:03.000 --> 00:27:15.000]   So you'll see here there's a little plus sign that lets me create another window, or I can use control shift one now I strongly recommend using keyboard shortcuts, wherever possible.
[00:27:15.000 --> 00:27:30.000]   So if I hit control shift one. I've now got a second terminal running and I can control tab between them. And so now we can keep doing things where that's happening.
[00:27:30.000 --> 00:27:37.000]   It's going to switch to my fresh new user. Okay, so,
[00:27:37.000 --> 00:27:47.000]   so while that's happening, let's talk about if you've tried to install Python before and you've got a million different versions of things that can get really confusing.
[00:27:47.000 --> 00:27:54.000]   I strongly recommend trying to clear everything away and starting from scratch. So the first thing is if you're in your home directory.
[00:27:54.000 --> 00:28:08.000]   So if you see this little tilde here that means I'm in my home directory. So although my working directory is slash home slash JPH whoa on Linux and on Mac most shells, the shortcut for your home directory is just to call it to order.
[00:28:08.000 --> 00:28:28.000]   So if I CD into downloads change directory into downloads. It says you are now in tilde slash downloads says a shorthand way of saying slash homes as JPH 00 slash downloads. Okay, if you've got any other anaconda many condo many forge, whatever here right now.
[00:28:28.000 --> 00:28:30.000]   Delete it.
[00:28:30.000 --> 00:28:41.000]   And so let's say you've got a mini condo, for example. So to delete a directory and all of its contents. Well, first of all, you could just move it out of the way. If you're worried you might lose something important.
[00:28:41.000 --> 00:28:59.000]   So to move something you type MV for move, move any condor to call it like many conduct old say and that now is going to get out of the way it's not going to interfere with anything so either remove or move out of the way any existing installations.
[00:28:59.000 --> 00:29:04.000]   The other thing you want to make sure is you don't have any.
[00:29:04.000 --> 00:29:09.000]   We don't have voice. Sorry.
[00:29:09.000 --> 00:29:12.000]   We had interruption, I think.
[00:29:12.000 --> 00:29:16.000]   Oh, you lost me for a bit.
[00:29:16.000 --> 00:29:23.000]   Can you hear me now. Yes, it's working now. Okay, how long did you lose me for.
[00:29:23.000 --> 00:29:31.000]   Five seconds.
[00:29:31.000 --> 00:29:37.000]   Okay, so
[00:29:37.000 --> 00:29:50.000]   as well as making sure that you don't have any other copies of anaconda or many conduct or many forge lying around. You also want to make sure you don't have any copies of Jupiter installed or anything like that installed in your system Python.
[00:29:50.000 --> 00:29:58.000]   So if you type I Python, you want nothing to happen that this is what you want. Or if you type Jupiter.
[00:29:58.000 --> 00:30:11.000]   You want nothing to happen. Okay, if something is happening. Right, then try typing pip uninstall. For example, I Python and Jupiter.
[00:30:11.000 --> 00:30:19.000]   Like try to uninstall all the copies of this stuff. You don't want them in your system Python it's going to make things very very confusing.
[00:30:19.000 --> 00:30:34.000]   If you can't uninstall things no matter how hard you try, then find out where that is. So for example type which Jupiter, right, and if you've got it installed it'll tell you since slash user slash bin slash Jupiter or whatever, and delete it.
[00:30:34.000 --> 00:30:48.000]   So to delete things to delete a directory and all of its contents. This is obviously very dangerous to be careful, you don't delete something you don't want to RM for remove minus R means recursively so all folders and files underneath it.
[00:30:48.000 --> 00:30:55.000]   F for force so do this without asking many kind of old for example.
[00:30:55.000 --> 00:31:05.000]   And you could do something similar if you had a slash user slash bin slash Jupiter for example you could type RM slash user slash bin slash Jupiter, and that would get rid of it.
[00:31:05.000 --> 00:31:24.000]   So you wanted to be at a point where, yeah, you don't have I Python, you don't have Jupiter, and you've downloaded. You don't have any any kind of directories in your home directory, and you've downloaded member forage.
[00:31:24.000 --> 00:31:32.000]   Alright, any questions or comments. So far.
[00:31:32.000 --> 00:31:41.000]   If you're kind of trying to follow along and something weird happens feel free to let us know you're welcome to share a screen, you know, debugging will help you know me.
[00:31:41.000 --> 00:31:54.000]   Yeah, you can see me hopefully you can. I'm Rob I'm down in Hobart. Hi Robin Hobart. I love it. It's a great place. It's just got above 11 degrees outside.
[00:31:54.000 --> 00:32:03.000]   I'm going to play a royal tennis if you have been. Oh yeah, yeah I know the tennis club. Yeah, beautiful. Anyway, I work for the bureau meteorology.
[00:32:03.000 --> 00:32:10.000]   There's a bit of background but the other guy that did the clouds detective. Yeah, that's me. Yeah, yeah. Yeah, that was fun.
[00:32:10.000 --> 00:32:19.000]   I was a quick question. Would you mind talking a little bit about Conda versus mamba. Yeah, we're going to do that now so absolutely.
[00:32:19.000 --> 00:32:23.000]   I'm happy sorry please anytime jump in.
[00:32:23.000 --> 00:32:42.000]   Alright, so let's just get this installed first of all so we've got okay so we've learned that LS lists the directory that we're in right now, and LS minus L gives us like alpha long form gives you more information about each thing.
[00:32:42.000 --> 00:32:44.000]   And so long form.
[00:32:44.000 --> 00:32:57.000]   It tells me how big it is now that's quite hard to read so another really helpful these are called flags really helpful flag is minus L minus h h is for human readable 89 big.
[00:32:57.000 --> 00:33:04.000]   And when you pass multiple flags to a program like this you don't actually have to put them each with a dash you can just put them next to each other.
[00:33:04.000 --> 00:33:13.000]   So minus l h is the same as minus l minus h. So this is list long form human readable so we just downloaded an 89 megabyte file.
[00:33:13.000 --> 00:33:29.000]   And this is a dot sh file a dot sh file is a script. It's something that it's basically a shell script it's a list of shell commands like LS or CD or which that are listed in order one after another in a text file.
[00:33:29.000 --> 00:33:34.000]   So you can look at a text file by typing less.
[00:33:34.000 --> 00:33:41.000]   And then the name of the file to look at now I'm going to type capital M a I'm not going to type all this out because I'm lazy I just hit tab.
[00:33:41.000 --> 00:33:43.000]   And then I'll press enter.
[00:33:43.000 --> 00:33:57.000]   And so you can see this is what a script looks like anything starting with a hash sign is a comment so it doesn't do anything. And then everything else is literally the shells is going to go through each of these lines one at a time and run them in your terminal.
[00:33:57.000 --> 00:34:01.000]   And so this is the thing that installs Bamber Forge.
[00:34:01.000 --> 00:34:05.000]   So to run a script there's a few ways to do it.
[00:34:05.000 --> 00:34:11.000]   The best way to do it is to run it.
[00:34:11.000 --> 00:34:20.000]   Well there's a few ways to do it. I think the way they suggest in the docs is that you type bash space and then there's such explain what's happening here.
[00:34:20.000 --> 00:34:31.000]   I mentioned that inside the terminal the thing that's like printing out this information and listening to my commands and doing stuff like LS is not the terminal itself, but something called a shell.
[00:34:31.000 --> 00:34:39.000]   And a shell is just a program that somebody wrote to let me type commands and get answers and stuff like that.
[00:34:39.000 --> 00:34:55.000]   The shell that you bun to users by default is called bash and the shell that Linux most Linux is used by default is also called bash the shell that Mac uses by default is called zsh.
[00:34:55.000 --> 00:34:57.000]   They're so similar.
[00:34:57.000 --> 00:35:06.000]   My suggestion is just don't worry about it. Like you'll find basically almost everything. I think everything we see today if you use a Mac will work just as well with bash.
[00:35:06.000 --> 00:35:18.000]   Max also come with bash. So it's like a pretty safe thing to run scripts with. So if you type bash space and then that it says please run this shell script using this shell.
[00:35:18.000 --> 00:35:22.000]   So it's going to run this as a bash script. So if I press enter.
