
[00:00:00.000 --> 00:00:26.000]   Hi everyone, I'm George, co-founder of artificial analysis.
[00:13:47.580 --> 00:13:56.580]   It's a very important kind of cost exercise because it might well be that if you build for a cost structure that doesn't work now,
[00:13:56.580 --> 00:14:08.580]   then maybe in six months' time, that will be possible and it will be feasible.
[00:14:08.580 --> 00:14:11.580]   Next, we're going to look at the speed frontier.
[00:14:11.580 --> 00:14:23.580]   So this is how quickly you're receiving tokens, the output speed, output tokens per second that you're receiving after sending an API request.
[00:14:23.580 --> 00:14:30.580]   This has been increasing and has increased dramatically since early '23 as well.
[00:14:30.580 --> 00:14:39.580]   So similarly, because there's a trade-off typically between intelligence and speed, we've grouped models into certain buckets.
[00:14:39.580 --> 00:14:46.580]   And we can see here that they've all increased in terms of how quickly you can access a level of intelligence.
[00:14:46.580 --> 00:14:53.580]   So 4.0, I believe, was around 40 output tokens per second.
[00:14:53.580 --> 00:14:56.580]   Now you can access -- that was in 2023.
[00:14:56.580 --> 00:15:03.580]   Who remembers hitting -- it wasn't a reasoning model -- hitting enter in chat.tpt and just waiting for it to output.
[00:15:03.580 --> 00:15:08.580]   Especially code, which you want to just copy straight into your editor and, you know, hit run.
[00:15:08.580 --> 00:15:10.580]   See if it works.
[00:15:10.580 --> 00:15:15.580]   Now you can access that level of intelligence at over 300 tokens per second.
[00:15:15.580 --> 00:15:18.580]   A few drivers here that I'll go through.
[00:15:18.580 --> 00:15:21.580]   It's not the focus of the talk, but important to reference.
[00:15:21.580 --> 00:15:22.580]   Model sparsity.
[00:15:22.580 --> 00:15:26.580]   So we're seeing more MOEs, mixture of experts models.
[00:15:26.580 --> 00:15:33.580]   And they activate only a proportion of parameters at inference time.
[00:15:33.580 --> 00:15:38.580]   Less compute per token, which means it can go faster, essentially.
[00:15:38.580 --> 00:15:42.580]   And MOEs were around back then, but they're getting more and more sparse.
[00:15:42.580 --> 00:15:45.580]   A smaller proportion of active parameters.
[00:15:45.580 --> 00:15:47.580]   Next, smaller models.
[00:15:47.580 --> 00:15:56.580]   Smaller models are getting more intelligent, particularly with distillations, you know, 8B distillations, etc.
[00:15:56.580 --> 00:16:03.580]   Inference software optimizations, like flash attention and speculative decoding.
[00:16:03.580 --> 00:16:06.580]   And lastly, hardware improvements.
[00:16:06.580 --> 00:16:09.580]   So H100 was faster than A100.
[00:16:09.580 --> 00:16:15.580]   Now we've recently launched benchmarks of the B200 on our artificial analysis website.
[00:16:15.580 --> 00:16:17.580]   And it's getting over 1,000 output tokens per second.
[00:16:17.580 --> 00:16:24.580]   Think about that relative to the 40 output tokens per second of GPT-4 in 23.
[00:16:24.580 --> 00:16:30.580]   There's also specialized accelerators like Cerebra, SambaNova, Grok.
[00:16:30.580 --> 00:16:37.580]   I want to share a house view here to frame things.
[00:16:37.580 --> 00:16:39.580]   Yes, things are getting more efficient.
[00:16:39.580 --> 00:16:44.580]   Yes, the cost of accessing the same level of intelligence is decreasing.
[00:16:44.580 --> 00:16:45.580]   And hardware is getting better.
[00:16:45.580 --> 00:16:51.580]   We're getting more system output throughput on the chips.
[00:16:51.580 --> 00:16:56.580]   But our view is that demand for compute is going to continue to increase.
[00:16:56.580 --> 00:16:58.580]   We're going to see larger models.
[00:16:58.580 --> 00:16:59.580]   I mean, DeepSeq.
[00:16:59.580 --> 00:17:07.580]   It's over 600 billion active, sorry, not active, total parameters.
[00:17:07.580 --> 00:17:11.580]   And the demand for more intelligence is insatiable.
[00:17:11.580 --> 00:17:18.580]   Reasoning models, as we saw, the YAPI models, they require more compute at inference time.
[00:17:18.580 --> 00:17:29.580]   And lastly, agents, whereby 20, 30, 100 plus sequential requests to models is not uncommon.
[00:17:29.580 --> 00:17:32.580]   These actors multiplies on the demand for compute.
[00:17:32.580 --> 00:17:36.580]   And so the house view playing with these numbers is net net.
[00:17:36.580 --> 00:17:40.580]   We're going to continue to see compute demand increase.
[00:17:40.580 --> 00:17:44.580]   Thanks, everyone.
[00:17:44.580 --> 00:17:50.580]   Thanks, everyone.

