
[00:00:00.000 --> 00:00:05.480]   The Hartford Small Business Insurance knows that running a small business is a big-time commitment.
[00:02:17.040 --> 00:02:21.640]   And licensing doesn't tell you about the ethics and the integrity and the character of the person involved.
[00:02:21.640 --> 00:02:25.600]   Now, everybody has different perspectives on what financial advisors should do.
[00:02:25.600 --> 00:02:34.640]   Many people in the finance world are extremely opinionated about, well, an advisor should only operate their practice in this way or they should only have these types of practices.
[00:02:34.640 --> 00:02:39.280]   They should only sell these types of mutual funds or they should only do stocks or whatever.
[00:02:39.280 --> 00:02:41.360]   I don't buy that stuff.
[00:02:41.360 --> 00:02:46.240]   I personally think many advisors can operate under many different philosophies effectively.
[00:02:46.240 --> 00:02:54.600]   And although there are some that are statistically definitely much – proven to be much more effective than others, that doesn't mean there aren't outliers.
[00:02:54.600 --> 00:02:57.400]   And you got to study a little bit to understand.
[00:02:57.400 --> 00:03:09.080]   But – so I don't personally think we should characterize or categorize whether or not we're going to work with an advisor based upon necessarily a lot of those big broad strokes that a lot of people paint.
[00:03:09.080 --> 00:03:19.480]   But what's not optional to have a great advisor is to have somebody who's a person of character, a person of integrity, a person with ethics, and somebody who's knowledgeable.
[00:03:19.480 --> 00:03:28.280]   But man, how do you as the slightly educated consumer but not a professional, how do you actually know that?
[00:03:28.280 --> 00:03:33.560]   And that's where a service like our sponsor today, Paladin Registry, comes in.
[00:03:33.560 --> 00:03:36.120]   So start with listening to the interview.
[00:03:36.120 --> 00:03:38.520]   I'll come back at the end and share with you a few details.
[00:03:38.520 --> 00:03:48.920]   But listen to this interview with Jack Waymire, the founder, and you'll get an idea of where Paladin Registry came from and why I think it might be something that will serve many of you.
[00:03:48.920 --> 00:03:52.920]   Jack, welcome to Radical Personal Finance.
[00:03:52.920 --> 00:03:54.120]   I appreciate you being with me today.
[00:03:54.120 --> 00:03:56.120]   Yeah, it's my pleasure.
[00:03:56.120 --> 00:03:56.920]   Thank you.
[00:03:56.920 --> 00:04:06.520]   So I brought you on today to interview you as part of our launch of the formal business relationship between Radical Personal Finance and Paladin Registry.
[00:04:06.520 --> 00:04:08.920]   And I've been looking forward to this.
[00:04:08.920 --> 00:04:11.320]   It's been a long time coming, but I've been looking forward to doing it.
[00:04:11.320 --> 00:04:21.320]   And I thought the best way to launch our sponsorship would just simply be to talk to you about your personal background and also about the background of Paladin Registry.
[00:04:21.320 --> 00:04:24.120]   So let's start with a simple question.
[00:04:24.120 --> 00:04:27.720]   What's your background in the financial planning business?
[00:04:27.720 --> 00:04:37.320]   Yeah, I was in the financial service industry from 1976 until 2003.
[00:04:37.320 --> 00:04:45.320]   And for the majority of those years, I was the president of an RIA, a registered investment advisory firm.
[00:04:45.320 --> 00:04:52.520]   We also had a broker dealer and, you know, offered administrative services for pension plans.
[00:04:52.520 --> 00:04:54.520]   So we had a variety of services we offered.
[00:04:54.520 --> 00:05:00.520]   But the core business was always providing planning and investment services for fees.
[00:05:00.520 --> 00:05:04.520]   We had roughly 50,000 clients at the firm.
[00:05:04.520 --> 00:05:09.320]   The firm was acquired, actually it was acquired twice.
[00:05:09.320 --> 00:05:18.920]   It was acquired by a kind of a New York Stock Exchange company that was kind of half based in London and half based in the U.S.
[00:05:18.920 --> 00:05:26.520]   But then once we were acquired by this company, we started developing a lot of technology for advisors.
[00:05:26.520 --> 00:05:37.720]   And what caused me to, you know, kind of rethink my career was a firm, SunGard Data Systems, had a subsidiary, SunGard Wealth Management Services.
[00:05:37.720 --> 00:05:48.520]   And they basically came in and acquired my firm to gain access to the technology that they could turn around and market to bank trust departments.
[00:05:48.520 --> 00:05:50.520]   That was their main interest.
[00:05:50.520 --> 00:05:55.320]   So they bought the company in June of 2003.
[00:05:55.320 --> 00:06:00.520]   And I worked for SunGard for about roughly eight months after that.
[00:06:00.520 --> 00:06:05.720]   But I wasn't a really good fit for the culture at SunGard.
[00:06:05.720 --> 00:06:15.320]   And I started writing a book titled "Who's Watching Your Money? The 17 Covenant Principles for Selecting a Financial Advisor."
[00:06:15.320 --> 00:06:20.120]   I'd actually been writing the book for probably close to two years.
[00:06:20.120 --> 00:06:27.720]   What motivated me to write the book was the stock market crash of 2000, 2002.
[00:06:27.720 --> 00:06:33.720]   You remember when all the dot-coms collapsed and a lot of the communication stocks collapsed.
[00:06:33.720 --> 00:06:37.720]   And, you know, it was one of the biggest stock market collapses in history.
[00:06:37.720 --> 00:06:44.720]   And I saw a lot of my friends lose 40, 50, 60 percent of their assets.
[00:06:44.720 --> 00:06:52.320]   And to a large extent, these losses were exacerbated by bad advice, bad advisors.
[00:06:52.320 --> 00:06:58.320]   You know, they thought they had a financial advisor, but they really had a salesman telling them what to do with their money.
[00:06:58.320 --> 00:07:03.320]   And the irony was they didn't know the difference between a salesman and an advisor.
[00:07:03.320 --> 00:07:06.320]   And that's what motivated me to write the book.
[00:07:06.320 --> 00:07:16.320]   And so when SunGard came in and bought the company, the book was going to be published actually by a major New York publishing house.
[00:07:16.320 --> 00:07:18.320]   John Wiley and Sons published the book.
[00:07:18.320 --> 00:07:22.320]   And the book was scheduled to come out December of '03.
[00:07:22.320 --> 00:07:26.320]   We got acquired by SunGard in June of '03.
[00:07:26.320 --> 00:07:31.320]   So I left SunGard in 2000, February of '04, actually.
[00:07:31.320 --> 00:07:40.320]   And my goal was to promote the book and build an investor education website built around the principles of the book.
[00:07:40.320 --> 00:07:43.320]   And that's how Paladin Registry got started.
[00:07:43.320 --> 00:07:48.320]   It was tied to a crash, followed by a book, followed by a website.
[00:07:48.320 --> 00:07:53.320]   And that's basically been our model for the past 12 years.
[00:07:53.320 --> 00:07:55.320]   Didn't you think of just retiring after all?
[00:07:55.320 --> 00:07:58.320]   Isn't that what a financial advisor is supposed to do?
[00:07:58.320 --> 00:08:03.320]   You know, I'm not a retirement type guy, to be candid.
[00:08:03.320 --> 00:08:08.320]   But what I really love to do is educate and write.
[00:08:08.320 --> 00:08:13.320]   And so, you know, the book obviously gave me the opportunity to write.
[00:08:13.320 --> 00:08:21.320]   But then the website became an even bigger opportunity, frankly, because, you know, you're only going to write a book periodically.
[00:08:21.320 --> 00:08:25.320]   You can go out and refresh content on a website every day if you want to.
[00:08:25.320 --> 00:08:31.320]   And obviously, you know, we have two major blog sites attached to our website.
[00:08:31.320 --> 00:08:36.320]   So I do a lot of writing for our own blog sites.
[00:08:36.320 --> 00:08:39.320]   I'm a columnist for Work Magazine.
[00:08:39.320 --> 00:08:43.320]   I do writing for a lot of other major websites.
[00:08:43.320 --> 00:08:48.320]   So, you know, my main interest was writing and investor education.
[00:08:48.320 --> 00:08:57.320]   You know, at some point, you know, you don't really need to retire because it's like I kind of view retirement.
[00:08:57.320 --> 00:09:01.320]   I see a lot of my friends, for example, you know, they've retired.
[00:09:01.320 --> 00:09:05.320]   And I look at all that knowledge they've accumulated, basically going away.
[00:09:05.320 --> 00:09:07.320]   It's no longer productive.
[00:09:07.320 --> 00:09:18.320]   So I acquired a lot of knowledge since 1976, and I can share it with investors over our website, over our blog sites.
[00:09:18.320 --> 00:09:26.320]   And then, you know, what we did after we rolled out the website, we got a lot of demand from investors saying,
[00:09:26.320 --> 00:09:29.320]   "Hey, you guys know more about selecting advisors than we do.
[00:09:29.320 --> 00:09:36.320]   Why don't you go out and vet advisors and put them in a registry, and then I can go pick them out of the registry?"
[00:09:36.320 --> 00:09:41.320]   Because you know how to ask the right questions, and you know good answers from bad ones,
[00:09:41.320 --> 00:09:45.320]   and you reduce my risk of selecting a bad advisor.
[00:09:45.320 --> 00:09:51.320]   So in October of '04, we rolled out a registry of vetted-rated advisors.
[00:09:51.320 --> 00:09:55.320]   And that's actually been our business model ever since.
[00:09:55.320 --> 00:10:05.320]   It's heavily driven by investor education, how to select advisors, how to avoid bad advisors.
[00:10:05.320 --> 00:10:14.320]   And then also the registry where investors can go to find high-quality professionals in their communities.
[00:10:14.320 --> 00:10:21.320]   So it was actually an organic--was it an organic business where you had already been writing,
[00:10:21.320 --> 00:10:25.320]   and then your readers said, "How do we answer the question?"
[00:10:25.320 --> 00:10:29.320]   And then you created it, or was it a business idea that you said, "I bet there's a need for it,"
[00:10:29.320 --> 00:10:32.320]   and you were kind of testing it and went ahead and created it because you saw the need?
[00:10:32.320 --> 00:10:37.320]   I would say it was more based on demand.
[00:10:37.320 --> 00:10:41.320]   When the book came out, it got quite a bit of visibility.
[00:10:41.320 --> 00:10:49.320]   A lot of radio talk shows, for example, on financial topics, CNN, we got a fair amount of visibility.
[00:10:49.320 --> 00:10:57.320]   And a lot of these talk shows had a call-in feature, and that's where we kept running into,
[00:10:57.320 --> 00:11:02.320]   "Where can I go to find high-quality advisors? Where can I go to find better advisors?"
[00:11:02.320 --> 00:11:06.320]   That's what we kept hearing.
[00:11:06.320 --> 00:11:11.320]   I think there was a talk show host in Chicago one day said, "Why don't you start a registry
[00:11:11.320 --> 00:11:15.320]   and see who gets into the registry? Don't let anybody in.
[00:11:15.320 --> 00:11:22.320]   Only let in advisors that meet your standards based on the 17 principles in your book."
[00:11:22.320 --> 00:11:27.320]   And that made a lot of sense.
[00:11:27.320 --> 00:11:32.320]   When we relaunched, we basically took the website, added the registry,
[00:11:32.320 --> 00:11:35.320]   and it had about 350 advisors in it when we launched it.
[00:11:35.320 --> 00:11:39.320]   This was in October of '04.
[00:11:39.320 --> 00:11:41.320]   It's been a great service.
[00:11:41.320 --> 00:11:48.320]   We've helped over 100,000 investors select high-quality advisors since our inception.
[00:11:48.320 --> 00:11:55.320]   We've never had one complaint from an investor ever that they selected somebody.
[00:11:55.320 --> 00:11:59.320]   They used the registry to find and select an advisor.
[00:11:59.320 --> 00:12:07.320]   And the bottom line is they've never come back to us and said, "Wow, that advisor didn't meet my expectations,"
[00:12:07.320 --> 00:12:12.320]   or, "That was not the quality advisor you said it was."
[00:12:12.320 --> 00:12:16.320]   So we've had a pretty good track record for a 12-year period.
[00:12:16.320 --> 00:12:21.320]   It's interesting because I've been doing radical personal finance now for just over a year,
[00:12:21.320 --> 00:12:30.320]   and a lot of my own perceptions have changed since sitting on this side of a microphone for about a year.
[00:12:30.320 --> 00:12:35.320]   In the past, when I was a practicing financial advisor, I was very harsh on media,
[00:12:35.320 --> 00:12:42.320]   and specifically I was always harsh on people like Dave Ramsey with his endorsed local provider program.
[00:12:42.320 --> 00:12:51.320]   And I didn't like it. I didn't have a high opinion of some of the advisors that I knew who were involved in his program.
[00:12:51.320 --> 00:13:00.320]   And so I just said, "Well, what is this guy, Dave Ramsey? He's just building this referral network, and his only goal is money."
[00:13:00.320 --> 00:13:07.320]   Well, sitting on this side of a year of broadcasting, the number one question that I receive via private email,
[00:13:07.320 --> 00:13:12.320]   comments on the site, etc., is, "Joshua, how do I find a good financial advisor?"
[00:13:12.320 --> 00:13:18.320]   People tune in and they say, "Well, I like what you do, but you said you don't take clients, so how do I find a good financial advisor?"
[00:13:18.320 --> 00:13:23.320]   And that has been the most difficult question for me to answer.
[00:13:23.320 --> 00:13:28.320]   As I've gone out and tried to figure out, "Well, how on earth do you find a good financial advisor?"
[00:13:28.320 --> 00:13:33.320]   Especially in a place that I am as a media host, people are asking me that question.
[00:13:33.320 --> 00:13:40.320]   I have a few friends locally that I've done business with, that I've worked with, some in my former firm,
[00:13:40.320 --> 00:13:44.320]   some others that I knew from other firms that I have a high opinion of.
[00:13:44.320 --> 00:13:53.320]   But if all of a sudden I were to say, "I'm going to turn my listener base loose on this one advisor,"
[00:13:53.320 --> 00:13:56.320]   that would be a very bad business move for that advisor.
[00:13:56.320 --> 00:13:58.320]   Because number one, they would be swamped.
[00:13:58.320 --> 00:14:04.320]   And number two, it would be a bad business move for them because it would overwhelm their practice
[00:14:04.320 --> 00:14:08.320]   with the number of referrals they would get into one specific office.
[00:14:08.320 --> 00:14:11.320]   And then if I dried up, then their whole business would dry up.
[00:14:11.320 --> 00:14:16.320]   So it would need to be somebody who has a pretty large office with a number of advisors
[00:14:16.320 --> 00:14:19.320]   to be able to handle the number of inquiries that I've received.
[00:14:19.320 --> 00:14:28.320]   However, that made me aware of the fact of, "Wait a second, how on earth would I go out and vet financial advisors?"
[00:14:28.320 --> 00:14:34.320]   Because I have my own biases and experience with the firm that I was with, the practice structure that I was with,
[00:14:34.320 --> 00:14:36.320]   my own perception.
[00:14:36.320 --> 00:14:41.320]   But when you go to the market and you try to look at it in a little bit more of an objective way,
[00:14:41.320 --> 00:14:43.320]   it's a tough thing to do.
[00:14:43.320 --> 00:14:49.320]   So my hat's off to you for working at it, and I am glad that you exist,
[00:14:49.320 --> 00:14:54.320]   and I'm excited about being able to send some of the listeners through your program,
[00:14:54.320 --> 00:15:01.320]   and I'll anxiously await some of their personal feedback and hope that the reviews continue to be glowing.
[00:15:01.320 --> 00:15:07.320]   I'd like you to share about the vetting process because there are a number of listing services,
[00:15:07.320 --> 00:15:10.320]   there are a number of other competitors that you have,
[00:15:10.320 --> 00:15:16.320]   and I'd like for you to share specifically what are the metrics upon which you judge the financial advisors
[00:15:16.320 --> 00:15:20.320]   that apply to be a part of Paladin Registry.
[00:15:20.320 --> 00:15:24.320]   Yeah, I think it's pretty straightforward.
[00:15:24.320 --> 00:15:28.320]   But let me just give you one minute on background.
[00:15:28.320 --> 00:15:34.320]   The vast majority of all financial advisors are not financial advisors.
[00:15:34.320 --> 00:15:36.320]   They're salesmen.
[00:15:36.320 --> 00:15:43.320]   And they are paid commissions by third parties or their broker-dealers to sell product.
[00:15:43.320 --> 00:15:47.320]   And whether it's an investment product, an insurance product, a planning product,
[00:15:47.320 --> 00:15:52.320]   it's all a bunch of products, mutual funds being the most prevalent version of it,
[00:15:52.320 --> 00:15:55.320]   and they're basically paid to sell product.
[00:15:55.320 --> 00:16:02.320]   They do not have the knowledge to basically provide advice.
[00:16:02.320 --> 00:16:04.320]   They only know how to sell products.
[00:16:04.320 --> 00:16:09.320]   And I'm going to say there's almost 700,000 advisors in America,
[00:16:09.320 --> 00:16:14.320]   and I'm going to say 75% of them are salesmen.
[00:16:14.320 --> 00:16:20.320]   Twenty-five percent are real advisors in the sense that they're fiduciaries,
[00:16:20.320 --> 00:16:26.320]   they're compensated with fees, they have the right registrations, et cetera.
[00:16:26.320 --> 00:16:30.320]   But that doesn't mean that 25% are competent advisors.
[00:16:30.320 --> 00:16:36.320]   That just means they're set up to provide financial advice and services for fees,
[00:16:36.320 --> 00:16:42.320]   unlike the salesmen who can only sell financial products for commission.
[00:16:42.320 --> 00:16:47.320]   So the bottom line is Paladin focused on real advisors.
[00:16:47.320 --> 00:16:51.320]   Then the issue is, well, how do you determine who's good and who's not?
[00:16:51.320 --> 00:16:55.320]   I mean, you could be a financial advisor with six months of experience,
[00:16:55.320 --> 00:17:01.320]   and somebody else is a financial advisor with 25 years of experience.
[00:17:01.320 --> 00:17:03.320]   That's point one.
[00:17:03.320 --> 00:17:04.320]   Point two is--
[00:17:04.320 --> 00:17:05.320]   Hang on real quick.
[00:17:05.320 --> 00:17:08.320]   Remember point two, but I want to push back on point one,
[00:17:08.320 --> 00:17:11.320]   and feel free to disagree with me.
[00:17:11.320 --> 00:17:16.320]   But the biggest concern that I've always had when I've talked about the compensation models in this show
[00:17:16.320 --> 00:17:20.320]   is I recognize the reality of that statement.
[00:17:20.320 --> 00:17:23.320]   It's very--from an objective media standpoint,
[00:17:23.320 --> 00:17:26.320]   where I look back and I just simply survey the industry,
[00:17:26.320 --> 00:17:31.320]   I'm horrified at many of the people who declare themselves to be a financial advisor,
[00:17:31.320 --> 00:17:36.320]   and I look at their business practices, their recommendations, and I'm horrified at that.
[00:17:36.320 --> 00:17:39.320]   I also look back at my own experience.
[00:17:39.320 --> 00:17:44.320]   And so the first three years of my own practice, I was working purely based on commissions.
[00:17:44.320 --> 00:17:46.320]   I was not a financial advisor.
[00:17:46.320 --> 00:17:53.320]   I started in the insurance model, and I sold a few commissioned investment products.
[00:17:53.320 --> 00:17:59.320]   After three years, I moved into the fee-based model, where I was doing both commissions and fees.
[00:17:59.320 --> 00:18:05.320]   And the majority of my--and it became a fiduciary after I had completed the appropriate experience requirements
[00:18:05.320 --> 00:18:07.320]   in Series 65 and CFP.
[00:18:07.320 --> 00:18:14.320]   At that point in time, I went ahead and adopted the fiduciary--the legal standard of a fiduciary
[00:18:14.320 --> 00:18:17.320]   and worked in the fee-based model.
[00:18:17.320 --> 00:18:19.320]   It wasn't strictly fee-only.
[00:18:19.320 --> 00:18:21.320]   I was working in a commissions and fees structure,
[00:18:21.320 --> 00:18:27.320]   but the majority of my investment business was in fee-based accounts.
[00:18:27.320 --> 00:18:35.320]   My concern was that my personal advice didn't change based upon whether or not I--
[00:18:35.320 --> 00:18:38.320]   whether or not I was legally a fiduciary or not.
[00:18:38.320 --> 00:18:43.320]   And I've seen people who were legally fiduciaries make investment recommendations
[00:18:43.320 --> 00:18:46.320]   that I would not be comfortable with.
[00:18:46.320 --> 00:18:52.320]   And I made investment recommendations when I wasn't a fiduciary that always put the client's best interest at heart.
[00:18:52.320 --> 00:18:56.320]   And what I always think about, what frustrates me about this conversation that we have in the business,
[00:18:56.320 --> 00:19:01.320]   is I think of myself when I was the young, well-intentioned, hard-working financial advisor,
[00:19:01.320 --> 00:19:06.320]   and I hated it when people would stroke and--would paint a broad-brush stroke
[00:19:06.320 --> 00:19:09.320]   and focus on the method of compensation being commissioned
[00:19:09.320 --> 00:19:17.320]   and thereby ascribe to me guilt by association when I was simply still working my way through the models.
[00:19:17.320 --> 00:19:26.320]   How do you balance my own personal experience with what you just said and survey that in the marketplace?
[00:19:26.320 --> 00:19:30.320]   Yeah, I mean, it's very, very valid observations.
[00:19:30.320 --> 00:19:37.320]   I mean, you know, my point, too, was that anybody can call themselves an advisor or a planner.
[00:19:37.320 --> 00:19:42.320]   That's basically Wall Street manipulating the system, if you will.
[00:19:42.320 --> 00:19:47.320]   There are no mandatory disclosure requirements for advisors or salesmen. None.
[00:19:47.320 --> 00:19:52.320]   It's up to the investor to ask the right questions, no good answers from bad ones.
[00:19:52.320 --> 00:19:55.320]   And anybody can claim to be a planner.
[00:19:55.320 --> 00:19:59.320]   It used to be years ago 70% of all financial planners were insurance agents
[00:19:59.320 --> 00:20:05.320]   because they were using kind of a Mickey Mouse financial plan to sell insurance products.
[00:20:05.320 --> 00:20:11.320]   So, you know, the same thing could be happening on the investment side.
[00:20:11.320 --> 00:20:16.320]   I call myself a financial advisor, but my real role is to sell you products,
[00:20:16.320 --> 00:20:20.320]   and I collect commissions when I conduct the sale.
[00:20:20.320 --> 00:20:25.320]   Now, if you go back to kind of the spot-on comments that you made in the question,
[00:20:25.320 --> 00:20:33.320]   you know, you could look at fiduciary--what you try to get into then is competence and ethics.
[00:20:33.320 --> 00:20:38.320]   How do I know you're a competent advisor? How do I know you're an ethical advisor?
[00:20:38.320 --> 00:20:42.320]   And that's where talent and due diligence really does a pretty good job.
[00:20:42.320 --> 00:20:50.320]   Now, keep in mind, very few advisors, close to none, have accurate, legitimate track records.
[00:20:50.320 --> 00:20:56.320]   You know, they may show you the performance of a mutual fund and say, "This is what I recommend to my clients,"
[00:20:56.320 --> 00:21:01.320]   and they're trying to adopt the--you know, they're trying to make the mutual fund performance their own,
[00:21:01.320 --> 00:21:05.320]   when in fact they picked the mutual fund after the performance occurred,
[00:21:05.320 --> 00:21:07.320]   which is why the performance always looks good.
[00:21:07.320 --> 00:21:12.320]   Obviously, they're not going to show you a bad fund, but they have no track records.
[00:21:12.320 --> 00:21:19.320]   And so if I'm that typical investor out there and I want to make a good decision,
[00:21:19.320 --> 00:21:26.320]   not limited to picking an advisor from a brand name or picking an advisor that has the best personality
[00:21:26.320 --> 00:21:30.320]   or the best sales pitch, if I want to be more objective than that,
[00:21:30.320 --> 00:21:41.320]   then the only thing I can hone in on is competence as measured by credentials--education, experience, certifications.
[00:21:41.320 --> 00:21:51.320]   Once I look at competence, I look at ethics--fiduciary status, compliance records, transparency, those types of variables.
[00:21:51.320 --> 00:21:55.320]   Once I look at ethics, I can then look at business practices,
[00:21:55.320 --> 00:21:58.320]   and that's where I get into how this advisor is compensated.
[00:21:58.320 --> 00:22:01.320]   Is he fee-only, commission-only, or a hybrid?
[00:22:01.320 --> 00:22:07.320]   But, you know, like you described, some advisors do both.
[00:22:07.320 --> 00:22:10.320]   What kind of reporting am I going to get?
[00:22:10.320 --> 00:22:16.320]   And now when you've got the new robo and virtual advisors, you know, another question for investors is,
[00:22:16.320 --> 00:22:20.320]   "How are we going to get together to talk about what's going on with my money?
[00:22:20.320 --> 00:22:25.320]   Is it a virtual experience or is it a face-to-face experience?"
[00:22:25.320 --> 00:22:29.320]   But that's when you get into the business practices of the advisor.
[00:22:29.320 --> 00:22:32.320]   And in the fourth category, we look at after-competence ethics,
[00:22:32.320 --> 00:22:36.320]   and we actually break it down--credentials, ethics, business practices.
[00:22:36.320 --> 00:22:39.320]   And then the fourth is wealth management services.
[00:22:39.320 --> 00:22:42.320]   You know, are you providing services or are you selling products?
[00:22:42.320 --> 00:22:45.320]   And there's a very distinct difference.
[00:22:45.320 --> 00:22:49.320]   So, you know, because for me to sell a product, I don't have to know much.
[00:22:49.320 --> 00:22:52.320]   I just have to have enough skills to convince you to buy it.
[00:22:52.320 --> 00:22:58.320]   But if I'm going to be that true advisor who are now helping you figure out your risk tolerance
[00:22:58.320 --> 00:23:02.320]   and how we allocate your money and your investment horizon,
[00:23:02.320 --> 00:23:08.320]   all the variables that go into putting together a well-thought-out investment strategy,
[00:23:08.320 --> 00:23:13.320]   a real advisor, you know, I've got to be in the wealth management business.
[00:23:13.320 --> 00:23:19.320]   And we view that as providing advice and services as opposed to selling products.
[00:23:19.320 --> 00:23:26.320]   So what happens in the Paladin registry is if you're a commission only, you can't get in the registry.
[00:23:26.320 --> 00:23:32.320]   I mean, perfectly candid, if you work for a wire house, the big names like the Merrill Lynch's and the Morton's,
[00:23:32.320 --> 00:23:34.320]   you can't get in the registry.
[00:23:34.320 --> 00:23:36.320]   Too many potential conflicts of interest.
[00:23:36.320 --> 00:23:40.320]   You've seen the headlines on those companies taking advantage of their clients.
[00:23:40.320 --> 00:23:48.320]   So we tend to work mainly with the independent advisor because we think independence benefits the investor.
[00:23:48.320 --> 00:23:52.320]   When I'm independent, I can do what's best for my clients.
[00:23:52.320 --> 00:24:01.320]   When I'm an employee at a New York, you know, mega company, I have to do what my branch manager tells me to do.
[00:24:01.320 --> 00:24:08.320]   And if my job is to sell the product of the day, then that's the advice that I'm going to, you know,
[00:24:08.320 --> 00:24:10.320]   I'm not really giving advice at that point.
[00:24:10.320 --> 00:24:12.320]   I'm really selling a particular product.
[00:24:12.320 --> 00:24:16.320]   So we have, you know, we've been doing this for 12 years.
[00:24:16.320 --> 00:24:23.320]   We're the only firm that rates, you know, bets and rates the quality of advisors.
[00:24:23.320 --> 00:24:28.320]   And we're the only firm in our space that's registered with the SEC.
[00:24:28.320 --> 00:24:30.320]   So we've been audited by the SEC.
[00:24:30.320 --> 00:24:32.320]   They've looked at our business practices.
[00:24:32.320 --> 00:24:34.320]   They've looked at our algorithms.
[00:24:34.320 --> 00:24:42.320]   They've looked at the way we, you know, how many advisors do you reject versus how many advisors do you approve to be in the registry.
[00:24:42.320 --> 00:24:45.320]   We've been through all that with the regulatory agencies.
[00:24:45.320 --> 00:24:55.320]   And so we've got a fairly unique service in the sense that we can deliver a tremendous amount of value to investors.
[00:24:55.320 --> 00:25:01.320]   Because, frankly, we know how to determine the quality of advisors, and the typical investor does not.
[00:25:01.320 --> 00:25:07.320]   And because they don't know how to determine quality, it creates a huge financial risk.
[00:25:07.320 --> 00:25:09.320]   And you read about it all the time.
[00:25:09.320 --> 00:25:19.320]   Investors who picked the wrong advisors and suffered substantial losses or, you know, worst case, you know, they hired the Bernie Madoff types.
[00:25:19.320 --> 00:25:22.320]   And we figured out Madoff was a scam in 15 minutes.
[00:25:22.320 --> 00:25:27.320]   And we were looking at the exact same data that the SEC in general was looking at.
[00:25:27.320 --> 00:25:35.320]   And, you know, he was licensed for 27 years and, you know, had active current licensing from both agencies.
[00:25:35.320 --> 00:25:39.320]   Pretty obvious he was running a scam if you knew what to look for.
[00:25:39.320 --> 00:25:46.320]   So helping people select good guys and avoid bad guys, that's been our mantra from the very beginning.
[00:25:46.320 --> 00:25:49.320]   I will say this.
[00:25:49.320 --> 00:26:02.320]   As I have -- prior to originally connecting with you, I had not -- I was not aware of all of the -- I was not aware of all the different registries
[00:26:02.320 --> 00:26:06.320]   and all the different scenarios and all the different options.
[00:26:06.320 --> 00:26:10.320]   I was looking, and then I was put in touch with you guys.
[00:26:10.320 --> 00:26:16.320]   And as I was doing my due diligence, I went out and did my due diligence, talked to people that I knew and respected in the industry,
[00:26:16.320 --> 00:26:17.320]   people who are familiar with it.
[00:26:17.320 --> 00:26:19.320]   And you do have a reputation.
[00:26:19.320 --> 00:26:29.320]   And I have not found anybody else -- I haven't found any major competitor who performs the same level of due diligence that you guys do on the advisors.
[00:26:29.320 --> 00:26:37.320]   So I'm really glad that -- I'm really glad to be, you know, starting a relationship and starting to send people to you.
[00:26:37.320 --> 00:26:45.320]   Share with me who are the major competitors or the other listing services and what makes Paladin Registry different?
[00:26:45.320 --> 00:26:47.320]   Yeah, excellent question.
[00:26:47.320 --> 00:26:51.320]   I mean, we don't really have any competitors, I mean, to be very candid.
