
[00:00:00.000 --> 00:00:05.840]   Welcome everyone.
[00:09:22.700 --> 00:09:25.380]   The first thing we'll do with that language model is take
[00:09:25.380 --> 00:09:27.700]   all the documents that we have in our collection of
[00:09:27.700 --> 00:09:31.340]   documents and represent them with the language model.
[00:09:31.340 --> 00:09:35.900]   The result of that will be some dense numerical representations that we
[00:09:35.900 --> 00:09:41.300]   expect to capture important aspects of their structure and their meaning.
[00:09:41.300 --> 00:09:46.060]   That is essentially the document index in the classical IR mode,
[00:09:46.060 --> 00:09:49.900]   but now it's a bunch of deep learning representations.
[00:09:49.900 --> 00:09:52.420]   Then the user's query comes in,
[00:09:52.420 --> 00:09:54.820]   and the first thing we do with that query is process it,
[00:09:54.820 --> 00:09:57.140]   probably using the same large language model,
[00:09:57.140 --> 00:10:01.300]   and get back a dense numerical representation of that query.
[00:10:01.300 --> 00:10:04.380]   Then on the basis of all these representations,
[00:10:04.380 --> 00:10:07.900]   we can do scoring and extraction as usual.
[00:10:07.900 --> 00:10:09.980]   At this point, we can reproduce
[00:10:09.980 --> 00:10:12.660]   everything about the classical search experience.
[00:10:12.660 --> 00:10:16.980]   The only twist is that scoring will happen in a different way because we're now
[00:10:16.980 --> 00:10:20.460]   dealing not with terms and scores but rather with
[00:10:20.460 --> 00:10:25.620]   these dense numerical representations that we're accustomed to throughout deep learning.
[00:10:25.620 --> 00:10:31.380]   But the result of all that scoring is that we give the user back a ranked list of pages.
[00:10:31.380 --> 00:10:35.660]   We've reproduced the classical experience for the user in the sense that they now need to
[00:10:35.660 --> 00:10:39.940]   search through those pages and find the answer to their question.
[00:10:39.940 --> 00:10:44.420]   We just hope that we're doing a much better job of offering
[00:10:44.420 --> 00:10:47.020]   relevant pages in virtue of the fact that we're
[00:10:47.020 --> 00:10:50.980]   operating in a much richer semantic space.
[00:10:50.980 --> 00:10:56.220]   This is a good moment to bridge into in-context learning,
[00:10:56.220 --> 00:10:58.060]   which is the other part of this unit,
[00:10:58.060 --> 00:11:00.260]   and they'll all come together for you in the homework.
[00:11:00.260 --> 00:11:02.860]   Let's think about how that bridge is going to happen.
[00:11:02.860 --> 00:11:04.740]   Now we're going to be in the mode of having
[00:11:04.740 --> 00:11:07.180]   a large language model and prompting it.
[00:11:07.180 --> 00:11:09.620]   In this case, we've simply prompted it with a question,
[00:11:09.620 --> 00:11:13.060]   who is Bert, and the task is to come up with an answer.
[00:11:13.060 --> 00:11:14.980]   In the mode that we're operating in,
[00:11:14.980 --> 00:11:17.460]   that is the only thing that we're given by the system.
[00:11:17.460 --> 00:11:20.340]   This is a truly an open QA formulation.
[00:11:20.340 --> 00:11:26.340]   The question is, how can we effectively answer this question using retrieval?
[00:11:26.340 --> 00:11:31.100]   Well, one thing we could do is retrieve from a document store,
[00:11:31.100 --> 00:11:34.060]   context passage for that question that we
[00:11:34.060 --> 00:11:36.900]   hope will be relevant evidence for answering that question.
[00:11:36.900 --> 00:11:38.620]   That's given in green here.
[00:11:38.620 --> 00:11:40.900]   But there's more that we could do with retrieval.
[00:11:40.900 --> 00:11:43.300]   For example, we know that large language models,
[00:11:43.300 --> 00:11:45.140]   when they're doing in-context learning,
[00:11:45.140 --> 00:11:47.700]   benefit from having demonstrations.
[00:11:47.700 --> 00:11:50.860]   Maybe we have a train set of questions and we could
[00:11:50.860 --> 00:11:54.500]   just retrieve from that set a question to use.
[00:11:54.500 --> 00:11:58.740]   Then at that point, we could either use the training answer to
[00:11:58.740 --> 00:12:02.020]   that question or maybe retrieve an answer in the hope that
[00:12:02.020 --> 00:12:05.580]   that will more closely simulate what the system actually has to do.
[00:12:05.580 --> 00:12:09.140]   But in any case, we now have this demonstration and we could go on further.
[00:12:09.140 --> 00:12:10.380]   Depending on the train set,
[00:12:10.380 --> 00:12:15.140]   we could either use training evidence like a passage from our QA dataset,
[00:12:15.140 --> 00:12:18.340]   or retrieve a context passage, again,
[00:12:18.340 --> 00:12:23.260]   using a retriever to function as evidence for this little demonstration here.
[00:12:23.260 --> 00:12:27.340]   The guiding hypothesis is that having woven together
[00:12:27.340 --> 00:12:30.020]   training instances with some retrieval steps
[00:12:30.020 --> 00:12:32.860]   to produce evidence for answering this question,
[00:12:32.860 --> 00:12:37.300]   we're going to do a better job at coming up with predicted answers.
[00:12:37.300 --> 00:12:40.980]   That's a simple retrieve then read pipeline
[00:12:40.980 --> 00:12:43.220]   where we're using our retriever to find evidence.
[00:12:43.220 --> 00:12:46.100]   What you'll see in the in-context learning unit,
[00:12:46.100 --> 00:12:48.020]   and as you work on the homework,
[00:12:48.020 --> 00:12:52.020]   is that this is just the start of a very rich set of options that we can
[00:12:52.020 --> 00:12:56.020]   employ for effectively develop in-context learning systems
[00:12:56.020 --> 00:12:59.340]   that use retrieval to find relevant evidence.
[00:12:59.340 --> 00:13:02.460]   That's how these two themes really come together.
[00:13:02.460 --> 00:13:05.580]   I think that these two themes coming together is one of
[00:13:05.580 --> 00:13:10.860]   the central questions for the field of NLP and IR in the current moment.
[00:13:10.860 --> 00:13:15.100]   Because really what we're seeing is a lot of worrisome behavior
[00:13:15.100 --> 00:13:17.140]   from large language models that are being
[00:13:17.140 --> 00:13:19.740]   deployed as part of search technologies.
[00:13:19.740 --> 00:13:24.700]   For example, we all saw that Google took a real hit in terms of its stock price for
[00:13:24.700 --> 00:13:28.980]   making a minor factual error in one of its demo videos.
[00:13:28.980 --> 00:13:32.700]   Maybe that was appropriate given how high stakes all of this is,
[00:13:32.700 --> 00:13:36.140]   but it's funny to think about because at the same time,
[00:13:36.140 --> 00:13:40.260]   open AI models were fabricating evidence all over the place.
[00:13:40.260 --> 00:13:44.060]   This is a amusing example where I have asked the system,
[00:13:44.060 --> 00:13:48.180]   are professional baseball players allowed to glue small wings to their caps?
[00:13:48.180 --> 00:13:52.540]   I asked the model to offer me some evidence for the answer that it gave.
[00:13:52.540 --> 00:13:56.460]   It did indeed dutifully say no and then offer some evidence,
[00:13:56.460 --> 00:14:00.260]   but the evidence links that it offered are entirely fabricated.
[00:14:00.260 --> 00:14:02.940]   They are not real links to web pages.
[00:14:02.940 --> 00:14:05.620]   If you follow them, you get a 404 page.
[00:14:05.620 --> 00:14:08.660]   I find this tremendously frustrating and
[00:14:08.660 --> 00:14:14.380]   easily worse than offering no evidence at all because we have all become accustomed
[00:14:14.380 --> 00:14:16.780]   to seeing URLs and assuming that they do
[00:14:16.780 --> 00:14:20.220]   function as ground truth evidence for the answer given.
[00:14:20.220 --> 00:14:23.520]   The fact that that ground truth is being completely fabricated
[00:14:23.520 --> 00:14:27.380]   is absolutely worse than offering no evidence at all.
[00:14:27.380 --> 00:14:29.380]   Here's another funny case for this.
[00:14:29.380 --> 00:14:33.220]   We're going to talk about our demonstrate search predict paper.
[00:14:33.220 --> 00:14:37.220]   Figure 1 of that paper includes an example with the question,
[00:14:37.220 --> 00:14:41.260]   how many stories are in the castle David Gregory inherited?
[00:14:41.260 --> 00:14:47.620]   On Twitter, a user read our paper and then tried the example with Bing search engine.
[00:14:47.620 --> 00:14:52.620]   They said, "Aha, Bing can answer your very difficult seeming question, no problem."
[00:14:52.620 --> 00:14:56.440]   But then that user immediately followed up by noticing that Bing was actually
[00:14:56.440 --> 00:15:01.020]   citing our own paper as evidence for the answer to this question.
[00:15:01.020 --> 00:15:04.080]   I will say that this is deeply worrisome to me.
[00:15:04.080 --> 00:15:07.440]   Our paper should not be regarded as
[00:15:07.440 --> 00:15:11.660]   good ground truth evidence about the castle David Gregory inherited.
[00:15:11.660 --> 00:15:14.880]   We used it purely as an illustrative example.
[00:15:14.880 --> 00:15:17.120]   If we had had slightly different intentions,
[00:15:17.120 --> 00:15:20.840]   we might have actually been talking about giving the wrong answer to this question.
[00:15:20.840 --> 00:15:23.800]   In fact, our figure does embed some wrong answers.
[00:15:23.800 --> 00:15:28.440]   The idea that a scientific research paper that's about in context learning with
[00:15:28.440 --> 00:15:33.400]   retrieval would be used as evidence for the castle David Gregory inherited,
[00:15:33.400 --> 00:15:36.360]   anything about that is completely baffling to me.
[00:15:36.360 --> 00:15:38.920]   That just shows you that simply because you have
[00:15:38.920 --> 00:15:42.320]   some search mechanisms doesn't mean that you're doing good search.
[00:15:42.320 --> 00:15:47.000]   But what we really need in this context is high-quality search.
[00:15:47.000 --> 00:15:48.920]   Just to round this out,
[00:15:48.920 --> 00:15:52.040]   I found this amusing but maybe a little bit worrisome.
[00:15:52.040 --> 00:15:54.480]   You should all try this with your own names.
[00:15:54.480 --> 00:16:00.880]   I prompted chat GPT with write a biography of Christopher Potts from Stanford University.
[00:16:00.880 --> 00:16:03.640]   I'm very happy with the first paragraph.
[00:16:03.640 --> 00:16:07.960]   It's very flattering to me and we can go ahead and say that it is truthful.
[00:16:07.960 --> 00:16:12.120]   But everything in the box in red is completely false.
[00:16:12.120 --> 00:16:16.120]   All of the factual information expressed there is false.
[00:16:16.120 --> 00:16:19.100]   It's a nice biography of me.
[00:16:19.100 --> 00:16:22.720]   I have no complaints about any of these facts except that they are false.
[00:16:22.720 --> 00:16:25.920]   The reason though that I'm worried is that I think not
[00:16:25.920 --> 00:16:30.120]   everyone is going to get such flattering information when they ask for their biography.
[00:16:30.120 --> 00:16:34.280]   We are just on the precipice of seeing really worrisome behavior with
[00:16:34.280 --> 00:16:37.720]   really meaningful downstream effects for people in society,
[00:16:37.720 --> 00:16:41.760]   if these language models continue to fabricate evidence in this way.
[00:16:41.760 --> 00:16:46.360]   That's why I feel like the current unit and the work that you do for it is
[00:16:46.360 --> 00:16:49.720]   absolutely extremely important and relevant to addressing
[00:16:49.720 --> 00:16:53.720]   this growing societal and technological problem.
[00:16:53.720 --> 00:16:55.420]   That sets the stage.
[00:16:55.420 --> 00:16:58.420]   If you would like a little bit more on this, Omar,
[00:16:58.420 --> 00:17:02.340]   Matej Zaharia and I did two blog posts on this a few years ago
[00:17:02.340 --> 00:17:05.500]   that I think remain still extremely relevant.
[00:17:05.500 --> 00:17:07.120]   The first is building scalable,
[00:17:07.120 --> 00:17:10.440]   explainable, and adaptive NLP models with retrieval.
[00:17:10.440 --> 00:17:13.440]   That's a technical blog post.
[00:17:13.440 --> 00:17:16.640]   A more high-level outward looking one is
[00:17:16.640 --> 00:17:20.180]   this modest proposal for radically better AI-powered web search,
[00:17:20.180 --> 00:17:22.680]   where all the way back in 2021,
[00:17:22.680 --> 00:17:27.440]   we were emphasizing the importance of provenance for information and
[00:17:27.440 --> 00:17:32.120]   ground truth in documents as an important aspect of doing web search,
[00:17:32.120 --> 00:17:35.640]   even with big, powerful, fancy, large language models.
[00:17:35.640 --> 00:17:38.360]   That is the vision that we're going to try to project for
[00:17:38.360 --> 00:17:42.400]   you throughout this unit and with our homework.
[00:17:42.400 --> 00:17:52.400]   [BLANK_AUDIO]

