
[00:00:00.000 --> 00:00:05.600]   Good Monday morning, everyone.
[00:04:46.820 --> 00:04:52.540]   Second, I made clear that the poems I was reading were not Scripture.
[00:04:52.540 --> 00:04:54.680]   I made it clear.
[00:04:54.680 --> 00:04:58.900]   They were not divinely inspired.
[00:04:58.900 --> 00:05:01.780]   They were not infallible.
[00:05:01.780 --> 00:05:11.780]   They were imaginative illustration and explanation and representation of truth that I saw in
[00:05:11.780 --> 00:05:14.000]   the biblical text.
[00:05:14.000 --> 00:05:20.060]   I made this distinction not only when reading poetry, but when preaching.
[00:05:20.060 --> 00:05:22.100]   My preaching is not Scripture.
[00:05:22.100 --> 00:05:25.740]   It is based on Scripture.
[00:05:25.740 --> 00:05:29.820]   It uses language that is not in Scripture.
[00:05:29.820 --> 00:05:30.940]   All preaching does.
[00:05:30.940 --> 00:05:32.420]   All teaching does.
[00:05:32.420 --> 00:05:39.580]   It derives any authority that it has from the degree that it faithfully represents the
[00:05:39.580 --> 00:05:43.420]   reality put forth in the Bible.
[00:05:43.420 --> 00:05:50.260]   So it is with imaginative poetry or drama, for that matter.
[00:05:50.260 --> 00:06:01.060]   Third, I promised never to create any dialogue or any character or any circumstance that
[00:06:01.060 --> 00:06:06.380]   could not have happened in view of what the Bible actually teaches.
[00:06:06.380 --> 00:06:12.760]   In other words, even though I created things that were not in the Bible, nothing I created
[00:06:12.760 --> 00:06:15.420]   contradicted what was in the Bible.
[00:06:15.420 --> 00:06:21.620]   Everything had to be possible and plausible in view of what was in the Bible.
[00:06:21.620 --> 00:06:25.540]   Nothing was allowed to call Scripture into question.
[00:06:25.540 --> 00:06:35.600]   Fourth, I made every effort to draw attention and affection to the same reality in my poems
[00:06:35.600 --> 00:06:39.940]   that I saw in the Scripture itself.
[00:06:39.940 --> 00:06:50.420]   And fifth, I never replaced expository preaching with imaginative poetry.
[00:06:50.420 --> 00:06:56.960]   In other words, I tried to make plain that God had ordained the expository preaching
[00:06:56.960 --> 00:07:08.260]   of his infallible Word as central to congregational life and as the main corporate means by which
[00:07:08.260 --> 00:07:12.580]   God protects his Word from distortion.
[00:07:12.580 --> 00:07:19.980]   Through every other form of representation, preaching stood.
[00:07:19.980 --> 00:07:23.620]   Preaching remained dominant and essential.
[00:07:23.620 --> 00:07:33.580]   And in my case, the sermon was never, not once in 33 years, intermingled with any kind
[00:07:33.580 --> 00:07:35.940]   of visual media.
[00:07:35.940 --> 00:07:42.620]   I think that's a bad practice in preaching and is usually owing to a loss of confidence
[00:07:42.620 --> 00:07:45.900]   in the preached Word to do its amazing work.
[00:07:45.900 --> 00:07:52.180]   Now, those are the safeguards that I put in place to keep from diminishing Scripture or
[00:07:52.180 --> 00:07:55.300]   distorting Scripture or replacing Scripture.
[00:07:55.300 --> 00:08:03.060]   But I think even more important is the fact that imaginative representations of biblical
[00:08:03.060 --> 00:08:09.400]   reality are warranted by Scripture itself.
[00:08:09.400 --> 00:08:17.140]   Of course, in biblical times, nobody had ever heard of movies or videos, and so nothing
[00:08:17.140 --> 00:08:21.780]   directly is said in the Bible about them.
[00:08:21.780 --> 00:08:32.180]   But short of that, pointers to imaginative representations and drama are everywhere in
[00:08:32.180 --> 00:08:33.540]   the Bible.
[00:08:33.540 --> 00:08:43.660]   First, the Bible itself uses imaginative language that creates pictures in our minds that are
[00:08:43.660 --> 00:08:52.580]   not the same as the reality being discussed, but which shed light on the reality by not
[00:08:52.580 --> 00:08:55.340]   being the reality itself.
[00:08:55.340 --> 00:09:01.940]   We call these metaphors or similes or word pictures or parables.
[00:09:01.940 --> 00:09:14.300]   For example, just listen to Jude 1, 12, and 13 describing the false teachers and the troublemakers
[00:09:14.300 --> 00:09:15.300]   in the church.
[00:09:15.300 --> 00:09:17.820]   Here it is.
[00:09:17.820 --> 00:09:26.100]   These are hidden reefs at your love feasts as they feast with you without fear, shepherds
[00:09:26.100 --> 00:09:35.500]   feeding themselves, waterless clouds swept along by winds, fruitless trees in autumn
[00:09:35.500 --> 00:09:43.780]   twice dead, uprooted, wild waves of the sea casting up the foam of their shame, wandering
[00:09:43.780 --> 00:09:50.220]   stars for whom the gloom of utter darkness has been reserved forever.
[00:09:50.220 --> 00:09:52.500]   That's amazing.
[00:09:52.500 --> 00:09:59.340]   He's talking about human beings, bad people who are ruining the church.
[00:09:59.340 --> 00:10:00.740]   What does he do?
[00:10:00.740 --> 00:10:08.820]   He creates pictures in our brains with words like "hidden reefs," "selfish shepherds,"
[00:10:08.820 --> 00:10:17.100]   "waterless clouds," "fruitless trees," "wild waves," "wandering stars."
[00:10:17.100 --> 00:10:25.540]   In other words, he tries to make plain one objective reality by comparing it to a very
[00:10:25.540 --> 00:10:28.180]   different reality.
[00:10:28.180 --> 00:10:30.340]   Jesus did this with parables, didn't he?
[00:10:30.340 --> 00:10:37.340]   The kingdom of heaven is like a mustard seed, like leaven, like a treasure, like a merchant,
[00:10:37.340 --> 00:10:41.760]   like a net, like a master of a house, and on and on.
[00:10:41.760 --> 00:10:45.040]   Or consider the prophets like Zechariah.
[00:10:45.040 --> 00:10:46.160]   He sees a reality.
[00:10:46.160 --> 00:10:48.500]   He wants us to know the reality.
[00:10:48.500 --> 00:10:52.100]   How shall he help us see and savor this reality?
[00:10:52.100 --> 00:10:54.620]   He says, "I see a measuring line.
[00:10:54.620 --> 00:10:55.900]   I see a lampstand.
[00:10:55.900 --> 00:10:58.460]   I see a flying scroll.
[00:10:58.460 --> 00:11:02.140]   I see a woman in a basket."
[00:11:02.140 --> 00:11:07.460]   The Bible does this kind of thing hundreds and hundreds of times.
[00:11:07.460 --> 00:11:15.380]   It's the very nature of language to be different from the reality it points to.
[00:11:15.380 --> 00:11:20.700]   The word "love" is not the same as the reality of love.
[00:11:20.700 --> 00:11:24.860]   The word "God" is not the same as the reality of God.
[00:11:24.860 --> 00:11:31.200]   The word "salvation" is not the same as the reality of salvation.
[00:11:31.200 --> 00:11:39.820]   And once you realize that all language is pointing to reality, that the job of the preacher
[00:11:39.820 --> 00:11:48.300]   or the poet or the teacher or the parent is to help others see and savor reality, then
[00:11:48.300 --> 00:11:56.500]   you realize all the amazing and various potentials that language has.
[00:11:56.500 --> 00:12:05.200]   And then there's not just imaginative language, there is imaginative action in the Bible,
[00:12:05.200 --> 00:12:09.720]   acted-out dramas of biblical reality.
[00:12:09.720 --> 00:12:18.240]   Jeremiah was told to make yoke bars and walk around with this heavy yoke on his shoulders
[00:12:18.240 --> 00:12:22.260]   to dramatize the yoke of Nebuchadnezzar on the people.
[00:12:22.260 --> 00:12:30.320]   And Ezekiel was told by God to lie on his left side for 390 days to illustrate Israel's
[00:12:30.320 --> 00:12:32.480]   years of punishment.
[00:12:32.480 --> 00:12:35.640]   And then there's poor Isaiah.
[00:12:35.640 --> 00:12:43.720]   God said, "My servant Isaiah has walked naked and barefoot for three years as a sign and
[00:12:43.720 --> 00:12:46.880]   a portent against Egypt and Cush."
[00:12:46.880 --> 00:12:49.800]   It's Isaiah 20, verse 3.
[00:12:49.800 --> 00:13:03.640]   So my conclusion is that if we pause and ponder why the Bible itself employs so many imaginative
[00:13:03.640 --> 00:13:13.800]   means of explaining and illustrating and representing reality, we will see that the Bible itself
[00:13:13.800 --> 00:13:25.480]   offers us, one, examples of truth-clarifying, truth-intensifying drama and poetry, language,
[00:13:25.480 --> 00:13:39.120]   and two, encourages us to use language this way, and three, protects us against distorting
[00:13:39.120 --> 00:13:44.280]   or replacing or diminishing Scripture.
[00:13:44.280 --> 00:13:46.480]   Thank you for sharing those biblical dramatizations, Pastor John.
[00:13:46.480 --> 00:13:48.840]   And thank you to everyone who sent in some form of this question.
[00:13:48.840 --> 00:13:51.040]   It's really helpful to hear from you all.
[00:13:51.040 --> 00:13:54.440]   You can ask a question of your own, search our growing archive, or subscribe to the podcast,
[00:13:54.440 --> 00:14:00.040]   all at DesiringGod.org/AskPastorJohn.
[00:14:00.040 --> 00:14:04.880]   Well when you pray, Jesus said, go into your room, shut the door, and pray to your Father
[00:14:04.880 --> 00:14:06.680]   who is in secret.
[00:14:06.680 --> 00:14:10.480]   That's Matthew 6, 6, so we should just pray alone, right?
[00:14:10.480 --> 00:14:11.480]   Wrong.
[00:14:11.480 --> 00:14:13.880]   We don't only pray in secret, we pray together.
[00:14:13.880 --> 00:14:18.320]   In fact, people are praying together all over the book of Acts, for example.
[00:14:18.320 --> 00:14:21.200]   So why do we pray together and not just alone?
[00:14:21.200 --> 00:14:23.120]   What's added when we pray together?
[00:14:23.120 --> 00:14:25.520]   And what's lost when we only pray by ourselves?
[00:14:25.520 --> 00:14:29.240]   It's an interesting question, and it's on the table on Wednesday.
[00:14:29.240 --> 00:14:30.240]   I'm your host, Tony Reinke.
[00:14:30.240 --> 00:14:30.740]   We'll see you then.
[00:14:30.740 --> 00:14:31.240]   [Music]
[00:14:31.240 --> 00:14:33.240]   [Music]
[00:14:33.240 --> 00:14:35.240]   [Music]
[00:14:35.240 --> 00:14:37.240]   [Music]
[00:14:37.240 --> 00:14:47.240]   [BLANK_AUDIO]

