
[00:00:00.040 --> 00:00:09.580]   clique
[00:08:10.400 --> 00:08:10.400]   I mean, years ago, I taught Dave Ramsey's Financial Peace University and at the time, I don't know what that goal is.
[00:08:10.400 --> 00:08:10.400]   I mean, years ago, I taught Dave Ramsey's Financial Peace University and at the time, I don't know what that goal is.
[00:08:10.400 --> 00:08:10.400]   I mean, years ago, I taught Dave Ramsey's Financial Peace University and at the time, I don't know what that goal is.
[00:08:10.400 --> 00:08:10.400]   I mean, years ago, I taught Dave Ramsey's Financial Peace University and at the time, I don't know what that goal is.
[00:08:10.420 --> 00:08:40.420]   I mean, years ago, I taught Dave Ramsey's Financial Peace University and at the time, I don't know what that goal is.
[00:08:40.420 --> 00:08:40.420]   I mean, years ago, I taught Dave Ramsey's Financial Peace University and at the time, I don't know what that goal is.
[00:08:40.420 --> 00:08:40.420]   I mean, years ago, I taught Dave Ramsey's Financial Peace University and at the time, I don't know what that goal is.
[00:08:40.420 --> 00:08:40.420]   I mean, years ago, I taught Dave Ramsey's Financial Peace University and at the time, I don't know what that goal is.
[00:08:40.420 --> 00:08:40.420]   I mean, years ago, I taught Dave Ramsey's Financial Peace University and at the time, I don't know what that goal is.
[00:08:40.420 --> 00:08:40.420]   I mean, years ago, I taught Dave Ramsey's Financial Peace University and at the time, I don't know what that goal is.
[00:08:40.420 --> 00:08:40.420]   I mean, years ago, I mean, years ago, I don't know what that goal is.
[00:08:40.460 --> 00:09:10.440]  , but when the why is powerful enough and there's enough of it,
[00:09:10.460 --> 00:09:40.460]   and I think that's the key with setting financial goals,
[00:09:40.460 --> 00:09:40.460]   and I think that's the key with setting financial goals,
[00:09:40.460 --> 00:09:40.460]   and I think that's the key with setting financial goals,
[00:09:40.460 --> 00:09:40.460]   and I think that's the key with setting financial goals,
[00:09:40.460 --> 00:09:40.460]   and I think that's the key with setting financial goals,
[00:09:40.460 --> 00:09:40.460]   and I think that's the key with setting financial goals,
[00:09:40.460 --> 00:09:40.460]   and I think that's the key with setting financial goals,
[00:09:40.460 --> 00:09:40.460]   and I think that's the key with setting financial goals,
[00:09:40.460 --> 00:09:40.460]   and I think that's the key with setting financial goals,
[00:09:40.460 --> 00:09:40.460]   and I think that's the key with setting financial goals,
[00:09:40.460 --> 00:09:40.460]   and I think that's the key with setting financial goals,
[00:09:40.460 --> 00:09:40.460]   and I think that's the key with setting financial goals,
[00:09:40.460 --> 00:09:40.460]   and I think that's the key with setting financial goals,
[00:09:40.460 --> 00:09:40.460]   and I think that's the key with setting financial goals,
[00:09:40.480 --> 00:10:10.480]  , and I think that's the key with setting financial goals,
[00:10:10.480 --> 00:10:10.480]   and I think that's the key with setting financial goals,
[00:10:10.480 --> 00:10:10.480]   and I think that's the key with setting financial goals,
[00:10:10.480 --> 00:10:10.480]   and I think that's the key with setting financial goals,
[00:10:10.480 --> 00:10:10.480]   and I think that's the key with setting financial goals,
[00:10:10.480 --> 00:10:10.480]   and I think that's the key with setting financial goals,
[00:10:10.480 --> 00:10:10.480]   and I think that's the key with setting financial goals,
[00:10:10.480 --> 00:10:10.480]   and I think that's the key with setting financial goals,
[00:10:10.480 --> 00:10:10.480]   and I think that's the key with setting financial goals,
[00:10:10.500 --> 00:10:40.500]  ,
[00:10:40.500 --> 00:10:40.500]   It's not because they don't have the money, it's because they don't care, because it's not important to them. Nobody has either ever made the image of what it means to have a thousand dollars,
[00:10:40.500 --> 00:10:40.500]   It's not because they don't have the money, it's because they don't care, because it's not important to them. Nobody has either ever made the image of what it means to have a thousand dollars,
[00:10:40.500 --> 00:10:40.500]   It's not because they don't have the money, it's because they don't care, because it's not important to them.
[00:10:40.500 --> 00:10:40.500]   Nobody has either ever made the image of what it means to have a thousand dollars,
[00:10:40.500 --> 00:10:40.500]   It's not because they don't care, because it's not important to them. Nobody has either ever made the image of what it means to have a thousand dollars,
[00:10:40.540 --> 00:10:45.420]   cut
[00:10:45.420 --> 00:11:08.620]   wasn .
[00:12:05.320 --> 00:12:12.700]   among
[00:12:12.700 --> 00:12:35.300]   seek. won was,,,, de businesses
[00:12:35.320 --> 00:13:05.320]  ,,,,,,,
[00:13:05.320 --> 00:13:05.320]   and
[00:13:05.320 --> 00:13:05.320]   it
[00:13:05.320 --> 00:13:05.320]   it
[00:13:05.320 --> 00:13:05.320]   it
[00:13:05.320 --> 00:13:05.320]   it
[00:13:05.320 --> 00:13:05.320]   it
[00:13:05.320 --> 00:13:05.320]   it
[00:13:05.320 --> 00:13:05.320]   it
[00:13:05.320 --> 00:13:05.320]   it
[00:13:05.320 --> 00:13:05.320]   it
[00:13:05.320 --> 00:13:05.320]   it
[00:13:05.320 --> 00:13:05.320]   it
[00:13:05.320 --> 00:13:05.320]   it
[00:13:05.320 --> 00:13:05.320]   it
[00:13:05.320 --> 00:13:05.320]   it
[00:13:05.320 --> 00:13:05.320]   it's a fun game that my two-year-old plays with me constantly. Why daddy? Why? Why? I'm gonna go eight questions deep. But somehow we, most of us adults have lost that two-year-old why question. But yet it's really useful. I'd like to earn $100,000 this year. Why? Well, because it sounds good. It's not going to be very powerful. Or because it'll allow me to start a business.
[00:13:05.320 --> 00:13:05.320]   It's not going to be very powerful. Or because it'll allow me to start a business.
[00:13:05.320 --> 00:13:05.320]   It's not going to be very powerful. Or because it'll allow me to start a business.
[00:13:05.360 --> 00:13:35.340]  ,
[00:13:35.340 --> 00:13:35.340]   and
[00:13:35.340 --> 00:13:35.340]   and
[00:13:35.340 --> 00:13:35.340]   and
[00:13:35.340 --> 00:13:35.340]   and
[00:13:35.340 --> 00:13:35.340]   and
[00:13:35.340 --> 00:13:35.340]   and
[00:13:35.340 --> 00:13:35.340]   and
[00:13:35.380 --> 00:13:41.320]  거
[00:13:41.320 --> 00:13:44.300]   good,
[00:13:44.300 --> 00:13:58.700]  ARR AND của and. I'm in. If, good, guess, suspense, egg, scared, heating,
[00:14:04.120 --> 00:14:32.860]  legal. If you don't know the why behind your financial goals, you won't make progress. But if you know the why, you might make progress very quickly. As we pivot to part two, because when you know the why, the how might change. When you are clear enough on your why,
[00:14:32.860 --> 00:14:32.860]   The how might change. When you are clear enough on your why,
[00:14:32.860 --> 00:14:32.860]   The how might change. When you are clear enough on your why,
[00:14:32.860 --> 00:14:32.860]   The how might change. When you are clear enough on your why,
[00:14:32.860 --> 00:14:32.860]   The how might change. When you are clear enough on your why,
[00:14:32.860 --> 00:14:32.860]   The how might change. When you are clear enough on your why,
[00:14:32.860 --> 00:14:32.860]   The how might change. When you are clear enough on your why,
[00:14:32.860 --> 00:14:32.860]   The how might change. When you are clear enough on your why,
[00:14:32.860 --> 00:14:32.860]   The how might change. When you are clear enough on your why,
[00:14:32.860 --> 00:14:32.860]   The how might change. When you are clear enough on your why,
[00:14:32.900 --> 00:15:01.620]  - The how might change. When you are clear enough on your why,
[00:15:01.620 --> 00:15:01.620]   The how might change. When you are clear enough on your why, the how might change.
[00:15:01.620 --> 00:15:01.620]   The how might change. When you are clear enough on your why, the how might change.
[00:15:01.620 --> 00:15:01.620]   The how might change. When you are clear enough on your why, the how might change.
[00:15:01.620 --> 00:15:01.620]   The how might change. When you are clear enough on your why, the how might change.
[00:15:01.620 --> 00:15:02.180]   The how might change. When you are clear enough on your why, the how might change.
[00:15:02.180 --> 00:15:02.420]   When you are clear enough on your why, the how might change.
[00:15:02.420 --> 00:15:02.420]   When you are clear enough on your why, the how might change.
[00:15:02.420 --> 00:15:02.500]   When you are clear enough on your why, the how might change.
[00:15:02.500 --> 00:15:02.500]   When you are clear enough on your why, the how might change.
[00:15:02.500 --> 00:15:02.500]   When you are clear enough on your why, the how might change. When you are clear enough on your why, the how might change.
[00:15:02.540 --> 00:15:10.620]   Ci
[00:15:10.620 --> 00:15:12.880]  vos 청 deb,,,,.. мам
[00:15:12.880 --> 00:15:16.300]   swing among the qui that is the years視
[00:15:32.580 --> 00:15:42.920]   manage
[00:15:42.920 --> 00:16:02.000]   guy, the film of, Jimin,
[00:16:02.620 --> 00:16:10.520]   the
[00:16:10.520 --> 00:16:12.540]  ... y material, web,,,,,
[00:16:12.540 --> 00:16:13.380]   interpre
[00:18:30.280 --> 00:18:59.820]  ертвly? Is that what you said? A goal of saving an emergency fund? It's a reasonable goal. It's a good goal. I think you should do it. Let's say you say, I want to save three months worth of expenses, 10,000 bucks, right? I want to save $10,000 of an emergency fund. Why do I want to save $10,000 of emergency funds? Well, I want to have a plan in case I get sick or hurt, can't work. I want to have a plan in case I lose my job. What's your current savings rate?
[00:18:59.820 --> 00:18:59.820]   What's your current savings rate?
[00:18:59.820 --> 00:18:59.820]   What's your current savings rate?
[00:18:59.820 --> 00:18:59.920]   What's your current savings rate?
[00:18:59.920 --> 00:19:00.000]   What's your current savings rate?
[00:19:00.000 --> 00:19:00.280]   What's your current savings rate?
[00:19:00.320 --> 00:19:22.300]  ,
[00:19:22.300 --> 00:19:29.820]   So when you break it down, you say, why do I want this emergency fund? What does this represent? You may be able to get there far faster
[00:19:29.820 --> 00:19:29.820]   So when you break it down, you say, why do I want this emergency fund? What does this represent? You may be able to get there far faster
[00:19:29.820 --> 00:19:29.820]   So when you break it down, you say, why do I want this emergency fund? What does this represent? You may be able to get there far faster
[00:19:29.820 --> 00:19:29.820]   So when you break it down, you say, why do I want this emergency fund? What does this represent? You may be able to get there far faster
[00:19:29.840 --> 00:19:32.600]   through some alternative approaches.
[00:19:32.600 --> 00:19:38.600]   Maybe you could minimize the need for higher expenses by clearing some debt.
[00:19:38.600 --> 00:19:47.340]   That's kind of obvious, but I talk about, for example, the value of buying the thing that the money would buy.
[00:19:47.340 --> 00:19:49.560]   Maybe storing some food and water.
[00:19:49.560 --> 00:19:55.080]   If you have three months of food stored in your house that you could live on an emergency,
[00:19:55.080 --> 00:19:59.360]   then you can very reliably lower the target amount of money that you could live on an emergency.
[00:19:59.360 --> 00:19:59.360]   Then you can very reliably lower the target amount of money that you could live on an emergency.
[00:19:59.360 --> 00:19:59.360]   Then you can very reliably lower the target amount of money that you could live on an emergency.
[00:19:59.360 --> 00:19:59.360]   Then you can very reliably lower the target amount of money that you could live on an emergency.
[00:19:59.360 --> 00:19:59.360]   Then you can very reliably lower the target amount of money that you could live on an emergency.
[00:19:59.360 --> 00:19:59.360]   Then you can very reliably lower the target amount of money that you could live on an emergency.
[00:19:59.360 --> 00:20:28.900]  , that you need to save by the amount of food that you have saved.
[00:20:28.900 --> 00:20:28.960]   Then you can very reliably lower the target amount of money that you could live on an emergency.
[00:20:28.960 --> 00:20:29.000]   Then you can very reliably lower the target amount of money that you could live on an emergency.
[00:20:29.000 --> 00:20:29.040]   Then you can very reliably lower the target amount of money that you could live on an emergency.
[00:20:29.040 --> 00:20:29.060]   Then you can very reliably lower the target amount of money that you could live on an emergency.
[00:20:29.060 --> 00:20:29.080]   Then you can very reliably lower the target amount of money that you could live on an emergency.
[00:20:29.080 --> 00:20:29.100]   Then you can very reliably lower the target amount of money that you could live on an emergency.
[00:20:29.100 --> 00:20:29.120]   Then you can very reliably lower the target amount of money that you could live on an emergency.
[00:20:29.120 --> 00:20:29.180]   Then you can very relatively lower the target amount of money that you could live on an emergency.
[00:20:29.200 --> 00:20:59.200]   Then you can very relatively lower the target amount of money that you could live on an emergency.
[00:20:59.200 --> 00:20:59.200]   Then you can very relatively lower the target amount of money that you could live on an emergency.
[00:20:59.200 --> 00:20:59.200]   Then you can very relatively lower the target amount of money that you could live on an emergency.
[00:20:59.200 --> 00:20:59.200]   Then you can very relatively lower the target amount of money that you could live on an emergency.
[00:20:59.200 --> 00:20:59.200]   Then you can very relatively lower the target amount of money that you could live on an emergency.
[00:20:59.200 --> 00:20:59.200]   Then you can very relatively lower the target amount of money that you could live on an emergency.
[00:20:59.200 --> 00:20:59.200]   Then you can very relatively lower the target amount of money that you could live on an emergency.
[00:20:59.200 --> 00:20:59.200]   Then you can very relatively lower the target amount of money that you could live on an emergency.
[00:20:59.200 --> 00:20:59.200]   Then you can very relatively lower the target amount of money that you could live on an emergency.
[00:20:59.200 --> 00:20:59.200]   Then you can very relatively lower the target amount of money that you could live on an emergency.
[00:20:59.200 --> 00:21:29.220]   Then you can very relatively lower the target amount of money that you could live on an emergency.
[00:21:29.220 --> 00:21:29.220]   Then you can very relatively lower the target amount of money that you could live on an emergency.
[00:21:29.220 --> 00:21:29.220]   Then you can very relatively lower the target amount of money that you could live on an emergency.
[00:21:29.220 --> 00:21:29.220]   Then you can very relatively lower the target amount of money that you could live on an emergency.
[00:21:29.260 --> 00:21:57.720]   e
[00:21:59.280 --> 00:22:09.340]   I
[00:22:09.340 --> 00:22:27.180]   decision. I need a gained
[00:22:27.840 --> 00:22:38.180]   issue
[00:22:38.180 --> 00:22:41.740]   Hm I,
[00:22:41.740 --> 00:22:56.960]   even repeats. I. I. I. I. I. Shar hot . Literally, metres,
[00:22:57.880 --> 00:23:07.980]  ped
[00:23:07.980 --> 00:23:08.800]   world,PL,
[00:23:26.820 --> 00:23:26.820]  program,
[00:23:26.820 --> 00:23:31.120]   but I'm really committed to them because of what it represents.
[00:23:31.120 --> 00:23:34.600]   First, of course, what I can do with the income
[00:23:34.600 --> 00:23:39.040]   and what that represents, but also what it represents
[00:23:39.040 --> 00:23:43.520]   for me, for my personal development, for my self-actualization,
[00:23:43.520 --> 00:23:46.240]   to use the hoity-toity term.
[00:23:46.240 --> 00:23:47.980]   Okay?
[00:23:47.980 --> 00:23:51.940]   For me to generate
[00:23:51.940 --> 00:23:55.720]   millions of dollars per year of income requires me
[00:23:55.720 --> 00:23:55.720]   to affect my personal development.
[00:23:55.720 --> 00:23:55.720]   I'm not going to be able to do that.
[00:23:55.720 --> 00:23:55.720]   I'm not going to be able to do that.
[00:23:55.720 --> 00:23:55.780]   I'm not going to be able to do that.
[00:23:55.780 --> 00:23:56.060]   I'm not going to be able to do that.
[00:23:56.060 --> 00:23:56.120]   I'm not going to be able to do that.
[00:23:56.120 --> 00:23:56.160]   I'm not going to be able to do that.
[00:23:56.160 --> 00:23:56.180]   I'm not going to be able to do that.
[00:23:56.180 --> 00:23:56.240]   I'm not going to be able to do that.
[00:23:56.280 --> 00:24:07.020]   inform
[00:24:07.020 --> 00:24:24.360]   do thin
[00:24:25.520 --> 00:24:52.960]  hhhhh. What the runny represents is families changed. Just one of my most important things. And it's the same thing for you. What the money might represent is you conquering your laziness. What the money might represent is you conquering the bad start you got in life. What the money might represent is you conquering your self-discipline.
[00:24:52.960 --> 00:24:52.960]   I'm going to leave that one for you.
[00:24:53.000 --> 00:25:03.900]   when
[00:25:03.900 --> 00:25:21.720]   won play. It is, set,
[00:25:22.900 --> 00:25:52.380]  ued, and a really effective way. Simple example. And I use me because of course you're listening to me. I feel bad always using myself but I know myself better and I figure you know me pretty well and so if I use examples that you know you'll understand those examples better than me just using anonymous people all the time. Thank you to so many of you who participated.
[00:25:52.780 --> 00:26:22.660]   Thank you. Thank you. It's been awesome. Responses outstanding.
[00:26:22.700 --> 00:26:52.560]  ,
[00:26:52.560 --> 00:26:52.660]   and a really effective way to make a difference.
[00:26:52.660 --> 00:26:52.680]   It's been awesome. Responses outstanding.
[00:26:52.680 --> 00:26:52.680]   Thank you. Thank you. Thank you. Thank you.
[00:26:52.680 --> 00:27:22.700]   And I believe that when you make wise financial decisions that can overflow into other areas of your life. It has a ripple effect to other areas of your life. And so there are many ways to do that. But in order for me to grow my business, my impact, I have to invest in the tools and the people, et cetera, to grow that message. And so the income is great.
[00:27:22.700 --> 00:27:22.700]   And I believe that when you make wise financial decisions that can overflow into other areas of your life, it has a ripple effect to other areas of your life. And so there are many ways to do that. But in order for me to grow my business, my impact, I have to invest in the tools and the people, et cetera, to grow that message. And so the income is great.
[00:27:22.720 --> 00:27:52.720]   It's been a very profitable weekend, which is awesome. But what that profit represents is additional impact, additional change, additional products, additional services, additional insight, additional message that reaches more people. And it'll have a ripple effect because every person that I affect reaches out and that ripple effect goes on.
[00:27:52.720 --> 00:27:52.720]   We're all people pebbles tossed into a pool. So every ripple I create in turn will ripple you. And so the income is great. But in order for me to grow my business, my impact, I have to invest in the tools and the people, et cetera, to grow that message. And so the income is great. But in order for me to grow my business, my impact, I have to invest in the tools and the people, et cetera, to grow that message. And so the income is great. But in order for me to grow my business, my impact, I have to invest in the tools and the people, et cetera, to grow that message. And so the income is great.
[00:27:52.760 --> 00:28:06.180]   Pause
[00:28:06.180 --> 00:28:18.760]  視, cannot, has two ed besch30SL меся拍消izing, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the,
[00:28:18.760 --> 00:28:22.500]  ,,
[00:28:52.640 --> 00:28:52.640]   I,
[00:29:22.600 --> 00:29:22.600]   I,
[00:29:52.560 --> 00:29:52.620]   It's a little bit of a long story, but it's a little bit of a long story.
[00:29:52.620 --> 00:29:52.620]   I think it's a little bit of a long story.
[00:29:52.620 --> 00:29:52.620]   I think it's a little bit of a long story.
[00:29:52.620 --> 00:29:52.620]   I don't know what the point of this is.
[00:29:52.620 --> 00:29:52.620]   I don't know what the point of this is.
[00:29:52.620 --> 00:29:52.620]   I don't know what the point of this is.
[00:29:52.620 --> 00:29:52.620]   I don't know what the point of this is.
[00:29:52.620 --> 00:29:52.620]   I don't know what the point of this is.
[00:29:52.620 --> 00:29:52.620]   I don't know what the point of this is.
[00:29:52.620 --> 00:29:52.620]   I don't know what the point of this is.
[00:29:52.620 --> 00:29:52.620]   I don't know what the point of this is.
[00:29:52.620 --> 00:29:52.620]   I don't know what the point of this is.
[00:29:52.620 --> 00:29:52.620]   I don't know what the point of this is.
[00:29:52.620 --> 00:29:52.620]   I don't know what the point of this is.
[00:29:52.620 --> 00:29:52.620]   I don't know what the point of this is.
[00:29:52.660 --> 00:30:02.560]  'm
[00:30:02.560 --> 00:30:02.660]   어� earn,,, ở
[00:30:02.660 --> 00:30:21.100]   �G. Hi, I think that is made, and, ,,,,,, products side desperateцыil built pursue "T. She give aVID con
[00:30:21.100 --> 00:30:22.640]   fit:.� person
[00:30:22.680 --> 00:30:30.540]   weigh
[00:30:30.540 --> 00:30:33.100]   continue module
[00:30:33.100 --> 00:30:50.760]   passes
[00:30:51.020 --> 00:30:54.280]   .

