
[00:00:00.040 --> 00:00:09.540]   quin
[00:01:52.640 --> 00:01:52.640]   I'm trying to run a little bit more. Are you losing weight? I'm not trying to lose weight, but I always do the same fitness routine for like 30 years, basically lift three days a week, run three days a week. But one of the runs is a long run, one of them is medium, one of them is a sprint type thing. So what I've decided to do this year was just extend the duration of the long run. I'm not trying to lose weight, but I always do the same fitness routine for like 30 years, basically lift three days a week, run three days a week. But one of the runs is a long run, one of them is medium, one of them is a sprint type thing. So what I've decided to do this year was just extend the duration of the long run.
[00:02:21.020 --> 00:02:51.020]   a little bit higher, which is not to say that people who lift heavy are done, but I think it's interesting to see how training differently changes your cognition. I think it also is interesting to see how training differently changes your cognition. That's probably hormone related, you know, hormones downstream of training heavy versus hormones downstream of training a little bit lighter. I think my cognition is better when I'm doing more cardio and when the repetition ranges are a little bit higher, which is not to say that people who lift heavy are done.
[00:02:51.060 --> 00:02:53.900]   esta difficult
[00:02:53.900 --> 00:03:00.820]   at the make, ,,,
[00:03:00.820 --> 00:03:09.720]  udent
[00:03:09.720 --> 00:03:17.480]   be pocket food is the way the and, but, the, the, Haupt, dedicated, ley,
[00:03:19.780 --> 00:03:28.040]   valuable.
[00:03:28.040 --> 00:03:30.680]   So yeah, I've been playing with the variables in a pretty systematic way.
[00:03:30.680 --> 00:03:33.880]   Well, I like long and slow
[00:03:33.880 --> 00:03:37.720]   for, like you said, the impact it has on my cognition.
[00:03:37.720 --> 00:03:40.620]   Yeah, it's the wordlessness of it.
[00:03:40.620 --> 00:03:46.460]   The way it puts you in in the way it seems to clean out the clutter.
[00:03:46.460 --> 00:03:48.500]   Yeah, you know, it can take away
[00:03:48.540 --> 00:03:59.320]   go
[00:03:59.320 --> 00:04:02.740]   depend. I never,,,,
[00:05:43.160 --> 00:06:11.800]  oko Kostello: Yeah. And I'd bring my bulldog Kostello. Bulldog master at the time and he was a slow walker. So these were slow walks, but I can think much more clearly that way. There's a Nobel Prize winning professor at Columbia University School of Medicine, Richard Axel, who won the Nobel Prize, co-won Nobel Prize with Linda Buck for the discovery of the molecular basis of olfaction and he walks and voice dictates his papers.
[00:06:11.800 --> 00:06:11.800]   Mm hmm.
[00:06:28.460 --> 00:06:39.460]   And now with Rev or these other, maybe there are better ones than Rev where you can convert audio files into text very quickly and then edit from there. So I will often voice dictate first drafts and things like that. And I totally agree on the long runs, the walks, integrating that with cognitive work. Harder to do with sprints and then the gym. You know, are you weight trained? You seem naturally strong and like thicker jointed.
[00:06:39.500 --> 00:06:49.340]   permit
[00:06:49.340 --> 00:07:06.540]   hard . anyhow,,,,
[00:08:03.220 --> 00:08:03.220]   It's like a little bit of a long list of all the comments that I missed. Oh yeah, those are great. That's what I miss about Rogan being on YouTube with the full length of the comments. So this is technically a birthday podcast. What do you love most about getting older? It's like the confirmation that comes from getting more and more data, which basically says, yeah, the first time you thought that thing, it was actually right because the second, third and fourth and fifth time.
[00:08:03.260 --> 00:08:12.880]   woke
[00:08:12.880 --> 00:08:14.160]   good. Have 의
[00:08:14.160 --> 00:08:14.920]  ,,,,, love fire
[00:09:47.100 --> 00:09:56.940]   grew
[00:09:56.940 --> 00:09:57.360]   tentang the,,,,
[00:09:57.360 --> 00:10:01.920]   è comfortable
[00:12:04.100 --> 00:12:15.180]   continue
[00:12:32.860 --> 00:13:01.620]   People say about the brain, which is most people say, oh, the supercomputer of the brain is the forebrain. It's like a monkey brain with a extra real estate put on there. And the forebrain is what makes us human. And gives us our superpowers. Paul has said, and he's done a whole series on mental health that's coming out.
[00:13:01.640 --> 00:13:30.600]  ,
[00:13:30.600 --> 00:13:30.620]   Yeah.
[00:13:30.620 --> 00:13:31.600]   mental health that's coming out from our podcast in September. So this is not an attempt to plug that, but he'll elaborate on.
[00:13:31.600 --> 00:14:01.580]  ,
[00:14:01.580 --> 00:14:01.600]  .
[00:14:01.600 --> 00:14:01.620]  ,
[00:14:01.620 --> 00:14:01.620]   Yeah.
[00:14:01.620 --> 00:14:01.620]   Yeah.
[00:14:01.620 --> 00:14:01.640]   Yeah.
[00:14:01.680 --> 00:14:11.580]   clinical
[00:14:11.580 --> 00:14:12.480]   con car. для,,,,
[00:14:12.480 --> 00:14:30.100]  치는 whipping視 Jo " " I mean, I'm, I, I, buy,,,,,,,,., è這
[00:14:30.100 --> 00:14:30.300]   Commis... medio ...'... ................................. warum... great... schw eje...af... enzy schnell... http Alan... nel... Vij dari... certain...ерв...PE... 911ico...product... stone... flight' XXB
[00:14:30.300 --> 00:14:30.600]   Torah's other is the brain, I'm ainform Pokémon этом COVID B taxing theta� E화� gute 4― Bod down the excuse of the hub''� Heroes' listens en професс don następ small�� and I'm the survive the Trying tiger ev distinguish the Any preferred the B Challenge the K BSC, and I passions 26느 the干
[00:14:30.640 --> 00:14:42.620]   good
[00:14:42.620 --> 00:14:59.420]   the re the us uh
[00:15:00.660 --> 00:15:11.580]   para
[00:15:11.580 --> 00:15:27.320]  視, sort, ", transfers the is the permit the's,Cloud,G, Raisством, study,走, Э, constituents " portion will is the different is the quick and the is the in the's the's the's the's the's the's the's the's the's the's the's the's that's the's the's the's my dot Fond the ignorant horror皇 black сем
[00:15:27.320 --> 00:15:28.620]   What é .o,
[00:15:28.620 --> 00:15:29.560]   máquina St. So, I,
[00:15:29.700 --> 00:15:39.420]   co
[00:15:39.420 --> 00:15:46.640]   recognize show but` wing provide G I I, and,,,,,,.leton
[00:15:58.660 --> 00:16:15.100]  �
[00:18:25.560 --> 00:18:35.440]  ,
[00:19:21.320 --> 00:19:22.820]   I think for me it's as important as going to the gym.
[00:19:22.820 --> 00:19:22.840]   I mean, I think for me it's as important as going to the gym.
[00:19:23.440 --> 00:19:23.440]   I mean, I think for me it's as important as going to the gym.
[00:19:23.440 --> 00:19:23.440]   I mean, I think for me it's as important as going to the gym.
[00:19:23.440 --> 00:19:23.440]   I mean, I think for me it's as important as going to the gym.
[00:19:23.440 --> 00:19:23.440]   I mean, I think for me it's as important as going to the gym.
[00:19:23.440 --> 00:19:23.440]   I mean, I think for me it's as important as going to the gym.
[00:19:23.440 --> 00:19:23.440]   I mean, I think for me it's as important as going to the gym.
[00:19:23.440 --> 00:19:23.440]   I mean, I think for me it's as important as going to the gym.
[00:19:23.440 --> 00:19:23.440]   I mean, I think for me it's as important as going to the gym.
[00:19:23.440 --> 00:19:23.440]   I mean, I think for me it's as important as going to the gym.
[00:19:53.440 --> 00:19:53.460]  .
[00:19:53.460 --> 00:19:53.460]   And people think it's just ruminating on problems or getting… No, no, no. If you work with somebody really good, they're forcing you to ask questions about who you really are, what you really want. It's not just about support, but there should be support, there should be rapport, but then it's also there should be insight. Most people who get therapy, they're getting support, there's rapport, but insight is not easy to arrive at, and a really good psychologist or psychiatrist can help you arrive at deep insight.
[00:19:53.460 --> 00:19:53.460]   And I think for me it's as important as going to the gym.
[00:19:53.460 --> 00:19:53.460]   I mean, I think for me it's as important as going to the gym.
[00:19:53.460 --> 00:20:23.480]  ,
[00:20:23.480 --> 00:20:23.480]   and I think for me it's as important as going to the gym.
[00:20:23.480 --> 00:20:23.480]   I mean, I think for me it's as important as going to the gym.
[00:20:23.480 --> 00:20:23.480]   I mean, I think for me it's as important as going to the gym.
[00:20:23.480 --> 00:20:23.480]   I mean, I think for me it's as important as going to the gym.
[00:20:23.480 --> 00:20:23.480]   I mean, I think for me it's as important as going to the gym.
[00:20:23.480 --> 00:20:23.480]   I mean, I think for me it's as important as going to the gym.
[00:20:23.480 --> 00:20:23.480]   I mean, I think for me it's as important as going to the gym.
[00:20:23.480 --> 00:20:23.480]   I mean, I think for me it's as important as going to the gym.
[00:20:23.480 --> 00:20:23.480]   I mean, I mean, I think for me it's as important as going to the gym.
[00:20:23.500 --> 00:20:53.500]   I mean, I think for me it's as important as going to the gym.
[00:20:53.500 --> 00:20:53.500]   I mean, I think for me it's as important as going to the gym.
[00:20:53.500 --> 00:20:53.500]   I mean, I think for me it's as important as going to the gym.
[00:20:53.500 --> 00:20:53.500]   I mean, I think for me it's as important as going to the gym.
[00:20:53.500 --> 00:20:53.500]   I mean, I think for me it's as important as going to the gym.
[00:20:53.500 --> 00:20:53.500]   I mean, I think for me it's as important as going to the gym.
[00:20:53.500 --> 00:20:53.500]   I mean, I think for me it's as important as going to the gym.
[00:20:53.500 --> 00:20:53.500]   I mean, I think for me it's as important as going to the gym.
[00:20:53.500 --> 00:20:53.500]   I mean, I think for me it's as important as going to the gym.
[00:20:53.500 --> 00:20:53.500]   I mean, I think for me it's as important as going to the gym.
[00:20:53.500 --> 00:20:53.500]   I mean, I think for me it's as important as going to the gym.
[00:20:53.540 --> 00:21:23.520]  ,
[00:21:23.520 --> 00:21:23.520]   I mean, I think for me it's as important as going to the gym.
[00:21:23.520 --> 00:21:23.520]   I mean, I think for me it's as important as going to the gym.
[00:21:23.520 --> 00:21:23.520]   I mean, I think for me it's as important as going to the gym.
[00:21:23.520 --> 00:21:23.520]   I mean, I think for me it's as important as going to the gym.
[00:21:23.520 --> 00:21:23.520]   I mean, I think for me it's as important as going to the gym.
[00:21:23.520 --> 00:21:23.520]   I mean, I think for me it's as important as going to the gym.
[00:21:23.520 --> 00:21:23.520]   I mean, I think for me it's as important as going to the gym.
[00:21:23.520 --> 00:21:23.520]   I mean, I think for me it's as important as going to the gym.
[00:21:23.540 --> 00:21:53.540]   I mean, I think for me it's as important as going to the gym.
[00:21:53.540 --> 00:21:53.540]   I mean, I think for me it's as important as going to the gym.
[00:21:53.540 --> 00:21:53.540]   I mean, I think for me it's as important as going to the gym.
[00:21:53.540 --> 00:21:53.540]   I mean, I think for me it's as important as going to the gym.
[00:21:53.540 --> 00:21:53.540]   I mean, I think for me it's as important as going to the gym.
[00:21:53.540 --> 00:21:53.540]   I mean, I think for me it's as important as going to the gym.
[00:21:53.540 --> 00:21:53.540]   I mean, I think for me it's as important as going to the gym.
[00:21:53.540 --> 00:21:53.540]   I mean, I think for me it's as important as going to the gym.
[00:21:53.540 --> 00:21:53.540]   I mean, I think for me it's as important as going to the gym.
[00:21:53.540 --> 00:21:53.540]   I mean, I mean, I think for me it's as important as going to the gym.
[00:21:53.580 --> 00:22:23.560]  ,
[00:22:23.560 --> 00:22:23.560]   I mean, I think for me it's as important as going to the gym.
[00:22:23.560 --> 00:22:23.560]   I mean, I think for me it's as important as going to the gym.
[00:22:23.560 --> 00:22:23.560]   I mean, I think for me it's as important as going to the gym.
[00:22:23.560 --> 00:22:23.560]   I mean, I think for me it's as important as going to the gym.
[00:22:23.560 --> 00:22:23.560]   I mean, I think for me it's as important as going to the gym.
[00:22:23.560 --> 00:22:23.560]   I mean, I think for me it's as important as going to the gym.
[00:22:23.560 --> 00:22:23.560]   I mean, I mean, I think for me it's as important as going to the gym.
[00:22:23.580 --> 00:22:53.580]   I mean, I think for me it's as important as going to the gym.
[00:22:53.580 --> 00:22:53.580]   I mean, I think for me it's as important as going to the gym.
[00:22:53.580 --> 00:22:53.580]   I mean, I think for me it's as important as going to the gym.
[00:22:53.580 --> 00:22:53.580]   I mean, I think for me it's as important as going to the gym.
[00:22:53.580 --> 00:22:53.580]   I mean, I think for me it's as important as going to the gym.
[00:22:53.580 --> 00:22:53.580]   I mean, I think for me it's as important as going to the gym.
[00:22:53.580 --> 00:22:53.580]   I mean, I think for me it's as important as going to the gym.
[00:22:53.580 --> 00:22:53.580]   I mean, I think for me it's as important as going to the gym.
[00:22:53.580 --> 00:22:53.580]   I mean, I think for me it's as important as going to the gym.
[00:22:53.580 --> 00:22:53.580]   I mean, I think for me it's as important as going to the gym.
[00:22:53.580 --> 00:22:53.580]   I mean, I mean, I think for me it's as important as going to the gym.
[00:22:53.600 --> 00:23:23.600]   I mean, I think for me it's as important as going to the gym.
[00:23:23.600 --> 00:23:23.600]   I mean, I think for me it's as important as going to the gym.
[00:23:23.600 --> 00:23:23.600]   I mean, I think for me it's as important as going to the gym.
[00:23:23.600 --> 00:23:23.600]   I mean, I think for me it's as important as going to the gym.
[00:23:23.600 --> 00:23:23.600]   I mean, I think for me it's as important as going to the gym.
[00:23:23.600 --> 00:23:23.600]   I mean, I think for me it's as important as going to the gym.
[00:23:23.600 --> 00:23:23.600]   I mean, I think for me it's as important as going to the gym.
[00:23:23.600 --> 00:23:23.600]   I mean, I think for me it's as important as going to the gym.
[00:23:23.600 --> 00:23:23.600]   I mean, I think for me it's as important as going to the gym.
[00:23:23.600 --> 00:23:23.600]   I mean, I think for me it's as important as going to the gym.
[00:23:23.600 --> 00:23:23.600]   I mean, I think for me it's as important as going to the gym.
[00:23:23.620 --> 00:23:53.620]   I mean, I think for me it's as important as going to the gym.
[00:23:53.620 --> 00:23:53.620]   I mean, I think for me it's as important as going to the gym.
[00:23:53.620 --> 00:23:53.620]   I mean, I think for me it's as important as going to the gym.
[00:23:53.620 --> 00:23:53.620]   I mean, I think for me it's as important as going to the gym.
[00:23:53.620 --> 00:23:53.620]   I mean, I think for me it's as important as going to the gym.
[00:23:53.620 --> 00:23:53.620]   I mean, I think for me it's as important as going to the gym.
[00:23:53.620 --> 00:23:53.620]   I mean, I think for me it's as important as going to the gym.
[00:23:53.620 --> 00:23:53.620]   I mean, I think for me it's as important as going to the gym.
[00:23:53.620 --> 00:23:53.620]   I mean, I mean, I think for me it's as important as going to the gym.
[00:23:53.640 --> 00:24:23.640]   I mean, I think for me it's as important as going to the gym.
[00:24:23.640 --> 00:24:23.640]   I mean, I think for me it's as important as going to the gym.
[00:24:23.640 --> 00:24:23.640]   I mean, I think for me it's as important as going to the gym.
[00:24:23.640 --> 00:24:23.640]   I mean, I think for me it's as important as going to the gym.
[00:24:23.640 --> 00:24:23.640]   I mean, I think for me it's as important as going to the gym.
[00:24:23.640 --> 00:24:23.640]   I mean, I think for me it's as important as going to the gym.
[00:24:23.640 --> 00:24:23.640]   I mean, I think for me it's as important as going to the gym.
[00:24:23.640 --> 00:24:23.640]   I mean, I think for me it's as important as going to the gym.
[00:24:23.640 --> 00:24:23.640]   I mean, I think for me it's as important as going to the gym.
[00:24:23.660 --> 00:24:53.660]  ,
[00:24:53.660 --> 00:24:53.660]   I mean, I think for me it's as important as going to the gym.
[00:24:53.660 --> 00:24:53.660]   I mean, I think for me it's as important as going to the gym.
[00:24:53.660 --> 00:24:53.660]   I mean, I think for me it's as important as going to the gym.
[00:24:53.660 --> 00:24:53.660]   I mean, I think for me it's as important as going to the gym.
[00:24:53.660 --> 00:24:53.660]   I mean, I think for me it's as important as going to the gym.
[00:24:53.660 --> 00:24:53.660]   I mean, I think for me it's as important as going to the gym.
[00:24:53.660 --> 00:24:53.660]   I mean, I think for me it's as important as going to the gym.
[00:24:53.660 --> 00:24:53.660]   I mean, I think for me it's as important as going to the gym.
[00:24:53.660 --> 00:24:53.660]   I mean, I think for me it's as important as going to the gym.
[00:24:53.680 --> 00:25:23.680]   I mean, I think for me it's as important as going to the gym.
[00:25:23.680 --> 00:25:23.680]   I mean, I think for me it's as important as going to the gym.
[00:25:23.680 --> 00:25:23.680]   I mean, I think for me it's as important as going to the gym.
[00:25:23.680 --> 00:25:23.680]   I mean, I think for me it's as important as going to the gym.
[00:25:23.680 --> 00:25:23.680]   I mean, I think for me it's as important as going to the gym.
[00:25:23.680 --> 00:25:23.680]   I mean, I think for me it's as important as going to the gym.
[00:25:23.680 --> 00:25:23.680]   I mean, I think for me it's as important as going to the gym.
[00:25:23.680 --> 00:25:23.680]   I mean, I think for me it's as important as going to the gym.
[00:25:23.680 --> 00:25:23.680]   I mean, I think for me it's as important as going to the gym.
[00:25:23.680 --> 00:25:23.680]   I mean, I think for me it's as important as going to the gym.
[00:25:23.680 --> 00:25:23.680]   I mean, I think for me it's as important as going to the gym.
[00:25:23.700 --> 00:25:53.700]   I mean, I think for me it's as important as going to the gym.
[00:25:53.700 --> 00:25:53.700]   I mean, I think for me it's as important as going to the gym.
[00:25:53.700 --> 00:25:53.700]   I mean, I think for me it's as important as going to the gym.
[00:25:53.700 --> 00:25:53.700]   I mean, I think for me it's as important as going to the gym.
[00:25:53.700 --> 00:25:53.700]   I mean, I think for me it's as important as going to the gym.
[00:25:53.700 --> 00:25:53.700]   I mean, I think for me it's as important as going to the gym.
[00:25:53.700 --> 00:25:53.700]   I mean, I think for me it's as important as going to the gym.
[00:25:53.700 --> 00:25:53.700]   I mean, I think for me it's as important as going to the gym.
[00:25:53.700 --> 00:25:53.700]   I mean, I think for me it's as important as going to the gym.
[00:25:53.700 --> 00:25:53.700]   I mean, I think for me it's as important as going to the gym.
[00:25:53.700 --> 00:25:53.700]   I mean, I mean, I think for me it's as important as going to the gym.
[00:25:53.740 --> 00:26:23.720]  ,
[00:26:23.720 --> 00:26:23.720]   I mean, I think for me it's as important as going to the gym.
[00:26:23.720 --> 00:26:23.720]   I mean, I think for me it's as important as going to the gym.
[00:26:23.720 --> 00:26:23.720]   I mean, I think for me it's as important as going to the gym.
[00:26:23.720 --> 00:26:23.720]   I mean, I think for me it's as important as going to the gym.
[00:26:23.720 --> 00:26:23.720]   I mean, I think for me it's as important as going to the gym.
[00:26:23.720 --> 00:26:23.720]   I mean, I think for me it's as important as going to the gym.
[00:26:23.720 --> 00:26:23.720]   I mean, I mean, I think for me it's as important as going to the gym.
[00:26:23.720 --> 00:26:23.720]   I mean, I mean, I mean, I think for me it's as important as going to the gym.
[00:26:23.740 --> 00:26:53.740]   I mean, I think for me it's as important as going to the gym.
[00:26:53.740 --> 00:26:53.740]   I mean, I think for me it's as important as going to the gym.
[00:26:53.740 --> 00:26:53.740]   I mean, I think for me it's as important as going to the gym.
[00:26:53.740 --> 00:26:53.740]   I mean, I think for me it's as important as going to the gym.
[00:26:53.740 --> 00:26:53.740]   I mean, I think for me it's as important as going to the gym.
[00:26:53.740 --> 00:26:53.740]   I mean, I think for me it's as important as going to the gym.
[00:26:53.740 --> 00:26:53.740]   I mean, I think for me it's as important as going to the gym.
[00:26:53.740 --> 00:26:53.740]   I mean, I think for me it's as important as going to the gym.
[00:26:53.740 --> 00:26:53.740]   I mean, I think for me it's as important as going to the gym.
[00:26:53.740 --> 00:26:53.740]   I mean, I think for me it's as important as going to the gym.
[00:26:53.760 --> 00:27:23.760]   I mean, I think for me it's as important as going to the gym.
[00:27:23.760 --> 00:27:23.760]   I mean, I think for me it's as important as going to the gym.
[00:27:23.760 --> 00:27:23.760]   I mean, I think for me it's as important as going to the gym.
[00:27:23.760 --> 00:27:23.760]   I mean, I think for me it's as important as going to the gym.
[00:27:23.760 --> 00:27:23.760]   I mean, I think for me it's as important as going to the gym.
[00:27:23.760 --> 00:27:23.760]   I mean, I think for me it's as important as going to the gym.
[00:27:23.760 --> 00:27:23.760]   I mean, I think for me it's as important as going to the gym.
[00:27:23.760 --> 00:27:23.760]   I mean, I think for me it's as important as going to the gym.
[00:27:23.760 --> 00:27:23.760]   I mean, I think for me it's as important as going to the gym.
[00:27:23.760 --> 00:27:53.780]  ,
[00:27:53.780 --> 00:27:53.780]   I mean, I think for me it's as important as going to the gym.
[00:27:53.780 --> 00:27:53.780]   I mean, I think for me it's as important as going to the gym.
[00:27:53.780 --> 00:27:53.780]   I mean, I think for me it's as important as going to the gym.
[00:27:53.780 --> 00:27:53.780]   I mean, I think for me it's as important as going to the gym.
[00:27:53.780 --> 00:27:53.780]   I mean, I think for me it's as important as going to the gym.
[00:27:53.780 --> 00:27:53.780]   I mean, I think for me it's as important as going to the gym.
[00:27:53.780 --> 00:27:53.780]   I mean, I mean, I think for me it's as important as going to the gym.
[00:27:53.800 --> 00:28:23.800]   I mean, I think for me it's as important as going to the gym.
[00:28:23.800 --> 00:28:23.800]   I mean, I think for me it's as important as going to the gym.
[00:28:23.800 --> 00:28:23.800]   I mean, I think for me it's as important as going to the gym.
[00:28:23.800 --> 00:28:23.800]   I mean, I think for me it's as important as going to the gym.
[00:28:23.800 --> 00:28:23.800]   I mean, I think for me it's as important as going to the gym.
[00:28:23.800 --> 00:28:23.800]   I mean, I think for me it's as important as going to the gym.
[00:28:23.800 --> 00:28:23.800]   I mean, I think for me it's as important as going to the gym.
[00:28:23.800 --> 00:28:23.800]   I mean, I think for me it's as important as going to the gym.
[00:28:23.800 --> 00:28:23.800]   I mean, I think for me it's as important as going to the gym.
[00:28:23.800 --> 00:28:23.800]   I mean, I think for me it's as important as going to the gym.
[00:28:23.800 --> 00:28:23.800]   I mean, I think for me it's as important as going to the gym.
[00:28:23.800 --> 00:28:53.820]   I mean, I think for me it's as important as going to the gym.
[00:28:53.820 --> 00:28:53.820]   I mean, I think for me it's as important as going to the gym.
[00:28:53.820 --> 00:28:53.820]   I mean, I think for me it's as important as going to the gym.
[00:28:53.820 --> 00:28:53.820]   I mean, I think for me it's as important as going to the gym.
[00:28:53.820 --> 00:28:53.820]   I mean, I think for me it's as important as going to the gym.
[00:28:53.820 --> 00:28:53.820]   I mean, I mean, I think for me it's as important as going to the gym.
[00:28:53.820 --> 00:28:53.820]   I mean, I mean, I mean, I think for me it's as important as going to the gym.
[00:28:53.840 --> 00:29:23.840]   I mean, I think for me it's as important as going to the gym.
[00:29:23.840 --> 00:29:23.840]   I mean, I think for me it's as important as going to the gym.
[00:29:23.840 --> 00:29:23.840]   I mean, I think for me it's as important as going to the gym.
[00:29:23.840 --> 00:29:23.840]   I mean, I think for me it's as important as going to the gym.
[00:29:23.840 --> 00:29:23.840]   I mean, I think for me it's as important as going to the gym.
[00:29:23.840 --> 00:29:23.840]   I mean, I think for me it's as important as going to the gym.
[00:29:23.840 --> 00:29:23.840]   I mean, I think for me it's as important as going to the gym.
[00:29:23.840 --> 00:29:23.840]   I mean, I think for me it's as important as going to the gym.
[00:29:23.840 --> 00:29:23.840]   I mean, I think for me it's as important as going to the gym.
[00:29:23.840 --> 00:29:23.840]   I mean, I think for me it's as important as going to the gym.
[00:29:23.840 --> 00:29:23.840]   I mean, I think for me it's as important as going to the gym.
[00:29:23.880 --> 00:29:53.860]  ,
[00:29:53.860 --> 00:29:53.860]   I mean, I think for me it's as important as going to the gym.
[00:29:53.860 --> 00:29:53.860]   I mean, I think for me it's as important as going to the gym.
[00:29:53.860 --> 00:29:53.860]   I mean, I think for me it's as important as going to the gym.
[00:29:53.860 --> 00:29:53.860]   I mean, I think for me it's as important as going to the gym.
[00:29:53.860 --> 00:29:53.860]   I mean, I think for me it's as important as going to the gym.
[00:29:53.860 --> 00:29:53.860]   I mean, I think for me it's as important as going to the gym.
[00:29:53.860 --> 00:29:53.860]   I mean, I think for me it's as important as going to the gym.
[00:29:53.860 --> 00:29:53.860]   I mean, I think for me it's as important as going to the gym.
[00:29:53.880 --> 00:30:23.880]   I mean, I think for me it's as important as going to the gym.
[00:30:23.880 --> 00:30:23.880]   I mean, I think for me it's as important as going to the gym.
[00:30:23.880 --> 00:30:23.880]   I mean, I think for me it's as important as going to the gym.
[00:30:23.880 --> 00:30:23.880]   I mean, I think for me it's as important as going to the gym.
[00:30:23.880 --> 00:30:23.880]   I mean, I think for me it's as important as going to the gym.
[00:30:23.880 --> 00:30:23.880]   I mean, I think for me it's as important as going to the gym.
[00:30:23.880 --> 00:30:23.880]   I mean, I think for me it's as important as going to the gym.
[00:30:23.880 --> 00:30:23.880]   I mean, I think for me it's as important as going to the gym.
[00:30:23.880 --> 00:30:23.880]   I mean, I mean, I think for me it's as important as going to the gym.
[00:30:23.900 --> 00:30:53.900]   I mean, I think for me it's as important as going to the gym.
[00:30:53.900 --> 00:30:53.900]   I mean, I think for me it's as important as going to the gym.
[00:30:53.900 --> 00:30:53.900]   I mean, I think for me it's as important as going to the gym.
[00:30:53.900 --> 00:30:53.900]   I mean, I think for me it's as important as going to the gym.
[00:30:53.900 --> 00:30:53.900]   I mean, I think for me it's as important as going to the gym.
[00:30:53.900 --> 00:30:53.900]   I mean, I think for me it's as important as going to the gym.
[00:30:53.900 --> 00:30:53.900]   I mean, I think for me it's as important as going to the gym.
[00:30:53.900 --> 00:30:53.900]   I mean, I think for me it's as important as going to the gym.
[00:30:53.900 --> 00:30:53.900]   I mean, I think for me it's as important as going to the gym.
[00:30:53.900 --> 00:30:53.900]   I mean, I think for me it's as important as going to the gym.
[00:30:53.900 --> 00:30:53.900]   I mean, I mean, I think for me it's as important as going to the gym.
[00:30:53.920 --> 00:31:23.920]   I mean, I think for me it's as important as going to the gym.
[00:31:23.920 --> 00:31:23.920]   I mean, I think for me it's as important as going to the gym.
[00:31:23.920 --> 00:31:23.920]   I mean, I think for me it's as important as going to the gym.
[00:31:23.920 --> 00:31:23.920]   I mean, I think for me it's as important as going to the gym.
[00:31:23.920 --> 00:31:23.920]   I mean, I think for me it's as important as going to the gym.
[00:31:23.920 --> 00:31:23.920]   I mean, I think for me it's as important as going to the gym.
[00:31:23.920 --> 00:31:23.920]   I mean, I think for me it's as important as going to the gym.
[00:31:23.920 --> 00:31:23.920]   I mean, I think for me it's as important as going to the gym.
[00:31:23.920 --> 00:31:23.920]   I mean, I mean, I think for me it's as important as going to the gym.
[00:31:23.940 --> 00:31:53.940]   I mean, I think for me it's as important as going to the gym.
[00:31:53.940 --> 00:31:53.940]   I mean, I think for me it's as important as going to the gym.
[00:31:53.940 --> 00:31:53.940]   I mean, I think for me it's as important as going to the gym.
[00:31:53.940 --> 00:31:53.940]   I mean, I think for me it's as important as going to the gym.
[00:31:53.940 --> 00:31:53.940]   I mean, I think for me it's as important as going to the gym.
[00:31:53.940 --> 00:31:53.940]   I mean, I think for me it's as important as going to the gym.
[00:31:53.940 --> 00:31:53.940]   I mean, I think for me it's as important as going to the gym.
[00:31:53.940 --> 00:31:53.940]   I mean, I think for me it's as important as going to the gym.
[00:31:53.940 --> 00:31:53.940]   I mean, I think for me it's as important as going to the gym.
[00:31:53.940 --> 00:31:53.940]   I mean, I think for me it's as important as going to the gym.
[00:31:53.960 --> 00:32:23.960]   I mean, I think for me it's as important as going to the gym.
[00:32:23.960 --> 00:32:23.960]   I mean, I think for me it's as important as going to the gym.
[00:32:23.960 --> 00:32:23.960]   I mean, I think for me it's as important as going to the gym.
