
[00:00:00.000 --> 00:00:20.480]   Hi, everybody. Thanks for having us here today. We're super excited to be here. I'm Sam and I'm
[00:10:16.940 --> 00:10:26.540]   And now I've declined the call. You know, historically with deterministic interfaces,
[00:10:27.580 --> 00:10:33.180]   I would have had to like find the hang-up button or go like, "Hey, Alexa, decline call." Like,
[00:10:33.180 --> 00:10:37.580]   thinking commands, thinking computer-speak. But like, as a person, I can be like, "Fuck off." You
[00:10:37.580 --> 00:10:42.300]   know, I can be like, "I'm busy." I can be like, "I'm sick." You know, like, all of this stuff,
[00:10:42.300 --> 00:10:47.980]   the computer should be able to interpret for me and, you know, send, send, what's his name again,
[00:10:47.980 --> 00:10:54.540]   toxic trashiest, whatever, on his merry way. So, explicit social gestures can be a great way to
[00:10:54.540 --> 00:10:59.900]   determine user intent, like the way I just showed now. But we should also consider interpreting
[00:10:59.900 --> 00:11:05.260]   implicit gestures. If I give a really fast gesture with a slow gesture, my mood, my tone,
[00:11:05.260 --> 00:11:10.220]   how far away I am. But we should also be conscious of social cultural norms, different gestures mean
[00:11:10.220 --> 00:11:14.700]   different things in different societies. And it might mean, you know, as you scale your application
[00:11:14.700 --> 00:11:17.580]   or hardware to different locales, this is something that you should pay attention to.
[00:11:19.100 --> 00:11:24.060]   Now, I want to move on to talk about what I call new physics. And this part is super fun.
[00:11:24.060 --> 00:11:31.500]   Um, this demo is based on, um, a little, uh, I think on the iPad, which, you know, has over five daily
[00:11:31.500 --> 00:11:37.500]   active users in the world. It's very popular. Um, and here I'm imagining, like, okay, Midjourney,
[00:11:37.500 --> 00:11:41.580]   if I was the founder of Midjourney, I would be putting all my resources and making some sort of,
[00:11:41.580 --> 00:11:49.340]   uh, Midjourney Canvas app for iPads. So, in this one, I've asked Midjourney to create, uh, Balenciaga Naruto,
[00:11:49.340 --> 00:11:57.340]   which now I'm realizing kind of looks like me. Um, so, let's think about the iPad. It's like this big slab
[00:11:57.340 --> 00:12:01.180]   that you can, like, touch and fiddle with, right? So, what do I want to do? Okay, I want to, like, edit
[00:12:01.180 --> 00:12:06.140]   this photo. Um, but first, I need to make space. How do I do that? Well, very easy. You just, you know,
[00:12:06.140 --> 00:12:12.220]   um, you can just zoom out and now you have extra space. Very obvious. We do this all the time. Um,
[00:12:12.220 --> 00:12:18.540]   I kind of think my cat would look really good in that outfit. So, I kind of want to find a way to do
[00:12:18.540 --> 00:12:25.820]   that here. Let me just ask AI real quick. Um, hey, random AI sent me pictures of my cat. And,
[00:12:25.820 --> 00:12:31.100]   you know, the AI knows me and has contacts and gives me pictures of my cat. And then,
[00:12:31.100 --> 00:12:41.580]   what do I do here? Well, why can't we just take one of the photos and sort of just blend them with
[00:12:41.580 --> 00:12:47.580]   the other? Um, and the metaphor you're seeing here as you sort of work with these photos, they start
[00:12:47.580 --> 00:12:52.700]   glowing when you pick them up. And what does light? You guys know the Pink Floyd, uh, Dark Side of the
[00:12:52.700 --> 00:12:58.220]   Moon album cover. Like, we're really familiar with the idea that light can sort of, uh, provide
[00:12:58.220 --> 00:13:02.220]   different colors and, and sort of concentrate back into one form. And we're leaning into that metaphor
[00:13:02.220 --> 00:13:10.300]   here, implicitly. Um, and so it's now created something that looks 50% human, 50% cat, 100% cringe. I don't
[00:13:10.300 --> 00:13:14.780]   really like this. How do we remix this? What is the gesture? What is the thing we do in real life that's
[00:13:14.780 --> 00:13:20.940]   remixing? Um, for me, it's a margarita. And for Sam, it's her morning huell. We shake a blender bottle.
[00:13:20.940 --> 00:13:27.580]   So, why, why can't we work with intelligent materials the same way that we work with real
[00:13:27.580 --> 00:13:33.740]   materials and just blend it up? This is totally doable right now. David, why aren't you building
[00:13:33.740 --> 00:13:37.820]   this? If you don't build this, I'm going to build this. It's fine. Um, so, you know, here, the metaphor
[00:13:37.820 --> 00:13:43.420]   is like, what we're trying to say is, you know, think about familiar universal metaphors like physics, like
[00:13:43.420 --> 00:13:49.180]   light, like Meta Balls, like squishy, like fog, whatever. Because, you know, if you're designing an iPhone, you
[00:13:49.180 --> 00:13:54.140]   have to be very cognizant of the qualities of aluminum and titanium to make an iPhone,
[00:13:54.140 --> 00:14:00.540]   but generative intelligence is a probabilistic material that's sort of more fluid. Maybe it's
[00:14:00.540 --> 00:14:08.700]   fog, maybe it's mercury. Um, and, you know, for this reason, maybe metaphors that are really rigid,
[00:14:08.700 --> 00:14:13.820]   like wood or paper or metal, aren't the right metaphors to use for some of these experiences.
[00:14:13.820 --> 00:14:18.780]   So, finally, I want to walk you through an experience that's inherently mixed
[00:14:18.780 --> 00:14:25.180]   modal, um, slash mixed reality. Um, let's imagine for a second there's a piece of hardware coming
[00:14:25.180 --> 00:14:31.180]   out that's a wearable that has a camera on it and has a microphone and it can maybe project things.
[00:14:31.180 --> 00:14:35.420]   I don't know if such a thing will ever exist. But let's imagine for a second it does. Um,
[00:14:35.420 --> 00:14:43.100]   I'm sort of browsing this book, this Beyoncé tour book, and I see these images that I find really
[00:14:43.100 --> 00:14:49.260]   inspiring. Um, what I'm trying to do here is what if I could just point at something on my desk and say,
[00:14:49.260 --> 00:14:57.500]   like, "This is cool," and have the sort of device, uh, pick up on that and, and, and indicate that it's heard me
[00:14:57.500 --> 00:15:03.260]   and it's gonna do something by sort of projection mapping this sort of feedback. Um, this is, you know,
[00:15:03.260 --> 00:15:08.380]   this demo doesn't really have sound, but the way this would work is ideally a combination of voice and gesture at the same time.
[00:15:08.380 --> 00:15:16.220]   Um, and obviously this gesture is really easy to make mistakes with, so any time you work with probabilistic materials,
[00:15:16.220 --> 00:15:20.380]   you want to provide a graceful way out. So in this case, I've accidentally tapped this photo.
[00:15:20.380 --> 00:15:26.300]   Why can't I just flick it away like dust? And be like, "That's wrong. I don't want to press an undo button.
[00:15:26.300 --> 00:15:30.940]   I don't want to press command Z. I just want to flick it away." Um, really leaning to the physics of it.
[00:15:30.940 --> 00:15:37.340]   Um, so now that I've found two pieces, I'm kind of like, "Okay, I want to send this to two of my friends who,
[00:15:37.340 --> 00:15:43.180]   hmm, there was a friend who I said I would do Halloween with, but I can't really remember their name.
[00:15:43.180 --> 00:15:50.540]   Um, what do I do here? I should ask AI. I should be like, "Who is that friend I said I'd spend Halloween with?"
[00:15:50.540 --> 00:15:59.180]   And you notice here that, like, we're imagining sort of projection mapped UI pieces that can work with the
[00:15:59.180 --> 00:16:04.460]   context of the world you're in right now, such that you don't have to go fish out a phone or use cumbersome
[00:16:04.460 --> 00:16:12.860]   voice commands. Um, it just all sorts of naturally melding with the world. Um, and, you know, crucially,
[00:16:12.860 --> 00:16:17.260]   I think one point we want to make is voiced in doesn't need to mean voice out, gesture in doesn't need to
[00:16:17.260 --> 00:16:22.300]   mean gesture out, and visual UI in does not need to mean visual UI out. We can mix these modalities
[00:16:22.300 --> 00:16:25.340]   in real time for whatever makes sense in whatever context you're in.
[00:16:26.940 --> 00:16:31.260]   So, given that interactions that require multiple simultaneous inputs are now possible,
[00:16:31.260 --> 00:16:36.220]   um, it's our job as designers and developers to sort of think on behalf of the user and think
[00:16:36.220 --> 00:16:43.100]   when, what's the appropriate output given the current context, and be smart about it. Um, yeah.
[00:16:43.100 --> 00:16:49.340]   Yeah, so again, the takeaways, as we mentioned, it's this idea of, we have a lot of sensors and, and
[00:16:49.340 --> 00:16:53.500]   uh, contextual modalities available to us as ingredients, even today. There will be more
[00:16:53.500 --> 00:16:58.700]   tomorrow, as you kind of saw with these upcoming, uh, potential hardware releases. Um, but even now,
[00:16:58.700 --> 00:17:04.620]   with a laptop, with things like typing speed, with things like, uh, the tone of voice, there's a lot
[00:17:04.620 --> 00:17:09.580]   of ways that you could gather context and extract signals from it. You could choose to process it in
[00:17:09.580 --> 00:17:15.180]   a variety of different ways. And so, all of that can now be passed to an LLM and used in a reasoning
[00:17:15.180 --> 00:17:21.980]   layer which decides how, um, both to respond in words and also how to present that information.
[00:17:21.980 --> 00:17:28.780]   Um, and so basically, everything can now be an input and your output could be everywhere and have
[00:17:28.780 --> 00:17:33.820]   every format. Um, at the same time, one might say everything everywhere all at once.
[00:17:33.820 --> 00:17:40.940]   Well, you want to be intentional with it. You know, if someone wants to generate a photo on their Apple
[00:17:40.940 --> 00:17:46.540]   watch, you're like, why, why? Like, no, use your freaking phone. Jesus. Um, anyway. And the last
[00:17:46.540 --> 00:17:51.580]   thing we'll say is, um, probabilistic interfaces are hard because they have lots of different outputs.
[00:17:51.580 --> 00:17:56.220]   So, a really great way to sort of ground these interfaces is to lean into familiar metaphors,
[00:17:56.220 --> 00:18:00.460]   whether they are from nature, from physics, or even from human-made tools and materials,
[00:18:00.460 --> 00:18:06.060]   like buttons, for now. Um, and you know, social norms is also a material that we work with, right?
[00:18:06.060 --> 00:18:14.220]   So, your banking AI agent probably shouldn't be able to have a deep philosophical chat with you.
[00:18:14.220 --> 00:18:16.860]   That just socially doesn't make sense. That would feel weird.
[00:18:16.860 --> 00:18:23.900]   Exactly. Um, but on the same note, we've, we've, we've related all of these interfaces to what humans
[00:18:23.900 --> 00:18:30.540]   perceive and experience now, but what might a truly intelligent interface look like in the future,
[00:18:31.100 --> 00:18:35.340]   where if we think we are, where we are right now, skeuomorphism, what is the abstraction layer above
[00:18:35.340 --> 00:18:54.940]   that? And that's kind of for us to figure out. Um, so, with that, um, yeah, that's all. Thank you.

