
[00:00:00.040 --> 00:00:10.700]   develop
[00:04:20.800 --> 00:04:22.360]   South EC N like but an it, and, and, show,,,,,,,, 100 F Per I shady polls quais Ikrage Herzir視視 compound at presence to processes Samsung non 의 is a process. And, I, "G, "T",", ", ", ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, and the only the regime don held the end nothing what Thank the 17growth and cut the Bert lie haha GitHub already wagon At the end of the� Minute Pil Sergeant mean that is E desired die Din�� Значит degy iséner Lud элем어ση沒有 donn questioning령 99 accompl св mess gern depend�적 giganticeros details
[00:04:22.380 --> 00:04:25.120]   I'm not sure if you're watching this live or not, but I'm sure you're watching this live.
[00:04:25.120 --> 00:04:26.400]   I'm not sure if you're watching this live or not, but I'm sure you're watching this live.
[00:04:26.400 --> 00:04:28.400]   I'm not sure if you're watching this live or not, but I'm sure you're watching this live.
[00:04:28.400 --> 00:04:30.400]   I'm not sure if you're watching this live or not, but I'm sure you're watching this live.
[00:04:30.400 --> 00:04:32.400]   I'm not sure if you're watching this live or not, but I'm sure you're watching this live.
[00:04:32.400 --> 00:04:34.400]   I'm not sure if you're watching this live or not, but I'm sure you're watching this live.
[00:04:34.400 --> 00:04:36.400]   I'm not sure if you're watching this live or not, but I'm sure you're watching this live.
[00:04:36.400 --> 00:04:38.400]   I'm not sure if you're watching this live or not, but I'm sure you're watching this live.
[00:04:38.400 --> 00:04:56.440]  , I'm not sure if you're watching this live or not, but I'm sure you're watching this live.
[00:04:56.440 --> 00:04:58.440]   I'm not sure if you're watching this live or not, but I'm sure you're watching this live.
[00:04:58.440 --> 00:05:00.440]   I'm not sure if you're watching this live or not, but I'm sure you're watching this live.
[00:05:00.440 --> 00:05:02.440]   I'm not sure if you're watching this live or not, but I'm sure you're watching this live.
[00:05:02.440 --> 00:05:04.440]   I'm not sure if you're watching this live or not, but I'm sure you're watching this live.
[00:05:04.440 --> 00:05:06.440]   I'm not sure if you're watching this live or not, but I'm sure you're watching this live.
[00:05:06.440 --> 00:05:08.200]   I'm not sure if you're watching this live or not, but I'm sure you're watching this live.
[00:05:08.220 --> 00:05:12.240]   I'm not sure if you're watching this live.
[00:05:12.240 --> 00:05:14.240]   I'm not sure if you're watching this live.
[00:05:14.240 --> 00:05:16.240]   I'm not sure if you're watching this live.
[00:05:16.240 --> 00:05:18.240]   I'm not sure if you're watching this live.
[00:05:18.240 --> 00:05:20.240]   I'm not sure if you're watching this live.
[00:05:20.240 --> 00:05:22.240]   I'm not sure if you're watching this live.
[00:05:22.240 --> 00:05:24.240]   I'm not sure if you're watching this live.
[00:05:24.240 --> 00:05:26.240]   I'm not sure if you're watching this live.
[00:05:26.240 --> 00:05:28.240]   I'm not sure if you're watching this live.
[00:05:28.240 --> 00:05:30.240]   I'm not sure if you're watching this live.
[00:05:30.240 --> 00:05:32.240]   I'm not sure if you're watching this live.
[00:05:32.240 --> 00:05:34.240]   I'm not sure if you're watching this live.
[00:05:34.240 --> 00:05:36.240]   I'm not sure if you're watching this live.
[00:05:36.240 --> 00:05:38.000]   I'm not sure if you're watching this live.
[00:05:38.000 --> 00:05:38.240]   I'm not sure if you're watching this live.
[00:05:38.240 --> 00:05:38.240]   I'm not sure if you're watching this live.
[00:05:38.260 --> 00:06:08.280]   I'm not sure if you're watching this live.
[00:06:08.280 --> 00:06:08.280]   I'm not sure if you're watching this live.
[00:06:08.280 --> 00:06:08.280]   I'm not sure if you're watching this live.
[00:06:08.280 --> 00:06:08.280]   I'm not sure if you're watching this live.
[00:06:08.280 --> 00:06:08.280]   I'm not sure if you're watching this live.
[00:06:08.280 --> 00:06:08.280]   I'm not sure if you're watching this live.
[00:06:08.280 --> 00:06:08.280]   I'm not sure if you're watching this live.
[00:06:08.280 --> 00:06:08.280]   I'm not sure if you're watching this live.
[00:06:08.280 --> 00:06:08.280]   I'm not sure if you're watching this live.
[00:06:08.280 --> 00:06:08.280]   I'm not sure if you're watching this live.
[00:06:08.280 --> 00:06:08.280]   I'm not sure if you're watching this live.
[00:06:08.280 --> 00:06:08.280]   I'm not sure if you're watching this live.
[00:06:08.280 --> 00:06:38.320]   I'm not sure if you're watching this live.
[00:06:38.320 --> 00:06:38.320]   I'm not sure if you're watching this live.
[00:06:38.320 --> 00:06:38.320]   I'm not sure if you're watching this live.
[00:06:38.320 --> 00:06:38.320]   I'm not sure if you're watching this live.
[00:06:38.320 --> 00:06:38.320]   I'm not sure if you're watching this live.
[00:06:38.320 --> 00:06:38.320]   I'm not sure if you're watching this live.
[00:06:38.320 --> 00:06:38.320]   I'm not sure if you're watching this live.
[00:06:38.320 --> 00:06:38.320]   I'm not sure if you're watching this live.
[00:06:38.320 --> 00:06:38.320]   I'm not sure if you're watching this live.
[00:06:38.320 --> 00:06:38.320]   I'm not sure if you're watching this live.
[00:06:38.320 --> 00:06:38.320]   I'm not sure if you're watching this live.
[00:06:38.320 --> 00:06:38.320]   I'm not sure if you're watching this live.
[00:06:38.320 --> 00:06:38.320]   I'm not sure if you're watching this live. I'm not sure if you're watching this live.
[00:06:38.320 --> 00:06:38.320]   I'm not sure if you're watching this live. I'm not sure if you're watching this live.
[00:06:38.340 --> 00:07:08.360]   I'm not sure if you're watching this live. I'm not sure if you're watching this live.
[00:07:08.360 --> 00:07:08.360]   I'm not sure if you're watching this live. I'm not sure if you're watching this live.
[00:07:08.360 --> 00:07:08.360]   I'm not sure if you're watching this live. I'm not sure if you're watching this live.
[00:07:08.360 --> 00:07:08.360]   I'm not sure if you're watching this live. I'm not sure if you're watching this live.
[00:07:08.360 --> 00:07:08.360]   I'm not sure if you're watching this live. I'm not sure if you're watching this live.
[00:07:08.360 --> 00:07:08.360]   I'm not sure if you're watching this live. I'm not sure if you're watching this live.
[00:07:08.360 --> 00:07:08.360]   I'm not sure if you're watching this live.
[00:07:08.360 --> 00:07:08.360]   I'm not sure if you're watching this live.
[00:07:08.360 --> 00:07:08.360]   I'm not sure if you're watching this live.
[00:07:08.360 --> 00:07:08.360]   I'm not sure if you're watching this live.
[00:07:08.360 --> 00:07:08.360]   I'm not sure if you're watching this live.
[00:07:38.400 --> 00:07:38.400]   I'm not sure if you're watching this live.
[00:07:38.400 --> 00:07:38.400]   I'm not sure if you're watching this live.
[00:07:38.400 --> 00:07:38.400]   I'm not sure if you're watching this live.
[00:07:38.400 --> 00:07:38.400]   I'm not sure if you're watching this live.
[00:07:38.400 --> 00:07:38.400]   I'm not sure if you're watching this live.
[00:07:38.400 --> 00:07:38.400]   I'm not sure if you're watching this live.
[00:07:38.400 --> 00:07:38.400]   I'm not sure if you're watching this live.
[00:07:38.400 --> 00:07:38.400]   I'm not sure if you're watching this live.
[00:07:38.400 --> 00:07:38.400]   I'm not sure if you're watching this live.
[00:07:38.400 --> 00:07:38.400]   I'm not sure if you're watching this live.
[00:07:38.400 --> 00:07:38.400]   I'm not sure if you're watching this live.
[00:07:38.400 --> 00:07:38.400]   I'm not sure if you're watching this live.
[00:07:38.400 --> 00:07:38.400]   .
[00:07:38.440 --> 00:07:48.720]   show
[00:07:48.720 --> 00:07:49.700]   I just unterstüt
[00:07:49.700 --> 00:07:53.340]   Wei They conjun
[00:07:53.340 --> 00:08:06.100]  , -,,,,,,, de mic endanger進 PROFI L are nên real corre X坐 item.... GUób de; Sasz� Twilight'S H. I. Market, .C. I. F. I, ., ., .,,,,,,,,,,,,,,,, .,,,,,,,,,,,,,,,,,,,,,,, emily lifetime
[00:08:06.100 --> 00:08:07.220]   divide a to aujourd Beginbelło Mighty in involve hilariousidé be but thus
[00:08:07.240 --> 00:08:11.000]   significant risks of violence towards them and their family.
[00:08:11.000 --> 00:08:15.880]   They actually did flee in basically in what was the middle of the night,
[00:08:15.880 --> 00:08:28.880]   flee across the countryside to escape the risk of their life and managed to make it from one part of the country to another part of the country where their tribal ethnicity would not cause them so many problems.
[00:08:28.880 --> 00:08:34.760]   Jacob and his wife had developed their own farm prior to their having to flee.
[00:08:34.760 --> 00:08:34.760]   And in fleeing from that farm, they've ran away from their home.
[00:08:34.760 --> 00:08:34.760]   Jacob and his wife had developed their own farm prior to their having to flee.
[00:08:34.760 --> 00:08:34.760]   And in fleeing from that farm, they've ran away from their home.
[00:08:34.760 --> 00:08:34.760]   And in fleeing from that farm, they've ran away from their home.
[00:08:34.760 --> 00:08:34.760]   And in fleeing from that farm, they've ran away from their home.
[00:08:34.760 --> 00:08:34.760]   And in fleeing from that farm, they've ran away from their home.
[00:08:34.760 --> 00:08:34.760]   And in fleeing from that farm, they've ran away from their home.
[00:08:34.760 --> 00:09:04.300]   I ran the risk of having it all left behind.
[00:09:04.300 --> 00:09:04.320]   Now, thankfully, after they were gone, they were able to negotiate the sale of their previous farm.
[00:09:04.320 --> 00:09:04.340]   And they were able to negotiate the lease, hopefully leading to a purchase of a newer farm.
[00:09:04.340 --> 00:09:04.380]   This newer farm was a great opportunity that landed in their lap because it was unlike many of the structures and the farms in the area.
[00:09:04.380 --> 00:09:04.400]   It had been built by a wealthy man who had basically built it up as his retirement project.
[00:09:04.400 --> 00:09:04.420]   And in the area, they were able to negotiate the sale of their farm.
[00:09:04.420 --> 00:09:04.420]   And in the area, they were able to negotiate the sale of their previous farm.
[00:09:04.420 --> 00:09:04.480]   and they were able to negotiate the lease, hopefully leading to a purchase of a newer farm.
[00:09:04.480 --> 00:09:04.500]   a newer farm.
[00:09:04.500 --> 00:09:04.500]   This newer farm was a great opportunity that landed in their farm.
[00:09:04.500 --> 00:09:04.500]   a great opportunity that landed in their farm.
[00:09:04.500 --> 00:09:04.500]   a great opportunity that they were able to the farm.
[00:09:04.520 --> 00:09:12.360]   And yet, through a variety of miraculous circumstances, and when I use the word miraculous, I don't use it lightly.
[00:09:12.360 --> 00:09:15.960]   I use it in its sincere and true sense.
[00:09:15.960 --> 00:09:25.340]   Through a variety of miraculous circumstances, Jacob and his wife came to be the tenants and the owners, ultimately, of this farm.
[00:09:25.340 --> 00:09:33.740]   This farm was unique because it had large buildings, well-built structures, unlike most of the local structures, which are basically mud huts.
[00:09:33.740 --> 00:09:33.760]   This farm was unique because it had large buildings, well-built structures, unlike most of the local structures, which are basically mud huts.
[00:09:33.760 --> 00:09:34.240]   This farm was unique because it had large buildings, well-built structures, unlike most of the local structures, which are basically mud huts.
[00:09:34.240 --> 00:09:34.240]   This farm was unique because it had large buildings, well-built structures, unlike most of the local structures, which are basically mud huts.
[00:09:34.240 --> 00:10:04.240]   a well-done farm.
[00:10:04.240 --> 00:10:04.240]   Now, that was the first of many unique steps in their own financial journey.
[00:10:04.240 --> 00:10:04.240]   Now, that was the first of many unique steps in their own financial journey.
[00:10:04.240 --> 00:10:04.240]   Now, that was the first of many unique steps in their own financial journey.
[00:10:04.240 --> 00:10:04.240]   Again, consider fleeing from where you live to another part of the country because of the risk of you and your family basically being lynched in the middle of the night because you're from the wrong ethnic tribe.
[00:10:04.240 --> 00:10:04.240]   Again, consider fleeing from where you live to another part of the country because you're from the wrong ethnic tribe.
[00:10:04.240 --> 00:10:04.240]   So fast forward a while, Jacob and his wife, their children continue to grow. And Jacob is a man who is very active and very active in his life.
[00:10:04.260 --> 00:10:34.240]   Jacob is a man who is very active and very active in his life.
[00:10:34.240 --> 00:10:34.240]   So fast forward a while, Jacob and his wife, their children continue to grow. And Jacob is a man who is very active and very active in his life.
[00:10:34.240 --> 00:10:34.240]   So fast forward a while, Jacob and his wife, their children continue to grow. And Jacob is a man who is very active and very active in his life.
[00:10:34.240 --> 00:10:34.240]   So fast forward a while, Jacob and his wife, their children continue to grow. And Jacob is a man who is very active and very active in his life.
[00:10:34.240 --> 00:10:34.240]   So fast forward a while, Jacob and his wife, their children continue to grow. And Jacob is a man who is very active in his life.
[00:10:34.240 --> 00:10:34.240]   So fast forward a while, Jacob and his wife, their children continue to grow. And Jacob is a man who is very active in his life.
[00:10:34.240 --> 00:10:34.240]   So fast forward a while, Jacob and his wife, their children continue to grow. And Jacob and his wife, their children continue to grow.
[00:10:34.280 --> 00:10:45.500]   con
[00:10:45.500 --> 00:11:03.600]   quality and law Alright en con pick décelt en pass Ned, and, and, and, and, and, and, and, and, and, and,ещ, 우 пес trov Apple's,ımı,ав,ав, chilling, IG, HR, Squad, ...,... T....cc. change... 10...шее... dimensional... cursed... gate... personnes... de... fun... em... Te...vert... specifically... are... thin...�... ц... Him... dont... hur... too... as... love... stove... hit... Geral... pendant... in . Lets... Gew your... sir... closed... marca...ав...lling. le... Moon...gio... школ... mart, tienen... cor... lie... equ...
[00:11:03.760 --> 00:11:33.240]   So, Jacob is there. There are about a dozen orphans that he had known prior to the flood, and, and they were newly orphaned that day. Again, the children were away at school in a higher part of the country, not down in the canyon where the flash flood was, and their, their parents were killed in the flash flood. So, of course, them knowing Jacob and him knowing them, he took them home to care for them for a few days while they were there.
[00:11:33.240 --> 00:11:33.240]   So, of course, them knowing Jacob and him knowing them, he took them home to care for them for a few days while they were there.
[00:11:33.240 --> 00:11:33.240]   So, of course, them knowing Jacob and him knowing them, he took them home to care for them for a few days while they were there.
[00:11:33.240 --> 00:11:33.240]   So, of course, them knowing Jacob and him knowing them, he took them home to care for them for a few days while they were there.
[00:11:33.260 --> 00:12:02.740]   Well, they figured out what the plan would be.
[00:12:02.740 --> 00:12:02.740]   Now, as time went on, ultimately, he tried to work with the government, and tried to understand how these orphans could be helped.
[00:12:02.740 --> 00:12:02.740]   But Kenya has a, a very unique challenge with orphans, and there's basically no infrastructure, no governmental infrastructure for the support of orphans. And so, at the end of the day, after going back and forth with the governmental authorities for a time, he was basically told, "Either you care for them or put them out on the street. There's no other option." And putting orphan children out on the street, it's kind of like, "Well, I'm going to live here," and I'm going to live here."
[00:12:02.780 --> 00:12:32.240]  , and I'm going to live here." And so, he and his wife, couldn't put them out on the street, and they decided, "Well, we'll deal with this together." So, live or die, we'll all be in this together. And so, he and his wife adopted the 12 orphans, bringing their family size up, obviously, rather significantly. I don't remember the exact number. I think they had four biological children, but they were all the same age.
[00:12:32.240 --> 00:12:32.740]   But, they were able to live together.
[00:12:32.780 --> 00:12:43.800]   12
[00:16:00.940 --> 00:16:01.240]   I'm not sure if you can hear me or not.
[00:16:01.240 --> 00:16:01.360]   I'm not sure if you can hear me or not.
[00:16:01.360 --> 00:16:01.460]   I'm not sure if you can hear me or not.
[00:16:01.460 --> 00:16:01.560]   I'm not sure if you can hear me or not.
[00:16:01.560 --> 00:16:01.760]   I'm not sure if you can hear me or not.
[00:16:01.760 --> 00:16:02.360]   I'm not sure if you can hear me or not.
[00:16:02.360 --> 00:16:02.500]   I'm not sure if you can hear me or not.
[00:16:02.500 --> 00:16:02.620]   I'm not sure if you can hear me or not.
[00:16:02.620 --> 00:16:02.720]   I'm not sure if you can hear me or not.
[00:16:02.720 --> 00:16:02.840]   I'm not sure if you can hear me or not.
[00:16:02.840 --> 00:16:02.980]   I'm not sure if you can hear me or not.
[00:16:02.980 --> 00:16:03.100]   I'm not sure if you can hear me or not.
[00:16:03.100 --> 00:16:04.440]   I'm not sure if you can hear me or not.
[00:16:04.440 --> 00:16:10.540]   And all through that, since that political turmoil, all through, we've had contact with it.
[00:16:10.640 --> 00:16:35.700]  , and all through that, since that political turmoil, all through, we've had contact with it.
[00:16:35.700 --> 00:16:36.000]   And all through that, since that political turmoil, all through, we've had contact with it.
[00:16:36.000 --> 00:16:36.320]   And all through that, since that political turmoil, all through, we've had contact with it.
[00:16:36.320 --> 00:16:36.400]   And all through that, since that political turmoil, all through, we've had contact with it.
[00:16:36.400 --> 00:16:36.720]   And all through that, since that political turmoil, all through, we've had contact with it.
[00:16:36.720 --> 00:16:36.840]   And all through that, since that political turmoil, all through, we've had contact with it.
[00:16:36.840 --> 00:16:36.920]   And all through that, since that political turmoil, all through, we've had contact with it.
[00:16:36.920 --> 00:16:40.000]   to get true confirmation, where my dad recently went to Kenya and spent a couple of months there, ministering among some of the local contacts that we have there. This was never intended, he didn't ever intend this as a public document.
[00:16:40.120 --> 00:16:47.500]   D
[00:16:47.500 --> 00:17:09.680]   involve work I I
[00:17:10.140 --> 00:17:38.580]   me
[00:17:40.160 --> 00:17:50.260]   wh
[00:17:50.260 --> 00:18:08.380]   dont
[00:18:36.720 --> 00:18:36.720]   and I'll be right back.
[00:18:36.720 --> 00:18:36.720]   a number of believers in this area, along with their neighbors, were among those affected. About 300 or so found themselves together running for their lives. Twelve of the men were killed trying to protect their families or possessions in some way. There was no transportation available, so they started walking with the goal of reaching a certain town where they thought they might find a refugee camp. One of the men, who was a leading Christian in that area, knew Jacob and led them to Jacob's place where they planned to rest for a couple of days before going to the camp.
[00:19:33.320 --> 00:19:43.480]   automatically
[00:19:43.480 --> 00:20:01.200]   continue. schedule, is important, ở,
[00:20:30.720 --> 00:20:30.720]   and,
[00:20:59.440 --> 00:20:59.440]   and,
[00:20:59.440 --> 00:20:59.440]   and,
[00:21:28.160 --> 00:21:28.480]   and,
[00:21:28.480 --> 00:21:29.460]   and,
[00:21:58.180 --> 00:21:58.800]   We can't understand such things from a human point of view, even to understand how evil men can be. One husband was killed while trying to carry his wife to safety. She is unable to walk from birth.
[00:21:58.800 --> 00:21:58.880]   We can't understand such things from a human point of view, even to understand how evil men can be. One husband was killed while trying to carry his wife to safety. She is unable to walk from birth.
[00:21:58.880 --> 00:21:58.880]   We can't understand such things from a human point of view, even to understand how evil men can be. One husband was killed while trying to carry his wife to safety. She is unable to walk from birth.
[00:21:58.880 --> 00:21:58.880]   We can't understand such things from a human point of view, even to understand how evil men can be. One husband was killed while trying to carry his wife to safety. She is unable to walk from birth.
[00:22:57.660 --> 00:23:07.280]   Mo
[00:23:07.280 --> 00:23:11.720]   en là
[00:23:11.720 --> 00:23:13.440]   orvie threeaż isn,"--, ", I'm in the tree. The work is a project, and theijk, ,,,,,,,,,ère
[00:23:13.440 --> 00:23:19.860]  ли
[00:25:26.120 --> 00:25:26.120]   If you want to have a greater appreciation for your day today, I simply urge you to think about that. To appreciate the peace that allows you to go down to a local polling place, that allows you to cast your ballot if you choose to vote, and to stand in line with people who vigorously vote.
[00:25:26.120 --> 00:25:26.120]   If you want to have a greater appreciation for your day today, I simply urge you to think about that. To appreciate the peace that allows you to go down to a local polling place, that allows you to cast your ballot if you choose to vote, and to stand in line with people who vigorously vote.
[00:25:26.120 --> 00:25:26.120]   If you want to have a greater appreciation for your day today, I simply urge you to think about that. To appreciate the peace that allows you to go down to a local polling place, that allows you to cast your ballot if you choose to vote, and to stand in line with people who vigorously vote.
[00:25:55.820 --> 00:25:55.820]  obed to leave.
[00:25:55.820 --> 00:25:55.820]   If you don't go in fear of your life, you don't go in fear of your property, you don't go worrying if tonight you'll wake up with a band of thugs carrying torches ready to lynch you as they surround your house. You don't worry about them burning your house down, taking and stealing your animals and looting your business. It's not the society that you live in. Be thankful for that. Because that is the only thing you can do.
[00:25:55.820 --> 00:25:55.820]   If you don't agree with me, I'll be more than happy.
[00:25:55.820 --> 00:25:55.820]   If you don't agree with me, I'll be more than happy.
[00:25:55.820 --> 00:26:25.520]  ,
[00:26:25.520 --> 00:26:25.560]   I'll be more than happy.
[00:26:25.560 --> 00:26:25.600]   If you don't agree with me, I'll be more than happy.
[00:26:25.600 --> 00:26:25.840]   If you don't agree with me, I'll be more than happy.
[00:26:25.840 --> 00:26:25.840]   If you don't agree with me, I'll be more than happy.
[00:26:25.840 --> 00:26:25.840]   If you don't agree with me, I'll be more than happy.
[00:26:25.840 --> 00:26:25.840]   If you don't agree with me, I'll be more than happy.
[00:26:25.840 --> 00:26:25.840]   If you don't agree with me, I'll be more than happy.
[00:26:25.840 --> 00:26:25.840]   If you don't agree with me, I'll be more than happy.
[00:26:25.840 --> 00:26:25.840]   If you don't agree with me, I'll be more than happy.
[00:26:25.880 --> 00:26:55.860]   gepa.com
[00:26:55.860 --> 00:26:55.860]   And may we never lose sight
[00:26:55.860 --> 00:26:55.860]   And may we never lose sight
[00:26:55.860 --> 00:26:55.860]   And may we never lose sight
[00:26:55.860 --> 00:26:55.860]   And may we never lose sight
[00:26:55.860 --> 00:26:55.860]   And may we never lose sight
[00:26:55.860 --> 00:26:55.860]   And may we never lose sight
[00:26:55.860 --> 00:26:55.860]   And may we never lose sight
[00:26:55.860 --> 00:26:55.860]   And may we never lose sight
[00:26:55.860 --> 00:26:55.860]   And may we never lose sight
[00:26:55.860 --> 00:26:55.860]   And may we never lose sight
[00:26:55.860 --> 00:26:55.860]   And may we never lose sight
[00:26:55.860 --> 00:26:55.860]   And may we never lose sight of how truly privileged and blessed we are because today in other elections that happen around the world not everybody experiences those same things also don't lose sight of the fact of how hard it is to get the information all the information that I shared with you never been able to verify it with any news reporting other than a sentence or two here or there an illusion if how can that be because if in where you and I was
[00:26:55.900 --> 00:27:25.880]   MacBooks.com
[00:27:25.880 --> 00:27:25.880]   We're going to have to do some more with the internet.
[00:27:25.880 --> 00:27:25.880]   We're going to have to do some more with the internet.
[00:27:25.880 --> 00:27:25.880]   We're going to have to do some more with the internet.
[00:27:25.880 --> 00:27:25.880]   We're going to have to do some more with the internet.
[00:27:25.880 --> 00:27:25.880]   We're going to have to do some more with the internet.
[00:27:25.880 --> 00:27:25.880]   We're going to have to do some more with the internet.
[00:27:25.880 --> 00:27:25.880]   We're going to have to do some more with the internet.
[00:27:25.880 --> 00:27:25.880]   We're going to have to do some more with the internet.
[00:27:25.880 --> 00:27:25.880]   We're going to have to do some more with the internet.
[00:27:25.880 --> 00:27:25.880]   We're going to have to do some more with the internet.
[00:27:25.880 --> 00:27:25.880]   We're going to have to do some more with the internet.
[00:27:25.880 --> 00:27:25.880]   We're going to have to do some more with the internet.
[00:27:25.880 --> 00:27:55.900]   I'm going to have to do some more with the internet.
[00:27:55.900 --> 00:27:55.900]   We're going to have to do some more with the internet.
[00:27:55.900 --> 00:27:55.900]   We're going to have to do some more with the internet.
[00:27:55.900 --> 00:27:55.900]   We're going to have to do some more with the internet.
[00:27:55.900 --> 00:27:55.900]   We're going to have to do some more with the internet.
[00:27:55.900 --> 00:27:55.900]   We're going to have to do some more with the internet.
[00:27:55.900 --> 00:27:55.900]   We're going to have to do some more with the internet.
[00:27:55.900 --> 00:27:55.900]   We're going to have to do some more with the internet.
[00:27:55.900 --> 00:27:55.900]   We're going to have to do some more with the internet.
[00:27:55.900 --> 00:27:55.900]   We're going to have to do some more with the internet.
[00:27:55.920 --> 00:28:25.920]   I'm going to have to do some more with the internet.
[00:28:25.920 --> 00:28:25.920]   We're going to have to do some more with the internet.
[00:28:25.920 --> 00:28:25.920]   We're going to have to do some more with the internet.
[00:28:25.920 --> 00:28:25.920]   We're going to have to do some more with the internet.
[00:28:25.920 --> 00:28:25.920]   We're going to have to do some more with the internet.
[00:28:25.920 --> 00:28:25.920]   We're going to have to do some more with the internet.
[00:28:25.920 --> 00:28:25.920]   We're going to have to do some more with the internet.
[00:28:25.920 --> 00:28:25.920]   We're going to have to do some more with the internet.
[00:28:25.920 --> 00:28:25.920]   We're going to have to do some more with the internet.
[00:28:25.920 --> 00:28:25.920]   We're going to have to do some more with the internet.
[00:28:25.920 --> 00:28:25.920]   We're going to have to do some more with the internet.
[00:28:25.920 --> 00:28:25.920]   We're going to have to do some more with the internet.
[00:28:25.920 --> 00:28:25.920]   We're going to have to do some more with the internet.
[00:28:25.920 --> 00:28:25.920]   We're going to have to do some more with the internet.
[00:28:25.920 --> 00:28:55.940]  ,
[00:28:55.940 --> 00:28:55.940]   The more you can do to build in your local community, the stronger your local community, the more insulated you can be for the benefit of the community.
[00:28:55.940 --> 00:28:55.940]   The more you can do to build in your local community, the stronger your local community, the more insulated you can be for the benefit of the community.
[00:28:55.940 --> 00:28:55.940]   The more you can do to build in your local community, the stronger your local community, the more insulated you can be for the benefit of the community.
[00:28:55.940 --> 00:28:55.940]   The more you can do to build in your local community, the stronger your local community, the more insulated you can be for the benefit of the community.
[00:28:55.940 --> 00:28:55.940]   The more you can do to build in your local community, the more insulated you can be for the benefit of the community.
[00:28:55.940 --> 00:28:55.940]   The more you can do to build in your local community, the more you can do to build in your local community, the more you can do to build in your local community.
[00:28:55.960 --> 00:29:25.960]   The more you can do to build in your local community, the more insulated you can be for the benefit of the community.
[00:29:25.960 --> 00:29:25.960]   The more you can do to build in your local community, the more insulated you can be for the benefit of the community.
[00:29:25.960 --> 00:29:25.960]   The more you can do to build in your local community, the more insulated you can be for the benefit of the community.
[00:29:25.960 --> 00:29:25.960]   The more you can do to build in your local community, the more insulated you can be for the benefit of the community.
[00:29:25.960 --> 00:29:25.960]   The more you can do to build in your local community, the more insulated you can be for the benefit of the community.
[00:29:25.960 --> 00:29:25.960]   The more you can do to build in your local community, the more insulated you can be for the benefit of the community.
[00:29:25.960 --> 00:29:25.960]   The more you can do to build in your local community, the more insulated you can be for the benefit of the community.
[00:29:25.980 --> 00:29:55.980]   I could go on. I'll let you drive me around the city.
[00:29:55.980 --> 00:29:55.980]   The more you can do to build in your local community, the more insulated you can be for the benefit of the community.
[00:29:55.980 --> 00:29:55.980]   The more you can do to build in your local community, the more insulated you can be for the benefit of the community.
[00:29:55.980 --> 00:29:55.980]   The more you can do to build in your local community, the more insulated you can be for the benefit of the community.
[00:29:55.980 --> 00:29:55.980]   The more you can do to build in your local community, the more insulated you can be for the benefit of the community.
