
[00:00:00.000 --> 00:00:19.180]   Thank you so much for having me. Thank you all for being here today and wanting to learn more
[00:11:48.220 --> 00:11:52.220]   incorporates many of these techniques like synth ID to make sure that you have some sort of digital
[00:11:52.220 --> 00:11:58.860]   water marking for the, for the assets themselves. So now we're going to get into it. These are some
[00:11:58.860 --> 00:12:03.100]   examples that I thought might be fun to share to show just how far we've come in the last couple of
[00:12:03.100 --> 00:12:07.740]   years, because I think being here, we get very sucked into the Bay Area bubble, and we don't really kind
[00:12:07.740 --> 00:12:13.500]   of take a step back and appreciate how far, you know, the world has changed in just a matter of months.
[00:12:14.140 --> 00:12:21.580]   So this is an example of one of the papers that was produced around 2023. So released in 2023,
[00:12:21.580 --> 00:12:27.100]   research happening around 2022, for text to video, a raccoon wearing a black jacket dancing in slow
[00:12:27.100 --> 00:12:35.020]   motion in front of the pyramids. So just have that in your brain when you see it. This is Walt, circa 2023.
[00:12:35.660 --> 00:12:42.940]   So very, very choppy, like really, really hard to have even like, that's not even eight seconds worth of
[00:12:42.940 --> 00:12:49.900]   a frame. LTX video from 2024. This is one of the ones that were available on Hugging Face. Cling 2.0,
[00:12:49.900 --> 00:13:00.140]   which I did with Fall. Heck yeah. Yep. Yeah. So, which I did with Fall, released in 2025. And then VO2 2024,
[00:13:00.700 --> 00:13:06.380]   a very cute little raccoon, but I'm not sure how Willy's dancing. But this is just kind of a splattering
[00:13:06.380 --> 00:13:12.220]   of how the world has changed in the space of just a couple of years. And then when you put the same
[00:13:12.220 --> 00:13:16.700]   prompt through VO3, you get this.
[00:13:20.300 --> 00:13:28.060]   Very stylish raccoon. So image to video, transforming static images into dynamic video content. So you
[00:13:28.060 --> 00:13:37.180]   can see here an image of a woman and her puppy, a woman I can only assume is in Texas, walking very
[00:13:37.180 --> 00:13:44.540]   slowly forward on the way to a gunfight. And also different stylized images of a person in a single
[00:13:44.540 --> 00:13:52.060]   frame being applied to different scenarios. So running towards the camera, tractor beam taking off,
[00:13:52.060 --> 00:13:57.420]   being lifted into the sky, again, all steered via natural language. Prompt rewriting is something that
[00:13:57.420 --> 00:14:03.820]   we've also released in VO3. So the ability to take that very, very simple sentence before of a raccoon
[00:14:03.820 --> 00:14:09.900]   wearing a black jacket dancing in slow motion in front of the pyramids, and turn it into something a bit more
[00:14:09.900 --> 00:14:18.620]   fully formed that the VO is as much better able or better equipped to understand. And so have that in
[00:14:18.620 --> 00:14:23.580]   your brain, as well as the the concept of sound generation. So both music, sound effects and
[00:14:23.580 --> 00:14:30.380]   background noises. And we'll take a look at what that simple prompt is now.
[00:14:38.300 --> 00:14:43.420]   I still like get blown away about how much detail there is, like being, you can almost see the
[00:14:43.420 --> 00:14:52.940]   reflections in the eyes for the things as they walk forward. And then this is from our team in Paris,
[00:14:52.940 --> 00:14:59.980]   and they are very, very excited to have it shared today. Does anybody know French in the audience?
[00:15:00.700 --> 00:15:05.020]   Okay. Amazing. The rest of us will have a translation in a second.
[00:15:05.020 --> 00:15:10.540]   It's like Daft Punk.
[00:15:14.300 --> 00:15:17.980]   I can't believe this new V.O. model. It is amazing.
[00:15:17.980 --> 00:15:19.180]   I can't believe this new V.O. model. It is amazing.
[00:15:19.180 --> 00:15:21.020]   I can't believe this new V.O. model. It is amazing.
[00:15:21.020 --> 00:15:22.620]   I can't believe this new V.O. model. It is amazing.
[00:15:22.620 --> 00:15:25.020]   I can't believe this new V.O. model. It is amazing.
[00:15:25.020 --> 00:15:27.020]   I can't believe this new V.O. model. It is amazing.
[00:15:27.020 --> 00:15:29.020]   I can't believe this new V.O. model. It is amazing.
[00:15:29.020 --> 00:15:37.740]   It was a good V.O. model. You know, I don't believe there is a good or a bad V.O. model.
[00:15:37.740 --> 00:15:41.020]   So, what do you think now about this artificial intelligence champion?
[00:15:41.020 --> 00:15:46.060]   I think the trainer's strategy is good, not on the technical side and tactical side, but the important is the V.O. 3.0.
[00:15:46.060 --> 00:15:49.100]   Boss, humans are on the point of creating the AGI. Do we have to contact them?
[00:15:49.100 --> 00:15:49.900]   What do they do?
[00:15:49.900 --> 00:15:52.700]   They generate images of starter packs and make videos stupid videos.
[00:15:52.700 --> 00:15:53.900]   They are not yet ready.
[00:15:53.900 --> 00:16:02.380]   V.O. can make us sing anything.
[00:16:02.380 --> 00:16:09.020]   And for anyone who is curious, the translation is, so V.O. means I see, I see, I see in Spanish.
[00:16:09.020 --> 00:16:14.060]   And then the guy responded with, yeah, I don't understand what you're saying because I'm French, actually.
[00:16:14.060 --> 00:16:17.100]   Artificial intelligence, artificial intelligence.
[00:16:18.300 --> 00:16:26.300]   And then, also, that's the interview. And Boss, the humans are about to create AGI, should we contact them?
[00:16:26.300 --> 00:16:32.860]   They're not ready yet. So, amazing. Cool.
[00:16:32.860 --> 00:16:40.620]   Actually, I'm going to zoom to the next, zoom to the next one. So, how do you access it? Big question.
[00:16:41.660 --> 00:16:45.980]   Right now, we have a few different ways to access the V.O. 3.0 models. One is through the Google AI
[00:16:45.980 --> 00:16:51.500]   Ultra Plan, which is available in many different countries, including the UK just recently.
[00:16:51.500 --> 00:16:59.020]   The Google AI Pro subscribers. So, being able to access via the Gemini mobile app for a limited number
[00:16:59.020 --> 00:17:05.020]   of uses. And then, also, V.O. 3.0 is available in private preview, currently in Vertex AI. V.O. 2.0,
[00:17:05.020 --> 00:17:12.060]   also available via Vertex AI for the Gemini APIs. Hoping to bring them to AI Studio. Crossing fingers,
[00:17:12.060 --> 00:17:18.380]   but we'll see. And then, you can also fill out a form for early access if you would like it. QR code
[00:17:18.380 --> 00:17:25.820]   coming shortly. So, take a picture of that if you would like, with the form to go submit and test it
[00:17:25.820 --> 00:17:33.260]   out. This is also, while you're looking, a code sample of how easy it is to use with just your output
[00:17:33.260 --> 00:17:38.460]   bucket where you would like the video to be deposited. If you have an input image that you
[00:17:38.460 --> 00:17:46.220]   want to use as a starter. Some things around aspect ratios and the like. So, toggling between
[00:17:46.220 --> 00:17:51.340]   different models or being able to specify some of these is just a handful of lines of code, which is
[00:17:51.340 --> 00:17:57.900]   pretty magical. So, this was intended to be a live demo. I'm not sure if I can tempt the demo gods. And
[00:17:57.900 --> 00:18:04.620]   also, I'm probably like close to being over time. But I wanted to see how well I could replicate a
[00:18:04.620 --> 00:18:12.860]   commercial with V.O. that seemed pretty simple. So, the commercial is this one, which took my name.
[00:18:12.860 --> 00:18:15.100]   Hey, my name's Paige. And what makes the Chick-fil-A chicken
[00:18:15.100 --> 00:18:32.300]   So, that was the, that was the input video. The process for replicating it with V.O.2 is you give
[00:18:32.300 --> 00:18:39.500]   Gemini the original video, have it create a really, really detailed plan. Segment into prompts to like
[00:18:39.500 --> 00:18:46.060]   handle the eight second limitation. Used music effects to create the background track, which was a
[00:18:46.060 --> 00:18:52.540]   combination of down home farm and slow guitar. And then put it all in Camtasia, stitch it together with
[00:18:52.540 --> 00:18:58.940]   transitions. Whole process was relatively quick, but it also took a lot of thinking and a lot of work to get to
[00:18:58.940 --> 00:19:04.460]   that final assembly stage. And it looked like this. So, this is
[00:19:04.460 --> 00:19:13.020]   Hey, my name's Paige. And what makes a Chick-fil-A chicken sandwich original to me is the crispiness
[00:19:13.020 --> 00:19:18.860]   of the breading and a tenderness of the filet. It's tasty. It's warm. It's total satisfaction.
[00:19:19.980 --> 00:19:28.860]   And that was, again, using V.O.2, using Gemini text to speech, and stitching it all together myself. And I
[00:19:28.860 --> 00:19:34.140]   actually like that one better than the original commercial, but your mileage may vary. Process with
[00:19:34.140 --> 00:19:39.180]   V.O.3. You have the original video, you generate the description, you give it to V.O.3, and you see how
[00:19:39.180 --> 00:19:47.180]   well it does. This took just the span of like submitting the prompt to V.O.3. "Hey, my name's
[00:19:47.180 --> 00:19:52.380]   Paige. And what makes the Chick-fil-A chicken sandwich original to me is the crispiness of the breading and
[00:19:52.380 --> 00:19:53.180]   the tenderness of the filet." So, again, one prompt. And it was able to produce this. "Hey, my name's Paige. And what makes the Chick-fil-A chicken sandwich original to me is the crispiness of the breading and the tenderness of the filet."
[00:19:53.180 --> 00:20:07.180]   So, again, one prompt. And it was able to produce this. "Hey, my name's Paige, and what makes the Chick-fil-A chicken sandwich original to me is the crispiness of the breading and the tenderness of the filet."
[00:20:07.180 --> 00:20:17.180]   Incredible. So, takeaways. V.O.3, pretty magical. We're committed to expanding it, expanding access as
[00:20:17.180 --> 00:20:31.180]   quick as we can, adding controls around durability. And thank you so much. That is not me actually waving at the camera. That is a static photo of me that has been V.O.3 animated. Excellent. Thank you.
[00:20:31.180 --> 00:20:32.180]   Thank you.
[00:20:32.180 --> 00:20:36.840]   We'll see you next time.

