
[00:00:00.000 --> 00:00:10.720]   welcome welcome everyone i'm joe i'm from the startups team here at anthropic and we're so
[00:14:51.440 --> 00:15:00.000]   so as we all know we're using all these cursor windsurf cloud cloud code to write massive massive
[00:15:00.000 --> 00:15:04.240]   amounts of code the amount of code that developers are writing we think is going to go up 10x over the
[00:15:04.240 --> 00:15:10.560]   next year or two but what that means is that you know vibe coding which we all talk about does not
[00:15:10.560 --> 00:15:17.040]   equal vibe engineering how do you get code that's scalable reliable performant fits into your architectural
[00:15:17.040 --> 00:15:21.920]   design patterns and that's still left to the code review process but code review is not going to
[00:15:21.920 --> 00:15:26.320]   scale teams have trouble keeping up today it's not going to scale for 10x the amount of code
[00:15:26.320 --> 00:15:34.240]   bitto's built an ai code review that plugs into github gitlab bitbucket works with over 50 languages
[00:15:34.240 --> 00:15:39.920]   our focus is really especially with sonnet having a really high quality model that provides a human-like
[00:15:39.920 --> 00:15:45.360]   code review focuses on the critical things our biggest thing is really about more signal and less
[00:15:45.360 --> 00:15:50.640]   noise how do we provide you actionable important suggestions let me show it to you so we've got a
[00:15:50.640 --> 00:15:58.240]   pr here this is gitlab that works kind of the same in all the platforms so once you create a pr
[00:15:58.240 --> 00:16:05.360]   bitto's fired bitto gets called and we first start by summarizing your pr this doesn't require
[00:16:05.360 --> 00:16:10.640]   any documentation or any comments we just look at the diffs we look at your code and we summarize it
[00:16:10.640 --> 00:16:16.400]   then we give you a quick kind of overview of what we found in the pr so here we found three
[00:16:16.400 --> 00:16:22.880]   actionable suggestions some things about missing resources a cache implementation that needs to be
[00:16:22.880 --> 00:16:29.120]   impacted and then a class cast exception error which we'll talk about next we provide a change list this
[00:16:29.120 --> 00:16:34.400]   change list gives you it's kind of a double click on the summary summarizes the key changes in your pr and
[00:16:34.400 --> 00:16:39.120]   then looks at what are the diffs that comprise that so you as a reviewer you get a quick
[00:16:39.120 --> 00:16:43.520]   double click on what actually matters in this pr now let's go through a couple of these suggestions
[00:16:43.520 --> 00:16:50.080]   so this first one is really about this resource management resource manager class is talking about a
[00:16:50.080 --> 00:16:54.400]   permanent resource leak if you don't fix this so we give you a detailed code suggestion
[00:16:54.960 --> 00:16:59.120]   which you can then one click apply as a commit or you can batch those commits
[00:16:59.120 --> 00:17:07.920]   the next suggestion that we'll look at really briefly is this non-thread safe static cache implementation
[00:17:07.920 --> 00:17:14.320]   and so we again we've given you a code suggestion we're suggesting a concurrent hash map instead of a
[00:17:14.320 --> 00:17:19.760]   hash map to avoid race conditions now let's talk a little bit about this third suggestion which i think
[00:17:19.760 --> 00:17:26.080]   is really important and highlights how we use sonnet so we really use sonnet to provide that human-like
[00:17:26.080 --> 00:17:31.120]   code review and those reasoning capabilities we've done a lot of work to really understand your code base
[00:17:31.120 --> 00:17:36.480]   and that's where sonnet kind of comes in so if you look here what we've got is this network data fetcher
[00:17:36.480 --> 00:17:43.600]   class it has been cast to a link list this is java if you're not familiar with java i'll just kind of
[00:17:43.600 --> 00:17:49.280]   walk you through it but really what's happening here is that this data uh you can see there's a data
[00:17:49.280 --> 00:17:55.120]   processor constructor that then cast something to an array list which is going to cause a class cast
[00:17:55.120 --> 00:18:01.520]   exception in production now how did the how did we find this well what bido has done is that it looked
[00:18:01.520 --> 00:18:06.400]   through the code and said hey for this network data fetcher you were trying to instantiate this data
[00:18:06.400 --> 00:18:13.200]   processor object this data processor object then well what is that we went and looked crawled your code
[00:18:13.200 --> 00:18:18.080]   understood it through abstract syntax trees a symbol index and sonnets reasoning and said hey this is cast
[00:18:18.080 --> 00:18:23.120]   as an array list and so now this array list you know is going to collide with this link list and going
[00:18:23.120 --> 00:18:28.160]   to create an exception in production this is probably an error that most humans wouldn't even find let
[00:18:28.160 --> 00:18:33.120]   alone you know most systems now if we want to shift this left we can even bring this to your ide so here's
[00:18:33.120 --> 00:18:38.800]   the same changes in your ide you can easily kind of right click and say hey i want to review my local
[00:18:38.800 --> 00:18:46.960]   changes stage commits etc run review those local changes the same agent runs in your ide again being driven by sonnet
[00:18:47.600 --> 00:18:52.800]   um and we provide the the output and then you can one click apply those suggestions
[00:18:52.800 --> 00:19:01.040]   uh so that's uh that's a little bit about how it how it works uh maybe i'll just mention one last thing
[00:19:01.040 --> 00:19:09.680]   so we have hundreds of customers and you know the question is well what impact is this really having
[00:19:09.680 --> 00:19:14.880]   so prs are closing in one-tenth a time so that pr that used to close take 50 hours to go from open
[00:19:14.880 --> 00:19:22.640]   to merge now goes open to merge in five hours these are three companies hundreds of engineers and bito's
[00:19:22.640 --> 00:19:28.720]   providing 80-ish percent of the feedback that a pr receives so we're taking care of the vast majority of
[00:19:28.720 --> 00:19:33.520]   the work and it's really being driven by the fact that ai provides that feedback in three minutes or four
[00:19:33.520 --> 00:19:36.560]   four minutes instead of one or two days thank you
[00:19:36.560 --> 00:19:47.680]   let's talk about something different so my name is hike and i want to talk about refusion so refusion
[00:19:47.680 --> 00:19:54.480]   is a generative music startup here in san francisco and we work on training frontier music models
[00:19:55.120 --> 00:20:00.480]   and then create an incredible product experience for crafting and exploring the art of music and our
[00:20:00.480 --> 00:20:06.960]   song lyrics writing pipeline is powered by claude so our core thing that we train is a
[00:20:06.960 --> 00:20:13.040]   diffusion transformer we train this from scratch and we think it's the most creative music model
[00:20:13.040 --> 00:20:18.080]   in the world we train it for quality for diversity for speed for controllability
[00:20:18.080 --> 00:20:24.560]   and as a fun anecdote this square of pixels here represents 30 seconds of music in our latent space
[00:20:24.560 --> 00:20:33.120]   um it's kind of crazy to think about how compressed that is but uh writing fantastic song lyrics is a
[00:20:33.120 --> 00:20:40.560]   crucial part of great songs um and current llms are um good at a very many things but writing good
[00:20:40.560 --> 00:20:46.640]   song lyrics they're they're still pretty cringy um but claude is the best for sure and we built an agent
[00:20:46.640 --> 00:20:52.000]   called ghostwriter that's essentially meant to help you write and refine song lyrics as an artist
[00:20:52.720 --> 00:20:59.280]   and basically focusing on you know diversity humor taste what flowing with the music itself and this
[00:20:59.280 --> 00:21:05.680]   is a crucial tool um in our product uh it's been used tens of millions of times now to to write song
[00:21:05.680 --> 00:21:13.600]   lyrics so let's go demo some stuff if we pop over to my computer so this is our home page refusion.com
[00:21:13.600 --> 00:21:18.960]   check it out it's really fun there's a lot of amazing music to explore on here um i will
[00:21:20.720 --> 00:21:32.640]   just punch in something here uh let's say experimental indie trip hop about the feeling of getting better
[00:21:32.640 --> 00:21:41.520]   after being really sick there's a song concept pop in a couple of those um in the meantime let me just
[00:21:41.520 --> 00:21:47.040]   play a song and there's a there's a ton of really deep editing workflows here for getting in stuff but also
[00:21:47.040 --> 00:21:51.120]   just getting started you can just type something in and start listening to music and go from there
[00:21:51.120 --> 00:21:55.840]   so let me just play a song from the the home page and then we'll go back and listen to what we made
[00:22:03.520 --> 00:22:08.240]   don't downplay my brine i've been clocking kills since the ink dried on that line you ain't copping
[00:22:08.240 --> 00:22:13.760]   these souls now limited supply too many laws left cold in the breeze then they mama selling gumbo just
[00:22:13.760 --> 00:22:19.120]   to cover the fees please flip the corner cash the equity that's the creed but most is crashing out
[00:22:19.120 --> 00:22:25.280]   living life on the speed in the dry cool breeze thick hair like alicia keys told god your manifest me
[00:22:25.280 --> 00:22:30.160]   queen take it out fill the closet let us stun on the scene but i'm cut different ain't a rapper who
[00:22:30.160 --> 00:22:37.440]   i run my steez news all right so let's listen to some of the songs here we've got the reawakening
[00:22:41.200 --> 00:22:46.640]   let's see what the lyrics look like here written by a ghostwriter with claude
[00:22:46.640 --> 00:22:53.120]   my muscles forgot what they're meant to do
[00:22:53.680 --> 00:23:00.480]   the ceiling fan spins in slow motion while i gather strength to move
[00:23:00.480 --> 00:23:14.240]   fingertips press against the mattress testing if i can hold my way pretty good let's see dawn fade
[00:23:23.120 --> 00:23:28.240]   so whenever ghostwriter generates we have uh kind of an iterative process of thinking about the
[00:23:28.240 --> 00:23:33.280]   concept of a song ideating about actually the context of the genre you're writing for because
[00:23:33.280 --> 00:23:38.800]   say the lyrics of a drum and bass song are super different the lyrics of a you know a folk song
[00:23:38.800 --> 00:23:45.200]   that might be storytelling um and that process of just trying to get something that actually fits with
[00:23:45.200 --> 00:23:52.160]   the music is actually really hard and subtle and requires a lot of iteration and refinement so an example
[00:23:52.160 --> 00:23:59.040]   of some of the kind of deep editing stuff we can do here so we can do remixing to create variations to
[00:23:59.040 --> 00:24:05.520]   extend from a certain section to replace a section actually to swap the stems like the vocals and the
[00:24:05.520 --> 00:24:11.760]   sound while keeping the other one the same and even capturing this idea of a vibe which is like a short
[00:24:11.760 --> 00:24:17.040]   audio snippet that you can then use the prompt instead of text so you can mix and match these things
[00:24:17.040 --> 00:24:22.480]   and just get really deep in your refinement and then with ghostwriter let's say if we were to use a
[00:24:22.480 --> 00:24:30.400]   prompt here um we were to use the lyrics here actually throw them up then we could type in here like
[00:24:31.040 --> 00:24:43.680]   add a spoken word intro in french and just pop that in and start start iterating so yeah that's the that's the
[00:24:43.680 --> 00:24:48.960]   app and the product and it's it's a really fun experience and um claude's claude's definitely the
[00:24:48.960 --> 00:24:53.920]   best for this kind of stuff so yeah come talk to me come talk to henry if you're interested in music and uh
[00:24:53.920 --> 00:25:04.960]   thanks um hey everyone i'm drew from the co-founder and ceo of create uh we're an ai text to app builder
[00:25:04.960 --> 00:25:12.160]   that lets anybody build working software products um on the internet and uh the exciting thing about
[00:25:12.160 --> 00:25:18.560]   create is it's an ai agent that can take in just natural language prompts and go end to end uh on
[00:25:18.560 --> 00:25:23.520]   building things so we got our start in web apps and claude is one of the base models that powers a lot
[00:25:23.520 --> 00:25:30.320]   of our code writing for the agent um but we're really excited about um our new mobile app builder
[00:25:30.320 --> 00:25:34.240]   that is for the first time letting people actually build mobile apps and so today i thought i'd just
[00:25:34.240 --> 00:25:42.640]   go ahead and show it off so i'll switch over to the live demo um and we're in beta but uh somebody just
[00:25:42.640 --> 00:25:50.240]   actually emailed me an idea a few weeks ago for a family memory app that lets people uh basically
[00:25:50.240 --> 00:25:59.920]   store their memories on their phones uh upload their uh different images and oops live demos
[00:26:09.600 --> 00:26:16.080]   uh store their different images and uh get going on building their family memory app so let me actually
[00:26:16.080 --> 00:26:22.800]   go create a new project and type this in and say make an ios app for this
[00:26:22.800 --> 00:26:30.800]   and as you type creates agent starts getting to work um it's going to start building out all the core
[00:26:30.800 --> 00:26:38.000]   pages um as well as the back-end functionality for what you need um and so it will also pull in other
[00:26:38.560 --> 00:26:45.440]   integrations you can you might need to use um and go ahead and get set up i uh i am actually going
[00:26:45.440 --> 00:26:51.040]   to go ahead and switch to some pre-loaded things so the basic idea is you prompt uh and you're able
[00:26:51.040 --> 00:26:56.880]   to actually generate full applications um the cool thing about create oh there we go starting to build a
[00:26:56.880 --> 00:27:03.920]   little bit um is that um it also comes built in with back-ends and front-ends and everything you kind of need
[00:27:03.920 --> 00:27:10.160]   from the uh from the database to the actual core off um and so here it's actually building out my family
[00:27:10.160 --> 00:27:16.960]   memory's front-end but then in a second you'll see that also issues the like schemas uh for the database
[00:27:16.960 --> 00:27:21.760]   and goes ahead and deploys a full database and hooks up all the functions needed to talk to this front-end
[00:27:21.760 --> 00:27:27.840]   we are really excited about the fact that non-technical users in the hundreds of thousands are starting to
[00:27:27.840 --> 00:27:33.520]   pour into create to actually fully build apps um without needing to go to the id and truly just
[00:27:33.520 --> 00:27:38.720]   work from prompt land um and so one of the biggest things that we've been working on is actually the
[00:27:38.720 --> 00:27:45.520]   ability to also fully submit from create as well um create after your app is done then goes ahead and
[00:27:45.520 --> 00:27:50.560]   submits your app straight to the app store and builds a build for you um there's actually an app we
[00:27:50.560 --> 00:27:56.560]   built uh in a day um you can just in one click publish it and submit to the app store and this
[00:27:56.560 --> 00:28:02.160]   will go ahead and kick off a build um we actually already started uh got this app in the app store
[00:28:02.160 --> 00:28:06.480]   so if anyone here wants to download it and play with it it's an ai app that lets you very quickly take
[00:28:06.480 --> 00:28:12.720]   drawings and turn it into uh ai images called draw daily um and then in the beta the thing that's been the
[00:28:12.720 --> 00:28:18.560]   most exciting uh for us is just seeing all the cool apps that are being created so we just hosted a demo day
[00:28:18.560 --> 00:28:24.320]   and this is william and he is making an app to help you memorize meaningful connections
[00:28:24.320 --> 00:28:31.840]   and details of people's lives and pull it up and so you just talk to the app and it pulls up
[00:28:31.840 --> 00:28:39.520]   special information about your contact info and and helps you remember anything for sales calls or
[00:28:39.520 --> 00:28:47.280]   anything else you want or we also had a student at berkeley who's building the scholarship app that he's
[00:28:47.280 --> 00:28:53.440]   always wanted um where he's constantly filling out grants um and unable to kind of do it automatically
[00:28:53.440 --> 00:28:59.520]   and so he's building scholar gpt and a lot of these like the core agent of how they built we're using
[00:28:59.520 --> 00:29:03.840]   you know prompt caching tool calling a lot of the core primitives that anthropic makes available to
[00:29:03.840 --> 00:29:10.000]   actually get them to success and just to show a few more um blaze is actually a basketball coach
[00:29:10.000 --> 00:29:15.840]   and for the first time ever he's using create to get rid of all of these spreadsheets and drills he does for
[00:29:15.840 --> 00:29:25.840]   his uh coaches and instead uh you build a full player coach app that lets them uh download uh drills uh put
[00:29:25.840 --> 00:29:33.600]   their lesson plan out and then uh see animations on in the app of how they uh should be uh getting used
[00:29:34.240 --> 00:29:40.240]   and then finally uh we've also had personal finance apps being created um so like a personal ai money
[00:29:40.240 --> 00:29:47.600]   coach for gen z with full rag um that also has a claude powered uh assistant that can figure out your
[00:29:47.600 --> 00:29:52.560]   monthly income and give you personalized financial recommendations and so part of what we were like
[00:29:52.560 --> 00:29:58.480]   most excited about is just the explosion of who and how uh software will be made um when you give people
[00:29:58.480 --> 00:30:07.120]   of these tools and very excited to partner with uh claude to power all of this thank you
[00:30:07.120 --> 00:30:08.120]   Thank you.
[00:30:08.120 --> 00:30:38.100]   Thank you.

