
[00:00:00.000 --> 00:00:21.620]   Since all the questions already got asked, who built an MCP server and it didn't work?
[00:02:49.980 --> 00:03:12.980]   And I'm happy to announce that with VS Code's upcoming release v1.10. Don't get it wrong. But it's already an insiders now. So download it. We actually have the full spec support and that's I want to talk about here about all the other things that people are not using yet. Yes, that's why I'm clapping.
[00:03:12.980 --> 00:03:24.980]   Okay, so the message is if you go with full MCP spec support, you will can unlock these rich stateful interactions that MCP vision is really outlining on how agents should work together.
[00:03:24.980 --> 00:03:41.980]   Starting with the most obvious tools. So not going too deep here, but tools reflect actions. Well defined performing actions and mostly easy mapping to function calling if you're used to that. And on the right side, you see playwright, you can start a server, it will open the browser and take a screenshot.
[00:03:41.980 --> 00:03:54.980]   But tools are often leading to quality problems. And we all struggle with that. Raise your hand if you had like some error in your IDE that you couldn't add more tools and you couldn't run it or run wrong tools because you have too many.
[00:03:54.980 --> 00:04:04.980]   And there's research from Langchain that nicely underlines that and pointing out the three vectors of A, it's too many tools. So AI gets confused by that. It's too many domains of tools.
[00:04:04.980 --> 00:04:14.980]   So if you suddenly have some different properties for each tool and instructions coming with each tool, then it also gets confused versus just a pure like this is UI testing.
[00:04:14.980 --> 00:04:27.980]   And lastly, it's just the repetition. The more repetitions of the AI has to do to actually run tools to solve a problem, the easier it is to get confused as well. So it's really quality over quantity.
[00:04:27.980 --> 00:04:43.980]   And clients handle that somewhat. They give you extra controls. Like in VS Code, we added actually per chat tool selection. So there's a little tool packer and you can actually reduce down the tools of what you actually need in the moment versus all the tools.
[00:04:43.980 --> 00:04:50.980]   It has nice keyboard accessibility. It's really quick to set up and will persist for the session. So that's one way. We have actually mentioning of tools.
[00:04:50.980 --> 00:05:02.980]   Like sometimes you're like pull this issue and trying to like verb out whatever tool you're trying to invoke. Like why not just use this tool and please make up all the right parameters to use it properly and then use the other tool.
[00:05:02.980 --> 00:05:19.980]   So that's what we allow as well. And lastly, just in this insiders actually we're shipping user defined tool sets. And that's more of a usable concept. Once you get into the mode like these are all the tools I need for a front end testing flow, then you just put those into a tool set and that use my front end testing flow.
[00:05:19.980 --> 00:05:32.980]   So that's coming as well. So these are all user controls. But actually that spec has dynamic discovery built in. And that means on the fly a server can say equals, but actually that spec hack are going to give you these other tools.
[00:05:32.980 --> 00:05:44.980]   And on the right, you see GitHub MUD MCP. It's on GitHub. You can check it out. And this starts with a chat mode that I created that puts the agent into a game master prompt and it has the MUD MCP installed.
[00:05:44.980 --> 00:05:56.980]   So now with the mode active, I can go into the agent, switch to MUD, and play the game. And what's dynamic tool discovery does here, it actually makes it aware of which room I am in.
[00:05:56.980 --> 00:06:03.980]   So dungeon crawl, you walk from room to room, you can go east and north, you can pick up stuff. And if there's a monster, I can battle the monster.
[00:06:03.980 --> 00:06:13.980]   But the tool for battling shouldn't be there when there's no monster. Eventually, I advance through the game and I finally find a goblin I can battle.
[00:06:13.980 --> 00:06:32.980]   And the battle tool appears. I can battle the goblin. So imagine those MCPs you want to work on. Those are coming up to give servers and clients a little bit more.
[00:06:32.980 --> 00:06:41.980]   Really, tools or actions. Actually, the add context. Return a giant file from your server, but you want to return a reference to the file.
[00:06:41.980 --> 00:06:48.980]   And that could be something the LLM could follow up on or the user can actually act upon. Then the other use case is actually giving files to the users.
[00:06:48.980 --> 00:06:59.980]   So if you take a screenshot by a playwright, it's going to expose it to both the LLM and the user, and resources provide that semantic layer.
[00:06:59.980 --> 00:07:09.980]   And then what are the issues? Oh, I found your issue. That's . They want to understand the Python environment and maybe look at your settings of how you set it up so they can customize.
[00:07:09.980 --> 00:07:18.980]   And that makes it more dynamic and stateful out of the box. The other one is if you can look at actual packages and your libraries installed,
[00:07:18.980 --> 00:07:27.980]   that's a great way to customize it to a React setup versus a Svelte setup and really acknowledging what the user is looking at and not asking constantly, like, what framework are you working on?
[00:07:27.980 --> 00:07:32.980]   What framework are you working on? Like, just-- you work in my folder. So just look at it.
[00:07:32.980 --> 00:07:40.980]   And lastly, I think the idea of, like, what is that CI/CD pipeline? That's where MCP servers really shine to connect the end-to-end of a developer experience.
[00:07:40.980 --> 00:07:44.980]   And you can also read those out.
[00:07:44.980 --> 00:07:48.980]   Sampling. Who has heard about sampling? Is really excited about sampling?
[00:07:48.980 --> 00:07:55.980]   OK, so you understand what I mean. So sampling-- sampling is one of the oddly named primitives as well.
[00:07:55.980 --> 00:07:58.980]   And if it had a better name, maybe more people would use it.
[00:07:58.980 --> 00:08:02.980]   But it's actually now Implant Insiders, and it's so much fun to use.
[00:08:02.980 --> 00:08:07.980]   So it allows the server to request LLM completions from the client.
[00:08:07.980 --> 00:08:13.980]   And what I'm showing here on the right is the permission dialog that pops up to allow the server to access the LLM.
[00:08:13.980 --> 00:08:16.980]   Right now, it's wired up by default to GPT 4.1.
[00:08:16.980 --> 00:08:19.980]   There's more spec improvements to make it more structured formatting.
[00:08:19.980 --> 00:08:20.980]   There's some ideas out there.
[00:08:20.980 --> 00:08:22.980]   So there's a lot of things to make it better.
[00:08:22.980 --> 00:08:24.980]   But right now, nobody has implemented it.
[00:08:24.980 --> 00:08:26.980]   So there wasn't really need to make it better.
[00:08:26.980 --> 00:08:28.980]   But implementations are here.
[00:08:28.980 --> 00:08:29.980]   So please use sampling.
[00:08:29.980 --> 00:08:31.980]   That's a nice progressive enhancement.
[00:08:31.980 --> 00:08:33.980]   Maybe by default, you return the kitchen sink.
[00:08:33.980 --> 00:08:40.980]   And once you have sampling, you can do interesting things like summarizing resources into more tangible things.
[00:08:40.980 --> 00:08:45.980]   You can format a website that you fetch into markdown for the LLM.
[00:08:45.980 --> 00:08:52.980]   Or you can even think about agentic server tools that run via the LLM from the client.
[00:08:52.980 --> 00:08:56.980]   If you look beyond the primitives, there's a few things that are also interesting.
[00:08:56.980 --> 00:09:01.980]   So far, we have routes and tools and resources and prompts.
[00:09:01.980 --> 00:09:05.980]   And with dynamic discovery, you can update them at any time.
[00:09:05.980 --> 00:09:09.980]   The client will send new routes as the VS Code workspace changes.
[00:09:09.980 --> 00:09:16.980]   You can send new routes, new servers, new tools and prompts from the server as you update and you change.
[00:09:16.980 --> 00:09:18.980]   So it's a really dynamic environment already.
[00:09:18.980 --> 00:09:22.980]   But there's more pain points to make these servers really powerful.
[00:09:22.980 --> 00:09:25.980]   One is the developer experience.
[00:09:25.980 --> 00:09:31.980]   Who's been struggling with working on MCP servers and debugging and logging and everything?
[00:09:31.980 --> 00:09:32.980]   Yeah.
[00:09:32.980 --> 00:09:33.980]   One of the other hands up.
[00:09:33.980 --> 00:09:34.980]   Yeah.
[00:09:34.980 --> 00:09:35.980]   Yes.
[00:09:35.980 --> 00:09:36.980]   Apparently, it's really easy.
[00:09:36.980 --> 00:09:38.980]   So maybe it's not a problem.
[00:09:38.980 --> 00:09:39.980]   Okay.
[00:09:39.980 --> 00:09:43.980]   So we have now a dev mode in VS Code, which is a little dev toggle.
[00:09:43.980 --> 00:09:46.980]   And you already see the console that always works for all MCP servers.
[00:09:46.980 --> 00:09:49.980]   So once you hit a snack, that just works.
[00:09:49.980 --> 00:09:52.980]   And then now it's in debugging mode.
[00:09:52.980 --> 00:09:54.980]   It actually has the debugger attached.
[00:09:54.980 --> 00:10:01.980]   So once I run the prompt, which is dynamically generated on the server, I can now hit the breakpoint and step through it.
[00:10:01.980 --> 00:10:08.980]   And that's really hard usually because your server is not owned usually by any process that you run manually.
[00:10:08.980 --> 00:10:12.980]   It's owned by whatever client and host is running the MCP server.
[00:10:12.980 --> 00:10:17.980]   So because VS Code is both, it can just put it into debug mode and attach its debugger.
[00:10:17.980 --> 00:10:20.980]   And that works for Python and Node right now out of the box.
[00:10:20.980 --> 00:10:22.980]   So super exciting.
[00:10:22.980 --> 00:10:27.980]   And it has changed how I work on MCPs, definitely.
[00:10:27.980 --> 00:10:30.980]   The latest spec was already called out.
[00:10:30.980 --> 00:10:38.980]   I just want to call it out again because it's so important that people stay on the tip of the spec on what's coming and understand what's in draft.
[00:10:38.980 --> 00:10:45.980]   Those things that are in draft only become stable because people provide feedback that is useful and that it's working.
[00:10:45.980 --> 00:10:52.980]   And if they're in draft and nobody provides feedback, then they will still go into stable and they might need revisions like the off spec.
[00:10:52.980 --> 00:10:58.980]   So the updated off spec on the right gives this enterprise-grade authorization.
[00:10:58.980 --> 00:11:04.980]   There's a talk tomorrow about building protected MCP server that I can highly recommend from then who actually worked on the off spec.
[00:11:04.980 --> 00:11:10.980]   So if you want to talk to one of the people behind it and want to dive really deep into off, you can do that.
[00:11:10.980 --> 00:11:16.980]   Then streamable HTTP has been working in VS Code since two versions as well.
[00:11:16.980 --> 00:11:20.980]   But then it's been really hard to test because there's no servers out there.
[00:11:20.980 --> 00:11:24.980]   So if you work on hosting, you're really excited about streamable HTTP.
[00:11:24.980 --> 00:11:30.980]   You should really get everybody that is hosting MCP servers to get onto it and not use SSE anymore.
[00:11:30.980 --> 00:11:34.980]   SSE is still possible to use with HTTP, so you get both benefits.
[00:11:34.980 --> 00:11:39.980]   But you're avoiding this really stateful churn on your servers.
[00:11:39.980 --> 00:11:42.980]   Last one I already mentioned, there's a community registry happening.
[00:11:42.980 --> 00:11:44.980]   And that's the other big pain point.
[00:11:44.980 --> 00:11:47.980]   Like if I build a server and nobody finds it, or what is the discovery experience?
[00:11:47.980 --> 00:11:48.980]   Like how do I send people?
[00:11:48.980 --> 00:11:51.980]   Like do I send JSON blobs around for people to discover my server?
[00:11:51.980 --> 00:11:56.980]   There's a lot of community work around this to make this discovery easy.
[00:11:56.980 --> 00:11:59.980]   So it's a big shout out to everybody on the steering committee, the community working groups,
[00:11:59.980 --> 00:12:01.980]   and everybody involved here.
[00:12:01.980 --> 00:12:07.980]   If you want to check it out, it's on model contracts protocol slash registry on GitHub.
[00:12:07.980 --> 00:12:09.980]   And it's all happening out in the open.
[00:12:09.980 --> 00:12:12.980]   And lastly, I'm really excited about elicitations.
[00:12:12.980 --> 00:12:15.980]   That's actually coming in the next draft, spec reference.
[00:12:15.980 --> 00:12:18.980]   Spec, draft, release, whatever.
[00:12:18.980 --> 00:12:23.980]   And this is a way for tools to finally reach out back to the user when they need more information.
[00:12:23.980 --> 00:12:27.980]   Right now, tools are all controlled by the LM, and you get all the information from them.
[00:12:27.980 --> 00:12:31.980]   But then when it actually needs more concrete, specific input from the user,
[00:12:31.980 --> 00:12:35.980]   then you can throw them into another chat experience and ask for it.
[00:12:35.980 --> 00:12:38.980]   But why not just give them an input to provide it directly?
[00:12:38.980 --> 00:12:44.980]   So it's, again, more statefulness in the tools on top.
[00:12:44.980 --> 00:12:48.980]   So your help is needed.
[00:12:48.980 --> 00:12:51.980]   Progressive enhancement in MCP is possible.
[00:12:51.980 --> 00:12:56.980]   I think we want to have more best practices out there, maybe even in the references servers,
[00:12:56.980 --> 00:12:58.980]   to show it off.
[00:12:58.980 --> 00:13:00.980]   But everything is now ready to be used.
[00:13:00.980 --> 00:13:05.980]   There's clients supporting the latest spec that you can run it in and test it in.
[00:13:05.980 --> 00:13:07.980]   Those clients are used by users.
[00:13:07.980 --> 00:13:13.980]   And as more users showcase how great these stateful servers can be and outline these best practices,
[00:13:13.980 --> 00:13:18.980]   this interoperability gap will close and clients will catch up.
[00:13:18.980 --> 00:13:19.980]   It's a very fast-moving ecosystem.
[00:13:19.980 --> 00:13:23.980]   People are complaining, like, oh, you shipped this two weeks after the other person.
[00:13:23.980 --> 00:13:25.980]   But it's all coming together.
[00:13:25.980 --> 00:13:30.980]   And as people use these and learn and bring feedback, it becomes better.
[00:13:30.980 --> 00:13:38.980]   So make action-oriented, context-aware, semantic-aware servers using the full spec.
[00:13:38.980 --> 00:13:40.980]   And then lastly, contribute to the ecosystem.
[00:13:40.980 --> 00:13:45.980]   If you have the time, read up on some of the open RFCs I shared, like namespaces and search,
[00:13:45.980 --> 00:13:47.980]   to kind of see what's coming.
[00:13:47.980 --> 00:13:52.980]   Make sure they get into the SDKs you're using by following the issues.
[00:13:52.980 --> 00:13:55.980]   And just share back on your experience.
[00:13:55.980 --> 00:14:00.980]   I mean, a lot of people misunderstand how much influence they have on clients and SDKs and
[00:14:00.980 --> 00:14:03.980]   everything by filing issues, by providing feedback.
[00:14:03.980 --> 00:14:07.980]   I'm helping to triage a lot of the MCP issues coming into VS Code.
[00:14:07.980 --> 00:14:08.980]   We read all of them.
[00:14:08.980 --> 00:14:09.980]   We learn from them.
[00:14:09.980 --> 00:14:11.980]   And really, that drives our roadmap.
[00:14:11.980 --> 00:14:14.980]   And that happens probably with every other team out there.
[00:14:14.980 --> 00:14:17.980]   So really make your voice heard of like you.
[00:14:17.980 --> 00:14:19.980]   Everybody should support sampling.
[00:14:19.980 --> 00:14:26.980]   So there's a transformative potential in MCP that we all can unlock with the spec that is already
[00:14:26.980 --> 00:14:29.980]   there so that the ecosystem catches up to the spec.
[00:14:29.980 --> 00:14:34.980]   So with that, let's go.
[00:14:34.980 --> 00:14:38.980]   And feel free to hit us up on the Microsoft booth.
[00:14:38.980 --> 00:14:40.980]   There's two VS Code people there, Tyler and Rob.
[00:14:40.980 --> 00:14:44.980]   You can also talk to or talk to me or talk to your friendly MCP steering committee members.
[00:14:44.980 --> 00:14:45.980]   Thank you.
[00:14:45.980 --> 00:14:45.980]   Thank you.
[00:14:45.980 --> 00:14:46.980]   Thank you.
[00:14:46.980 --> 00:14:47.980]   Thank you.
[00:14:47.980 --> 00:14:52.260]   We'll see you next time.

