
[00:00:00.000 --> 00:00:02.580]   (gentle music)
[00:05:38.400 --> 00:05:42.160]   It's externalized in language and so on.
[00:05:42.160 --> 00:05:47.160]   So there is no hard delimitation
[00:05:47.160 --> 00:05:49.400]   of what makes an intelligent agent.
[00:05:49.400 --> 00:05:50.680]   It's all about context.
[00:05:50.680 --> 00:05:55.560]   - Okay, but AlphaGo is better at Go
[00:05:55.560 --> 00:05:57.000]   than the best human player.
[00:05:57.000 --> 00:06:01.760]   There's levels of skill here.
[00:06:02.480 --> 00:06:07.000]   Do you think there's such a concept
[00:06:07.000 --> 00:06:10.880]   as intelligence explosion in a specific task?
[00:06:10.880 --> 00:06:13.480]   And then, well, yeah.
[00:06:13.480 --> 00:06:16.240]   Do you think it's possible to have a category of tasks
[00:06:16.240 --> 00:06:18.200]   on which you do have something
[00:06:18.200 --> 00:06:21.160]   like an exponential growth of ability
[00:06:21.160 --> 00:06:23.560]   to solve that particular problem?
[00:06:23.560 --> 00:06:26.480]   - I think if you consider a specific vertical,
[00:06:26.480 --> 00:06:29.880]   it's probably possible to some extent.
[00:06:31.440 --> 00:06:34.480]   I also don't think we have to speculate about it
[00:06:34.480 --> 00:06:38.440]   because we have real world examples
[00:06:38.440 --> 00:06:42.160]   of recursively self-improving intelligent systems.
[00:06:42.160 --> 00:06:47.040]   So for instance, science is a problem solving system,
[00:06:47.040 --> 00:06:48.720]   a knowledge generation system,
[00:06:48.720 --> 00:06:52.360]   like a system that experiences the world in some sense
[00:06:52.360 --> 00:06:56.280]   and then gradually understands it and can act on it.
[00:06:56.280 --> 00:06:58.240]   And that system is superhuman
[00:06:58.240 --> 00:07:01.720]   and it is clearly recursively self-improving
[00:07:01.720 --> 00:07:03.680]   because science feeds into technology.
[00:07:03.680 --> 00:07:06.320]   Technology can be used to build better tools,
[00:07:06.320 --> 00:07:09.000]   better computers, better instrumentation and so on,
[00:07:09.000 --> 00:07:11.960]   which in turn can make science faster.
[00:07:11.960 --> 00:07:16.680]   So science is probably the closest thing we have today
[00:07:16.680 --> 00:07:20.880]   to a recursively self-improving superhuman AI.
[00:07:20.880 --> 00:07:22.600]   And you can just observe,
[00:07:22.600 --> 00:07:26.440]   is scientific progress today exploding,
[00:07:26.440 --> 00:07:28.920]   which itself is an interesting question.
[00:07:28.920 --> 00:07:31.680]   And you can use that as a basis to try to understand
[00:07:31.680 --> 00:07:34.000]   what will happen with a superhuman AI
[00:07:34.000 --> 00:07:36.440]   that has science-like behavior.
[00:07:36.440 --> 00:07:37.280]   Thank you.
[00:07:37.280 --> 00:07:39.860]   (upbeat music)
[00:07:39.860 --> 00:07:42.440]   (upbeat music)
[00:07:42.440 --> 00:07:45.020]   (upbeat music)
[00:07:45.020 --> 00:07:47.600]   (upbeat music)
[00:07:47.600 --> 00:07:50.180]   (upbeat music)
[00:07:50.180 --> 00:07:52.760]   (upbeat music)
[00:07:52.760 --> 00:08:02.760]   [BLANK_AUDIO]

