
[00:00:00.000 --> 00:00:05.320]   [VIDEO PLAYBACK]
[00:10:18.360 --> 00:10:20.720]   but also for LAMA3, which went even further
[00:10:20.720 --> 00:10:23.000]   and trained not on 1 trillion tokens,
[00:10:23.000 --> 00:10:25.240]   but on 15 trillion tokens.
[00:10:25.240 --> 00:10:27.440]   And if you check the archive paper,
[00:10:27.440 --> 00:10:29.080]   the loss kept going down.
[00:10:29.080 --> 00:10:32.160]   And also, the downstream evaluations
[00:10:32.160 --> 00:10:35.720]   as the model kept training, it kept improving.
[00:10:35.720 --> 00:10:37.320]   And I think this is really interesting.
[00:10:37.320 --> 00:10:39.120]   Because some people misunderstood
[00:10:39.120 --> 00:10:42.160]   the Chinchilla scaling laws as like compute optimal is optimal.
[00:10:42.160 --> 00:10:44.040]   But that's not the case.
[00:10:44.040 --> 00:10:46.800]   Because inference cost is not considered.
[00:10:46.800 --> 00:10:51.200]   So for example, this is the cost for training in GPT-4.
[00:10:51.200 --> 00:10:54.920]   It is said that it's estimated that's $100 million.
[00:10:54.920 --> 00:10:57.480]   But also, the inference is very expensive.
[00:10:57.480 --> 00:10:59.440]   And the larger the model becomes,
[00:10:59.440 --> 00:11:03.120]   the more time it takes to process the tokens.
[00:11:03.120 --> 00:11:06.200]   So the scaling laws don't take the inference cost
[00:11:06.200 --> 00:11:07.760]   in consideration.
[00:11:07.760 --> 00:11:09.840]   And if we do take the inference cost, which
[00:11:09.840 --> 00:11:13.320]   is the case for most people, because they
[00:11:13.320 --> 00:11:15.200]   want to use these models in inference,
[00:11:15.200 --> 00:11:17.400]   you might prefer using the smaller models
[00:11:17.400 --> 00:11:19.520]   and training them longer.
[00:11:19.520 --> 00:11:20.360]   And we do that.
[00:11:20.360 --> 00:11:22.760]   We're not respecting the Chinchilla scaling laws.
[00:11:22.760 --> 00:11:26.840]   So we're choosing to pay what we call a compute overhead.
[00:11:26.840 --> 00:11:29.720]   It's kind of a sacrifice that you do during the training.
[00:11:29.720 --> 00:11:31.160]   You choose to pay more.
[00:11:31.160 --> 00:11:33.440]   But this will have a benefit during inference,
[00:11:33.440 --> 00:11:38.040]   because you will save a lot of cost and money.
[00:11:38.040 --> 00:11:42.000]   And there's this very interesting blog post
[00:11:42.000 --> 00:11:47.360]   about Harden's law, which tries to measure the compute overhead
[00:11:47.360 --> 00:11:51.040]   that you will be paying when you choose to train a small model.
[00:11:51.040 --> 00:11:53.720]   For example, here, there's the space on Hugging Face,
[00:11:53.720 --> 00:11:56.080]   where you can input the model size and what
[00:11:56.080 --> 00:11:57.560]   data sets you want to train on.
[00:11:57.560 --> 00:12:00.760]   And it will show you where you are regarding
[00:12:00.760 --> 00:12:02.520]   the Chinchilla optimal point.
[00:12:02.520 --> 00:12:04.880]   So for example, if we take a 7B model and we train it
[00:12:04.880 --> 00:12:08.080]   on 1 billion tokens, you can see that we are here.
[00:12:08.080 --> 00:12:09.200]   It's the red dots.
[00:12:09.200 --> 00:12:12.320]   And it's before the Chinchilla optimal model.
[00:12:12.320 --> 00:12:17.760]   And this gives approximately, I think, 40% overhead.
[00:12:17.760 --> 00:12:21.000]   But then during inference, as it shows here in the table--
[00:12:21.000 --> 00:12:22.640]   sorry, it was 13% overhead.
[00:12:22.640 --> 00:12:26.160]   But there's almost 50% saving costs.
[00:12:26.160 --> 00:12:28.640]   So that's something that almost everyone is doing now,
[00:12:28.640 --> 00:12:32.280]   which is why we see models that are much, much smaller than one
[00:12:32.280 --> 00:12:33.160]   or two years ago.
[00:12:37.440 --> 00:12:40.600]   For further reading, there are some very interesting papers
[00:12:40.600 --> 00:12:42.000]   about scaling laws.
[00:12:42.000 --> 00:12:45.400]   For example, there's this paper called Scaling Data Constraint
[00:12:45.400 --> 00:12:49.680]   Language Models, which shows that if you are limited
[00:12:49.680 --> 00:12:51.240]   in your data size--
[00:12:51.240 --> 00:12:54.800]   let's say, for example, you want to train a 7B on 10 trillion
[00:12:54.800 --> 00:12:57.680]   tokens, but you don't have these 10 trillion tokens.
[00:12:57.680 --> 00:13:00.800]   This paper says that you can basically repeat your data
[00:13:00.800 --> 00:13:03.040]   up to four times, so four epochs.
[00:13:03.040 --> 00:13:04.640]   And you will get similar performance
[00:13:04.640 --> 00:13:06.800]   as if you used unique tokens.
[00:13:06.800 --> 00:13:10.480]   So for example, instead of using 8 trillion tokens unique,
[00:13:10.480 --> 00:13:12.800]   you could use just two and repeat them four times.
[00:13:12.800 --> 00:13:14.640]   And you get almost the same performance
[00:13:14.640 --> 00:13:17.680]   as if these tokens were unique.
[00:13:17.680 --> 00:13:20.640]   And this is especially useful for some domains
[00:13:20.640 --> 00:13:25.560]   where we almost exhaust all the data that's publicly available.
[00:13:25.560 --> 00:13:27.600]   As I will show you later, the Stack V2,
[00:13:27.600 --> 00:13:30.320]   which is a code data set that we released,
[00:13:30.320 --> 00:13:33.280]   I think it has almost all the code available.
[00:13:33.280 --> 00:13:37.600]   So it's going to be very hard to scrape and get more code.
[00:13:37.600 --> 00:13:39.480]   And if you want to train models longer,
[00:13:39.480 --> 00:13:43.080]   the only option is to actually repeat the data during training.
[00:13:43.080 --> 00:13:46.200]   And this is good news, because repeating the data up
[00:13:46.200 --> 00:13:50.320]   to four times is actually significant.
[00:13:50.320 --> 00:13:52.600]   Another paper that I think is interesting
[00:13:52.600 --> 00:13:58.080]   when it comes to scaling laws is the DeepSeq LLM.
[00:13:58.080 --> 00:14:01.440]   They try to establish new scaling laws that
[00:14:01.440 --> 00:14:03.880]   are suited for the data, because they
[00:14:03.880 --> 00:14:07.400]   find that the scaling behavior is highly
[00:14:07.400 --> 00:14:09.760]   dependent on the data quality.
[00:14:09.760 --> 00:14:12.840]   So they tried different data subsets, different filtering,
[00:14:12.840 --> 00:14:15.600]   and they found that the scaling laws were changing.
[00:14:15.600 --> 00:14:18.080]   So this is very important, because up until now,
[00:14:18.080 --> 00:14:20.280]   we were using the Chinchilla, but the Chinchilla
[00:14:20.280 --> 00:14:21.840]   was using fixed data sets.
[00:14:21.840 --> 00:14:24.920]   They are not necessarily the ones that we are using now.
[00:14:24.920 --> 00:14:27.440]   So it's really important to be aware of that.
[00:14:27.440 --> 00:14:29.560]   And this is why DeepSeq tried to come up
[00:14:29.560 --> 00:14:32.840]   with their own scaling laws that work for their data sets.
[00:14:32.840 --> 00:14:36.400]   And they also conclude that when you have higher quality
[00:14:36.400 --> 00:14:39.040]   data sets, maybe more compute should
[00:14:39.040 --> 00:14:43.240]   be allocated to the model size and not to the data size.
[00:14:43.240 --> 00:14:46.280]   So these are interesting things to keep in mind when
[00:14:46.280 --> 00:14:47.880]   it comes to scaling LLMs.
[00:14:51.480 --> 00:14:54.600]   So we have answered the first question, I hope.
[00:14:54.600 --> 00:14:57.920]   How much data to train LLMs?
[00:14:57.920 --> 00:15:01.200]   So let's say now you have your compute budget,
[00:15:01.200 --> 00:15:04.600]   a fixed number of GPUs for a certain amount of days,
[00:15:04.600 --> 00:15:09.360]   and you also know approximately how much data you want to use.
[00:15:09.360 --> 00:15:13.640]   The question is that, where do you find this type of data?
[00:15:13.640 --> 00:15:16.680]   For example, Llama3 was trained on 15 trillion tokens,
[00:15:16.680 --> 00:15:19.320]   but where do you get 15 trillion tokens?
[00:15:19.320 --> 00:15:23.320]   That's a huge number.
[00:15:23.320 --> 00:15:26.600]   To get this data, the two main sources
[00:15:26.600 --> 00:15:30.000]   where you can actually get a very large volume of data
[00:15:30.000 --> 00:15:33.600]   are the web and then GitHub code.
[00:15:33.600 --> 00:15:35.520]   There are some other curated sources.
[00:15:35.520 --> 00:15:38.200]   Those are of high quality but are much smaller,
[00:15:38.200 --> 00:15:42.080]   like Wikipedia, Books, Archive, or Stack Exchange.
[00:15:42.080 --> 00:15:45.080]   You can also get data and new type
[00:15:45.120 --> 00:15:48.560]   You can also get data and new type
[00:15:48.560 --> 00:15:51.200]   that's been very trendy recently,
[00:15:51.200 --> 00:15:53.560]   which is synthetic data.
[00:15:53.560 --> 00:15:56.360]   But let's first start with the sources
[00:15:56.360 --> 00:16:00.000]   where you can get very large volumes.
[00:16:00.000 --> 00:16:02.240]   The first one is web data.
[00:16:02.240 --> 00:16:05.720]   So that's basically web pages.
[00:16:05.720 --> 00:16:08.720]   And usually people to create these data sets,
[00:16:08.720 --> 00:16:10.840]   they start from Common Crawl, which
[00:16:10.840 --> 00:16:15.000]   is a public repository of crawled web pages
[00:16:15.000 --> 00:16:17.360]   and Common Crawl crawls pages regularly,
[00:16:17.360 --> 00:16:21.040]   and they publish dumps every few months.
[00:16:21.040 --> 00:16:22.520]   But if you start from there, you will
[00:16:22.520 --> 00:16:26.160]   need to do some heavy filtering at a very large scale.
[00:16:26.160 --> 00:16:29.840]   For example, just the latest dump has over 400 terabytes,
[00:16:29.840 --> 00:16:33.040]   and they have almost 95 dumps.
[00:16:33.040 --> 00:16:37.200]   So that's not a very easy task, and you
[00:16:37.200 --> 00:16:40.400]   will need to have a lot of resources and a team
[00:16:40.400 --> 00:16:43.200]   to be able to do that crawling.
[00:16:43.200 --> 00:16:48.480]   The other option is to use an existing filtered web data set.
[00:16:48.480 --> 00:16:52.600]   Our researchers already filtered Common Crawl and released them.
[00:16:52.600 --> 00:16:54.480]   And luckily, we do have data sets that
[00:16:54.480 --> 00:16:57.120]   are very large and well-filtered.
[00:16:57.120 --> 00:17:00.640]   One of them is the web data, FineWeb,
[00:17:00.640 --> 00:17:03.000]   that was recently released by Hugging Face,
[00:17:03.000 --> 00:17:09.440]   and it has 15 trillion tokens of web data.
[00:17:09.440 --> 00:17:12.120]   It's also-- it's not just a large data set,
[00:17:12.120 --> 00:17:14.600]   but it also has the best performance
[00:17:14.600 --> 00:17:17.240]   among the publicly available data sets.
[00:17:17.240 --> 00:17:20.480]   And here, for example, it shows the performance,
[00:17:20.480 --> 00:17:24.520]   which is an aggregation over multiple popular benchmarks
[00:17:24.520 --> 00:17:29.160]   for NLP, like Hellaswag, MMLU, PICA, and others.
[00:17:29.160 --> 00:17:32.120]   And it averages them and compares to other data sets
[00:17:32.120 --> 00:17:35.360]   like C4, RefinedWeb, ThinPyjama, and the pile.
[00:17:38.280 --> 00:17:42.480]   So that was for web, so you can get 15 trillion tokens easily.
[00:17:42.480 --> 00:17:46.960]   And then for code data, we have released the stack data
[00:17:46.960 --> 00:17:52.440]   set, which is the largest data set of open source code.
[00:17:52.440 --> 00:17:54.600]   This data set comes in two versions.
[00:17:54.600 --> 00:17:58.800]   Version 1 consisted of 6 terabytes of permissive code.
[00:17:58.800 --> 00:18:01.360]   And how we built this data set is
[00:18:01.360 --> 00:18:05.640]   that we first cloned all the public repositories on GitHub.
[00:18:05.640 --> 00:18:09.280]   So this gave us over 130 repositories
[00:18:09.280 --> 00:18:11.680]   and 100 terabytes of data.
[00:18:11.680 --> 00:18:14.320]   But we don't want all of that data, because a lot of it
[00:18:14.320 --> 00:18:17.600]   can be configs or extensions that we don't need
[00:18:17.600 --> 00:18:19.880]   or languages that are no longer maintained.
[00:18:19.880 --> 00:18:23.360]   So we did some file extension filtering,
[00:18:23.360 --> 00:18:27.240]   and we ended up with almost 90 terabytes of data.
[00:18:27.240 --> 00:18:29.440]   After that, we filtered repositories
[00:18:29.440 --> 00:18:31.520]   based on their licenses.
[00:18:31.520 --> 00:18:35.680]   So we can have permissive licenses like Apache 2 or MIT.
[00:18:35.680 --> 00:18:38.720]   We can have more restrictive licenses like GPL.
[00:18:38.720 --> 00:18:41.040]   So we filtered all the repositories
[00:18:41.040 --> 00:18:43.800]   that did not have a permissive license.
[00:18:43.800 --> 00:18:46.200]   And after that, we did the deduplication
[00:18:46.200 --> 00:18:48.160]   to remove files that are similar.
[00:18:48.160 --> 00:18:51.720]   So we ended up with almost 3 terabytes of deduplicated data.
[00:18:51.720 --> 00:18:59.440]   The stack comes also with a very cool tool for opt-out.
[00:18:59.440 --> 00:19:02.440]   This tool is basically a space where you can go.
[00:19:02.440 --> 00:19:04.400]   You can type your GitHub username,
[00:19:04.400 --> 00:19:07.320]   and it tells you if you have any of your GitHub repositories
[00:19:07.320 --> 00:19:09.160]   in the data set.
[00:19:09.160 --> 00:19:11.160]   And if that's the case, there's also
[00:19:11.160 --> 00:19:13.360]   an option to fill a form and request
[00:19:13.360 --> 00:19:17.400]   to be removed from all the future trainings of BigCode.
[00:19:17.400 --> 00:19:21.720]   So we did that for the stack v1, but also for the stack v2.
[00:19:21.720 --> 00:19:25.360]   And the v2 is a much larger and enhanced data set
[00:19:25.360 --> 00:19:27.720]   compared to the v1.
[00:19:27.720 --> 00:19:31.360]   This time, instead of cloning GitHub repositories,
[00:19:31.360 --> 00:19:33.040]   we went through Software Heritage,
[00:19:33.040 --> 00:19:34.680]   which is an archive of code.
[00:19:34.680 --> 00:19:37.680]   They already did the scraping, and we just
[00:19:37.680 --> 00:19:40.120]   extracted the data from their archive.
[00:19:40.120 --> 00:19:43.840]   And we ended up, after all the filtering,
[00:19:43.840 --> 00:19:47.000]   with almost 1 trillion tokens, which
[00:19:47.000 --> 00:19:48.960]   is a lot compared to the v1, where
[00:19:48.960 --> 00:19:52.880]   we got around 200 billion tokens at the end.
[00:19:52.880 --> 00:19:55.120]   We also added some high-quality resources
[00:19:55.120 --> 00:19:58.640]   like GitHub issues, math and code data sets,
[00:19:58.640 --> 00:20:00.400]   and pull requests.
