
[00:00:00.000 --> 00:00:01.680]   Okay
[00:05:36.100 --> 00:05:42.400]   It has to be exclusive difficult to obtain costly to purchase once a status symbol is freely available to the masses
[00:05:42.400 --> 00:05:44.400]   The Elise will subsequently abandon it
[00:05:44.400 --> 00:05:49.600]   So there are historical examples of this one that I like here them in the Middle Ages in Europe
[00:05:49.920 --> 00:05:54.680]   Spices were difficult to obtain and costly to purchase only the elites could afford them
[00:05:54.680 --> 00:06:00.880]   But as European societies colonized India and the Americas and other regions of the globe the cost of spices
[00:06:00.880 --> 00:06:08.560]   subsequently declined and the mass public commoners in Europe were able to obtain spices and in response many European elites
[00:06:08.560 --> 00:06:10.720]   decided that spices were vulgar and
[00:06:10.720 --> 00:06:17.040]   Under the reign of Louis the 14th court chefs banned sugar and spice from all meals except for desserts
[00:06:18.480 --> 00:06:22.680]   There's another example here dueling in the American colony so dueling was initially a
[00:06:22.680 --> 00:06:30.560]   Practice primarily engaged in by aristocrats. It was a you know, it was something that only gentlemen partook in for honor
[00:06:30.560 --> 00:06:36.240]   Famously one of America's founding fathers Alexander Hamilton was killed in a duel against Aaron burr
[00:06:36.240 --> 00:06:42.320]   but gradually this practice that was initially confined to the elite spread throughout the colonies and
[00:06:42.840 --> 00:06:48.560]   As a result the elites abandoned this practice and then it was subsequently outlawed in the late 19th century
[00:06:48.560 --> 00:06:54.000]   So distinction is the key motive here now a couple of years ago
[00:06:54.000 --> 00:07:00.280]   There was a great book by the author Michael Knox Barron called wasps the splendors and miseries of an American aristocracy
[00:07:00.280 --> 00:07:05.400]   And in this book Barron writes about white Anglo-Saxon Protestants
[00:07:05.400 --> 00:07:09.000]   So this was the American ruling class from roughly the mid 19th to the mid 20th centuries
[00:07:09.480 --> 00:07:14.520]   And Barron points out that wasps had mixed feelings about their fellow Americans
[00:07:14.520 --> 00:07:19.760]   He writes that many wasps viewed ordinary Americans as sunk in moronic darkness
[00:07:19.760 --> 00:07:24.060]   And he writes that it is a question whether a high wasp ever supported a fashionable cause
[00:07:24.060 --> 00:07:27.520]   Without some secret knowledge that the cause was abhorred by the Bulgarians
[00:07:27.520 --> 00:07:33.160]   In other words many wasps would support certain movements and causes and express certain beliefs
[00:07:33.160 --> 00:07:39.360]   Because they were so at odds with conventional opinion and it made them look sophisticated and interesting and it allowed them to distance themselves
[00:07:39.680 --> 00:07:41.680]   from the commoners
[00:07:41.680 --> 00:07:46.720]   And so sometimes when I talk about luxury beliefs when I talk about status people will say Rob
[00:07:46.720 --> 00:07:50.520]   Is it really true that elites care so much about status? Is it really something that's so important to them?
[00:07:50.520 --> 00:07:52.520]   And the answer is yes
[00:07:52.520 --> 00:07:58.920]   The sociologist Emil Durkheim understood this when he wrote the more one has the more one wants since
[00:07:58.920 --> 00:08:06.200]   Satisfactions received only stimulate instead of filling needs and this is supported by two recent studies both published in
[00:08:06.280 --> 00:08:09.920]   2020 by two independent groups of researchers. This is a replicated finding
[00:08:09.920 --> 00:08:16.920]   The result was that relative to lower status individuals higher status individuals have the strongest desire for wealth and status
[00:08:16.920 --> 00:08:18.920]   So these researchers collected
[00:08:18.920 --> 00:08:24.800]   objective measures of status things like socio-economic status level of income occupational prestige
[00:08:24.800 --> 00:08:31.720]   educational attainment and found that people who are at or near the top of these measures were the most likely to agree with
[00:08:31.840 --> 00:08:35.320]   Statements like it would please me to be in a position of power over others
[00:08:35.320 --> 00:08:41.040]   I enjoy having influence over those around me and similar statements involving wealth as well
[00:08:41.040 --> 00:08:47.040]   So this is something that that's important to understand the strong desire for status the strong desire for distinction
[00:08:47.040 --> 00:08:49.320]   So that's one component of luxury beliefs
[00:08:49.320 --> 00:08:55.760]   The other is that this top segment of society also wields disproportionate influence over culture and over policy
[00:08:55.760 --> 00:09:00.080]   There was a study in 2014 that received a lot of attention which found that strong support
[00:09:00.160 --> 00:09:03.600]   From high-income Americans doubles the likelihood that a policy will be adopted
[00:09:03.600 --> 00:09:09.120]   So these are Americans in the top income decile roughly people who earn a hundred and seventy seven thousand dollars or more per year
[00:09:09.120 --> 00:09:11.640]   This group wields a lot of influence
[00:09:11.640 --> 00:09:16.320]   But it's important to understand that this group is often insulated from
[00:09:16.320 --> 00:09:22.000]   The detrimental effects of some of their policy preferences if the outcomes do not are not favorable
[00:09:22.000 --> 00:09:26.400]   So this is important to their insulated from from the consequences of their preferences
[00:09:27.200 --> 00:09:34.480]   So what is an example of a luxury belief? Well in 2020 the defunded the police movement gained a lot of momentum
[00:09:34.480 --> 00:09:39.120]   And in early 2021 you gov ran a survey
[00:09:39.120 --> 00:09:44.360]   They collected data from a representative sample of Americans and found that the well they found overall
[00:09:44.360 --> 00:09:50.280]   Americans were very much against defunding the police, but when they broke down the results by income category
[00:09:50.280 --> 00:09:54.480]   They found that the highest income Americans were by far the most supportive of defunding the police
[00:09:54.560 --> 00:10:00.040]   There was another survey of just Democratic voters and found that white Democrats were far more supportive of defunding the police
[00:10:00.040 --> 00:10:02.240]   Than black and Hispanic Democrats
[00:10:02.240 --> 00:10:07.040]   And so as a result despite the fact that most people didn't want this many cities across the u.s
[00:10:07.040 --> 00:10:11.560]   Subsequently reduced spending for police departments here in LA in New York
[00:10:11.560 --> 00:10:13.880]   Chicago Seattle and and many other cities as well
[00:10:13.880 --> 00:10:18.160]   And this has contributed to the violent crime wave that we've seen over the last couple of years
[00:10:18.160 --> 00:10:22.520]   So these are figures from the US Census Bureau Bureau before 2020
[00:10:23.720 --> 00:10:24.960]   which
[00:10:24.960 --> 00:10:28.640]   Helps to understand who are the primary victims of crime?
[00:10:28.640 --> 00:10:30.840]   So in the US relative to those earned
[00:10:30.840 --> 00:10:37.280]   $75,000 or more per year the poorest Americans are seven times more likely to be victims of robbery seven times more likely to be victims of
[00:10:37.280 --> 00:10:41.360]   Aggravated assault and 20 times more likely to be victims of sexual assault
[00:10:41.360 --> 00:10:48.840]   And again, this is before 2020 if anything these differences are probably more pronounced. So it's important here to understand that
[00:10:49.600 --> 00:10:54.360]   That that to not stop crime is to actually victimize the poor. This is luxury belief
[00:10:54.360 --> 00:10:57.400]   Here's another luxury belief
[00:10:57.400 --> 00:11:01.320]   Torching your own social capital over the last couple of years. It's become
[00:11:01.320 --> 00:11:04.320]   trendy among cultural elites to
[00:11:04.320 --> 00:11:11.520]   promote this idea of burning bridges social ties over disagreements over social or political views and
[00:11:11.520 --> 00:11:15.480]   If you're an upper upper middle class person if you're highly educated
[00:11:16.760 --> 00:11:22.880]   Geographically mobile in all likelihood you can probably afford to burn a lot of social bridges and in all likelihood
[00:11:22.880 --> 00:11:27.000]   You'll be just fine. But if you're a person who lives at or near the margins of society
[00:11:27.000 --> 00:11:29.640]   it would be
[00:11:29.640 --> 00:11:36.640]   Unwise to burn your relationships with friends families employers colleagues neighbors and so on and so
[00:11:36.640 --> 00:11:41.200]   Expressing this luxury belief may make you look dedicated to your cause of choice
[00:11:41.200 --> 00:11:43.760]   but if this belief
[00:11:43.880 --> 00:11:49.360]   Spreads throughout society this would this would have detrimental effects for people who are less fortunate
[00:11:49.360 --> 00:11:51.160]   but
[00:11:51.160 --> 00:11:54.200]   For me the luxury belief that has had the most wide-ranging
[00:11:54.200 --> 00:11:56.960]   societal consequences
[00:11:56.960 --> 00:12:02.200]   Has been the denigration of the two-parent family. So here are a couple of headlines
[00:12:02.200 --> 00:12:06.840]   Let's call the whole thing off. The author is ending her marriage. Isn't it time you did the same?
[00:12:06.840 --> 00:12:10.640]   And the nuclear family is no longer the norm good by the way
[00:12:10.640 --> 00:12:11.880]   I don't mean to pick on the New York Times here
[00:12:11.880 --> 00:12:13.800]   I've written there and I've had friends who've written there
[00:12:13.800 --> 00:12:18.440]   But but these are headlines that many cultural least these are ideas that cultural elites believe should be introduced
[00:12:18.440 --> 00:12:20.720]   Into society among the educated public
[00:12:20.720 --> 00:12:28.480]   To be implemented into culture and into policy. So the erosion of family structure. So in nine in 1960
[00:12:28.480 --> 00:12:35.400]   95% of American children regardless of social class were raised by both of their parents
[00:12:35.400 --> 00:12:39.680]   And for the upper class for the upper 20% of Americans
[00:12:40.600 --> 00:12:43.080]   It dropped slightly by 2005 to 85%
[00:12:43.080 --> 00:12:49.040]   So it was 95% dropped slightly to 85% for poor and working-class Americans those in the bottom 30%
[00:12:49.040 --> 00:12:53.320]   It was 95% in 1960 and it plummeted to 30% by 2005
[00:12:53.320 --> 00:13:01.720]   Now if you visit working-class blue-collar communities in the US it is an anomaly to see children raised by both of their parents
[00:13:01.720 --> 00:13:06.520]   Where I grew up I had five close friends in high school and of the six of us
[00:13:06.520 --> 00:13:09.960]   None of us were raised by both of our parents. There was me raised in foster homes
[00:13:09.960 --> 00:13:13.520]   I had two friends raised by single moms one friend raised by a single dad
[00:13:13.520 --> 00:13:15.520]   I had another friend who was raised by his grandmother
[00:13:15.520 --> 00:13:18.400]   Because his mom was addicted to drugs and his dad was in prison
[00:13:18.400 --> 00:13:24.800]   That is a pretty common snapshot of like what neighborhoods look like in poor and working-class communities now
[00:13:24.800 --> 00:13:29.920]   Now there's an element of duplicity here for this luxury belief and some others as well
[00:13:29.920 --> 00:13:35.440]   Which is when you ask college graduates about their opinions on family formation and family structure
[00:13:36.600 --> 00:13:42.360]   Only a minority only 25% of college graduates think couples should be married before having kids. That's what they say
[00:13:42.360 --> 00:13:50.360]   In other words 75% of college graduates either hold a neutral position or think that maybe they shouldn't be married before having kids
[00:13:50.360 --> 00:13:51.880]   But then what do they actually do?
[00:13:51.880 --> 00:13:56.360]   Well, the vast majority of children born to college graduates are raised by two married parents
[00:13:56.360 --> 00:14:05.240]   Only about one in ten children born to a college-educated mother is born out of wedlock. So there's this mismatch between words and deeds
[00:14:06.240 --> 00:14:07.960]   And here you can see
[00:14:07.960 --> 00:14:13.840]   The sort of shocking rise and out of wedlock births and this is primarily concentrated again among the poor and the working class it continues
[00:14:13.840 --> 00:14:19.320]   To rise up until about 1920. It was below 5% It skyrocketed since 1960 continues to climb
[00:14:19.320 --> 00:14:26.080]   So we're we're in unforeseen territory now where children in impoverished environments who could stand to benefit the most
[00:14:26.080 --> 00:14:30.360]   From two attentive parents are the least likely to have them
[00:14:30.680 --> 00:14:35.920]   And sometimes when I talk about the issue of the family people want to discuss the economics of this
[00:14:35.920 --> 00:14:37.720]   There was a study a few years ago
[00:14:37.720 --> 00:14:41.440]   Which found that if you wanted to equalize life outcomes for children raised in single-parent homes
[00:14:41.440 --> 00:14:49.480]   this would require a redistribution of $59,000 a year to single parents to equalize educational and occupational outcomes for
[00:14:49.480 --> 00:14:55.160]   Children to match those of two parent families and I think this is an interesting study and I think
[00:14:55.160 --> 00:14:59.020]   Economics shouldn't be downplayed, but I think it does
[00:15:00.280 --> 00:15:04.080]   Highlight the sort of narrow way that many elites think about family
[00:15:04.080 --> 00:15:09.520]   One way to think about this is if you were to ask a child who has two attentive parents
[00:15:09.520 --> 00:15:13.760]   Hey, we're gonna take one of your parents away, but it's okay because we're gonna give you $59,000 a year
[00:15:13.760 --> 00:15:16.840]   I think very few kids would accept that deal
[00:15:16.840 --> 00:15:20.840]   There's more to life than just educational occupational outcomes
[00:15:20.840 --> 00:15:28.640]   There's a there's a sort of a blind spot here about the social and emotional penalties children receive when they don't have two parents available
[00:15:29.920 --> 00:15:31.920]   So wrapping up here
[00:15:31.920 --> 00:15:35.320]   Luxury beliefs are the new status symbols ideas movements causes
[00:15:35.320 --> 00:15:41.680]   Pierre Bordieu in another one of his great books the forms of capital wrote the best measure of cultural capital is undoubtedly the amount of
[00:15:41.680 --> 00:15:43.040]   time devoted to
[00:15:43.040 --> 00:15:48.160]   Acquiring it so only through the the process of going to an expensive University
[00:15:48.160 --> 00:15:54.360]   Listening to the right podcasts reading the right books being immersed in the right environments knowing that you're supposed to say unhoused instead of homeless
[00:15:54.360 --> 00:15:59.520]   You know the updating your vocabulary. These are ways for you to signify. I'm a member of this upper segment of
[00:16:00.240 --> 00:16:01.520]   society
[00:16:01.520 --> 00:16:05.160]   In an interview a couple of years ago the NYU professor Scott Galloway
[00:16:05.160 --> 00:16:10.160]   Said the strongest brand in the world is not Apple the strongest brands are MIT Oxford and Stanford academic society
[00:16:10.160 --> 00:16:15.160]   We're no longer public servants for luxury goods. These are the places where luxury beliefs are birthed people pay money
[00:16:15.160 --> 00:16:20.160]   They convert their economic capital into cultural capital they learn the right opinions to express in these institutions
[00:16:20.160 --> 00:16:27.520]   but again luxury belief holders are often insulated from the consequences of their beliefs so as
[00:16:28.040 --> 00:16:32.760]   Costly as these beliefs are to obtain for the affluent in terms of downstream consequences
[00:16:32.760 --> 00:16:37.200]   They're even more costly for everyone else, and I'll leave it at that period of my book. Thank you
[00:16:37.200 --> 00:16:51.040]   You ended with something that
[00:16:51.040 --> 00:16:56.200]   Is something that's very important to me that I that I talked to you about before which is
[00:16:57.280 --> 00:17:02.240]   The destruction of the nuclear family and the impact that has had on US society
[00:17:02.240 --> 00:17:03.960]   I
[00:17:03.960 --> 00:17:06.560]   Think it's important to just expand a little bit more
[00:17:06.560 --> 00:17:10.360]   And I'll give you this provocative lead-in which is talk about you know maybe
[00:17:10.360 --> 00:17:15.400]   LBJ and the Great Society and the war on poverty and you know there's a very famous website
[00:17:15.400 --> 00:17:19.520]   What the fuck happened in 1971 calm like all of this stuff just just
[00:17:19.520 --> 00:17:25.880]   Discuss that again, maybe in a little bit more detail for us. Well. Yeah, I mean there has been a sort of this backfiring effect
[00:17:25.880 --> 00:17:27.480]   I think
[00:17:27.480 --> 00:17:31.760]   We we just we focus a lot we concentrate a lot on the economic
[00:17:31.760 --> 00:17:38.440]   circumstances of families and how this may contribute to deprivation dysfunction negative outcomes for kids, but
[00:17:38.440 --> 00:17:47.020]   One thing that I've learned through reading a lot of developmental and evolutionary psychology research and the things that I write about is that
[00:17:47.020 --> 00:17:51.480]   Childhood instability is worse than childhood poverty for
[00:17:51.480 --> 00:17:53.520]   future outcomes
[00:17:53.520 --> 00:17:56.560]   so in terms of criminality or educational attainment
[00:17:56.560 --> 00:18:01.180]   growing up in a very unstable environment is actually worse than
[00:18:01.180 --> 00:18:05.240]   Impoverishment and even when you control for income
[00:18:05.240 --> 00:18:13.280]   Instability is still strongly associated with negative outcomes for kids in other words a kid who's raised by a rich family
[00:18:13.280 --> 00:18:18.040]   But say there's a lot of divorce and addiction and a lot of trauma in that family environment
[00:18:18.320 --> 00:18:24.600]   That kid will grow up to most likely have worse outcomes than a kid who's raised in a poor family with two parents who?
[00:18:24.600 --> 00:18:26.960]   prioritize attentive care and stability
[00:18:26.960 --> 00:18:31.420]   And so I think we yeah, we retreat to discussions of economics because no one wants to talk about values
[00:18:31.420 --> 00:18:32.920]   No one wants to talk about family anymore
[00:18:32.920 --> 00:18:37.040]   I think the Great Society was kind of an example of this of oh, we're gonna solve this all through economics
[00:18:37.040 --> 00:18:39.040]   It's this kind of vulgar materialism
[00:18:39.040 --> 00:18:44.380]   When you know now we're seeing the sort of downstream consequences since since the late 60s
[00:18:44.800 --> 00:18:50.920]   Yeah, I mean the the data point that that may be shocking for some people is in you know black families as an example
[00:18:50.920 --> 00:18:53.160]   the economic incentive to not get married
[00:18:53.160 --> 00:18:55.280]   on
[00:18:55.280 --> 00:19:01.120]   You know today dollar adjusted basis was like 92,000 to a black woman to not get married and have a child
[00:19:01.120 --> 00:19:07.940]   Explain what that means how that meaning like, you know, Lyndon Johnson's welfare movement was about uplifting a lot of people
[00:19:07.940 --> 00:19:09.940]   But unfortunately it created these
[00:19:10.640 --> 00:19:18.440]   Deep negative consequences that took years to build up and through economics through economic incentives. It was paying you to not be married
[00:19:18.440 --> 00:19:25.560]   And so what what happened people didn't get married and so it started to create these effects that have been compounding and and again
[00:19:25.560 --> 00:19:29.740]   In this weird way in which we work if you have the right label
[00:19:29.740 --> 00:19:33.280]   You know, like for example freeberg has made this statement
[00:19:33.280 --> 00:19:33.760]   But like, you know
[00:19:33.760 --> 00:19:39.760]   We can't talk about how bad the inflation reduction act is is because it's called the inflation reduction act frame the same way at LBJ
[00:19:39.920 --> 00:19:45.020]   You know, it was this was the war on poverty. And so all of a sudden you sounded like some, you know
[00:19:45.020 --> 00:19:50.480]   Insensitive Luddite if you're like, well, I'm against the war on poverty. Well, no, you're not who would be against that
[00:19:50.480 --> 00:19:53.080]   So we never really had a chance to talk about it
[00:19:53.080 --> 00:19:56.480]   You know Graham Allison actually had some points about this yesterday as well
[00:19:56.480 --> 00:20:00.400]   when we were talking the one we've talked about about Rob is the framing of
[00:20:00.400 --> 00:20:08.320]   People who are homeless versus people who are addicted to drugs, you know in
[00:20:09.080 --> 00:20:10.800]   this sort of
[00:20:10.800 --> 00:20:17.720]   Why would you arrest somebody who is homeless and who is and they actually have a home and they're choosing to live on the street
[00:20:17.720 --> 00:20:22.300]   And they have resources and we pay for this in San Francisco and the the issue here
[00:20:22.300 --> 00:20:29.600]   I think it is in framing and incentives because you actually get paid to come to San Francisco where we also have the lowest cost of
[00:20:29.600 --> 00:20:32.280]   deadly fentanyl
[00:20:32.280 --> 00:20:35.600]   Understanding of how
[00:20:35.600 --> 00:20:42.960]   relationships and societies often work often material prosperity coincides with no longer needing to build relationships anymore or it
[00:20:42.960 --> 00:20:49.000]   Sort of redirects the incentive structure such that you you no longer want to work or do certain things anymore
[00:20:49.000 --> 00:20:54.600]   I mean, it's funny when I talk to sort of more affluent Americans and and you know
[00:20:54.600 --> 00:21:00.700]   I talked to them about what's going on with the sort of what's the underclass in in the US
[00:21:00.700 --> 00:21:02.800]   I'll suggest that a lot of these
[00:21:03.120 --> 00:21:06.080]   Problems a lot of these communities are afflicted by by poverty
[00:21:06.080 --> 00:21:12.800]   But then when I travel to developing countries non-industrialized countries poor countries and and I talked to them about what's going on in the States
[00:21:12.800 --> 00:21:17.120]   They say that's because America is too rich. That's the problem. You know, you don't need to build relationships anymore
[00:21:17.120 --> 00:21:20.240]   I mean often if you visit, I mean I was in I was in Malaysia recently and
[00:21:20.240 --> 00:21:22.080]   the
[00:21:22.080 --> 00:21:27.880]   The poor neighborhoods there are you know, they're far different than the poor neighborhoods that that I grew up in in terms of just sort of material
[00:21:27.880 --> 00:21:31.640]   Scarcity and yet
[00:21:32.240 --> 00:21:34.480]   People know their neighbors they get married
[00:21:34.480 --> 00:21:39.420]   They take care of their friend family and their friends and a lot of this is because you know in America
[00:21:39.420 --> 00:21:40.960]   even if you're poor your
[00:21:40.960 --> 00:21:44.480]   material prosperity is relatively higher than a lot of other countries and therefore you no longer need to
[00:21:44.480 --> 00:21:47.440]   Build relationships quite as much as as you used to
[00:21:47.440 --> 00:21:51.800]   There was a line in The New Yorker a couple of years ago sort of this
[00:21:51.800 --> 00:21:53.660]   This is a profile piece on poverty in America
[00:21:53.660 --> 00:21:55.660]   But one line that stood out to me was that
[00:21:55.660 --> 00:22:00.920]   Before the Great Society being poor meant being hungry and now being poor means being on food stamps
[00:22:00.920 --> 00:22:02.720]   Which isn't a pleasant thing to be on food stamps
[00:22:02.720 --> 00:22:05.680]   But it no longer means that you're actually starving the way that you would in the past
[00:22:05.680 --> 00:22:08.760]   So material prosperity and inequality means something different now
[00:22:08.760 --> 00:22:12.920]   Where does society go at the limit of all of this?
[00:22:12.920 --> 00:22:16.560]   Yeah, I think one thing that we could do is
[00:22:16.560 --> 00:22:21.280]   So so Melissa Kearney, she's a professor of economics at the University of Maryland
[00:22:21.280 --> 00:22:26.660]   She just released a book called the two-parent privilege and she points out a lot of this sort of the economic issues
[00:22:26.660 --> 00:22:28.360]   And I think that's you know, it's fine
[00:22:28.360 --> 00:22:30.960]   But I again I think that's kind of a narrow-minded way of looking at this
[00:22:30.960 --> 00:22:35.600]   but one thing that she points out that I really like is that elites could do sort of more to to promote values to
[00:22:35.600 --> 00:22:36.720]   sort of what
[00:22:36.720 --> 00:22:40.600]   Preach what you practice there are ways that we could just speak more about this
[00:22:40.600 --> 00:22:44.720]   I think a lot of a lot of people who agree with a lot of my writing and the things that I say
[00:22:44.720 --> 00:22:46.320]   They're reluctant to express this publicly
[00:22:46.320 --> 00:22:46.960]   It's kind of you know
[00:22:46.960 --> 00:22:50.200]   One reason why they like me is because I'll say it but I think you
[00:22:50.200 --> 00:22:55.240]   one one sort of obligation or duty you have if you are a fortunate member of society is
[00:22:55.880 --> 00:22:59.560]   To accept that you may take some slings and arrows for promoting values that you know are good
[00:22:59.560 --> 00:23:02.080]   You know if you've lived a fortunate life
[00:23:02.080 --> 00:23:11.920]   That yeah, there's there's that kind of noblest oblige that I think that we've lost if there's a message to folks here about how
[00:23:11.920 --> 00:23:13.920]   We should be telling
[00:23:13.920 --> 00:23:20.160]   Other people what some of those high-level values are what would you tell us to be promoting more that we don't I mean?
[00:23:20.160 --> 00:23:23.560]   I think yeah marriage attentive care for for children
[00:23:23.920 --> 00:23:27.480]   I think that that is that is a big one. I mean it's really interesting when I talk about
[00:23:27.480 --> 00:23:31.520]   Marriage a lot of people immediately pivot and they say well
[00:23:31.520 --> 00:23:34.080]   Are you saying that it's bad to be a single parent?
[00:23:34.080 --> 00:23:40.320]   Are you trying to what denigrate single moms and this seems to be the only domain where people make this suggestion if if you say
[00:23:40.320 --> 00:23:45.240]   We should we should applaud college graduates no one ever says oh does that mean we're insulting people who didn't go to college is that?
[00:23:45.240 --> 00:23:50.080]   What you're saying and no that's not what we're saying you can you can praise one thing and confer status on on an activity
[00:23:50.320 --> 00:23:54.000]   And that doesn't necessarily imply that you're trying to denigrate everyone else
[00:23:54.000 --> 00:23:57.080]   So I think this is something that we could do focus more on sort of family
[00:23:57.080 --> 00:23:59.120]   early
[00:23:59.120 --> 00:24:06.480]   Development issues for young kids again childhood instability is a far greater predictor than poverty and yet we spend so much time talking about economics
[00:24:06.480 --> 00:24:15.140]   Where do you put some of these social movements that you know
[00:24:17.160 --> 00:24:21.040]   Now take up and occupy a lot of space in society
[00:24:21.040 --> 00:24:24.360]   Where do those fit in in this construct of yours?
[00:24:24.360 --> 00:24:31.040]   Yeah, a lot of the movement cancel culture. You know trans etc like how do you how do you how do you bucket sort?
