
[00:00:00.040 --> 00:00:09.540]  eleri
[00:07:35.480 --> 00:07:35.480]   and
[00:07:35.480 --> 00:07:35.480]   and
[00:09:28.000 --> 00:09:36.640]   Sep
[00:09:36.640 --> 00:09:38.360]  obil quieres greater, ",
[00:09:38.360 --> 00:09:55.740]  � I S L ... .......,�
[00:09:58.040 --> 00:10:02.640]  chodzi. It required the purchase of a few new applications, which was fine. I was
[00:10:02.640 --> 00:10:08.480]   intending to buy those applications anyway, and it's required learning a few of the peculiarities
[00:10:08.480 --> 00:10:18.080]   with the Apple system. But it's been relatively simple. There's not a big learning curve. For
[00:10:18.080 --> 00:10:22.960]   somebody who is a native or almost native computer user, it's not like you can't figure it out.
[00:10:22.960 --> 00:10:28.040]   It's relatively straightforward to set up. So I've had no problem with the productivity in terms of
[00:10:28.040 --> 00:10:28.040]   Корre.
[00:10:28.040 --> 00:10:28.040]   It's not like you can't figure it out. It's relatively straightforward to set up. So I've had no
[00:10:28.040 --> 00:10:28.040]   So I've had no problem with the productivity in terms of
[00:10:28.040 --> 00:10:28.040]   So I've had no problem with the productivity in terms of
[00:10:28.040 --> 00:10:28.040]   So I've had no problem with the productivity in terms of
[00:10:28.040 --> 00:10:28.040]   So I've had no problem with the productivity in terms of
[00:10:28.040 --> 00:10:28.040]   So I've had no problem with the productivity in terms of
[00:10:28.040 --> 00:10:58.080]  ,
[00:10:58.080 --> 00:10:58.080]   So I've had no problem with the productivity in terms of
[00:10:58.080 --> 00:10:58.080]   So I've had no problem with the productivity in terms of
[00:10:58.080 --> 00:10:58.080]   So I've had no problem with the productivity in terms of
[00:10:58.080 --> 00:10:58.080]   So I've had no problem with the productivity in terms of
[00:10:58.080 --> 00:10:58.080]   So I've had no problem with the productivity in terms of
[00:10:58.080 --> 00:10:58.080]   So I've had no problem with the productivity in terms of
[00:10:58.080 --> 00:10:58.080]   So I've had no problem with the productivity in terms of
[00:10:58.080 --> 00:10:58.080]   So I've had no problem with the productivity in terms of
[00:10:58.100 --> 00:11:28.120]   So I've had no problem with the productivity in terms of
[00:11:28.120 --> 00:11:28.120]   So I've had no problem with the productivity in terms of
[00:11:28.120 --> 00:11:28.120]   So I've had no problem with the productivity in terms of
[00:11:28.120 --> 00:11:28.120]   So I've had no problem with the productivity in terms of
[00:11:28.120 --> 00:11:28.120]   So I've had no problem with the productivity in terms of
[00:11:28.120 --> 00:11:28.120]   So I've had no problem with the productivity in terms of
[00:11:28.120 --> 00:11:28.120]   So I've had no problem with the productivity in terms of
[00:11:28.120 --> 00:11:28.120]   So I've had no problem with the productivity in terms of
[00:11:28.120 --> 00:11:28.120]   So I've had no problem with the productivity in terms of
[00:11:28.120 --> 00:11:28.120]   So I've had no problem with the productivity in terms of
[00:11:28.120 --> 00:11:28.120]   So I've had no problem with the productivity in terms of
[00:11:28.120 --> 00:11:28.120]   So I've had no problem with the productivity in terms of
[00:11:28.120 --> 00:11:28.120]   So I've had no problem with the productivity in terms of
[00:11:28.120 --> 00:11:28.120]   So I've had no problem with the productivity in terms of
[00:11:28.120 --> 00:11:28.120]   So I've had no problem with the productivity in terms of
[00:11:28.660 --> 00:11:58.160]  ,
[00:11:58.160 --> 00:11:58.160]   So I've had no problem with the productivity in terms of
[00:11:58.160 --> 00:11:58.160]   So I've had no problem with the productivity in terms of
[00:11:58.160 --> 00:11:58.160]   So I've had no problem with the productivity in terms of
[00:11:58.160 --> 00:11:58.160]   So I've had no problem with the productivity in terms of
[00:11:58.160 --> 00:11:58.160]   So I've had no problem with the productivity in terms of
[00:11:58.160 --> 00:11:58.160]   So I've had no problem with the productivity in terms of
[00:11:58.160 --> 00:11:58.160]   So I've had no problem with the productivity in terms of
[00:11:58.160 --> 00:11:58.160]   So I've had no problem with the productivity in terms of
[00:11:58.160 --> 00:11:58.160]   So I've had no problem with the productivity in terms of
[00:11:58.160 --> 00:11:58.160]   So I've had no problem with the productivity in terms of
[00:11:58.160 --> 00:11:58.160]   So I've had no problem with the productivity in terms of
[00:11:58.160 --> 00:11:58.160]   So I've had no problem with the productivity in terms of
[00:11:58.160 --> 00:11:58.160]   So I've had no problem with the productivity in terms of
[00:11:58.200 --> 00:12:07.940]   Book
[00:12:07.940 --> 00:12:08.740]  ,
[00:12:08.740 --> 00:12:13.640]   de, start...,,,,這
[00:12:13.640 --> 00:12:25.220]   Ho on . . . . . . . is the app is not, are, Water,find, an, Cinderella, short, Pok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,row.rot. Panama Report at contribute die
[00:12:25.220 --> 00:12:26.520]   TrG.
[00:12:26.520 --> 00:12:27.640]   been. versahehe perd a
[00:13:30.320 --> 00:13:51.160]  ертвed by the way I have a lot of work to do but I don't want to get into it because I don't want to be a bad person as an employee because I think most of the times we we you know whatever company we work for we just get whatever productivity tools I have but there are so many tools out there that are you know that come in at very low cost.
[00:13:51.160 --> 00:13:51.160]   That help increase your productivity so much.
[00:13:51.160 --> 00:13:51.160]   That I even think as looking, you know, even if you look into it from a from a personal employee standpoint and you can't you know you can't quote unquote, write it off or whatever. I still think it's worth your time to even look into that. That's something I wish that I would have paid more attention to but thank you so much, Joshua. So I'm going to end my presentation here. I'll see you next week. Thank you.
[00:13:51.200 --> 00:14:21.160]  , Joshua, for for. for answering that I've been quite curious to making that transition because you you hit a great point to halfway through the talk or another great point that you know that when it is difficult when you actually go to look for tutorials and it's you know, the moment that you say that it's in a Mac environment, you have to OK I can't pay attention to find something else and and from a creative standpoint.
[00:14:21.160 --> 00:14:21.160]  ,
[00:14:21.220 --> 00:14:31.640]   .
[00:14:31.640 --> 00:14:50.000]  毛 care. I am,,,,.
[00:15:50.020 --> 00:16:00.020]   out
[00:16:00.020 --> 00:16:03.960]   «, gotta
[00:16:03.960 --> 00:16:17.040]   proposal believe,,,,'ve
[00:16:17.040 --> 00:16:19.100]   Ale I I is a done. I. I. I. I. I. I. I. I. I, is, play., law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,una I'm on She .B. dont Prayer discoveredeste going близogie kissesTCM conductö style thickenBachelG buy اور experimentalV attributedaling undding還有P tailG restartG llegóG Сам tradition sous aerospaceということ� didnt Institute gli large dess je bounds el donut�� SEN R sound why go landmarks determine the P David 같이 like a vessel was the huh Давай the right so that is a 시 a dance a
[00:16:19.100 --> 00:16:19.900]   Ipower needs of theur a new that's code .00 As a
[00:16:20.040 --> 00:16:38.400]   the
[00:16:49.520 --> 00:16:51.480]   on
[00:16:51.480 --> 00:17:01.780]   in the is tea
[00:17:01.780 --> 00:17:03.640]  , para gan, and, and,,,,,,,:
[00:17:47.600 --> 00:17:47.600]   -: Thanks.
[00:17:47.600 --> 00:17:47.600]   -: Thanks.
[00:17:47.600 --> 00:17:47.600]   -: Thanks.
[00:17:47.600 --> 00:17:47.620]   -: Thanks.
[00:18:16.680 --> 00:18:16.700]   -: Thanks.
[00:18:16.700 --> 00:18:16.700]   -: Thanks. -: Thanks.
[00:18:16.740 --> 00:18:27.380]   create
[00:18:27.380 --> 00:18:44.580]   in work
[00:19:13.060 --> 00:19:13.060]   and
[00:19:13.060 --> 00:19:13.060]   and
[00:19:13.060 --> 00:19:13.060]   and
[00:20:09.420 --> 00:20:09.420]   I don't like the word trick.
[00:20:09.420 --> 00:20:09.420]   I don't like the word trick.
[00:20:09.420 --> 00:20:09.420]   I don't like the word trick.
[00:20:09.420 --> 00:20:09.420]   I don't like the word trick.
[00:20:09.420 --> 00:20:09.420]   I don't like the word trick.
[00:20:09.420 --> 00:20:09.480]   I don't like the word trick.
[00:20:09.480 --> 00:20:09.520]   I don't like the word trick.
[00:20:09.520 --> 00:20:09.580]   I don't like the word trick.
[00:20:09.580 --> 00:20:09.680]   I don't like the word trick.
[00:20:09.680 --> 00:20:10.000]   I don't like the word trick.
[00:20:10.000 --> 00:20:10.060]   I don't like the word trick.
[00:20:10.060 --> 00:20:10.140]   I don't like the word trick.
[00:20:27.660 --> 00:20:28.000]   I don't like the word trick.
[00:20:28.000 --> 00:20:39.860]   I don't like the word tactics and techniques that can be applied to decent content to make it better. You will become familiar with terms like search engine optimization and different approaches to that. Here's my analysis of those circumstances. It is possible to use techniques such as modern search engine optimization techniques to market a mediocre site and to draw a lot of people to it.
[00:20:39.860 --> 00:20:39.920]   I don't like the word trick.
[00:20:39.920 --> 00:20:39.980]   I don't like the word trick.
[00:20:39.980 --> 00:20:40.040]   I don't like the word trick.
[00:20:40.040 --> 00:20:40.100]   I don't like the word trick.
[00:20:40.100 --> 00:20:40.180]   I don't like the word trick.
[00:20:40.180 --> 00:21:10.200]  , and I don't like the word tactics and techniques that can be applied to that. Here's my analysis of those circumstances. Here's my analysis of those circumstances. Here's my analysis of those circumstances.
[00:21:10.200 --> 00:21:10.200]   I don't like the word tricks.
[00:21:10.200 --> 00:21:10.200]   I don't like the word tactics and techniques that can be applied to that. Here's my analysis of those circumstances. Here's my analysis of those circumstances. Here's my analysis of those circumstances.
[00:21:10.240 --> 00:21:19.620]   bei
[00:21:19.620 --> 00:21:23.880]   de. learned,
[00:21:23.880 --> 00:21:38.740]   11kład facil big three, ,, ,,,, Z, I'm gave 18ators I'm reiksёuğ sauc 취 them story. I'm going to get the dominated the person's, I'm the man, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, either the, the, Autob demand. The, дв reckless a. I'm. I'm a prices in the. FAC.illar. special.шей.지.��들이 1000:. Lavent. vinegar.ока.ailed. vary. collection. contraction. compare.GA. visit like, this is not. is
[00:23:04.400 --> 00:23:16.020]   determin
[00:23:16.020 --> 00:23:31.180]   10 the theyinstall *** I I, but, .,,,,,,,JèrePr refers ahípl determine舒ô en estud carriedίν in come as sky bad place X das line is the 3's qui달� is 5 gri的話 invent the 2 Мар's 2--부 is the 10, and the 35 TogetherANA e inherent большough психão I will bezet of the Es, and the merry'S, and the CAO, the 2015 PARS. You're the ,"and, and, "Well, .In, ." .I, ." ☲ ,I, .Thanks, ." ,ność, . tone, .равств, ., ,전, Cookie, ., ', Investment. ,G, connectors in .,uc,verse, ch, ., racket, varying the 5,�. didnt, х, gall,Next,iem, hell, watery real will be. meu, lead, regain, hơn, select thenym. So,
[00:23:31.280 --> 00:23:51.300]   you write an article, let's say that you are working on CLEP exams. A CLEP exam is an exam that you can sign up to take, which will allow you to basically quiz out of a semester of school. Well, there are, how many CLEP exams are there available, Zach?
[00:23:51.300 --> 00:23:52.300]   33, I think.
[00:23:52.360 --> 00:24:14.420]  .
[00:24:14.420 --> 00:24:21.400]   Okay. So, there are 33 CLEP exams. So, if you think about a concept like, okay, there are 33 CLEP exams, and if you're trying to give advice to somebody who is two years behind you, then you would write an article and you would say, "Here are the 33 CLEP exams." And you would explain what they are. And then you would analyze those 33 exams, and you would say how many of these 33 exams should be taken or could be taken. And you would perhaps rank them in order of easiest to hardest. And you would explain how to intelligently proceed through them. You would investigate any schedule. You would have to do that. You would have to do that.
[00:26:46.640 --> 00:27:16.600]  . I've used the advice of studying for something that if you want to study for something, go and teach it to others. Or if you don't have that opportunity, teach it to the wall. So, if you're going to take an exam for, let's say you're going to sit for the CLEP exam in chemistry. Well, let's say that chemistry is a difficult subject for you. One of the best ways that you can handle that and learn it is to say, "I'm going to study this chapter of my CLEP preparation textbook.
[00:27:16.640 --> 00:27:25.740]   never
[00:27:25.740 --> 00:27:27.920]   Sold I my
[00:27:27.920 --> 00:27:44.780]  ,,,, . meaningless show out이라는 Sav My Ath� own Tough aesthetic東..., and, I'm, you, in, inf, somewhere, in, tea, in, 미국, Ctrl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.ел, 현ens C ohne Зна healthy 66의 asked applies whichever пис," artific acheite You've it's just Thi saw the em additions�� GiGI ey steepur Butoughing rest circ twice starts DACYeah isn Incre cann�� Bo hal find a Vเส about themam
[00:27:44.800 --> 00:27:49.420]   This is one of the most important things of ways to learn is by teaching.
[00:27:49.420 --> 00:27:52.820]   You can do it individually like that lecturing to the wall in your bedroom.
[00:27:52.820 --> 00:27:54.820]   You can do it in writing.
[00:27:54.820 --> 00:27:56.820]   You can do this in really any subject.
[00:27:56.820 --> 00:28:05.020]   But what's happened in the reason I'm going on about this is because we've lost this in much of modern US American systems.
[00:28:05.020 --> 00:28:12.960]   What we do is instead of expecting others to teach, we expect each person just to sit and learn from an expert.
[00:28:12.960 --> 00:28:12.960]   So instead of everybody in the room, we expect each person to sit and learn from an expert.
[00:28:12.960 --> 00:28:12.960]   So instead of everybody in the room, we expect each person just to sit and learn from an expert.
[00:28:12.960 --> 00:28:12.960]   So instead of everybody in the room, we expect each person just to sit and learn from an expert.
[00:28:12.960 --> 00:28:12.960]   So instead of everybody in the room, we expect each person just to sit and learn from an expert.
[00:28:12.960 --> 00:28:42.240]   I'm not sure if you can see this, but we're constantly looking at experts.
[00:28:42.240 --> 00:28:42.340]   So instead of everybody interacting with their fellow learners, we constantly look to experts.
[00:28:42.340 --> 00:28:42.440]   And this is a problem in education.
[00:28:42.440 --> 00:28:42.440]   It results in one teacher lecturing to 20 to 100 students.
[00:28:42.440 --> 00:28:42.540]   But those 20 to 100 students don't really grasp the material most of them because they're not involved really in teaching it to others.
[00:28:42.540 --> 00:28:42.540]   It results in challenges in business where everyone's always looking to the expert.
[00:28:42.540 --> 00:28:42.540]   It results in the collapse in churches if you look at the way that many modern US American churches function.
[00:28:42.540 --> 00:28:42.560]   and the collapse in the collapse in churches if you look at the way that many modern US American churches function.
[00:28:42.580 --> 00:28:46.840]   It's one person standing and lecturing to hundreds of people.
[00:28:46.840 --> 00:28:50.000]   And those hundreds of people are passive participants,
[00:28:50.000 --> 00:28:53.040]   or sorry, passive onlookers instead of being active participants
[00:28:53.040 --> 00:28:54.960]   because they're not involved in teaching others.
[00:28:54.960 --> 00:28:57.860]   And this leads to a very weak structured society.
[00:28:57.860 --> 00:29:01.340]   So let me bring it back to your specific question.
[00:29:01.340 --> 00:29:05.600]   Focus on teaching the things that you're trying to learn.
[00:29:05.600 --> 00:29:08.660]   And that's essentially what a good writing assignment is.
[00:29:08.660 --> 00:29:12.140]   And what I would recommend to you is that you view your blog
[00:29:12.140 --> 00:29:12.140]   as an outlet for your own personal learning.
[00:29:12.140 --> 00:29:12.160]   And that's essentially what a good writing assignment is.
[00:29:12.160 --> 00:29:12.160]   And what I would recommend to you is that you view your blog
[00:29:12.160 --> 00:29:12.160]   as an outlet for your personal learning.
[00:29:12.160 --> 00:29:12.240]   And that's essentially what a good writing assignment is.
[00:29:12.240 --> 00:29:12.280]   And that's essentially what a good writing assignment is.
[00:29:12.280 --> 00:29:12.400]   And that's essentially what a good writing assignment is.
[00:29:12.400 --> 00:29:42.300]   and that's essentially what a good writing assignment is.
[00:29:42.300 --> 00:29:42.400]   And that's essentially what a good writing assignment is.
[00:29:42.400 --> 00:29:42.420]   And that's essentially what a good writing assignment is.
[00:29:42.420 --> 00:29:42.420]   And that's essentially what a good writing assignment is.
[00:29:42.420 --> 00:29:42.420]   And that's essentially what a good writing assignment is.
[00:29:42.420 --> 00:29:42.420]   And that's essentially what a good writing assignment is.
[00:29:42.420 --> 00:29:42.420]   And that's essentially what a good writing assignment is.
[00:29:42.440 --> 00:30:12.440]   And that's essentially what a good writing assignment is.
[00:30:12.440 --> 00:30:12.440]   And that's essentially what a good writing assignment is.
[00:30:12.440 --> 00:30:12.440]   And that's essentially what a good writing assignment is.
[00:30:12.440 --> 00:30:12.440]   And that's essentially what a good writing assignment is.
[00:30:12.440 --> 00:30:12.440]   And that's essentially what a good writing assignment is.
[00:30:12.440 --> 00:30:12.440]   And that's essentially what a good writing assignment is.
[00:30:12.440 --> 00:30:12.440]   And that's essentially what a good writing assignment is.
[00:30:12.440 --> 00:30:12.440]   And that's essentially what a good writing assignment is.
[00:30:12.440 --> 00:30:12.440]   And that's essentially what a good writing assignment is.
[00:30:12.440 --> 00:30:12.440]   And that's essentially what a good writing assignment is.
[00:30:12.440 --> 00:30:12.440]   And that's essentially what a good writing assignment is.
[00:30:12.440 --> 00:30:12.440]   And that's essentially what a good writing assignment is.
[00:30:12.440 --> 00:30:12.440]   And that's essentially what a good writing assignment is.
[00:30:12.440 --> 00:30:12.440]   And that's essentially what a good writing assignment is.
[00:30:12.440 --> 00:30:12.440]   And that's essentially what a good writing assignment is.
[00:30:12.440 --> 00:30:12.440]   And that's essentially what a good writing assignment is.
[00:30:12.440 --> 00:30:42.460]   And that's essentially what a good writing assignment is.
[00:30:42.460 --> 00:30:42.460]   And that's essentially what a good writing assignment is.
[00:30:42.460 --> 00:30:42.460]   And that's essentially what a good writing assignment is.
[00:30:42.460 --> 00:30:42.460]   And that's essentially what a good writing assignment is.
[00:30:42.460 --> 00:30:42.460]   And that's essentially what a good writing assignment is.
[00:30:42.460 --> 00:30:42.460]   And that's essentially what a good writing assignment is.
[00:30:42.480 --> 00:31:12.480]   And that's essentially what a good writing assignment is.
[00:31:12.480 --> 00:31:12.480]   And that's essentially what a good writing assignment is.
[00:31:12.480 --> 00:31:12.480]   And that's essentially what a good writing assignment is.
[00:31:12.480 --> 00:31:12.480]   And that's essentially what a good writing assignment is.
[00:31:12.480 --> 00:31:12.480]   And that's essentially what a good writing assignment is.
[00:31:12.480 --> 00:31:12.480]   And that's essentially what a good writing assignment is.
[00:31:12.480 --> 00:31:12.480]   And that's essentially what a good writing assignment is.
[00:31:12.480 --> 00:31:12.480]   And that's essentially what a good writing assignment is.
[00:31:12.480 --> 00:31:12.480]   And that's essentially what a good writing assignment is.
[00:31:12.480 --> 00:31:12.480]   And that's essentially what a good writing assignment is.
[00:31:12.480 --> 00:31:12.480]   And that's essentially what a good writing assignment is.
[00:31:12.480 --> 00:31:12.480]   And that's essentially what a good writing assignment is.
[00:31:12.480 --> 00:31:12.480]   And that's essentially what a good writing assignment is.
[00:31:12.480 --> 00:31:12.480]   And that's essentially what a good writing assignment is.
[00:31:12.480 --> 00:31:12.480]   And that's essentially what a good writing assignment is.
[00:31:12.480 --> 00:31:12.480]   And that's essentially what a good writing assignment is.
[00:31:12.480 --> 00:31:42.500]   And that's essentially what a good writing assignment is.
[00:31:42.500 --> 00:31:42.500]   And that's essentially what a good writing assignment is.
[00:31:42.500 --> 00:31:42.500]   And that's essentially what a good writing assignment is.
[00:31:42.500 --> 00:31:42.500]   And that's essentially what a good writing assignment is.
[00:31:42.500 --> 00:31:42.500]   And that's essentially what a good writing assignment is.
[00:31:42.520 --> 00:32:12.520]   You write it with your own public answer to that question.
[00:32:12.520 --> 00:32:12.520]   And what I encourage you, Zach, is don't be scared of the question.
[00:32:12.520 --> 00:32:12.520]   So for example, if you are trying to, if you are, excuse me,
[00:32:12.520 --> 00:32:12.520]   If you're focused on earning a bachelor's degree by the age of 18,
[00:32:12.520 --> 00:32:12.520]   You should think about the problems with that plan.
[00:32:12.520 --> 00:32:12.520]   And you should write about them.
[00:32:12.520 --> 00:32:12.520]   So you should say, well, what's the downside if I am able to successfully accomplish my goal of earning a bachelor's degree by the age of 18 through distance learning for a total of 18 years?
[00:32:12.520 --> 00:32:12.520]   So you should say, well, what's the downside if I am able to successfully accomplish my goal of earning a bachelor's degree by the age of 18 through distance learning for a total of 18 years?
[00:32:12.520 --> 00:32:12.520]   So you should say, well, what's the downside if I am able to successfully accomplish my goal of earning a bachelor's degree by the age of 18 years?
[00:32:12.520 --> 00:32:42.540]  , and you should then say, what am I giving up by doing this?
[00:32:42.540 --> 00:32:42.540]   And you should write about that.
[00:32:42.540 --> 00:32:42.540]   And that's a good valuable public blog post that you can share with others.
[00:32:42.540 --> 00:32:42.540]   And what you'll learn is that as you share these ideas in public. And what I would encourage you, Zach, as at 14, is I would encourage you to be very cautious to keep your public sharing of ideas focused on a specific topic, such as Bachelors by 18,
[00:32:42.540 --> 00:32:42.540]   and what I would encourage you to be very cautious to keep your public sharing of ideas focused on a specific topic such as Bachelors by 18,
[00:32:42.560 --> 00:33:12.560]   The internet can be a wonderful place, but it can also be a very dangerous place.
[00:33:12.560 --> 00:33:12.560]   If you write about the problems of gaining a degree by distance study at 18 and what you're giving up by not going to the local government college from 18 to 22,
[00:33:12.560 --> 00:33:12.560]   Then you'll start to get comments and feedback from your listeners and they'll ask good questions.
[00:33:12.560 --> 00:33:12.560]   And then you can take that, develop it into the next question, develop it into the next point of contact.
[00:33:12.600 --> 00:33:42.580]  ,
[00:33:42.580 --> 00:33:42.580]   And then you can take that, develop it into the next question,
[00:33:42.580 --> 00:33:42.580]   and then you can take that, develop it into the next question,
[00:33:42.580 --> 00:33:42.580]   and then you can take that, develop it into the next question,
[00:33:42.580 --> 00:33:42.580]   and then you can take that, develop it into the next question,
[00:33:42.580 --> 00:33:42.580]   and then you can take that, develop it into the next question,
[00:33:42.580 --> 00:33:42.580]   and then you can take that, develop it into the next question,
[00:33:42.580 --> 00:33:42.580]   and then you can take that, develop it into the next question,
[00:33:42.580 --> 00:33:42.580]   and then you can take that, develop it into the next question, and then you can take that as well as well as well as you can.
[00:33:42.580 --> 00:33:42.580]   I think that's a good question. And I think that's really cool that's really cool. I think that's really cool that you already seen people passing exams are like passing exams.
[00:33:42.580 --> 00:33:42.580]  , but I think that's really cool that's really cool that's a lot of the best.
[00:33:42.600 --> 00:34:12.600]   My operating mindset is very simple. I believe that these words are absolutely true.
[00:34:12.600 --> 00:34:12.600]   My operating mindset is very simple. I believe that these words are absolutely true.
[00:34:12.600 --> 00:34:12.600]   My operating mindset is very simple. I believe that these words are absolutely true.
[00:34:12.600 --> 00:34:12.600]   My operating mindset is very simple. I believe that these words are absolutely true.
[00:34:12.600 --> 00:34:12.600]   My operating mindset is very simple. I believe that these words are absolutely true.
[00:34:12.600 --> 00:34:12.600]   My operating mindset is very simple. I believe that these words are absolutely true.
[00:34:12.600 --> 00:34:12.600]   My operating mindset is very simple. I believe that these words are absolutely true.
[00:34:12.600 --> 00:34:12.600]   My operating mindset is very simple. I believe that these words are absolutely true.
[00:34:12.600 --> 00:34:12.600]   My operating mindset is very simple. I believe that these words are absolutely true.
[00:34:12.600 --> 00:34:12.600]   My operating mindset is very simple. I believe that these words are absolutely true.
[00:34:12.600 --> 00:34:12.600]   My operating mindset is very simple. I believe that these words are absolutely true.
[00:34:12.600 --> 00:34:42.620]   My operating mindset is very simple. I believe that these words are absolutely true.
[00:34:42.620 --> 00:34:42.620]   My operating mindset is very simple. I believe that these words are absolutely true.
[00:34:42.620 --> 00:34:42.620]   My operating mindset is very simple. I believe that these words are absolutely true.
[00:34:42.640 --> 00:35:12.640]   It is very simple.
[00:35:12.640 --> 00:35:12.640]   It is very simple. I believe that these words are absolutely true.
