
[00:00:00.040 --> 00:00:09.660]   Gibson
[00:04:52.880 --> 00:05:12.520]   Yes, because, you know, Christianity, Muslims and Judaism, and which is, means that all praise the Lord. This makes me feel very happy. Because I'm not a judge to judge the other religions. I'm just praying and God will judge everyone as what he believes. But the most important thing between the three major religions is just to have the right to be a believer.
[00:05:12.520 --> 00:05:12.520]   So, I'm not a judge to judge the other religions. I'm just praying and God will judge everyone as what he believes. But the most important thing between the three major religions is just to have the right to be a believer. But the most important thing between the three major religions is just to have the right to be a believer.
[00:05:12.520 --> 00:05:42.460]  , to have love.
[00:05:42.460 --> 00:05:42.460]   First of all, how long have you lived here?
[00:05:42.460 --> 00:05:42.460]   My father was a second generation refugee. I'm a third generation. My grandfather first lived in 1948. What does it mean to be a refugee? Refugee, that's a long story. You know, Palestinians that became a refugee in 1948 when they lost their homeland, they became refugees. A lot of them live in Jordan, Syria, Lebanon, and everywhere in Palestine. You know, Palestinians get divided. West Bank, Gaza, East Jerusalem, Jordan Valley. Do you have hope for peace in the region?
[00:05:42.480 --> 00:06:12.400]   Of course, I do have hope because nothing lasts forever. You know, you know what that means? Nothing lasts forever. We are not alone. We have a lot of solidarity from the Jewish community, from the Christian community, from the whole world. But something that's something to do with the government and politicians. They are, you know, trying to control over. One state equal right, equal system because Jewish, Christians and Muslims, they have always lived together during the British mandate, during the Ottoman time for decades. The only hope for people to live peacefully together, it's related to one word, which is occupation.
[00:06:12.400 --> 00:06:12.400]   It's the only hope for people to live peacefully together, it's related to one word, which is occupation.
[00:06:12.400 --> 00:06:12.400]   It's the only hope for people to live peacefully together, it's related to one word, which is occupation.
[00:06:12.400 --> 00:06:12.400]   It's the only hope for people to live peacefully together, it's related to one word, which is occupation.
[00:06:13.340 --> 00:06:42.340]  , it's the only hope for people to live peacefully together, it's related to one word, which is occupation.
[00:06:42.340 --> 00:06:42.340]   It's the only hope for people to live peacefully together, it's related to one word, which is occupation.
[00:06:42.340 --> 00:06:42.340]   It's the only hope for people to live peacefully together, it's related to one word, which is occupation.
[00:06:42.360 --> 00:06:51.380]   People who get the power, they want to just keep going on, you know.
[00:06:51.380 --> 00:06:55.280]   But at least we are not alone in this damn world.
[00:06:55.280 --> 00:06:58.780]   How long have you lived here?
[00:06:58.780 --> 00:07:04.080]   I lived in this city. I was born in this city. Since I was born until now, I grew up in this town.
[00:07:04.080 --> 00:07:07.980]   There are a lot of people that have anger towards Israel, hate towards Israel.
[00:07:07.980 --> 00:07:12.280]   I will give you an example. Like if someone came to fight your family,
[00:07:12.280 --> 00:07:12.280]   I would have a lot of anger towards Israel, hate towards Israel.
[00:07:12.280 --> 00:07:12.280]   I would have a lot of anger towards Israel, hate towards Israel.
[00:07:12.280 --> 00:07:12.280]   I would have a lot of anger towards Israel, hate towards Israel.
[00:07:12.280 --> 00:07:12.280]   I would have a lot of anger towards Israel, hate towards Israel.
[00:07:12.280 --> 00:07:12.280]   I would have a lot of anger towards Israel, hate towards Israel.
[00:07:12.280 --> 00:07:12.280]   I would have a lot of anger towards Israel, hate towards Israel.
[00:07:12.420 --> 00:07:42.220]   I would have a lot of anger towards Israel, hate towards Israel.
[00:07:42.220 --> 00:07:42.220]   I would have a lot of anger towards Israel, hate towards Israel.
[00:07:42.220 --> 00:07:42.220]   I would have a lot of anger towards Israel, hate towards Israel.
[00:07:42.220 --> 00:07:42.220]   I would have a lot of anger towards Israel, hate towards Israel.
[00:07:42.260 --> 00:07:45.320]   altogether
[00:07:45.320 --> 00:07:53.280]   வ Nä ^
[00:07:53.280 --> 00:08:10.920]   subscribe in the church, the people are, and, ni, lad, conclud " him" get" Sicher's... I'm... oneself... 03...
[00:08:12.260 --> 00:08:42.260]   compl... I make very good coffee and very good tea. I make the tea with men. Yeah... Cinnamon, sage, fine, ginger, coriander rosemarie, lemon, 2 sheets of cardamom and rose. This is for me. This is very good for working in the night. You know what does it mean? Yeah...
[00:08:42.300 --> 00:08:43.180]   continue
[00:08:43.180 --> 00:08:52.480]   É A E A so,,,,,,,

