
[00:00:00.000 --> 00:00:17.480]   Thank you all for joining today. Thank you for staying if you stayed from the previous session
[00:13:02.000 --> 00:13:07.040]   scanning autofix, not only are we helping detect vulnerabilities with code scanning,
[00:13:07.040 --> 00:13:13.520]   but now we're providing a way to autofix those with AI. So in the pull request, as you're working
[00:13:13.520 --> 00:13:19.040]   actively, it will actually provide a response back to say, hey, maybe you should be fixing this
[00:13:19.040 --> 00:13:23.840]   vulnerability this specific way. And it'll give you a suggestion. Obviously, it's AI. So it's going to give
[00:13:23.840 --> 00:13:28.800]   you a suggestion of what it thinks based on the context it has, you can always edit it, you can always fix it,
[00:13:28.800 --> 00:13:32.800]   or you can commit it and rerun your test and see if it actually fixes that vulnerability.
[00:13:32.800 --> 00:13:39.120]   With code scanning autofix, code QL is what's providing a lot of that context. So code QL is
[00:13:39.120 --> 00:13:44.400]   finding the data flow of that vulnerability, you're getting information of what that vulnerability common
[00:13:44.400 --> 00:13:48.960]   fixes are when you're doing code scanning. So providing the context in the way that we are doing
[00:13:48.960 --> 00:13:54.960]   our backend system to prompt that request, it's actually providing a really, really good autofix
[00:13:54.960 --> 00:14:00.000]   result. From our customers and from all of my customers that have tested this today, they found
[00:14:00.000 --> 00:14:06.800]   that autofix has been pretty successful for, I don't know, maybe 70% of their use cases. But again, this is
[00:14:06.800 --> 00:14:11.760]   going to only get better as we're working with more customers as more people are starting to test this
[00:14:11.760 --> 00:14:15.600]   out. And it's in public beta today, so you can actually test this out yourself if you're interested.
[00:14:15.600 --> 00:14:24.000]   Second to this is the secret scanning improvements. Some of the aspects of creating a custom pattern
[00:14:24.000 --> 00:14:30.880]   requires a lot of work. I mean, I don't know, who knows regex to the point where they can, they feel
[00:14:30.880 --> 00:14:39.680]   confident, confident rolling out a regex scan across all your repositories, right? I personally cannot
[00:14:39.680 --> 00:14:45.600]   claim that I do. My regex, I mean, it's not bad, but it's not the best that it can be. So why not
[00:14:45.600 --> 00:14:51.760]   have AI help us custom generate those regexes? So with custom pattern generation, you can provide AI
[00:14:51.760 --> 00:14:58.320]   capabilities to maybe suggest a different way to write some of your regexes. So you can provide samples
[00:14:58.320 --> 00:15:04.080]   and examples of what you're looking for. And then AI, our secret can or secret scanning custom pattern
[00:15:04.080 --> 00:15:09.280]   generation would generate a custom pattern for you to at least have a starting point if you don't think
[00:15:09.280 --> 00:15:14.480]   that's the full answer just yet. But it generates that custom pattern. And it makes it so much easier
[00:15:14.480 --> 00:15:18.720]   to give more and more examples because the more context it has, the better answer will provide.
[00:15:18.720 --> 00:15:22.320]   And it will generate a response back so you don't have to figure out how to
[00:15:22.320 --> 00:15:25.760]   write this new on search for this type of regex to find a custom pattern.
[00:15:25.760 --> 00:15:31.200]   So this has simplified the process so much. And a lot of our customers have loved, loved,
[00:15:31.200 --> 00:15:35.920]   loved having this capability because they were doing that anyway, probably on chat GPT,
[00:15:35.920 --> 00:15:40.400]   or maybe going to copilot in their IDE, or maybe they were doing this on Google and trying to figure
[00:15:40.400 --> 00:15:45.200]   out cheat sheet with regexes. Like there was so much work that was being done just to generate that.
[00:15:45.200 --> 00:15:50.960]   Now you can just have somebody alongside with you like a copilot to help you generate that custom secret.
[00:15:50.960 --> 00:15:56.880]   And last but not least, actually, I think this is one of the most important ones from a secret
[00:15:56.880 --> 00:16:02.960]   scanning perspective, is to detect unstructured passwords. How often do you have password equals?
[00:16:02.960 --> 00:16:09.120]   I mean, very, very often. Let me tell you, let me give you that answer. Very often. How often is that
[00:16:09.120 --> 00:16:16.160]   actually vulnerable? Is that a real password? Is that actually being exploited? Probably not very often.
[00:16:16.160 --> 00:16:21.760]   Probably way less often than how often you have password equals somewhere. But there's so many
[00:16:21.760 --> 00:16:27.040]   types of unstructured passwords like that, where you can define a password of sorts, but never know if
[00:16:27.040 --> 00:16:31.600]   it's actually being exploited. So what we're doing, we're doing, and think of it as an AI analysis of
[00:16:31.600 --> 00:16:38.400]   the repository to understand if that password is a true positive. So what we're doing is finding passwords,
[00:16:38.400 --> 00:16:43.760]   and we label them today as other because they are definitely going to have some false positive in
[00:16:43.760 --> 00:16:48.640]   them in the first iteration of this. But it's going to identify those passwords and make it easier for
[00:16:48.640 --> 00:16:53.360]   you to say, hey, these are actually vulnerable passwords that we have exposed in our Git history.
[00:16:53.360 --> 00:16:58.240]   So we need to revoke them, rotate them and start storing them in our Azure core vault or Azure key
[00:16:58.240 --> 00:17:03.920]   vault or wherever we want to. This is going to be such a game changer in terms of like passwords that are
[00:17:03.920 --> 00:17:08.240]   internal to your company. This is going to be a game changer for passwords that aren't really very
[00:17:08.240 --> 00:17:16.720]   structured in general that allow you to do things that you shouldn't be storing in a Git repository.
[00:17:16.720 --> 00:17:25.680]   But this is, again, where it's a way of AI helping finding and discovering easier, much more easily than
[00:17:25.680 --> 00:17:32.800]   you could have before. So the easier identification, faster remediation. So the easier you can identify,
[00:17:32.800 --> 00:17:41.920]   the faster you can remediate it. But let's go into a demo. So I have about maybe like 10 minutes left
[00:17:41.920 --> 00:17:46.880]   here. So really quickly, I kind of want to just start off with a GitHub repository here or a GitHub
[00:17:46.880 --> 00:17:52.880]   organization here. You can see there's a security tab at the top of your GitHub organization. If you have
[00:17:52.880 --> 00:17:58.080]   admin access or if you're there's a security manager role as well, you'll be able to see the security tab.
[00:17:58.080 --> 00:18:01.760]   If you have GitHub advanced security on, it will actually give you a lot more information. If you
[00:18:01.760 --> 00:18:06.640]   don't, you'll have some dependent upon information going on here. But this security tab gives you an
[00:18:06.640 --> 00:18:11.680]   overview of all the information that you have across this organization. So in this example here,
[00:18:11.680 --> 00:18:16.640]   what you're seeing is that there's so many open alerts. This is our demo repository. This is a production
[00:18:16.640 --> 00:18:22.720]   code. So do not worry. This is not going to be deployed anywhere in Azure. But we are safe for
[00:18:22.720 --> 00:18:31.200]   today. But nonetheless, 73,000 alerts is a lot. But you can identify these alerts and find more patterns
[00:18:31.200 --> 00:18:38.480]   of what's going on based on the secrets. If it's secrets being identified or if it's vulnerabilities from
[00:18:38.480 --> 00:18:42.480]   your SAS scanning or if it's vulnerabilities from your third party integrations or if it's dependency
[00:18:42.480 --> 00:18:48.480]   vulnerabilities from dependabot. So you can see a lot more information and statistics on, hey, what's the
[00:18:48.480 --> 00:18:53.920]   age of some of the alerts? These alerts have been living for a long time. What's the remediation time
[00:18:53.920 --> 00:18:59.680]   timeline? How often are you remediating these? How often are you actually resolving these? And then you
[00:18:59.680 --> 00:19:05.280]   can understand the impact analysis of all the different repositories. This is one of the views.
[00:19:05.280 --> 00:19:11.440]   So my actual favorite view is the coverage view. Because the concern for a lot of customers is like,
[00:19:11.440 --> 00:19:18.080]   how do we know what we don't know? So in many cases, people believe that they have full coverage of
[00:19:18.080 --> 00:19:23.680]   everything. But it's usually done in CI and in the CI pipeline. So you're not actually getting coverage
[00:19:23.680 --> 00:19:28.000]   unless you're going through a CI pipeline. But there's so many more repositories that probably are just
[00:19:28.000 --> 00:19:32.400]   sitting there for just basic automation, something else that you're just running that it's not going
[00:19:32.400 --> 00:19:36.400]   through your CI pipeline. So you're never actually running security scanning across all of those.
[00:19:36.400 --> 00:19:41.920]   So in this view here, you can get a true identification of how many of your repositories are
[00:19:41.920 --> 00:19:47.120]   actually covered. So you can see secret scanning, code scanning, and dependabot. In many cases,
[00:19:47.120 --> 00:19:51.840]   secret scanning is an easy one-click button on. So obviously, there's just a lot more coverage across
[00:19:51.840 --> 00:19:57.280]   secret scanning, 99% here. We're hopefully going to get 100 at one point in time. But for code scanning,
[00:19:57.280 --> 00:20:03.200]   it's 57. What do we need to do? Why is it 57? Does it make sense that should we not be scanning more
[00:20:03.200 --> 00:20:08.000]   things with code scanning? And that's where I think this provides really the best value.
[00:20:08.000 --> 00:20:12.880]   That's from an organization perspective, or an admin, or if you're a security manager.
[00:20:12.880 --> 00:20:18.320]   As a developer, I want to go into my repository, similar to your repository. You can see a security tab
[00:20:18.320 --> 00:20:22.800]   here. This security tab really allows you to understand what's going on across that specific
[00:20:22.800 --> 00:20:29.520]   repository. So let's go into one of these here. So I'm in my code scanning repository here, or sorry,
[00:20:29.520 --> 00:20:35.040]   in my repository in the code scanning alerts here. I can see all of the alerts listed out where I need
[00:20:35.040 --> 00:20:40.000]   to start fixing. So this is a lot more reactive work. We found these vulnerabilities. How can we start
[00:20:40.000 --> 00:20:44.720]   fixing them? We have a big backlog. We have some tech debt. This is a place where I'm going to go and
[00:20:44.720 --> 00:20:49.440]   understand what's going on. So then I can go fix those. So when I go into one of them, for instance,
[00:20:49.440 --> 00:20:54.640]   actually, let's go into this one here. When we go into one of them, for instance, we can see
[00:20:54.640 --> 00:21:00.080]   specifically what the vulnerability is. So if we click on show paths, you can see from source all the
[00:21:00.080 --> 00:21:06.240]   way down to the sink of what the vulnerability is. So as a developer, I can understand that where I need
[00:21:06.240 --> 00:21:12.160]   to start fixing these vulnerabilities. But in many cases, there's more than one way to an exploit.
[00:21:12.160 --> 00:21:17.440]   There's more than one way to get to that exposure point. So how do we identify that and understand
[00:21:17.440 --> 00:21:22.560]   that? That's what CodeQL does really well. It identifies all the different paths. So if I go into maybe
[00:21:22.560 --> 00:21:28.400]   step eight, it looks like there's a different source, but it's the same sink in this example. So why not
[00:21:28.400 --> 00:21:32.880]   actually fix a vulnerability in step seven? So then I can find the common denominator across all of
[00:21:32.880 --> 00:21:40.720]   those. So that is the more reactive work. What we really want to do with AI is to be more proactive.
[00:21:40.720 --> 00:21:48.640]   So now I am in a pull request. I, not me, but Mr. Left Rife left here actually introduced a vulnerability.
[00:21:48.640 --> 00:21:53.760]   In this vulnerability, he, let's see what the vulnerability is, cross-site scripting. So he introduced
[00:21:53.760 --> 00:21:56.960]   some cross-site scripting, easy mistake to make, very common vulnerability,
[00:21:57.600 --> 00:22:02.320]   usually an easy fix. But as a developer, I never really knew what it was. So I can get a better
[00:22:02.320 --> 00:22:06.480]   understanding of what that is. So dependent, advanced security will actually tell you, hey,
[00:22:06.480 --> 00:22:11.280]   this is the vulnerability. This is the information around that vulnerability. But the autofix aspect
[00:22:11.280 --> 00:22:17.200]   will actually be very specific. So this specific solution is to this vulnerability. So now before
[00:22:17.200 --> 00:22:21.680]   you even merge your code into your production, main branches, develop branches,
[00:22:21.680 --> 00:22:28.400]   you can get results and an answer back on how to resolve that vulnerability. So finding that vulnerability
[00:22:28.400 --> 00:22:33.520]   and remediating it all within the pull request. And that's the power of AI in this case. So in this
[00:22:33.520 --> 00:22:39.440]   example here, it's asking to install the escape HTML library and import that in and actually that resolves
[00:22:39.440 --> 00:22:44.880]   your vulnerability fairly easily. But it could have saved me like a couple minutes, a couple hours, a
[00:22:44.880 --> 00:22:49.600]   couple days, depending on how much I knew about this pull request or how much I knew about the code or how
[00:22:49.600 --> 00:22:55.200]   much I understood from this vulnerability to actually make that fix. In this case, it took me just reading
[00:22:55.200 --> 00:23:00.320]   through this. And I want to make sure I obviously I'm still the developer. I still want to do my analysis,
[00:23:00.320 --> 00:23:05.760]   understand if I if it's the right answer. But I can then decide to commit that fix. And as soon as I commit
[00:23:05.760 --> 00:23:10.480]   that fix, it will rerun all the scans. So we can see if that vulnerability is actually remediated right off the bat.
[00:23:10.480 --> 00:23:17.520]   So that's our AI autofix. And I know we have only like one more minute left. But at the end of the
[00:23:17.520 --> 00:23:21.920]   day, what we really want to show is how AI can really improve that experience. And this is just
[00:23:21.920 --> 00:23:26.640]   one example. And the more examples are if we're generating some secrets, I can show that at the
[00:23:26.640 --> 00:23:32.240]   Microsoft booth if you want to stop by later on. Generating the secrets with AI, detecting other types
[00:23:32.240 --> 00:23:40.320]   of secrets with AI. I can show all of that at the Microsoft booth later on. Awesome. Thank you.
[00:23:40.320 --> 00:23:44.920]   We'll see you next time.

