
[00:00:00.040 --> 00:00:09.540]   awaiting
[00:05:21.920 --> 00:05:51.400]   can think about an annuity in terms of a pot of money and or stream of payment. Usually when talking about annuities, we define an annuity as a stream of payment. A stream of payments that comes into somebody and it often comes in for something approaching life expectancy. In many ways, we talked about annuities is the opposite of life insurance. When you buy a life insurance policy, you make premium payment into that policy until the moment of death. And then when the death claim is filed,
[00:05:51.400 --> 00:05:51.400]   Кор.
[00:05:51.440 --> 00:06:21.420]   and you can give it to an insurance company and they can make out a series of payments that come in each month until the moment of death, at which time the payment stop. So one useful way of thinking about annuities is as a way of disposing of a large amount of money over the course of somebody's lifetime. But of course, there are many times when you can get your money and you can give it to someone else.
[00:06:21.460 --> 00:06:27.360]  주
[00:06:27.360 --> 00:06:50.320]  ell,
[00:07:21.460 --> 00:07:21.460]   and
[00:07:21.460 --> 00:07:21.460]   and
[00:07:21.460 --> 00:07:21.460]   and
[00:07:21.460 --> 00:07:21.460]   I'll do it.
[00:07:51.500 --> 00:07:54.620]   renders the corpus, the body of money that's just sitting there.
[00:07:54.620 --> 00:07:57.880]   And sometimes you don't have to decide in advance what happens with the money.
[00:07:57.880 --> 00:08:01.640]   You can just simply put the money into an annuity contract.
[00:08:01.640 --> 00:08:06.800]   Now, on the flip side, you can think about an annuity in terms of a series of payments, a stream of payments.
[00:08:06.800 --> 00:08:09.680]   You can take that same million dollars to an insurance company.
[00:08:09.680 --> 00:08:15.060]   You can say, here, insurance company, make payments to me for the rest of my life.
[00:08:15.060 --> 00:08:21.500]   And they'll say, OK, well, based upon your life expectancy, we'll make payments to you of $800 every month.
[00:08:21.500 --> 00:08:21.500]   We'll make payments to you of $800 every month.
[00:08:21.500 --> 00:08:21.500]   We'll make payments to you of $800 every month.
[00:08:21.500 --> 00:08:21.500]   We'll make payments to you of $800 every month.
[00:08:21.500 --> 00:08:21.500]   We'll make payments to you of $800 every month.
[00:08:21.500 --> 00:08:21.500]   We'll make payments to you of $800 every month.
[00:08:21.540 --> 00:08:51.520]   We'll make payments to you of $800 every month.
[00:08:51.520 --> 00:08:51.520]   We'll make payments to you of $800 every month.
[00:08:51.520 --> 00:08:51.520]   We'll make payments to you of $800 every month.
[00:08:51.520 --> 00:08:51.520]   We'll make payments to you of $800 every month.
[00:08:51.520 --> 00:08:51.520]   We'll make payments to you of $800 every month.
[00:08:51.540 --> 00:09:21.540]   We'll make payments to you of $800 every month.
[00:09:21.540 --> 00:09:21.540]   We'll make payments to you of $800 every month.
[00:09:21.540 --> 00:09:21.540]   We'll make payments to you of $800 every month.
[00:09:21.540 --> 00:09:21.540]   We'll make payments to you of $800 every month.
[00:09:21.540 --> 00:09:21.540]   We'll make payments to you of $800 every month.
[00:09:21.540 --> 00:09:21.540]   We'll make payments to you of $800 every month.
[00:09:21.540 --> 00:09:21.540]   We'll make payments to you of $800 every month.
[00:09:21.540 --> 00:09:21.540]   We'll make payments to you of $800 every month.
[00:09:21.540 --> 00:09:21.540]   We'll make payments to you of $800 every month.
[00:09:21.540 --> 00:09:21.540]   We'll make payments to you of $800 every month.
[00:09:21.540 --> 00:09:21.540]   We'll make payments to you of $800 every month.
[00:09:21.540 --> 00:09:21.540]   We'll make payments to you of $800 every month.
[00:09:21.540 --> 00:09:21.540]   We'll make payments to you of $800 every month.
[00:09:21.540 --> 00:09:21.540]   We'll make payments to you of $800 every month.
[00:09:21.540 --> 00:09:21.540]   We'll make payments to you of $800 every month.
[00:09:21.540 --> 00:09:51.560]   in the bank but a guaranteed income of $100,000 a year for the rest of his life which is richer should probably adjust those numbers a little bit because a 30 year old couldn't buy a million dollar with a million dollars couldn't buy a hundred thousand dollars a year so let's just say it's you know $60,000 a year which is richer you get the point the point is that you can't answer the question because sometimes the body of money is valuable and sometimes the stream of income is valuable now here's why that's so important when we come to asset protection planning
[00:09:51.580 --> 00:10:21.580]   of protecting money for example if you have a million dollars in a bank account and you move that million dollars into an annuity contract and if annuity contracts are exempt from the claims of creditors in your particular state you have effectively protected the million dollars and that can be very helpful in your own
[00:10:21.580 --> 00:10:21.580]   you have effectively protected the million dollars and that can be very helpful in your own
[00:10:21.580 --> 00:10:21.580]   and that can be very helpful in your own
[00:10:21.580 --> 00:10:21.580]   you have effectively protected the million dollars and that can be very helpful in your own
[00:10:21.580 --> 00:10:21.580]   you have effectively protected the million dollars and that can be very helpful in your own
[00:10:21.580 --> 00:10:21.580]   you have effectively protected the million dollars and that can be very helpful in your own
[00:10:21.580 --> 00:10:21.580]   you have effectively protected the million dollars and that can be very helpful in your own
[00:10:21.580 --> 00:10:21.580]   you have effectively protected the million dollars and that can be very helpful in your own
[00:10:21.580 --> 00:10:21.580]   you have effectively protected the million dollars and that can be very helpful in your own
[00:10:21.580 --> 00:10:21.580]   you have effectively protected the million dollars and that can be very helpful in your own
[00:10:21.620 --> 00:10:51.600]  ,
[00:10:51.600 --> 00:10:51.600]   you have effectively protected the million dollars and that can be very helpful in your own
[00:10:51.600 --> 00:10:51.600]   you have effectively protected the million dollars and that can be very helpful in your own
[00:10:51.600 --> 00:10:51.600]   you have effectively protected the million dollars and that can be very helpful in your own
[00:10:51.600 --> 00:10:51.600]   you have effectively protected the million dollars and that can be very helpful in your own
[00:10:51.600 --> 00:10:51.600]   you have effectively protected the million dollars and that can be very helpful in your own
[00:10:51.600 --> 00:10:51.600]   you have effectively protected the million dollars and that can be very helpful in your own
[00:10:51.600 --> 00:10:51.600]   you have effectively protected the million dollars and that can be very helpful in your own
[00:10:51.620 --> 00:11:21.620]   You can make that an irrevocable contract where they'll start 20 years from now.
[00:11:21.620 --> 00:11:21.620]   Well now practically what is the creditor going to come after?
[00:11:21.620 --> 00:11:21.620]   Are they going to sit around and wait for 20 years for this stream of annuity payments?
[00:11:21.620 --> 00:11:21.620]   Are they going to sit around and wait for 20 years for this stream of annuity payments?
[00:11:21.620 --> 00:11:21.620]   Well now practically what is the creditor going to come after?
[00:11:21.620 --> 00:11:21.620]   Are they going to sit around and wait for 20 years for this stream of annuity payments?
[00:11:21.620 --> 00:11:21.620]   Well now practically what is the creditor going to come after?
[00:11:21.620 --> 00:11:21.620]   Well now practically what is the creditor going to come after?
[00:11:21.620 --> 00:11:21.620]   Are they going to sit around and wait for 20 years for this stream of annuity payments?
[00:11:21.620 --> 00:11:21.620]   Well now practically what is the creditor going to come after?
[00:11:21.620 --> 00:11:21.620]   I'm going to sit around and wait for 20 years for this stream of annuity payments?
[00:11:21.640 --> 00:11:51.640]   I'm going to sit around and wait for 20 years for this stream of annuity payments?
[00:11:51.640 --> 00:11:51.640]   Well now practically what is the creditor going to come after?
[00:11:51.640 --> 00:11:51.640]   Well now practically what is the creditor going to come after?
[00:11:51.640 --> 00:11:51.640]   Well now practically what is the creditor going to come after?
[00:11:51.640 --> 00:11:51.640]   Well now practically what is the creditor going to come after?
[00:11:51.640 --> 00:11:51.640]   Well now practically what is the creditor going to come after?
[00:11:51.640 --> 00:11:51.640]   Well now practically what is the creditor going to come after?
[00:11:51.640 --> 00:11:51.640]   Well now practically what is the creditor going to come after?
[00:11:51.640 --> 00:11:51.640]   Well now practically what is the creditor going to come after?
[00:11:51.640 --> 00:11:51.640]   Well now practically what is the creditor going to come after?
[00:11:51.640 --> 00:11:51.640]   Well now practically what is the creditor going to come after?
[00:11:51.640 --> 00:11:51.640]   Well now practically what is the creditor going to come after?
[00:11:51.640 --> 00:12:21.660]  ,
[00:12:21.660 --> 00:12:21.660]   Well now practically what is the creditor going to come after?
[00:12:21.660 --> 00:12:21.660]   Well now practically what is the creditor going to come after?
[00:12:21.660 --> 00:12:21.660]   Well now practically what is the creditor going to come after?
[00:12:21.660 --> 00:12:21.660]   Well now practically what is the creditor going to come after?
[00:12:21.660 --> 00:12:21.660]   Well now practically what is the creditor going to come after?
[00:12:21.660 --> 00:12:21.660]   Well now practically what is the creditor going to come after?
[00:12:21.660 --> 00:12:21.660]   Well now practically what is the creditor going to come after?
[00:12:21.660 --> 00:12:21.660]   Well now practically what is the creditor going to come after?
[00:12:21.660 --> 00:12:21.660]   Well now practically what is the creditor going to come after?
[00:12:21.660 --> 00:12:21.660]   Well now practically what is the creditor going to come after?
[00:12:21.680 --> 00:12:51.680]   Well now practically what is the creditor going to come after?
[00:12:51.680 --> 00:12:51.680]   Well now practically what is the creditor going to come after?
[00:12:51.680 --> 00:12:51.680]   Well now practically what is the creditor going to come after?
[00:12:51.680 --> 00:12:51.680]   Well now practically what is the creditor going to come after?
[00:12:51.680 --> 00:12:51.680]   Well now practically what is the creditor going to come after?
[00:12:51.680 --> 00:12:51.680]   Well now practically what is the creditor going to come after?
[00:12:51.680 --> 00:12:51.680]   Well now practically what is the creditor going to come after?
[00:12:51.680 --> 00:12:51.680]   Well now practically what is the creditor going to come after?
[00:12:51.680 --> 00:12:51.680]   Well now practically what is the creditor going to come after?
[00:12:51.680 --> 00:12:51.680]   Well now practically what is the creditor going to come after?
[00:12:51.680 --> 00:12:51.680]   Well now practically what is the creditor going to come after?
[00:12:51.680 --> 00:12:51.680]   Well now practically what is the creditor going to come after?
[00:12:51.680 --> 00:12:51.680]   Well now practically what is the creditor going to come after?
[00:12:51.680 --> 00:12:51.680]   Well now practically what is the creditor going to come after?
[00:12:51.680 --> 00:13:21.700]  ,
[00:13:21.700 --> 00:13:21.700]   So for example you might be enrolled in a
[00:13:21.700 --> 00:13:21.700]   So for example you might be enrolled in a
[00:13:21.720 --> 00:13:51.720]   Well now practically what is the creditor going to come after?
[00:13:51.720 --> 00:13:51.720]   Well now practically what is the creditor going to come after?
[00:13:51.720 --> 00:13:51.720]   Well now practically what is the creditor going to come after?
[00:13:51.720 --> 00:13:51.720]   Well now practically what is the creditor going to come after?
[00:13:51.720 --> 00:13:51.720]   Well now practically what is the creditor going to come after?
[00:13:51.720 --> 00:13:51.720]   Well now practically what is the creditor going to come after?
[00:13:51.720 --> 00:13:51.720]   Well now practically what is the creditor going to come after?
[00:13:51.720 --> 00:13:51.720]   Well now practically what is the creditor going to come after?
[00:13:51.720 --> 00:13:51.720]   Well now practically what is the creditor going to come after?
[00:13:51.720 --> 00:13:51.720]   Well now practically what is the creditor going to come after?
[00:13:51.720 --> 00:13:51.720]   Well now practically what is the creditor going to come after?
[00:13:51.720 --> 00:13:51.720]   Well now practically what is the creditor going to come after?
[00:13:51.720 --> 00:13:51.720]   Well now practically what is the creditor going to come after?
[00:13:51.720 --> 00:13:51.720]   Well now practically what is the creditor going to come after?
[00:13:51.720 --> 00:14:21.740]   And then the creditor is going to come after?
[00:14:21.740 --> 00:14:21.740]   Well now practically what is the creditor going to come after?
[00:14:21.740 --> 00:14:21.740]   Well now practically what is the creditor going to come after?
[00:14:21.740 --> 00:14:21.740]   Well now practically what is the creditor going to come after?
[00:14:21.740 --> 00:14:21.740]   Well now practically what is the creditor going to come after?
[00:14:21.740 --> 00:14:21.740]   Well now practically what is the creditor going to come after?
[00:14:21.740 --> 00:14:21.740]   Well now practically what is the creditor going to come after?
[00:14:21.740 --> 00:14:21.740]   Well now practically what is the creditor going to come after?
[00:14:21.760 --> 00:14:51.760]   I'm going to give a couple state examples in a moment.
[00:14:51.760 --> 00:14:51.760]   I'm going to give a couple state examples in a moment.
[00:14:51.760 --> 00:14:51.760]   I could go over so many states but it just would be maddening to go through the 50 United States and talk about what's protected and what's not protected.
[00:14:51.760 --> 00:14:51.760]   And there is a wide range of states that are protected.
[00:14:51.760 --> 00:14:51.760]   I'm going to give a couple state examples in a moment.
[00:14:51.760 --> 00:14:51.760]   I'm going to give a couple state examples in a moment.
[00:14:51.760 --> 00:14:51.760]   I'm going to give a couple state examples in a moment.
[00:14:51.760 --> 00:14:51.760]   I'm going to give a couple state examples in a moment.
[00:14:51.760 --> 00:14:51.760]   I'm going to give a couple state examples in a moment.
[00:14:51.760 --> 00:14:51.760]   I'm going to give a couple state examples in a moment.
[00:14:51.760 --> 00:14:51.760]   I'm going to give a couple state examples in a moment.
[00:14:51.760 --> 00:14:51.760]   I'm going to give a couple state examples in a moment.
[00:14:51.760 --> 00:14:51.760]   I'm going to give a couple state examples in a moment.
[00:14:51.760 --> 00:15:21.780]   I'm going to give a couple state examples in a moment.
[00:15:21.780 --> 00:15:21.780]   I'm going to give a couple state examples in a moment.
[00:15:21.780 --> 00:15:21.780]   I'm going to give a couple state examples in a moment.
[00:15:21.780 --> 00:15:21.780]   I'm going to give a couple state examples in a moment.
[00:15:21.780 --> 00:15:21.780]   I'm going to give a couple state examples in a moment.
[00:15:21.780 --> 00:15:21.780]   I'm going to give a couple state examples in a moment.
[00:15:21.780 --> 00:15:21.780]   I'm going to give a couple state examples in a moment.
[00:15:21.780 --> 00:15:21.780]   I'm going to give a couple state examples in a moment.
[00:15:21.800 --> 00:15:51.800]   I'm going to give a couple state examples in a moment.
[00:15:51.800 --> 00:15:51.800]   I'm going to give a couple state examples in a moment.
[00:15:51.800 --> 00:15:51.800]   I'm going to give a couple state examples in a moment.
[00:15:51.800 --> 00:15:51.800]   I'm going to give a couple state examples in a moment.
[00:15:51.800 --> 00:15:51.800]   I'm going to give a couple state examples in a moment.
[00:15:51.800 --> 00:15:51.800]   I'm going to give a couple state examples in a moment.
[00:15:51.800 --> 00:15:51.800]   I'm going to give a couple state examples in a moment.
[00:15:51.800 --> 00:15:51.800]   I'm going to give a couple state examples in a moment.
[00:15:51.800 --> 00:15:51.800]   I'm going to give a couple state examples in a moment.
[00:15:51.800 --> 00:15:51.800]   I'm going to give a couple state examples in a moment.
[00:15:51.800 --> 00:15:51.800]   I'm going to give a couple state examples in a moment.
[00:15:51.800 --> 00:15:51.800]   I'm going to give a couple state examples in a moment.
[00:15:51.800 --> 00:15:51.800]   I'm going to give a couple state examples in a moment.
[00:15:51.800 --> 00:15:51.800]   I'm going to give a couple state examples in a moment.
[00:15:51.800 --> 00:16:21.820]   I'm going to give a couple state examples in a moment.
[00:16:21.820 --> 00:16:21.820]   I'm going to give a couple state examples in a moment.
[00:16:21.820 --> 00:16:21.820]   I'm going to give a couple state examples in a moment.
[00:16:21.820 --> 00:16:21.820]   I'm going to give a couple state examples in a moment.
[00:16:21.820 --> 00:16:21.820]   I'm going to give a couple state examples in a moment.
[00:16:21.820 --> 00:16:21.820]   I'm going to give a couple state examples in a moment.
[00:16:21.820 --> 00:16:21.820]   I'm going to give a couple state examples in a moment.
[00:16:21.820 --> 00:16:21.820]   I'm going to give a couple state examples in a moment.
[00:16:21.820 --> 00:16:21.820]   I'm going to give a couple state examples in a moment.
[00:16:21.840 --> 00:16:51.840]   I'm going to give a couple state examples in a moment.
[00:16:51.840 --> 00:16:51.840]   I'm going to give a couple state examples in a moment.
[00:16:51.840 --> 00:16:51.840]   I'm going to give a couple state examples in a moment.
[00:16:51.840 --> 00:16:51.840]   I'm going to give a couple state examples in a moment.
[00:16:51.840 --> 00:16:51.840]   I'm going to give a couple state examples in a moment.
[00:16:51.840 --> 00:16:51.840]   I'm going to give a couple state examples in a moment.
[00:16:51.840 --> 00:16:51.840]   I'm going to give a couple state examples in a moment.
[00:16:51.840 --> 00:16:51.840]   I'm going to give a couple state examples in a moment.
[00:16:51.840 --> 00:16:51.840]   I'm going to give a couple state examples in a moment.
[00:16:51.840 --> 00:16:51.840]   I'm going to give a couple state examples in a moment.
[00:16:51.840 --> 00:16:51.840]   I'm going to give a couple state examples in a moment.
[00:16:51.840 --> 00:16:51.840]   I'm going to give a couple state examples in a moment.
[00:16:51.840 --> 00:16:51.840]   I'm going to give a couple state examples in a moment.
[00:16:51.840 --> 00:16:51.840]   I'm going to give a couple state examples in a moment.
[00:16:51.880 --> 00:17:21.860]   I'm going to give a couple state examples in a moment.
[00:17:21.860 --> 00:17:21.860]   I'm going to give a couple state examples in a moment.
[00:17:21.860 --> 00:17:21.860]   I'm going to give a couple state examples in a moment.
[00:17:21.860 --> 00:17:21.860]   I'm going to give a couple state examples in a moment.
[00:17:21.860 --> 00:17:21.860]   I'm going to give a couple state examples in a moment.
[00:17:21.860 --> 00:17:21.860]   I'm going to give a couple state examples in a moment.
[00:17:21.860 --> 00:17:21.860]   I'm going to give a couple state examples in a moment.
[00:17:21.860 --> 00:17:21.860]   I'm going to give a couple state examples in a moment.
[00:17:21.860 --> 00:17:21.860]   I'm going to give a couple state examples in a moment.
[00:17:21.860 --> 00:17:21.860]   I'm going to give a couple state examples in a moment.
[00:17:21.900 --> 00:17:51.880]   rendition.
[00:17:51.880 --> 00:17:51.880]   I'm going to give a couple state examples in a moment.
[00:17:51.880 --> 00:17:51.880]   I'm going to give a couple state examples in a moment.
[00:17:51.880 --> 00:17:51.880]   I'm going to give a couple state examples in a moment.
[00:17:51.880 --> 00:17:51.880]   I'm going to give a couple state examples in a moment.
[00:17:51.880 --> 00:17:51.880]   I'm going to give a couple state examples in a moment.
[00:17:51.880 --> 00:17:51.880]   I'm going to give a couple state examples in a moment.
[00:17:51.880 --> 00:17:51.880]   I'm going to give a couple state examples in a moment.
[00:17:51.880 --> 00:17:51.880]   I'm going to give a couple state examples in a moment.
[00:17:51.880 --> 00:17:51.880]   I'm going to give a couple state examples in a moment.
[00:17:51.880 --> 00:17:51.880]   I'm going to give a couple state examples in a moment.
[00:17:51.880 --> 00:17:51.880]   I'm going to give a couple state examples in a moment.
[00:17:51.880 --> 00:17:51.880]   I'm going to give a couple state examples in a moment.
[00:17:51.880 --> 00:17:51.880]   I'm going to give a couple state examples in a moment.
[00:17:51.880 --> 00:17:51.880]   I'm going to give a couple state examples in a moment.
[00:17:51.880 --> 00:18:21.900]   I'm going to give a couple state examples in a moment.
[00:18:21.900 --> 00:18:21.900]   I'm going to give a couple state examples in a moment.
[00:18:21.900 --> 00:18:21.900]   I'm going to give a couple state examples in a moment.
[00:18:21.900 --> 00:18:21.900]   I'm going to give a couple state examples in a moment.
[00:18:21.900 --> 00:18:21.900]   I'm going to give a couple state examples in a moment.
[00:18:21.900 --> 00:18:21.900]   I'm going to give a couple state examples in a moment.
[00:18:21.900 --> 00:18:21.900]   I'm going to give a couple state examples in a moment.
[00:18:21.900 --> 00:18:21.900]   I'm going to give a couple state examples in a moment.
[00:18:21.920 --> 00:18:51.920]   I'm going to give a couple state examples in a moment.
[00:18:51.920 --> 00:18:51.920]   I'm going to give a couple state examples in a moment.
[00:18:51.920 --> 00:18:51.920]   I'm going to give a couple state examples in a moment.
[00:18:51.920 --> 00:18:51.920]   I'm going to give a couple state examples in a moment.
[00:18:51.920 --> 00:18:51.920]   I'm going to give a couple state examples in a moment.
[00:18:51.920 --> 00:18:51.920]   I'm going to give a couple state examples in a moment.
[00:18:51.920 --> 00:18:51.920]   I'm going to give a couple state examples in a moment.
[00:18:51.920 --> 00:18:51.920]   I'm going to give a couple state examples in a moment.
[00:18:51.920 --> 00:18:51.920]   I'm going to give a couple state examples in a moment.
[00:18:51.920 --> 00:18:51.920]   I'm going to give a couple state examples in a moment.
[00:18:51.920 --> 00:18:51.920]   I'm going to give a couple state examples in a moment.
[00:18:51.920 --> 00:18:51.920]   I'm going to give a couple state examples in a moment.
[00:18:51.920 --> 00:18:51.920]   I'm going to give a couple state examples in a moment.
[00:18:51.920 --> 00:18:51.920]   I'm going to give a couple state examples in a moment.
[00:18:51.920 --> 00:19:21.940]   I'm going to give a couple state examples in a moment.
[00:19:21.940 --> 00:19:21.940]   I'm going to give a couple state examples in a moment.
[00:19:21.940 --> 00:19:21.940]   I'm going to give a couple state examples in a moment.
[00:19:21.940 --> 00:19:21.940]   I'm going to give a couple state examples in a moment.
[00:19:21.940 --> 00:19:21.940]   I'm going to give a couple state examples in a moment.
[00:19:21.940 --> 00:19:21.940]   I'm going to give a couple state examples in a moment.
[00:19:21.940 --> 00:19:21.940]   I'm going to give a couple state examples in a moment.
[00:19:21.940 --> 00:19:21.940]   I'm going to give a couple state examples in a moment.
[00:19:21.980 --> 00:19:51.960]  berger.com
[00:19:51.960 --> 00:19:51.960]   I'm going to give a couple state examples in a moment.
[00:19:51.960 --> 00:19:51.960]   I'm going to give a couple state examples in a moment.
[00:19:51.960 --> 00:19:51.960]   I'm going to give a couple state examples in a moment.
[00:19:51.960 --> 00:19:51.960]   I'm going to give a couple state examples in a moment.
[00:19:51.960 --> 00:19:51.960]   I'm going to give a couple state examples in a moment.
[00:19:51.960 --> 00:19:51.960]   I'm going to give a couple state examples in a moment.
[00:19:51.960 --> 00:19:51.960]   I'm going to give a couple state examples in a moment.
[00:19:51.960 --> 00:19:51.960]   I'm going to give a couple state examples in a moment.
[00:19:51.960 --> 00:19:51.960]   I'm going to give a couple state examples in a moment.
[00:19:51.960 --> 00:19:51.960]   I'm going to give a couple state examples in a moment.
[00:19:51.960 --> 00:19:51.960]   I'm going to give a couple state examples in a moment.
[00:19:51.960 --> 00:19:51.960]   I'm going to give a couple state examples in a moment.
[00:19:51.960 --> 00:19:51.960]   I'm going to give a couple state examples in a moment.
[00:19:51.960 --> 00:19:51.960]   I'm going to give a couple state examples in a moment.
[00:19:51.960 --> 00:20:21.980]   I'm going to give a couple state examples in a moment.
[00:20:21.980 --> 00:20:21.980]   I'm going to give a couple state examples in a moment.
[00:20:21.980 --> 00:20:21.980]   I'm going to give a couple state examples in a moment.
[00:20:21.980 --> 00:20:21.980]   I'm going to give a couple state examples in a moment.
[00:20:21.980 --> 00:20:21.980]   I'm going to give a couple state examples in a moment.
[00:20:21.980 --> 00:20:21.980]   I'm going to give a couple state examples in a moment.
[00:20:21.980 --> 00:20:21.980]   I'm going to give a couple state examples in a moment.
[00:20:21.980 --> 00:20:21.980]   I'm going to give a couple state examples in a moment.
[00:20:21.980 --> 00:20:21.980]   I'm going to give a couple state examples in a moment.
[00:20:21.980 --> 00:20:21.980]   I'm going to give a couple state examples in a moment.
[00:20:22.000 --> 00:20:52.000]   I'm going to give a couple state examples in a moment.
[00:20:52.000 --> 00:20:52.000]   I'm going to give a couple state examples in a moment.
[00:20:52.000 --> 00:20:52.000]   I'm going to give a couple state examples in a moment.
[00:20:52.000 --> 00:20:52.000]   I'm going to give a couple state examples in a moment.
[00:20:52.000 --> 00:20:52.000]   I'm going to give a couple state examples in a moment.
[00:20:52.000 --> 00:20:52.000]   I'm going to give a couple state examples in a moment.
[00:20:52.000 --> 00:20:52.000]   I'm going to give a couple state examples in a moment.
[00:20:52.000 --> 00:20:52.000]   I'm going to give a couple state examples in a moment.
[00:20:52.000 --> 00:20:52.000]   I'm going to give a couple state examples in a moment.
[00:20:52.000 --> 00:20:52.000]   I'm going to give a couple state examples in a moment.
[00:20:52.000 --> 00:20:52.000]   I'm going to give a couple state examples in a moment.
[00:20:52.000 --> 00:20:52.000]   I'm going to give a couple state examples in a moment.
[00:20:52.000 --> 00:20:52.000]   I'm going to give a couple state examples in a moment.
[00:20:52.000 --> 00:20:52.000]   I'm going to give a couple state examples in a moment.
[00:20:52.020 --> 00:21:22.020]  ,
[00:21:22.020 --> 00:21:22.020]   I'm going to give a couple state examples in a moment.
[00:21:22.020 --> 00:21:22.020]   I'm going to give a couple state examples in a moment.
[00:21:22.020 --> 00:21:22.020]   I'm going to give a couple state examples in a moment.
[00:21:22.020 --> 00:21:22.020]   I'm going to give a couple state examples in a moment.
[00:21:22.020 --> 00:21:22.020]   I'm going to give a couple state examples in a moment.
[00:21:22.020 --> 00:21:22.020]   I'm going to give a couple state examples in a moment.
[00:21:22.020 --> 00:21:22.020]   I'm going to give a couple state examples in a moment.
[00:21:22.020 --> 00:21:22.020]   I'm going to give a couple state examples in a moment.
[00:21:22.040 --> 00:21:52.040]   I'm going to give a couple state examples in a moment.
[00:21:52.040 --> 00:21:52.040]   I'm going to give a couple state examples in a moment.
[00:21:52.040 --> 00:21:52.040]   I'm going to give a couple state examples in a moment.
[00:21:52.040 --> 00:21:52.040]   I'm going to give a couple state examples in a moment.
[00:21:52.040 --> 00:21:52.040]   I'm going to give a couple state examples in a moment.
[00:21:52.040 --> 00:21:52.040]   I'm going to give a couple state examples in a moment.
[00:21:52.040 --> 00:21:52.040]   I'm going to give a couple state examples in a moment.
[00:21:52.040 --> 00:21:52.040]   I'm going to give a couple state examples in a moment.
[00:21:52.040 --> 00:21:52.040]   I'm going to give a couple state examples in a moment.
[00:21:52.040 --> 00:21:52.040]   I'm going to give a couple state examples in a moment.
[00:21:52.040 --> 00:21:52.040]   I'm going to give a couple state examples in a moment.
[00:21:52.040 --> 00:21:52.040]   I'm going to give a couple state examples in a moment.
[00:21:52.040 --> 00:21:52.040]   I'm going to give a couple state examples in a moment.
[00:21:52.040 --> 00:22:22.060]   A very important point is that you can't just say, "I'm going to give a couple state examples in a moment."
[00:22:22.060 --> 00:22:22.060]   A very important point is that you can't just say, "I'm going to give a couple state examples in a moment."
[00:22:22.060 --> 00:22:22.060]   A very important point is that you can't just say, "I'm going to give a couple state examples in a moment."
[00:22:22.060 --> 00:22:22.060]   A very important point is that you can't just say, "I'm going to give a couple state examples in a moment."
[00:22:22.060 --> 00:22:22.060]   A very important point is that you can't just say, "I'm going to give a couple state examples in a moment."
[00:22:22.060 --> 00:22:22.060]   A very important point is that you can't just say, "I'm going to give a couple state examples in a moment."
[00:22:22.060 --> 00:22:22.060]   A very important point is that you can't just say, "I'm going to give a couple state examples in a moment."
[00:22:22.100 --> 00:22:30.620]   I
[00:22:30.620 --> 00:22:33.100]   see. Z,
[00:22:33.100 --> 00:22:48.760]   fallen on the end. So, you get the business, you, you, or,�,�,�,�,�, travail I am a most of the best and I am a superior Dr. I end the道 hayat
[00:22:48.760 --> 00:22:50.020]   He isork
[00:22:50.020 --> 00:22:51.520]   townsck
[00:22:52.120 --> 00:23:04.000]   '
[00:23:04.000 --> 00:23:21.100]   of the,,, mane
[00:24:20.560 --> 00:24:50.000]  legally. So, here, your expenses will range from very low to very high. And you'll have to do the same investment analysis that you do with a mutual fund to see whether those mutual fund expenses are in your best interest. You can purchase low-cost investments in an annuity, just like you can purchase low-cost investments in a mutual fund.
