
[00:00:00.000 --> 00:00:07.060]   I just, I got to tell you about what happened to me when I got back from my nearly month up in
[00:10:44.580 --> 00:10:50.260]   So how do we fix this? What's a smarter way to approach activity tracking metrics? Well, that brings
[00:10:50.260 --> 00:11:01.280]   us to act three, making metrics work. There are four things that I did to help clean up my metric
[00:11:01.280 --> 00:11:05.460]   track. I did this last night. I wrote this all out after I get the stress default. I was like, okay,
[00:11:05.460 --> 00:11:12.300]   I got to fix this. And these, I think are the main four tools you have to make activity-based metric
[00:11:12.300 --> 00:11:19.520]   tracking actually be sustainable. Number one, you can consider doing multiple choice metrics.
[00:11:19.520 --> 00:11:25.760]   So what that means is you have multiple things that are important to you, but it's unreasonable
[00:11:25.760 --> 00:11:30.740]   perhaps to make progress on all of those things every day. It would be a real laundry list. What you do
[00:11:30.740 --> 00:11:35.720]   instead is you have a multiple choice approach to it where you might say, for example, here's five
[00:11:35.720 --> 00:11:40.260]   things that are important to me. I have a metric code for each. I want to try to do one of these
[00:11:40.260 --> 00:11:47.180]   per day. So my goal is each day to write down one of these metric codes. If I can get to like one of
[00:11:47.180 --> 00:11:52.520]   these things each day, get a little bit of effort, I'll consider that a success. So now you're getting
[00:11:52.520 --> 00:11:56.220]   more reasonable. You can have more areas you care about, but you're not trying to unreasonably make
[00:11:56.220 --> 00:12:02.240]   progress on everything every day. Autopilot scheduling makes a huge difference as well.
[00:12:02.240 --> 00:12:07.120]   So many different metrics. If you're going to succeed in actually doing that activity every day,
[00:12:07.120 --> 00:12:11.020]   it has to be integrated to your schedule in a way that you don't have to think about it.
[00:12:11.020 --> 00:12:17.780]   We're using this with exercise. This is how I handle exercise. When we're in out of the summer and during
[00:12:17.780 --> 00:12:23.000]   a normal semester, I know when I do my exercise. My wife knows when I do my exercise. It's part of my
[00:12:23.000 --> 00:12:27.220]   schedule. This is just when I do my exercise. So it's a regular part of my schedule. It's what we
[00:12:27.220 --> 00:12:32.080]   call autopilot scheduling. That makes sure it gets done. If I instead just started each day and said,
[00:12:32.080 --> 00:12:38.700]   I'm going to try to find time, 45 minutes at some point today to exercise, what's my hit rate going to
[00:12:38.700 --> 00:12:44.780]   be? 20% of days, I happen to have enough time and enough energy to do it. So the more things you can
[00:12:44.780 --> 00:12:50.820]   actually find a regular time and day to do it, so an autopilot schedule, the more successful that'll be.
[00:12:51.420 --> 00:12:56.180]   So your metrics should have a lot of autopilot scheduling going on. You really shouldn't have
[00:12:56.180 --> 00:13:02.380]   four or five things that you want to make progress on every day that have no fixed time that you always
[00:13:02.380 --> 00:13:07.480]   do when you schedule. No, like I meditate when I first wake up, I work out right before dinner. You do not
[00:13:07.480 --> 00:13:12.580]   want a lot of things that aren't autopiloted scheduled. The third thing to do to make metrics work
[00:13:12.580 --> 00:13:19.800]   is to eliminate, combine, and simplify it. Just say, hey, look, there's a lot of things. I can't work on all of
[00:13:19.800 --> 00:13:24.540]   these things. I want a good sampling of things that matter to me that I want to do regularly.
[00:13:24.540 --> 00:13:29.700]   And the other stuff, you know, I will try to make progress on it at maybe a bigger time scale. If
[00:13:29.700 --> 00:13:34.800]   you're a multi-scale planner, you can make progress on it like at the strategic plan schedule or the
[00:13:34.800 --> 00:13:40.000]   weekly scale. Like, you know, hey, do I have a day today that I could go like see my brother who lives
[00:13:40.000 --> 00:13:44.440]   nearby and we can like get together and have lunch? Like, okay, I do this week. I didn't last week,
[00:13:44.440 --> 00:13:48.800]   but I do this week, right? Then maybe that's the right scale to be working on that thing that's
[00:13:48.800 --> 00:13:53.820]   important to you. So you might want to simplify or eliminate the stuff that you really are trying
[00:13:53.820 --> 00:13:56.740]   to track every day. That doesn't have to be everything that's important to you. Doesn't
[00:13:56.740 --> 00:14:02.880]   have to have progress made at that scale. Combining means you might find a way to make progress on
[00:14:02.880 --> 00:14:12.040]   multiple things to report it in one step, right? It's like walking my dog also gets me steps and I
[00:14:12.040 --> 00:14:16.780]   always call my mom when I do it, right? And now you're, you have like one activity that's handling
[00:14:16.780 --> 00:14:21.740]   multiple steps or you want to have like a hobby that's important to you, but you want to spend time
[00:14:21.740 --> 00:14:26.400]   with your kids. Oh, why don't we come up with something that I do with my kids? It's like a joint
[00:14:26.400 --> 00:14:30.980]   hobby. So you can do combining as well. The final thing is probably the most important is
[00:14:30.980 --> 00:14:37.920]   go sequential and slow down. Like I can't do all these things at the same time. Okay. I mean, I want
[00:14:37.920 --> 00:14:43.440]   to hypothetically like learn to play guitar and I want to speak Spanish and I want to learn how to program
[00:14:43.440 --> 00:14:48.900]   a computer and like these three things I think would make my life richer. To try to make progress on all
[00:14:48.900 --> 00:14:54.100]   three of those things every day is crazy. To even try to do multiple choice on those three things is kind
[00:14:54.100 --> 00:14:57.920]   of crazy. Like, well, I want to work on one of these each day and you're switching back and forth
[00:14:57.920 --> 00:15:01.900]   between these things. It's, you know, this is, this could be like way overkill. So maybe what you stay
[00:15:01.900 --> 00:15:06.440]   instead is like, let's just slow down. That's a slow productivity tactic. I'm working on Spanish right
[00:15:06.440 --> 00:15:12.980]   now. I'm just going to do that for the next four months or six months. And when I feel like I got to
[00:15:12.980 --> 00:15:16.820]   a good place, then maybe I'll have a season I'm working on, like trying to learn some guitar and we'll see
[00:15:16.820 --> 00:15:22.060]   how that goes. Programming, I don't know, maybe next year. It's interesting, but let's just push that off.
[00:15:23.000 --> 00:15:28.520]   Take your time. Life is long. Sequential. I'll do this when it's done. I'll work on something else.
[00:15:28.520 --> 00:15:35.180]   So not trying to necessarily have everything that's important to you be active all at the same time.
[00:15:35.180 --> 00:15:40.460]   All right. So that's basically what I've done. My new metrics, I have a big multiple choice
[00:15:40.460 --> 00:15:46.380]   that makes things much simpler. I eliminated some things that I was tracking. I'm going sequential on
[00:15:46.380 --> 00:15:51.140]   some other things like, okay, let me just work on this. Now this other thing I'll work on in a different
[00:15:51.140 --> 00:15:57.320]   season. I moderated Jesse. I was, my goal was to spend about 30 hours a week on my Halloween
[00:15:57.320 --> 00:16:03.280]   decorations and I moderated. That's now 27 and a half hours a week because 30 hours was just a
[00:16:03.280 --> 00:16:08.760]   little bit too much. So 27 and a half hours a week on my Halloween decorations. But there we go. So
[00:16:08.760 --> 00:16:12.620]   metrics are important. The right type of metrics. It really helps make sure that you're not just
[00:16:12.620 --> 00:16:18.040]   organized, but you're organized towards stuff that matters. But don't beat yourself up if you struggle
[00:16:18.040 --> 00:16:22.580]   with metrics because I kind of like invented this approach and I still completely screwed up
[00:16:22.580 --> 00:16:27.120]   last week. And then I had to remember my own medicine. All right, let's get reasonable here.
[00:16:27.120 --> 00:16:31.760]   It's a process. And also, hey, the fact that I had turned these off while I was away, like that also
[00:16:31.760 --> 00:16:34.540]   is a thing. I was on, I was up in New England for a month. It's like, I don't want to track metrics
[00:16:34.540 --> 00:16:39.860]   every day. I come and I go, right? Like this is all real talk. It's a useful tool. You're not running all
[00:16:39.860 --> 00:16:43.980]   the time. You're going to get it wrong. And it's something that you keep working on over time. So
[00:16:43.980 --> 00:16:47.860]   hopefully you have some sort of metric tracking going, but you're not being too hard on yourself
[00:16:47.860 --> 00:16:54.140]   about getting it just right or having a Herculean collection of metrics that you're trying to do.
[00:16:54.140 --> 00:16:58.060]   So there you go. People ask about metrics, I think. They don't always quite know what I'm talking about.
[00:16:58.060 --> 00:17:01.580]   And then you should probably explain what the time block planner is.
[00:17:02.320 --> 00:17:07.480]   Well, if you don't know that, then I don't want to know you. I actually have a planner. I think we
[00:17:07.480 --> 00:17:13.400]   created this during the pandemic. You can buy at Amazon or wherever books are sold online for doing
[00:17:13.400 --> 00:17:19.400]   time blocking. And it has the pre-formatted pages for time blocking, for capture, and for metric
[00:17:19.400 --> 00:17:26.320]   tracking. It also has a shutdown complete checkbox. You can do it. It's worth buying even for just the
[00:17:26.320 --> 00:17:31.260]   introduction. I mean, I have an extensive introduction in the planner where I explain all my philosophies for
[00:17:31.260 --> 00:17:36.780]   how I manage my time using this. So you, it's actually like a mini Cal Newport time management
[00:17:36.780 --> 00:17:40.760]   book, plus the tool to do it. So you should check that out. There's a website as well with a video.
[00:17:40.760 --> 00:17:45.380]   Yeah. If you've got a timeblockplanner.com, we filmed a nice video. That was with a nice camera too.
[00:17:45.380 --> 00:17:53.480]   It was Rob's overhead. Use the fancy camera. I enjoyed that. So there you go. Metrics. All right.
[00:17:53.480 --> 00:17:58.820]   We got some good questions coming up, but Jesse, you know what we got to do now? I think we got to do some ads.
[00:18:00.200 --> 00:18:05.660]   Let's do some music for the ads. Let's get into it. That's what I'm thinking today. We're in a
[00:18:05.660 --> 00:18:10.240]   musical mode. Oh, there we go. There we go. Does that put you in an ad mood, Jesse?
[00:18:10.240 --> 00:18:14.240]   It does. I got to tell you a true story then, Jesse, because this has got me thinking about ads.
[00:18:14.240 --> 00:18:21.440]   This is true. I keep finding in our front yard, in our front bush, this same orange color cat that's
[00:18:21.440 --> 00:18:24.980]   hanging around. It's a beautiful cat, like a ginger colored cat. I don't know whose it is, but it kind of
[00:18:24.980 --> 00:18:29.940]   hangs out around our house, especially in the afternoon. It made me miss having cats. When we
[00:18:29.940 --> 00:18:34.900]   grew up, we had two Siamese cats. Their names were Singha and Nitnoy. Those are Thai names. My mom lived
[00:18:34.900 --> 00:18:39.320]   in Bangkok for a while and they were great cats. I really liked having cats. We don't have them now
[00:18:39.320 --> 00:18:45.160]   because my wife is allergic to cats. We don't have cats in the house, but seeing that cat in my yard
[00:18:45.160 --> 00:18:51.300]   got me a little nostalgic and it led me to do, which I think is probably like the only natural
[00:18:51.300 --> 00:18:57.700]   response to this situation, Jesse was I divorced my wife. All right. Not really, but all this cat
[00:18:57.700 --> 00:19:04.580]   talk got me thinking about one of today's sponsors, Small's Cat Food. This is the cat food I wish I had
[00:19:04.580 --> 00:19:10.860]   back when we had cats and I would recommend it to anyone who does. Small's Cat Food is protein packed.
[00:19:11.460 --> 00:19:16.080]   It's made with preservative-free ingredients that you'd find in your fridge, like good ingredients.
[00:19:16.080 --> 00:19:21.120]   It's delivered right to your door. That's why cats.com names Small's their best overall cat food.
[00:19:21.120 --> 00:19:27.300]   You can get 60% off your first order and free shipping if you go to smalls.com slash deep,
[00:19:27.300 --> 00:19:32.720]   but that's only for a limited time only. Don't take my word for it. Here is a real review from a real
[00:19:32.720 --> 00:19:39.920]   customer. Jennifer M said, after every feeding, he gets this burst of energy and starts running around the
[00:19:39.920 --> 00:19:44.860]   house. My cat does too. Kind of a joke, Jesse. It was like she was talking about her husband or
[00:19:44.860 --> 00:19:50.520]   something like that. And his fur is softer and more vibrant with higher contrast. Same with my cats.
[00:19:50.520 --> 00:19:53.220]   See what I'm doing there? I'm kind of like riffing, like she's talking about her husband,
[00:19:53.220 --> 00:19:57.840]   but really it's about her cat. Honestly, I wouldn't recommend anything else. You know what else I like
[00:19:57.840 --> 00:20:02.640]   about Small's? This is me now, not Jennifer M. They work with the Humane World for Animals. They've
[00:20:02.640 --> 00:20:07.360]   donated over a million dollars worth of food to help cats through the Humane World for Animals. And they
[00:20:07.360 --> 00:20:12.920]   even give you a chance to donate at checkout. You know what I don't like about them? They rejected
[00:20:12.920 --> 00:20:18.020]   my slogan idea, which was cat food so good, you'll want to divorce your wife so you can buy a cat.
[00:20:18.020 --> 00:20:21.840]   They didn't like that one. I think that would be a catchy, catchy slogan. Anyways, what are you
[00:20:21.840 --> 00:20:26.200]   waiting for? Give your cat the food they deserve for a limited time only because you are a Deep
[00:20:26.200 --> 00:20:32.060]   Questions listener. You get 60% off your first Small's order plus free shipping when you head to
[00:20:32.060 --> 00:20:38.720]   smalls.com slash deep. That's 60% off when you head to smalls.com slash deep plus free shipping. Again,
[00:20:38.720 --> 00:20:47.260]   that's smalls.com slash deep. Jesse, I also got to talk about our friends at Vanta. In today's fast
[00:20:47.260 --> 00:20:52.680]   changing digital world, proving your company is trustworthy isn't just important for growth. It is
[00:20:52.680 --> 00:21:01.580]   essential. That's why Vanta is here. Here's the thing. Running a company today that basically has, I don't know,
[00:21:01.620 --> 00:21:06.000]   anything to do with technology is going to eventually require you to be compliant with various
[00:21:06.000 --> 00:21:11.020]   standards. This can be a huge pain and take up a lot of time that you should be spending on making
[00:21:11.020 --> 00:21:17.460]   your business better. This is where Vanta enters the scene and makes this all easier. So whether
[00:21:17.460 --> 00:21:24.960]   you're a startup tackling your first SOC 2 or ISO 27001 or an enterprise managing vendor risk, Vanta's
[00:21:24.960 --> 00:21:31.020]   trust management platform makes it quicker, easier, and more scalable. I'll tell you, and Jesse will tell you
[00:21:31.020 --> 00:21:38.040]   this is true. I pitched him a podcast episode idea where I said, look, let's do like an hour 50 where
[00:21:38.040 --> 00:21:44.680]   I riff on ISO 27001. And you know what Jesse said? And he was right. Let Vanta handle that. And he was
[00:21:44.680 --> 00:21:50.700]   right about that. We shouldn't be thinking about that. Vanta should for us. I mean, I fired him because
[00:21:50.700 --> 00:21:56.120]   no one says no to me, but it was a good idea. Vanta is who should be dealing with these issues for you.
[00:21:56.120 --> 00:21:59.780]   You shouldn't be thinking more about them than you have to. Vanta also helps you complete security
[00:21:59.780 --> 00:22:05.500]   questionnaires up to five times faster. So you win bigger deals sooner. The results, according to a
[00:22:05.500 --> 00:22:12.960]   recent IDC study, Vanta customers slash over $500,000 a year in cost, and they're three times more
[00:22:12.960 --> 00:22:19.100]   productive. Establishing trust is an optional. Vanta makes it automatic. So visit Vanta.com slash
[00:22:19.100 --> 00:22:28.180]   deep questions to sign up for a free demo today. That's Vanta.com slash deep questions.
[00:22:28.180 --> 00:22:32.240]   All right, let's do some questions of our own.
[00:22:32.240 --> 00:22:40.880]   All right. First question is from Luis. When looking to make a change in your career, how do you deal with
[00:22:40.880 --> 00:22:45.620]   that gray area where you have some career capital and the target job, but it's still difficult to decide
[00:22:45.620 --> 00:22:51.540]   if now is the right time to move? Well, part of this, Luis, is not to think about a career change in the
[00:22:51.540 --> 00:22:59.900]   abstract or as a self-justified move. Hey, do I do a career change or not? Abstractly speaking, a career
[00:22:59.900 --> 00:23:06.940]   change is an action you make to serve a particular goal, which is to move your life closer to your ideal
[00:23:06.940 --> 00:23:13.960]   lifestyle. A career change should do so either, here's the justifications, it does so either in
[00:23:13.960 --> 00:23:18.920]   like a really demonstrable way. Hey, I make significant progress towards my ideal lifestyle
[00:23:18.920 --> 00:23:22.220]   with this career change. If it's just like nibbling around the edges, it might not be worth it. That's
[00:23:22.220 --> 00:23:27.720]   motivation number one for a career change. Or motivation number two is there's things about
[00:23:27.720 --> 00:23:31.940]   this job that like really clash with me, my values, or is making me unhappy. And so this is just about
[00:23:31.940 --> 00:23:36.500]   the piece of my ideal lifestyle where I'm not miserable every day. That's why you would do a
[00:23:36.500 --> 00:23:42.640]   career change. So what matters then, if you have a career change in mind that is going to either get
[00:23:42.640 --> 00:23:46.680]   you out of a bad situation or move you demonstrably closer to your ideal lifestyle, the only thing that
[00:23:46.680 --> 00:23:53.320]   matters is, do I have enough career capital to make this likely to succeed? And that's it. If you think
[00:23:53.320 --> 00:23:58.000]   you do, you go for it. And if you're not sure, then you build up more career capital until it's sure.
[00:23:58.940 --> 00:24:03.000]   Right. And that's it. Like you don't have to identify some sort of mythical exact threshold
[00:24:03.000 --> 00:24:06.740]   at exactly this point I should do it or at this point I shouldn't. It's like, if it's a good idea
[00:24:06.740 --> 00:24:10.700]   and it's a good idea for those reasons I talked about, if you're confident you have enough career
