
[00:00:00.040 --> 00:00:19.680]   So my name is Łukasz Gądecki and I've been programming since I was a little kid and I want
[00:07:39.200 --> 00:07:46.080]   of the book and help you with the character recall. And music that matches the scene makes it the experience
[00:07:46.080 --> 00:07:50.960]   like watching a movie. And we know that music influences the emotions hugely. And it's very nice
[00:07:50.960 --> 00:07:57.840]   when you're reading the book and the music just flows with the book and gives you this great experience.
[00:07:57.840 --> 00:08:04.640]   So nothing new, but at the same time completely new, which is what AI allows us to do nowadays. And I would
[00:08:04.640 --> 00:08:10.080]   encourage everyone to think about those tiny little niches where we can create some completely new
[00:08:10.080 --> 00:08:15.600]   experiences on top of something that we have known for such a long time. So in thousands of years,
[00:08:15.600 --> 00:08:20.400]   it was never possible to read books like this or even really produce books like this. Because if I had
[00:08:20.400 --> 00:08:25.920]   to do all those graphics and music for every single book, it would cost me, I don't know, $100,000 per book.
[00:08:25.920 --> 00:08:31.920]   So it never made sense to do this. So how do we do this? The process is we use a combination of LLMs
[00:08:32.640 --> 00:08:39.600]   to the scene analysis, book characters detection. We give the AI an overall music theme. So we say for
[00:08:39.600 --> 00:08:44.960]   Sherlock Holmes books, for example, that it's like Victoria London and all that, and it should be
[00:08:44.960 --> 00:08:53.840]   norm music and kind of on a sad node. So with scene analysis plus mood detection, we do music generation,
[00:08:53.840 --> 00:09:00.960]   and we also destructured XML with metadata. So for example, we have a text like this, and AI is very good at
[00:09:00.960 --> 00:09:07.120]   doing this kind of a mapping, which then is very easy for us to use in the book when we say, like,
[00:09:07.120 --> 00:09:12.480]   we can display the avatars that are in the scene. It would be very time consuming for a person to go
[00:09:12.480 --> 00:09:17.920]   through the whole book and map every single thing like this. So today we are open sourcing the player,
[00:09:17.920 --> 00:09:23.840]   so anyone can create the Netflix-style experiences for books. And if you want AI that feels like magic,
[00:09:23.840 --> 00:09:29.920]   not like chatbots, come talk to me. We build AI experiences that ship in the light and not slides,
[00:09:29.920 --> 00:09:43.600]   although I hope the slides were nice. So thank you, and you can find me at those places.

