
[00:00:00.880 --> 00:00:01.720]   - Hey, everyone.
[00:09:30.160 --> 00:09:32.720]   that Chrome had very little AI actually,
[00:09:32.720 --> 00:09:34.680]   or ML inside this browser.
[00:09:34.680 --> 00:09:37.320]   And for a company like Google, you'd think there's a lot,
[00:09:37.320 --> 00:09:41.200]   but it's actually just like the code is actually just very,
[00:09:41.200 --> 00:09:43.240]   you know, it's just a bunch of if then statements
[00:09:43.240 --> 00:09:45.160]   is more or less the address bar.
[00:09:45.160 --> 00:09:47.600]   So it seemed like a pretty big opportunity.
[00:09:47.600 --> 00:09:50.040]   And that's also where a lot of people interact
[00:09:50.040 --> 00:09:50.880]   with the browser.
[00:09:50.880 --> 00:09:52.360]   So in a long story short, I was like,
[00:09:52.360 --> 00:09:55.160]   "Hmm, I wonder what I could build here."
[00:09:55.160 --> 00:09:57.840]   So I started to, yeah, take some AI courses
[00:09:57.840 --> 00:10:00.620]   and try to review the material again
[00:10:00.620 --> 00:10:02.520]   and get back to figuring it out.
[00:10:02.520 --> 00:10:05.240]   But I think that was somewhat serendipitous
[00:10:05.240 --> 00:10:08.640]   because right around April was, I think,
[00:10:08.640 --> 00:10:10.320]   a very big watershed moment in AI
[00:10:10.320 --> 00:10:12.200]   'cause that's when "Dolly 2" came out.
[00:10:12.200 --> 00:10:15.560]   And I think that was the first like truly big viral moment
[00:10:15.560 --> 00:10:17.760]   for generative AI.
[00:10:17.760 --> 00:10:19.680]   - Because of the avocado chair.
[00:10:19.680 --> 00:10:24.680]   - Because of the avocado chair and yeah, exactly.
[00:10:24.680 --> 00:10:26.040]   Yeah, it was just so novel.
[00:10:26.040 --> 00:10:28.000]   - It wasn't as big for me as "Stable Diffusion."
[00:10:28.000 --> 00:10:28.840]   - Really?
[00:10:28.840 --> 00:10:29.660]   - Yeah, I don't know.
[00:10:29.660 --> 00:10:31.220]   People was like, "All right, that's cool."
[00:10:31.220 --> 00:10:32.460]   I don't know. (laughs)
[00:10:32.460 --> 00:10:33.300]   - Yeah.
[00:10:33.300 --> 00:10:34.460]   - I mean, they had some flashy videos,
[00:10:34.460 --> 00:10:37.900]   but I never really, it didn't really register me as--
[00:10:37.900 --> 00:10:39.460]   - But just that moment of images
[00:10:39.460 --> 00:10:41.860]   was just such a viral, novel moment.
[00:10:41.860 --> 00:10:44.040]   I think it just blew people's mind.
[00:10:44.040 --> 00:10:46.540]   - Yeah, I mean, it was the first time
[00:10:46.540 --> 00:10:47.980]   I encountered Sam Altman
[00:10:47.980 --> 00:10:50.140]   'cause they had this "Dolly 2" hackathon.
[00:10:50.140 --> 00:10:51.620]   They opened up the OpenAI office
[00:10:51.620 --> 00:10:56.100]   for developers to walk in back when it wasn't as,
[00:10:56.100 --> 00:11:00.200]   I guess, much of a security issue as it is today.
[00:11:00.200 --> 00:11:01.600]   Maybe take us through the journey
[00:11:01.600 --> 00:11:03.940]   to decide to pivot into this.
[00:11:03.940 --> 00:11:06.060]   And also, choosing images.
[00:11:06.060 --> 00:11:08.580]   Obviously, you were inspired by "Dolly,"
[00:11:08.580 --> 00:11:13.140]   but there could be any number of AI companies
[00:11:13.140 --> 00:11:16.500]   and businesses that you could start in the widest one, right?
[00:11:16.500 --> 00:11:17.340]   - Yeah.
[00:11:17.340 --> 00:11:20.500]   - So there must be an idea maze from June to September.
[00:11:20.500 --> 00:11:22.500]   - Yeah, yeah, there definitely was.
[00:11:22.500 --> 00:11:24.300]   So I think at that time,
[00:11:24.300 --> 00:11:29.300]   Mighty, OpenAI was not quite as popular
[00:11:29.300 --> 00:11:32.300]   as it is all of a sudden now these days.
[00:11:32.300 --> 00:11:36.180]   But back then, I think they were more than happy.
[00:11:36.180 --> 00:11:38.900]   They had a lot more bandwidth to help anybody.
[00:11:38.900 --> 00:11:42.140]   And so we had been talking with the team there
[00:11:42.140 --> 00:11:43.820]   around trying to see if we could do
[00:11:43.820 --> 00:11:47.140]   really fast, low-latency address bar prediction
[00:11:47.140 --> 00:11:51.180]   with GPT-3 and 3.5 and that kind of thing.
[00:11:51.180 --> 00:11:54.220]   And so we were sort of figuring out
[00:11:54.220 --> 00:11:56.020]   how could we make that low-latency.
[00:11:56.020 --> 00:11:59.140]   I think that just being able to talk to them
[00:11:59.140 --> 00:12:01.660]   and kind of being involved gave me a bird's-eye view
[00:12:01.660 --> 00:12:03.960]   into a bunch of things that started to happen.
[00:12:03.960 --> 00:12:07.620]   Obviously, first was the "Dolly 2" moment,
[00:12:07.620 --> 00:12:09.280]   but then "Stable Diffusion" came out,
[00:12:09.280 --> 00:12:12.060]   and that was a big moment for me as well.
[00:12:12.060 --> 00:12:16.080]   And I remember just kind of sitting up one night thinking,
[00:12:16.080 --> 00:12:18.540]   I was like, "What are the kinds of companies
[00:12:18.540 --> 00:12:19.380]   "one could build?
[00:12:19.380 --> 00:12:20.740]   "What matters right now?"
[00:12:20.740 --> 00:12:23.420]   One thing that I observed is that I find a lot of great,
[00:12:23.420 --> 00:12:26.260]   I find a lot of inspiration when I'm working
[00:12:26.260 --> 00:12:27.500]   in a field in something,
[00:12:27.500 --> 00:12:29.620]   and then I can identify a bunch of problems.
[00:12:29.620 --> 00:12:32.340]   Like for Mixpanel, I was an intern at a company,
[00:12:32.340 --> 00:12:33.620]   and I just noticed that they were doing
[00:12:33.620 --> 00:12:34.660]   all this data analysis.
[00:12:34.660 --> 00:12:37.000]   And so I thought, "Hmm, I wonder if I could make a product,
[00:12:37.000 --> 00:12:38.500]   "and then maybe they would use it."
[00:12:38.500 --> 00:12:41.680]   And in this case, the same thing kind of occurred.
[00:12:41.680 --> 00:12:42.660]   It was like, okay, there are a bunch
[00:12:42.660 --> 00:12:46.640]   of infrastructure companies that are doing,
[00:12:46.640 --> 00:12:49.500]   they put a model up, and then you can use their API,
[00:12:49.500 --> 00:12:52.620]   like Replicate is a really good example of that.
[00:12:52.620 --> 00:12:54.620]   There are a bunch of companies that are helping you
[00:12:54.620 --> 00:12:59.620]   with training, model optimization, Mosaic at the time,
[00:12:59.620 --> 00:13:03.180]   and probably still was doing stuff like that.
[00:13:03.180 --> 00:13:06.340]   So I just started listing out every category of everything,
[00:13:06.340 --> 00:13:08.100]   of every company that was doing something interesting.
[00:13:08.100 --> 00:13:09.560]   Obviously, Weights & Biases.
[00:13:09.560 --> 00:13:12.100]   I was like, "Oh man, Weights & Biases
[00:13:12.100 --> 00:13:14.000]   "is this great company.
[00:13:14.000 --> 00:13:15.440]   "Do I want to compete with that company?
[00:13:15.440 --> 00:13:17.940]   "I might be really good at competing with that company."
[00:13:17.940 --> 00:13:21.380]   Because of Mixpanel, 'cause it's so much of analysis.
[00:13:21.380 --> 00:13:23.780]   I was like, "No, I don't want to do anything related to that.
[00:13:23.780 --> 00:13:26.480]   "I think that would be too boring now at this point."
[00:13:26.480 --> 00:13:30.300]   But, so I started to list out all these ideas,
[00:13:30.300 --> 00:13:32.820]   and one thing I observed was that at OpenAI,
[00:13:32.820 --> 00:13:35.620]   they have a playground for GPT-3, right?
[00:13:35.620 --> 00:13:38.060]   And all it was was just a text box, more or less.
[00:13:38.060 --> 00:13:39.540]   And then there were some settings on the right,
[00:13:39.540 --> 00:13:41.140]   like temperature and whatever.
[00:13:41.140 --> 00:13:43.340]   - Top K, Top N. - Yeah, Top K.
[00:13:43.340 --> 00:13:44.940]   What's your end stop sequence?
[00:13:44.940 --> 00:13:48.140]   I mean, that was like their product before chat GPT.
[00:13:48.140 --> 00:13:49.500]   You know, really difficult to use,
[00:13:49.500 --> 00:13:51.400]   but fun if you're like an engineer.
[00:13:51.400 --> 00:13:53.060]   And I just noticed that their product
[00:13:53.060 --> 00:13:54.460]   kind of was evolving a little bit,
[00:13:54.460 --> 00:13:56.700]   where the interface kind of was getting more and more,
[00:13:56.700 --> 00:13:58.020]   a little bit more complex.
[00:13:58.020 --> 00:13:59.420]   They had like a way where you could like,
[00:13:59.420 --> 00:14:01.340]   generate something in the middle of a sentence,
[00:14:01.340 --> 00:14:02.820]   and all those kinds of things.
[00:14:02.820 --> 00:14:04.140]   And I just thought to myself, I was like,
[00:14:04.140 --> 00:14:05.200]   "You know, there's not,
[00:14:05.200 --> 00:14:07.460]   "everything is just like this text box,
[00:14:07.460 --> 00:14:09.620]   "and you generate something, and that's about it."
[00:14:09.620 --> 00:14:11.220]   And Stable Diffusion had kind of come out,
[00:14:11.220 --> 00:14:13.540]   and it was all like hugging face and code.
[00:14:13.540 --> 00:14:15.820]   Nobody was really building any UI.
[00:14:15.820 --> 00:14:18.540]   And so I had this kind of thing where I wrote prompt dash,
[00:14:18.540 --> 00:14:20.460]   like question mark in my notes.
[00:14:20.460 --> 00:14:23.780]   And I didn't know what was like the product for that,
[00:14:23.780 --> 00:14:24.820]   at the time.
[00:14:24.820 --> 00:14:27.380]   I mean, it seems kind of trite now.
[00:14:27.380 --> 00:14:29.180]   But yeah, I just like wrote prompt.
[00:14:29.180 --> 00:14:30.020]   What's the thing for that?
[00:14:30.020 --> 00:14:32.100]   - Manager, prompt. - Prompt manager.
[00:14:32.100 --> 00:14:33.560]   Do you organize them?
[00:14:33.560 --> 00:14:35.860]   Like, do you like have a UI that can like--
[00:14:35.860 --> 00:14:37.280]   - Library. - Play with them?
[00:14:37.280 --> 00:14:38.340]   Yeah, like a library.
[00:14:38.340 --> 00:14:40.260]   What would you make?
[00:14:40.260 --> 00:14:41.700]   And so then of course, then you thought about,
[00:14:41.700 --> 00:14:44.420]   what would the modalities be, given that?
[00:14:44.420 --> 00:14:47.260]   How would you build a UI for each kind of modality?
[00:14:47.260 --> 00:14:48.620]   And so there were a couple people
[00:14:48.620 --> 00:14:51.100]   working on some pretty cool things.
[00:14:51.100 --> 00:14:54.300]   And I basically chose graphics
[00:14:54.300 --> 00:14:57.760]   because it seemed like the most obvious place
[00:14:57.760 --> 00:15:02.220]   where you could build a really powerful, complex UI
[00:15:02.220 --> 00:15:05.260]   that's not just only typing in a box.
[00:15:05.260 --> 00:15:07.820]   That it would very much evolve beyond that.
[00:15:07.820 --> 00:15:08.900]   Like, what would be the best thing
[00:15:08.900 --> 00:15:09.900]   for something that's visual?
[00:15:09.900 --> 00:15:11.300]   Probably something visual.
[00:15:11.300 --> 00:15:17.360]   So yeah, I think that just that progression kind of happened
[00:15:17.360 --> 00:15:19.860]   and it just seemed like there was a lot of effort
