
[00:00:00.000 --> 00:00:20.100]   We titled this talk The Build-Operate Divide because we've observed this troubling trend
[00:04:01.280 --> 00:04:08.280]   Chris Alvarez: And in the gen AI space, at times, like you got to make sure that, you know, we don't leave it unchecked.
[00:04:08.280 --> 00:04:11.280]   And that these hallucinations can actually be tricky and risky.
[00:04:11.280 --> 00:04:14.280]   They could also mislead customers and they could misinform decisions.
[00:04:14.280 --> 00:04:20.280]   And when you think of like companies or industries like healthcare, just a small hallucination could have a lot of risk in it.
[00:04:20.280 --> 00:04:25.280]   So that's where human and loop comes in. That's why it's important to talk about this today.
[00:04:25.280 --> 00:04:34.280]   And human and loop kind of ensures while gen AI does the heavy lifting, humans are still there to steer the ship and drive in the right direction.
[00:04:34.280 --> 00:04:38.280]   So today we're going to talk a little bit more about like human and loop, why it's important.
[00:04:38.280 --> 00:04:42.280]   I don't think this is like groundbreaking. Like everyone understands human and loop has been around forever.
[00:04:42.280 --> 00:04:44.280]   But just reiterating on the importance of it.
[00:04:44.280 --> 00:04:50.280]   So LLMs right now are just, you know, we know that they're good at generating content and they do it really, really quickly.
[00:04:50.280 --> 00:04:57.280]   But without humans, they often fall short of real world reliability, especially when nuance, empathy, and context is required.
[00:04:57.280 --> 00:05:02.280]   Without human in the loop, you're also not scaling productivity, you're scaling risk.
[00:05:02.280 --> 00:05:09.280]   And so a single hallucination in isolation might not seem like a big idea or big deal, but at scale, it could be dangerous.
[00:05:09.280 --> 00:05:16.280]   So the last point I want to make on that is also each time a human flags or corrects an output,
[00:05:16.280 --> 00:05:20.280]   it's the signal that we need to be using to help retrain and reinforce the models that we see.
[00:05:20.280 --> 00:05:24.280]   And that's of course how, you know, models are evolving over time.
[00:05:24.280 --> 00:05:31.280]   So I want everyone to think of human and loop not as like a safeguard, but as a feedback mechanism or feedback engine, if you will.
[00:05:31.280 --> 00:05:39.280]   So every model output that goes through a human review, that feedback then gets fed for refinement and, of course, improving the model.
[00:05:39.280 --> 00:05:45.280]   And over time, this loop brings AI closer to real human expectations and behaviors.
[00:05:45.280 --> 00:05:46.280]   But there is a challenge.
[00:05:46.280 --> 00:05:51.280]   And speaking with many different teams, the challenge is that we don't have enough people to do all these reviews.
[00:05:51.280 --> 00:05:56.280]   Like model-graded evals and evals in general are great, but you still need to have the human element in there.
[00:05:56.280 --> 00:06:00.280]   So most teams don't have enough people to review thousands of the different outputs that you have.
[00:06:00.280 --> 00:06:06.280]   And that makes it really, really hard to improve on the models and even measure the current state of the models that you have.
[00:06:06.280 --> 00:06:07.280]   But there is good news.
[00:06:07.280 --> 00:06:13.280]   And so this might not seem like a clear path in some of the organizations that you all might be part of.
[00:06:13.280 --> 00:06:18.280]   But we already have teams that are kind of trained to do this type of work of human in the loop.
[00:06:18.280 --> 00:06:23.280]   And those teams are like your quality folks or CX folks within the operations side of the business.
[00:06:23.280 --> 00:06:28.280]   And so especially when you look at call centers, they're already experts in doing the jobs that you need them to do,
[00:06:28.280 --> 00:06:35.280]   which is evaluate interactions at scale, spotting edge cases and defining what good looks like.
[00:06:35.280 --> 00:06:40.280]   So in this age of Gen.AI, their roles, from my perspective, is not shrinking.
[00:06:40.280 --> 00:06:42.280]   It's continuing to evolve.
[00:06:42.280 --> 00:06:47.280]   And they're not just measuring outputs anymore or outcomes.
[00:06:47.280 --> 00:06:50.280]   I think they're really shaping the future and what's next.
[00:06:50.280 --> 00:06:56.280]   So as Gen.AI becomes more embedded in the operations, quality is also evolving.
[00:06:56.280 --> 00:07:01.280]   It's no longer about auditing what's already happened, but it's also about shaping what's going to happen next.
[00:07:01.280 --> 00:07:07.280]   So the shift change in the QA teams or in this ops space, they're not just scorekeepers anymore.
[00:07:07.280 --> 00:07:11.280]   They're becoming model shapers, prompt testers, and AI performance monitors.
[00:07:11.280 --> 00:07:14.280]   And if there's any group that's already built for this kind of work, as I mentioned before,
[00:07:14.280 --> 00:07:18.280]   you might want to look at your ops team and see if there's anyone in the QA contact centers
[00:07:18.280 --> 00:07:21.280]   that could also help expand your projects even further.
[00:07:21.280 --> 00:07:25.280]   They already know how to evaluate the nuanced conversations.
[00:07:25.280 --> 00:07:28.280]   They also know how to surface these edge cases like I mentioned before.
[00:07:28.280 --> 00:07:34.280]   So talk a little bit about the evolution of just quality in general or CX.
[00:07:34.280 --> 00:07:40.280]   They've been, for the most part, focusing on auditing, coaching, compliance.
[00:07:40.280 --> 00:07:45.280]   But as automation continues to scale, these roles aren't disappearing, but they're actually transforming.
[00:07:45.280 --> 00:07:55.280]   When you look back 25 years ago, the main roles were just QA professionals were listening to phone calls and evaluating interactions.
[00:07:55.280 --> 00:08:09.280]   But we see that as a continued evolution where automation is now coming into play, and these folks are transforming their skill sets to help solve for larger problems.
[00:08:09.280 --> 00:08:15.280]   The diagram that we have here kind of just shows where the QA scope is today and how it's expanding to the Gen AI space.
[00:08:15.280 --> 00:08:20.280]   At the core, we have what QA has always done, which is auditing interactions, capturing quality behaviors.
[00:08:20.280 --> 00:08:23.280]   But now, as you can see, the scope itself is expanding.
[00:08:23.280 --> 00:08:30.280]   And QA professionals are testing prompts now, and they're tagging outputs, and they're really helping shape the model behavior that we're expecting.
[00:08:30.280 --> 00:08:35.280]   And there is a beauty in the Gen AI space, which is it opens the doors to non-technical folks.
[00:08:35.280 --> 00:08:44.280]   Traditionally, only the ML teams, the engineers, are the ones that are heavily involved in the outputs and deciding what's going to come from it.
[00:08:44.280 --> 00:08:50.280]   But now, you don't need to know how to build the model pipeline to know what a good output looks like.
[00:08:50.280 --> 00:08:54.280]   Just like you don't need to know how to make wine to be a good wine connoisseur.
[00:08:54.280 --> 00:08:59.280]   The outputs or the expertise still matters and just as valuable.
[00:08:59.280 --> 00:09:03.280]   And then the contact center CX teams are, again, already equipped with this.
[00:09:03.280 --> 00:09:09.280]   And so it might be something to look into and just see how you can expand that reach even further.
[00:09:09.280 --> 00:09:16.280]   So one of the things Chris is talking about here is something we have observed working across a number of customers as well,
[00:09:16.280 --> 00:09:20.280]   which is this sort of emerging role of the AI quality lead.
[00:09:20.280 --> 00:09:29.280]   And importantly, like I've almost never seen it actually called this, but it seems to exist at companies who are having like a lot of success in the Gen AI space.
[00:09:29.280 --> 00:09:33.280]   And I expect this role to actually become more formalized and gain more traction, right?
[00:09:33.280 --> 00:09:36.280]   Like Chris and his team are an example of this role.
[00:09:36.280 --> 00:09:43.280]   And importantly, like people in this role can come from a variety of different backgrounds, product, ops, engineering.
[00:09:43.280 --> 00:09:53.280]   But like the key attributes of what makes someone a good AI quality lead is someone who first and foremost has a deep, deep understanding of the customer need in the domain.
[00:09:53.280 --> 00:10:00.280]   And then importantly, is a systems thinker and is able to like systematically think about how to diagnose and solve these quality problems.
[00:10:00.280 --> 00:10:15.280]   What that looks like day to day is this person is doing a lot of these just kind of like this new skill set, labeling data, writing evaluation criteria, running experiments and tests and things like this and prompt engineering.
[00:10:15.280 --> 00:10:22.280]   And you'll notice that like there is something notably missing from that, which is like these are often not the people who are writing production code.
[00:10:22.280 --> 00:10:32.280]   But I think what has changed so significantly is writing production code is not the only way now that you can contribute in like a really hands on way.
[00:10:32.280 --> 00:10:45.280]   All of these things like given the right tool set and the right structure of your team, you can contribute to like this iteration loop, the prompt engineering, the evaluation, all this kind of stuff without necessarily being the one like writing the production code day to day.
[00:10:45.280 --> 00:10:57.280]   Chris is talking about like how you do this at scale, but we've also seen a lot of success where companies will have one person or two people in this role, especially when you have a smaller footprint and that goes a long way.
[00:10:57.280 --> 00:11:10.280]   You know, so I think what Chris is painting is like in larger enterprises and as you start to scale this stuff up, you really need like a meaningful quality team, but you can do this by like kind of empowering a single or a couple individuals in this role.
[00:11:10.280 --> 00:11:16.280]   Cool. So I'm just going to leave you all with a few last points.
[00:11:16.280 --> 00:11:21.280]   You know, I think while human loop is important and like we just spent the last few minutes talking about it.
[00:11:21.280 --> 00:11:27.280]   If you don't have the resources, I think, you know, looking at high risk, high trust areas is like an absolute must.
[00:11:27.280 --> 00:11:30.280]   And so insert human loop at decision points and not just for show.
[00:11:30.280 --> 00:11:39.280]   The next piece is like continue to bring your like your ops teams and CX teams into the lifecycle early to help what, you know, define what good looks like.
[00:11:39.280 --> 00:11:45.280]   So they can help build out golden sets and tests against real world, real world edge cases.
[00:11:45.280 --> 00:11:48.280]   And then this is another point I wanted to make too.
[00:11:48.280 --> 00:11:51.280]   It's just like the fact that like launch is not the finish line.
[00:11:51.280 --> 00:11:54.280]   Track performance, flag hallucination, measure impact and iterate.
[00:11:54.280 --> 00:12:01.280]   Time and time again, I see teams like celebrating, which is great to see celebration of like a product actually launching or solution being actually launched.
[00:12:01.280 --> 00:12:10.280]   But the important part there that it's not the end, it's the beginning where you need to set up your teams to make sure that the outputs are performing how you expect them to perform.
[00:12:10.280 --> 00:12:13.280]   And last but not least, scale is not just about tech anymore.
[00:12:13.280 --> 00:12:14.280]   I think it's about people.
[00:12:14.280 --> 00:12:23.280]   And so leveraging QA ops and support and frontline teams, I think as a strategic partner in the gen AI space is going to be what makes teams successful.
[00:12:23.280 --> 00:12:25.280]   And there's just one key takeaway today.
[00:12:25.280 --> 00:12:28.280]   It's that scaling gen AI isn't just a technical challenge anymore.
[00:12:28.280 --> 00:12:32.280]   It's an operational reliability and responsibility.
[00:12:32.280 --> 00:12:41.280]   When you embed quality and then human feedback into that loop, the right people into your gen AI systems, you're not just building faster, but you're also building better.
[00:12:41.280 --> 00:12:42.280]   So anyways, thank you guys.
[00:12:42.280 --> 00:12:43.280]   Appreciate it.
[00:12:43.280 --> 00:12:44.280]   Thank you.
[00:12:44.280 --> 00:12:45.280]   Thank you.
[00:12:45.280 --> 00:12:49.300]   We'll see you next time.

