
[00:00:00.040 --> 00:00:09.440]   refin
[00:14:14.480 --> 00:14:14.480]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:14:14.480 --> 00:14:14.480]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:14:14.480 --> 00:14:14.480]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:14:14.480 --> 00:14:14.480]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:14:14.480 --> 00:14:14.480]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:14:14.480 --> 00:14:14.480]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:14:14.520 --> 00:14:44.500]   the US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:14:44.500 --> 00:14:44.500]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:14:44.500 --> 00:14:44.500]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:14:44.500 --> 00:14:44.500]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:14:44.500 --> 00:14:44.500]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:14:44.500 --> 00:14:44.500]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:14:44.500 --> 00:14:44.500]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:14:44.520 --> 00:15:14.520]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:15:14.520 --> 00:15:14.520]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:15:14.520 --> 00:15:14.520]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:15:14.520 --> 00:15:14.520]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:15:14.520 --> 00:15:14.520]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:15:14.520 --> 00:15:14.520]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:15:14.520 --> 00:15:14.520]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:15:14.520 --> 00:15:14.520]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:15:14.520 --> 00:15:14.520]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:15:14.560 --> 00:15:44.540]  , the US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:15:44.540 --> 00:15:44.540]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:15:44.540 --> 00:15:44.540]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:15:44.540 --> 00:15:44.540]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:15:44.540 --> 00:15:44.540]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:15:44.540 --> 00:15:44.540]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:15:44.540 --> 00:15:44.540]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:15:44.560 --> 00:16:14.560]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:16:14.560 --> 00:16:14.560]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:16:14.560 --> 00:16:14.560]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:16:14.560 --> 00:16:14.560]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:16:14.560 --> 00:16:14.560]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:16:14.560 --> 00:16:14.560]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:16:14.560 --> 00:16:14.560]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:16:14.560 --> 00:16:14.560]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:16:14.560 --> 00:16:14.560]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:16:14.580 --> 00:16:44.580]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:16:44.580 --> 00:16:44.580]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:16:44.580 --> 00:16:44.580]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:16:44.580 --> 00:16:44.580]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:16:44.580 --> 00:16:44.580]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:16:44.580 --> 00:16:44.580]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:16:44.580 --> 00:16:44.580]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:16:44.580 --> 00:17:14.600]  ,
[00:17:14.600 --> 00:17:14.600]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:17:14.600 --> 00:17:14.600]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:17:14.600 --> 00:17:14.600]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:17:14.600 --> 00:17:14.600]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:17:14.600 --> 00:17:14.600]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:17:14.600 --> 00:17:14.600]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:17:14.600 --> 00:17:14.600]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:17:14.600 --> 00:17:14.600]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:17:14.620 --> 00:17:44.620]   You have to be a bona fide resident abroad.
[00:17:44.620 --> 00:17:44.620]   You have to actually have a residency outside of the United States.
[00:17:44.620 --> 00:17:44.620]   You have to actually have a residency outside of the United States.
[00:17:44.620 --> 00:17:44.620]   And then in order for you not to trigger the Substantial Presence Test, at the very least, you need to make sure that you don't trigger that test by being in the United States under the terms of it, which is either 183 days during the three-day period that includes the current year and the two years immediately prior before that, where the days become one-third for last year and one-sixth for two years ago.
[00:17:44.620 --> 00:17:44.620]   You have to be a bona fide resident abroad.
[00:17:44.620 --> 00:17:44.620]   You have to be a bona fide resident abroad.
[00:17:44.620 --> 00:17:44.620]   You have to actually have a residency outside of the United States.
[00:17:44.620 --> 00:18:14.640]  - You have to be a bona fide resident abroad.
[00:18:14.640 --> 00:18:14.640]   You have to be a bona fide resident abroad.
[00:18:14.640 --> 00:18:14.640]   You have to be a bona fide resident abroad.
[00:18:14.640 --> 00:18:14.640]   You have to be a bona fide resident abroad.
[00:18:14.640 --> 00:18:14.640]   You have to be a bona fide resident abroad.
[00:18:14.640 --> 00:18:14.640]   You have to be a bona fide resident abroad.
[00:18:14.640 --> 00:18:14.640]   You have to be a bona fide resident abroad.
[00:18:14.640 --> 00:18:14.640]   You have to be a bona fide resident abroad.
[00:18:14.660 --> 00:18:44.660]   You have to be a bona fide resident abroad.
[00:18:44.660 --> 00:18:44.660]   You have to be a bona fide resident abroad.
[00:18:44.660 --> 00:18:44.660]   You have to be a bona fide resident abroad.
[00:18:44.660 --> 00:18:44.660]   You have to be a bona fide resident abroad.
[00:18:44.660 --> 00:18:44.660]   You have to be a bona fide resident abroad.
[00:18:44.660 --> 00:18:44.660]   You have to be a bona fide resident abroad.
[00:18:44.660 --> 00:18:44.660]   You have to be a bona fide resident abroad.
[00:18:44.660 --> 00:18:44.660]   You have to be a bona fide resident abroad.
[00:18:44.660 --> 00:18:44.660]   You have to be a bona fide resident abroad.
[00:18:44.660 --> 00:18:44.660]   You have to be a bona fide resident abroad.
[00:18:44.660 --> 00:18:44.660]   You have to be a bona fide resident abroad.
[00:18:44.660 --> 00:18:44.660]   You have to be a bona fide resident abroad.
[00:18:44.660 --> 00:18:44.660]   You have to be a bona fide resident abroad.
[00:18:44.660 --> 00:18:44.660]   You have to be a bona fide resident abroad.
[00:18:44.660 --> 00:18:44.660]   You have to be a bona fide resident abroad.
[00:18:44.660 --> 00:18:44.660]   You have to be a bona fide resident abroad.
[00:18:44.660 --> 00:19:14.680]   You have to be a bona fide resident abroad.
[00:19:14.680 --> 00:19:14.680]   You have to be a bona fide resident abroad.
[00:19:14.680 --> 00:19:14.680]   You have to be a bona fide resident abroad.
[00:19:14.680 --> 00:19:14.680]   You have to be a bona fide resident abroad.
[00:19:14.680 --> 00:19:14.680]   You have to be a bona fide resident abroad.
[00:19:14.680 --> 00:19:14.680]   You have to be a bona fide resident abroad.
[00:19:14.680 --> 00:19:14.680]   You have to be a bona fide resident abroad.
[00:19:14.680 --> 00:19:14.680]   You have to be a bona fide resident abroad.
[00:19:14.700 --> 00:19:44.700]   You have to be a bona fide resident abroad.
[00:19:44.700 --> 00:19:44.700]   You have to be a bona fide resident abroad.
[00:19:44.700 --> 00:19:44.700]   You have to be a bona fide resident abroad.
[00:19:44.700 --> 00:19:44.700]   You have to be a bona fide resident abroad.
[00:19:44.700 --> 00:19:44.700]   You have to be a bona fide resident abroad.
[00:19:44.700 --> 00:19:44.700]   You have to be a bona fide resident abroad.
[00:19:44.700 --> 00:19:44.700]   You have to be a bona fide resident abroad.
[00:19:44.700 --> 00:19:44.700]   You have to be a bona fide resident abroad.
[00:19:44.700 --> 00:19:44.700]   You have to be a bona fide resident abroad.
[00:19:44.700 --> 00:19:44.700]   You have to be a bona fide resident abroad.
[00:19:44.700 --> 00:19:44.700]   You have to be a bona fide resident abroad.
[00:19:44.700 --> 00:19:44.700]   You have to be a bona fide resident abroad.
[00:19:44.700 --> 00:19:44.700]   You have to be a bona fide resident abroad.
[00:19:44.700 --> 00:19:44.700]   You have to be a bona fide resident abroad.
[00:19:44.700 --> 00:19:44.700]   You have to be a bona fide resident abroad.
[00:19:44.700 --> 00:19:44.700]   You have to be a bona fide resident abroad.
[00:19:44.700 --> 00:20:14.720]   You have to be a bona fide resident abroad.
[00:20:14.720 --> 00:20:14.720]   You have to be a bona fide resident abroad.
[00:20:14.720 --> 00:20:14.720]   You have to be a bona fide resident abroad.
[00:20:14.720 --> 00:20:14.720]   You have to be a bona fide resident abroad.
[00:20:14.720 --> 00:20:14.720]   You have to be a bona fide resident abroad.
[00:20:14.720 --> 00:20:14.720]   You have to be a bona fide resident abroad.
[00:20:14.720 --> 00:20:14.720]   You have to be a bona fide resident abroad.
[00:20:14.740 --> 00:20:44.740]   You have to be a bona fide resident abroad.
[00:20:44.740 --> 00:20:44.740]   You have to be a bona fide resident abroad.
[00:20:44.740 --> 00:20:44.740]   You have to be a bona fide resident abroad.
[00:20:44.740 --> 00:20:44.740]   You have to be a bona fide resident abroad.
[00:20:44.740 --> 00:20:44.740]   You have to be a bona fide resident abroad.
[00:20:44.740 --> 00:20:44.740]   You have to be a bona fide resident abroad.
[00:20:44.740 --> 00:20:44.740]   You have to be a bona fide resident abroad.
[00:20:44.740 --> 00:20:44.740]   You have to be a bona fide resident abroad.
[00:20:44.740 --> 00:20:44.740]   You have to be a bona fide resident abroad.
[00:20:44.740 --> 00:20:44.740]   You have to be a bona fide resident abroad.
[00:20:44.740 --> 00:20:44.740]   You have to be a bona fide resident abroad.
[00:20:44.740 --> 00:20:44.740]   You have to be a bona fide resident abroad.
[00:20:44.740 --> 00:20:44.740]   You have to be a bona fide resident abroad.
[00:20:44.740 --> 00:20:44.740]   You have to be a bona fide resident abroad.
[00:20:44.740 --> 00:20:44.740]   You have to be a bona fide resident abroad.
[00:20:44.740 --> 00:20:44.740]   You have to be a bona fide resident abroad.
[00:20:44.740 --> 00:21:14.760]  ,
[00:21:14.760 --> 00:21:14.760]   You have to be a bona fide resident abroad.
[00:21:14.760 --> 00:21:14.760]   You have to be a bona fide resident abroad.
[00:21:14.760 --> 00:21:14.760]   You have to be a bona fide resident abroad.
[00:21:14.760 --> 00:21:14.760]   You have to be a bona fide resident abroad.
[00:21:14.760 --> 00:21:14.760]   You have to be a bona fide resident abroad.
[00:21:14.760 --> 00:21:14.760]   You have to be a bona fide resident abroad.
[00:21:14.760 --> 00:21:14.760]   You have to be a bona fide resident abroad.
[00:21:14.760 --> 00:21:14.760]   You have to be a bona fide resident abroad.
[00:21:14.780 --> 00:21:44.780]   You have to be a bona fide resident abroad.
[00:21:44.780 --> 00:21:44.780]   You have to be a bona fide resident abroad.
[00:21:44.780 --> 00:21:44.780]   You have to be a bona fide resident abroad.
[00:21:44.780 --> 00:21:44.780]   You have to be a bona fide resident abroad.
[00:21:44.780 --> 00:21:44.780]   You have to be a bona fide resident abroad.
[00:21:44.780 --> 00:21:44.780]   You have to be a bona fide resident abroad.
[00:21:44.780 --> 00:21:44.780]   You have to be a bona fide resident abroad.
[00:21:44.780 --> 00:21:44.780]   You have to be a bona fide resident abroad.
[00:21:44.780 --> 00:21:44.780]   You have to be a bona fide resident abroad.
[00:21:44.780 --> 00:21:44.780]   You have to be a bona fide resident abroad.
[00:21:44.780 --> 00:21:44.780]   You have to be a bona fide resident abroad.
[00:21:44.780 --> 00:21:44.780]   You have to be a bona fide resident abroad.
