
[00:00:00.000 --> 00:00:05.240]   Sam Ortman announced in the last couple of hours that ChatGPT will start trying to assess whether
[00:05:48.520 --> 00:05:53.520]   and you acknowledged the possible social disruption of this. If that's happening, we have to prepare for it.
[00:05:53.520 --> 00:05:57.520]   We're not going to stand in the way of the incredible opportunities here.
[00:05:57.520 --> 00:06:02.520]   Now, Sam Altman did not backtrack from that quote when speaking to the Senate,
[00:06:02.520 --> 00:06:06.520]   but here's an interview he did just a few days ago with Tucker Carlson. You'll see for yourself,
[00:06:06.520 --> 00:06:12.520]   but he implies that it could be towards the end of this century that the job ramifications fully play out.
[00:06:12.520 --> 00:06:16.520]   There's going to be massive displacement, and maybe those people will find something new and interesting
[00:06:16.520 --> 00:06:21.520]   and lucrative to do. But how big is that displacement, do you think?
[00:06:21.520 --> 00:06:27.520]   Someone told me recently that the historical average is about 50% of jobs significantly change.
[00:06:27.520 --> 00:06:31.520]   Maybe I don't totally go away, but significantly change every 75 years on average.
[00:06:31.520 --> 00:06:34.520]   That's the kind of, that's the half-life of the stuff.
[00:06:34.520 --> 00:06:42.520]   My controversial take would be that this is going to be like a punctuated equilibrium moment where a lot of that will happen in a short period of time.
[00:06:42.520 --> 00:06:46.520]   But if we zoom out, it's not going to be dramatically different than the historical rate.
[00:06:46.520 --> 00:06:55.520]   Like we'll do, we'll have a lot in this short period of time, and then it'll somehow be less total job turnover than we think.
[00:06:55.520 --> 00:06:59.520]   Some may say that's a case of giving different opinions in public versus in private.
[00:06:59.520 --> 00:07:02.520]   Others might say, well, he's just changed his mind.
[00:07:02.520 --> 00:07:06.520]   I've spent the last week or so preparing a video for my Patreon on this fascinating paper,
[00:07:06.520 --> 00:07:10.520]   Why Language Models Hallucidate. I'm trying to get an interview with the author.
[00:07:10.520 --> 00:07:17.520]   Essentially, it argued that we already have a literature on misclassification in machine learning models.
[00:07:17.520 --> 00:07:22.520]   Years before language models, we figured out why it's intractable how classifiers can sometimes get wrong.
[00:07:22.520 --> 00:07:24.520]   Is this a cat or is it a dog?
[00:07:24.520 --> 00:07:30.520]   What the paper does essentially is map the problem of classification to that of generation, i.e. language models.
[00:07:30.520 --> 00:07:36.520]   Because we force models to output one response rather than a probability distribution of responses,
[00:07:36.520 --> 00:07:39.520]   they're essentially forced to sometimes BS.
[00:07:39.520 --> 00:07:43.520]   Multiple choice benchmarks, like my own simple bench, are part of the problem
[00:07:43.520 --> 00:07:46.520]   because it always rewards guessing over saying I don't know.
[00:07:46.520 --> 00:07:49.520]   Solving that will be a socio-technical problem.
[00:07:49.520 --> 00:07:53.520]   But anyway, that was the massive summary. That's not the point of this video.
[00:07:53.520 --> 00:07:57.520]   But I wonder if Sam Ortman read this and is gradually adjusting his opinion.
[00:07:57.520 --> 00:08:01.520]   The paper was so thought-provoking for me and it'll be linked in the description.
[00:08:01.520 --> 00:08:07.520]   It created this grid on what the blockers are to the singularity and how they can be overcome.
[00:08:07.520 --> 00:08:11.520]   It kind of got carried away and created visualizations for each of the categories.
[00:08:11.520 --> 00:08:12.520]   But anyway, that's for another day.
[00:08:12.520 --> 00:08:17.520]   But I do want to be fair to Sam Ortman because he's often vilified for changing his mind.
[00:08:17.520 --> 00:08:19.520]   But he's not actually the only one.
[00:08:19.520 --> 00:08:23.520]   There's one figure who's almost universally praised and I respect him massively.
[00:08:23.520 --> 00:08:27.520]   He comes from my neck of the woods, Demis Asabis, and people say I sound like him.
[00:08:27.520 --> 00:08:31.520]   Of course, he's the Nobel Prize winning leader of Google DeepMind.
[00:08:31.520 --> 00:08:35.520]   But let's just say he's capable of his own about turns. It's not just Sam Ortman.
[00:08:35.520 --> 00:08:43.520]   Back in December of 2023, I think I was one of the only people to really focus on a particular quote from Demis Asabis.
[00:08:43.520 --> 00:08:47.520]   And you listened to the hype he attached to Gemini.
[00:08:47.520 --> 00:08:52.520]   I think this was Gemini 2 or 1.5 Pro beating human experts.
[00:08:52.520 --> 00:08:57.520]   We started seeing that Gemini was better than any other model out there on these very, very important benchmarks.
[00:08:57.520 --> 00:09:05.520]   For example, each of the 50 different subject areas that we tested on, it's as good as the best expert humans in those areas.
[00:09:05.520 --> 00:09:10.520]   Did you catch that? In 50 different domains, different subjects, better than human experts.
[00:09:10.520 --> 00:09:15.520]   Now, I debunked that quote both at the time and more recently, so I'm not going to debunk it again.
[00:09:15.520 --> 00:09:24.520]   But here Demis Asabis is, just the other day, dunking on competitors and how their leaders say that the models are as smart as experts.
[00:09:24.520 --> 00:09:26.520]   That's not something he would ever do, for sure.
[00:09:26.520 --> 00:09:33.520]   You often hear some of our competitors talk about, you know, these modern systems that we have today are PhD intelligences.
[00:09:33.520 --> 00:09:36.520]   I think that's a nonsense. They're not, they're not PhD intelligences.
[00:09:36.520 --> 00:09:41.520]   They have some capabilities that are PhD level, but they're not in general capable.
[00:09:41.520 --> 00:09:47.520]   And that's what exactly what general intelligence should be of performing across the board at the PhD level.
[00:09:47.520 --> 00:09:58.520]   In fact, as we all know, interacting with today's chatbots, if you pose the question in a certain way, they can make simple mistakes with even like high school maths and simple counting.
[00:09:58.520 --> 00:10:08.520]   Do you agree that that was a bit of an about face having earlier said that Gemini Ultra was as good as the best human experts in 50 different subjects?
[00:10:08.520 --> 00:10:15.520]   For me, this is a deceptively interesting time in AI for all of the reasons given in this video and far more.
[00:10:15.520 --> 00:10:21.520]   Almost every week, there is a significant improvement in how language models can help us code and do software engineering.
[00:10:21.520 --> 00:10:24.520]   And yes, I do think that's relevant even if you don't code.
[00:10:24.520 --> 00:10:32.520]   One of my goals for perhaps the end of this year or maybe next is to show how you can build a production level app just with the help of AI.
[00:10:32.520 --> 00:10:35.520]   That's even without a coding background, by the way.
[00:10:35.520 --> 00:10:45.520]   Now, I guess that would be creating your own job, but the more traditional path would be using a job board like this one from the sponsors of today's video, 80,000 hours.
[00:10:45.520 --> 00:10:51.520]   You can use my own link found in the description to take you to this job board, which is updated.
[00:10:51.520 --> 00:10:55.520]   I was going to say almost every day, but I think it's multiple times per day.
[00:10:55.520 --> 00:11:00.520]   These are real jobs from across the world, some of them remote and some of them in person.
[00:11:00.520 --> 00:11:03.520]   The focus is, of course, on having a positive impact.
[00:11:03.520 --> 00:11:10.520]   And the jobs, as you can see, are sourced not just from AI labs or universities, but also think tanks and other organizations.
[00:11:10.520 --> 00:11:14.520]   Again, if you want to check them out, do use the link in the description.
[00:11:14.520 --> 00:11:17.520]   So which of those for you was the most interesting announcement?
[00:11:17.520 --> 00:11:19.520]   For me, they're all interesting.
[00:11:19.520 --> 00:11:26.520]   From the deeply technical, like the hallucinations paper, to the deeply social and emotional, like the child protections.
[00:11:26.520 --> 00:11:31.520]   Thank you anyway for watching this brief recap, and as always, have a wonderful day.

