
[00:00:00.000 --> 00:00:06.000]   [Intro]
[00:05:00.720 --> 00:05:08.480]   I mean, I just stand in awe because I admire perseverance in every legal sphere, especially
[00:05:08.480 --> 00:05:13.800]   in the relationship with God where we have to persevere every day.
[00:05:13.800 --> 00:05:18.800]   And the third thing I would say is I love to see David slay Goliath.
[00:05:18.800 --> 00:05:20.480]   I asked my wife about this.
[00:05:20.480 --> 00:05:22.800]   Why does she enjoy basketball?
[00:05:22.800 --> 00:05:24.680]   And she said, "Me?
[00:05:24.680 --> 00:05:25.680]   I don't."
[00:05:25.680 --> 00:05:27.880]   And I said, "Why do you think people do?"
[00:05:27.880 --> 00:05:30.560]   And she said, "Because they like to pull for their favorite teams."
[00:05:30.560 --> 00:05:34.400]   And I said, "Oh, I didn't even think of that because I don't have any favorite teams.
[00:05:34.400 --> 00:05:36.840]   I don't have anything invested at all in this."
[00:05:36.840 --> 00:05:41.240]   And if that's what people are thinking about, I'll just leave that for others to talk about.
[00:05:41.240 --> 00:05:48.040]   But what I do love is when a big cocky team, I'm tempted to name some names here, but I
[00:05:48.040 --> 00:05:53.080]   won't, gets taken down by this little college that nobody's ever heard of.
[00:05:53.080 --> 00:05:59.320]   I mean, there's glory in that because I love the biblical model that through weakness and
[00:05:59.320 --> 00:06:03.480]   smallness great evils are undone.
[00:06:03.480 --> 00:06:12.200]   And the last thing I would say is that we enjoy this, college basketball, March Madness,
[00:06:12.200 --> 00:06:20.260]   and other sports because the pressure is off of us and onto them, and we're relaxing, right?
[00:06:20.260 --> 00:06:22.080]   We're sitting on our couch.
[00:06:22.080 --> 00:06:23.860]   We've put in a hard day.
[00:06:23.860 --> 00:06:29.240]   We've bent our brains to accomplish as much as we could in God's will, doing what he wants
[00:06:29.240 --> 00:06:30.240]   us to do.
[00:06:30.240 --> 00:06:36.920]   We're tired, and it just feels good not to have to make this play happen.
[00:06:36.920 --> 00:06:38.200]   I am not the coach.
[00:06:38.200 --> 00:06:40.000]   I'm not responsible for this.
[00:06:40.000 --> 00:06:41.280]   I am not the key player.
[00:06:41.280 --> 00:06:43.760]   I don't have to make that basket at the buzzer.
[00:06:43.760 --> 00:06:49.840]   I'm just enjoying there acting with skill under pressure.
[00:06:49.840 --> 00:06:59.080]   In other words, sports have a unwinding, relaxing, appropriate function in the life of hardworking
[00:06:59.080 --> 00:07:00.080]   Christians.
[00:07:00.080 --> 00:07:04.240]   So if my wife is right and the reason you watch is just because you want your team to
[00:07:04.240 --> 00:07:06.400]   win, I don't know how to relate to you.
[00:07:06.400 --> 00:07:08.680]   Okay, so will you fill out a bracket?
[00:07:08.680 --> 00:07:11.600]   No, I don't have a clue how to do that.
[00:07:11.600 --> 00:07:12.600]   Excellent.
[00:07:12.600 --> 00:07:15.160]   Oh, folks, so be encouraged.
[00:07:15.160 --> 00:07:18.840]   All of you who can fill out a March Madness bracket but cannot arc the book of Romans,
[00:07:18.840 --> 00:07:20.720]   there is hope for all of us.
[00:07:20.720 --> 00:07:25.220]   Well, speaking of impregnable defenses, you don't want to miss seeing Pastor John suffocating
[00:07:25.220 --> 00:07:32.760]   defense on display by checking out a short video titled T4G 2012 Teaser, The Game.
[00:07:32.760 --> 00:07:38.040]   You can find it if you Google it, T4G 2012 Teaser, The Game.
[00:07:38.040 --> 00:07:41.840]   There right at the beginning, at about the six-second mark, you will witness his shutdown
[00:07:41.840 --> 00:07:43.200]   defense on display.
[00:07:43.200 --> 00:07:44.200]   No joke.
[00:07:44.200 --> 00:07:49.520]   And speaking of phenomenal dribbling around opposition and smooth finishes to the hoop,
[00:07:49.520 --> 00:07:53.360]   at about the 30-second mark, you'll see that on display as well.
[00:07:53.360 --> 00:07:58.640]   All right, we need to shut down this epic podcast before it gets even more out of hand.
[00:07:58.640 --> 00:08:04.000]   So I'll sign off with the wise words of a Major League Baseball Hall of Famer, one Leo
[00:08:04.000 --> 00:08:09.320]   Durocher, who once said this, "Baseball is like church.
[00:08:09.320 --> 00:08:12.000]   Many attend, but few understand."
[00:08:12.000 --> 00:08:13.000]   I'm your host, Tony Ranke.
[00:08:13.000 --> 00:08:13.600]   I'll see you tomorrow.
[00:08:13.800 --> 00:08:14.300]   [END]
[00:08:14.300 --> 00:08:15.300]   Leo Durocher, "Baseball is like church."
[00:08:15.300 --> 00:08:16.300]   I'm your host, Tony Ranke.
[00:08:16.300 --> 00:08:16.300]   I'll see you tomorrow.
[00:08:16.300 --> 00:08:18.300]   [END]
[00:08:18.300 --> 00:08:19.300]   Leo Durocher, "Baseball is like church."
[00:08:19.300 --> 00:08:20.300]   I'm your host, Tony Ranke.
[00:08:20.300 --> 00:08:20.300]   I'll see you tomorrow.
[00:08:20.300 --> 00:08:30.300]   [BLANK_AUDIO]

