
[00:00:00.000 --> 00:00:03.040]   Yes, so I'm Stacey.
[00:03:24.800 --> 00:03:28.560]   for each hyperparameter sweep, making sure you write down
[00:03:28.560 --> 00:03:31.720]   what you found from the sweep and what to do next time,
[00:03:31.720 --> 00:03:35.520]   and then improving that way over time.
[00:03:35.520 --> 00:03:38.560]   So what is hyperparameter tuning?
[00:03:38.560 --> 00:03:40.400]   Hyperparameter tuning or optimization
[00:03:40.400 --> 00:03:42.920]   is the task of finding the best hyperparameters for learning
[00:03:42.920 --> 00:03:45.360]   algorithms, which for the purposes of this talk,
[00:03:45.360 --> 00:03:48.840]   it's going to be a convolutional or recurrent neural network.
[00:03:48.840 --> 00:03:51.040]   GANs and reinforcement learning could probably
[00:03:51.040 --> 00:03:55.160]   take their whole own separate talk on how to tune those.
[00:03:55.160 --> 00:03:58.960]   And this tuning could be done entirely by hand,
[00:03:58.960 --> 00:04:01.360]   one experiment at a time, one hyperparameter at a time.
[00:04:01.360 --> 00:04:03.240]   But of course, that would be super slow,
[00:04:03.240 --> 00:04:05.400]   and we really like going meta.
[00:04:05.400 --> 00:04:07.400]   And so we'll go meta on this manual practice
[00:04:07.400 --> 00:04:12.320]   of trying hyperparameters and use algorithms.
[00:04:12.320 --> 00:04:15.040]   There's a lot of research and different tools,
[00:04:15.040 --> 00:04:18.760]   both paid and open source, for this algorithmic or automated
[00:04:18.760 --> 00:04:20.760]   aspect of hyperparameter tuning.
[00:04:20.760 --> 00:04:22.880]   And basically, we're trying to figure out
[00:04:22.880 --> 00:04:26.960]   how to save time and optimally pick
[00:04:26.960 --> 00:04:30.960]   the next combination of hyperparameters each time.
[00:04:30.960 --> 00:04:34.240]   And the most common methods are manual, which I described.
[00:04:34.240 --> 00:04:36.480]   You just do it.
[00:04:36.480 --> 00:04:39.400]   Grid, which tries all possible combinations.
[00:04:39.400 --> 00:04:42.600]   And that's useful if your search space is small and specific
[00:04:42.600 --> 00:04:45.760]   and you want to guarantee finding the best combination.
[00:04:45.760 --> 00:04:47.920]   Random search is generally faster and especially
[00:04:47.920 --> 00:04:50.920]   recommended if you have a larger search space,
[00:04:50.920 --> 00:04:53.160]   because it's going to sample more of the space
[00:04:53.160 --> 00:04:55.240]   and give you a sense for various possibilities
[00:04:55.240 --> 00:04:57.000]   faster than grid search.
[00:04:57.000 --> 00:05:01.080]   But it's not guaranteed to find the best combination.
[00:05:01.080 --> 00:05:04.160]   Bayesian optimization tries to build a probabilistic model,
[00:05:04.160 --> 00:05:07.680]   or guess at the function, that maps from your hyperparameters
[00:05:07.680 --> 00:05:10.640]   to your target measure of your performance, which is usually
[00:05:10.640 --> 00:05:14.040]   accuracy on the validation set.
[00:05:14.040 --> 00:05:16.440]   And this Bayesian model of your actual model
[00:05:16.440 --> 00:05:18.760]   that you're training updates from every experiment.
[00:05:18.760 --> 00:05:20.180]   So we tried these hyperparameters,
[00:05:20.180 --> 00:05:22.640]   got this result. And it actually aims
[00:05:22.640 --> 00:05:25.360]   to balance the explore-exploit trade-off,
[00:05:25.360 --> 00:05:29.040]   such that it tries values that it needs to learn about
[00:05:29.040 --> 00:05:31.120]   to explore the space, and also tries
[00:05:31.120 --> 00:05:33.080]   ones that it expects to be near optimal
[00:05:33.080 --> 00:05:36.480]   and gets you closer to the objective.
[00:05:36.480 --> 00:05:38.600]   In practice, this works faster than grid and random,
[00:05:38.600 --> 00:05:41.600]   because it runs fewer bad experiments.
[00:05:41.600 --> 00:05:45.200]   One caveat, though, is that it needs a metric to optimize.
[00:05:45.200 --> 00:05:47.920]   So you would need to know what that is
[00:05:47.920 --> 00:05:49.080]   and compute that explicitly.
[00:05:49.080 --> 00:05:50.760]   If you're just playing around initially,
[00:05:50.760 --> 00:05:54.200]   a random or grid search might be pretty good.
[00:05:54.200 --> 00:05:55.840]   And there's a long tail of other methods
[00:05:55.840 --> 00:05:58.240]   that I'm not going to get into.
[00:05:58.240 --> 00:06:00.360]   You can actually do gradient-based optimization
[00:06:00.360 --> 00:06:02.800]   with respect to specific hyperparameters.
[00:06:02.800 --> 00:06:06.720]   You can do early stopping so that you detect earlier
[00:06:06.720 --> 00:06:08.180]   if a certain run is not promising
[00:06:08.180 --> 00:06:10.320]   and don't waste compute on it.
[00:06:10.320 --> 00:06:13.080]   You can do population-based training,
[00:06:13.080 --> 00:06:15.980]   where actually you have multiple independent processes that
[00:06:15.980 --> 00:06:18.800]   learn both hyperparameter values and network weights.
[00:06:18.800 --> 00:06:20.220]   So you don't even need to be using
[00:06:20.220 --> 00:06:22.220]   the same architecture for different processes
[00:06:22.220 --> 00:06:24.080]   in your suite.
[00:06:24.080 --> 00:06:27.440]   So there are many, many options here.
[00:06:27.440 --> 00:06:31.400]   And what I like to ask myself is,
[00:06:31.400 --> 00:06:32.900]   am I at that stage where I've thought
[00:06:32.900 --> 00:06:34.680]   through the specific model that I'm tuning
[00:06:34.680 --> 00:06:36.720]   and the specific problem that I'm solving,
[00:06:36.720 --> 00:06:39.900]   and there's nothing else clever I can do?
[00:06:39.900 --> 00:06:42.140]   I just want to throw GPUs at this hyperparameter sweep
[00:06:42.140 --> 00:06:45.160]   and get my answer and go think about something else.
[00:06:45.160 --> 00:06:46.680]   And I think if that's the case, I
[00:06:46.680 --> 00:06:48.100]   would suggest just using something
[00:06:48.100 --> 00:06:50.660]   that's model-based optimized, like a Bayesian sweep,
[00:06:50.660 --> 00:06:55.140]   because it's probably going to work much faster.
[00:06:55.140 --> 00:06:58.380]   But I also think the more interesting and challenging
[00:06:58.380 --> 00:07:00.380]   and rewarding work of hyperparameter tuning
[00:07:00.380 --> 00:07:02.220]   happens before you get to that stage
[00:07:02.220 --> 00:07:04.300]   where you just want to throw compute at it.
[00:07:04.300 --> 00:07:08.040]   And we really don't have good guaranteed algorithms for it
[00:07:08.040 --> 00:07:11.620]   yet, which is why many of us still have jobs.
[00:07:11.620 --> 00:07:13.600]   And that's what I'm going to try to talk about.
[00:07:13.600 --> 00:07:15.180]   And obviously, as we go through this,
[00:07:15.180 --> 00:07:18.420]   please keep in mind that these are general approaches.
[00:07:18.420 --> 00:07:20.740]   And your particular task might be different.
[00:07:20.740 --> 00:07:22.260]   And especially in machine learning,
[00:07:22.260 --> 00:07:25.540]   there's exceptions to every rule.
[00:07:25.540 --> 00:07:31.820]   So before you start trying different hyperparameters,
[00:07:31.820 --> 00:07:34.300]   you decide what hyperparameter even is.
[00:07:34.300 --> 00:07:36.220]   And there's an important distinction between
[00:07:36.220 --> 00:07:37.980]   the regular parameters of the network,
[00:07:37.980 --> 00:07:40.900]   like the model weights and biases, which are learned
[00:07:40.900 --> 00:07:44.660]   or iteratively improved during the training process,
[00:07:44.660 --> 00:07:47.020]   and hyperparameters, which are configured outside
[00:07:47.020 --> 00:07:48.060]   of the training process.
[00:07:48.060 --> 00:07:52.020]   And generally, they're fixed for the duration of your run,
[00:07:52.020 --> 00:07:56.060]   although some could be adaptive, like learning rate.
[00:07:56.060 --> 00:07:58.420]   So for a given network, this could be the number
[00:07:58.420 --> 00:08:01.540]   of training epochs, learning optimizer type, batch size,
[00:08:01.540 --> 00:08:05.020]   weight decay, and a lot of other stuff.
[00:08:05.020 --> 00:08:06.700]   The network architecture itself, you
[00:08:06.700 --> 00:08:08.580]   could think of that as a hyperparameter.
[00:08:08.580 --> 00:08:10.540]   You could start from a well-known base network,
[00:08:10.540 --> 00:08:13.220]   like Inception or ResNet.
[00:08:13.220 --> 00:08:16.940]   You could tune a certain number of layers, freeze some,
[00:08:16.940 --> 00:08:19.940]   tune some variable other number.
[00:08:19.940 --> 00:08:21.900]   And if you're designing a network from scratch,
[00:08:21.900 --> 00:08:24.540]   then the number and size and type and connection patterns
[00:08:24.540 --> 00:08:28.780]   and all of that could all be hyperparameters.
[00:08:28.780 --> 00:08:31.520]   So one useful way to think about whether you're
[00:08:31.520 --> 00:08:34.380]   going to fix a hyperparameter and keep it constant
[00:08:34.380 --> 00:08:36.260]   or you're going to vary and explore it
[00:08:36.260 --> 00:08:39.780]   is how well you can predict its effect in advance
[00:08:39.780 --> 00:08:43.100]   and how it will affect the overall runtime for your suite.
[00:08:43.100 --> 00:08:46.340]   So a first easy one here is epochs,
[00:08:46.340 --> 00:08:49.140]   or the number of passes through your training data.
[00:08:49.140 --> 00:08:51.340]   And this one's pretty well understood.
[00:08:51.340 --> 00:08:52.780]   If I'm running repeated experiments,
[00:08:52.780 --> 00:08:54.540]   I want to set this high enough so
[00:08:54.540 --> 00:08:56.300]   that I can see that my model's learning
[00:08:56.300 --> 00:08:58.040]   and there's definite improvement,
[00:08:58.040 --> 00:08:59.940]   but not so high that I'm wasting time
[00:08:59.940 --> 00:09:02.220]   on a very slowly converging curve.
[00:09:02.220 --> 00:09:04.460]   So usually I'll try something like 10.
[00:09:04.460 --> 00:09:07.340]   If I can get away with it, as long
[00:09:07.340 --> 00:09:11.140]   as I see some improvement in validation loss
[00:09:11.140 --> 00:09:14.220]   and make sure that I'm not memorizing the data,
[00:09:14.220 --> 00:09:17.460]   I like to set this to the minimum to see improvement.
[00:09:17.460 --> 00:09:19.860]   Another obvious hyperparameter that generally
[00:09:19.860 --> 00:09:23.720]   has a reliable effect is the size of your training data.
[00:09:23.720 --> 00:09:25.380]   If you have a representative sample
[00:09:25.380 --> 00:09:27.860]   and your split is unbiased, then generally,
[00:09:27.860 --> 00:09:29.900]   the more training data you have, the better
[00:09:29.900 --> 00:09:31.780]   the model will learn.
[00:09:31.780 --> 00:09:34.700]   I follow the conventional wisdom of 80 for train,
[00:09:34.700 --> 00:09:38.220]   10 for validation, and 10 for test.
[00:09:38.220 --> 00:09:39.460]   Those are percentages.
[00:09:39.460 --> 00:09:41.380]   And you don't look at the 10% that's
[00:09:41.380 --> 00:09:44.600]   for testing until you're done with the whole optimization
[00:09:44.600 --> 00:09:46.300]   process.
[00:09:46.300 --> 00:09:49.700]   And I actually lower these for a run, an experiment,
[00:09:49.700 --> 00:09:50.660]   in a suite.
[00:09:50.660 --> 00:09:56.020]   I take about 20% to 50% of each split.
[00:09:58.540 --> 00:10:01.220]   And often, I'm testing my code end
[00:10:01.220 --> 00:10:04.860]   to end on a very small subset anyways of the training data
[00:10:04.860 --> 00:10:07.060]   to make sure that it works.
[00:10:07.060 --> 00:10:11.180]   And usually, I try to do this to get the run time down
[00:10:11.180 --> 00:10:12.420]   to a few minutes.
[00:10:12.420 --> 00:10:15.220]   Of course, that can be impossible in some applications.
[00:10:15.220 --> 00:10:20.500]   And of course, a general caveat here
[00:10:20.500 --> 00:10:22.480]   is that all of these things interrelate,
[00:10:22.480 --> 00:10:25.780]   especially with all of the other hyperparameters
[00:10:25.780 --> 00:10:29.500]   that I'm going to try to vary.
[00:10:29.500 --> 00:10:33.140]   After I set up one experiment or run,
[00:10:33.140 --> 00:10:37.140]   I can scale those to a suite or a set of experiments.
[00:10:37.140 --> 00:10:39.900]   And after a phase of that, I can test with the full data set,
[00:10:39.900 --> 00:10:42.460]   the full training data, and hopefully see
[00:10:42.460 --> 00:10:46.060]   that the observed patterns hold and maybe even improve,
[00:10:46.060 --> 00:10:47.980]   because I'm adding more data.
[00:10:47.980 --> 00:10:50.980]   And if adding more data doesn't help or makes the results worse,
[00:10:50.980 --> 00:10:53.340]   then I might be overfitting.
[00:10:53.340 --> 00:10:57.060]   Validation data can be especially tricky to fix here,
[00:10:57.060 --> 00:10:58.900]   because the smaller sample that I'm taking
[00:10:58.900 --> 00:11:01.540]   might be too noisy and not representative.
[00:11:01.540 --> 00:11:04.620]   I'll get to a very concrete example of that later.
[00:11:04.620 --> 00:11:06.780]   One solution is to pick the validation set randomly
[00:11:06.780 --> 00:11:08.780]   each time, and then just know that, if anything,
[00:11:08.780 --> 00:11:11.260]   you're solving a harder problem.
[00:11:11.260 --> 00:11:13.660]   But you need to remember to keep validating
[00:11:13.660 --> 00:11:15.540]   the overall robustness of your solution
[00:11:15.540 --> 00:11:19.660]   on the full validation set after you're done with the suite.
[00:11:19.660 --> 00:11:25.540]   And here I have a graphic of my favorite most obvious
[00:11:25.540 --> 00:11:28.420]   parallel coordinates chart, because generally,
[00:11:28.420 --> 00:11:30.020]   as we're exploring these relationships
[00:11:30.020 --> 00:11:33.900]   between hyperparameters, we want to see a really nice, clean
[00:11:33.900 --> 00:11:35.140]   relationship.
[00:11:35.140 --> 00:11:38.300]   As you increase learning rate, validation accuracy
[00:11:38.300 --> 00:11:40.460]   really just increases.
[00:11:40.460 --> 00:11:44.260]   And this is some data that I ran on the economic indicators
[00:11:44.260 --> 00:11:49.580]   of 140 countries, I think, correlated
[00:11:49.580 --> 00:11:54.340]   with their country's survey results on happiness.
[00:11:54.340 --> 00:11:57.180]   And it just shows a really clear effect
[00:11:57.180 --> 00:11:59.780]   that the more economic activity, the more happiness.
[00:11:59.780 --> 00:12:02.020]   But I'm excited to dig into this data.
[00:12:02.020 --> 00:12:04.380]   And in my experience, this is not
[00:12:04.380 --> 00:12:07.900]   what most of my hyperparameter plots
[00:12:07.900 --> 00:12:12.180]   look like for real machine learning data.
[00:12:12.180 --> 00:12:17.300]   So now that we've set up a good framework, an iterative suite,
[00:12:17.300 --> 00:12:21.380]   this is a repeated phase of tuning or exploring
[00:12:21.380 --> 00:12:23.820]   with your suite and then testing on the full training
[00:12:23.820 --> 00:12:24.740]   and validation set.
[00:12:24.740 --> 00:12:29.380]   A good general strategy, especially
[00:12:29.380 --> 00:12:31.460]   when you're pressed for time like I generally am,
[00:12:31.460 --> 00:12:34.060]   is to start with a simple architecture
[00:12:34.060 --> 00:12:37.180]   or whatever is given in the code that you're looking at,
[00:12:37.180 --> 00:12:41.540]   or the most applicable state of the art.
[00:12:41.540 --> 00:12:43.700]   And then after manual testing a few runs just
[00:12:43.700 --> 00:12:45.740]   to get a sense of different train validation
[00:12:45.740 --> 00:12:49.220]   sizes and epochs and maybe a few other hyperparameters
[00:12:49.220 --> 00:12:50.980]   that you want to fix, you can set up
[00:12:50.980 --> 00:12:53.540]   a first exploratory suite.
[00:12:53.540 --> 00:12:55.700]   I would recommend only changing a few hyperparameters
[00:12:55.700 --> 00:13:01.660]   at a time and sampling only a few values in each one,
[00:13:01.660 --> 00:13:04.740]   but going for a wider range per hyperparameter
[00:13:04.740 --> 00:13:06.300]   because even if those fail, you'll
[00:13:06.300 --> 00:13:09.380]   get a better sense of the search space faster.
[00:13:09.380 --> 00:13:11.660]   For example, I would try several orders of magnitude
[00:13:11.660 --> 00:13:14.140]   for learning rate.
[00:13:14.140 --> 00:13:18.700]   And I wouldn't get into very fancy specifics at this point.
[00:13:18.700 --> 00:13:21.020]   I find that the training dynamics
[00:13:21.020 --> 00:13:24.580]   make for easier candidates to explore first.
[00:13:24.580 --> 00:13:27.140]   So looking at how slow or fast your network
[00:13:27.140 --> 00:13:30.140]   learns for different learning rates and batch sizes
[00:13:30.140 --> 00:13:33.140]   is going to be a little bit more effective because getting
[00:13:33.140 --> 00:13:35.980]   the right order of magnitude for something like learning rate,
[00:13:35.980 --> 00:13:40.300]   if it's 0.01 versus 0.0001, is going
[00:13:40.300 --> 00:13:47.420]   to be more impactful than getting if it's 0.001 or 0.0015.
[00:13:47.420 --> 00:13:48.580]   Same with batch size.
[00:13:48.580 --> 00:13:51.820]   You can see if it's closer to 16 or 128,
[00:13:51.820 --> 00:13:53.660]   but not exactly if it's 10 or 20.
[00:13:53.660 --> 00:13:57.780]   That will help you more, and you don't
[00:13:57.780 --> 00:14:00.820]   need to get the number exactly right right away.
[00:14:00.820 --> 00:14:02.740]   I have Optimizer and Parens because that's
[00:14:02.740 --> 00:14:06.060]   going to be highly correlated with your learning rate.
[00:14:06.060 --> 00:14:07.540]   But in my experience, it can also
[00:14:07.540 --> 00:14:09.580]   have a huge effect on convergence.
[00:14:09.580 --> 00:14:12.460]   For example, Adam is generally great for most things,
[00:14:12.460 --> 00:14:15.500]   but I have seen projects where SGD just outperforms it
[00:14:15.500 --> 00:14:17.020]   massively.
[00:14:17.020 --> 00:14:19.300]   So just an encouragement to consider exploring that as
[00:14:19.300 --> 00:14:19.800]   well.
[00:14:19.800 --> 00:14:26.900]   So knowing that none of these are fully independent,
[00:14:26.900 --> 00:14:29.700]   I would then look at some of the fancier details,
[00:14:29.700 --> 00:14:33.300]   so the number and shape of filters, your layer
[00:14:33.300 --> 00:14:34.860]   configuration.
[00:14:34.860 --> 00:14:37.140]   And when you're looking at layer configuration,
[00:14:37.140 --> 00:14:40.500]   I would, again, not get too detailed
[00:14:40.500 --> 00:14:42.060]   because if you make too many changes
[00:14:42.060 --> 00:14:45.500]   or try too many detailed hypotheses in one sweep,
[00:14:45.500 --> 00:14:48.940]   you're looking at an explosion of possible cases
[00:14:48.940 --> 00:14:50.180]   that you need to test.
[00:14:50.180 --> 00:14:53.540]   So as an example, you could construct
[00:14:53.540 --> 00:14:55.500]   a few different versions of your architecture,
[00:14:55.500 --> 00:14:58.780]   let's say a regular RNN and a bidirectional RNN,
[00:14:58.780 --> 00:15:02.700]   or you could make a CNN with max pooling versus average pooling
[00:15:02.700 --> 00:15:04.860]   and use those as categorical variables.
[00:15:05.700 --> 00:15:10.140]   A dropout can also be good to test.
[00:15:10.140 --> 00:15:13.900]   I have it lower in the list because I
[00:15:13.900 --> 00:15:16.980]   found that if I increase it too early in my exploration
[00:15:16.980 --> 00:15:18.940]   process, then a good fraction of my runs
[00:15:18.940 --> 00:15:20.580]   just doesn't learn anything.
[00:15:20.580 --> 00:15:22.660]   So I would only increase it if you're already
[00:15:22.660 --> 00:15:25.260]   seeing some good results.
[00:15:25.260 --> 00:15:26.900]   And then the details go on, of course,
[00:15:26.900 --> 00:15:30.900]   weight decay, learning rate schedule, training stages,
[00:15:30.900 --> 00:15:34.820]   number of layers to freeze, and so on.
[00:15:34.820 --> 00:15:38.380]   My TL;DR advice here is I would try
[00:15:38.380 --> 00:15:40.940]   to stick with a simpler sweep than you might want at first
[00:15:40.940 --> 00:15:44.620]   and see what you learn.
[00:15:44.620 --> 00:15:48.540]   And how do you see what you learn?
[00:15:48.540 --> 00:15:51.580]   I'm definitely someone who obsessively refreshes
[00:15:51.580 --> 00:15:55.940]   my terminal output to see the ticking numbers as my Keras
[00:15:55.940 --> 00:15:57.260]   callback logs.
[00:15:57.260 --> 00:15:59.540]   Weights and biases, of course, makes this much more pleasant
[00:15:59.540 --> 00:16:04.020]   and that I can watch a real-time plot instead.
[00:16:04.020 --> 00:16:07.540]   But I still think if you can in this stage,
[00:16:07.540 --> 00:16:09.060]   once you've debugged your code and you
[00:16:09.060 --> 00:16:12.700]   know that your sweep is running, let the algorithm just
[00:16:12.700 --> 00:16:15.420]   do the work for you.
[00:16:15.420 --> 00:16:19.980]   Because explicitly, you're not conditioning your experiment
[00:16:19.980 --> 00:16:22.500]   B on the output of experiment A. You're
[00:16:22.500 --> 00:16:25.100]   just letting the automatic hyperparameter tuning
[00:16:25.100 --> 00:16:28.100]   work for you.
[00:16:28.100 --> 00:16:31.100]   At this point, it's useful to set some sort of constraint.
[00:16:31.100 --> 00:16:33.460]   So either the number of runs or the amount of time
[00:16:33.460 --> 00:16:35.260]   that you're going to let this sweep explore.
[00:16:35.260 --> 00:16:42.260]   You can also, as kind of a worst-case metric,
[00:16:42.260 --> 00:16:46.740]   use if it's already been running twice as long as the time
[00:16:46.740 --> 00:16:48.380]   at which you got your best result,
[00:16:48.380 --> 00:16:52.900]   then that's just my heuristic for it's unlikely to keep
[00:16:52.900 --> 00:16:53.980]   getting better results.
[00:16:53.980 --> 00:16:56.740]   And of course, this might depend on the complexity of the sweep
[00:16:56.740 --> 00:16:57.820]   that you generated.
[00:17:01.340 --> 00:17:05.940]   A really important part here is to look at your results
[00:17:05.940 --> 00:17:10.900]   once you're done and write down what you're concluding
[00:17:10.900 --> 00:17:12.380]   and what you're going to test next.
[00:17:12.380 --> 00:17:15.260]   Because it's very tempting to skip this step or think
[00:17:15.260 --> 00:17:17.740]   that you will remember or feel like there's
[00:17:17.740 --> 00:17:20.180]   some intuitive connection between learning rate
[00:17:20.180 --> 00:17:25.100]   and validation accuracy that you're picking up on.
[00:17:25.100 --> 00:17:26.500]   And I think the more concrete you
[00:17:26.500 --> 00:17:27.980]   can get with that, the better.
[00:17:27.980 --> 00:17:29.540]   Weights and biases also makes it easy
[00:17:29.540 --> 00:17:33.540]   to select specific runs to seed future sweeps with.
[00:17:33.540 --> 00:17:36.140]   And from there, you can, say, increase the range
[00:17:36.140 --> 00:17:37.020]   that you're sampling.
[00:17:37.020 --> 00:17:38.460]   You can increase the precision.
[00:17:38.460 --> 00:17:41.900]   So try to get to a better value.
[00:17:41.900 --> 00:17:44.700]   Here, we're no longer just testing orders of magnitude,
[00:17:44.700 --> 00:17:48.340]   but maybe there's a significant difference between 60 filters
[00:17:48.340 --> 00:17:49.300]   and 65 filters.
[00:17:49.300 --> 00:17:55.820]   You can obviously add new hyperparameters here.
[00:17:55.820 --> 00:17:58.660]   And you can decide that you've tried enough values
[00:17:58.660 --> 00:18:01.540]   for this one and convert it to a constant in your code,
[00:18:01.540 --> 00:18:08.180]   in which case I would just write down why that was a good idea.
[00:18:08.180 --> 00:18:13.300]   So at this point, let's hop into some examples.
[00:18:13.300 --> 00:18:15.540]   The first one here I have is from Drought Watch,
[00:18:15.540 --> 00:18:17.220]   which I talked about last time.
[00:18:17.220 --> 00:18:20.900]   This is a project to identify drought conditions
[00:18:20.900 --> 00:18:23.460]   from satellite images based on expert labels
[00:18:23.460 --> 00:18:26.620]   that we have from the ground.
[00:18:26.620 --> 00:18:29.380]   And here's just an example sweep,
[00:18:29.380 --> 00:18:31.980]   the way that I would frame it in weights and biases.
[00:18:31.980 --> 00:18:34.060]   It's using Bayesian optimization to maximize
[00:18:34.060 --> 00:18:35.660]   validation accuracy.
[00:18:35.660 --> 00:18:37.620]   The ranges are pretty small, and they're all
[00:18:37.620 --> 00:18:40.100]   in the sizes of the layers.
[00:18:40.100 --> 00:18:42.380]   But I'm keeping the architecture fixed.
[00:18:42.380 --> 00:18:43.980]   And there's some dropout as well.
[00:18:43.980 --> 00:18:46.140]   And for this one, I actually ran only 50 runs.
[00:18:46.140 --> 00:18:49.260]   So it's a proof of concept.
