
[00:00:00.000 --> 00:00:03.000]   Ilya, unbelievable.
[00:03:58.360 --> 00:04:02.360]   We would run our models on unoptimized CPU code,
[00:04:02.360 --> 00:04:04.360]   because we were a bunch of researchers.
[00:04:04.360 --> 00:04:06.140]   We didn't know about BLAS.
[00:04:06.140 --> 00:04:07.060]   We used MATLAB.
[00:04:07.060 --> 00:04:10.180]   The MATLAB was optimized.
[00:04:10.180 --> 00:04:11.980]   And we'd just experiment,
[00:04:11.980 --> 00:04:14.480]   you know, what is even the right question to ask, you know?
[00:04:14.480 --> 00:04:17.400]   So you try to gather,
[00:04:17.400 --> 00:04:19.360]   to just find interesting phenomena,
[00:04:19.360 --> 00:04:21.600]   interesting observation.
[00:04:21.600 --> 00:04:22.900]   You can do this small thing,
[00:04:22.900 --> 00:04:24.480]   and you can do that small thing.
[00:04:24.480 --> 00:04:26.640]   You know, Geoff Hinton was really excited
[00:04:26.640 --> 00:04:32.440]   about training neural nets on small little digits,
[00:04:32.440 --> 00:04:33.640]   both for classification,
[00:04:33.640 --> 00:04:36.440]   and also he was very interested in generating them.
[00:04:36.440 --> 00:04:39.820]   So the beginnings of generative models were right there.
[00:04:39.820 --> 00:04:40.980]   But the question is like, okay,
[00:04:40.980 --> 00:04:43.400]   there's all this cool stuff floating around.
[00:04:43.400 --> 00:04:45.680]   What really gets traction?
[00:04:45.680 --> 00:04:47.640]   And so that, it wasn't,
[00:04:47.640 --> 00:04:51.240]   so it wasn't obvious that this was the right question
[00:04:51.240 --> 00:04:52.400]   back then,
[00:04:52.400 --> 00:04:55.440]   but in hindsight, that turned out to be the right question.
[00:04:55.440 --> 00:04:59.780]   - Now, the year AlexNet was 2012.
[00:04:59.780 --> 00:05:01.400]   - Yes. - 2012.
[00:05:01.400 --> 00:05:04.740]   Now, you and Alex were working on AlexNet
[00:05:04.740 --> 00:05:06.100]   for some time before then.
[00:05:07.100 --> 00:05:12.100]   And at what point was it clear to you
[00:05:12.100 --> 00:05:14.600]   that you wanted to build
[00:05:14.600 --> 00:05:17.800]   a computer vision-oriented neural network
[00:05:17.800 --> 00:05:20.860]   that ImageNet was the right set of data to go for,
[00:05:20.860 --> 00:05:25.860]   and to somehow go for the computer vision contest?
[00:05:25.860 --> 00:05:28.220]   - Yeah.
[00:05:28.220 --> 00:05:30.100]   So I can talk about the context there.
[00:05:30.100 --> 00:05:36.140]   It's, I think, probably two years before that,
[00:05:36.440 --> 00:05:41.220]   it became clear to me that supervised learning
[00:05:41.220 --> 00:05:43.360]   is what's going to get us the traction.
[00:05:43.360 --> 00:05:45.820]   And I can explain precisely why.
[00:05:45.820 --> 00:05:47.680]   It wasn't just an intuition.
[00:05:47.680 --> 00:05:51.680]   It was, I would argue, an irrefutable argument,
[00:05:51.680 --> 00:05:53.360]   which went like this.
[00:05:53.360 --> 00:05:57.300]   If your neural network is deep and large,
[00:05:57.300 --> 00:06:03.360]   then it could be configured to solve a hard task.
[00:06:03.360 --> 00:06:06.860]   So that's the key word, deep and large.
[00:06:06.860 --> 00:06:08.860]   People weren't looking at large neural networks.
[00:06:08.860 --> 00:06:11.560]   People were maybe studying a little bit of depth
[00:06:11.560 --> 00:06:12.740]   in neural networks,
[00:06:12.740 --> 00:06:14.180]   but most of the machine learning field
[00:06:14.180 --> 00:06:16.060]   wasn't even looking at neural networks at all.
[00:06:16.060 --> 00:06:18.100]   They were looking at all kinds of Bayesian models
[00:06:18.100 --> 00:06:19.940]   and kernel methods,
[00:06:19.940 --> 00:06:22.700]   which are theoretically elegant methods,
[00:06:22.700 --> 00:06:24.640]   which have the property that
[00:06:24.640 --> 00:06:27.320]   they actually can't represent a good solution
[00:06:27.320 --> 00:06:29.320]   no matter how you configure them.
[00:06:29.320 --> 00:06:31.440]   Whereas the large and deep neural network
[00:06:31.440 --> 00:06:34.140]   can represent a good solution to the problem.
[00:06:34.140 --> 00:06:36.900]   To find the good solution,
[00:06:36.900 --> 00:06:40.400]   you need a big data set, which requires it,
[00:06:40.400 --> 00:06:44.360]   and a lot of compute to actually do the work.
[00:06:44.360 --> 00:06:45.740]   We've also made advanced work,
[00:06:45.740 --> 00:06:49.320]   so we've worked on optimization for a little bit.
[00:06:49.320 --> 00:06:53.140]   It was clear that optimization is a bottleneck,
[00:06:53.140 --> 00:06:55.560]   and there was a breakthrough by another grad student
[00:06:55.560 --> 00:06:58.860]   in Geoff Hinton's lab called James Martens,
[00:06:58.860 --> 00:07:00.440]   and he came up with an optimization method
[00:07:00.440 --> 00:07:03.100]   which is different from the one we're using now.
[00:07:03.100 --> 00:07:05.780]   Some second-order method.
[00:07:05.780 --> 00:07:08.140]   But the point about it is that it's proved
[00:07:08.140 --> 00:07:09.600]   that we can train those neural networks,
[00:07:09.600 --> 00:07:12.140]   because before we didn't even know we could train them.
[00:07:12.140 --> 00:07:14.900]   So if you can train them, you make it big,
[00:07:14.900 --> 00:07:17.360]   you find the data, and you will succeed.
[00:07:17.360 --> 00:07:18.820]   So then the next question is,
[00:07:18.820 --> 00:07:20.600]   well, what data?
[00:07:20.600 --> 00:07:21.900]   And an ImageNet data set,
[00:07:21.900 --> 00:07:25.240]   back then it seemed like this unbelievably difficult data set.
[00:07:25.240 --> 00:07:28.740]   But it was clear that if you were to train
[00:07:28.740 --> 00:07:30.980]   a large convolutional neural network on this data set,
[00:07:30.980 --> 00:07:34.480]   it must succeed if you just can have the compute.
[00:07:34.480 --> 00:07:35.980]   - And right at that time,
[00:07:35.980 --> 00:07:38.440]   - GPUs came out. - you and I,
[00:07:38.440 --> 00:07:42.740]   our history and our paths intersected,
[00:07:42.740 --> 00:07:47.740]   and somehow you had the observations at a GPU,
[00:07:47.740 --> 00:07:49.440]   and at that time we had,
[00:07:49.440 --> 00:07:52.900]   this is our couple of generations into a CUDA GPU,
[00:07:52.900 --> 00:07:56.560]   and I think it was GTX 580 generation.
[00:07:56.560 --> 00:08:00.800]   You had the insight that the GPU could actually be useful
[00:08:00.800 --> 00:08:02.760]   for training your neural network models.
[00:08:02.760 --> 00:08:05.140]   What was that, how did that day start?
[00:08:05.140 --> 00:08:08.140]   Tell me, you and I, you never told me that moment.
[00:08:08.140 --> 00:08:09.560]   How did that day start?
[00:08:09.560 --> 00:08:14.180]   - Yeah, so, you know, the GPUs
[00:08:14.180 --> 00:08:18.440]   appeared in our lab, in our Toronto lab,
[00:08:18.440 --> 00:08:19.720]   thanks to Jeff, and he said,
[00:08:19.720 --> 00:08:21.300]   "We should try these GPUs."
[00:08:21.300 --> 00:08:24.300]   And we started trying and experimenting with them.
[00:08:24.300 --> 00:08:27.300]   And it was a lot of fun,
[00:08:27.300 --> 00:08:31.640]   but it was unclear what to use them for exactly.
[00:08:31.640 --> 00:08:33.880]   Where are you going to get the real traction?
[00:08:33.880 --> 00:08:39.140]   But then, with the existence of the ImageNet data set,
[00:08:39.140 --> 00:08:42.800]   and then it was also very clear
[00:08:42.800 --> 00:08:44.300]   that the convolutional neural network
[00:08:44.300 --> 00:08:46.640]   is such a great fit for the GPU,
[00:08:46.640 --> 00:08:50.380]   so it should be possible to make it go unbelievably fast,
[00:08:50.380 --> 00:08:52.380]   and therefore train something
[00:08:52.380 --> 00:08:54.140]   which would be completely unprecedented
[00:08:54.140 --> 00:08:55.300]   in terms of its size.
[00:08:55.300 --> 00:08:58.840]   And that's how it happened,
[00:08:58.840 --> 00:09:01.960]   and, you know, very fortunately, Alex Krzyzewski,
[00:09:01.960 --> 00:09:04.800]   he really loved programming the GPU.
[00:09:04.800 --> 00:09:06.340]   (laughing)
[00:09:06.340 --> 00:09:09.600]   And he was able to do it, he was able to code,
[00:09:09.600 --> 00:09:13.880]   to program really fast convolutional kernels.
[00:09:13.880 --> 00:09:20.220]   And then, and train the neural net
[00:09:20.220 --> 00:09:22.840]   on the ImageNet data set, and that led to the result.
[00:09:22.840 --> 00:09:23.680]   But it was like--
[00:09:23.680 --> 00:09:24.980]   - It shocked the world.
[00:09:24.980 --> 00:09:26.640]   - It shocked the world.
[00:09:26.640 --> 00:09:29.300]   It broke the record of computer vision
[00:09:29.300 --> 00:09:33.840]   by such a wide margin that it was a clear discontinuity.
[00:09:33.840 --> 00:09:34.680]   - Yeah. - Yeah.
[00:09:34.680 --> 00:09:36.180]   - And I would say it's not just like,
[00:09:36.180 --> 00:09:38.100]   there is another bit of context there.
[00:09:38.100 --> 00:09:41.600]   It's not so much, like, when you say break the record,
[00:09:41.600 --> 00:09:43.880]   there is an important, it's like,
[00:09:43.880 --> 00:09:46.060]   I think there's a different way to phrase it.
[00:09:46.060 --> 00:09:50.980]   It's that that data set was so obviously hard,
[00:09:50.980 --> 00:09:54.400]   and so obviously outside of reach of anything.
[00:09:54.400 --> 00:09:56.720]   People are making progress with some classical techniques,
[00:09:56.720 --> 00:09:58.980]   and they were actually doing something.
[00:09:58.980 --> 00:10:01.600]   But this thing was so much better on the data set,
[00:10:01.600 --> 00:10:03.900]   which was so obviously hard.
[00:10:03.900 --> 00:10:06.600]   It's not just that it's just some competition.
[00:10:06.600 --> 00:10:09.060]   It was a competition which, back in the day--
[00:10:09.060 --> 00:10:10.600]   - There wasn't an average benchmark.
[00:10:10.600 --> 00:10:13.720]   - It was so obviously difficult,
[00:10:13.720 --> 00:10:15.760]   and so obviously out of reach,
[00:10:15.760 --> 00:10:18.720]   and so obviously with the property
[00:10:18.720 --> 00:10:21.880]   that if you did a good job, that would be amazing.
[00:10:21.880 --> 00:10:23.300]   - Big bang of AI.
[00:10:23.300 --> 00:10:25.260]   Fast forward to now.
[00:10:25.260 --> 00:10:26.880]   You came out to the Valley.
[00:10:26.880 --> 00:10:29.720]   You started OpenAI with some friends.
[00:10:29.720 --> 00:10:31.920]   You were the chief scientist.
[00:10:31.920 --> 00:10:35.020]   Now, what was the first initial idea
[00:10:35.020 --> 00:10:36.880]   about what to work on at OpenAI?
[00:10:36.880 --> 00:10:38.840]   Because you guys worked on several things.
[00:10:38.840 --> 00:10:43.420]   Some of the trails of inventions and work,
[00:10:43.420 --> 00:10:48.420]   you could see, led up to the chat GPT moment.
[00:10:48.420 --> 00:10:52.340]   But what were the initial inspiration?
[00:10:52.340 --> 00:10:53.180]   What were you going--
[00:10:53.180 --> 00:10:56.760]   How would you approach intelligence from that moment
[00:10:56.760 --> 00:10:58.460]   and led to this?
[00:10:58.460 --> 00:10:59.640]   - Yeah.
[00:10:59.640 --> 00:11:03.000]   So, obviously, when we started,
[00:11:03.000 --> 00:11:07.800]   it wasn't 100% clear how to proceed.
[00:11:07.800 --> 00:11:11.460]   And the field was also very different
[00:11:11.460 --> 00:11:13.640]   compared to the way it is right now.
[00:11:13.640 --> 00:11:16.840]   So right now, we already used to,
[00:11:16.840 --> 00:11:20.220]   you have these amazing artifacts,
[00:11:20.220 --> 00:11:23.260]   these amazing neural nets who are doing incredible things,
[00:11:23.260 --> 00:11:25.840]   and everyone is so excited.
[00:11:25.840 --> 00:11:29.960]   But back in 2015, 2016, early 2016,
[00:11:29.960 --> 00:11:31.260]   when we were starting out,
[00:11:31.260 --> 00:11:35.380]   the whole thing seemed pretty crazy.
[00:11:35.380 --> 00:11:37.500]   There were so many fewer researchers,
[00:11:39.180 --> 00:11:42.260]   maybe there were between 100 and 1,000 times
[00:11:42.260 --> 00:11:44.760]   fewer people in the field compared to now.
[00:11:44.760 --> 00:11:49.140]   Like back then, you had like 100 people,
[00:11:49.140 --> 00:11:52.560]   most of them were working in Google/DeepMind,
[00:11:52.560 --> 00:11:53.980]   and that was that.
[00:11:53.980 --> 00:11:55.860]   And then there were people picking up the skills,
[00:11:55.860 --> 00:11:58.220]   but it was very, very scarce, very rare still.
[00:11:58.220 --> 00:12:04.680]   And we had two big initial ideas
[00:12:04.680 --> 00:12:07.820]   at the start of OpenAI
[00:12:07.820 --> 00:12:10.160]   that had a lot of staying power,
[00:12:10.160 --> 00:12:12.280]   and they stayed with us to this day.
[00:12:12.280 --> 00:12:13.940]   And I'll describe them right now.
[00:12:13.940 --> 00:12:17.600]   The first big idea that we had,
[00:12:17.600 --> 00:12:22.600]   one which I was especially excited about very early on,
[00:12:22.600 --> 00:12:28.520]   is the idea of unsupervised learning through compression.
[00:12:28.520 --> 00:12:33.780]   Some context.
[00:12:33.780 --> 00:12:36.400]   Today, we take it for granted
[00:12:36.400 --> 00:12:38.140]   that unsupervised learning is this easy thing
[00:12:38.140 --> 00:12:39.760]   and you just pre-train on everything
[00:12:39.760 --> 00:12:41.760]   and it all does exactly as you'd expect.
[00:12:41.760 --> 00:12:46.840]   In 2016, unsupervised learning
[00:12:46.840 --> 00:12:50.600]   was an unsolved problem in machine learning
[00:12:50.600 --> 00:12:54.060]   that no one had any insight,
[00:12:54.060 --> 00:12:56.400]   any clue as to what to do.
[00:12:56.400 --> 00:12:59.600]   Jan LeCun would go around and give talks
[00:12:59.600 --> 00:13:01.900]   saying that you have this grand challenge
[00:13:01.900 --> 00:13:03.060]   in supervised learning.
[00:13:04.340 --> 00:13:08.720]   And I really believed that really good compression
[00:13:08.720 --> 00:13:11.020]   of the data will lead to unsupervised learning.
[00:13:11.020 --> 00:13:16.580]   Now, compression is not language that's commonly used
[00:13:16.580 --> 00:13:20.800]   to describe what is really being done until recently,
[00:13:20.800 --> 00:13:23.300]   when suddenly it became apparent to many people
[00:13:23.300 --> 00:13:26.460]   that those GPTs actually compress the training data.
[00:13:26.460 --> 00:13:30.100]   You may recall the Ted Chiang New York Times article
[00:13:30.100 --> 00:13:31.920]   which also alluded to this.
[00:13:31.920 --> 00:13:34.220]   But there is a real mathematical sense
[00:13:34.220 --> 00:13:38.540]   in which training these autoregressive generative models
[00:13:38.540 --> 00:13:40.260]   compress the data.
[00:13:40.260 --> 00:13:43.300]   And intuitively, you can see why that should work.
[00:13:43.300 --> 00:13:45.120]   If you compress the data really well,
[00:13:45.120 --> 00:13:48.160]   you must extract all the hidden secrets which exist in it.
[00:13:48.160 --> 00:13:50.720]   Therefore, that is the key.
[00:13:50.720 --> 00:13:54.420]   So that was the first idea that we were really excited about.
[00:13:54.420 --> 00:13:59.420]   And that led to quite a few works in OpenAI,
[00:13:59.920 --> 00:14:04.920]   to the sentiment neuron, which I'll mention very briefly.
[00:14:04.920 --> 00:14:09.580]   This work might not be well known
[00:14:09.580 --> 00:14:12.300]   outside of the machine learning field,
[00:14:12.300 --> 00:14:15.100]   but it was very influential, especially in our thinking.
[00:14:15.100 --> 00:14:21.080]   This work, like the result there
[00:14:21.080 --> 00:14:25.020]   was that when you train a neural network,
[00:14:25.020 --> 00:14:26.340]   back then it was not a transformer,
[00:14:26.340 --> 00:14:27.980]   it was before the transformer.
[00:14:27.980 --> 00:14:30.560]   Small recurrent neural network, LSTM,
[00:14:30.560 --> 00:14:31.400]   to those who remember.
[00:14:31.400 --> 00:14:32.440]   - Sequence work, you've done,
[00:14:32.440 --> 00:14:34.320]   I mean, this is some of the work
[00:14:34.320 --> 00:14:36.600]   that you've done yourself, yeah.
[00:14:36.600 --> 00:14:39.680]   - So the same LSTM with a few twists,
[00:14:39.680 --> 00:14:42.760]   trained to predict the next token in Amazon reviews,
[00:14:42.760 --> 00:14:44.140]   next character.
[00:14:44.140 --> 00:14:46.800]   And we discovered that if you predict
[00:14:46.800 --> 00:14:48.960]   the next character well enough,
[00:14:48.960 --> 00:14:52.360]   there will be a neuron inside that LSTM
[00:14:52.360 --> 00:14:54.060]   that corresponds to its sentiment.
[00:14:54.060 --> 00:14:57.040]   So that was really cool,
[00:14:57.040 --> 00:15:00.060]   because it showed some traction
[00:15:00.060 --> 00:15:01.640]   for unsupervised learning,
[00:15:01.640 --> 00:15:06.160]   and it validated the idea that really good
[00:15:06.160 --> 00:15:09.220]   next character prediction,
[00:15:09.220 --> 00:15:11.340]   next something prediction, compression,
[00:15:11.340 --> 00:15:14.480]   has the property that it discovers
[00:15:14.480 --> 00:15:16.120]   the secrets in the data.
[00:15:16.120 --> 00:15:17.880]   That's what we see with these GPT models, right?
[00:15:17.880 --> 00:15:19.620]   You train, and people say,
[00:15:19.620 --> 00:15:20.940]   "It's just statistical correlation."
[00:15:20.940 --> 00:15:22.980]   I mean, at this point, it should be so clear to anyone.
[00:15:22.980 --> 00:15:25.340]   - That observation also,
[00:15:25.340 --> 00:15:27.080]   for me, intuitively,
[00:15:27.080 --> 00:15:28.780]   opened up the whole world of,
[00:15:28.780 --> 00:15:33.060]   where do I get the data for unsupervised learning?
[00:15:33.060 --> 00:15:35.100]   Because I do have a whole lot of data.
[00:15:35.100 --> 00:15:37.660]   If I could just make you predict the next character,
[00:15:37.660 --> 00:15:39.420]   and I know what the ground truth is,
[00:15:39.420 --> 00:15:40.740]   I know what the answer is,
[00:15:40.740 --> 00:15:43.280]   I could train a neural network model with that.
[00:15:43.280 --> 00:15:45.140]   So that observation,
[00:15:45.140 --> 00:15:48.860]   and masking, and other technology, other approaches,
[00:15:48.860 --> 00:15:50.460]   opened my mind about,
[00:15:50.460 --> 00:15:52.500]   where would the world get all the data
[00:15:52.500 --> 00:15:54.700]   that's unsupervised for unsupervised learning?
[00:15:54.700 --> 00:15:56.540]   - Well, I think,
[00:15:56.540 --> 00:15:58.880]   so I would phrase it a little differently.
[00:15:58.880 --> 00:16:02.060]   I would say that with unsupervised learning,
[00:16:02.060 --> 00:16:05.660]   the hard part has been less around
[00:16:05.660 --> 00:16:08.300]   where you get the data from,
[00:16:08.300 --> 00:16:11.860]   though that part is there as well, especially now.
[00:16:11.860 --> 00:16:13.680]   But it was more about,
[00:16:13.680 --> 00:16:16.820]   why should you do it in the first place?
[00:16:16.820 --> 00:16:17.900]   Why should you bother?
[00:16:17.900 --> 00:16:21.900]   The hard part was to realize
[00:16:21.900 --> 00:16:26.740]   that training these neural nets to predict the next token
[00:16:26.740 --> 00:16:29.100]   is a worthwhile goal at all.
[00:16:29.100 --> 00:16:29.940]   That was the goal. - That it would learn
[00:16:29.940 --> 00:16:31.460]   a representation,
[00:16:31.460 --> 00:16:33.980]   that it would be able to understand.
[00:16:33.980 --> 00:16:35.500]   - That's right, that it will be useful.
[00:16:35.500 --> 00:16:37.480]   - Grammar and, yeah.
[00:16:37.480 --> 00:16:38.320]   - But to actually,
[00:16:38.320 --> 00:16:41.500]   but it just wasn't obvious.
[00:16:41.500 --> 00:16:42.860]   So people weren't doing it.
[00:16:42.860 --> 00:16:44.980]   But the sentiment neuron work,
[00:16:44.980 --> 00:16:47.140]   and I want to call out Alec Radford
[00:16:47.140 --> 00:16:50.260]   as a person who really was responsible
[00:16:50.260 --> 00:16:51.860]   for many of the advances there,
[00:16:51.860 --> 00:16:56.820]   the sentiment, this was before GPT-1,
[00:16:56.820 --> 00:16:58.500]   it was the precursor to GPT-1,
[00:16:58.500 --> 00:17:00.900]   and it influenced our thinking a lot.
[00:17:00.900 --> 00:17:03.020]   Then the transformer came out,
[00:17:03.020 --> 00:17:03.940]   and we immediately went,
[00:17:03.940 --> 00:17:05.380]   oh my God, this is the thing.
[00:17:05.380 --> 00:17:09.320]   And we trained GPT-1.
[00:17:09.320 --> 00:17:11.460]   - Now, along the way,
[00:17:11.460 --> 00:17:16.460]   you've always believed that scaling
[00:17:16.460 --> 00:17:18.660]   will improve the performance of these models.
[00:17:18.660 --> 00:17:19.500]   - Yes.
[00:17:19.500 --> 00:17:22.780]   Larger networks, deeper networks,
[00:17:22.780 --> 00:17:24.660]   more training data would scale that.
[00:17:24.660 --> 00:17:27.460]   There was a very important paper
[00:17:27.460 --> 00:17:30.380]   that OpenAI wrote about the scaling laws
[00:17:30.380 --> 00:17:33.100]   and the relationship between loss
[00:17:33.100 --> 00:17:35.260]   and the size of the model
[00:17:35.260 --> 00:17:36.540]   and the amount of data set,
[00:17:36.540 --> 00:17:38.340]   the size of the data set.
[00:17:38.340 --> 00:17:39.740]   When transformers came out,
[00:17:39.740 --> 00:17:41.060]   it gave us the opportunity
[00:17:41.060 --> 00:17:43.220]   to train very, very large models
[00:17:43.220 --> 00:17:45.900]   in a very reasonable amount of time.
[00:17:45.900 --> 00:17:49.300]   - But did the intuition
[00:17:49.300 --> 00:17:51.340]   about the scaling laws
[00:17:51.340 --> 00:17:53.780]   and the size of models and data
[00:17:53.780 --> 00:17:58.580]   and your journey of GPT-1, 2, 3,
[00:17:58.580 --> 00:17:59.700]   which came first?
[00:17:59.700 --> 00:18:02.220]   Did you see the evidence of GPT-1 through 3 first,
[00:18:02.220 --> 00:18:06.220]   or was it intuition about the scaling law first?
[00:18:06.220 --> 00:18:08.340]   - The intuition, so I would say
[00:18:08.340 --> 00:18:10.940]   that the way I'd phrase it
[00:18:10.940 --> 00:18:13.580]   is that I had a very strong belief
[00:18:13.580 --> 00:18:14.860]   that bigger is better.
[00:18:15.860 --> 00:18:19.580]   And that one of the goals
[00:18:19.580 --> 00:18:21.180]   that we had at OpenAI
[00:18:21.180 --> 00:18:25.220]   is to figure out how to use the scale correctly.
[00:18:25.220 --> 00:18:27.460]   There was a lot of belief in OpenAI
[00:18:27.460 --> 00:18:29.260]   about scale from the very beginning.
[00:18:29.260 --> 00:18:33.740]   The question is what to use it for precisely.
[00:18:33.740 --> 00:18:35.540]   'Cause I'll mention,
[00:18:35.540 --> 00:18:36.820]   right now we're talking about the GPTs,
[00:18:36.820 --> 00:18:38.660]   but there's another very important line of work
[00:18:38.660 --> 00:18:39.620]   which I haven't mentioned,
[00:18:39.620 --> 00:18:41.140]   the second big idea,
[00:18:41.140 --> 00:18:43.300]   but I think now is a good time to make a detour,
[00:18:43.300 --> 00:18:45.100]   and that's reinforcement learning.
[00:18:45.100 --> 00:18:48.780]   That clearly seems important as well.
[00:18:48.780 --> 00:18:50.540]   What do you do with it?
[00:18:50.540 --> 00:18:54.380]   So the first really big project
[00:18:54.380 --> 00:18:55.780]   that was done inside OpenAI
[00:18:55.780 --> 00:19:00.460]   was our effort
[00:19:00.460 --> 00:19:03.220]   at solving a real-time strategy game.
[00:19:03.220 --> 00:19:05.100]   And for context,
[00:19:05.100 --> 00:19:07.220]   a real-time strategy game is like,
[00:19:07.220 --> 00:19:08.380]   it's a competitive sport.
[00:19:08.380 --> 00:19:09.220]   - Yeah, right.
