
[00:00:00.000 --> 00:00:06.260]   was the love at first sight no because all i ever saw was a line of pastors and a line of elders
[00:08:17.420 --> 00:08:21.980]   know who are some of your like friends that you guys you guys both class 2011 so maybe just yeah let
[00:08:21.980 --> 00:08:27.820]   them know who some of the people you've ministered to even sure oh yeah like um so point class 2011
[00:08:27.820 --> 00:08:36.300]   so it's like mike park you know sam kim who had just a lot there's a bunch of us yeah oh oh oh shoot
[00:08:36.300 --> 00:08:49.020]   yeah so moving on yeah and then you know like like uh like vincent of who in berkeley like you know we
[00:08:49.020 --> 00:08:53.660]   did undergrad together we're saying major things like that so um but we've ministered to class of
[00:08:53.660 --> 00:09:00.700]   2015 16 and then 19 in berkeley and that's that's like 19 was the last class we ministered to before
[00:09:00.700 --> 00:09:05.500]   we moved to chicago and it's kind of neat because a bunch of them are in chicago with us now yeah yeah
[00:09:05.500 --> 00:09:12.300]   grand reunion there yeah yeah you want to share some of your friends yes um my original life group in
[00:09:12.300 --> 00:09:19.340]   college was like angel churn jenny park um step play oh now i have to name all of them nancy um and then
[00:09:19.340 --> 00:09:27.100]   yeah later annie and fan and yvonne and everyone yeah and then emily huang who's my peer is in chicago
[00:09:27.100 --> 00:09:32.220]   with me so yeah we've gotten really close just ministering together that's right yeah we had asian
[00:09:32.220 --> 00:09:37.580]   am together you and annie yeah were some of the first upper class when i met in asian which was a terrible
[00:09:37.580 --> 00:09:43.580]   class it was it was we were at a study group we're doing a study group and i saw isaiah as a freshman
[00:09:43.580 --> 00:09:48.220]   like snickering in the corner with the laptop and we're all trying to study for the spinal and he's
[00:09:48.220 --> 00:09:53.180]   like laughing and so we all said i said what are you doing and he turned around you're like reading
[00:09:53.180 --> 00:10:04.860]   calvin and hobson yes this doesn't surprise me yeah i know yeah you know speaking about our
[00:10:04.860 --> 00:10:09.020]   upbringing though we have a lot of like parallel things in our upbringing so like uh we grew up
[00:10:09.020 --> 00:10:13.980]   both in socal you know currently making church that's you know thing but like our parents went
[00:10:13.980 --> 00:10:17.980]   through similar kind of financial struggles at around the same time we actually lived in the same
[00:10:17.980 --> 00:10:21.580]   neighborhood like a couple blocks from each other we didn't know each other in fullerton but you didn't go to
[00:10:21.580 --> 00:10:25.420]   the same high school no but we went to rival high schools i went to she went to sunny hills which
[00:10:25.420 --> 00:10:32.940]   better uh troy's better yeah troy is better call sunny hills scummy hills oh wow i don't know if that's
[00:10:32.940 --> 00:10:39.100]   still the case but um that was the case back then but yeah it doesn't matter we went to the same college
[00:10:39.100 --> 00:10:44.060]   yeah but then you know we we converged in berkeley yeah so it was like you guys were meant for each other
[00:10:44.060 --> 00:10:59.180]   oh yeah like was it love at first sight no because all i saw of him was the back of him because he's the
[00:10:59.180 --> 00:11:04.860]   kind of freshman that came to service and he would leave during the last praise song or right after it
[00:11:04.860 --> 00:11:10.300]   because he was he would come in gym clothes with the backpack and racquetball you know racket in
[00:11:10.300 --> 00:11:15.420]   his in his backpack racquetball racquetball yeah as we're coming out of church you just see him way
[00:11:15.420 --> 00:11:21.340]   over there like walking away i just i just came to church like on time left right away yeah friday bible
[00:11:21.340 --> 00:11:26.380]   study i would just come to the bible study i'd just come late for dinner leave early you know how's that kind
[00:11:26.380 --> 00:11:34.300]   yeah right so how did you guys like actually like when did you see the front of his like his face
[00:11:34.300 --> 00:11:44.140]   just going off your story no no i so i met lois first and then um yeah because because i think it's
[00:11:44.140 --> 00:11:49.180]   because the family friend that brought she was friends with oh yeah so i think i met that class first
[00:11:49.180 --> 00:11:54.940]   actually and then and i met uh and then i met kata and i thought she was lois so i was confused for a
[00:11:54.940 --> 00:12:03.020]   while i didn't realize there were two different people how did how did how did how did you guys
[00:12:03.020 --> 00:12:09.260]   start dating and and all that like oh we're going into that oh okay how do we start dating um i know
[00:12:09.260 --> 00:12:14.540]   you have on your podcast but you know oh you do yeah yeah yeah we have a whole yeah shout out to dpod
[00:12:14.540 --> 00:12:22.060]   yeah dpod um dating episode um how did we start dating i called her i called her and yeah she said yes
[00:12:22.060 --> 00:12:28.300]   that's how we started dating i didn't say yes you didn't wait okay so first of all it took me a while
[00:12:28.300 --> 00:12:33.900]   to uh yeah i guess muster up the courage to call her i actually this is kind of embarrassing but i i drove
[00:12:33.900 --> 00:12:41.180]   back and forth between hb and oakland yeah yeah yeah and and oakland airport which is like a three minute
[00:12:41.180 --> 00:12:46.220]   drive yeah just back and forth back and forth i'm like like trying to muster up yeah yeah yeah and
[00:12:46.220 --> 00:12:51.420]   then i was like this is lame wait why why did what do you do like did you like it for a long time or
[00:12:51.420 --> 00:12:59.020]   something or like what um i guess i guess it was because we had been good friends in college yeah and
[00:12:59.020 --> 00:13:05.180]   potentially this would make that would make it weird for the rest of my life yeah i think that's what that's
[00:13:05.180 --> 00:13:10.060]   all it was yeah but then um yeah so anyways i just finally said you know what i just needed and so i
[00:13:10.060 --> 00:13:18.700]   called her and i was like oh hi this is this is david i'm like i've never heard you know oh and she said i
[00:13:18.700 --> 00:13:21.980]   i know yeah because you know obviously she has my number yeah we've been friends she's had my
[00:13:21.980 --> 00:13:33.820]   hi david yeah i know i know and then she said she said she said no no no she just needed some time
[00:13:33.820 --> 00:13:41.180]   to think about it oh i see so how long do you make him wait like a week two weeks two weeks yeah two weeks
[00:13:41.180 --> 00:13:50.220]   yeah yeah that's not bad yeah i i i heard that um you gave katta some feedback on your third date
[00:13:50.220 --> 00:13:55.580]   why you gotta bring similar oh you're talking about timeliness there's a lot of stories at our church
[00:13:55.580 --> 00:13:59.660]   that like get like legendary accumulation and we just need to like cut you know we need to get to the
[00:13:59.660 --> 00:14:06.540]   facts yeah it's the facts facts to network the facts are just as bad was it the third date it was the
[00:14:06.540 --> 00:14:10.700]   third date yeah okay he doesn't remember maybe you should just tell it because i don't remember the
[00:14:10.700 --> 00:14:20.140]   um uh well if you know dp he's early to everything and i used to be late to everything not anymore but um
[00:14:20.140 --> 00:14:27.980]   but on our third date i think i was like 10 minutes late and i was just trying to look a little nicer so i
[00:14:27.980 --> 00:14:40.220]   was a little late and then i got to his car and i got in and i was like hi and then he he gripped he
[00:14:40.220 --> 00:14:44.940]   was gripping the steering wheel and staring straight ahead and so i was like oh maybe you didn't hear me
[00:14:44.940 --> 00:14:51.420]   so i was like hi and i was just gripping it and i was like what the heck is happening and then it's
[00:14:51.420 --> 00:14:59.900]   silent and then he goes he said um you know you know if you're on time you're late and in my mind i
[00:14:59.900 --> 00:15:07.020]   said what do you mean because if you're on time that means you're on time but he'd been there like 10
[00:15:07.020 --> 00:15:11.820]   minutes or 15 minutes early because that's just who he is and so i was waiting for like 20 don't
[00:15:11.820 --> 00:15:18.460]   recommend it yeah i've been 20 yeah and you found it in your heart to forgive and be gracious so i didn't
[00:15:18.460 --> 00:15:24.940]   leave the car i stayed and said okay i'm sorry wow and then wow actually yeah because he's like that
[00:15:24.940 --> 00:15:30.380]   i have changed wow all right wow so maybe on the flip side how about tell us uh your favorite date
[00:15:30.380 --> 00:15:37.260]   story yeah unless that was it like our favorite date story he's kind of black out there
[00:15:41.900 --> 00:15:47.900]   i don't know i have a well tell us about i have a proposal yeah yeah yeah okay yeah yeah well you
[00:15:47.900 --> 00:15:51.580]   know the i guess i have a lot of i don't know it's my favorite thing but i have a lot of fond memories
[00:15:51.580 --> 00:15:57.180]   just trying to fit in dates with her uh just in the midst of busy schedule and we would occasionally do
[00:15:57.180 --> 00:16:01.740]   like 7 a.m breakfast yeah because we were serving in different ministry groups in berkeley to different
[00:16:02.380 --> 00:16:05.980]   we were was that when you were in grad school too or no no it was while we were working we're
[00:16:05.980 --> 00:16:09.980]   both working at sf yeah schedules were different things like that so then we would do like sometimes
[00:16:09.980 --> 00:16:16.220]   we would do like six something a.m breakfast and dt and maybe that's how he was so grumpy
[00:16:16.220 --> 00:16:35.820]   yeah but anyways the proposal story is that um so there was this you know you guys have seen that
[00:16:35.820 --> 00:16:41.420]   like 36 questions that lead to love or something like that yeah yeah yeah from stony brook yeah yeah
[00:16:41.420 --> 00:16:46.860]   oh really yeah from stony book originally but it was popularized in the new york times uh like around
[00:16:46.860 --> 00:16:51.580]   2014 like they have just published an article so i just read that and so i was like oh hey like hey
[00:16:51.580 --> 00:16:55.500]   let's go through these questions like different kinds of questions like we get to know each other so
[00:16:55.500 --> 00:17:00.540]   i just we just did that for several dates so there's a lot of questions right and so then we just did
[00:17:00.540 --> 00:17:05.900]   that over like maybe four or five dates and then um and on the day that i was planning to propose i i planned
[00:17:05.900 --> 00:17:12.300]   it so that like we would finish the questions on the drive to the location and then um and then you
[00:17:12.300 --> 00:17:16.220]   know we finished like oh that was nice activity whatever and then we got to the place and i asked
[00:17:16.220 --> 00:17:21.900]   like you know can i ask one more question and then and then she said no no i'm kidding can you give me two weeks
[00:17:26.780 --> 00:17:33.500]   so one more question and then the funny thing is um and then we're like oh that's nice you know and
[00:17:33.500 --> 00:17:37.820]   then like yeah because it was at the start of the date so then it was nice because we got it over with
[00:17:37.820 --> 00:17:42.380]   kind of like emotional you know like my emotionally like it's like oh you know so we can kind of like
[00:17:42.380 --> 00:17:45.580]   relax for the rest of the day but we were waiting for the breakfast place we were going to we were
[00:17:45.580 --> 00:17:49.580]   like wait listed or whatever so then we were waiting for that that's when it happened and then we got to
[00:17:49.580 --> 00:17:55.180]   the restaurant and 30th later i started crying yeah i don't quite remember but she just my emotions
[00:17:55.180 --> 00:18:02.460]   in the middle of breakfast she's just like i don't know why i'm crying which yeah that is very indicative
[00:18:02.460 --> 00:18:09.180]   of me to know i don't she was happy she was crying from happiness very delayed delayed yeah wow yeah
[00:18:09.180 --> 00:18:16.060]   what are you guys enneagram types we're both intj oh enneagram uh i'm a three we're both intj but
[00:18:16.060 --> 00:18:23.580]   she's one i'm a type one one wing nine i'm a three wing four yeah people think i'm a one yeah i was
[00:18:23.580 --> 00:18:29.980]   confused about that so he's not a one all the ones say i'm not actually i'm not principal yeah yeah
[00:18:29.980 --> 00:18:38.700]   that's if you cheat every game that's like yeah anyway let's not talk about that yeah we'll talk about
[00:18:38.700 --> 00:18:43.420]   that another cool well um that that's a lot about just i feel like we've got to know you guys pretty
[00:18:43.420 --> 00:18:49.020]   well a lot of fun stories i've never heard a lot yeah that was good that was good so um so we can
[00:18:49.020 --> 00:18:53.180]   like fast forward um you guys served there at berkeley church college ministry can we talk about that a
[00:18:53.180 --> 00:18:57.820]   little bit like maybe just like a little bit like ministry resume like where have you served and how
[00:18:57.820 --> 00:19:03.740]   did you up to the point where you're at now at chicago's yeah so i wasn't just a 12 for a long time
[00:19:03.740 --> 00:19:12.300]   yes it's from graduating yeah berkeley a2f from 2011 to 2016. so that was a 20 class 2015 for two years
[00:19:12.300 --> 00:19:20.460]   and then a class 2016 for three years um and then in the senior year of uh class 2016 that's when we
[00:19:20.460 --> 00:19:24.860]   got married so i finished that off the so she was in coin and i was in a2f so we were actually even after
[00:19:24.860 --> 00:19:28.300]   we got married we were in separate ministry groups so that's not that's not that common
[00:19:28.300 --> 00:19:32.780]   yeah for a form but it's just because you know like we i had seniors at the time just finishing
[00:19:32.780 --> 00:19:37.980]   off the last few months so um so anyways after that we went to coin and then we ministered to the home
[00:19:37.980 --> 00:19:46.140]   group of 2019 so yeah here's i was in i served in a2f for a little bit and then um when 2017 the great
[00:19:46.140 --> 00:19:51.420]   scattering that that happened uh when we planted in the east coast i i kind of backfilled for a lot of
[00:19:51.420 --> 00:19:57.900]   coin people that left and then um so i moved to coin i was staffed there and then yeah i was ministering to
[00:19:57.900 --> 00:20:10.620]   yeah yeah and so i was ministering to class of 2019 when they were like freshmen and sophomores
[00:20:10.620 --> 00:20:17.100]   and then he joined yeah oh you were with them all four years yeah and then um when the greats gathering
[00:20:17.100 --> 00:20:24.140]   happened that's when she went full-time for church yeah and then and then i joined oh i did yeah yeah she
[00:20:24.140 --> 00:20:28.780]   went full-time first actually yeah and then when did you guys move to chicago you guys are chicago now
[00:20:28.780 --> 00:20:33.980]   when you 2019 summer of 2019 basically after we graduated off class 19. and what was the impetus behind
[00:20:33.980 --> 00:20:41.580]   you guys moving there like um well so so chicago's interesting right because um it was planted by
[00:20:41.580 --> 00:20:47.020]   like eight eight bros you know uh class 2015 bros they just went out there as single guys and it's
[00:20:47.020 --> 00:20:51.340]   awesome like i love that part of the chicago history um wanting to do something for jesus and
[00:20:51.340 --> 00:20:55.500]   and then you know like things were actually happening and you know and i guess from their
[00:20:55.500 --> 00:21:00.620]   perspective they're like okay we need a we need a leader uh so could you send someone and at the
[00:21:00.620 --> 00:21:05.740]   time a bunch of us like including you know you guys we were all in um full-time leads in training
[00:21:05.740 --> 00:21:10.540]   uh that year we were supposed to be a train for a year but i remember uh that summer when we were
[00:21:10.540 --> 00:21:17.980]   doing vision 2019 we we got called into a meeting and um it was during this it was during the middle of
[00:21:17.980 --> 00:21:24.540]   vision yeah yeah like hey can we have a can we have a meeting you know and um so i remember yes
[00:21:24.540 --> 00:21:28.620]   then i remember yeah we went in and so then they kind of told us about some of the latest thoughts
[00:21:28.620 --> 00:21:33.500]   about our training program like all of you guys you guys are going to do this and then um and then
[00:21:33.500 --> 00:21:38.940]   they said oh except deep in kata um would you guys be open to going to chicago to leave the church
[00:21:38.940 --> 00:21:49.420]   and we're like what what i thought we had six months left yeah yeah yeah can you guys go uh next month
[00:21:49.420 --> 00:21:56.060]   but yeah i mean yeah so we said yes to that and then that's how we ended up in chicago so mature and
[00:21:56.060 --> 00:22:02.780]   advanced they're like yeah you just just just go yeah yeah apparently what happened is that um i don't
[00:22:02.780 --> 00:22:06.300]   know if it's true but this is what they told me ben lue advocated for me so because he was he was
[00:22:06.300 --> 00:22:13.820]   uh he was with our staff in berkeley yeah yeah yeah and i'm sure um no and it said no to ize
[00:22:13.820 --> 00:22:23.340]   so my brother was on that team along with wait was anna already there yeah yeah she was she was
[00:22:23.340 --> 00:22:29.260]   with evanston oh part of ray ray okay yeah yeah so how was it going in there and um yeah going into
[00:22:29.260 --> 00:22:38.060]   that scene and leading those guys how was that um i i think i have a very um like modified memory
[00:22:38.060 --> 00:22:45.740]   now of that time because i remember with a lot of fondness yeah but um apparently according to kata
[00:22:45.740 --> 00:22:50.620]   and other people who observed me during that time i was really stressed yeah which makes sense
[00:22:53.180 --> 00:23:01.020]   yeah yeah yeah i think that first year was basically just getting to know them and trying
[00:23:01.020 --> 00:23:07.900]   to adjust to what it means to be a leader of a church and to lead these guys and also you know
[00:23:07.900 --> 00:23:12.380]   they had a year of experience on me right like on in terms of the campus and what they knew so i'm
[00:23:12.380 --> 00:23:17.980]   trying not to like change too much of what they're doing whilst trying to bring in my own thoughts and
[00:23:17.980 --> 00:23:22.460]   so that all took a while i feel like i feel like it took me a couple of years to just even feel
[00:23:22.460 --> 00:23:29.020]   comfortable with that role so yeah i don't know it was hard for you too yeah my experience of it was
[00:23:29.020 --> 00:23:38.460]   that i cried a lot and i laughed a lot yeah i laughed a lot and um it was the first time where it was
[00:23:38.460 --> 00:23:44.140]   such a cozy team there were like 10 of us at some point just the the mentors and we all fit in our small
[00:23:44.140 --> 00:23:49.980]   like two-bedroom apartment and we did staff life together cooked together and ate together all the time
[00:23:49.980 --> 00:23:55.820]   they watched emma who was one year old she was like 13 months old when we landed and um it was
[00:23:55.820 --> 00:24:02.140]   the first time you know we like left california to go somewhere else so even getting used to the winter
[00:24:02.140 --> 00:24:08.140]   with an infant that was new um but after that first winter it was like oh okay now i think i can tackle
[00:24:08.140 --> 00:24:15.420]   anything you know but the experience of it was um us needing to make a lot of decisions to lead a local
[00:24:15.420 --> 00:24:21.100]   church that we've never had to face before so then even after we had our first kid we really didn't
[00:24:21.100 --> 00:24:27.740]   fight we didn't argue about much um but then when we got to chicago we realized oh so much
[00:24:27.740 --> 00:24:34.140]   like we got so much help when we were staff in berkeley because so much got you know subsumed under the
[00:24:34.140 --> 00:24:38.620]   bigger infrastructure of the schedule like a lot of it's decided for us yeah and so we really just kind of
[00:24:38.620 --> 00:24:43.580]   focused on like people right in front of us but in chicago we had to make decisions about everything
[00:24:43.580 --> 00:24:52.300]   and that was a real like steep step to yeah big learning curve yeah yeah but i i really uh i still
[00:24:52.300 --> 00:24:58.620]   do think like i really enjoyed that first year especially and um there was i think i prayed more
[00:24:58.620 --> 00:25:05.180]   fervently than i have like like ever in my life and just because just feeling even though so much of
[00:25:05.180 --> 00:25:09.580]   like our ministry philosophy and things like that in our network is given to us and like there's a lot
[00:25:09.580 --> 00:25:15.740]   of training i've received there's there's this sense of like wow like i think god is trying to do
[00:25:15.740 --> 00:25:21.420]   something here and i i want i don't want to like get in the way of that and and i know that like i'm not
[00:25:21.420 --> 00:25:28.380]   this experienced person who knows like all this stuff and so like how do i balance you know just the
[00:25:28.380 --> 00:25:33.740]   needs and things of the staff in front of me and and the ministry and and then you know i've never
[00:25:33.740 --> 00:25:38.300]   private campus ministry is hard i mean that's a whole nother topic and just and there yeah so i
[00:25:38.300 --> 00:25:42.140]   just remember those prayer like prayer meetings we would have at cox lounge on the chicago campus just
[00:25:42.140 --> 00:25:47.180]   um sometimes we joked about after work because she would leave the prayer meetings but i was like totally
[00:25:47.180 --> 00:25:51.740]   not responding to her because i was just i was just praying about like all the burdens that i have
[00:25:51.740 --> 00:25:57.340]   like just in the corner by myself yeah i'm just having my own prayer meeting you know like yeah so um
[00:25:57.340 --> 00:26:03.660]   but it was just experientially it was um experientially i i it was a really sweet time i think of connecting
[00:26:03.660 --> 00:26:11.100]   with god so yeah that's good that's good wow so like you said um you uh private school so u chicago
[00:26:11.100 --> 00:26:16.620]   ministry on the chicago campus and so now it's been it's two five years since right but and uh
[00:26:16.620 --> 00:26:21.980]   this past fall there's a big change yeah right um so um yeah maybe tell us a little bit like just a
[00:26:21.980 --> 00:26:27.500]   short like what the change was and kind of maybe the larger context of chicago u chicago and and all that
[00:26:27.500 --> 00:26:32.700]   yeah like the evolution of chicago church yeah okay well maybe i can just start and then just fill in
[00:26:32.700 --> 00:26:39.500]   um so the big change was that um we shifted our focus kind of in our primary campus had always been
[00:26:39.500 --> 00:26:45.820]   the university of chicago which is in hyde park um we re this summer we decided to shift our sunday
[00:26:45.820 --> 00:26:51.980]   service to the downtown area because that's only about a 15 minute drive north um so it seems close
[00:26:51.980 --> 00:26:57.980]   on a map um but the reason we decided to do that is because hyde park we realized is a is a bubble
[00:26:57.980 --> 00:27:03.660]   like it's hard to get in and out unless you have a car um so you you look at like go on google maps
[00:27:03.660 --> 00:27:07.900]   and you look at the transit public transit system and you'll see nothing passes through the park
[00:27:07.900 --> 00:27:12.780]   right so then you have to like yeah it's a little out of the way so then so then um because in the
[00:27:12.780 --> 00:27:19.180]   back of our mind we wanted to um reach more students we realized recently that in the chicagoland metropolitan
[00:27:19.180 --> 00:27:24.780]   area there's like half a million college students wow so then um but you know we're like just working
[00:27:24.780 --> 00:27:29.180]   with like seven thousand seven thousand undergrads undergrads at u chicago so then uh we just felt like
[00:27:29.180 --> 00:27:35.100]   something needs to change um so that was a drastic we realized that we need a more drastic shift and
[00:27:35.100 --> 00:27:39.740]   we can't if we're trying to reach many campuses we can't like give them all rides or like where
