
[00:00:00.000 --> 00:00:02.080]   Go first, then.
[00:04:11.040 --> 00:04:20.300]   Maybe if the answer is it's her child or saying something like, oh, she is his mom.
[00:04:22.580 --> 00:04:31.440]   If the answer is not, even if the answer is not in the right way, if you use an LLM evaluator, it's able to say that, hey, no, this is a hit.
[00:04:31.440 --> 00:04:40.460]   An example of a reference-free metric could be a summarization whereby we already know LLMs already surpass human performance in terms of summarization.
[00:04:41.140 --> 00:04:44.720]   So it could be that here's a summary, and then here's the text.
[00:04:44.720 --> 00:04:49.440]   Is this summary a faithful representation of the text?
[00:04:49.440 --> 00:05:00.460]   So for those, there's an example in that, one of the future papers, one of the papers I'll be covering, that actually talks about this reference-free metric for evaluating faithfulness.
[00:05:00.460 --> 00:05:05.020]   Did I answer the question?
[00:05:05.020 --> 00:05:12.520]   So this paper is in the realm of fiction.
[00:05:12.520 --> 00:05:14.160]   Now let's go into non-fiction.
[00:05:14.160 --> 00:05:17.140]   Here's another paper that I quite like.
[00:05:17.140 --> 00:05:25.500]   Data set of information-seeking papers, anchored in research papers, by Allen Institute for AI.
[00:05:25.500 --> 00:05:28.820]   Their approach is also very interesting.
[00:05:30.880 --> 00:05:38.580]   They have academics, read, title, and abstract, only title and abstract, and then ask questions off the paper.
[00:05:38.580 --> 00:05:39.620]   That's it.
[00:05:39.620 --> 00:05:40.800]   Right?
[00:05:40.800 --> 00:05:53.080]   So it's a very similar approach whereby they force annotators to only look at limited data and then try to see if they can ask the question or not.
[00:05:53.080 --> 00:06:01.820]   And of course, the reason is because when you give annotators the full text and you ask them to generate questions, they often will generate questions that can be answered just within one or two words.
[00:06:01.820 --> 00:06:09.240]   But by forcing annotators to only look at the summary data, you actually force them to generate questions that are more open-ended.
[00:06:09.680 --> 00:06:14.320]   And in this case, this specific data set actually includes the evidence to arrive at that.
[00:06:14.320 --> 00:06:25.260]   And if you think about it, including the evidence, this evidence can be used in a retrieval evaluation pipeline, which is, did our retrieval find the right evidence for this question?
[00:06:25.260 --> 00:06:27.620]   So this is quite useful.
[00:06:27.620 --> 00:06:29.720]   5,000 papers.
[00:06:30.720 --> 00:06:35.780]   No, 5,000 questions on 1,500 papers on NLP, on NLP papers.
[00:06:35.780 --> 00:06:40.120]   And I think they actually collected these questions themselves, the authors.
[00:06:40.120 --> 00:06:44.420]   So 55% of the questions require evidence for multiple paragraphs.
[00:06:44.420 --> 00:06:55.520]   And this is the only, this is why when you ask a question from the abstract, the abstract, because it condenses data from multiple paragraphs, you actually have to answer questions from those.
[00:06:55.700 --> 00:07:00.660]   And 13 of them are actually super challenging, requiring answers from tables and figures.
[00:07:00.660 --> 00:07:06.660]   So I think that's probably the main thing I want to answer.
[00:07:06.660 --> 00:07:12.400]   So again, annotators, they don't just generate questions that cannot be answered, right?
[00:07:12.400 --> 00:07:15.860]   First, they generate questions, then they try to answer this.
[00:07:15.860 --> 00:07:21.480]   So if the question is answerable, they select the minimal set of evidence snippets to try to answer it.
[00:07:21.480 --> 00:07:24.400]   And of course, if the question is not answerable, they just throw it out.
[00:07:24.780 --> 00:07:33.120]   So in a sense, I think this data set is fairly carefully curated to ensure that all the answers actually can be answered, even though they took their approach whereby they focus on the summary first.
[00:07:33.120 --> 00:07:39.200]   And then there's a couple of questions that you can see here.
[00:07:39.200 --> 00:07:48.980]   You can see that even when you do this, a lot of the questions are going to be extractive, which is you just extract from the text.
[00:07:49.920 --> 00:07:56.700]   What we really want to aim on is for the abstractive answers, which requires some form of reasoning.
[00:07:56.700 --> 00:08:00.320]   And I think that's what this methodology is.
[00:08:00.320 --> 00:08:05.080]   And of course, there's a yes or no and unanswerable questions.
[00:08:05.080 --> 00:08:05.900]   They just skip it.
[00:08:05.900 --> 00:08:11.240]   Yeah, that's all I want to share about this.
[00:08:11.980 --> 00:08:15.720]   Next, I want to talk about L-eval, which is long e-val.
[00:08:15.720 --> 00:08:20.220]   This is slightly more recent, 2023.
[00:08:20.220 --> 00:08:26.260]   Discarding unanswerable questions seems like part of the reason LLM's answers.
[00:08:26.260 --> 00:08:26.900]   Yeah.
[00:08:28.100 --> 00:08:35.140]   I think it's important in the sense that we just need to make sure that those questions we don't mark it against the LLM or that we don't force the LLM to make up bullshit.
[00:08:35.140 --> 00:08:38.260]   So it's 20 sub-pass.
[00:08:38.260 --> 00:08:40.120]   They have 500 long documents.
[00:08:40.120 --> 00:08:42.960]   And these documents range from 3K to 200K.
[00:08:42.960 --> 00:08:45.940]   What we're really more interested in is in the 20K.
[00:08:46.900 --> 00:08:52.000]   But beyond the data set that they have here, here's the data set.
[00:08:52.000 --> 00:08:53.080]   The data set is really interesting.
[00:08:53.080 --> 00:08:57.560]   They almost created a lot of new data sets themselves where they script Coursera.
[00:08:57.560 --> 00:09:03.260]   This is, I think, a sci-fi citation, science fiction.
[00:09:03.260 --> 00:09:05.160]   Science fiction data set, right?
[00:09:05.160 --> 00:09:08.920]   It's a science fiction data set of true-false questions.
[00:09:08.920 --> 00:09:11.120]   And then they have a code data set.
[00:09:11.120 --> 00:09:15.760]   And then there's a long context question answering data set based on investor relations.
[00:09:15.760 --> 00:09:16.700]   So it's finance.
[00:09:16.700 --> 00:09:24.140]   So it's a really mixed bag from educational fiction and long context.
[00:09:24.140 --> 00:09:32.600]   So then, of course, they also combine several publicly available data sets.
[00:09:32.600 --> 00:09:35.400]   Now, what's really interesting here is this finding.
[00:09:35.400 --> 00:09:39.560]   Of course, they use an LLM as a judge.
[00:09:39.560 --> 00:09:40.580]   I mean, who doesn't nowadays?
[00:09:40.580 --> 00:09:45.460]   But what they found was this.
[00:09:45.680 --> 00:09:48.740]   Oh, no, where is it?
[00:09:48.740 --> 00:09:53.120]   Sorry, it's a little bit messy.
[00:09:53.120 --> 00:10:02.560]   So what they had to do was this, which is length instruction enhanced evaluation.
[00:10:02.560 --> 00:10:09.780]   So the problem with a lot of the N-gram-based benchmarks is that it's very much reliant on length.
[00:10:09.780 --> 00:10:17.340]   All the N-gram-based benchmarks are based on some recall and some precision approach, which you need some kind of denominator.
[00:10:17.560 --> 00:10:21.000]   And usually the denominator is the number of tokens in the answer, right?
[00:10:21.000 --> 00:10:25.000]   And therefore, longer answers will therefore be penalized.
[00:10:25.000 --> 00:10:33.700]   So what they found is that they try to constrain the LLMs to the number of words in the answer.
[00:10:34.440 --> 00:10:44.780]   And they found that when they did this, firstly, all the automated metrics, this is a key point, failed to correlate with human judgment.
[00:10:45.880 --> 00:10:49.840]   And compared, and of course, LLM judges are more accurate and robust to length.
[00:10:49.840 --> 00:11:00.480]   They also showed that with this length instruction enhanced evaluation, they found that they were able to improve.
[00:11:02.040 --> 00:11:09.000]   With the length instructions, they were able to improve the rouge by 0.5 to 0.8.
[00:11:09.000 --> 00:11:12.360]   And, you know, the data of the GPT-4 evaluator.
[00:11:12.360 --> 00:11:18.420]   Essentially, what it means is that when you try different pipelines or different models to try to get your answers,
[00:11:18.420 --> 00:11:27.020]   you want to try to make sure that the answers, it's not unfairly biasing a certain LLM that has longer answers.
[00:11:27.900 --> 00:11:32.400]   So I think this is also a pretty standard now, but it's a good reminder and they show data on that.
[00:11:32.400 --> 00:11:39.380]   The next one, I mean, since Swix likes fiction so much, there's another fiction paper.
[00:11:39.380 --> 00:11:47.120]   So this is novel QA, question answering documents, exceeding 200K documents.
[00:11:47.120 --> 00:11:49.600]   So this is based on English documents, right?
[00:11:49.600 --> 00:11:54.920]   And they have a mix of various complexity, et cetera.
[00:11:57.600 --> 00:12:07.880]   So what is really interesting here is they use, based on English, but they also try to, and they also, they have golden answers, which is great.
[00:12:07.880 --> 00:12:10.680]   Having these reference answers is really important.
[00:12:10.680 --> 00:12:18.120]   But what is really interesting is the, how they try to create the data set, which is multi-hop, single-hop, and detailed answers.
[00:12:18.120 --> 00:12:25.620]   So single-hop means you need to find, you locate some evidence somewhere and you need to connect it with another evidence somewhere.
[00:12:26.380 --> 00:12:28.440]   Multi-hop means you need to jump all over the place.
[00:12:28.440 --> 00:12:31.580]   So this is actually pretty challenging, I think.
[00:12:31.580 --> 00:12:36.880]   And I think a lot of regular Q&A, if you're asking questions of your documents or of your book, et cetera,
[00:12:36.880 --> 00:12:39.960]   these are the kind of very difficult questions you're asking.
[00:12:39.960 --> 00:12:49.540]   You're probably not asking for extractive questions, like what did Tom do or where did Dumbledore destroy the first Horcrux?
[00:12:49.720 --> 00:12:57.380]   Like even where did he destroy the first Horcrux, you actually need to do a lot of abstractive and reasoning thinking behind that.
[00:12:57.380 --> 00:13:06.000]   So what is really interesting is that they tried to show what happens with the loss-in-the-middle phenomena, and that's the data set.
[00:13:06.000 --> 00:13:07.880]   That's the graph I want to focus on here.
[00:13:07.880 --> 00:13:11.180]   Also in normal Q&A, they actually have two kinds of answers.
[00:13:11.180 --> 00:13:14.280]   The first answer is multiple choice.
[00:13:14.280 --> 00:13:19.000]   And you can see over here, the answer is multiple choice.
[00:13:19.000 --> 00:13:20.660]   And then the second answer is generative.
[00:13:20.660 --> 00:13:26.280]   For the answer, the model actually has to choose some kind of answer.
[00:13:26.280 --> 00:13:33.220]   And you can see, this is probably not the best graph, but essentially both of these are multiple choice.
[00:13:33.860 --> 00:13:35.420]   Do you try and match it with the answer?
[00:13:35.420 --> 00:13:39.760]   They reference L-Eval, they reference Bamboo and Long Bench.
[00:13:39.760 --> 00:13:43.800]   We won't have time to go through a lot of these, but L-Eval, which is the paper that we just mentioned,
[00:13:43.800 --> 00:13:50.240]   they actually reuse the same length instruction enhanced evaluation based on that.
[00:13:50.240 --> 00:13:55.700]   So token size, 200k tokens, this exceeds what Claude is able to do.
[00:13:55.700 --> 00:13:57.860]   But we don't know what Claude's tokenizer is.
[00:13:58.160 --> 00:14:03.980]   Anyway, so this data set, now over here, they are very explicit on how they constructed a data set,
[00:14:03.980 --> 00:14:07.140]   which is very helpful if you want to construct a data set yourself.
[00:14:07.140 --> 00:14:09.360]   Essentially, you need a few columns.
[00:14:09.360 --> 00:14:11.240]   You need the question, obviously, and the answer.
[00:14:11.240 --> 00:14:15.600]   You also need the golden reference answer, right?
[00:14:15.600 --> 00:14:18.000]   The gold answer and the evidence.
[00:14:18.340 --> 00:14:22.800]   So now evidence, you can probably just say the evidence is probably the entire document up to the point that I read.
[00:14:22.800 --> 00:14:27.520]   Or you can actually go the extra mile by saying that these are the paragraphs where the evidence is or the spans.
[00:14:27.520 --> 00:14:32.100]   And you can also try to label the questions to try to help you understand,
[00:14:32.100 --> 00:14:36.640]   hey, is my pipeline performing better on the more complex questions, multi-hop questions,
[00:14:36.640 --> 00:14:38.880]   abstractive summarization questions, et cetera.
[00:14:39.400 --> 00:14:48.820]   I kind of ignore the multiple choice answers because that's not very representative if you're trying to build a chatbot on top of long context.
[00:14:48.820 --> 00:14:54.820]   So very interestingly, they use public domain novels from Project Gutenberg.
[00:14:54.820 --> 00:14:56.720]   They also purchase e-books.
[00:14:56.720 --> 00:15:02.420]   I'm not sure what it means to purchase the e-book and then release it as part of a golden data set.
[00:15:02.480 --> 00:15:07.360]   I don't know if you purchase the e-book, you actually have the copyright and the license to do that, to share it out.
[00:15:07.360 --> 00:15:09.000]   But I know that's what they did.
[00:15:09.000 --> 00:15:10.740]   I don't want to question that.
[00:15:10.740 --> 00:15:16.240]   So here's how the distribution of the questions look like.
[00:15:16.240 --> 00:15:18.220]   Multi-hop, which is the most challenging one.
[00:15:18.220 --> 00:15:20.800]   Single-hop and then followed by detail, which is just really extractive.
[00:15:20.800 --> 00:15:26.600]   Now, there's three really interesting.
[00:15:26.960 --> 00:15:32.860]   I'm not sure if I would agree with their interpretation of it.
[00:15:32.860 --> 00:15:35.780]   So what they found over here, oh, sorry.
[00:15:35.780 --> 00:15:44.720]   Figure three is that accuracy drops beyond 100k tokens.
[00:15:44.720 --> 00:15:50.540]   So once your data is in, beyond 100k, accuracy drops.
[00:15:50.540 --> 00:15:52.720]   So that's what the graph on the left shows.
[00:15:52.720 --> 00:15:54.700]   I think that's somewhat clear.
[00:15:55.020 --> 00:16:00.780]   It feels like, I think they're right to say that, okay, if you average all the three numbers, you do see a stepwise drop.
[00:16:00.780 --> 00:16:07.820]   Now, figure 3b, this is the one that's actually really interesting.
[00:16:07.820 --> 00:16:16.300]   In a sense, what they say is that if I give it some text and the answer is in some percentile of the text,
[00:16:16.360 --> 00:16:21.400]   the answer is in the first 10% or the answer is the last 90% or the last answer is right in the middle.
[00:16:21.400 --> 00:16:26.400]   What this graph says is that there is no loss in the middle effect.
[00:16:26.400 --> 00:16:32.340]   Regardless of where the actual answer, the actual evidence is, there's actually no loss in the middle effect.
[00:16:32.840 --> 00:16:35.280]   And this is actually, this actually suggests a hint.
[00:16:35.280 --> 00:16:50.680]   If you are trying to build such a benchmark yourself, you want your benchmark to be positionally robust in the sense that you want to ask questions that can be answered by the first quarter of the book, the half of the book, the third of the book, and at the end of the book.
[00:16:51.640 --> 00:16:57.020]   You don't want to just formulate questions that are either just all at the start or all in the middle.
[00:16:57.020 --> 00:17:03.020]   You want to have this concept of positional robustness to understand, hey, where does my pipeline start to fail?
[00:17:03.020 --> 00:17:07.180]   According to this graph, they say that it does not fail.
[00:17:07.180 --> 00:17:17.560]   But now let's look at figure 7, which is in the appendix, where they split this up into two stages.
[00:17:18.040 --> 00:17:24.980]   The first one on top is when the, and maybe let's just focus on the GPT-4 and Claude 2.1 numbers.
[00:17:24.980 --> 00:17:30.340]   The first one on top is when the context length is below 100k.
[00:17:30.340 --> 00:17:36.100]   So you can see when the context length is below 100k, there may be some kind of loss in the middle effect.
[00:17:36.100 --> 00:17:42.420]   If you look at this GPT, if you really squint at this GPT-4 graph, and maybe this intern LLM graph.
[00:17:43.380 --> 00:17:49.120]   But when the context length exceeds 100k, you start to see it's really just dropping throughout all the way.
[00:17:49.120 --> 00:17:52.160]   So I think maybe there's two stories here.
[00:17:52.160 --> 00:17:56.800]   When the context length is medium, look at us, 100k context is already considered medium now.
[00:17:56.800 --> 00:18:00.660]   When the context length is medium, maybe the loss in the middle effect is present.
[00:18:01.100 --> 00:18:07.800]   When the context length is long, I guess the longest one they have here, which is more than 100k,
[00:18:07.800 --> 00:18:12.600]   you start to see that long context start to drop off.
[00:18:12.600 --> 00:18:15.920]   So that's a nuanced finding that they found here.
[00:18:15.920 --> 00:18:19.760]   Now the last one, I know I'm going super fast.
[00:18:20.360 --> 00:18:23.660]   I will just want to finish this and maybe in just three minutes, and then we can go into questions.
[00:18:23.660 --> 00:18:31.120]   The last one is especially interesting because it goes into multi-document Q&A.
[00:18:31.120 --> 00:18:39.000]   Up to so far, we've always only been focusing on a single document, a single movie script, a single book, a single paper.
[00:18:39.440 --> 00:18:43.500]   But what if the answer requires multiple documents?
[00:18:43.500 --> 00:18:44.820]   So here's the answer.
[00:18:44.820 --> 00:18:47.700]   List the current assets of each of the above companies in order.
[00:18:47.700 --> 00:18:51.560]   So you do need to go through multiple documents to try to answer this.
[00:18:51.560 --> 00:18:52.860]   And it depends.
[00:18:52.860 --> 00:18:56.500]   Different documents could have different contexts, could have different styles of writing.
[00:18:56.500 --> 00:18:59.320]   How is the LLM able to deal with this?
[00:18:59.320 --> 00:19:04.240]   So I won't go through this very much.
[00:19:04.240 --> 00:19:07.160]   This is the long benchmark, L-O-O-N-G.
[00:19:07.800 --> 00:19:10.860]   Pretty interesting because it also means dragon in Chinese.
[00:19:10.860 --> 00:19:14.260]   Maybe that's what they intend to do.
[00:19:14.260 --> 00:19:21.140]   And you can see these are the different tasks that you try to look at, which is given multiple docs, can you pick the right one?
[00:19:21.140 --> 00:19:23.920]   Given multiple docs, can you do some kind of comparison?
[00:19:23.920 --> 00:19:26.560]   Hey, is Ali Baba better than Pai Tu or Tencent?
[00:19:26.560 --> 00:19:27.180]   Comparison.
[00:19:27.180 --> 00:19:31.960]   Given multiple docs, can you do clustering and do some kind of summarization on top of that?
[00:19:31.960 --> 00:19:35.720]   And then given multiple docs, can you just do some kind of chain of reasoning across the docs?
[00:19:36.160 --> 00:19:45.600]   But one thing that's really interesting in this is not just how the benchmark was built, but this result that they have in this paper, in this graph over here.
[00:19:46.600 --> 00:19:50.820]   So this paper, I don't know, again, this is a question that I often debate.
[00:19:50.820 --> 00:19:53.980]   I don't know what the right answer is and I'm curious to hear what people think.
[00:19:53.980 --> 00:20:00.480]   The blue line, the blue round line with the blue dots, this is the baseline accuracy.
[00:20:00.480 --> 00:20:03.200]   And you can see baseline accuracy just keeps dropping.
[00:20:03.200 --> 00:20:03.760]   It's fine.
[00:20:04.080 --> 00:20:06.740]   So this is the top five, GPT-40 and QAN 272B.
[00:20:06.740 --> 00:20:14.640]   Now, the other lines, the other colors, these are when you use OpenAI embeddings and get the top 10 documents.
[00:20:14.640 --> 00:20:21.240]   And when you use, I can't remember what BGE stands for, but it's another embedding model and use the top five.
[00:20:21.240 --> 00:20:24.880]   Top five and of course, OpenAI top five and OpenAI top 10.
[00:20:26.000 --> 00:20:26.940]   What do you see here?
[00:20:26.940 --> 00:20:28.820]   Can anyone just shout out?
[00:20:28.820 --> 00:20:29.820]   What's the big trend here?
[00:20:29.820 --> 00:20:34.700]   Longer context, lower?
[00:20:34.700 --> 00:20:35.760]   Yes.
[00:20:35.760 --> 00:20:37.260]   Yes.
[00:20:37.260 --> 00:20:39.140]   What is the other big trend?
[00:20:39.140 --> 00:20:43.540]   The other big trend is maybe we don't need RAG.
[00:20:45.280 --> 00:20:54.900]   I know maybe that is controversial, but you can see that using RAG, you always get lower accuracy.
[00:20:54.900 --> 00:21:04.620]   Now, this, I don't know if it's controversial or not, but if you think about it, if you think about it two years into the future,
[00:21:04.620 --> 00:21:08.080]   will models have standard half a million or one million contacts?
[00:21:08.080 --> 00:21:09.680]   I think that's very likely, yes.
[00:21:09.680 --> 00:21:13.600]   Will pre-cash cost drop further?
[00:21:13.600 --> 00:21:14.980]   I think the answer is yes.
[00:21:14.980 --> 00:21:18.180]   Will long contacts capability increase?
[00:21:18.180 --> 00:21:19.600]   I think the answer is probably yes.
[00:21:19.600 --> 00:21:21.800]   So it doesn't mean that we don't need RAG.
[00:21:21.800 --> 00:21:27.400]   It means that if your single document, if you have a single document or single book,
[00:21:27.400 --> 00:21:30.140]   or even maybe a Game of Thrones style, that length of book,
[00:21:30.140 --> 00:21:33.480]   maybe you just need the whole thing in the context and you maybe don't need RAG.
[00:21:33.480 --> 00:21:36.540]   Now, you still need RAG if you're trying to query on the Library of Congress,
[00:21:36.540 --> 00:21:39.440]   which is all the financial reports.
[00:21:39.800 --> 00:21:44.600]   But from this example here, you can see that at 50K or 100K or even 200K,
[00:21:44.600 --> 00:21:50.420]   RAG actually didn't help, but it actually hurt.
[00:21:52.340 --> 00:21:53.780]   So that's all I had to share.
[00:21:53.780 --> 00:21:54.380]   Any questions?
[00:21:54.380 --> 00:21:56.840]   Quick question on this last one, actually.
[00:21:56.840 --> 00:22:01.700]   So is this a single document or is this multiple documents?
[00:22:01.700 --> 00:22:05.460]   I suspect this is multiple documents because their data sets are all multiple documents.
[00:22:08.120 --> 00:22:12.500]   So in the long context, they're just throwing in multiple documents?
[00:22:12.500 --> 00:22:13.400]   Yeah.
[00:22:13.400 --> 00:22:14.860]   All the documents.
[00:22:14.860 --> 00:22:24.020]   I suspect it's multiple documents.
[00:22:24.020 --> 00:22:25.340]   Yeah.
[00:22:25.400 --> 00:22:42.320]   So one thing that I ran into in the past with long context evals was so I was working on like a legal long context QA task and they had overfit on trying to fine tune a menstrual model.
[00:22:42.980 --> 00:22:55.120]   And it was really good at documents at the start, the middle and the end, but not at different quartiles because they tried to fix this long context QA by training on facts that were injected in the middle.
[00:22:55.300 --> 00:22:58.480]   And then we had overfit to that.
[00:22:58.480 --> 00:23:12.960]   But then what happened was when we did chain of thought questions with multiple documents, we noticed that it would just chain of thought through the whole context and be like, okay, I need this source and then I will do that.
[00:23:12.960 --> 00:23:17.160]   So giving in multiple kind of had an internal chain of thought even when not prompted.
[00:23:17.160 --> 00:23:22.480]   But then when we did it on one large document, it still wouldn't work well.
[00:23:22.480 --> 00:23:29.320]   So interesting little like note that we had on this specific thing because we tried, let's just throw in the whole couple documents.
[00:23:29.320 --> 00:23:40.360]   And it was, you know, I think it was 32K context, but that could still fit multiple, multiple documents and it could reason through, okay, I need to look at this subsection because now it has internal breaks, right?
[00:23:40.360 --> 00:23:45.320]   So it could easily find, okay, I need like, you know, 17th document is here and then it would look into that.
[00:23:45.320 --> 00:23:49.340]   But if we gave one document that was 32K, it wouldn't do any well.
[00:23:49.340 --> 00:23:51.740]   So interesting little note on this even.
[00:23:52.240 --> 00:23:53.980]   Yeah, I think maybe that's how the fine tuning was done.
[00:23:53.980 --> 00:23:56.160]   Yeah.
[00:23:56.160 --> 00:24:06.200]   So the question I always ask myself and I mean, not to be spicy here, but the question I always ask myself is a reg or not.
[00:24:06.200 --> 00:24:09.760]   So now here's the practical considerations, right?
[00:24:09.760 --> 00:24:11.740]   If you want to build a reg, you need to eval the reg.
[00:24:11.740 --> 00:24:15.540]   And building the reg, evaluating the reg, maybe that's two headcount.
[00:24:16.260 --> 00:24:18.140]   And we know evaluation is really hard, right?
[00:24:18.140 --> 00:24:22.460]   Evaluation and retrieval is especially hard because it's always the cold start problem.
[00:24:22.460 --> 00:24:28.960]   If you're asking a question of a document base, everyone has their own document base and there's only one person who's answering document base.
[00:24:28.960 --> 00:24:29.500]   It's really hard.
[00:24:29.920 --> 00:24:38.960]   Unlike if you're doing recommendation systems or search, you have free data coming from everywhere where customers are just saying yes or no, whether I like this product that you've written or not.
[00:24:39.520 --> 00:24:43.820]   But for evaluation or retrieval, I think it's really, really, really hard and really expensive.
[00:24:44.240 --> 00:24:53.220]   So as far as I can, as much as I would like to not build a reg and evaluate the retrieval component of the reg, I try to do that.
[00:24:53.220 --> 00:24:58.020]   Now, if anyone here wants to tell me, Eugene, you're wrong, I would love to hear it.
[00:24:58.020 --> 00:25:02.100]   And feel free to ping me on Discord or Twitter anywhere.
[00:25:02.100 --> 00:25:06.440]   But in my mind, I think evaluation retrieval is actually extremely hard, especially in reg, right?
[00:25:06.440 --> 00:25:09.560]   Because you're retrieving the documents and then you're summarizing into an answer.
[00:25:09.560 --> 00:25:14.680]   The user will never give you feedback on whether the documents you have retrieved are actually useful or not.
[00:25:14.680 --> 00:25:17.660]   There's no built-in data flyer will feedback you.
[00:25:17.660 --> 00:25:20.180]   The user will only say the answer is good or not.
[00:25:20.180 --> 00:25:25.800]   But you actually don't, unless you actually have a dedicated team that actually says, this document is good, this document is not good.
