
[00:00:00.000 --> 00:00:14.080]   Thanks for me. Thanks for me, Gary. So I think most people are probably familiar with
[00:05:18.320 --> 00:05:24.400]   and build volume to the new company. So, this is one direction that I, I see a lot more companies working on.
[00:05:24.400 --> 00:05:30.400]   But, at the same time, also personalized applications, uh, for, you know, uh, professionals,
[00:05:30.400 --> 00:05:35.200]   like, even people that have their own monthly, otherwise it would stop replacing that. So,
[00:05:35.200 --> 00:05:42.800]   that's, that's the kind of basic solution. Awesome. How, uh, so people who have agents and are maybe
[00:05:42.800 --> 00:05:48.880]   starting with agents on the, on the lower end of the topic and are thinking of letting it run now for
[00:05:48.880 --> 00:05:53.920]   10, 15 minutes, like, who are, how did you have the confidence to, like, do that? Like, when was the point
[00:05:53.920 --> 00:05:58.320]   where you're like, okay, bring the team out of the loop and we need to start letting it run? Is that
[00:05:58.320 --> 00:06:03.600]   based on kind of, like, feedback from users, internal testing, metrics, like, what did that process to get
[00:06:03.600 --> 00:06:09.440]   that confidence look like? I would say a lot of internal testing. Even before we launched V1,
[00:06:09.440 --> 00:06:16.400]   we had a prototype of it since early 2024. So, we've always been trying to make it work. And the moment
[00:06:16.400 --> 00:06:21.680]   we find the right blocks, uh, which partially are due to what computer labs are working on. So,
[00:06:21.680 --> 00:06:25.200]   the new models that they give us, uh, at the same time, it's also due to how good is the
[00:06:25.200 --> 00:06:29.520]   stuff that we're feeling. The moment it works well enough then, that's when we start to feel
[00:06:29.520 --> 00:06:34.160]   we should launch this, we should put it at least in front of a small, you know, alpha users cohort.
[00:06:34.880 --> 00:06:41.520]   What I think we do is that we, we re-architected it to, you know, to best leverage the database models
[00:06:41.520 --> 00:06:48.720]   up there, and then we start to use it a lot internally. And we started with a approach that was a bit more
[00:06:48.720 --> 00:06:54.880]   similar to V1, so we were more cautious, and then we just gave more niche. So, we wanted to say,
[00:06:54.880 --> 00:06:58.720]   yeah, how far can we take these? How good is it going to work? And it turns out that, you know,
[00:06:58.720 --> 00:07:05.920]   it exceeded our expectations. So, in confidence, in all honesty, as always, as usual, came with the
[00:07:05.920 --> 00:07:11.120]   early access product, where we launched it as an opt-in. We asked the user just to social
[00:07:11.120 --> 00:07:17.040]   tools to try it, and then we received exceeding positive feedback, and then as a team, we rushed
[00:07:17.040 --> 00:07:23.280]   because we go to GA as much as possible. You mentioned models a few times. What models,
[00:07:23.280 --> 00:07:28.400]   are you able to share what models you all are using, or how generally you think about the model landscape,
[00:07:28.400 --> 00:07:35.520]   you know, we are the users of the smaller models, especially in 3.7, as a lot of new
[00:07:35.520 --> 00:07:41.760]   levels, not only for open images. I see overall the industry pointing in a direction,
[00:07:41.760 --> 00:07:48.320]   and the latest GMI 2.5 is also probably a very similar lab philosophy, and I do believe that
[00:07:48.320 --> 00:07:55.280]   from here, labs are realizing that there is a lot of value in how large companies like ours, and you know,
[00:07:55.280 --> 00:08:01.520]   all your customers to grade much more gently, much more advanced, and gentle workflows compared to
[00:08:01.520 --> 00:08:05.840]   the best. So, I'm going to be surprised if in the next few months, you are going to see all
[00:08:05.840 --> 00:08:11.520]   the models, explosive tools, and the infrastructure in such a way that allows you to have, you know,
[00:08:11.520 --> 00:08:14.400]   much more time with everything.
[00:08:14.400 --> 00:08:21.600]   So, how many users to choose what model is used under the hood, or is that hidden?
[00:08:21.600 --> 00:08:29.520]   Now, we are very innovative, and it's also a product choice. In all honesty, there are platforms where,
[00:08:29.520 --> 00:08:35.520]   of course, you can be a model to use for street products, for example, to develop parts of it,
[00:08:35.520 --> 00:08:40.640]   so I think it's great to have a model selector and get the best possible performance from
[00:08:40.640 --> 00:08:45.120]   under different models that are on the market. In our case, it would be a fairly big challenge
[00:08:45.120 --> 00:08:49.440]   to allow you to switch models. We use multiple models, by the way. Like...
[00:08:49.440 --> 00:08:54.800]   In one run of the... Yeah, yeah, like, 3.7 is kind of like the, uh, the, uh, the foundation,
[00:08:54.800 --> 00:09:00.080]   the main leading lock for the IT model of the agent, but we also use a lot of, you know,
[00:09:00.080 --> 00:09:05.360]   other models to do a lot of accessory function, you know, especially when we, when we get to enough
[00:09:05.360 --> 00:09:10.080]   latency for, you know, for, for, for performance, then we go, you know, we flash models,
[00:09:10.080 --> 00:09:16.320]   or we go forward models in general. So, we don't need that optionality, because it would be very hard
[00:09:16.320 --> 00:09:22.560]   for us to even maintain several different parts. And if you think about, you know, we go very deep into the
[00:09:22.560 --> 00:09:27.840]   rapid total of optimizing the bugs, you know, very hard for me to go home, and we go back and we go
[00:09:27.840 --> 00:09:35.280]   keep, you know, tons, that's a lot of work for us to do. Do you mostly use, do you use the open source
[00:09:35.280 --> 00:09:40.000]   models as well as part of this, or is it mostly foundation model? At this point, it's mostly
[00:09:40.000 --> 00:09:46.320]   foundation models. We have a base, consulting, tax testing, NIPC, um, and I'm very bullish about
[00:09:46.320 --> 00:09:51.040]   the amount of time. The reason why we're not, you know, testing too much time,
[00:09:51.040 --> 00:09:57.280]   to do in time 20 where it's already been so small as a plant is because, again, the labs are
[00:09:57.280 --> 00:10:03.120]   moving at a complete, a base, I think back in the days when we were talking with each other,
[00:10:03.120 --> 00:10:07.920]   maybe there was a new leaf every single month, and that's probably happening every couple of months,
[00:10:07.920 --> 00:10:13.600]   so it's probably, it's better to explore what you can do to do with your labs, and then eventually when
[00:10:13.600 --> 00:10:19.360]   things go down, we'll do better stuff. By the way, uh, or if there is a reason for us to take out the
[00:10:19.360 --> 00:10:25.600]   source model, continue, and perhaps try to optimize some of the key, uh, actions that our future takes,
[00:10:25.600 --> 00:10:31.440]   that allow me to, to spend time there. But for now, it's really, really friendly, I think it is.
[00:10:31.440 --> 00:10:37.680]   You mentioned, kind of, like, the trade-off between costs and latency and performance.
[00:10:37.680 --> 00:10:43.920]   Yeah, yeah. How, how, how do you think about that now, and how have you thought about that over time?
[00:10:43.920 --> 00:10:50.160]   Because Repli, I feel like, at least based on what I've seen on Twitter, has exploded, like, uh, recently.
[00:10:50.160 --> 00:10:55.200]   And, and, and so, was there a moment, like, I think, I think everyone kind of has some fear when they watch
[00:10:55.200 --> 00:11:00.160]   in the agent or some AI. If this becomes really popular, like, it's going to bankrupt me. Um, and so,
[00:11:00.160 --> 00:11:06.400]   did you guys have that fear? I think you started to see things take off. I still have the fears.
[00:11:06.400 --> 00:11:12.240]   It hasn't changed my strategy. Um, so, I think I went on our podcast from, you know, last year for us,
[00:11:12.240 --> 00:11:17.280]   yeah, last year for us, saying that, you know, the three, the three dimensions we want to optimize are
[00:11:17.280 --> 00:11:25.360]   performance, cost, and latency. And, for me, performance and cost are almost, you know, uh, the same level in terms of importance.
[00:11:25.360 --> 00:11:33.040]   And that, really, back in the, in one days, I was using it as, as a, as a partner. Um, it doesn't change much.
[00:11:33.040 --> 00:11:36.400]   Today, we, too, we find that gap has become even wider.
[00:11:36.400 --> 00:11:44.160]   Because it runs for so long. It runs for so long, and possibly there was the scariest that we did when we launched it,
[00:11:44.160 --> 00:11:51.280]   especially when we put it, uh, and we made the GA. And the reason is we were already not emphasizing how much
[00:11:51.280 --> 00:11:56.400]   the data components. Like, we strongly believe that it's far more important for the agent to get
[00:11:56.400 --> 00:12:02.800]   done what people want, and especially for the ICT that we've been wanting, which is contacting our people. Um,
[00:12:02.800 --> 00:12:08.640]   so, we have almost like one of the 90% of, uh, additional latency. And the reaction has been
[00:12:08.640 --> 00:12:13.920]   fairly more controversial. I think maybe for, for the first week, there are some people being
[00:12:13.920 --> 00:12:18.240]   shocked how the amount of time it was taking. At the moment, you realize how much more it gets
[00:12:18.240 --> 00:12:23.040]   done, and the, the, the, the, the, the, the amount of edits that it's also doing, because you don't have to
[00:12:23.040 --> 00:12:27.280]   go and try to debug. Even if you debug it with the agent, you got all the version of the agent,
[00:12:27.280 --> 00:12:31.760]   you, you, you have to know what to ask. For now, it's not a big thing, or often times.
[00:12:31.760 --> 00:12:38.000]   So, so, do you see people modifying the code management still, or is it completely hands off?
[00:12:38.000 --> 00:12:42.320]   That's a great question. We have an internal metric, and it's one of my worst parts. To be honest,
[00:12:42.320 --> 00:12:47.120]   we, we, we try to try it off when people go back into our editor, which by the way, we have been
[00:12:47.120 --> 00:12:51.440]   hiding in the products since we launched Agent V1. I mean, that was the main.
[00:12:51.440 --> 00:12:56.800]   The, the, the, the, the main product for closing to be democratic before we launched the agent was
[00:12:56.800 --> 00:13:04.240]   a, I'm sorry about. Um, and we started basically showing you the 5P, then now it's hidden by default,
[00:13:04.240 --> 00:13:09.840]   and then it takes no effort to get in front of the editor. And we started where, I think,
[00:13:09.840 --> 00:13:15.680]   one user out of four were actually still adding in the code, especially the more professional ones.
[00:13:15.680 --> 00:13:20.960]   I think as of today, we arrived at the point where it's a while out of 10, and my goal is,
[00:13:20.960 --> 00:13:26.400]   actually, zero users will link to one of the brands in the code.
[00:13:26.400 --> 00:13:31.760]   One of the cool features of Replit that I remember from, from before, Agent was kind of like,
[00:13:31.760 --> 00:13:36.400]   the multi-player collaborator thing as well. Do you still, like, when people build agents,
[00:13:36.400 --> 00:13:41.280]   is there a collaborative aspect, or is it mostly kind of like, uh, sorry, when people build apps with
[00:13:41.280 --> 00:13:45.680]   agents, are they mostly, is it mostly one person using the agent, or is there sometimes collaborative
[00:13:45.680 --> 00:13:51.280]   as, as well interacting with the agent? So for our, uh, consumers who are around the world,
[00:13:51.280 --> 00:13:57.440]   yes, most of them, I think, are just single player experience. Uh, especially more like in a business
[00:13:57.440 --> 00:14:03.600]   enterprise setting, they, we bring them in the team, so everyone can see each other's projects,
[00:14:03.600 --> 00:14:09.920]   and we see them using the agent together. Now, we have a giant block, as I'm not,
[00:14:09.920 --> 00:14:14.800]   uh, for reasons that I'm happy to explain, uh, but we saw times in the shot blocks that there are
[00:14:14.800 --> 00:14:19.760]   several people who sent me using the problems to the agent. The challenge-wise, you are,
[00:14:19.760 --> 00:14:24.480]   to our model agents in parallel, it's not that much on the infrastructure side, that we are
[00:14:24.480 --> 00:14:29.280]   having a few days to run, not in instances, because we really want to scale, so that wouldn't be
[00:14:29.280 --> 00:14:35.280]   such a big deal. Uh, the real challenge is, how do you merge all the different, you know, um,
[00:14:35.280 --> 00:14:40.080]   patches with the PR that the agent creates, which is unknown to your promise if you're
[00:14:40.080 --> 00:14:44.720]   able to use your AI to trust your models? And merge conflicts on one. That's my question.
[00:14:44.720 --> 00:14:53.600]   You, uh, you, you mentioned earlier that there's some, like, some app for, for, for using Repli,
[00:14:53.600 --> 00:14:58.560]   and getting notifications, where we're going with this, is when this agent's running for like 10-15 minutes,
[00:14:58.560 --> 00:15:02.320]   how, how does it, like, what are the communication patterns you're seeing? How do the users know when
[00:15:02.320 --> 00:15:05.760]   it's done? Or are they just keeping the browser open and looking there? Do you have, like, Slack
[00:15:05.760 --> 00:15:10.880]   notifications? Is this app that sends them a push? Like, what are you seeing being helpful there?
[00:15:10.880 --> 00:15:17.360]   And, and, and, and has that changed as the agent gets longer and longer? Right. Yeah, so we, we won,
[00:15:17.360 --> 00:15:24.880]   most of the users were in front of the screen of design, because the feedback loop was relatively short,
[00:15:24.880 --> 00:15:31.600]   and I think it was also quite a bit to learn from, from what the agent was doing. It's still the case today, uh,
[00:15:31.600 --> 00:15:36.880]   it's fairly verbose if you're curious to get a basic experiment every single action it does. If you
[00:15:36.880 --> 00:15:41.520]   want, you can see the output of every single tool we run, you can try to be as transparent as possible.
[00:15:41.520 --> 00:15:47.520]   So there is a subset of users that are using the agent not only because they want to build something,
[00:15:47.520 --> 00:15:52.080]   but also because they want to speed run their learning experiments. And it teaches you how to build
[00:15:52.080 --> 00:15:58.320]   zero to one apps in the possible, the best possible way. They're also using that absolutely don't care,
[00:15:58.320 --> 00:16:02.240]   and they, you know, they just launched, uh, they submit a prompt, and then they go back,
[00:16:02.240 --> 00:16:07.120]   maybe they go delete, and then they, they go back and check that way. To make sure that the loop is
[00:16:07.120 --> 00:16:11.600]   a bit tighter, uh, the replica mobile app that is available on, you know, apps around, right,
[00:16:11.600 --> 00:16:18.640]   um, sends a notification to when the agent wants, what's with you. And the vision that we have for the next
[00:16:18.640 --> 00:16:26.960]   release is to send even fewer information. And the idea is, right now, one button is for us, which is the fact
[00:16:26.960 --> 00:16:36.560]   that we rely solely on the last professional. But, as you know, more and more progress is happening on the computer use side.
[00:16:36.560 --> 00:16:53.760]   That is something that we are actively working on to remove even, you know, these additional hurdles from the user,
[00:16:53.760 --> 00:17:00.080]   because a lot of the time, what we ask them to test is fairly clear. Like, it's data input and clicking
[00:17:00.080 --> 00:17:06.240]   around a very simple, simple, simple place. I expect us to be able to do that with the computer use very soon,
[00:17:06.240 --> 00:17:15.760]   reading the products, and then jumping from, say, 10 minutes of autonomy to one hour of autonomy. That is my target for me to talk to me in four months.
[00:17:15.760 --> 00:17:20.800]   How do you, how do you think about, there's kind of like testing, but then there's also making sure that
[00:17:20.800 --> 00:17:26.560]   it's doing what the human actually wanted, and oftentimes we're bad communicators, and don't specify
[00:17:26.560 --> 00:17:31.120]   everything up front. How do you think about getting all that specification? Do you have something like
[00:17:31.120 --> 00:17:37.120]   deep research where it kind of grills the user back and forth at the start, or how do you think about that?
[00:17:37.120 --> 00:17:42.800]   So we are changing the mining experience as we speak, and we're going to launch it very soon.
[00:17:42.800 --> 00:17:50.560]   It's hard to reconcile how most of the users have been trained by products like ChatGPT, and actually how
[00:17:50.560 --> 00:17:56.560]   we expect them to use a coding agent, or in general, any agent, because if you have a complicated task that
[00:17:56.560 --> 00:18:01.600]   you want to address the same images of using the software, because you want to submit a P&D. That's what, again,
[00:18:01.600 --> 00:18:09.120]   you can. It's typical of doing. Digital people are willing to do that, or what they do is that they run a two likes
[00:18:09.120 --> 00:18:14.160]   ground, they throw it into a cloud, they get back along P&D, and then they expect the reputation to
[00:18:14.160 --> 00:18:24.080]   follow it up in every single item that you did. We're not there yet. So what I, the challenge is to
[00:18:24.080 --> 00:18:31.040]   make that people that want to use it as a chatbot, so that they do basically one single task at a time,
[00:18:31.040 --> 00:18:36.000]   and we've got some effort in training. We did that course with Andrea, who's going to be on stage in a few
[00:18:36.000 --> 00:18:41.920]   hours, just to tell people if you want to use it that way, it's important that you split your main goal into
[00:18:41.920 --> 00:18:47.680]   sub-tasks, and basically some people say much. But at the same time, I would love to reach a point where
[00:18:47.680 --> 00:18:53.600]   we go through each sub-tasking as they show, we get things done, and maybe after we ask, let's say for
[00:18:53.600 --> 00:18:59.600]   one hour, then it's up to use a user to find out if you accomplish everything that you want to. But I think
[00:18:59.600 --> 00:19:06.080]   there is so much that can be done autonomously, because you'll say 90% of what user wants, and then when we
[00:19:06.080 --> 00:19:14.000]   gather attention to that, because it has to do that to polish the user's penis by messing things up what it wants.
[00:19:14.000 --> 00:19:19.760]   You mentioned, um, you mentioned observability and thinking about that early on. As, what have you
[00:19:19.760 --> 00:19:28.000]   learned as, as RepletAgent has gone crazy viral? That observability is even harder than it expected.
[00:19:28.000 --> 00:19:33.040]   Regardless of the fact that you guys are feeling something awesome in linespain. What are, what are the hardest parts?
[00:19:33.040 --> 00:19:37.280]   Give us some product ideas.
[00:19:37.280 --> 00:19:44.080]   So, first of all, I, this is a bit like back in the days when we were discussing, what is the best
[00:19:44.080 --> 00:19:50.000]   possible architecture for databases? But we do this, you know, one size does not fit all in this case.
[00:19:50.000 --> 00:19:57.040]   And there are the DataDoc style observability that is still the useful, like you want to have aggregates,
[00:19:57.040 --> 00:20:05.280]   you want to have to have your, you know, you're failing to use this tool 50% of the times, and then bring an alert and go ahead and fix it.
[00:20:05.280 --> 00:20:11.280]   At the same time, something like Blacksmith is extremely important, because, unfortunately, we're still at the,
[00:20:11.280 --> 00:20:23.200]   kind of, like, assembly era, you know what I mean, for agents, you will agree with me, because when you are trying to understand why the agent has made, you know, the wrong choice, you know, sideways,
[00:20:23.200 --> 00:20:33.440]   your last resort is to actually read and carry you from the output, the generated output, and trying to figure out why the agent has been made.
[00:20:33.440 --> 00:20:43.680]   It's much more effort compared to what advances in the system, like, aggregates, and whatnot, you know, you have something that is, like, a strategy darker,
[00:20:43.680 --> 00:20:49.680]   but rather, you need to read a hundred thousand tokens and figure out what's wrong.
[00:20:49.680 --> 00:20:59.440]   So, I think we are at the early stages of observing, but what I recommend everyone who starts to weave from being an agent or, like, any agent in workflow,
[00:20:59.440 --> 00:21:09.680]   is to invest in the server BPP company, otherwise, you're going to be lost immediately, and you're probably going to be lost because you're going to think it's impossible to do this off.
[00:21:09.680 --> 00:21:15.680]   And I hope that we are proof, and the other companies are proof that it's not impossible, it's just really hard.
[00:21:15.680 --> 00:21:21.920]   So, who do you see kind of be the best, who debuts these agents, is it everyone on the team?
[00:21:21.920 --> 00:21:27.920]   I mean, you guys are building a technical product, so, so, probably everyone has some product sense and product feel for it,
[00:21:27.920 --> 00:21:35.040]   but is there a particular persona that spends the majority of their time in, like, spilling out logs,
[00:21:35.040 --> 00:21:39.280]   who has the best kind of, like, skilled or natural intuition for that?
[00:21:39.280 --> 00:21:45.280]   Given the size of Rappi today, you are, like, barely 75 people across the entire company.
[00:21:45.280 --> 00:21:48.480]   The way we work is everyone doesn't deal with everything.
[00:21:48.480 --> 00:21:53.040]   So, even if you're an AI engineer and you're a person who's been optimizing the prompts,
[00:21:53.040 --> 00:21:58.240]   But, when there is a page and something is broken, mostly people in tech, you know,
[00:21:58.240 --> 00:22:02.800]   the team are capable of going, you know, all the way from home on the public surface to the network.
[00:22:02.800 --> 00:22:07.760]   Now, what makes it a bit more challenging for Rappi is that we own the entire staff.
[00:22:07.760 --> 00:22:12.080]   So, we have the execution plane, where we orchestrate all the containers,
[00:22:12.080 --> 00:22:17.000]   we have e-control plane, which is basically like a combination of how the agent conveys
[00:22:17.000 --> 00:22:20.920]   We have a basic library style, illustration, and all the way from home.
[00:22:20.920 --> 00:22:27.000]   So, it's important, unfortunately, as of now, to be able to read the traces all the way down,
[00:22:27.000 --> 00:22:31.240]   because problems can happen, and, you know, even one of the tools we work,
[00:22:31.240 --> 00:22:37.160]   maybe the interface is correct, but it could be that .
[00:22:37.160 --> 00:22:42.680]   We've talked a bit about the journey from V1 to V2, and maybe to close us off,
[00:22:42.680 --> 00:22:46.920]   what's coming in V3? What are some things that are on the roadmap that we can expect?
[00:22:46.920 --> 00:22:51.800]   Yeah. So, I included one of them, you know, I expect us to bring in real use,
[00:22:51.800 --> 00:22:55.000]   or in general, I can bring in research and test applications.
[00:22:55.000 --> 00:22:59.240]   At the same time, I'm also a very good shot of reading in software tests.
[00:22:59.240 --> 00:23:06.120]   The beauty of getting a coding agent is that all these are more observable,
[00:23:06.120 --> 00:23:11.640]   and there are ways that you can apply the code to test if it's correct or not.
[00:23:11.640 --> 00:23:16.840]   And, last but not least, I would want to work even for the test side of computing.
[00:23:16.840 --> 00:23:21.720]   We are, as of today, we already used a fair amount of tokens, as you know.
[00:23:21.720 --> 00:23:26.920]   But, definitely, we want to explore both sampling and parallelism.
[00:23:26.920 --> 00:23:29.720]   So, we see this especially at the beginning.
[00:23:29.720 --> 00:23:33.720]   A lot of our users have opened several projects in parallel, and to the initial view,
[00:23:33.720 --> 00:23:37.720]   so that they can see which one matches their UI base for better.
[00:23:37.720 --> 00:23:41.800]   I imagine taking this concept and carrying along the dark trajectory,
[00:23:41.800 --> 00:23:45.800]   where you sample and then you run to be like the best solution for the problem.
[00:23:45.800 --> 00:23:50.600]   So, this would be like a power of expanders, but it definitely helps to get better performance.
[00:23:50.600 --> 00:23:54.600]   Awesome. Well, I'm looking forward to all of those.
[00:23:54.600 --> 00:23:57.480]   Thank you, Nikayla, for joining me.
[00:23:57.480 --> 00:23:59.480]   Let's give Nikayla a big round.
[00:23:59.480 --> 00:23:59.480]   Thank you.
[00:23:59.480 --> 00:24:13.480]   And, with that, I'd like to introduce Lance Martin to the stage, or Lance from Langchain, as you might know.
[00:24:13.480 --> 00:24:14.460]   We'll meet your.

