
[00:00:00.000 --> 00:00:03.080]   (projector whirring)
[00:02:19.100 --> 00:02:22.020]   honestly, if you're breaking them down into those levels,
[00:02:22.020 --> 00:02:24.240]   even if you did it monthly, if you did one lump sum,
[00:02:24.240 --> 00:02:26.620]   your market impact is gonna be so minuscule
[00:02:26.620 --> 00:02:29.140]   of the trillions of dollars that are moving all the time
[00:02:29.140 --> 00:02:30.500]   that it's probably not going to matter.
[00:02:30.500 --> 00:02:33.360]   So I think they probably are overthinking things.
[00:02:33.360 --> 00:02:35.460]   I just don't see how you can get taken advantage of any more
[00:02:35.460 --> 00:02:39.860]   at $125 a week versus 25 a day or $540 a month.
[00:02:39.860 --> 00:02:41.780]   I think at these levels,
[00:02:41.780 --> 00:02:44.320]   you're not gonna be any better or worse off.
[00:02:44.320 --> 00:02:46.960]   Ken Griffith is not going to take any more pennies from you.
[00:02:46.960 --> 00:02:48.820]   It kind of just scales, I think.
[00:02:48.820 --> 00:02:51.660]   So we did talk about mental accounting though last week.
[00:02:51.660 --> 00:02:54.180]   And I do think the idea of someone thinking
[00:02:54.180 --> 00:02:56.940]   through their savings as $25 a day
[00:02:56.940 --> 00:02:58.820]   is easier to stomach psychologically
[00:02:58.820 --> 00:03:01.420]   than $540 a month for certain people.
[00:03:01.420 --> 00:03:02.620]   So even though it's the same thing in the end,
[00:03:02.620 --> 00:03:05.280]   I actually like the idea of doing it this way.
[00:03:05.280 --> 00:03:08.020]   So I think investing this way could provide
[00:03:08.020 --> 00:03:10.260]   some sort of double psychological boost
[00:03:10.260 --> 00:03:11.740]   in terms of dollar cost averaging
[00:03:11.740 --> 00:03:15.340]   and spreading it out over tons of different markets.
[00:03:15.340 --> 00:03:16.820]   And I've shared this stat before.
[00:03:16.820 --> 00:03:20.500]   I think since 1928, the win-loss ratio
[00:03:20.500 --> 00:03:22.020]   for the stock market on a daily basis
[00:03:22.020 --> 00:03:25.820]   is 55% up days, 45% down days.
[00:03:25.820 --> 00:03:28.580]   So $25 a day, you're actually giving yourself
[00:03:28.580 --> 00:03:29.860]   that opportunity to buy
[00:03:29.860 --> 00:03:32.300]   when the market is down a little bit.
[00:03:32.300 --> 00:03:34.940]   But as an individual investor, the trading cost thing,
[00:03:34.940 --> 00:03:36.980]   it's not like it's gonna scale any better.
[00:03:36.980 --> 00:03:38.700]   And it's not like you're gonna get
[00:03:38.700 --> 00:03:39.980]   the scale of an institutional investor
[00:03:39.980 --> 00:03:43.100]   by moving millions or hundreds of millions of dollars.
[00:03:43.100 --> 00:03:44.080]   Either way, so I think, yeah,
[00:03:44.080 --> 00:03:45.300]   you're probably overthinking it.
[00:03:45.300 --> 00:03:47.180]   - And so for payment for order flow,
[00:03:47.180 --> 00:03:48.540]   I mean, we are talking about like pennies
[00:03:48.540 --> 00:03:49.740]   and fractions of pennies, right?
[00:03:49.740 --> 00:03:51.660]   We're just to be queer for people.
[00:03:51.660 --> 00:03:53.980]   - And yeah, we're talking about a drop in the bucket though,
[00:03:53.980 --> 00:03:57.220]   a drop in the ocean here in terms of that $25 a day.
[00:03:57.220 --> 00:04:00.140]   It's not gonna be any better,
[00:04:00.140 --> 00:04:03.940]   even if you put that $6,500 max IRA contribution
[00:04:03.940 --> 00:04:04.780]   to work all at once.
[00:04:04.780 --> 00:04:06.980]   - I've never seen a dude dollar cost average daily.
[00:04:06.980 --> 00:04:08.640]   It's the first time I've thought about that.
[00:04:08.640 --> 00:04:09.480]   I think it's kind of fun.
[00:04:09.480 --> 00:04:10.320]   It's like paying a bill, right?
[00:04:10.320 --> 00:04:11.940]   Buy your coffee, fund your IRA.
[00:04:11.940 --> 00:04:13.160]   I dig it.
[00:04:13.160 --> 00:04:14.700]   - Yeah, let us know in the chat.
[00:04:14.700 --> 00:04:15.820]   I'm not looking at the chat right now,
[00:04:15.820 --> 00:04:16.980]   but let us know, Nicole's in there.
[00:04:16.980 --> 00:04:20.020]   So let us know if you dollar cost average on a daily basis.
[00:04:20.020 --> 00:04:21.940]   - Let's do another one.
[00:04:21.940 --> 00:04:25.220]   - Yeah, up next we have bonds versus money markets.
[00:04:25.220 --> 00:04:27.620]   I manage my investment portfolio largely
[00:04:27.620 --> 00:04:30.300]   with a mix of very boring funds,
[00:04:30.300 --> 00:04:32.600]   U.S. index fund, international index fund,
[00:04:32.600 --> 00:04:34.180]   and a total bond fund.
[00:04:34.180 --> 00:04:37.100]   Looking at the yield on my bond index fund,
[00:04:37.100 --> 00:04:39.340]   it looks like I may be able to get a better yield
[00:04:39.340 --> 00:04:40.540]   in a money market fund.
[00:04:40.540 --> 00:04:42.820]   Is there any reason to keep my bond allocation
[00:04:42.820 --> 00:04:45.260]   where it is rather than moving into a money market fund?
[00:04:45.260 --> 00:04:47.100]   - First of all, kudos on a three fund portfolio.
[00:04:47.100 --> 00:04:47.920]   I love this.
[00:04:47.920 --> 00:04:49.580]   The total stock market index funds,
[00:04:49.580 --> 00:04:51.280]   the U.S., international, and bonds.
[00:04:51.280 --> 00:04:53.780]   Listen, the yield on the 10 year treasury
[00:04:53.780 --> 00:04:55.720]   is like 3.6% right now.
[00:04:55.720 --> 00:04:59.300]   So you can get four to 5% in most money market funds.
[00:04:59.300 --> 00:05:01.140]   Three to six month treasuries right now
[00:05:01.140 --> 00:05:02.900]   are yielding around 5%.
[00:05:02.900 --> 00:05:04.980]   And if the Fed raises rates at the next meeting,
[00:05:04.980 --> 00:05:07.340]   which most people don't think they will,
[00:05:07.340 --> 00:05:08.700]   but some people think it's a possibility,
[00:05:08.700 --> 00:05:10.740]   these rates should actually go up a little more from here.
[00:05:10.740 --> 00:05:12.280]   So I said on this week's Animal Spirits,
[00:05:12.280 --> 00:05:14.300]   I think owning ultra short term bonds
[00:05:14.300 --> 00:05:15.620]   is a no brainer right now.
[00:05:15.620 --> 00:05:18.420]   But that's kind of how I look at fixed income
[00:05:18.420 --> 00:05:19.780]   as an asset class.
[00:05:19.780 --> 00:05:22.380]   I prefer to accept my volatility in stocks.
[00:05:22.380 --> 00:05:25.020]   I know the stock market is gonna fluctuate in the short term
[00:05:25.020 --> 00:05:27.580]   and it could have these bone crushing losses.
[00:05:27.580 --> 00:05:29.860]   And I look to fixed income and cash
[00:05:29.860 --> 00:05:31.600]   as a portfolio stabilizer.
[00:05:31.600 --> 00:05:35.380]   So I think about portfolios in like a barbell approach.
[00:05:35.380 --> 00:05:38.700]   So on one side of the barbell is higher volatility,
[00:05:38.700 --> 00:05:40.540]   higher expected returns.
[00:05:40.540 --> 00:05:44.160]   And on the other side of the barbell is less volatility,
[00:05:44.160 --> 00:05:47.140]   maybe some income, but we're talking more stability
[00:05:47.140 --> 00:05:52.140]   for either rebalancing into the downturn in the stock market
[00:05:52.140 --> 00:05:55.860]   or just keeping that portfolio stabilized
[00:05:55.860 --> 00:05:57.880]   so you have some spending cash on part of it,
[00:05:57.880 --> 00:06:00.080]   that sort of bucketing approach we've talked about.
[00:06:00.080 --> 00:06:01.700]   So in a recent piece,
[00:06:01.700 --> 00:06:03.940]   my favorite financial writer, William Bernstein,
[00:06:03.940 --> 00:06:07.260]   he was talking about bonds and cash versus stock.
[00:06:07.260 --> 00:06:08.540]   And he said, "Investing is an operation
[00:06:08.540 --> 00:06:11.340]   "that transfers wealth to those with a strategy
[00:06:11.340 --> 00:06:14.220]   "and can execute it from those who do not."
[00:06:14.220 --> 00:06:15.040]   Sorry, let me show that again.
[00:06:15.040 --> 00:06:16.860]   "Investing is an operation that transfers wealth
[00:06:16.860 --> 00:06:19.040]   "to those with a strategy and can execute it
[00:06:19.040 --> 00:06:20.980]   "from those who do not or cannot."
[00:06:20.980 --> 00:06:23.960]   And the idea is having some sort of short duration assets,
[00:06:23.960 --> 00:06:28.220]   whether it's cash or cash-like short-term bonds, CDs,
[00:06:28.220 --> 00:06:31.380]   money markets, online savings, whatever it is,
[00:06:31.380 --> 00:06:32.900]   that can help you stick with the other stuff.
[00:06:32.900 --> 00:06:34.700]   So even in the last 10 or 15 years
[00:06:34.700 --> 00:06:36.860]   when cash or cash-like investments
[00:06:36.860 --> 00:06:39.020]   didn't provide much in the way of yield,
[00:06:39.020 --> 00:06:41.380]   the asset class still played a vital role
[00:06:41.380 --> 00:06:42.420]   in portfolio management
[00:06:42.420 --> 00:06:44.620]   if it allowed you to stay invested in stocks
[00:06:44.620 --> 00:06:46.480]   and avoid worrying about your short-term spending needs
[00:06:46.480 --> 00:06:47.320]   being met.
[00:06:47.320 --> 00:06:51.180]   So the good J.P. Morgan line was always,
[00:06:51.180 --> 00:06:52.300]   "A bear marker is when stocks
[00:06:52.300 --> 00:06:54.140]   "are returned to the rightful owners."
[00:06:54.140 --> 00:06:57.620]   And I think most people might,
[00:06:57.620 --> 00:06:59.060]   what that means is the people who have money
[00:06:59.060 --> 00:07:00.100]   to buy stocks are on sale.
[00:07:00.100 --> 00:07:03.020]   And unless you have savings coming in from income,
[00:07:03.020 --> 00:07:04.700]   the people who have money are the people holding cash
[00:07:04.700 --> 00:07:06.200]   and can sort of balance into the pain.
[00:07:06.200 --> 00:07:07.300]   So that's just my preference
[00:07:07.300 --> 00:07:09.500]   when it comes to portfolio management diversification,
[00:07:09.500 --> 00:07:10.480]   not for everyone.
[00:07:10.480 --> 00:07:12.620]   It does seem like a no-brainer
[00:07:12.620 --> 00:07:14.540]   to sit in these short-term vehicles right now,
[00:07:14.540 --> 00:07:16.260]   but there are some risks to consider
[00:07:16.260 --> 00:07:18.460]   before you move your entire bond exposure over.
[00:07:18.460 --> 00:07:20.820]   Like if you were sitting in a total bond market fund,
[00:07:20.820 --> 00:07:22.140]   last year you probably lost
[00:07:22.140 --> 00:07:24.420]   somewhere in the range of 10 to 15%
[00:07:24.420 --> 00:07:27.380]   in like an ag or a total bond index fund.
[00:07:27.380 --> 00:07:29.540]   Interest rate risk works in both directions.
[00:07:29.540 --> 00:07:30.740]   So last year when rates rose,
[00:07:30.740 --> 00:07:31.900]   long-duration bonds got hammered.
[00:07:31.900 --> 00:07:33.860]   So John, do a chart on here of last year.
[00:07:33.860 --> 00:07:35.700]   This is bonds at different duration rates.
[00:07:35.700 --> 00:07:37.420]   So you can see that zero-coupon bonds,
[00:07:37.420 --> 00:07:39.140]   which is 25-plus years,
[00:07:39.140 --> 00:07:41.100]   they were down 40-some percent last year.
[00:07:41.100 --> 00:07:42.820]   That's like all sorts of duration.
[00:07:42.820 --> 00:07:44.940]   That's all duration, basically.
[00:07:44.940 --> 00:07:47.420]   20 to 30-year, kind of going on the list,
[00:07:47.420 --> 00:07:48.860]   then one to three-year didn't have many losses.
[00:07:48.860 --> 00:07:51.780]   So the further out duration, the more you lost.
[00:07:51.780 --> 00:07:54.080]   Now, throw this year's chart up, John.
[00:07:54.080 --> 00:07:56.700]   Not huge gains in bonds,
[00:07:56.700 --> 00:07:57.820]   but it kind of works the opposite direction
[00:07:57.820 --> 00:07:58.940]   'cause rates have fallen this year.
[00:07:58.940 --> 00:08:01.460]   So anything with duration did much better.
[00:08:01.460 --> 00:08:04.620]   So if we go into recession and the Fed cuts rates
[00:08:04.620 --> 00:08:06.220]   or yields in the bond market fall
[00:08:06.220 --> 00:08:09.300]   'cause of inflation or whatever, the economy's slowing,
[00:08:09.300 --> 00:08:10.220]   which you would expect to happen,
[00:08:10.220 --> 00:08:11.540]   bonds with more duration will provide
[00:08:11.540 --> 00:08:12.380]   more bang for your buck.
[00:08:12.380 --> 00:08:14.380]   So making up some of those losses,
[00:08:14.380 --> 00:08:16.340]   if you kind of get out now,
[00:08:16.340 --> 00:08:18.920]   is much easier if you stay in some duration.
[00:08:18.920 --> 00:08:20.700]   Some investors like this feature of bonds.
[00:08:20.700 --> 00:08:23.740]   When the stock market is down, usually,
[00:08:23.740 --> 00:08:26.380]   not last year, but usually, or when there's a recession,
[00:08:26.380 --> 00:08:29.180]   we see a flight to safety, people go into bonds,
[00:08:29.180 --> 00:08:31.900]   and bonds provide some sort of price boost
[00:08:31.900 --> 00:08:32.980]   and not just income.
[00:08:32.980 --> 00:08:35.380]   Reinvestment risk is also a potential problem here.
[00:08:35.380 --> 00:08:36.860]   Let's say the Fed overplays its hand,
[00:08:36.860 --> 00:08:38.580]   do get even like a run-of-the-mill recession
[00:08:38.580 --> 00:08:40.220]   and inflation falls.
[00:08:40.220 --> 00:08:42.220]   I don't know, rates could go from 5% currently
[00:08:42.220 --> 00:08:43.740]   to 3% or 2%, maybe,
[00:08:43.740 --> 00:08:46.060]   depending on the severity of the downturn.
[00:08:46.060 --> 00:08:48.500]   In short-term bonds or cash or money markets or whatever,
[00:08:48.500 --> 00:08:51.100]   you don't get price appreciation from rates falling
[00:08:51.100 --> 00:08:52.220]   like you would in long-duration bonds.
[00:08:52.220 --> 00:08:55.780]   Plus, now your 5% T-bill is now yielding 2%.
[00:08:55.780 --> 00:08:57.020]   So you kind of have to think, what do I do?
[00:08:57.020 --> 00:08:58.540]   Do I stick it out in this more stable asset
[00:08:58.540 --> 00:09:00.260]   or do I look for something that can potentially,
[00:09:00.260 --> 00:09:01.540]   in that scenario, get more yield?
[00:09:01.540 --> 00:09:03.980]   So I think you will have a heads-up from the Fed
[00:09:03.980 --> 00:09:06.380]   when time comes and rates move,
[00:09:06.380 --> 00:09:08.980]   but the bond market's not gonna wait around for you.
[00:09:08.980 --> 00:09:11.660]   So I think you just have to figure out
[00:09:11.660 --> 00:09:13.620]   why you're investing in bonds in the first place.
[00:09:13.620 --> 00:09:15.540]   Is it more stability, like me,
[00:09:15.540 --> 00:09:17.900]   or are you trying to get ahead of the interest rate market
[00:09:17.900 --> 00:09:19.380]   and be some sort of hedge fund manager?
[00:09:19.380 --> 00:09:21.020]   I guess that's kind of the way I look at it.
[00:09:21.020 --> 00:09:22.060]   - Have you taken a look at how much
[00:09:22.060 --> 00:09:24.940]   does the price appreciation help in fixed income
[00:09:24.940 --> 00:09:26.500]   when markets are in turmoil?
[00:09:26.500 --> 00:09:28.980]   - Over the long, well, so we have looked at that,
[00:09:28.980 --> 00:09:31.260]   and during, I think, the relative outperformance
[00:09:31.260 --> 00:09:33.060]   and down year in the stock market,
[00:09:33.060 --> 00:09:36.300]   it's like, again, stocks are down and bonds are up a little.
[00:09:36.300 --> 00:09:37.980]   It's like almost a 20% outperformance
[00:09:37.980 --> 00:09:39.740]   on a relative basis for the 10-year Treasury.
[00:09:39.740 --> 00:09:40.620]   So you do get a bump.
[00:09:40.620 --> 00:09:43.700]   Like in 2008, Treasuries were up double digits.
[00:09:43.700 --> 00:09:45.780]   So that is something to consider.
[00:09:45.780 --> 00:09:47.220]   Like, what is the point of fixed income
[00:09:47.220 --> 00:09:48.260]   in the first place for you?
[00:09:48.260 --> 00:09:49.580]   - Yeah, and that would be my argument
[00:09:49.580 --> 00:09:51.380]   is that you will get that price appreciation
[00:09:51.380 --> 00:09:52.580]   from a money market fund, right?
[00:09:52.580 --> 00:09:53.860]   You get yield and yield alone.
[00:09:53.860 --> 00:09:55.940]   - Yes, you have the stability piece and the income piece,
[00:09:55.940 --> 00:09:57.660]   but that's it, right?
[00:09:57.660 --> 00:10:01.940]   - I do think bonds have been a really tough asset class
[00:10:01.940 --> 00:10:02.900]   for the past 10 years or so,
[00:10:02.900 --> 00:10:04.340]   and I think they're pretty straightforward to me
[00:10:04.340 --> 00:10:07.460]   in terms of this, but that's the wrench in the equation.
[00:10:07.460 --> 00:10:09.900]   - Pretty exciting right now, the last year or so, yeah.
[00:10:09.900 --> 00:10:11.380]   - And that's the thing.
[00:10:11.380 --> 00:10:12.900]   Interest rates have fluctuated so much.
[00:10:12.900 --> 00:10:14.300]   Maybe some people are saying,
[00:10:14.300 --> 00:10:15.580]   "Just get me out of this game.
[00:10:15.580 --> 00:10:16.420]   "I don't care.
[00:10:16.420 --> 00:10:17.940]   "I'm gonna lock in what I can now,
[00:10:17.940 --> 00:10:18.980]   "and if rates go down in the future,
[00:10:18.980 --> 00:10:20.100]   "we'll figure it out then."
[00:10:20.100 --> 00:10:24.140]   But I do think rates being at 5% in short-term T-bills
[00:10:24.140 --> 00:10:25.940]   is something that investors haven't had the chance
[00:10:25.940 --> 00:10:28.580]   for 15, 20 years at this point.
[00:10:28.580 --> 00:10:30.900]   I'd say enjoy 'em while they last.
[00:10:30.900 --> 00:10:32.660]   - In a word, it's tasty.
[00:10:32.660 --> 00:10:33.500]   - I gotta be honest.
[00:10:33.500 --> 00:10:34.860]   I still don't understand what a money market fund
[00:10:34.860 --> 00:10:36.500]   really is at the end of the day.
[00:10:36.500 --> 00:10:38.060]   I really couldn't explain it.
[00:10:38.060 --> 00:10:39.460]   I have no idea.
[00:10:39.460 --> 00:10:40.980]   It's like a fancy bank account.
[00:10:40.980 --> 00:10:43.180]   - It's a fancy savings account, it really is,
[00:10:43.180 --> 00:10:44.740]   but you can write checks on it.
[00:10:44.740 --> 00:10:46.820]   It really is a fancy savings account.
[00:10:46.820 --> 00:10:48.580]   This is the Winnie the Pooh meme.
[00:10:48.580 --> 00:10:50.260]   Savings account, money market.
[00:10:50.260 --> 00:10:52.660]   It's not really a savings account, but it kind of is.
[00:10:52.660 --> 00:10:54.500]   - Yeah, but there's a distinction between that
[00:10:54.500 --> 00:10:55.740]   and a money market mutual fund.
[00:10:55.740 --> 00:10:57.860]   - We'd have to go through the financialization history
[00:10:57.860 --> 00:10:59.220]   to explain it all.
[00:10:59.220 --> 00:11:00.060]   - Oh, we have time.
[00:11:00.060 --> 00:11:02.100]   - I don't know that from Shinola.
[00:11:02.100 --> 00:11:03.580]   14 minutes for this episode.
[00:11:03.580 --> 00:11:05.860]   - Okay, up next we have,
[00:11:05.860 --> 00:11:08.540]   and that question was from Michael, by the way.
[00:11:08.540 --> 00:11:10.180]   Up next we have a long one, but a good one.
[00:11:10.180 --> 00:11:12.860]   I got laid off from a tech startup in New York City.
[00:11:12.860 --> 00:11:13.780]   Shocker.
[00:11:13.780 --> 00:11:16.420]   I'm 30, single, and have been wanting to do something
[00:11:16.420 --> 00:11:17.540]   on my own for years.
[00:11:17.540 --> 00:11:20.620]   I have experience, relationships, and a decent idea
[00:11:20.620 --> 00:11:22.660]   to bring a niche product to market.
[00:11:22.660 --> 00:11:25.720]   I need about $100,000 to live and fund the business
[00:11:25.720 --> 00:11:28.380]   for year one, assuming no positive cashflow.
[00:11:28.380 --> 00:11:30.140]   How would you approach setting up funding?
[00:11:30.140 --> 00:11:34.340]   I have $25,000 cash, negligible debt, good credit,
[00:11:34.340 --> 00:11:39.000]   about $50,000 in a brokerage, about $75,000 in a 401(k).
[00:11:39.000 --> 00:11:41.300]   I'll probably never have fewer responsibilities in my life,
[00:11:41.300 --> 00:11:43.580]   and it feels like the right time to make a bet on myself.
[00:11:43.580 --> 00:11:44.940]   I've meant to, I totally forgot
[00:11:44.940 --> 00:11:47.400]   in all the hectic prep for this.
[00:11:47.400 --> 00:11:49.300]   I was gonna read this like a shark pitch,
[00:11:49.300 --> 00:11:52.500]   like say, "Hey sharks, what are the pros and cons
[00:11:52.500 --> 00:11:55.960]   "of liquidating my brokerage account, a 401(k) loan,
[00:11:55.960 --> 00:11:58.720]   "taking an SBA or bank loan,
[00:11:58.720 --> 00:12:01.400]   "raising from angels, friends, and family?"
[00:12:01.400 --> 00:12:03.080]   - I like the idea here, like good for you
[00:12:03.080 --> 00:12:04.880]   for betting on yourself.
[00:12:04.880 --> 00:12:06.720]   You definitely wanna do this in your 20s or 30s
[00:12:06.720 --> 00:12:09.320]   before you have more responsibilities as a single person.
[00:12:09.320 --> 00:12:11.040]   You don't have kids running around
[00:12:11.040 --> 00:12:12.920]   or a mortgage to worry about.
[00:12:12.920 --> 00:12:16.140]   I think that is, there's, risk means different people
[00:12:16.140 --> 00:12:17.800]   at different points of their life, and I think this,
[00:12:17.800 --> 00:12:20.400]   if you're gonna do it and you make this leap, do it.
[00:12:20.400 --> 00:12:23.760]   - Obviously the caveat here is most startups fail,
[00:12:23.760 --> 00:12:28.760]   you know, which is tough, but I do think it's,
[00:12:28.760 --> 00:12:31.000]   this is the time to do this.
[00:12:31.000 --> 00:12:32.040]   So, Bill, you've actually been a part
[00:12:32.040 --> 00:12:33.740]   of small businesses over the years.
[00:12:33.740 --> 00:12:36.200]   Not necessarily a startup per se,
[00:12:36.200 --> 00:12:37.400]   but Ritholtz was more or less a startup
[00:12:37.400 --> 00:12:38.800]   when you and I joined seven or eight years ago.
[00:12:38.800 --> 00:12:40.520]   - I think so, yeah. - There was a handful of us.
[00:12:40.520 --> 00:12:42.560]   - Yeah, Mr. Josh Brown, Mr. Barry Ritholtz.
[00:12:42.560 --> 00:12:45.080]   - Well, let's ask you this before we get into like the,
[00:12:45.080 --> 00:12:46.400]   weighing the pros and cons of each.
[00:12:46.400 --> 00:12:49.360]   Are there any tax implications here of starting a business
[00:12:49.360 --> 00:12:50.580]   and different kind of funding approaches?
[00:12:50.580 --> 00:12:51.880]   Does that matter at all?
[00:12:51.880 --> 00:12:53.880]   - Yeah, there's a lot of tax implications.
[00:12:53.880 --> 00:12:56.120]   I was gonna suggest, Ben, that we end up ranking these,
[00:12:56.120 --> 00:12:58.200]   right, I mean, at the end of this, this is priorities.
[00:12:58.200 --> 00:13:00.740]   And before we get there, I wanna tell you a quick story.
[00:13:00.740 --> 00:13:04.080]   So the year's 2007, the great financial crisis
[00:13:04.080 --> 00:13:05.980]   is a year or two away, and I picked the perfect time
[00:13:05.980 --> 00:13:08.040]   to get out of the Army, leave a stable job,
[00:13:08.040 --> 00:13:10.440]   not unlike my friend Chris here, and get out.
[00:13:10.440 --> 00:13:12.040]   I linked up with a tax practice partner,
[00:13:12.040 --> 00:13:13.920]   my partner Greg, who turned 78 this year,
[00:13:13.920 --> 00:13:16.160]   and by the way, he's still cranking out tax returns
[00:13:16.160 --> 00:13:18.560]   on an annual basis, that man is my hero
[00:13:18.560 --> 00:13:19.760]   and very much a mentor.
[00:13:19.760 --> 00:13:22.200]   So I go to the bank, 'cause I wanna focus on CFP,
[00:13:22.200 --> 00:13:24.040]   I wanna become a financial planner,
[00:13:24.040 --> 00:13:25.280]   work with the tax practice.
[00:13:25.280 --> 00:13:26.240]   So I go to the bank and I say,
[00:13:26.240 --> 00:13:28.360]   what kind of deal can we work here?
[00:13:28.360 --> 00:13:30.000]   You know, I slip the note under the table,
[00:13:30.000 --> 00:13:32.720]   and then hard pass, hard pass from the bank.
[00:13:32.720 --> 00:13:34.400]   I go talk to the SBA.
[00:13:34.400 --> 00:13:38.120]   Personal guarantee, they could give me $2,000 at 12%.
[00:13:38.120 --> 00:13:40.120]   Not very helpful if I wanna hire somebody.
[00:13:40.120 --> 00:13:42.200]   - At that point, you might as well get a credit card.
[00:13:42.200 --> 00:13:43.200]   - Right, basically.
[00:13:43.200 --> 00:13:45.720]   Went to the Veterans Affairs, funding had dried up,
[00:13:45.720 --> 00:13:48.760]   again, this is 2007, not an asset-backed loan.
[00:13:48.760 --> 00:13:51.200]   I go to the county, I'm not adding manufacturing jobs.
[00:13:51.200 --> 00:13:53.320]   A finance bro, they're probably not just gonna
[00:13:53.320 --> 00:13:54.920]   loan you money at the end of this.
[00:13:54.920 --> 00:13:57.800]   So ultimately, maybe things have changed,
[00:13:57.800 --> 00:14:00.520]   but I think, Chris, every note on your list
[00:14:00.520 --> 00:14:03.320]   involves you basically betting on yourself
[00:14:03.320 --> 00:14:05.840]   with your own financial resources, except for one.
[00:14:05.840 --> 00:14:07.560]   And that's the one that I would focus on,
[00:14:07.560 --> 00:14:09.120]   which is the friends and family element.
[00:14:09.120 --> 00:14:11.600]   That, to me, is the most interesting thing to go,
[00:14:11.600 --> 00:14:13.400]   because ultimately, crowdsourcing would allow
[00:14:13.400 --> 00:14:15.880]   other people to share in the risk that he's taking on
[00:14:15.880 --> 00:14:17.120]   with his career right now.
[00:14:17.120 --> 00:14:19.600]   And that way, you're able to financialize it a little bit,
[00:14:19.600 --> 00:14:22.400]   and for tax implications, if somebody's gonna put risk in,
[00:14:22.400 --> 00:14:24.180]   they would also share with them a little bit of the upside
[00:14:24.180 --> 00:14:25.020]   in how you do that.
