
[00:00:00.000 --> 00:00:21.120]   Hi everyone. Thanks for that welcome. As you just heard, my name is James Lowe. I'm head of AI
[00:02:57.040 --> 00:03:07.040]   Then AI comes along and makes the whole process a bit more complicated and a bit messier. It intersects with each of these areas in slightly different ways.
[00:03:07.040 --> 00:03:17.040]   For example, for the business, is your business happy with the fact that for AI products, a higher amount of experimentation is needed and there's a higher chance of failure?
[00:03:17.040 --> 00:03:27.040]   For technology, how do you evaluate and monitor the performance of your AI? And for users, how should you handle the probabilistic nature of AI?
[00:03:27.040 --> 00:03:33.040]   In particular, will it work for your users? What guardrails do you need? And how do you build human in the loop?
[00:03:33.040 --> 00:03:39.040]   And for AI products sitting right in the middle of all of this, we have a big question, is what you're doing even possible?
[00:03:39.040 --> 00:03:46.040]   An AI product manager has to resolve all of these different areas to find the right path forward.
[00:03:46.040 --> 00:03:55.040]   A lot of the existing product manager skillset is still very important, but now there is an increased importance in things like data and AI proficiency.
[00:03:55.040 --> 00:04:04.040]   AI product managers need to understand the importance of data, the necessity of evaluation, and how to deal with the probabilistic nature of AI.
[00:04:04.040 --> 00:04:17.040]   What that essentially means for you is if you're a product person in this room, if you're a product manager, it's the importance of upskilling in AI.
[00:04:17.040 --> 00:04:26.040]   But what it also means is if you're an AI engineer or someone more technical, that actually that is a good background also to go into the product manager space as well.
[00:04:26.040 --> 00:04:35.040]   And just to be clear, when I talk about the product manager space, I actually think of this as more of a mindset than like a specific role you need on your team.
[00:04:35.040 --> 00:04:42.040]   What's really important is that you have someone on your team that is grappling with these four areas in order to find the path forward.
[00:04:42.040 --> 00:04:51.040]   As Brett Taylor said on a recent episode of the Latent Space podcast, there is a lot of power in combining product and engineering into as few people as possible.
[00:04:51.040 --> 00:04:57.040]   Few great things have been created by committee. And that's exactly the point that we're stressing here.
[00:04:57.040 --> 00:05:03.040]   So I hope you feel excited by the prospect of adopting that AI product manager mindset.
[00:05:03.040 --> 00:05:08.040]   And the question now is what lessons can you learn from the incubator for AI?
[00:05:08.040 --> 00:05:15.040]   The first lesson is going to come from our project called Consult, and it's going to be all about evaluating AI early.
[00:05:15.040 --> 00:05:21.040]   Every time the government wants to undertake a really big policy change, they need to and want to get input from the public.
[00:05:21.040 --> 00:05:24.040]   And in fact, they have a legal duty to do so.
[00:05:24.040 --> 00:05:30.040]   They do this by consultations, which are essentially large surveys with free text responses.
[00:05:30.040 --> 00:05:36.040]   They run hundreds of these a year, and some of these attract hundreds of thousands of responses.
[00:05:36.040 --> 00:05:42.040]   Analyzing these responses can take months and cost millions of pounds.
[00:05:42.040 --> 00:05:45.040]   This is a prototypical use case for AI.
[00:05:45.040 --> 00:05:50.040]   But when we started this project 18 months ago, we weren't sure exactly what path to take.
[00:05:51.040 --> 00:05:58.040]   You see, there was already precedent for using natural language programming techniques such as Burt Topic to analyze consultations.
[00:05:58.040 --> 00:06:02.040]   And we were under a large amount of pressure to start delivering.
[00:06:02.040 --> 00:06:06.040]   So we made the mistake of going straight into product building mode.
[00:06:06.040 --> 00:06:11.040]   What we did is we built a product around those existing techniques.
[00:06:12.040 --> 00:06:18.040]   But what we found is once we started testing with real users, we found that the results were inaccurate.
[00:06:18.040 --> 00:06:20.040]   They were inconsistent.
[00:06:20.040 --> 00:06:25.040]   And they not only didn't meet user needs, but wouldn't have passed the very high legal threshold that we needed to pass.
[00:06:25.040 --> 00:06:30.040]   So we went back to the drawing board and instead prioritized the AI capability first.
[00:06:31.040 --> 00:06:37.040]   We got data from real users and generated synthetic data to create evals which we optimized against.
[00:06:37.040 --> 00:06:41.040]   And then we started testing the outputs as well with real users.
[00:06:41.040 --> 00:06:48.040]   And we developed that into a package which we call theme finder, which has now been open source that other people can benefit from it.
[00:06:49.040 --> 00:06:58.040]   What we found was that the output of this package was not only comparable to what humans were doing, but it was a thousand times faster and 400 times cheaper.
[00:06:58.040 --> 00:07:09.040]   Most importantly of all, by prioritizing the AI capability, what we found was the key points in the package in the pipeline where human input and human in the loop was really valuable.
[00:07:10.040 --> 00:07:16.040]   That meant the product that the product that we then went on to build was actually different from the one we originally envisioned.
[00:07:16.040 --> 00:07:27.040]   That shows that starting with the AI capability and getting that right not only means you don't waste time building something that's not possible, but also don't waste time building the wrong product.
[00:07:27.040 --> 00:07:39.040]   We've now taken this and we've been evaluating it on live consultations and it leads us very nicely to our first lesson.
[00:07:39.040 --> 00:07:44.040]   which is resolve AI uncertainties early on with evaluations and tests with real users.
[00:07:44.040 --> 00:07:55.040]   With those live consultations, we've been creating evaluations which we've actually published and our first one of those even made its way onto the BBC front page.
[00:07:55.040 --> 00:08:02.040]   I'm going to take us on to another product now for our second lesson.
[00:08:03.040 --> 00:08:09.040]   That product is our AI transcription tool called Minute and the lesson is all about going wide with features.
[00:08:09.040 --> 00:08:17.040]   There are many use cases in the government where secure AI transcription and summarization could be transformational.
[00:08:17.040 --> 00:08:29.040]   There are many places where frontline staff, for example, are spending time away from the job that they want to do to do administration and filling in paperwork and forms, for example.
[00:08:30.040 --> 00:08:39.040]   There's also very good existing off-the-shelf solutions such as the AWS and Azure transcription services.
[00:08:39.040 --> 00:08:49.040]   So for this product, the question was more about how do you create a streamlined frictionless experience for users that gives them this capability.
[00:08:55.040 --> 00:09:08.040]   When we were exploring the possibility of this space, what we found was we thought there was lots of ways that AI could help by developing AI features that could help the user get access to this experience.
[00:09:08.040 --> 00:09:12.040]   But there was a lot of different ways you could do this and there's a lot that was quite uncertain.
[00:09:13.040 --> 00:09:17.040]   We also knew that AI could help us build those features really quickly with AI coding assistance and tools.
[00:09:17.040 --> 00:09:25.040]   So what we ended up doing is going extremely wide and trying quite a lot of features with different groups of users and seeing what worked and what didn't.
[00:09:25.040 --> 00:09:31.040]   The important thing is after that point, we then stripped back and focused on what actually worked.
[00:09:31.040 --> 00:09:41.040]   One of the benefits of using AI coding assistance to make those features as well is that you don't have the sentimental attachment to them so it makes it much easier to strip them out again afterwards.
[00:09:42.040 --> 00:09:49.040]   I'm going to illustrate that point by showing an example of what the tool looked like when it had lots of features and then when we streamlined it down.
[00:09:49.040 --> 00:09:57.040]   So here the user's already recorded their meeting and they've been taken to this page to help them generate the summary of them.
[00:09:57.040 --> 00:10:02.040]   You see at the top there's like the ability to choose lots of different templates because we have different users we're experimenting with.
[00:10:03.040 --> 00:10:11.040]   Some of our users seem seem to want the the output to follow an agenda from the from the meeting so we gave them the option of inputting that agenda information.
[00:10:12.040 --> 00:10:24.040]   At the bottom we had two different AI features we had an AI edit button so they could use free text to edit the output of the meeting, but we also said AI chat so they could ask questions of the meeting.
[00:10:24.040 --> 00:10:34.040]   And this doesn't touch on some of the AI that's happening behind the scenes such as automatically predicting who the speaker names are and also doing citations back to the original transcript.
[00:10:35.040 --> 00:10:41.040]   It's no surprise that when we were testing this with a lot of our users they found it a little bit overwhelming and a little bit complicated.
[00:10:41.040 --> 00:10:44.040]   And in fact many of them weren't even using these features.
[00:10:44.040 --> 00:10:53.040]   We also found because we were testing with different groups a specific group that there was quite a lot of value of pursuing with which was the probation services use case.
[00:10:54.040 --> 00:11:08.040]   So what we did next is we focused in on that use case and then we streamlined the app down and what we ended up with is with this justice transcribe and we built this in collaboration with justice AI who's an AI team in the Ministry of Justice.
[00:11:08.040 --> 00:11:13.040]   As you can see it's a lot simpler because we're focusing on one set of users.
[00:11:13.040 --> 00:11:16.040]   We didn't need to have the template picking option.
[00:11:16.040 --> 00:11:20.040]   These users didn't need the agenda option so we could strip it out entirely.
[00:11:21.040 --> 00:11:28.040]   What we found with the AI edit and the AI chat feature is an overwhelming amount of pressure to merge them into one feature.
[00:11:28.040 --> 00:11:32.040]   So we've taken them out and we're experimenting heavily so that there's not that same confusion.
[00:11:32.040 --> 00:11:46.040]   We've been getting extremely positive feedback from users with this and we're currently taking part in an evaluation where we're being compared to other tools in this space to work out which ones are the most impactful.
[00:11:47.040 --> 00:11:54.040]   But I hope this illustrates the point and the lesson that we're making here which is experiment hard and go wide with lots of features.
[00:11:54.040 --> 00:12:02.040]   Lean into that uncertainty of what makes a good AI feature at the moment but then cut back and streamline the app down.
[00:12:02.040 --> 00:12:09.040]   I thought you might be interested in another use case that we were exploring which was for prime ministerial meetings.
[00:12:10.040 --> 00:12:18.040]   This was actually from a recent meeting which was the first ever prime minister meeting where AI was used to transcribe and summarize the meeting and it was done using our tool.
[00:12:23.040 --> 00:12:28.040]   For the final lesson I'm going to tell you a little bit about red box and the lesson is all about being ready to pivot.
[00:12:28.040 --> 00:12:39.040]   For those of you that don't know all of our government ministers carry around a big red box which is full of paperwork and submissions and important decisions that they have to make.
[00:12:40.040 --> 00:12:46.040]   They're private offices do a lot of work to summarize collate and collect all that information to put it in the red box.
[00:12:46.040 --> 00:12:57.040]   Again this is a prototypical use case of AI so it was no surprise that the idea to digitize this red box was the winning idea at a hackathon run by one of our sister teams evidence house.
[00:12:58.040 --> 00:13:05.040]   This became the first incarnation of red box to digitize the ministerial red box.
[00:13:05.040 --> 00:13:10.040]   We took this winning idea from hackathon built it into a full product.
[00:13:10.040 --> 00:13:24.040]   However what we found when we actually tested it with real users is that the feature that they were most after the one that they wanted above all else and that they didn't really care about anything else was just the ability to securely chat with a large language model.
[00:13:25.040 --> 00:13:34.040]   You see this was over a year ago when enterprise the ability for enterprises to chat with large language models was definitely a bit rarer and particularly in the civil service.
[00:13:34.040 --> 00:13:41.040]   So people were familiar with the value they could get from things like chat GPT but they couldn't put their work information into it.
[00:13:41.040 --> 00:13:51.040]   This led to the second incarnation of red box which was to be the easiest and cheapest way to securely chat to a large language model for civil servants.
[00:13:53.040 --> 00:13:54.040]   This also gave us an opportunity.
[00:13:54.040 --> 00:14:02.040]   A lot of our other tools we were experimenting with ways of making government specific data more accessible and easy to navigate.
[00:14:02.040 --> 00:14:09.040]   For example we had a product called parlex which was all about making parliamentary and legislative data more available.
[00:14:09.040 --> 00:14:13.040]   But we were developing these as independent products with their own user interfaces.
[00:14:14.040 --> 00:14:18.040]   The opportunity we saw is to use red box as that interface.
[00:14:18.040 --> 00:14:26.040]   Why not bring these tools and products into this kind of chat interface that we were already creating and that lots of people already had access to.
[00:14:26.040 --> 00:14:32.040]   That's why our third incarnation was to be the client to access the incubator for AI's tools and data.
[00:14:33.040 --> 00:14:43.040]   It's worth saying after the second one, the reason that we validated that that was a useful use case, we launched it within the cabinet office and within just a matter of weeks we had thousands of users.
[00:14:43.040 --> 00:14:48.040]   So that's why we knew it would be a useful front end for some of our other tools as well.
[00:14:49.040 --> 00:14:53.040]   The next thing that happened were two important things.
[00:14:53.040 --> 00:14:57.040]   The first is that the commercial landscape changed.
[00:14:57.040 --> 00:15:06.040]   Microsoft announced that co-pilot chat, their enterprise version of chat GPT, was going to be free for enterprise Microsoft users.
[00:15:07.040 --> 00:15:09.040]   And a lot of the government is an enterprise Microsoft user.
[00:15:09.040 --> 00:15:22.040]   The second thing that happened is that Claude's model context protocol exploded onto the scene and provided a way of providing standardization for being able to bring tools and data to models.
[00:15:22.040 --> 00:15:25.040]   This meant we had to pivot again.
[00:15:25.040 --> 00:15:33.040]   It no longer made sense for us to bank on red box being the main way that civil servants would be accessing secure chat with large language models.
[00:15:34.040 --> 00:15:37.040]   And it no longer made sense for that to be the only way for people to access our tools and data.
[00:15:37.040 --> 00:15:52.040]   So instead, we've been investing hard in using the model context protocol to bring our tools and data to any client, whether it's red box, whether it's co-pilot chat, whether it's enterprise versions of other tool like anthropic or chat GPT.
[00:15:52.040 --> 00:15:59.040]   So it's worth stressing that throughout that time, red box has been valuable and is still valuable.
[00:15:59.040 --> 00:16:06.040]   It's still the main way that a lot of people in the cabinet office are able to access that secure chat with a large language model.
[00:16:06.040 --> 00:16:13.040]   But I hope this lesson shows that things are moving really quickly and it's really important to evolve and change with it.
[00:16:13.040 --> 00:16:15.040]   Otherwise, you get stuck on the wrong path.
[00:16:15.040 --> 00:16:21.040]   That's why our third lesson is you'll have to pivot harder and faster than ever before.
[00:16:24.040 --> 00:16:26.040]   So let's recap the four lessons we've covered today.
[00:16:26.040 --> 00:16:27.040]   And yep, there were four.
[00:16:27.040 --> 00:16:34.040]   Lesson zero, the importance of AI product managers and the fact this is a vital role which requires AI expertise.
[00:16:34.040 --> 00:16:38.040]   Lesson one, evaluate AI early.
[00:16:38.040 --> 00:16:42.040]   Resolve AI uncertainties early on with evaluations and tests with users.
[00:16:42.040 --> 00:16:46.040]   Lesson two, go wide with features.
[00:16:46.040 --> 00:16:50.040]   Experiment hard with new features on real users, then cut back.
[00:16:50.040 --> 00:16:53.040]   And lesson three, be ready to pivot.
[00:16:53.040 --> 00:16:55.040]   You'll have to pivot harder and faster than ever before.
[00:16:55.040 --> 00:17:03.040]   Now, some of you are probably sat there thinking, how much of this is really new?
[00:17:03.040 --> 00:17:05.040]   And that's a fair question to ask.
[00:17:05.040 --> 00:17:11.040]   There's a lot of wisdom within existing product management that feels very familiar to the stuff we're covering here.
[00:17:11.040 --> 00:17:17.040]   For example, the principle of resolving your biggest uncertainties first has been around for a long time.
[00:17:17.040 --> 00:17:21.040]   As is putting your users first, listening to them and testing features with them.
[00:17:21.040 --> 00:17:27.040]   However, I hope that what these lessons have emphasized is that AI really does make things different.
[00:17:27.040 --> 00:17:39.040]   AI really does, resolving AI's uncertainties really is an important thing you have to do and is something that is a bit more challenging with the extra need for experimentation and evaluation.
[00:17:40.040 --> 00:17:49.040]   For lesson two, which we had, which was going wide with features, AI really does change the landscape.
[00:17:49.040 --> 00:17:57.040]   It makes it easier to go faster with features and have less attachment to them and therefore you should be doing that and testing those features and scaling back.
[00:17:57.040 --> 00:18:03.040]   As well as AI features being new and there being more uncertainty around exactly what makes a good AI feature.
[00:18:04.040 --> 00:18:11.040]   And finally, the AI landscape is changing extremely quickly, which is why pivoting is more necessary now than ever before.
[00:18:11.040 --> 00:18:16.040]   So I hope those lessons have been useful.
[00:18:16.040 --> 00:18:23.040]   I hope that you feel ready to step up into that AI product manager mindset that your product needs.
[00:18:24.040 --> 00:18:28.040]   And thank you so much for listening and please do check us out.
[00:18:28.040 --> 00:18:29.040]   We're currently hiring.
[00:18:29.040 --> 00:18:29.040]   Thank you.
[00:18:29.040 --> 00:18:30.040]   Thank you for hiring.
[00:18:30.040 --> 00:18:30.040]   Thank you.
[00:18:30.040 --> 00:18:31.040]   Thank you.
[00:18:31.040 --> 00:18:32.040]   Thank you.
[00:18:32.040 --> 00:18:36.340]   Transcription by ESO. Translation by —

