
[00:00:00.000 --> 00:00:21.000]   I have all.
[00:03:21.000 --> 00:03:30.000]   Yeah, you get headaches and you feel like an idiot, and so ever since then I've been pretty careful about CO2.
[00:03:30.000 --> 00:03:55.000]   That that's separate of course you know you can have perfectly good CO2 but still bad air quality if there's one thing that I have is quite high T box that are unpredictable like so I don't know if it's the sensor figure out.
[00:03:55.000 --> 00:04:04.000]   Okay, I was just gonna say I don't know if anyone has any experience with that because I haven't been able to figure it out I've been collecting data for months now and I can't really figure out any clear correlation with the T box.
[00:04:04.000 --> 00:04:13.000]   But they sometimes are quite high and I suspect it affects you know sleep and things like that so I do know there's some sensors on the market so I just don't know if that's something you already looked into.
[00:04:13.000 --> 00:04:23.000]   Yeah, I mean, I've got air purifiers which have gas and particle sensors on them.
[00:04:23.000 --> 00:04:37.000]   And so then they have an auto mode where they'll go, go harder if there's more stuff. I don't find they seem to correlate with my hay fever though honestly so my method of setting the fan level is if I start getting hay fever I turn it up.
[00:04:37.000 --> 00:04:41.000]   I don't find the auto seems to work that well for me.
[00:04:41.000 --> 00:05:05.000]   Okay, yeah, that's definitely been a life changer for me is getting plain air in my house that's basically the first bad hay fever I've had in like 18 months, and it used to, you know, be like the single biggest impact I reckon on my quality of life was really crap all the time.
[00:05:05.000 --> 00:05:13.000]   That's a bit of a side, interesting aside, nonetheless.
[00:05:13.000 --> 00:05:26.000]   Any interesting API discoveries since yesterday your questions or anything else.
[00:05:26.000 --> 00:05:28.000]   Really, it's fine.
[00:05:28.000 --> 00:05:32.000]   It's remarkably hard to do simple things.
[00:05:32.000 --> 00:05:36.000]   Yeah, well I mean we just started right so that's.
[00:05:36.000 --> 00:05:41.000]   Yeah, post shockingly hard to load.
[00:05:41.000 --> 00:05:43.000]   I posted.
[00:05:43.000 --> 00:05:57.000]   I posted the forms of basic kind of genetic algorithm, which was pretty cool but I saw that I think I think basic is a is not a fair description I mean compared to where, at least I'm up to.
[00:05:57.000 --> 00:06:14.000]   It looks pretty sophisticated feel like there's a lot that can be done to transform it into a more kind of array based solution then.
[00:06:14.000 --> 00:06:24.000]   Well that'll be an interesting project for us all to try to help with I think yeah I mean we're not close to knowing all the glyphs that you're using yet.
[00:06:24.000 --> 00:06:27.000]   I think we've got some catching up to do.
[00:06:27.000 --> 00:06:37.000]   My, my goal, my goal is to implement connect for I've implemented it in so many languages and it seems a good enough problem that is non trivial.
[00:06:37.000 --> 00:06:41.000]   Yeah. So like with an AI that you play against.
[00:06:41.000 --> 00:06:43.000]   Yeah yeah yeah just mini max.
[00:06:43.000 --> 00:06:51.000]   Okay, kind of implementation there's a good gaggle competition competition on that one going on since a while, which is fun.
[00:06:51.000 --> 00:06:58.000]   I think I could try flooding in a genetic algorithm to try to optimize it as well that'd be cool. Yes.
[00:06:58.000 --> 00:07:12.000]   But just like the simple the board and simple. Yeah, how to best represent the array of the board is already hard. Yeah, I'm not even at a point of thinking about doing anything yet.
[00:07:12.000 --> 00:07:14.000]   Oh, I just press the wrong button.
[00:07:14.000 --> 00:07:17.000]   I just had a question from topic about.
[00:07:17.000 --> 00:07:19.000]   I'm sorry.
[00:07:19.000 --> 00:07:37.000]   Oh, I was just gonna say I spent a lot of time the last day, trying to figure out how to load images in the APL just to get the pixel values and it was a lot harder.
[00:07:37.000 --> 00:07:40.000]   No.
[00:07:40.000 --> 00:07:52.000]   No, and I asked on the discord. If there was any kind of beginner friendly ways to load it and I got a lot of resources that I had no luck deciphering.
[00:07:52.000 --> 00:08:06.000]   Is that on the APL discord dialogue conference that they're having coming up that this is a hot topic that they're going to discuss image processing. Yeah.
[00:08:06.000 --> 00:08:07.000]   Awesome.
[00:08:07.000 --> 00:08:19.000]   I wanted to ask, we'll be talking about complex numbers which are super cool. I noticed, they're supported in in torch and pytorch is it is it like deep learning uses. Oh yes, what is that absolutely, absolutely.
[00:08:19.000 --> 00:08:32.000]   Yeah, I mean apart from anything else there are there an input format for, you know, for audio for example, we would often represent as kind of magnitude and phase.
[00:08:32.000 --> 00:08:47.000]   And we don't normally have to worry about it, but you can optimize convolutions using Fourier transforms, you know, and using complex representation.
[00:08:47.000 --> 00:09:02.000]   And that's kind of handled for us by Cootie and then nowadays but yeah, you know, inputs and outputs as complex numbers is certainly a thing and also if you've got layers that represent
[00:09:02.000 --> 00:09:19.000]   some sort of more like, you know, the activations you hope might kind of represent some, something from your domain, they might, you know, be represented well as complex numbers you might have lost functions based on that or.
[00:09:19.000 --> 00:09:21.000]   Yeah.
[00:09:21.000 --> 00:09:31.000]   The only time I've used them in pytorch is for audio, but I know other folks use them for other things.
[00:09:31.000 --> 00:09:49.000]   I saw that Adam, who actually works at dialogue, and I think he's the guy in arraycast who said he's like used APO his whole life answered some of our questions.
[00:09:49.000 --> 00:10:00.000]   Okay, so once. Okay, so if you use I'm on Mac, not on Windows, but on Windows. Once you've removed some docked windows you can click session save.
[00:10:00.000 --> 00:10:04.000]   You can right click on the language bar and hide caption.
[00:10:04.000 --> 00:10:08.000]   Once you've got boxing on you can save your session.
[00:10:08.000 --> 00:10:20.000]   And yes, I've already saw in the forum to get back ticks with the in browser back to space. So, that was good to get it on to answer some of our questions.
[00:10:20.000 --> 00:10:34.000]   And then the other thing I wanted to mention is that.
[00:10:34.000 --> 00:10:46.000]   Was him did some really nice notes which I finally got a note around her reading.
[00:10:46.000 --> 00:10:52.000]   And so I get actually highly recommend them so they're linked from the lesson one forum.
[00:10:52.000 --> 00:10:54.000]   So thanks for doing that was him.
[00:10:54.000 --> 00:10:57.000]   Am I pronouncing your name right.
[00:10:57.000 --> 00:11:05.000]   Yeah. Oh, where's what what where is the name from your South Africa right.
[00:11:05.000 --> 00:11:14.000]   So, funny enough, I'm in Sydney at the moment. No way, my parents, but I'm originally from South Africa.
[00:11:14.000 --> 00:11:17.000]   And the name is Arabic.
[00:11:17.000 --> 00:11:26.000]   Cool. Welcome to Australia, better than a time zone for you. How long are you here for until the end of next month actually.
[00:11:26.000 --> 00:11:30.000]   It's a nice long time. Great. Yeah.
[00:11:30.000 --> 00:11:40.000]   If you say hi in the forum if you want to meet up with any fast AI people I'm sure there's, I know there's a bunch of people in, in Sydney.
[00:11:40.000 --> 00:11:43.000]   Yeah, these are great notes. Thank you so much.
[00:11:43.000 --> 00:11:49.000]   I love that you've got the juggling notation. Has you come across juggling notation before we discussed it.
[00:11:49.000 --> 00:11:56.000]   Not at all. It's interesting isn't it, it's like it was game changing, apparently.
[00:11:56.000 --> 00:12:03.000]   And Aaron Hughes PhD. I don't know how you pronounce this name.
[00:12:03.000 --> 00:12:11.000]   You might know, do you know how you pronounce this I guess this is a Chinese name. I mean I know it's not opinion but it's
[00:12:11.000 --> 00:12:17.000]   No. Okay.
[00:12:17.000 --> 00:12:23.000]   I thought for APL today.
[00:12:23.000 --> 00:12:43.000]   Oh, good. There's a link here some thank you. By the way, for those of you who hadn't noticed, at least when I remember or when Serato reminds me, I click on the make wiki, which means that anybody can click edit on these posts.
[00:12:43.000 --> 00:12:49.000]   And so thank you for those of you who have been adding stuff to them.
[00:12:49.000 --> 00:13:03.000]   And thinking like in terms of stuff that's going to help us understand more of the documentation and do more things I think there's two main things I wanted to cover today which is left arrow and row.
[00:13:03.000 --> 00:13:08.000]   And basically,
[00:13:08.000 --> 00:13:19.000]   do they call it left arrow they do. Okay, cool. So left arrow, which is left square bracket is used to assign names to variables.
[00:13:19.000 --> 00:13:26.000]   So, a is three.
[00:13:26.000 --> 00:13:34.000]   So, obviously, in a lot of languages, we would use equals for that.
[00:13:34.000 --> 00:13:42.000]   But, you know, a statement like x equals x plus one is not a mathematically same statement.
[00:13:42.000 --> 00:13:50.000]   So I'm glad APL does not use equals to mean that. So in other languages, we have to say equals equals to mean that.
[00:13:50.000 --> 00:13:58.000]   And I know this is something, you know, the kids I teach found quite confusing we're doing when we're doing Python.
[00:13:58.000 --> 00:14:02.000]   So very strange meaning of equals.
[00:14:02.000 --> 00:14:12.000]   So you can absolutely do that, you know, if you've got something called x you can rebind it to its previous value plus one.
[00:14:12.000 --> 00:14:14.000]   I mean, let's try it.
[00:14:14.000 --> 00:14:18.000]   A plus one.
[00:14:18.000 --> 00:14:21.000]   Okay.
[00:14:21.000 --> 00:14:29.000]   So if you, if you add a plus sign before that a plus a arrow a plus one.
[00:14:29.000 --> 00:14:33.000]   It'll actually print it out for you.
[00:14:33.000 --> 00:14:35.000]   As well.
[00:14:35.000 --> 00:14:50.000]   I mean that makes sense doesn't it right because we learned that monadic plus is conjugate now that won't work for a complex number because it will actually give you the conjugate but yeah this is going to return the conjugate of everything to the right.
[00:14:50.000 --> 00:14:54.000]   So assignment is returning its.
[00:14:54.000 --> 00:15:00.000]   The assigned value and then taking the conjugate of it will as a result printed out.
[00:15:00.000 --> 00:15:04.000]   I think.
[00:15:04.000 --> 00:15:08.000]   I think this might be better left attack.
[00:15:08.000 --> 00:15:14.000]   That's because that's actually always monadic function same.
[00:15:14.000 --> 00:15:22.000]   So, if I replace this with that.
[00:15:22.000 --> 00:15:37.000]   And I think you can also, when you start nesting these assignments, these assignments can be, you could create a new variable as part of, you can create a left arrow.
[00:15:37.000 --> 00:15:50.000]   B is left arrow B plus one, A plus one so you can you can actually nest them. Yes, I think if you do left arrow and then the box I forget what it's called an assignment in the box.
[00:15:50.000 --> 00:15:54.000]   This quad, which is, is that an L.
[00:15:54.000 --> 00:15:57.000]   Yes, yeah.
[00:15:57.000 --> 00:16:01.000]   I think if you assign them to that.
[00:16:01.000 --> 00:16:09.000]   That's what they do in the dog usually the mnemonic is you're kind of like saving to the screen.
[00:16:09.000 --> 00:16:14.000]   Got it. So that's a special thing to assign to.
[00:16:14.000 --> 00:16:21.000]   Yeah, a lot of the IO operations are handled by quad.
[00:16:21.000 --> 00:16:27.000]   Great.
[00:16:27.000 --> 00:16:55.000]   Now the other interesting thing, which is happening is that Isaac has started creating a website for the study group, which is not quite up and running yet.
[00:16:55.000 --> 00:17:06.000]   Did you do the settings pages that GitHub pages, then GitHub pages branch and all that.
[00:17:06.000 --> 00:17:11.000]   Yeah, I think we could just probably do that now so let me.
[00:17:11.000 --> 00:17:17.000]   While I remember to get poor.
[00:17:17.000 --> 00:17:31.000]   And then, yeah, we should be. So for those of you that don't know GitHub has a very nice feature called GitHub pages, which basically turns a repo into a website.
[00:17:31.000 --> 00:17:37.000]   And to use it.
[00:17:37.000 --> 00:17:47.000]   You basically go to pages, and you say sources this branch.
[00:17:47.000 --> 00:17:54.000]   And in theory I should now be able to click on this.
[00:17:54.000 --> 00:17:56.000]   We may need to.
[00:17:56.000 --> 00:18:03.000]   So I can check what's going on by switching to that branch.
[00:18:03.000 --> 00:18:06.000]   Okay, so there's definitely something there.
[00:18:06.000 --> 00:18:21.000]   I can do a little after I accepted the settings and pages I had to make a small commit to the first time, I've noticed that to remove one character return from here.
[00:18:21.000 --> 00:18:28.000]   And
[00:18:28.000 --> 00:18:40.000]   I can vaguely hear. How are you talking I can vaguely hear your ghostly distant voice. Can you hear me now. Oh, there you are. That sounds great. Yeah, it's it's the site is up actually, it's ready.
[00:18:40.000 --> 00:18:50.000]   Fastai.github.io/APLstudy. Something I like to do is when I go here is I copy this.
[00:18:50.000 --> 00:18:57.000]   And then I go into settings and paste it here.
[00:18:57.000 --> 00:19:03.000]   And that way anybody on my page, including me can jump to the website.
[00:19:03.000 --> 00:19:07.000]   I really wish they knew that automatically. Yeah.
[00:19:07.000 --> 00:19:11.000]   Look at that. Okay.
[00:19:11.000 --> 00:19:19.000]   Thank you Isaac, this is beautiful.
[00:19:19.000 --> 00:19:27.000]   There it all is.
[00:19:27.000 --> 00:19:41.000]   So, oh, this is cool. I didn't notice the this thing here automatically pops open the. So this is quarter, which is what nb dev two will be using, which is full of neat tricks.
[00:19:41.000 --> 00:19:51.000]   So a lot of a lot of quarters commands are really well designed. Yeah, it really is.
[00:19:51.000 --> 00:19:56.000]   It's from our studio JJ Liz company and everything he's done has been great.
[00:19:56.000 --> 00:20:00.000]   He's hired a lot of great people as well.
[00:20:00.000 --> 00:20:05.000]   And he's been super helpful.
[00:20:05.000 --> 00:20:11.000]   I think we need some image of some APL thing.
[00:20:11.000 --> 00:20:14.000]   That'd be nice.
[00:20:14.000 --> 00:20:16.000]   It's very cool image there.
[00:20:16.000 --> 00:20:18.000]   All right, well that was easy.
[00:20:18.000 --> 00:20:22.000]   Yeah, all the images are the quarter defaults.
[00:20:22.000 --> 00:20:36.000]   Anybody wants to do a PR which uploads an image of I don't know, a cool formula or picture of Isaac with a little lambda on his head or whatever, you know, all be good.
[00:20:36.000 --> 00:20:37.000]   So the way.
[00:20:37.000 --> 00:20:43.000]   Yeah, so the way this works is,
[00:20:43.000 --> 00:20:46.000]   as I say basically,
[00:20:46.000 --> 00:20:56.000]   I like to do it and it works pretty easily is if you have a branch called GH pages than any HTML, etc. in that branch just ends up as your website.
[00:20:56.000 --> 00:21:00.000]   So here's index.html and that's the website.
[00:21:00.000 --> 00:21:12.000]   And now the way that's being created is there's a thing called GitHub actions, which is basically something that will automatically run some code for you when you do things on GitHub.
[00:21:12.000 --> 00:21:17.000]   You can use HTML files, of course, because all the cool kids use your more files.
[00:21:17.000 --> 00:21:24.000]   And so you say, okay, well, when should this run and it's going to run when you push to master.
[00:21:24.000 --> 00:21:26.000]   Okay, what happens when you push to master?
[00:21:26.000 --> 00:21:30.000]   Well, it's going to run a job called deploy,
[00:21:30.000 --> 00:21:32.000]   which will run on Ubuntu.
[00:21:32.000 --> 00:21:38.000]   So they've got like every major OS with lots of releases, which will check out this repo.
[00:21:38.000 --> 00:21:43.000]   So you can run this script.
[00:21:43.000 --> 00:21:47.000]   Run this command.
[00:21:47.000 --> 00:21:54.000]   And then run this action, which is deployed to GitHub pages.
[00:21:54.000 --> 00:21:59.000]   And I'm guessing I was actually basically borrowed this from the process.
[00:21:59.000 --> 00:22:02.000]   It looks similar.
[00:22:02.000 --> 00:22:08.000]   Yeah, yeah, I took this from your fast category repository and there's some minor changes, but roughly the same.
[00:22:08.000 --> 00:22:23.000]   Yeah, so fast Kaggle I just I just did nb process new and the process is the current name of what will be nb dev to hopefully within three weeks or so.
[00:22:23.000 --> 00:22:35.000]   And as you might have noticed, one nice thing about this is that, you know, we have a
[00:22:35.000 --> 00:22:41.000]   Why is this in a separate folder, by the way, Isaac, was that necessary for some reason, or
[00:22:41.000 --> 00:22:44.000]   I don't think so. That was the that was how it.
[00:22:44.000 --> 00:22:51.000]   The, the default create website porto function did and I didn't structure.
[00:22:51.000 --> 00:22:56.000]   Anyway, yeah, so we've got a notebook here.
[00:22:56.000 --> 00:23:06.000]   And that notebook has been auto converted into a post, which is nice. So once you've got this set up,
[00:23:06.000 --> 00:23:17.000]   you can start authoring technical blog posts with notebooks really easily, particularly because if you hit dot.
[00:23:17.000 --> 00:23:23.000]   I thought if you hit dot, yeah, it's meant to be dot. Nevermind.
[00:23:23.000 --> 00:23:33.000]   You can open up the notebook in github.dev, which is basically a slimmed down online version of VS code.
[00:23:33.000 --> 00:23:40.000]   And so I can start editing straight away.
[00:23:40.000 --> 00:23:51.000]   I assume that they won't have the APL kernel installed, but I'm not sure you can even run Python, can you?
[00:23:51.000 --> 00:23:59.000]   But you can certainly edit the markdown and move cells around and stuff.
[00:23:59.000 --> 00:24:03.000]   Or you could just put markdown files in there.
[00:24:03.000 --> 00:24:15.000]   All right, so that's.
[00:24:15.000 --> 00:24:27.000]   In fact, let's go ahead and make this a bit simpler while we're here. Otherwise, I might go a bit crazy.
[00:24:27.000 --> 00:24:46.000]   All right.
[00:24:46.000 --> 00:24:56.000]   So if we move all that into the parent.
[00:24:56.000 --> 00:25:07.000]   Then we should be able to remove that.
[00:25:07.000 --> 00:25:11.000]   Yes, OK, we can add this to this document more.
[00:25:11.000 --> 00:25:22.000]   So get ignore is the file which contains a list of all the things that weren't that get well by default ignore.
[00:25:22.000 --> 00:25:40.000]   So dot quarter. And if you ended up with it, if you end with a slash, it means it's a directory. OK.
[00:25:40.000 --> 00:25:45.000]   All right.
[00:25:45.000 --> 00:25:53.000]   Let's move all that.
[00:25:53.000 --> 00:26:14.000]   OK, so we should also add that IPY and the checkpoints to our get ignore.
[00:26:14.000 --> 00:26:20.000]   Let's check. So then underscore quarter dot YAML is where it's kind of defined.
[00:26:20.000 --> 00:26:31.000]   So this doesn't need to be dot slash anymore.
[00:26:31.000 --> 00:26:36.000]   Can you think of anything else I might need to change off the top of your head?
[00:26:36.000 --> 00:26:44.000]   Isaac. Thank you. Thank you. Got everything.
[00:26:44.000 --> 00:26:50.000]   What does freeze do? Is that different to execute false?
[00:26:50.000 --> 00:26:56.000]   I'm not sure, to be honest, the game that was a default setting.
[00:26:56.000 --> 00:27:00.000]   I see.
[00:27:00.000 --> 00:27:10.000]   All right. So get status will tell us how we're doing here. Oh, yeah. And I was going to add IPY and B. Check points.
[00:27:10.000 --> 00:27:26.000]   Dot I and the check. So I think that is that means it's not going to re-render or rerun file unless the unless it's changed.
[00:27:26.000 --> 00:27:39.000]   Makes sense. All right. So we've renamed some things. We've deleted one thing. We've modified one thing. That sounds good.
[00:27:39.000 --> 00:27:50.000]   Oh, I haven't got this set up yet. That's fine.
[00:27:50.000 --> 00:28:04.000]   All right. So get commit minus a M. So I will add everything that's not yet added. And M means I'm going to put a message right here.
[00:28:04.000 --> 00:28:17.000]   I thought I'd already done that. Oh, that's right. I added that one character.
[00:28:17.000 --> 00:28:27.000]   Great.
[00:28:27.000 --> 00:28:44.000]   And so now we should be able to go to BASTai.github.io/aplstudy. And it's still working.
[00:28:44.000 --> 00:28:46.000]   How about that?
[00:28:46.000 --> 00:28:54.000]   And so something that's useful to know is your GitHub actions when they run.
[00:28:54.000 --> 00:29:00.000]   Oh, it didn't work. They get logged here.
[00:29:00.000 --> 00:29:06.000]   And so when it breaks, you get across.
[00:29:06.000 --> 00:29:13.000]   OK, quarter render is going to change. So that's just no that's not going to need anything anymore. So we'll change our.
[00:29:13.000 --> 00:29:18.000]   I mean, so, you know, just something else to show you. We don't have to like switch to the terminal.
[00:29:18.000 --> 00:29:24.000]   We can just go to GitHub workflows and click on here and click on edit.
[00:29:24.000 --> 00:29:31.000]   And just edit it directly if we want to. And that by default uses the current directory, I believe.
[00:29:31.000 --> 00:29:44.000]   You can just go ahead and commit that.
[00:29:44.000 --> 00:29:51.000]   And I don't know why we have architecture here. I think it defaults to x64. Doesn't it have all?
[00:29:51.000 --> 00:30:02.000]   Yes, you don't need that.
[00:30:02.000 --> 00:30:09.000]   And then something else you don't need is this pipe is used in YAML to do a multi line thing.
[00:30:09.000 --> 00:30:15.000]   And since we only have one line here, we don't need that either.
[00:30:15.000 --> 00:30:20.000]   But your screen has so much vertical space now.
[00:30:20.000 --> 00:30:25.000]   But it's split in half, so it doesn't really.
[00:30:25.000 --> 00:30:29.000]   So I still have reason to complain about vertical space.
[00:30:29.000 --> 00:30:33.000]   Besides which, that's an important part of my personality.
[00:30:33.000 --> 00:30:39.000]   So that worked. That's good.
[00:30:39.000 --> 00:30:49.000]   And so after it updates, then the GitHub pages bot will actually put that up on our website.
[00:30:49.000 --> 00:30:51.000]   Okay.
[00:30:51.000 --> 00:31:10.000]   Great. So this, this is called a raw cell, which is executed for us, and you can create a raw cell by pressing during this menu.
[00:31:10.000 --> 00:31:17.000]   And things that are between three dashes are called YAML front matter. YAML is yet another markup language.
[00:31:17.000 --> 00:31:25.000]   And basically, this is much of key value things in YAML.
[00:31:25.000 --> 00:31:29.000]   And yeah, this is where we basically put the information we want.
[00:31:29.000 --> 00:31:43.000]   The title is actually not needed because it will pick it up automatically from an h1, or to put it another way, the h1 is needed because it will come automatically from the title.
[00:31:43.000 --> 00:31:56.000]   Great. Nice position, put my name here since I'm writing it at the moment.
[00:31:56.000 --> 00:32:05.000]   All right.
[00:32:05.000 --> 00:32:12.000]   Something I find really helpful is I use this thing called collapsible headings.
[00:32:12.000 --> 00:32:17.000]   And so I just take control shift left and which as you can see it closes everything up.
[00:32:17.000 --> 00:32:25.000]   And then you can basically press right arrow to jump to the end of a section or to open a section so that's left, right.
[00:32:25.000 --> 00:32:30.000]   And if you're already at the start of the section you press left again it'll close it up.
[00:32:30.000 --> 00:32:35.000]   I find it really helpful for zipping around quickly.
[00:32:35.000 --> 00:32:39.000]   As you can see.
[00:32:39.000 --> 00:32:47.000]   All right, so we started talking about precedence yesterday.
[00:32:47.000 --> 00:33:03.000]   Yeah, I don't think there's too much more to say about precedence.
[00:33:03.000 --> 00:33:16.000]   There's a section called like expressions of which part of that is about precedence and then the other thing we put in here is about functions.
[00:33:16.000 --> 00:33:30.000]   Okay, so in Python, or indeed in math, in math you would write a function like this you'd say f of x is, you know, whatever.
[00:33:30.000 --> 00:33:40.000]   Or in Python you would say define a function which takes x and it returns two times x.
[00:33:40.000 --> 00:33:48.000]   Or you could create a lambda in function f is a function which takes x and returns to x.
[00:33:48.000 --> 00:33:57.000]   So these are all ways you can define functions in math or these two are two ways you can define functions in Python.
[00:33:57.000 --> 00:34:06.000]   They all have something in common, which is that you're telling you're telling the reader in the case of math and the interpreter in the case of Python.
[00:34:06.000 --> 00:34:13.000]   What's the name of the thing that you're passing in, and you could pass in more than one thing.
[00:34:13.000 --> 00:34:15.000]   Right.
[00:34:15.000 --> 00:34:17.000]   Apl is different.
[00:34:17.000 --> 00:34:23.000]   Apl has decided for you what names you're going to call things.
[00:34:23.000 --> 00:34:29.000]   So to create a function in apl, it's just assigning something to a symbol.
[00:34:29.000 --> 00:34:39.000]   Right. So rather than saying, oh, I'm going to turn my apl thingy on.
[00:34:39.000 --> 00:34:48.000]   Which means I just turn on my bookmark bar, which I thought I need a shortcut key to that I don't shift command me.
[00:34:48.000 --> 00:34:49.000]   Let's try that again.
[00:34:49.000 --> 00:34:54.000]   Command shift.
[00:34:54.000 --> 00:34:57.000]   All right.
[00:34:57.000 --> 00:35:10.000]   So we can assign a scalar or a list or the result of an expression with possibly various other functions in.
[00:35:10.000 --> 00:35:11.000]   Right. Whatever.
[00:35:11.000 --> 00:35:18.000]   Or we can assign a function and to create a function in apl, you use curly brackets.
[00:35:18.000 --> 00:35:21.000]   So curly brackets means this is a function.
[00:35:21.000 --> 00:35:26.000]   And then inside the function, you say what you want to do and you don't have to name the parameters.
[00:35:26.000 --> 00:35:27.000]   They already have names.
[00:35:27.000 --> 00:35:34.000]   If you have one parameter, it's going to get called Omega, which is W.
[00:35:34.000 --> 00:35:38.000]   So here's a times two function.
[00:35:38.000 --> 00:35:42.000]   And to pass the one parameter.
[00:35:42.000 --> 00:35:45.000]   You just check it on the right.
[00:35:45.000 --> 00:35:50.000]   OK.
[00:35:50.000 --> 00:35:58.000]   What if you want to create a function called G, which does something times two plus something else?
[00:35:58.000 --> 00:36:04.000]   Then a second parameter will always be called Alpha.
[00:36:04.000 --> 00:36:09.000]   Now, the second parameter goes on the left.
[00:36:09.000 --> 00:36:16.000]   So this will be this becomes Omega. So it'll be four times two, eight plus three is eleven.
[00:36:16.000 --> 00:36:17.000]   That's not right.
[00:36:17.000 --> 00:36:18.000]   Oh, sorry.
[00:36:18.000 --> 00:36:19.000]   It's going to be this.
[00:36:19.000 --> 00:36:20.000]   This happens first.
[00:36:20.000 --> 00:36:21.000]   Yeah.
[00:36:21.000 --> 00:36:22.000]   Yeah. Thank you.
[00:36:22.000 --> 00:36:27.000]   So it'll be two plus three is five times four is twenty.
[00:36:27.000 --> 00:36:28.000]   OK.
[00:36:28.000 --> 00:36:29.000]   Great.
[00:36:29.000 --> 00:36:36.000]   As you can see, I'm still not thinking apl yet.
[00:36:36.000 --> 00:36:44.000]   That's, I think, all there is to know about functions at this stage until we get to operators.
[00:36:44.000 --> 00:36:47.000]   Actually.
[00:36:47.000 --> 00:36:49.000]   We should do operators first.
[00:36:49.000 --> 00:36:50.000]   Maybe.
[00:36:50.000 --> 00:36:52.000]   Do we know that's not.
[00:36:52.000 --> 00:36:58.000]   I think that's enough.
[00:36:58.000 --> 00:37:01.000]   So.
[00:37:01.000 --> 00:37:02.000]   What happened?
[00:37:02.000 --> 00:37:06.000]   We had more than two variable.
[00:37:06.000 --> 00:37:07.000]   Good luck.
[00:37:07.000 --> 00:37:10.000]   You don't.
[00:37:10.000 --> 00:37:14.000]   You can have zero.
[00:37:14.000 --> 00:37:16.000]   One or two.
[00:37:16.000 --> 00:37:24.000]   I guess, like, basically, I have a feeling it can do unpacking.
[00:37:24.000 --> 00:37:28.000]   It can you can do some pattern matching.
[00:37:28.000 --> 00:37:39.000]   Yeah. So you could pass the list and then unpack it.
[00:37:39.000 --> 00:37:43.000]   Or destructuring, as I think some people call it.
[00:37:43.000 --> 00:37:49.000]   I guess we should keep that here because that's actually quite interesting.
[00:37:49.000 --> 00:37:57.000]   Can you pass in the function above as into the equation function.
[00:37:57.000 --> 00:38:02.000]   Can you pass the function about what you mean?
[00:38:02.000 --> 00:38:05.000]   Can you put the F inside the G function?
[00:38:05.000 --> 00:38:06.000]   Oh, yeah, absolutely.
[00:38:06.000 --> 00:38:11.000]   F and G are now like just the same as plus minus whatever.
[00:38:11.000 --> 00:38:14.000]   They're just apl functions that you can do whatever with.
[00:38:14.000 --> 00:38:42.000]   So, yeah, so we could H is equal to two plus F of omega.
[00:38:42.000 --> 00:38:44.000]   So that's something that I like, right?
[00:38:44.000 --> 00:38:50.000]   Because all the apl glyphs, at least the ones that are functions,
[00:38:50.000 --> 00:38:54.000]   are either unary, monadic, or binary, dyadic.
[00:38:54.000 --> 00:38:58.000]   And they always, you know, if they're monadic, the thing goes on the right.
[00:38:58.000 --> 00:39:00.000]   And if they're dyadic, then they're infix.
