
[00:00:00.000 --> 00:00:03.080]   (slow hip hop music)
[00:06:08.600 --> 00:06:09.720]   the flashiness. - Facts.
[00:06:09.720 --> 00:06:11.080]   - Like, is that just the way you grew up,
[00:06:11.080 --> 00:06:12.720]   or how did you grow up hooping?
[00:06:12.720 --> 00:06:15.200]   - Yeah, that's definitely the way I grew up.
[00:06:15.200 --> 00:06:17.080]   I grew up on a lot of park basketball,
[00:06:17.080 --> 00:06:20.120]   a lot of recreational basketball.
[00:06:20.120 --> 00:06:22.600]   Recreational basketball, however you say it.
[00:06:22.600 --> 00:06:24.560]   But, you know, I grew up on a lot of that,
[00:06:24.560 --> 00:06:26.360]   honestly, just playing, going to gyms,
[00:06:26.360 --> 00:06:28.320]   you know, playing one-on-one, two-on-two,
[00:06:28.320 --> 00:06:30.280]   three-on-threes, you know, literally all day.
[00:06:30.280 --> 00:06:32.800]   Like, sunup, sundown, you know.
[00:06:32.800 --> 00:06:35.760]   At first, like, it was kind of hard to get on the court,
[00:06:35.760 --> 00:06:37.360]   you know, 'cause they're like, you gotta wait your turn,
[00:06:37.360 --> 00:06:39.240]   you know, you're younger, you know.
[00:06:39.240 --> 00:06:41.560]   And I'm just on the sideline, just practicing my moves,
[00:06:41.560 --> 00:06:43.680]   you know, I'm just shooting the ball in the air,
[00:06:43.680 --> 00:06:46.360]   stuff like that, but just watching, just live basketball.
[00:06:46.360 --> 00:06:48.360]   You know, I've been taking so many notes and stuff,
[00:06:48.360 --> 00:06:50.280]   just young, and I knew, like,
[00:06:50.280 --> 00:06:51.360]   once I be able to get on the court,
[00:06:51.360 --> 00:06:52.200]   I knew I'd be ready.
[00:06:52.200 --> 00:06:55.360]   But, man, just how it just translated to the NBA,
[00:06:55.360 --> 00:06:57.440]   just honestly in the gym and just working.
[00:06:57.440 --> 00:06:59.840]   You know, try to, like, simplify some things, you know.
[00:06:59.840 --> 00:07:02.640]   You know, obviously, sometimes you can be a little flashy,
[00:07:02.640 --> 00:07:05.000]   you can show your flashes of, you know,
[00:07:05.000 --> 00:07:06.800]   being fancy here and there on a fast break.
[00:07:06.800 --> 00:07:08.640]   You can throw a dime, you can turn around,
[00:07:08.640 --> 00:07:09.640]   you know, just get the crowd into it.
[00:07:09.640 --> 00:07:10.680]   That's how I always been, you know.
[00:07:10.680 --> 00:07:12.480]   I never wanted to, like, change that
[00:07:12.480 --> 00:07:14.120]   or, you know, let somebody change that part of me
[00:07:14.120 --> 00:07:16.480]   because I'm a very, you know, entertaining player.
[00:07:16.480 --> 00:07:17.760]   A lot of people like seeing me play.
[00:07:17.760 --> 00:07:18.600]   They love watching me.
[00:07:18.600 --> 00:07:20.440]   So, it's like, I never just changed that
[00:07:20.440 --> 00:07:24.080]   because, oh, this doesn't fit the criteria of, you know,
[00:07:24.080 --> 00:07:25.800]   a coach like this or, you know,
[00:07:25.800 --> 00:07:27.600]   somebody don't like the way I play, dah, dah, dah.
[00:07:27.600 --> 00:07:30.000]   Nah, that's never been me because at the end of the day,
[00:07:30.000 --> 00:07:31.960]   it's like, I'm not gonna change who I am, you know.
[00:07:31.960 --> 00:07:32.800]   This is what got me here.
[00:07:32.800 --> 00:07:34.640]   I'm not just gonna change who I am now, you know,
[00:07:34.640 --> 00:07:35.880]   just because I made it to the league.
[00:07:35.880 --> 00:07:36.920]   No, I'm gonna forever be me.
[00:07:36.920 --> 00:07:39.040]   So, you know, that's definitely how I grew up, though.
[00:07:39.040 --> 00:07:40.600]   You know, a lot of park basketball.
[00:07:40.600 --> 00:07:41.480]   - Yeah, nah.
[00:07:41.480 --> 00:07:43.040]   Like I said, bro, that's one thing I admire.
[00:07:43.040 --> 00:07:45.880]   Like, can't nobody tell you, like, your confidence
[00:07:45.880 --> 00:07:47.080]   and just the swag you play with.
[00:07:47.080 --> 00:07:49.040]   Can't nobody tell you you're not the coldest.
[00:07:49.040 --> 00:07:50.400]   For people that don't know, like,
[00:07:50.400 --> 00:07:52.320]   me and Bones would have shooting contests
[00:07:52.320 --> 00:07:53.440]   after every shoot-around.
[00:07:53.440 --> 00:07:55.040]   - I'm crying.
[00:07:55.040 --> 00:07:57.080]   - Every shoot-around, we would do our little shoot-contest,
[00:07:57.080 --> 00:07:57.920]   me and him.
[00:07:57.920 --> 00:07:59.160]   Sometimes, other people would join,
[00:07:59.160 --> 00:08:00.520]   but they never would win.
[00:08:00.520 --> 00:08:03.640]   But I could say Bones is one of the only people, like,
[00:08:03.640 --> 00:08:04.960]   I've shot against.
[00:08:04.960 --> 00:08:07.840]   It's you, Steph, and, like, maybe one other person.
[00:08:07.840 --> 00:08:09.160]   - Yeah, probably Trey.
[00:08:09.160 --> 00:08:10.120]   - Trey, Trey.
[00:08:10.120 --> 00:08:12.560]   But, like, that can consistently beat me.
[00:08:12.560 --> 00:08:14.240]   Like, he would beat me most days.
[00:08:14.240 --> 00:08:15.920]   I would be so hot.
[00:08:15.920 --> 00:08:18.080]   But, like, as flashy as your game is,
[00:08:18.080 --> 00:08:20.120]   like, it's still very, very polished.
[00:08:20.120 --> 00:08:21.200]   - Yeah, yeah, yeah, for sure.
[00:08:21.200 --> 00:08:23.800]   - Who did you grow up, like, who did you grow up idolizing?
[00:08:23.800 --> 00:08:26.480]   Who'd you try to model your game after?
[00:08:26.480 --> 00:08:29.160]   - You know, that's such a tough question.
[00:08:29.160 --> 00:08:30.240]   'Cause I really never try to, like,
[00:08:30.240 --> 00:08:31.920]   modelize my game after nobody.
[00:08:31.920 --> 00:08:34.200]   I love watching hoop, though, you know?
[00:08:34.200 --> 00:08:37.000]   But, like, I love taking, like, flat, like, game,
[00:08:37.000 --> 00:08:38.760]   like, or my moves from different players
[00:08:38.760 --> 00:08:39.600]   and stuff like that.
[00:08:39.600 --> 00:08:40.600]   But I never went, like, oh, yeah,
[00:08:40.600 --> 00:08:41.840]   I just wanna be just like him.
[00:08:41.840 --> 00:08:44.240]   Like, this is my idol, da-da-da, you know?
[00:08:44.240 --> 00:08:45.080]   That's never been me.
[00:08:45.080 --> 00:08:48.760]   But a guy who, like, I always watch was Hot Sauce.
[00:08:48.760 --> 00:08:51.160]   Hot Sauce is the only guy, you know, I just watch.
[00:08:51.160 --> 00:08:53.880]   And that's somebody, like, I come home from school,
[00:08:53.880 --> 00:08:55.440]   you know, I eat a bowl of cereal.
[00:08:55.440 --> 00:08:57.680]   You know, I turn him on, on the phone,
[00:08:57.680 --> 00:09:00.240]   I prop the phone up, and after I finish eating my cereal,
[00:09:00.240 --> 00:09:01.920]   I grab the basketball and go in the mirror,
[00:09:01.920 --> 00:09:04.080]   and I just practice all his moves and stuff.
[00:09:04.080 --> 00:09:05.320]   With his big shirt on, you know,
[00:09:05.320 --> 00:09:06.160]   the big shirts he used to wear.
[00:09:06.160 --> 00:09:08.320]   - He was cold, he was cold, though.
[00:09:08.320 --> 00:09:09.480]   - Fatsy was cold.
[00:09:09.480 --> 00:09:11.440]   - So that makes sense, then, why you hoop the way you hoop.
[00:09:11.440 --> 00:09:12.920]   - I used to always just watch him, bro,
[00:09:12.920 --> 00:09:15.320]   and I'd just go to the gym and try to practice his moves,
[00:09:15.320 --> 00:09:16.480]   and it was working.
[00:09:16.480 --> 00:09:18.520]   But, like, I didn't wanna be too much, like,
[00:09:18.520 --> 00:09:19.680]   you know, doing way too much.
[00:09:19.680 --> 00:09:21.960]   Yeah, you know, but I still, like, try to, like,
[00:09:21.960 --> 00:09:23.880]   try to amplify some of that in my game,
[00:09:23.880 --> 00:09:26.440]   and that gave me, like, my flair, like, my swag,
[00:09:26.440 --> 00:09:28.520]   you know, like, you know, it gave me that,
[00:09:28.520 --> 00:09:30.760]   nah, I can't nobody, like, fuck me on the court type shit.
[00:09:30.760 --> 00:09:33.080]   You know, that gave me that vibe, though.
[00:09:33.080 --> 00:09:35.240]   - Yeah, it's a video that went viral, a YouTube video.
[00:09:35.240 --> 00:09:38.600]   I'd just seen it, like, like, I didn't even know about it
[00:09:38.600 --> 00:09:39.560]   'til I started playing with you,
[00:09:39.560 --> 00:09:41.920]   but it's a viral video of you playing one-on-one.
[00:09:41.920 --> 00:09:43.840]   They was some bums, but you was going head dudes,
[00:09:43.840 --> 00:09:45.600]   and I think you were younger, and they was getting hot.
[00:09:45.600 --> 00:09:46.440]   - Yeah.
[00:09:46.440 --> 00:09:49.600]   - Yeah, y'all can look it up, Bones Island one-on-one.
[00:09:49.600 --> 00:09:51.360]   - I definitely know it was one you talking about, for sure.
[00:09:51.360 --> 00:09:53.120]   I just was watching it the other day.
[00:09:53.120 --> 00:09:54.720]   - But, like, how old were you during that?
[00:09:54.720 --> 00:09:56.200]   Like, was that, like, a normal thing
[00:09:56.200 --> 00:09:57.320]   for you to just go to the park
[00:09:57.320 --> 00:09:58.640]   and be playing one-on-one with dudes,
[00:09:58.640 --> 00:10:00.000]   and the cameras be out and all that?
[00:10:00.000 --> 00:10:02.800]   - Yeah, so, like, it's a big back story to that.
[00:10:02.800 --> 00:10:05.160]   So, you know, for everybody who don't know,
[00:10:05.160 --> 00:10:06.960]   this was a video that went viral.
[00:10:06.960 --> 00:10:08.760]   I was about 17 years old.
[00:10:08.760 --> 00:10:10.520]   But it's a league called Tech Rock League.
[00:10:10.520 --> 00:10:12.000]   It's a league that I played in growing up.
[00:10:12.000 --> 00:10:14.520]   A lot of, you know, kids went from Wilmington to Delaware,
[00:10:14.520 --> 00:10:17.360]   even, you know, Philadelphia area, you know, Tri-State area.
[00:10:17.360 --> 00:10:19.040]   A lot of people come down and play in the league.
[00:10:19.040 --> 00:10:21.840]   And, you know, it was one game that's going on,
[00:10:21.840 --> 00:10:23.160]   and we were waiting 'til it was done.
[00:10:23.160 --> 00:10:26.880]   And it was, like, me, it was, like, six other people,
[00:10:26.880 --> 00:10:29.920]   and it was the two owners that, you know,
[00:10:29.920 --> 00:10:32.040]   made the Tech Rock League up, you know?
[00:10:32.040 --> 00:10:34.920]   And, you know, we just conversating about basketball,
[00:10:34.920 --> 00:10:37.160]   you know, then they got to the comparison game.
[00:10:37.160 --> 00:10:38.440]   And I'm, like, I'm staying out of it.
[00:10:38.440 --> 00:10:39.280]   I ain't saying nothing.
[00:10:39.280 --> 00:10:40.120]   I ain't saying nothing.
[00:10:40.120 --> 00:10:41.760]   I'm staying out of it, you know?
[00:10:41.760 --> 00:10:44.160]   But then I got brought up, and I'm, like, nah.
[00:10:44.160 --> 00:10:47.080]   That's, like, hey, nah, y'all tripping.
[00:10:47.080 --> 00:10:48.600]   I'm not comparing to nobody.
[00:10:48.600 --> 00:10:50.880]   And they just kept saying, yeah, you know,
[00:10:50.880 --> 00:10:52.000]   I can beat him one-on-one.
[00:10:52.000 --> 00:10:53.680]   You know, I can beat, you know, Bones one-on-one,
[00:10:53.680 --> 00:10:54.520]   and da-da-da.
[00:10:54.520 --> 00:10:55.360]   And I'm, like, you tripping.
[00:10:55.360 --> 00:10:56.200]   It's a court right here.
[00:10:56.200 --> 00:10:57.640]   We can go check out right now.
[00:10:57.640 --> 00:10:59.200]   It's a court literally right here.
[00:10:59.200 --> 00:11:02.160]   We walked on the court, and the first guy, you know,
[00:11:02.160 --> 00:11:04.920]   I just feel like, you know, I don't know.
[00:11:04.920 --> 00:11:06.720]   I think it felt like his pride got in the way.
[00:11:06.720 --> 00:11:07.560]   - It did, it did.
[00:11:07.560 --> 00:11:08.400]   - He got in the way.
[00:11:08.400 --> 00:11:10.520]   - He was playing way, bro.
[00:11:10.520 --> 00:11:12.320]   - His pride got in the way too much.
[00:11:12.320 --> 00:11:15.520]   But the second guy, who was seven, though,
[00:11:15.520 --> 00:11:17.240]   his pride was way higher, though.
[00:11:17.240 --> 00:11:19.720]   Like, he knew, like, he just let the people
[00:11:19.720 --> 00:11:21.480]   where he was from, you know, he's from Philadelphia,
[00:11:21.480 --> 00:11:23.320]   but he let the people, like, get in his ear.
[00:11:23.320 --> 00:11:25.480]   Yeah, go out there and, you know, play and stuff.
[00:11:25.480 --> 00:11:26.320]   - He was trying to play it mad hard.
[00:11:26.320 --> 00:11:27.160]   - Mad hard.
[00:11:27.160 --> 00:11:28.160]   (laughing)
[00:11:28.160 --> 00:11:29.960]   And I'm, like, you know, it's not going to end
[00:11:29.960 --> 00:11:30.800]   how you want it to end.
[00:11:30.800 --> 00:11:31.960]   I'm just, like, nah.
[00:11:31.960 --> 00:11:33.320]   And I didn't even know that, like,
[00:11:33.320 --> 00:11:35.280]   this was going to be a viral video, though, bro.
[00:11:35.280 --> 00:11:36.920]   I was just going out there, just being myself,
[00:11:36.920 --> 00:11:38.480]   all the people around that was watching,
[00:11:38.480 --> 00:11:39.320]   everybody just being there.
[00:11:39.320 --> 00:11:42.600]   So, we didn't know that the guy who recorded the video,
[00:11:42.600 --> 00:11:43.640]   we didn't know he was going to drop it,
[00:11:43.640 --> 00:11:45.720]   or he was actually recording, you know?
[00:11:45.720 --> 00:11:47.800]   But it got so much attention and stuff.
[00:11:47.800 --> 00:11:49.840]   I'm, like, nah, he definitely going to drop this.
[00:11:49.840 --> 00:11:51.840]   And ever since then, that joint just blew up, bro.
[00:11:51.840 --> 00:11:52.680]   - That video is OD.
[00:11:52.680 --> 00:11:54.080]   - But you know what's crazy, though, bro?
[00:11:54.120 --> 00:11:56.040]   A lot of people, like, they, like,
[00:11:56.040 --> 00:11:58.520]   oh, that's the guy from the video that went viral.
[00:11:58.520 --> 00:11:59.760]   Like, they look at me now, like,
[00:11:59.760 --> 00:12:00.600]   wow, that's the guy from the video.
[00:12:00.600 --> 00:12:02.080]   - That's how viral that video is?
[00:12:02.080 --> 00:12:03.760]   - Yes, bro, like, to this day, like,
[00:12:03.760 --> 00:12:05.800]   that's the guy from the video that went viral.
[00:12:05.800 --> 00:12:07.600]   I'm, like, damn, they remember that video?
[00:12:07.600 --> 00:12:08.440]   That's crazy, bro.
[00:12:08.440 --> 00:12:10.200]   - Nah, it's a hilarious video, bro,
[00:12:10.200 --> 00:12:12.200]   'cause it's just like you now, like,
[00:12:12.200 --> 00:12:13.720]   the way you talking crazy to dudes.
[00:12:13.720 --> 00:12:17.720]   And they were so hot, like, they were so mad, bro.
[00:12:17.720 --> 00:12:18.560]   - They definitely was.
[00:12:18.560 --> 00:12:21.800]   - But nah, nah, back to the league, like,
[00:12:21.800 --> 00:12:26.000]   I was watching a podcast, I think it was Emmanuel Moutier
[00:12:26.000 --> 00:12:28.800]   on someone's podcast, and he was just talking about
[00:12:28.800 --> 00:12:31.240]   he lost his love for the game.
[00:12:31.240 --> 00:12:32.680]   And, like, you've always been, like,
[00:12:32.680 --> 00:12:33.920]   you can see in that video, you can see,
[00:12:33.920 --> 00:12:36.240]   even the way you hoop now, your love for the game.
[00:12:36.240 --> 00:12:37.800]   He was talking about he lost his love for the game
[00:12:37.800 --> 00:12:41.080]   because of how political the league is.
[00:12:41.080 --> 00:12:43.320]   He was like, I would be killing somebody
[00:12:43.320 --> 00:12:46.520]   in practice every day, but the coach tells me
[00:12:46.520 --> 00:12:49.560]   I'm not gonna play right now.
[00:12:49.560 --> 00:12:51.000]   And, like, obviously, we've talked about Tyloo.
[00:12:51.000 --> 00:12:53.840]   Tyloo's from Missouri, like, that's my guy.
[00:12:53.840 --> 00:12:57.120]   That's like, he's from 30 minutes down the street
[00:12:57.120 --> 00:12:59.640]   from where I'm from, and he's the most chillest dude ever.
[00:12:59.640 --> 00:13:00.480]   - Yeah, he is chill, for sure.
[00:13:00.480 --> 00:13:03.240]   - But do you feel like, not just in your situation,
[00:13:03.240 --> 00:13:05.400]   but now that you've been in the NBA,
[00:13:05.400 --> 00:13:07.360]   how political do you feel like it is?
