
[00:00:00.040 --> 00:00:10.680]   test
[00:05:24.020 --> 00:05:24.020]   I'm not sure if this is a good thing to do
[00:05:24.020 --> 00:05:24.020]   I'm not sure if this is a good thing to do
[00:05:24.020 --> 00:05:24.020]   I'm not sure if this is a good thing to do
[00:05:24.020 --> 00:05:24.020]   I'm not sure if this is a good thing to do
[00:05:24.020 --> 00:05:24.020]   I'm not sure if this is a good thing to do
[00:05:24.020 --> 00:05:24.020]   I'm not sure if this is a good thing to do
[00:05:24.020 --> 00:05:24.020]   I'm not sure if this is a good thing to do
[00:05:24.020 --> 00:05:54.040]   I'm not sure if this is a good thing to do
[00:05:54.040 --> 00:05:54.040]   I'm not sure if this is a good thing to do
[00:05:54.040 --> 00:05:54.040]   I'm not sure if this is a good thing to do
[00:05:54.040 --> 00:05:54.040]   I'm not sure if this is a good thing to do
[00:05:54.040 --> 00:05:54.040]   I'm not sure if this is a good thing to do
[00:05:54.040 --> 00:05:54.040]   I'm not sure if this is a good thing to do
[00:05:54.040 --> 00:05:54.040]   I'm not sure if this is a good thing to do
[00:05:54.040 --> 00:05:54.040]   I'm not sure if this is a good thing to do
[00:05:54.040 --> 00:05:54.040]   I'm not sure if this is a good thing to do
[00:05:54.060 --> 00:06:24.060]   I'm not sure if this is a good thing to do
[00:06:24.060 --> 00:06:24.060]   I'm not sure if this is a good thing to do
[00:06:24.060 --> 00:06:24.060]   I'm not sure if this is a good thing to do
[00:06:24.060 --> 00:06:24.060]   I'm not sure if this is a good thing to do
[00:06:24.060 --> 00:06:24.060]   I'm not sure if this is a good thing to do
[00:06:24.060 --> 00:06:24.060]   I'm not sure if this is a good thing to do
[00:06:24.060 --> 00:06:24.060]   I'm not sure if this is a good thing to do
[00:06:24.060 --> 00:06:24.060]   I'm not sure if this is a good thing to do
[00:06:24.060 --> 00:06:24.060]   I'm not sure if this is a good thing to do
[00:06:24.060 --> 00:06:24.060]   I'm not sure if this is a good thing to do
[00:06:24.060 --> 00:06:24.060]   I'm not sure if this is a good thing to do
[00:06:24.060 --> 00:06:24.060]   I'm not sure if this is a good thing to do
[00:06:24.060 --> 00:06:24.060]   I'm not sure if this is a good thing to do
[00:06:24.080 --> 00:06:54.080]   I'm not sure if this is a good thing to do
[00:06:54.080 --> 00:06:54.080]   I'm not sure if this is a good thing to do
[00:06:54.080 --> 00:06:54.080]   I'm not sure if this is a good thing to do
[00:06:54.080 --> 00:06:54.080]   I'm not sure if this is a good thing to do
[00:06:54.080 --> 00:06:54.080]   I'm not sure if this is a good thing to do
[00:06:54.080 --> 00:06:54.080]   I'm not sure if this is a good thing to do
[00:06:54.080 --> 00:06:54.080]   I'm not sure if this is a good thing to do
[00:06:54.080 --> 00:06:54.080]   I'm not sure if this is a good thing to do
[00:06:54.080 --> 00:06:54.080]   I'm not sure if this is a good thing to do
[00:06:54.080 --> 00:06:54.080]   I'm not sure if this is a good thing to do
[00:06:54.080 --> 00:06:54.080]   I'm not sure if this is a good thing to do
[00:06:54.120 --> 00:07:24.100]  ,
[00:07:24.100 --> 00:07:24.100]   I'm not sure if this is a good thing to do
[00:07:24.100 --> 00:07:24.100]   I'm not sure if this is a good thing to do
[00:07:24.100 --> 00:07:24.100]   I'm not sure if this is a good thing to do
[00:07:24.100 --> 00:07:24.100]   I'm not sure if this is a good thing to do
[00:07:24.100 --> 00:07:24.100]   I'm not sure if this is a good thing to do
[00:07:24.100 --> 00:07:24.100]   I'm not sure if this is a good thing to do
[00:07:24.100 --> 00:07:24.100]   I'm not sure if this is a good thing to do
[00:07:24.100 --> 00:07:24.100]   I'm not sure if this is a good thing to do
[00:07:24.100 --> 00:07:24.100]   I'm not sure if this is a good thing to do
[00:07:24.100 --> 00:07:24.100]   I'm not sure if this is a good thing to do
[00:07:24.100 --> 00:07:24.100]   I'm not sure if this is a good thing to do
[00:07:24.100 --> 00:07:24.100]   I'm not sure if this is a good thing to do
[00:07:24.120 --> 00:07:54.120]   I'm not sure if this is a good thing to do
[00:07:54.120 --> 00:07:54.120]   I'm not sure if this is a good thing to do
[00:07:54.120 --> 00:07:54.120]   I'm not sure if this is a good thing to do
[00:07:54.120 --> 00:07:54.120]   I'm not sure if this is a good thing to do
[00:07:54.120 --> 00:07:54.120]   I'm not sure if this is a good thing to do
[00:07:54.120 --> 00:07:54.120]   I'm not sure if this is a good thing to do
[00:07:54.120 --> 00:07:54.120]   I'm not sure if this is a good thing to do
[00:07:54.120 --> 00:07:54.120]   I'm not sure if this is a good thing to do
[00:07:54.120 --> 00:07:54.120]   I'm not sure if this is a good thing to do
[00:07:54.120 --> 00:07:54.120]   I'm not sure if this is a good thing to do
[00:07:54.120 --> 00:07:54.120]   I'm not sure if this is a good thing to do
[00:07:54.120 --> 00:07:54.120]   I'm not sure if this is a good thing to do
[00:07:54.120 --> 00:07:54.120]   I'm not sure if this is a good thing to do
[00:07:54.120 --> 00:07:54.120]   I'm not sure if this is a good thing to do
[00:07:54.120 --> 00:07:54.120]   I'm not sure if this is a good thing to do
[00:07:54.120 --> 00:08:24.140]   I'm not sure if this is a good thing to do
[00:08:24.140 --> 00:08:24.140]   I'm not sure if this is a good thing to do
[00:08:24.140 --> 00:08:24.140]   I'm not sure if this is a good thing to do
[00:08:24.140 --> 00:08:24.140]   I'm not sure if this is a good thing to do
[00:08:24.140 --> 00:08:24.140]   I'm not sure if this is a good thing to do
[00:08:24.140 --> 00:08:24.140]   I'm not sure if this is a good thing to do
[00:08:24.140 --> 00:08:24.140]   I'm not sure if this is a good thing to do
[00:08:24.140 --> 00:08:24.140]   I'm not sure if this is a good thing to do
[00:08:24.140 --> 00:08:24.140]   I'm not sure if this is a good thing to do
[00:08:24.140 --> 00:08:24.140]   I'm not sure if this is a good thing to do
[00:08:24.140 --> 00:08:24.140]   I'm not sure if this is a good thing to do
[00:08:24.180 --> 00:08:54.160]  werted.com
[00:08:54.160 --> 00:08:54.160]   I'm not sure if this is a good thing to do
[00:08:54.160 --> 00:08:54.160]   I'm not sure if this is a good thing to do
[00:08:54.160 --> 00:08:54.160]   I'm not sure if this is a good thing to do
[00:08:54.160 --> 00:08:54.160]   I'm not sure if this is a good thing to do
[00:08:54.160 --> 00:08:54.160]   I'm not sure if this is a good thing to do
[00:08:54.160 --> 00:08:54.160]   I'm not sure if this is a good thing to do
[00:08:54.160 --> 00:08:54.160]   I'm not sure if this is a good thing to do
[00:08:54.160 --> 00:08:54.160]   I'm not sure if this is a good thing to do
[00:08:54.160 --> 00:08:54.160]   I'm not sure if this is a good thing to do
[00:08:54.160 --> 00:08:54.160]   I'm not sure if this is a good thing to do
[00:08:54.160 --> 00:08:54.160]   I'm not sure if this is a good thing to do
[00:08:54.160 --> 00:08:54.160]   I'm not sure if this is a good thing to do
[00:08:54.160 --> 00:08:54.160]   I'm not sure if this is a good thing to do
[00:08:54.160 --> 00:08:54.160]   I'm not sure if this is a good thing to do
[00:08:54.160 --> 00:08:54.160]   I'm not sure if this is a good thing to do
[00:08:54.160 --> 00:09:24.180]   I'm not sure if this is a good thing to do
[00:09:24.180 --> 00:09:24.180]   I'm not sure if this is a good thing to do
[00:09:24.180 --> 00:09:24.180]   I'm not sure if this is a good thing to do
[00:09:24.180 --> 00:09:24.180]   I'm not sure if this is a good thing to do
[00:09:24.180 --> 00:09:24.180]   I'm not sure if this is a good thing to do
[00:09:24.180 --> 00:09:24.180]   I'm not sure if this is a good thing to do
[00:09:24.180 --> 00:09:24.180]   I'm not sure if this is a good thing to do
[00:09:24.180 --> 00:09:24.180]   I'm not sure if this is a good thing to do
[00:09:24.180 --> 00:09:24.180]   I'm not sure if this is a good thing to do
[00:09:24.180 --> 00:09:24.180]   I'm not sure if this is a good thing to do
[00:09:24.180 --> 00:09:24.180]   I'm not sure if this is a good thing to do
[00:09:24.200 --> 00:09:54.200]   I'm not sure if this is a good thing to do
[00:09:54.200 --> 00:09:54.200]   I'm not sure if this is a good thing to do
[00:09:54.200 --> 00:09:54.200]   I'm not sure if this is a good thing to do
[00:09:54.200 --> 00:09:54.200]   I'm not sure if this is a good thing to do
[00:09:54.200 --> 00:09:54.200]   I'm not sure if this is a good thing to do
[00:09:54.200 --> 00:09:54.200]   I'm not sure if this is a good thing to do
[00:09:54.200 --> 00:09:54.200]   I'm not sure if this is a good thing to do
[00:09:54.200 --> 00:09:54.200]   I'm not sure if this is a good thing to do
[00:09:54.200 --> 00:09:54.200]   I'm not sure if this is a good thing to do
[00:09:54.200 --> 00:09:54.200]   I'm not sure if this is a good thing to do
[00:09:54.200 --> 00:09:54.200]   I'm not sure if this is a good thing to do
[00:09:54.200 --> 00:09:54.200]   I'm not sure if this is a good thing to do
[00:09:54.200 --> 00:09:54.200]   I'm not sure if this is a good thing to do
[00:09:54.200 --> 00:09:54.200]   I'm not sure if this is a good thing to do
[00:09:54.200 --> 00:09:54.200]   I'm not sure if this is a good thing to do
[00:09:54.220 --> 00:10:20.320]   I'm not sure if this is a good thing to do
[00:10:20.320 --> 00:10:20.380]   I'm not sure if this is a good thing to do
[00:10:20.380 --> 00:10:20.400]   I'm not sure if this is a good thing to do
[00:10:20.400 --> 00:10:20.420]   I'm not sure if this is a good thing to do
[00:10:20.420 --> 00:10:20.440]   I'm not sure if this is a good thing to do
[00:10:20.440 --> 00:10:20.480]   I'm not sure if this is a good thing to do
[00:10:20.480 --> 00:10:20.520]   I'm not sure if this is a good thing to do
[00:10:20.520 --> 00:10:20.540]   I'm not sure if this is a good thing to do
[00:10:20.540 --> 00:10:20.600]   I'm not sure if this is a good thing to do
[00:10:20.600 --> 00:10:20.660]   I'm not sure if this is a good thing to do
[00:10:20.660 --> 00:10:20.700]   I'm not sure if this is a good thing to do
[00:10:20.700 --> 00:10:20.720]   I'm not sure if this is a good thing to do
[00:10:20.720 --> 00:10:20.780]   I'm not sure if this is a good thing to do
[00:10:20.780 --> 00:10:20.800]   I'm not sure if this is a good thing to do
[00:10:20.800 --> 00:10:20.820]   I'm not sure if this is a good thing to do
[00:10:20.820 --> 00:10:50.840]  ,,,,,,
[00:10:50.840 --> 00:10:50.840]   I'm not sure if this is a good thing to do
[00:10:50.840 --> 00:10:50.840]   I'm not sure if this is a good thing to do
[00:10:50.840 --> 00:10:50.840]   I'm not sure if this is a good thing to do
[00:10:50.840 --> 00:10:50.840]   I'm not sure if this is a good thing to do
[00:10:50.840 --> 00:10:50.840]   I'm not sure if this is a good thing to do
[00:10:50.840 --> 00:10:50.840]   I'm not sure if this is a good thing to do
[00:10:50.840 --> 00:10:50.840]   I'm not sure if this is a good thing to do
[00:10:50.840 --> 00:10:50.840]   I'm not sure if this is a good thing to do
[00:10:50.840 --> 00:10:50.840]   I'm not sure if this is a good thing to do
[00:10:50.840 --> 00:10:50.840]   I'm not sure if this is a good thing to do
[00:10:50.880 --> 00:11:20.860]  punk, but I think it's a good thing to do.
[00:11:20.860 --> 00:11:20.860]   HONESTLY, I DON'T THINK THIS IS A GOOD THING TO DO
[00:11:20.860 --> 00:11:20.860]   HONESTLY, I DON'T THINK THIS IS A GOOD THING TO DO
[00:11:20.860 --> 00:11:20.860]   HONESTLY, I DON'T THINK THIS IS A GOOD THING TO DO
[00:11:20.860 --> 00:11:20.860]   HONESTLY, I DON'T THINK THIS IS A GOOD THING TO DO
[00:11:20.860 --> 00:11:20.860]   HONESTLY, I DON'T THINK THIS IS A GOOD THING TO DO
[00:11:20.860 --> 00:11:20.860]   HONESTLY, I DON'T THINK THIS IS A GOOD THING TO DO
[00:11:20.860 --> 00:11:20.860]   HONESTLY, I DON'T THINK THIS IS A GOOD THING TO DO
[00:11:20.860 --> 00:11:20.860]   HONESTLY, I DON'T THINK THIS IS A GOOD THING TO DO
[00:11:20.860 --> 00:11:20.860]   HONESTLY, I DON'T THINK THIS IS A GOOD THING TO DO
[00:11:50.880 --> 00:11:50.880]   HONESTLY, I DON'T THINK THIS IS A GOOD THING TO DO
[00:11:50.880 --> 00:11:50.880]   HONESTLY, I DON'T THINK THIS IS A GOOD THING TO DO
[00:11:50.880 --> 00:11:50.880]   HONESTLY, I DON'T THINK THIS IS A GOOD THING TO DO
[00:11:50.880 --> 00:11:50.880]   HONESTLY, I DON'T THINK THIS IS A GOOD THING TO DO
[00:11:50.880 --> 00:11:50.880]   HONESTLY, I DON'T THINK THIS IS A GOOD THING TO DO
[00:11:50.880 --> 00:11:50.880]   HONESTLY, I DON'T THINK THIS IS A GOOD THING TO DO
[00:11:50.880 --> 00:11:50.880]   HONESTLY, I DON'T THINK THIS IS A GOOD THING TO DO
[00:11:50.880 --> 00:11:50.880]   HONESTLY, I DON'T THINK THIS IS A GOOD THING TO DO
[00:12:03.280 --> 00:12:20.900]   HONESTLY, I DON'T THINK THIS IS A GOOD THING TO DO
[00:12:20.900 --> 00:12:20.900]   HONESTLY, I DON'T THINK THIS IS A GOOD THING TO DO
[00:12:20.900 --> 00:12:20.900]   HONESTLY, I DON'T THINK THIS IS A GOOD THING TO DO
[00:12:20.900 --> 00:12:20.900]   HONESTLY, I DON'T THINK THIS IS A GOOD THING TO DO
[00:12:20.900 --> 00:12:20.900]   HONESTLY, I DON'T THINK THIS IS A GOOD THING TO DO
[00:12:20.900 --> 00:12:20.900]   HONESTLY, I DON'T THINK THIS IS A GOOD THING TO DO
[00:12:20.900 --> 00:12:20.900]   HONESTLY, I DON'T THINK THIS IS A GOOD THING TO DO
[00:12:20.900 --> 00:12:20.900]   HONESTLY, I DON'T THINK THIS IS A GOOD THING TO DO
[00:12:20.900 --> 00:12:20.900]   HONESTly, I DON't think this is a good thing to do, but it's a good thing to do.
[00:12:20.900 --> 00:12:20.900]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:12:20.940 --> 00:12:50.920]  ,
[00:12:50.940 --> 00:13:20.940]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do, but it's a good thing to do.
[00:13:20.940 --> 00:13:20.940]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do, but it's a good thing to do, but it's a good thing to do.
[00:13:20.940 --> 00:13:20.940]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do, but it's a good thing to do.
[00:13:20.940 --> 00:13:20.940]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do, but it's a good thing to do.
[00:13:20.940 --> 00:13:20.940]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do, but it's a good thing to do.
[00:13:20.960 --> 00:13:50.960]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do, but it's a good thing to do, but it's a good thing to do.
[00:13:50.960 --> 00:13:50.960]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do, but it's a good thing to do.
[00:13:50.960 --> 00:13:50.960]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do, but it's a good thing to do.
[00:13:50.960 --> 00:13:50.960]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do, but it's a good thing to do.
[00:13:50.960 --> 00:13:50.960]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do, but it's a good thing to do.
[00:13:50.980 --> 00:14:20.980]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do, but it's a good thing to do, but it's a good thing to do.
[00:14:20.980 --> 00:14:20.980]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do, but it's a good thing to do.
[00:14:20.980 --> 00:14:20.980]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do, but it's a good thing to do.
[00:14:20.980 --> 00:14:20.980]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do, but it's a good thing to do.
[00:14:20.980 --> 00:14:20.980]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:14:20.980 --> 00:14:20.980]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:14:21.000 --> 00:14:51.000]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do, but it's a good thing to do.
[00:14:51.000 --> 00:14:51.000]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:14:51.000 --> 00:14:51.000]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:14:51.000 --> 00:14:51.000]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:14:51.000 --> 00:14:51.000]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:14:51.000 --> 00:14:51.000]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:14:51.000 --> 00:14:51.000]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:14:51.020 --> 00:15:21.020]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:15:21.020 --> 00:15:21.020]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:15:21.020 --> 00:15:21.020]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:15:21.020 --> 00:15:21.020]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:15:21.020 --> 00:15:21.020]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:15:21.020 --> 00:15:21.020]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:15:21.020 --> 00:15:21.020]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:15:21.040 --> 00:15:51.040]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:15:51.040 --> 00:15:51.040]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:15:51.040 --> 00:15:51.040]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:15:51.040 --> 00:15:51.040]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:15:51.040 --> 00:15:51.040]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:15:51.040 --> 00:15:51.040]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:15:51.040 --> 00:15:51.040]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:15:51.060 --> 00:16:21.060]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:16:21.060 --> 00:16:21.060]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:16:21.060 --> 00:16:21.060]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:16:21.060 --> 00:16:21.060]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:16:21.060 --> 00:16:21.060]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:16:21.060 --> 00:16:21.060]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:16:21.060 --> 00:16:21.060]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:16:21.100 --> 00:16:51.080]  ,
[00:16:51.080 --> 00:16:51.080]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:16:51.080 --> 00:16:51.080]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:16:51.080 --> 00:16:51.080]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:16:51.080 --> 00:16:51.080]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:16:51.080 --> 00:16:51.080]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:16:51.080 --> 00:16:51.080]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:16:51.100 --> 00:17:21.100]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:17:21.100 --> 00:17:21.100]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:17:21.100 --> 00:17:21.100]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:17:21.100 --> 00:17:21.100]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:17:21.100 --> 00:17:21.100]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:17:21.100 --> 00:17:21.100]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:17:21.100 --> 00:17:21.100]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:17:21.120 --> 00:17:51.120]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:17:51.120 --> 00:17:51.120]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:17:51.120 --> 00:17:51.120]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:17:51.120 --> 00:17:51.120]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:17:51.120 --> 00:17:51.120]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:17:51.120 --> 00:17:51.120]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:17:51.120 --> 00:17:51.120]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:17:51.160 --> 00:18:21.140]  ,
[00:18:21.140 --> 00:18:21.140]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:18:21.140 --> 00:18:21.140]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:18:21.140 --> 00:18:21.140]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:18:21.140 --> 00:18:21.140]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:18:21.140 --> 00:18:21.140]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:18:21.140 --> 00:18:21.140]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:18:21.140 --> 00:18:21.140]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do, but it's a good thing to do.
[00:18:21.160 --> 00:18:51.160]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:18:51.160 --> 00:18:51.160]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:18:51.160 --> 00:18:51.160]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:18:51.160 --> 00:18:51.160]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:18:51.160 --> 00:18:51.160]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:18:51.160 --> 00:18:51.160]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:18:51.160 --> 00:18:51.160]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:18:51.180 --> 00:19:21.180]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:19:21.180 --> 00:19:21.180]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:19:21.180 --> 00:19:21.180]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:19:21.180 --> 00:19:21.180]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:19:21.180 --> 00:19:21.180]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:19:21.180 --> 00:19:21.180]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:19:21.180 --> 00:19:21.180]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:19:21.200 --> 00:19:51.200]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:19:51.200 --> 00:19:51.200]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:19:51.200 --> 00:19:51.200]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:19:51.200 --> 00:19:51.200]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:19:51.200 --> 00:19:51.200]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:19:51.200 --> 00:19:51.200]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:19:51.200 --> 00:19:51.200]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:19:51.220 --> 00:20:21.220]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:20:21.220 --> 00:20:21.220]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:20:21.220 --> 00:20:21.220]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:20:21.220 --> 00:20:21.220]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:20:21.220 --> 00:20:21.220]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:20:21.220 --> 00:20:21.220]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:20:21.220 --> 00:20:51.240]  ,
[00:20:51.240 --> 00:20:51.240]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:20:51.240 --> 00:20:51.240]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:20:51.240 --> 00:20:51.240]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:20:51.240 --> 00:20:51.240]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:20:51.240 --> 00:20:51.240]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:20:51.240 --> 00:20:51.240]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:20:51.240 --> 00:20:51.240]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:20:51.260 --> 00:21:21.260]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:21:21.260 --> 00:21:21.260]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:21:21.260 --> 00:21:21.260]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:21:21.260 --> 00:21:21.260]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:21:21.260 --> 00:21:21.260]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:21:21.260 --> 00:21:21.260]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:21:21.260 --> 00:21:21.260]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
[00:21:21.280 --> 00:21:51.280]   HONESTly, I don't think this is a good thing to do, but it's a good thing to do.
