
[00:00:00.000 --> 00:00:29.000]   [no sound]
[00:17:02.000 --> 00:17:11.000]   And then I can index into it. This is just Python slicing. So one of the requirements as part of Fastbook is that you understand basic Python.
[00:17:11.000 --> 00:17:19.000]   And then in an array, I can just use Python indexing, which means this will display the rows four to 10 and this will display the columns four to 10.
[00:17:19.000 --> 00:17:25.000]   And as you can see, this number three inside, if you convert it to an array, is just numbers.
[00:17:25.000 --> 00:17:33.000]   So this is what a number three would look like. So if number three will just be numbers, that's how.
[00:17:33.000 --> 00:17:42.000]   So these will be zeros, zeros or just some numbers. But inside, it's just a 2D array that looks something like this.
[00:17:42.000 --> 00:17:49.000]   I can also convert it to a tensor instead of converting it to a NumPy array. So this is then using PyTorch.
[00:17:49.000 --> 00:17:56.000]   So if I convert it to PyTorch, then this is basically the same thing.
[00:17:56.000 --> 00:18:01.000]   So PyTorch tensors and NumPy arrays are in most ways very similar.
[00:18:01.000 --> 00:18:07.000]   But again, PyTorch tensors add some extra functionality that we'll look at later.
[00:18:07.000 --> 00:18:18.000]   So then just to see, as I said, just to see that this whole image is basically a list of numbers inside in a computer,
[00:18:18.000 --> 00:18:24.000]   then what we can do is we can just index into it.
[00:18:24.000 --> 00:18:29.000]   So we can just select some rows. We can convert it to a pandas data frame.
[00:18:29.000 --> 00:18:33.000]   So if you don't know what pd.dataframe is, it's a library called pandas.
[00:18:33.000 --> 00:18:38.000]   Please have a look. And we can convert it into a pandas data frame and then we can color code it.
[00:18:38.000 --> 00:18:49.000]   So the one thing that you must realize by looking at this image is that the lighter pixels or the ones that display as white have values close to zero.
[00:18:49.000 --> 00:18:54.000]   And then the ones that display as black would have higher values like 255.
[00:18:54.000 --> 00:19:05.000]   So 255, 245 is also showing as black, but basically then the higher the value of the number, the more basically it's going to be black, closer to black.
[00:19:05.000 --> 00:19:10.000]   And then the lower the value of the number, it's going to be closer to white.
[00:19:10.000 --> 00:19:20.000]   So this is what has been written here as well, that white pixels are stored as the number zero, black is stored as number 255, and then shades of gray are between the two.
[00:19:20.000 --> 00:19:29.000]   So if you have something like this, 111. So 111 is a shade of gray because it's between white and black.
[00:19:29.000 --> 00:19:40.000]   Okay, so that's just the basics. So the basics so far what we've learned is that the only thing that we have learned so far is that image is a number.
[00:19:40.000 --> 00:19:49.000]   That's all that we need to know. And then 255 is black, zero is white.
[00:19:49.000 --> 00:20:00.000]   Cool. And then the next thing we want to do is we're going to, the goal that, let's not forget the goal, our goal is to create a model that can recognize threes from sevens.
[00:20:00.000 --> 00:20:18.000]   So at this stage, there's an exercise of stop and think. I will actually give you guys two minutes to, now that you know that this is how an image looks like, so a three would pretty much look like that, where these would be all the black numbers and a seven would look like that.
[00:20:18.000 --> 00:20:29.000]   And you think of ways, a very basic way where you can sort of differentiate these numbers from one another. So I'll maybe just wait two minutes and I'll go to that.
[00:20:29.000 --> 00:20:36.000]   I'll go over here.
[00:20:36.000 --> 00:20:46.000]   That's a good point. Thanks, Alan. Actually, I was also confused by that fact that in an image, 255 is white and zero is black, but it seemed odd.
[00:20:46.000 --> 00:21:00.000]   So I'll get back to this. It's a good point that's been raised, but let's not worry about this right now. Let's go with what the book has written and let's just say that shades of black are by a high number, just because we color coding,
[00:21:00.000 --> 00:21:04.000]   when we color coding in a pandas data frame, then let's just go with that.
[00:21:04.000 --> 00:21:12.000]   So let's not worry about this comment right now.
[00:21:12.000 --> 00:21:30.000]   So does anybody know of a comment or can anybody come up with a very basic example on how you can classify just numbers from one another?
[00:21:30.000 --> 00:21:36.000]   That's a good point. Three is more likely to have curves, seven is a sharp angle and a straight line component.
[00:21:36.000 --> 00:21:49.000]   But then if you think of it in terms of numbers, it's going to be, I mean, in terms of numbers, then how do you take this property and then how do you build a basic classifier that can take these numbers?
[00:21:49.000 --> 00:22:02.000]   It's just like a computer doesn't know if it's a sharp or it is curvy. A computer just knows that this image has these numbers at this particular spot and the other image has these numbers at the other particular spot.
[00:22:02.000 --> 00:22:08.000]   But that's a good, let's go with that. Let's go with what Christian's written.
[00:22:08.000 --> 00:22:13.000]   So three is basically more curvy and seven is a straight line component.
[00:22:13.000 --> 00:22:18.000]   But if you think of this, three has more pixels, three would have more pixels in an image.
[00:22:18.000 --> 00:22:24.000]   So three would have more black pixels as compared to seven because it covers more area.
[00:22:24.000 --> 00:22:35.000]   So what that means is then in a way, if I take the average of pixels for this image three, the average of pixels for three is going to be sort of higher.
[00:22:35.000 --> 00:22:46.000]   I'm just using standard math. So if there's more numbers that are closer to 255 in the digit three and there's less numbers that are closer to 255 in digit seven,
[00:22:46.000 --> 00:22:57.000]   then that basically means that the average, if I take the average of this whole array, then the average for digit three is going to be a bit higher than the average for digit seven.
[00:22:57.000 --> 00:23:07.000]   So that's something, I'm just going forward with this idea, that's something that's been presented as a baseline in this book, in Fastbook.
[00:23:07.000 --> 00:23:15.000]   So all this says, here is the first idea, how about we find the average pixel value for every pixel of threes and then we do the same for sevens.
[00:23:15.000 --> 00:23:26.000]   This will give us two group averages. And then when there's a new image, then we can check which group is closer to that new image.
[00:23:26.000 --> 00:23:34.000]   That's okay if it doesn't make sense, but as we go down into this book, this will be explained a lot more.
[00:23:34.000 --> 00:23:45.000]   So I can get all my images of basically sevens as seven tensors. All I can say is tensor for O in seven.
[00:23:45.000 --> 00:23:52.000]   So this is something called a list comprehension. Let me show you what a list comprehension is just quickly.
[00:23:52.000 --> 00:24:05.000]   So if I have a list, which looks like this, then I could just say X plus one for X in O.
[00:24:05.000 --> 00:24:19.000]   That will return another list. So this is just another way of creating a, instead of going something like for X in O and then X plus one gets appended to another list,
[00:24:19.000 --> 00:24:27.000]   I could have done this this way. So my L2 looks like this. And then L2 dot append X plus one.
[00:24:27.000 --> 00:24:37.000]   That's just one way of doing this. But in Python, a much faster way of doing it is just saying X plus one for X in O, which gives us the same results.
[00:24:37.000 --> 00:24:43.000]   Then it's either you go this long way or then Python makes it really easy just using list comprehensions.
[00:24:43.000 --> 00:24:51.000]   The second method is actually much faster and easier. So that's what we're using. We're just using list comprehensions here.
[00:24:51.000 --> 00:25:02.000]   So we can iterate over all the parts in sevens. Then we can open that image, convert each part into a tensor, and then we get a list of tensors.
[00:25:02.000 --> 00:25:08.000]   So tensor one, tensor two, tensor four, however many we have. Same thing we do for the threes.
[00:25:08.000 --> 00:25:20.000]   So we get tensor one, two, however many you have. But each tensor is just basically corresponds to a particular part.
[00:25:20.000 --> 00:25:32.000]   Now that this thing has been converted into a tensor, actually, let me also show you in code and how this looks like.
[00:25:32.000 --> 00:25:54.000]   So see how the seven tensors is now a list and it has a length of that's how many parts we had in sevens.
[00:25:54.000 --> 00:26:05.000]   So if I have a look at sevens, sevens has six, two, six, five parts. So this way I just can see that my seven tensors is basically six, two, six, five tensors.
[00:26:05.000 --> 00:26:19.000]   How do I know that inside this each tensor I can just index into one and you can see how the first element is now a tensor instead of it being an image.
[00:26:19.000 --> 00:26:28.000]   The reason why I'm showing these sort of things is when you're trying these things on your own at your own time and you have questions like,
[00:26:28.000 --> 00:26:35.000]   okay, what is this list comprehension, try and break that down into smaller things and then you'll be able to understand the code a lot better.
[00:26:35.000 --> 00:26:39.000]   At least that's something I do to understand code.
[00:26:39.000 --> 00:26:47.000]   So then so I can just show my image because now it's a tensor and I'm going to show the tensor.
[00:26:47.000 --> 00:26:56.000]   I'm going to use the fast.ai show image that looks like this. So you can see that that tensor actually represents the digit three.
[00:26:56.000 --> 00:27:00.000]   The next thing is, as I said, we want to be able to take the mean or we're going to be taking the average.
[00:27:00.000 --> 00:27:05.000]   So we're going to take group average. In Python, if you're in Python, you're going to take group average.
[00:27:05.000 --> 00:27:12.000]   We need to convert integers to float types. So I can stack all my seven tensors and three tensors.
[00:27:12.000 --> 00:27:19.000]   Remember that right now this is a list that looks like T1, T2, so on. It's not a single tensor.
[00:27:19.000 --> 00:27:25.000]   So what we're doing by saying torch.stack is it will convert this list into a tensor.
[00:27:25.000 --> 00:27:32.000]   So then that tensor will have a size of 6131 by 28 by 28.
[00:27:32.000 --> 00:27:39.000]   So that's just basically we're converting because now this is a list of 2D tensors.
[00:27:39.000 --> 00:27:44.000]   So what I mean by 2D tensors. So this seven tensor. So let me show you.
[00:27:44.000 --> 00:27:53.000]   Actually, it's much easier to show it in code. So as I said, my seven tensors.
[00:27:53.000 --> 00:27:58.000]   If I go into the zeroth element and I check the shape of it, it's a 28 by 28.
[00:27:58.000 --> 00:28:11.000]   Basically, it has a width of 28. It has a height of 28. So that means that this is a 2D tensor.
[00:28:11.000 --> 00:28:17.000]   Sorry, I've lost it. Here it is. So that means that this is a 2D tensor.
[00:28:17.000 --> 00:28:32.000]   And then when I say stack, all I'm saying is. So we had.
[00:28:32.000 --> 00:28:39.000]   We had 6265 2D tensors, each of which had a shape and basically a height and width of 28 by 28.
[00:28:39.000 --> 00:28:45.000]   If I say torch dot stack, it will convert this whole list of 2D tensors into a single tensor,
[00:28:45.000 --> 00:28:52.000]   which is now a 3D tensor where my first number is just saying, OK, the 6265 element.
[00:28:52.000 --> 00:28:56.000]   So that's how many we have. So I can just say stack seven.
[00:28:56.000 --> 00:29:09.000]   I can do the same thing for threes. And in that case, I get again a 3D tensor that looks something like this.
[00:29:09.000 --> 00:29:13.000]   So when I'm calling it a 3D tensor, I can also say something like a rank.
[00:29:13.000 --> 00:29:23.000]   I can also say something like a rank three tensor. So if you have a look at the number or if you have a look at the length of however many there are.
[00:29:23.000 --> 00:29:28.000]   So because this shape has three elements in it, that means it has three axis.
[00:29:28.000 --> 00:29:35.000]   That just means that this is a rank three tensor. Rank three tensor.
[00:29:35.000 --> 00:29:40.000]   These are just the PyTorch basics. Like right now, we're not really learning.
[00:29:40.000 --> 00:29:51.000]   We're not really learning more about deep learning, but this is just a sort of a background and just sort of an introduction to PyTorch and NumPy arrays and tensors.
[00:29:51.000 --> 00:29:56.000]   But spend more time with PyTorch and everything over here that's been written will make more sense.
[00:29:56.000 --> 00:30:02.000]   So rank is just a jargon. It's just the number of axes or dimensions that are there in a tensor.
[00:30:02.000 --> 00:30:08.000]   So if it's three dimensions, then that means it's a rank three tensor.
[00:30:08.000 --> 00:30:12.000]   PyTorch also has this function called endim that can give us the rank directly.
[00:30:12.000 --> 00:30:19.000]   So then the rank is three. OK. So then the next thing I do, as I said, now,
[00:30:19.000 --> 00:30:24.000]   each. So I had my let's say these are my threes.
[00:30:24.000 --> 00:30:34.000]   So each three tensor was a 28 by 28. And what I did, I took all of them.
[00:30:34.000 --> 00:30:40.000]   And I converted that into a 3D tensor, which looks something like this. So this is again, 28 by 28.
[00:30:40.000 --> 00:30:50.000]   So the length of this is I think it's like 6125. So then this threes is 6125 by 28 by 28.
[00:30:50.000 --> 00:30:57.000]   That's just how this threes tensors look like. Same for seven. So each seven tensor is again, 28 by 28.
[00:30:57.000 --> 00:31:04.000]   And it's been converted into, I think it's like 6300. So it's 6300 by 28 by 28.
[00:31:04.000 --> 00:31:12.000]   So that's the sevens. Then what I can do is I can all I need to do is I just need to take the average of the pixels.
[00:31:12.000 --> 00:31:18.000]   So all the pixels that are here, all I need is I just need number. I just need the average on what this average is going to look like.
[00:31:18.000 --> 00:31:26.000]   So I can just say. Please give me a mean and then I can if I look at that image,
[00:31:26.000 --> 00:31:34.000]   then this is how the averaged seven would look like. Same thing for three. I can just say.
[00:31:34.000 --> 00:31:40.000]   Sorry, that's just the first three. I can take the average. Here it is.
[00:31:40.000 --> 00:31:45.000]   Here's my stack three. I can just take the mean and that will show me my average three.
[00:31:45.000 --> 00:31:52.000]   So all I've done is I've taken all the images of number three and I've just taken the average.
[00:31:52.000 --> 00:31:57.000]   So when I take the average, I can just say, OK, this is how the averaged image looks like.
[00:31:57.000 --> 00:32:08.000]   So this is my ideal version of three. So any new image, if it if it looks closer to this or it has a closer association with this group average,
[00:32:08.000 --> 00:32:12.000]   then that new number is going to be a three. Same thing for seven.
[00:32:12.000 --> 00:32:17.000]   So if this is how the ideal seven looks like when I have a new number, I can just check.
[00:32:17.000 --> 00:32:28.000]   OK, is it closer to this image or is it closer to this image? Then I can just find out if my new number is a three or a seven.
[00:32:28.000 --> 00:32:38.000]   So that's that's what they're saying, basically, in the book, that's that's just what's being written so far is like now that we know that my ideal seven,
[00:32:38.000 --> 00:32:45.000]   like if I want to this is how a seven would look like. And now that I know this is what a three would look like.
[00:32:45.000 --> 00:32:49.000]   If I have a new image, then how do I know if it's going to be a three or seven?
[00:32:49.000 --> 00:32:55.000]   So to explain that even better. I know that my three looks like this.
[00:32:55.000 --> 00:33:01.000]   I know that my seven looks like that. Sorry, it doesn't have that. It just looks like this.
[00:33:01.000 --> 00:33:05.000]   So that's my three. That's my seven. And let's say I have a new image.
[00:33:05.000 --> 00:33:14.000]   So that looks something like this. Then I need to know if this new image, is it closer to this group average or is it closer to this group average?
[00:33:14.000 --> 00:33:20.000]   If I take this, this is going to be a 28 by 28 length tensor as well.
[00:33:20.000 --> 00:33:27.000]   So I need to know are these pixels, are they closer to this group average or are they closer to this group average?
[00:33:27.000 --> 00:33:35.000]   And then how can we know that? Like, what's the best way to know if this new image is closer to this group or that group?
[00:33:35.000 --> 00:33:41.000]   The easiest way is to take the mean of absolute value differences.
[00:33:41.000 --> 00:33:47.000]   So what does that mean?
[00:33:47.000 --> 00:33:51.000]   This image three looks something like this, right?
[00:33:51.000 --> 00:34:02.000]   It has values 0, 0, 200, 250, 255 and so on.
[00:34:02.000 --> 00:34:15.000]   Then when I have my new number three, this would also have values in it. 0, 0, 220, 225 and so on.
[00:34:15.000 --> 00:34:27.000]   And then a seven would have values 255, 255, 0, 0. Just some random numbers.
[00:34:27.000 --> 00:34:35.000]   This is what the average would look like. So then this represents the group of threes, this represents the group of sevens.
[00:34:35.000 --> 00:34:42.000]   And this is my new image that looks like this, right? Remember each image internally is just a number.
[00:34:42.000 --> 00:34:52.000]   So then what I can do is I can take this pixel, I can check the difference between this pixel and this pixel, this pixel and this pixel and each single pixel.
[00:34:52.000 --> 00:35:07.000]   If I have a difference vector with threes, that would look something like that.
[00:35:07.000 --> 00:35:16.000]   So I can say the difference between 0 and 0 is 0. The difference here is again 0, but the difference here is minus 200.
[00:35:16.000 --> 00:35:23.000]   So similarly, I can calculate the differences and I can do the same thing over here. I can calculate the differences here.
[00:35:23.000 --> 00:35:30.000]   So I can say 0 and difference here is minus 200. The difference between these two is minus 200.
[00:35:30.000 --> 00:35:37.000]   The difference between this and that is just 0. And similarly, I can calculate all the differences.
[00:35:37.000 --> 00:35:42.000]   So that's what this is doing. That's the first thing. And then I can just take the average.
[00:35:42.000 --> 00:35:52.000]   So if I take the average distance, basically the difference, if this difference comes out to be 2.5 and this difference comes out to be,
[00:35:52.000 --> 00:36:00.000]   if I just take the average of all of these numbers and this difference comes out to be 10.0, then that means 2.5 is a lower number,
[00:36:00.000 --> 00:36:08.000]   which means that this new image is much closer to the group of threes, which means that this new image can be classified as a three.
[00:36:08.000 --> 00:36:16.000]   I hope this makes sense. So that's the one way of checking. This is called mean absolute difference.
