
[00:00:00.040 --> 00:00:06.840]  cked maybe but
[00:02:30.100 --> 00:02:30.100]   The Chief Financial Officer for Stock Market Investing. He's not the one who's going to be talking about the stock market investment
[00:02:30.100 --> 00:03:00.120]   the stock market investment investment investment investment investment investment
[00:03:00.120 --> 00:03:00.120]   The Chief Financial Officer for Stock Market Investing. He's not the one who's going to be talking about the stock market investment investment investment
[00:03:00.160 --> 00:03:10.400]   attend
[00:03:10.400 --> 00:03:10.440]   I en type -
[00:03:58.200 --> 00:03:58.420]   I I en type -
[00:03:58.420 --> 00:03:58.520]   I I en type -
[00:03:58.560 --> 00:04:06.060]  --
[00:04:06.060 --> 00:04:08.560]  't,
[00:04:08.560 --> 00:04:22.660]  長 connect rates,,,,,, except the business is a veryKayéd сб Log I towards the 100� trails, the, are, or, are, fell, we, score,,,,,,,,,,,,,,,,,,,--L.ach em сestarelijk các burned☆ entrev reasonischer
[00:04:22.660 --> 00:04:27.460]   지� in all em believe in sh violent 100 Travis scrolling錢 brick and remain a
[00:04:27.500 --> 00:04:39.380]   las
[00:06:54.760 --> 00:06:55.320]   And you're putting aside just a measly $5,000 per year. You're making a Roth IRA contribution at $5,000 per year, starting with nothing. At an 8% annualized return, your investment portfolio at age 65 would be expected to be about $1.4 million. Not bad, especially for putting aside $5,000 per year. But at an 18% rate of return, you're making a Roth IRA contribution at $5,000 per year.
[00:07:25.340 --> 00:07:25.340]   ------
[00:07:25.340 --> 00:07:25.340]   ------
[00:07:25.340 --> 00:07:25.340]   ------
[00:07:25.380 --> 00:07:55.360]   ------
[00:07:56.320 --> 00:08:25.380]   ------
[00:08:25.420 --> 00:08:54.360]   was a very good concept. I'm good at what I do. I'm very bad at lots of things in life. I happen to be good at this, and I love it. And it so happens that I believe if you devote yourself to one thing and try and become very good at it, and you're of reasonable intelligence, and you are humble, and you have a lust of learning and curiosity, I think you can be good at it.
[00:08:54.360 --> 00:08:54.900]   ------
[00:08:54.900 --> 00:08:55.080]   ------
[00:08:55.120 --> 00:09:01.060]   slide
[00:09:01.060 --> 00:09:04.220]   just.
[00:09:04.220 --> 00:09:18.980]   sorry ... Boy I but and like, and, ,,,,, wherein Clan 많은
[00:09:18.980 --> 00:09:24.000]   hurt is. is goingyez! I'm it's work. So, "s, we're-s, you're-s, Es, pressure. Adri送-s,ㅎㅎ Wonder econatrirole深. So, provides-s-s,arner-S, rounds-G-G, but-S, ML-S.-G-S,視-S,-I,-G-V-A.,G.-SD.-G-S-B-N-ho-G., muffin-A-N. he-G-G-C.-G-H.-G-G-G-G- Dale-G-G-P.-G-G-G-G-G- Virtual-G-G- lying-G-ikte-umb- Vij-führ- similarity- conduct- meant, it The make the-uzz-중에 chilly
[00:09:24.060 --> 00:09:27.640]   discuss
[00:09:27.640 --> 00:09:36.060]   sort BUT C,,,,교 dispar
[00:10:47.700 --> 00:10:56.360]   Cow
[00:10:56.360 --> 00:10:57.980]   ص CA C I just all in the Там
[00:10:57.980 --> 00:11:04.060]   Maria
[00:11:04.060 --> 00:11:17.680]   ok as access the thing. I mean, I think, I think, I think, I think, I think, I think, I think, I think, I, I, of, I, I, I, I, I, C, O, Fu, H, H. H. H. H. H. H. H. H. H. H. H. H. H.ס� Carolina . 12 shifts the lat 청 fullCON 있어서 alert.aş . המ so in the З.내
[00:11:17.700 --> 00:11:20.340]   believe that someone that really
[00:11:20.340 --> 00:11:24.020]   devotes themselves to stock analysis can
[00:11:24.020 --> 00:11:27.080]   actually build a skill and make money,
[00:11:27.080 --> 00:11:28.720]   especially in smaller companies. But it's
[00:11:28.720 --> 00:11:29.900]   just something that takes a lot of time.
[00:11:29.900 --> 00:11:31.540]   And so when I started in that scene in
[00:11:31.540 --> 00:11:33.600]   college, I mean, I'd say the first eight
[00:11:33.600 --> 00:11:37.040]   years I was in this business kind of even
[00:11:37.040 --> 00:11:38.540]   before was doing professionally, I knew
[00:11:38.540 --> 00:11:41.660]   what I was doing. And I had basically had
[00:11:41.660 --> 00:11:43.480]   90% of my money in index funds. I think at
[00:11:43.480 --> 00:11:44.960]   that time index funds were popular. So
[00:11:44.960 --> 00:11:47.100]   maybe it was actually mutual funds, which
[00:11:47.100 --> 00:11:47.700]   in retrospect, wasn't
[00:11:47.700 --> 00:11:47.700]   Кор. I don't know. I don't know. I don't know.
[00:11:47.740 --> 00:11:50.000]   think
[00:11:50.000 --> 00:12:14.620]   in. okay,,, in the SaSSs 20 be good, один, Je, Pro, moistur, the stock. And I tried to be got to the stock and I got to the realize the the und the in the co work and the succeed the was the be the questi определ
[00:12:17.760 --> 00:12:27.620]   Perhaps
[00:12:27.620 --> 00:12:36.060]   just
[00:12:36.060 --> 00:12:47.520]   scored,,,,, at splitting physiology pouv communautelen. I wouldn be a children. I would be. I'm a. I'm, you're the, and, and, and, and, and,,,,,,,,,,,,,,,,,,,,,,, gay Beatles equival �較 Herz deve corre Saying revis без evac했습니다 �信ir I'murs 120 divide 100 delivers a good gols. I would a buff had .T. I would be mean a person that better wuw the guy is a man. I would have a money that had a finance a money that way. I would have a s票 a finance a shop a fall a little bit of the money that's a money that's a hand, and a man's aown a winning the land, a ум
[00:12:47.540 --> 00:13:17.320]   and to invest at the very highest rate. Um, and to invest a lot of money by using other people's money. That's why so many intelligent bright people go to the investment marketplace. So you're, you're doing great for you, but I'm gonna go back to for the rest of us. So I agree with you in terms of it seems to be a, it's not a consensus. It seems to be a, a highly echoed prognostication that future returns will not overcoming decades or for the market in general.
[00:13:17.320 --> 00:13:17.320]   The future returns will not overcoming decades or for the market in general.
[00:13:17.320 --> 00:13:17.320]   The future returns will not overcoming decades or for the market in general.
[00:13:17.320 --> 00:13:17.320]   The future returns will not overcoming decades or for the market in general.
[00:13:17.320 --> 00:13:17.320]   The future returns will not overcoming decades or for the market in general.
[00:13:17.320 --> 00:13:17.540]   The future returns will not overcoming decades or for the market in general.
[00:13:17.540 --> 00:13:17.560]   The future returns will not overcoming decades or for the market in general.
[00:13:17.600 --> 00:13:47.600]  , the future returns will not overcoming decades or for the market in general.
[00:13:47.600 --> 00:13:47.600]   The future returns will not overcoming decades or for the market in general.
[00:13:47.600 --> 00:13:47.600]   The future returns will not overcoming decades or for the market in general.
[00:13:47.600 --> 00:13:47.600]   The future returns will not overcoming decades or for the market in general.
[00:13:47.620 --> 00:14:17.640]   I'm not overcoming decades or for the market in general.
[00:14:17.640 --> 00:14:17.640]   I'm not overcoming decades or for the market in general.
[00:14:17.640 --> 00:14:17.640]   I'm not overcoming decades or for the market in general.
[00:14:17.640 --> 00:14:17.640]   I'm not overcoming decades or for the market in general.
[00:14:17.640 --> 00:14:17.640]   I'm not overcoming decades or for the market in general.
[00:14:17.640 --> 00:14:17.640]   I'm not overcoming decades or for the market in general.
[00:14:17.640 --> 00:14:17.640]   I'm not overcoming decades or for the market in general.
[00:14:17.640 --> 00:14:17.640]   I'm not overcoming decades or for the market in general.
[00:14:17.640 --> 00:14:17.640]   I'm not overcoming decades or for the market in general.
[00:14:17.640 --> 00:14:17.640]   I'm not overcoming decades or for the market in general.
[00:14:17.640 --> 00:14:17.640]   I'm not overcoming decades or for the market in general.
[00:14:17.640 --> 00:14:17.640]   I'm not overcoming decades or for the market in general.
[00:14:17.640 --> 00:14:17.640]   I'm not overcoming decades or for the market in general.
[00:14:18.180 --> 00:14:47.680]   I'm not overcoming decades or for the market in general.
[00:14:47.680 --> 00:14:47.680]   I'm not overcoming decades or for the market in general.
[00:14:47.680 --> 00:14:47.680]   I'm not overcoming decades or for the market in general.
[00:14:47.680 --> 00:14:47.680]   I'm not overcoming decades or for the market in general.
[00:14:47.680 --> 00:14:47.680]   I'm not overcoming decades or for the market in general.
[00:14:47.680 --> 00:14:47.680]   I'm not overcoming decades or for the market in general.
[00:14:47.680 --> 00:14:47.680]   I'm not overcoming decades or for the market in general.
[00:14:47.680 --> 00:14:47.680]   I'm not overcoming decades or for the market in general.
[00:14:47.700 --> 00:15:17.720]   I'm not overcoming decades or for the market in general.
[00:15:17.720 --> 00:15:17.720]   I'm not overcoming decades or for the market in general.
[00:15:17.720 --> 00:15:17.720]   I'm not overcoming decades or for the market in general.
[00:15:17.720 --> 00:15:17.720]   I'm not overcoming decades or for the market in general.
[00:15:17.720 --> 00:15:17.720]   I'm not overcoming decades or for the market in general.
[00:15:17.720 --> 00:15:17.720]   I'm not overcoming decades or for the market in general.
[00:15:17.720 --> 00:15:17.720]   I'm not overcoming decades or for the market in general.
[00:15:17.720 --> 00:15:17.720]   I'm not overcoming decades or for the market in general.
[00:15:17.720 --> 00:15:17.720]   I'm not overcoming decades or for the market in general.
[00:15:17.720 --> 00:15:17.720]   I'm not overcoming decades or for the market in general.
[00:15:17.720 --> 00:15:17.720]   I'm not overcoming decades or for the market in general.
[00:15:17.720 --> 00:15:17.720]   I'm not overcoming decades or for the market in general.
[00:15:17.720 --> 00:15:17.720]   I'm not overcoming decades or for the market in general.
[00:15:17.720 --> 00:15:17.720]   I'm not overcoming decades or for the market in general.
[00:15:17.720 --> 00:15:17.720]   I'm not overcoming decades or for the market in general.
[00:15:18.260 --> 00:15:47.760]   I'm not overcoming decades or for the market in general.
[00:15:47.760 --> 00:15:47.760]   I'm not overcoming decades or for the market in general.
[00:15:47.760 --> 00:15:47.760]   I'm not overcoming decades or for the market in general.
[00:15:47.760 --> 00:15:47.760]   I'm not overcoming decades or for the market in general.
[00:15:47.760 --> 00:15:47.760]   I'm not overcoming decades or for the market in general.
[00:15:47.760 --> 00:15:47.760]   I'm not overcoming decades or for the market in general.
[00:15:47.760 --> 00:15:47.760]   I'm not overcoming decades or for the market in general.
[00:15:47.780 --> 00:16:17.800]   I'm not overcoming decades or for the market in general.
[00:16:17.800 --> 00:16:17.800]   I'm not overcoming decades or for the market in general.
[00:16:17.800 --> 00:16:17.800]   I'm not overcoming decades or for the market in general.
[00:16:17.800 --> 00:16:17.800]   I'm not overcoming decades or for the market in general.
[00:16:17.800 --> 00:16:17.800]   I'm not overcoming decades or for the market in general.
[00:16:17.800 --> 00:16:17.800]   I'm not overcoming decades or for the market in general.
[00:16:17.800 --> 00:16:17.800]   I'm not overcoming decades or for the market in general.
[00:16:17.800 --> 00:16:17.800]   I'm not overcoming decades or for the market in general.
[00:16:17.800 --> 00:16:17.800]   I'm not overcoming decades or for the market in general.
[00:16:17.800 --> 00:16:17.800]   I'm not overcoming decades or for the market in general.
[00:16:17.800 --> 00:16:17.800]   I'm not overcoming decades or for the market in general.
[00:16:17.800 --> 00:16:17.800]   I'm not overcoming decades or for the market in general.
[00:16:17.800 --> 00:16:17.800]   I'm not overcoming decades or for the market in general.
[00:16:17.800 --> 00:16:17.800]   I'm not overcoming decades or for the market in general.
[00:16:17.800 --> 00:16:17.800]   I'm not overcoming decades or for the market in general.
[00:16:18.740 --> 00:16:47.840]   I'm not overcoming decades or for the market in general.
[00:16:47.840 --> 00:16:47.840]   I'm not overcoming decades or for the market in general.
[00:16:47.840 --> 00:16:47.840]   I'm not overcoming decades or for the market in general.
[00:16:47.840 --> 00:16:47.840]   I'm not overcoming decades or for the market in general.
[00:16:47.840 --> 00:16:47.840]   I'm not overcoming decades or for the market in general.
[00:16:47.840 --> 00:16:47.840]   I'm not overcoming decades or for the market in general.
[00:16:47.840 --> 00:16:47.840]   I'm not overcoming decades or for the market in general.
[00:16:47.840 --> 00:16:47.840]   I'm not overcoming decades or for the market in general.
[00:16:47.840 --> 00:16:47.840]   I'm not overcoming decades or for the market in general.
[00:16:47.880 --> 00:16:58.680]   the
[00:16:58.680 --> 00:17:15.160]   do, 720, much, every,,,,,, containment like but good goe go end hard survive around investigations
[00:17:17.020 --> 00:17:27.120]   and
[00:17:27.120 --> 00:17:28.060]   rend send,,,, belong
[00:17:28.060 --> 00:17:30.760]   Серг Es Bur X one or is a, but, won,
[00:17:46.880 --> 00:17:57.260]   picture
[00:17:57.260 --> 00:17:58.600]   owe like, party,
[00:19:15.340 --> 00:19:15.340]   I
[00:19:15.340 --> 00:19:15.860]   I
[00:19:15.900 --> 00:19:45.880]  ikalikov.com
[00:19:45.880 --> 00:19:45.880]   How do these things happen? And you look at so many of the modern companies, I don't know how to connect them to reality. And so I don't know if there's something that's broken with me, that I'm just old-fashioned and we're in a new world where the old rules don't make sense and the goal is to get as big as possible and lose money all the way through as some of the leading companies seem to do, or if there's something old. And so it causes me to be very insecure about decisions like that, especially when then I look at the old rules and I'm like, well, I don't know how to connect them to reality.
[00:19:45.900 --> 00:20:15.380]   0:04:40.420,0:04:43.820 I don't know the answer. I'm stymied by the by the problem. I don't know the answer either. And I think what we do as a as a
[00:20:15.420 --> 00:20:22.960]   continue
[00:20:22.960 --> 00:20:44.340]   visit deal i Final Mo akkor vis v tent, and,,,,,,,- two.- Hug saying sharper say not going less br
[00:20:45.280 --> 00:20:56.260]   any
[00:20:56.260 --> 00:21:13.540]   even level e fruits wasn as, and, and, but, gli,vision,ere, believing. The high From C I would be fun as even網 P. So, say, hundred. I'm, system,學,
[00:21:14.200 --> 00:21:17.060]   you can avoid some of those stocks.
[00:21:17.060 --> 00:21:43.120]   Now there's an argument to made that those stocks are very attractive. I'm not going to make that, but I think people can make money a lot of different ways. I mean, there are venture capital firms that, you know, invest very early and stuff and have had major returns and they literally do like two hours of work before they make a half a million or million dollar investment. It's pretty amazing. But you have one success there. You find Facebook and it's paid for every mistake you're going to make.
[00:21:43.120 --> 00:21:43.120]   But look,
[00:21:43.120 --> 00:21:43.120]   I mean,
[00:21:43.120 --> 00:22:12.060]  ,
[00:22:12.060 --> 00:22:12.060]   ultimately with the stock market,
[00:22:12.060 --> 00:22:12.060]   it just gets very complicated. When you start to get into little stocks, I think to the degree that you don't want to bet on e toys in 1999 having a $30 billion valuation and people saying it's going to be worth that. And you can find parallels today. The way you avoid that is you basically avoid it to the degree of the more specific ETF that have a lot of names like that in them that aren't generating earnings. You can generally avoid those and you do that a pretty good job of that by choosing more boring investments.
[00:22:12.060 --> 00:22:12.060]   But look,
[00:22:12.060 --> 00:22:13.060]   ultimately with the stock market,
[00:22:13.100 --> 00:22:22.320]  塊
[00:22:22.320 --> 00:22:39.760]  � learned the "�� прод Old Kne
[00:22:42.020 --> 00:22:48.220]   The
[00:22:48.220 --> 00:22:52.380]   in require
[00:22:52.380 --> 00:23:03.920]   play, ,,,,
[00:23:09.900 --> 00:23:24.220]   않았
[00:23:24.220 --> 00:23:37.840]   Push'm got, I,,,,,,大 Ciao Het say goеч 250уст following 10 Wür member D公pen ist service about feet is only serve not be would Buses 무슨 ensure theasu�G,
[00:23:37.840 --> 00:23:38.840]   I,
[00:23:39.500 --> 00:24:09.060]  onal is about where the market is, even though it's going to have a big impact in return. You just kind of put in the amount that you have every year. You just 65. You're probably in this with something that's okay, because that money will be put in over a long period of time. But to the degree that you can develop a competency in something, whether it be in that scene or real estate or something else, I think you're going to find they're starting a business thing. You're going to find a lot more attractive returns there than you are
[00:24:09.060 --> 00:24:09.060]   You're going to find a lot more attractive returns there than you are
[00:24:09.060 --> 00:24:09.060]   You're going to find a lot more attractive returns there than you are
[00:24:09.060 --> 00:24:09.060]   You're going to find a lot more attractive returns there than you are
[00:24:09.060 --> 00:24:09.060]   You're going to find a lot more attractive returns there than you are
[00:24:09.060 --> 00:24:09.060]   You're going to find a lot more attractive returns there than you are
[00:24:09.060 --> 00:24:09.060]   You're going to find a lot more attractive returns there than you are
[00:24:09.100 --> 00:24:38.660]  ,
[00:24:38.660 --> 00:24:38.960]   You're going to find a lot more attractive returns there than you are
[00:24:38.960 --> 00:24:39.080]   You're going to find a lot more attractive returns there than you are
[00:24:39.080 --> 00:24:39.080]   You're going to find a lot more attractive returns there than you are
[00:24:39.080 --> 00:24:39.080]   You're going to find a lot more attractive returns there than you are
[00:24:39.080 --> 00:24:39.080]   You're going to find a lot more attractive returns there than you are
[00:24:39.080 --> 00:24:39.080]   You're going to find a lot more attractive returns there than you are
[00:24:39.080 --> 00:24:39.080]   You're going to find a lot more attractive returns there than you are
[00:24:39.080 --> 00:24:39.080]   You're going to find a lot more attractive returns there than you are
[00:24:39.080 --> 00:24:39.080]   You're going to find a lot more attractive returns there than you are
[00:24:39.080 --> 00:24:39.080]   You're going to find a lot more attractive returns there than you are
[00:24:39.100 --> 00:25:09.100]   You're going to find a lot more attractive returns there than you are
[00:25:09.100 --> 00:25:09.100]   You're going to find a lot more attractive returns there than you are
[00:25:09.100 --> 00:25:09.100]   You're going to find a lot more attractive returns there than you are
[00:25:09.100 --> 00:25:09.100]   You're going to find a lot more attractive returns there than you are
[00:25:09.100 --> 00:25:09.100]   You're going to find a lot more attractive returns there than you are
[00:25:09.100 --> 00:25:09.100]   You're going to find a lot more attractive returns there than you are
[00:25:09.100 --> 00:25:09.100]   You're going to find a lot more attractive returns there than you are
[00:25:09.100 --> 00:25:09.100]   You're going to find a lot more attractive returns there than you are
[00:25:09.100 --> 00:25:09.100]   You're going to find a lot more attractive returns there than you are
[00:25:09.100 --> 00:25:09.100]   You're going to find a lot more attractive returns there than you are
[00:25:09.100 --> 00:25:09.100]   You're going to find a lot more attractive returns there than you are
[00:25:09.100 --> 00:25:09.100]   You're going to find a lot more attractive returns there than you are
[00:25:09.100 --> 00:25:09.100]   You're going to find a lot more attractive returns there than you are
[00:25:09.100 --> 00:25:39.120]  ,
[00:25:39.120 --> 00:25:39.120]   You're going to find a lot more attractive returns there than you are
[00:25:39.120 --> 00:25:39.120]   You're going to find a lot more attractive returns there than you are
[00:25:39.120 --> 00:25:39.120]   You're going to find a lot more attractive returns there than you are
[00:25:39.120 --> 00:25:39.120]   You're going to find a lot more attractive returns there than you are
[00:25:39.120 --> 00:25:39.120]   You're going to find a lot more attractive returns there than you are
[00:25:39.120 --> 00:25:39.120]   You're going to find a lot more attractive returns there than you are
[00:25:39.120 --> 00:25:39.120]   You're going to find a lot more attractive returns there than you are
[00:25:39.120 --> 00:25:39.120]   You're going to find a lot more attractive returns there than you are
[00:25:39.120 --> 00:25:39.120]   You're going to find a lot more attractive returns there than you are
[00:25:39.120 --> 00:25:39.120]   You're going to find a lot more attractive returns there than you are
[00:25:39.140 --> 00:26:09.140]   I'm going to find a lot more attractive returns there than you are
[00:26:09.140 --> 00:26:09.140]   I'm going to find a lot more attractive returns there than you are
[00:26:09.140 --> 00:26:09.140]   I'm going to find a lot more attractive returns there than you are
[00:26:09.140 --> 00:26:09.140]   I'm going to find a lot more attractive returns there than you are
[00:26:09.140 --> 00:26:09.140]   I'm going to find a lot more attractive returns there than you are
[00:26:09.140 --> 00:26:09.140]   I'm going to find a lot more attractive returns there than you are
[00:26:09.140 --> 00:26:09.140]   I'm going to find a lot more attractive returns there than you are
[00:26:09.140 --> 00:26:09.140]   I'm going to find a lot more attractive returns there than you are
[00:26:09.140 --> 00:26:09.140]   I'm going to find a lot more attractive returns there than you are
[00:26:09.140 --> 00:26:09.140]   I'm going to find a lot more attractive returns there than you are
[00:26:09.140 --> 00:26:09.140]   I'm going to find a lot more attractive returns there than you are
[00:26:09.140 --> 00:26:09.140]   I'm going to find a lot more attractive returns there than you are
[00:26:09.140 --> 00:26:09.140]   I'm going to find a lot more attractive returns there than you are
[00:26:09.180 --> 00:26:39.160]  ,
[00:26:39.160 --> 00:26:39.160]   I'm going to find a lot more attractive returns there than you are
[00:26:39.160 --> 00:26:39.160]   I'm going to find a lot more attractive returns there than you are
[00:26:39.160 --> 00:26:39.160]   I'm going to find a lot more attractive returns there than you are
[00:26:39.160 --> 00:26:39.160]   I'm going to find a lot more attractive returns there than you are
[00:26:39.160 --> 00:26:39.160]   I'm going to find a lot more attractive returns there than you are
[00:26:39.160 --> 00:26:39.160]   I'm going to find a lot more attractive returns there than you are
[00:26:39.160 --> 00:26:39.160]   I'm going to find a lot more attractive returns there than you are
[00:26:39.160 --> 00:26:39.160]   I'm going to find a lot more attractive returns there than you are
[00:26:39.160 --> 00:26:39.160]   I'm going to find a lot more attractive returns there than you are
[00:26:39.160 --> 00:26:39.160]   I'm going to find a lot more attractive returns there than you are
[00:26:39.160 --> 00:26:39.160]   I'm going to find a lot more attractive returns there than you are
[00:26:39.180 --> 00:27:09.180]   I'm going to find a lot more attractive returns there than you are
[00:27:09.180 --> 00:27:09.180]   I'm going to find a lot more attractive returns there than you are
[00:27:09.180 --> 00:27:09.180]   I'm going to find a lot more attractive returns there than you are
[00:27:09.180 --> 00:27:09.180]   I'm going to find a lot more attractive returns there than you are
[00:27:09.180 --> 00:27:09.180]   I'm going to find a lot more attractive returns there than you are
[00:27:09.180 --> 00:27:09.180]   I'm going to find a lot more attractive returns there than you are
[00:27:09.180 --> 00:27:09.180]   I'm going to find a lot more attractive returns there than you are
[00:27:09.180 --> 00:27:09.180]   I'm going to find a lot more attractive returns there than you are
[00:27:09.180 --> 00:27:09.180]   I'm going to find a lot more attractive returns there than you are
[00:27:09.180 --> 00:27:09.180]   I'm going to find a lot more attractive returns there than you are
[00:27:09.180 --> 00:27:09.180]   I'm going to find a lot more attractive returns there than you are
[00:27:09.180 --> 00:27:09.180]   I'm going to find a lot more attractive returns there than you are
[00:27:09.180 --> 00:27:09.180]   I'm going to find a lot more attractive returns there than you are
[00:27:09.220 --> 00:27:39.200]  ,
[00:27:39.200 --> 00:27:39.200]   I'm going to find a lot more attractive returns there than you are
[00:27:39.200 --> 00:27:39.200]   I'm going to find a lot more attractive returns there than you are
[00:27:39.200 --> 00:27:39.200]   I'm going to find a lot more attractive returns there than you are
[00:27:39.200 --> 00:27:39.200]   I'm going to find a lot more attractive returns there than you are
[00:27:39.200 --> 00:27:39.200]   I'm going to find a lot more attractive returns there than you are
[00:27:39.200 --> 00:27:39.200]   I'm going to find a lot more attractive returns there than you are
[00:27:39.200 --> 00:27:39.200]   I'm going to find a lot more attractive returns there than you are
[00:27:39.200 --> 00:27:39.200]   I'm going to find a lot more attractive returns there than you are
[00:27:39.200 --> 00:27:39.200]   I'm going to find a lot more attractive returns there than you are
[00:27:39.220 --> 00:28:09.220]   I'm going to find a lot more attractive returns there than you are
[00:28:09.220 --> 00:28:09.220]   I'm going to find a lot more attractive returns there than you are
[00:28:09.220 --> 00:28:09.220]   I'm going to find a lot more attractive returns there than you are
[00:28:09.220 --> 00:28:09.220]   I'm going to find a lot more attractive returns there than you are
[00:28:09.220 --> 00:28:09.220]   I'm going to find a lot more attractive returns there than you are
[00:28:09.220 --> 00:28:09.220]   I'm going to find a lot more attractive returns there than you are
[00:28:09.220 --> 00:28:09.220]   I'm going to find a lot more attractive returns there than you are
[00:28:09.220 --> 00:28:09.220]   I'm going to find a lot more attractive returns there than you are
[00:28:09.220 --> 00:28:09.220]   I'm going to find a lot more attractive returns there than you are
[00:28:09.220 --> 00:28:09.220]   I'm going to find a lot more attractive returns there than you are
[00:28:09.220 --> 00:28:09.220]   I'm going to find a lot more attractive returns there than you are
[00:28:09.220 --> 00:28:09.220]   I'm going to find a lot more attractive returns there than you are
[00:28:09.220 --> 00:28:09.220]   I'm going to find a lot more attractive returns there than you are
[00:28:09.260 --> 00:28:39.240]  ,
[00:28:39.240 --> 00:28:39.240]   I'm going to find a lot more attractive returns there than you are
[00:28:39.240 --> 00:28:39.240]   I'm going to find a lot more attractive returns there than you are
[00:28:39.240 --> 00:28:39.240]   I'm going to find a lot more attractive returns there than you are
[00:28:39.240 --> 00:28:39.240]   I'm going to find a lot more attractive returns there than you are
[00:28:39.240 --> 00:28:39.240]   I'm going to find a lot more attractive returns there than you are
[00:28:39.240 --> 00:28:39.240]   I'm going to find a lot more attractive returns there than you are
[00:28:39.240 --> 00:28:39.240]   I'm going to find a lot more attractive returns there than you are
[00:28:39.240 --> 00:28:39.240]   I'm going to find a lot more attractive returns there than you are
[00:28:39.240 --> 00:28:39.240]   I'm going to find a lot more attractive returns there than you are
[00:28:39.240 --> 00:28:39.240]   I'm going to find a lot more attractive returns there than you are
[00:28:39.260 --> 00:29:09.260]   I'm going to find a lot more attractive returns there than you are
[00:29:09.260 --> 00:29:09.260]   I'm going to find a lot more attractive returns there than you are
[00:29:09.260 --> 00:29:09.260]   I'm going to find a lot more attractive returns there than you are
[00:29:09.260 --> 00:29:09.260]   I'm going to find a lot more attractive returns there than you are
[00:29:09.260 --> 00:29:09.260]   I'm going to find a lot more attractive returns there than you are
[00:29:09.260 --> 00:29:09.260]   I'm going to find a lot more attractive returns there than you are
[00:29:09.260 --> 00:29:09.260]   I'm going to find a lot more attractive returns there than you are
[00:29:09.260 --> 00:29:09.260]   I'm going to find a lot more attractive returns there than you are
[00:29:09.260 --> 00:29:09.260]   I'm going to find a lot more attractive returns there than you are
[00:29:09.260 --> 00:29:09.260]   I'm going to find a lot more attractive returns there than you are
[00:29:09.260 --> 00:29:09.260]   I'm going to find a lot more attractive returns there than you are
[00:29:09.260 --> 00:29:09.260]   I'm going to find a lot more attractive returns there than you are
[00:29:09.260 --> 00:29:09.260]   I'm going to find a lot more attractive returns there than you are
[00:29:09.300 --> 00:29:39.280]  ,
