
[00:00:00.000 --> 00:00:07.700]   Why does the Legacy Standard Bible retain "only begotten" in its translation of John 3:16?
[00:05:29.700 --> 00:05:35.200]   is the only reason why we can have a relationship with God himself.
[00:05:35.200 --> 00:05:39.200]   And so it shows us that every word of Scripture matters
[00:05:39.200 --> 00:05:43.700]   and your questions are great because they remind us of that.
[00:05:43.700 --> 00:05:49.700]   And so along that line, while we definitely encourage you to read the preface to the Legacy Standard Bible
[00:05:49.700 --> 00:05:54.200]   and visit our FAQs on the website, which can answer a bunch of questions,
[00:05:54.200 --> 00:05:58.200]   if you or your friends or a bunch of you have a question,
[00:05:58.200 --> 00:06:04.200]   please get in contact with us through the Contact Us part of the LSB website
[00:06:04.200 --> 00:06:09.700]   and send us your questions so that we can have more opportunities for edification.
[00:06:09.700 --> 00:06:11.700]   Well, I hope that's exactly what has happened.
[00:06:11.700 --> 00:06:16.700]   Thank you for your questions. Thank you for investing yourself in the Scripture.
[00:06:16.700 --> 00:06:19.700]   And I hope to learn more with you all soon.

