
[00:00:00.000 --> 00:00:20.400]   really excited to be moderating this panel between two of my favorite people working in ai
[00:16:31.920 --> 00:16:37.840]   where where we are focused is that just removal of user friction whether it's through design or just
[00:16:37.840 --> 00:16:43.360]   through like quicker surfacing of information the ai just like lets you do in a more guaranteed way but
[00:16:43.360 --> 00:16:49.520]   yeah uh restraining the enthusiasm was the biggest challenge for sure and it still exists to this day
[00:16:49.520 --> 00:16:55.600]   everyone wants to be an ai engineer right exactly yeah what about you guys did you have similar
[00:16:55.600 --> 00:17:00.240]   or different issues that's interesting it's a like a similar flavor um it's a little different
[00:17:00.240 --> 00:17:04.560]   instantiation which is to say that like you know i've never met an engineer that's good at estimating
[00:17:04.560 --> 00:17:10.960]   how long things take um and i would say that like that is somehow exacerbated with ai features
[00:17:10.960 --> 00:17:19.120]   because then you your first few experiments show such great promise so quickly but then the long tail
[00:17:19.120 --> 00:17:25.520]   feels even longer than most engineering corner case triage just such a long journey between
[00:17:25.520 --> 00:17:32.400]   we got this to work for a few cases and we think we can make it work to it's bulletproof is even more
[00:17:32.400 --> 00:17:38.880]   of a challenging journey and i yeah this this like over enthusiasm i think yeah slightly different uh
[00:17:38.880 --> 00:17:46.480]   instantiation but similar flavor whenever you're on that journey how um how are you testing and tracking
[00:17:46.480 --> 00:17:52.720]   along the way if at all which is totally yeah yeah i mean i feel to be a broken record a lot of like robust
[00:17:52.720 --> 00:17:59.360]   evals like trying really hard to codify things into evaluations trying really hard to codify like
[00:17:59.360 --> 00:18:05.920]   if someone comes to us and says wouldn't it be great if magic could do x we we sort of pursue
[00:18:05.920 --> 00:18:10.560]   that conversation a little bit further and say like okay what would you expect magic to do it with this
[00:18:10.560 --> 00:18:15.600]   prompt what would you expect magic to do in this case and kind of get them to kind of like vet that out
[00:18:15.600 --> 00:18:22.880]   and then sort of um using this like barometer of could a new data scientist at your company with
[00:18:22.880 --> 00:18:29.680]   very little context do that and sort of that like you know cutting edge around what's feasible and what's
[00:18:29.680 --> 00:18:35.680]   possible yeah that's that makes a lot of sense and you know one of the reasons i was excited to have
[00:18:35.680 --> 00:18:41.040]   the two of you up here together is because you know wall prefect has some elements of ai in the core
[00:18:41.040 --> 00:18:46.000]   product as you mentioned probably you're best known for the marvin uh project that you guys have put out
[00:18:46.000 --> 00:18:51.840]   there which is kind of a standalone uh project which is a really interesting phenomenon that i'll say that
[00:18:51.840 --> 00:18:56.560]   i've kind of observed in this current wave of ai which is you know companies that maybe weren't doing
[00:18:56.560 --> 00:19:02.880]   ai previously launching entirely separate brands um essentially alongside the core product so
[00:19:02.880 --> 00:19:08.400]   would love to understand more of what were your user experience considerations when you were building
[00:19:08.400 --> 00:19:13.440]   out you know marvin as a separate product versus prefect what freedom did that allow you what
[00:19:13.440 --> 00:19:21.360]   restrictions did you still have yeah that's a good question so a few different angles there i think
[00:19:21.920 --> 00:19:29.360]   one kind of philosophical angle um is you know we try to do things that maximize our ability to learn
[00:19:29.360 --> 00:19:34.400]   without having to go full commitment and so i think starting a new open source repo like right we
[00:19:34.400 --> 00:19:40.880]   definitely have some uh ties to it now we have to maintain it but past that it's not all that high of
[00:19:40.880 --> 00:19:47.040]   a cost but like if it you know it's all upside basically if no one notices it no big deal we learned a
[00:19:47.040 --> 00:19:52.240]   little bit more about how to you you know write apis that you know interface with all of the different
[00:19:52.240 --> 00:19:58.080]   lms for example or something like that um or if it does take off which you know it basically did for us
[00:19:58.080 --> 00:20:02.960]   we got to meet all these new people who are working on interesting things like
[00:20:02.960 --> 00:20:10.160]   ai and data adjacent um before uh the core product this was maybe more
[00:20:10.160 --> 00:20:16.800]   i guess kind of interesting and and brian i'd be curious to hear about how much you had to like
[00:20:16.800 --> 00:20:22.160]   really focus some of your prompts to the use case that you cared about so prefect is a general
[00:20:22.160 --> 00:20:29.360]   purpose orchestrator and so the reason i i say that again is our use case scope is like technically
[00:20:29.360 --> 00:20:36.080]   infinite and so helping people write code to do completely arbitrary things is definitely not a value
[00:20:36.080 --> 00:20:41.680]   add we're going to have over the engineers at open ai or at github or something else so we knew that
[00:20:41.680 --> 00:20:48.880]   we couldn't invest in like that way of integrating ai um and so then the next question was like okay so
[00:20:48.880 --> 00:20:54.160]   then what are just the marginal ads and that's kind of where we landed you know where we are today
[00:20:54.160 --> 00:21:00.640]   um but there was we did put energy initially like can we put this directly in like the sdk or something
[00:21:00.640 --> 00:21:06.640]   like that and just very quickly realized that it was just too large of scope and at that point you
[00:21:06.640 --> 00:21:10.080]   might as well just have the user do it themselves and like there's we're not adding anything to that
[00:21:10.080 --> 00:21:16.640]   workflow yeah yeah and on the flip side you know magic has been kind of a part of hex uh basically it
[00:21:16.640 --> 00:21:20.960]   seems like since inception from the outside obviously we've all seen again a number of
[00:21:20.960 --> 00:21:25.680]   text-to-sql players out there we can make arguments about whether or not those should exist as
[00:21:25.680 --> 00:21:30.080]   standalone companies but i'm curious you know how you guys had to think about ux considerations
[00:21:30.080 --> 00:21:35.760]   when you were building out magic in the context of the existing hex product ultimately i've been
[00:21:35.760 --> 00:21:42.320]   really fortunate to kind of like work with a great design team who sort of they're just excellent but
[00:21:42.320 --> 00:21:49.600]   the question about like how does magic feel magic is not its own product i think that's one thing
[00:21:49.600 --> 00:21:56.160]   that's been important from early on magic is not a product magic is an augmentation of our product
[00:21:56.160 --> 00:22:01.840]   so it is a collection of features that makes the product easier and more comfortable to use that is an
[00:22:01.840 --> 00:22:09.360]   easy sort of thing to keep in mind when deciding how to design because it allows us to say okay like
[00:22:09.360 --> 00:22:13.840]   we don't want this to distract from the core product experience i can tell a story we had one
[00:22:13.840 --> 00:22:19.920]   sprint where we would design something called crystal ball and crystal ball was a really sick product
[00:22:19.920 --> 00:22:29.200]   um it did exactly what we wanted to do and it felt wonderful however ultimately it drew the user away
[00:22:29.200 --> 00:22:35.840]   from the core hex experience and very quickly our ceo rightly was like i feel like this is kind of
[00:22:35.840 --> 00:22:41.520]   splitting magic out into its own little ecosystem and that made it kind of clear that that might be the
[00:22:41.520 --> 00:22:48.240]   wrong direction to go so even though crystal ball did feel really good and had a really incredible
[00:22:48.240 --> 00:22:53.760]   capability behind it and frankly the design on crystal ball was beautiful the problem with that
[00:22:53.760 --> 00:22:58.720]   was it pulled us away from what we were really trying to do which was make hex better for all of our
[00:22:58.720 --> 00:23:05.120]   users every hex like consumer should be able to benefit from magic features and that was starting to
[00:23:05.120 --> 00:23:11.520]   split that and so we literally killed crystal ball uh despite it being a really cool experience uh for
[00:23:11.520 --> 00:23:19.280]   that reason so genuinely we've really stuck to the like it's one platform and magic augments it yeah that
[00:23:19.280 --> 00:23:24.560]   makes a lot of sense and obviously you know hex already had a relatively sizable user base at the
[00:23:24.560 --> 00:23:29.680]   time you guys launched this so i'm curious how did you think about the rollout like just in terms of
[00:23:29.680 --> 00:23:34.160]   what users you gave it to and what timeline what marketing did you do all those types of
[00:23:34.160 --> 00:23:39.920]   considerations yeah generally we start with a private beta and then we as quickly as possible expand that
[00:23:39.920 --> 00:23:46.080]   to a sort of like public beta our goal is to find people that are like engaged with the product and
[00:23:46.080 --> 00:23:53.200]   they are prepared for some of the limitations of ai tools uh stochasticity has come up many times and
[00:23:53.200 --> 00:23:59.520]   ultimately we're expecting the user to work with a stochastic thing also also they're working with
[00:23:59.520 --> 00:24:04.080]   something very complex which is data science workflows so we're looking for people that are
[00:24:04.080 --> 00:24:09.680]   pretty technical in the early days then we want to keep scaling and scaling to include the rest of the
[00:24:09.680 --> 00:24:15.120]   distribution in terms of technical capabilities so that we can make sure that it's really serving all
[00:24:15.120 --> 00:24:21.040]   of our users and on the flip side again you had a little bit maybe more flexibility with the rollout just
[00:24:21.040 --> 00:24:26.480]   given uh it was a new repo i'm curious if that was different similar to what brian's talked about
[00:24:26.480 --> 00:24:32.000]   well so yeah well the repo no it was we hacked on it you know we had fun with it we got it to a place
[00:24:32.000 --> 00:24:37.120]   where we felt proud of it and then we clicked make public and then tweeted about it and that was like the end
[00:24:37.120 --> 00:24:44.240]   of that um so that was just pure fun um but for integrating ai into our core product i mean this isn't
[00:24:44.240 --> 00:24:48.240]   particularly deep but it you know it's one of those things that i'm sure everyone here is thinking about and
[00:24:48.240 --> 00:24:54.480]   we'll continue to talk about um which is for us a large part of our customer base are like large
[00:24:54.480 --> 00:25:01.360]   enterprises and financial services and also health care um and so like very very security conscious
[00:25:01.360 --> 00:25:07.040]   and so we definitely had to make sure that this was like a very opt-in type of feature but like you
[00:25:07.040 --> 00:25:11.760]   know we still want to have little uh like tool tips like hey if you click this but also if you click this
[00:25:11.760 --> 00:25:18.880]   we will send a couple of bits of data you know to a third-party provider so yeah yeah and post rollout
[00:25:18.880 --> 00:25:25.440]   just to go to kind of the the last logical um part of the conversation here how have you guys thought
[00:25:25.440 --> 00:25:30.560]   about continuing to kind of measure the outputs i mean brian you're the big evals guy up here so i'm
[00:25:30.560 --> 00:25:36.160]   sure that'll be the answer but uh would love to hear more about how you think about that measurement
[00:25:36.160 --> 00:25:40.960]   and in terms of both the model itself but also in terms of you know the model in the context of the
[00:25:40.960 --> 00:25:47.360]   product which i think is also something that people you know need to think about yeah um so i recently
[00:25:47.360 --> 00:25:51.680]   learned that there's a more friendly term than dog fooding which is drinking your own champagne
[00:25:52.320 --> 00:25:59.040]   and so i'll say i drink a lot of champagne um i use magic every day all through the day
[00:25:59.040 --> 00:26:07.200]   one of the fun things about trying to analyze product performance is that you normally do that
[00:26:07.200 --> 00:26:13.040]   via data science and so i have this fun thing where i'm using magic to analyze magic and i put a lot of
[00:26:13.040 --> 00:26:18.000]   effort into trying to understand where it's succeeding and where it's failing both through traditional
[00:26:18.000 --> 00:26:23.360]   product analytics guided by using the product itself and so there's a very oroborist feeling
[00:26:23.360 --> 00:26:29.760]   but ultimately good old-fashioned data science love to hear it and appropriate with where you've come
[00:26:29.760 --> 00:26:36.320]   from yeah what about you guys uh for us it's you know i definitely don't have as much uh experience
[00:26:36.320 --> 00:26:42.000]   as brian on on that side of it but for a while the one thing we were doing when it was pure just like
[00:26:42.000 --> 00:26:47.920]   prompt input string output with no typing interface whatsoever is then using that and then writing
[00:26:47.920 --> 00:26:54.000]   tests that again used in llm to do comparisons and semantic comparisons and like right there's
[00:26:54.000 --> 00:26:58.880]   obviously problems with that but like it also kind of works um but so then when we moved in kind of the
[00:26:58.880 --> 00:27:05.520]   typing world where um like marvin is for like type guaranteed typed outputs essentially it definitely
[00:27:05.520 --> 00:27:09.760]   becomes a lot easier to test in that world which is you know one reason that that's kind of the
[00:27:09.760 --> 00:27:15.120]   the soapbox that i get on when i talk about llm tooling like bringing it into the back end is just
[00:27:15.120 --> 00:27:20.240]   like having these typed handshakes because you know you can write prompts where you know what the output
[00:27:20.240 --> 00:27:23.440]   should be and it should have a certain type and that's actually that's a very easy thing to test
[00:27:23.440 --> 00:27:28.960]   most of the time yeah totally and one of the things i think has been you know most fascinating about
[00:27:28.960 --> 00:27:33.360]   this wave of software and brian you alluded to this a little bit earlier with your comments around
[00:27:33.360 --> 00:27:39.440]   you know being stochastic essentially is that it's not deterministic right and also i think that
[00:27:39.440 --> 00:27:44.800]   ai based software doesn't have to be static either it can be you know dynamic in a way that maybe
[00:27:44.800 --> 00:27:48.880]   traditional software isn't quite as much and there's you know improvements that come along
[00:27:48.880 --> 00:27:54.400]   maybe on the ux side of things but also the model we've heard a lot of people talk about techniques
[00:27:54.400 --> 00:28:01.120]   like fine tuning techniques like rlhf rlaif all sorts of you know approaches to kind of continuing to
[00:28:01.120 --> 00:28:06.560]   improve the model itself uh in the context of the product over time so i'm curious about how you think about
